http://movie.douban.com/subject/2287754/	龙堂
(4星)	 对徐静蕾印象最好的一部剧。居然是廖一梅写的！！            
(4星)	 原来编剧是廖一梅！            
(4星)	 人情味 粤语英语台语普通话和哑语==            
(4星)	None
(4星)	 好像是过年的时候央视放的，蛮好看的。            
(5星)	 好多年前看过 很喜欢            
(4星)	 啧 当时觉得maggie Q很美，喜欢她那件棉衣啊！当时没觉得脸有现在这么长啊！            
(5星)	 熟悉的人情味，贴心的人情味，飘荡在空气。每一次加油声，每一次鼓励声，我不会忘记。纵然飘洋千万里，离乡又背井，也会有伤心，但是有你们，我就不哭泣。我真的好感激。            
(NA)	 做事然后碰到这个了，想起来= = 编剧居然是廖一梅。。。            
(4星)	 好久以前的电视连续剧了，除了吴家丽，各个都演的挺好。还有刚出道的maggic Q……            
(3星)	 熟悉的人情味            
(NA)	 以前特喜欢看这个，特喜欢徐静蕾            
(4星)	 原来龙堂是廖一梅的编剧！！！！难怪还不错~~~！            
(3星)	 那时候的陈小春多会装纯啊            
(NA)	 我还真看过。。            
(4星)	 呵呵，那时候大家都很年轻啊~~            
(4星)	 喜欢“团圆”            
(4星)	 现在看这些人的组合觉得好神奇            
(4星)	 那時好喜歡這部片啊，好有愛！            
(3星)	 你开不开心的那句手语~~~~~~~~~~~~~~~~~            
(NA)	 这么牛逼的阵容？！            
(NA)	 =。=第一次看见徐静蕾是在这部剧里。。            
(5星)	 明星阵容可以~            
(4星)	 还不错             
(NA)	 主题歌印象深刻            
(3星)	 徐静蕾不说话的时候还是蛮可爱的~            
(5星)	 这部非常好 每段感情都细腻感人            
(4星)	 徐静蕾的练剑形象不灭，哦~            
(5星)	 每到过春节这段时间就非常非常想看龙堂！只隐约记得是个很治愈的电视剧，充满各种明星，而且还是在春节前后播出的……小时候看过的电视剧里最有印象的就是它，一回想起来就觉得心头暖洋洋的也是它！            
(5星)	 原来编剧竟然是廖一梅！大陆时装剧巅峰之作。记得最清楚的是儿子问爸爸为什么你进夜店就没事我就不行，爸爸说“我有金刚不染之身！”            
(3星)	 翻看陈小春的作品 找到这个。。小时候无敌爱看。。啊哈哈哈            
(5星)	 灰常好看，关键有Maggie Q。。。现在再看Nikita，真的不觉得是一个人。。。            
(4星)	 啥都不记得了，廖一梅哎！            
(NA)	 到现在都还记得陈小春形容一件四四方方的屋子为“棺材”。。。。            
(5星)	 徐静蕾启蒙            
(4星)	 我曾经很爱的电视剧，有我很喜欢的TOP TWINZ。当年的徐静蕾多美呀~MaggieQ多清纯呀~            
(5星)	 小时候看的 那时候可喜欢可喜欢了 那时候徐静蕾特别好看            
(5星)	 当年超爱的片子啊            
(5星)	 哈哈。这个都被我翻出来了。            
(5星)	 当年觉得很好看啊            
(4星)	 我记得这主题曲特别好听            
(3星)	 好久好久以前看过的喔            
(5星)	 就是看这部片子让我认识了张丰毅这个亲切的大叔。长大了才知道，亲切约等于性感~            
(5星)	 小学时期的回忆            
(5星)	 印象极深            
(5星)	 好久好久之前的哦~            
(3星)	 那一年的电视台都放这个            
(5星)	 北京味道            
(5星)	 当时觉得山鸡终于来大陆了···            
(3星)	 当时的徐静蕾啊~~才知道是廖一梅编剧的~~不能免俗的有这两个感慨            
(5星)	 我的个亲娘，这都让我想起啦了            
(4星)	 有我喜欢北京的样子            
(4星)	 我就是烦徐静蕾！            
(4星)	 编剧廖一梅啊啊啊啊啊啊 …我太怀念那个时候的生活la 最爱亲人。            
(NA)	 不错 亲切            
(4星)	 好早了            
(3星)	 当时觉得挺好看的 = =            
(4星)	 喜欢。            
(4星)	 歌儿好听，阿龙阿虎好帅，Maggie Q 好靓            
(3星)	 那时候很喜欢徐静蕾所以喜欢看，现在发现编剧竟然是廖一梅            
(3星)	 很喜欢的电视剧，因为有老北京的背景            
(4星)	 张丰毅竟然能挺好玩儿的            
(3星)	 28            
(4星)	 龙堂            
(NA)	 有个翠花吧？            
(4星)	 小时候迷死了。。。。。            
(NA)	 怀旧一下            
(NA)	 当时老喜欢的一部片儿了！            
(4星)	 好早以前看过的片子            
(4星)	  编剧居然是廖一梅。。╮(￣▽￣&#34;)╭             
(4星)	 竹林舞剑的哑女            
(5星)	 很喜欢这种温馨的戏，一家人住在一个四合院里，充满各种故事            
(4星)	 印象中还真挺好看的！            
(4星)	None
(3星)	 Maggie Q            
(1星)	 啊~~呸！！            
(5星)	 必须要5颗星，太喜欢了  但我发现身边好多人都没看过。。。。编辑居然是廖一梅            
(4星)	 熟悉的人情味 贴心的人情味 当时觉得双胞胎好帅啊            
(4星)	 印象中第一次感受到港澳台联袂的大阵仗。。。            
(4星)	 小时候被人说像徐静蕾            
(4星)	 很温馨            
(4星)	 我爸妈很喜欢看，那时候很向往北京。            
(4星)	 廖一梅是少见的有品质的编剧，虽然她并不爱电视剧编剧，龙堂也是目前为止我看过的唯一一部她编剧的电视剧，但是品质绝对不差；徐静蕾的哑女也演得蛮好，最主要和陈小春搭戏是很奇怪的组合，有很强烈的欲望看下去，除此之外，其余的演员表演都算是丰满，难得的好剧作            
(4星)	 小时候觉得这个超好看！！！还因为这个电视剧跟弟弟抢电视把他弄哭。。。            
(5星)	 所以我，求求你，别让我离开你。除了你我不能感到一丝丝情意。            
(3星)	 maggie Q在里面好青涩哦~            
(4星)	 很小的时候看过的片子了，貌似那时候对陈小春和徐静蕾这一对的戏份很是喜欢。有空再看看去            
(5星)	 看过的maggie Q最早作品了 现在人家演霹雳美剧 但还是看着古香古色的老四合院顺眼            
(4星)	 挺好看！            
(NA)	 以前觉得挺好看的！            
(4星)	 非常怀念            
(4星)	 因为maggie Q，原本给三星的，多加一星哈。            
(5星)	 超好看，那时候江苏台放的。。。我和我妈一直看到十一点呢。。。那时候觉得Maggie Q好美，那对台湾兄弟好帅~~~            
(4星)	 小时候看的，那时候觉得徐静蕾真是清纯啊            
(3星)	 Maggie Q那时候很嫩很清纯。            
(4星)	 很久以前            
(3星)	 小学在学校有段时候冲完凉后晚自习以前这段时间能看一下电视 这个剧印象深刻。应该还有别的 不过没这看得多            
(4星)	 当时就觉得MQ乖得很了~            
(4星)	 比较不怪的合拍片。            
(5星)	 the golden age            
(5星)	 小时候很喜欢的一部电视剧 今天提到陈小春 突然想起来了 怀旧一下            
(3星)	 貌似那孪生兄弟都喜欢Maggie Q来的。            
(3星)	 这个貌似我小时候追着看完了~            
(3星)	 第一次对老徐有了印象= =            
(3星)	 MAGGIE Q和那个哥哥还是弟弟最后在一起了吗？            
(4星)	 当时我喜欢极了陈小春。            
(5星)	 小时候看过的电视剧，剧情记不得很多，但对这个名字一直念念不忘，里面的演员也都能清楚记得，不过印象最深的就是非常好看~            
(4星)	 就记着巫启贤            
(5星)	 很想再看一次。。。            
(4星)	 小时候超爱看的~~            
(4星)	 以前看过的电视剧 那是觉得看谁谁美呢            
(4星)	 我好喜欢里面的Maggie噢。。            
(5星)	 我最喜欢的电视剧！            
(5星)	 印象很深的一部            
(4星)	 小学的时候看的 徐静蕾演的哑女印象还是很深刻            
(NA)	 市井百姓家庭的悲欢离合，细水长流            
(5星)	 怀念~~喜欢所有的人~~喜欢那首《人情味》            
(NA)	 想到龙堂就有过节的感觉，那样的四合院和胡同，老北京            
(5星)	 当年我是多么的喜欢徐静蕾啊·····            
(4星)	 家族遗传哮喘。            
(5星)	 就是这部电视剧让年幼的我爱上了maggieQ啊            
(NA)	 当年看过 小春哥的印象最深刻~            
(NA)	 居然是廖一梅            
(5星)	 好多美女好多美女            
(NA)	 很久以前看的，老徐在里面饰演一个有残障的女孩子，很是惊为天人，现在想想觉得自己有点未过事事的感觉。            
(4星)	 徐静蕾 Maggie·Q  还有陈小春            
(4星)	 当年很火啊            
(4星)	 印象中徐静蕾是个哑女？丫不说话为这电视剧平添秋色，哈哈~~            
(4星)	 很有“人”味            
(4星)	 小时候看的，超好看的。            
(NA)	 好怀念啊 当年的老徐还是多青春的            
(5星)	 哎我又看了。。。。            
(3星)	 当年觉得不错            
(NA)	 当年觉得maggie q很好看            
(3星)	 一部剧有了陈小春，就活了。演员都是好喜欢的。            
(NA)	 陈小春的主题曲，我太喜欢了，张丰毅永远是偶像            
(4星)	 因为陈小春、徐静蕾啦！            
(4星)	 当年很喜欢那首人情味。            
(4星)	 当时觉得maggie Q很好看 双胞胎混血兄弟也很帅  徐静蕾还不错 倔强的小姑娘            
(4星)	 原来会唱片尾曲。现在忘了，记得吴家丽是个酒吧老板娘来的。            
(5星)	 当年觉得多好的呀，maggie Q美的呀～～            
(4星)	 我在这部戏里面认识了徐静蕾~            
(NA)	 当年超爱此剧，那个时候的maggie q真是惊为天人            
(NA)	 才发现居然是廖一梅作品            
(5星)	 最近一直想看个电视剧，我是好多年不看电视剧了，最近快过年了，脑海里龙堂的影子翻来覆去，今天就开始看吧。内地电视剧除了士兵突击，我还能记起来的一部。。。特别期待能有部电影版本的龙堂，不过必须还是陈小春，张丰毅来演，陈小春现在也成家也许更能演出里面的味道了            
(2星)	 记得陈小春买泡面 一直吃一直吃 吃到胃里都是蜡            
(4星)	 油！有Maggie Q的！            
(5星)	 老北京 有大爱            
(5星)	 当时觉得很越看越和谐            
(NA)	 哇，這電視劇居然是廖一梅寫的？！我小時候還看過！            
(5星)	 初中那会儿特爱看，现在一想这片完全是星光熠熠还特温情，跑龙套的都不是什么张三李四。还有最深记忆就是片尾曲陈小春的《人情味》，当时我那个爱啊~            
(5星)	 经典            
(4星)	 小时候巨喜欢看的电视剧之一……            
(4星)	 十年前，还是少女的我是多么单纯的喜欢着那两对双胞胎啊TUT            
(4星)	 小时候看的电视剧 总有一些感动            
(4星)	 很早看的了             
(5星)	 感人至深！            
(4星)	 小时候莫名的喜欢            
(5星)	 很温馨            
(NA)	 哈哈            
(NA)	 温馨的家庭剧            
(NA)	 哑女老徐            
(4星)	 我记得这个真挺好看的还            
(4星)	 那个时候我多么喜欢老徐啊……我还知道了“喜欢”的手语……            
(4星)	 现在再看，阵容好强大            
(NA)	 好喜欢那个时候的陈小春和徐静蕾啊！            
(4星)	 记得记得，不过编剧是廖一梅啊……            
(4星)	 但是就喜欢徐静蕾，Maggie Q,陈小春，现在都红了吧？看它也当是回忆逝去的时光了            
(5星)	 当年很喜欢很喜欢            
(3星)	 陈小春，徐静蕾，纯啊            
(5星)	 很好看。當年小學中午放學回家第一件事情就是開電視來看            
(3星)	 这阵容搁今天绝对是黄金级的啊            
(4星)	 贴心的人情味~            
(4星)	 原来我这么早就看过 廖一梅            
(4星)	 陈小春在里面虽然土点，但是还是很有感觉的            
(5星)	 当时真为陈小春和徐静蕾的配对而激动不已            
(4星)	 OMG编剧竟然是廖一梅            
(5星)	 还记得我们的子山            
(4星)	 一众喜欢的演员，Maggie Q只有这么漂亮了。            
(4星)	 回归温暖的家庭            
(3星)	 很神奇的片子 把这么一群人弄一块            
(5星)	 好浓好浓的人情味啊。心向往之啊。            
(4星)	 老徐  那时候  很清纯口耐的            
(4星)	 强大的整容，两岸三地开会了~            
(5星)	  儿时的记忆。。。 MQ和龙虎兄弟很惊艳，“卖鸡、蜜饯、倒过来拉屎”。。。……哈哈哈太有意思了。。。            
(5星)	 非常温馨的电视剧~初中的时候就看过了~很感人~尤其那个时侯的徐静蕾好清纯~MaggieQQ也是~现在回过头来看~还是很感人~证明我还没有被世俗化~            
(4星)	 喜欢那个时候的Maggie Q            
(3星)	 好早以前看的，就觉得徐静蕾特别纯。。            
(5星)	 一部冬天里拍的电视剧 给人感觉暖暖的~            
(4星)	 太温馨了            
(NA)	 喜欢，好看。最喜欢的电视剧之一．            
(4星)	 因为那些人，那些事。因为廖一梅。            
(5星)	 经典！也是个人感觉陈小春最好的电视剧            
(5星)	 温暖的片子。            
(3星)	 明星很多，戏很一般            
(4星)	 都10年前的戏了~其实没有完完全全的看完过~只记得陈小春是和徐静蕾好了，徐还是个哑巴~但我觉得那氛围我很喜欢~谁家有四合院啊~带我去瞅瞅吧！！！            
(5星)	 挺好看的...特经典...不容错过...            
(4星)	 张丰毅 和吴家丽 很 配            
(NA)	 很喜欢剧情。。。。傻傻的小春。。哑女老徐。。还有那个赵学而。。。            
(4星)	 哈哈，终于找到了            
(3星)	 杂家，揉吧在一起。            
(2星)	 编剧竟然是廖一梅！            
(5星)	 中国            
(3星)	 还行。            
(NA)	 ~~  这部不错哦            
(4星)	 当时年龄小啊            
