http://movie.douban.com/subject/6778668/	你是我爱人
(4星)	 今天终于一口气看完了，觉得这部电视剧太过于消极，最后的结局才终于见到温暖的阳光，其实每个人都活在自己的戏里面，又有谁能真正能把这部戏看透了，今天的追求可能是明天想想都要笑的幼稚。确实这是一部中年剧，总是在反思生活，每天的工作是为了什么，是金钱，是名利，是爱情，最后归结为廉洁的思想            
(4星)	 看《男人帮》仿佛看到了今天的自己，看《你是我爱人》《人到四十》仿佛看到了明天的自己，都看完了就不想知道后天自己什么样了。            
(4星)	 喜欢蔺海强……可以什么都不图，就图感情。图一份安然。相差20岁又怎样？            
(4星)	 灭于中国家庭伦理剧            
(5星)	 真的不错            
(4星)	 为啥烂评那么多。。我觉得挺好看诶。。也没觉得那两个女的不要脸啊。。。倒是男的有点受不了。。尤其建军兄，图他啥啊？            
(4星)	 越到后来越烦嗓门高八度的那两个女人啊。。            
(3星)	 有点话唠，剧情有点搞，为了廉洁还是一口气看完了。            
(3星)	 看完片头就基本知道是什么样了，看完片头就知道基本是什么样了，这两句话有什么不同？            
(4星)	 一帮喜欢老男人的无耻姑娘。            
(3星)	 开个奔S去接素不相识的小妹妹！各种套近乎！也太假了嘛！ 先给三星            
(4星)	 终于结局了 纠结死我算了……            
(4星)	 本片唯一的缺点就是宣扬了一树梨花压海棠的编剧意淫式的爱情。所以结尾我没看（尽管我已经知道结果）我觉得结局还是留白的好。Ps：对于还未完全步入社会的我，本片算是一个社会的窗口。Ps:真心喜欢柳宴这个角色以及扮演者。            
(3星)	 我觉得还挺好看的~            
(3星)	 边打游戏边粑到看的            
(4星)	 王熙凤可真是老了   只能看演技了               
(4星)	 实在想不到会栽到这种电视剧上，完全就是一教育片。什么叫做人情练达皆文章，真是一门学问。不同的立场都有理，外表凶悍不代表内心险恶，看似善良也不一定为人真诚。ＰＳ满眼晃的金六福和五谷道场，或说五谷道场这面还活着能啊            
(4星)	 挺现实的，每个人的缺点都赤裸裸地暴露出来。            
(3星)	 估计编剧上天涯上多了，各种狗血的情感帖子大锅烩啊            
(4星)	 剧情很现实，演员演得都不错，不愧是张国立的片子。            
(4星)	 挺写实            
(4星)	 希望以后不要有小三，要不然我不结婚了             
(3星)	 除了某些时候节奏有点慢，人物刻画、整体把握、心理冲突的表现等等都还不错。不过还是没有中国式离婚看的爽，把真相表现的血淋淋的给观众看            
(5星)	 值得一看            
(1星)	 举着反映现实生活的旗帜，其实是在扯蛋            
(4星)	 挺好看的~  那个小三长的真好看呢！！            
(3星)	 一看秋眉就觉得有心计，跟华硕这个女人一样烦。廉洁是个好女孩。所以年轻姑娘跟老男人还是有结果的嘛…            
(4星)	 台词不错            
(3星)	 有点想法和视角 可是摆脱不了大妈剧的节奏和让人脑仁疼的家长里短            
(4星)	 就是看看陈建斌这个角色的人生经验的台词。            
(4星)	 被其他片子比的真算是诚意之作了            
(3星)	 廉洁的演员下了戏比较好看唔~            
(5星)	 好看。            
(4星)	 我很无聊，每天都追，满有意思的            
(4星)	 反应现在的生活            
(4星)	 看多了觉得蛮好看的，海强这人长得不怎么样，但人实诚，还会冷幽默，不错            
(2星)	 这个电视还有水军。看过一集觉得真平淡。            
(4星)	 似乎我看到了生活中的各种人和事，有时候真的看到泪眼婆娑。部分剧情还是为了凑数而上的，还是有着很多国产电视剧的硬伤，不过主题在那了，就不错。            
(4星)	 看得三观都不正了。。挺好的电视 虽然情节有点突飞猛进的感觉            
(4星)	 今天与某人扣扣聊天，赫然发现她扣扣上分享了什么“情人、老婆、小三的区别”……其实看看这剧挺好，挺真实，也能分清这其中有什么差别。一月一号播到一月十八号，终于结束鸟。结局不算真正形式上的大团圆，平淡到我以为明天还要继续播。            
(2星)	 我都想打成一星的就是没好意思。。。好几集基本不用放了！除了秋眉还算能接受外，其余一个比一个2.。。。            
(5星)	 好看啊，一直追着            
(4星)	 各家的各种破事儿啊～～怎么办不敢嫁人了～～～            
(4星)	 挺好看的 很真实            
(5星)	 和两个老顽童一起看张国立出轨~~~            
(4星)	 挺真的            
(3星)	 邓婕说话的腔调一直都是那样吗？？            
(3星)	 张国立这些年有三个角色让我印象深刻：《一声叹息》里的负心汉；《手机》里的精神出轨者；此片。可惜此片和众多的张国立电视剧一样虎头蛇尾。            
(4星)	 小三挺漂亮的            
(5星)	 真实            
(4星)	 结局不错，廉洁说的那些话，得之我幸，失之我命。            
(3星)	 为什么拼博的 春生 柳宴最后都得病啊。结局太柔和了。            
(3星)	 所有人反对了那么长时间，反对得那么坚决，突然就都开窍了，坑爹            
(3星)	 国立大叔果然没以前有魅力。什么烂结尾啊            
(4星)	 好剧本好剧本好剧本            
(5星)	None
(4星)	 咏梅很美~说的话也经典，就是最后的结局觉得有些狗血了，各种不喜欢那个廉洁。            
(3星)	 演员都还算到位            
(5星)	 必须强推一下~     很好的剧~              
(3星)	 里面一些对话还是很有用的             
(3星)	 算是能看得下去吧................不过已然没有当年那么迷陈建斌了..            
(3星)	None
(4星)	 满喜欢柳宴这个角色            
(4星)	 好看。            
(3星)	 真的很真，很现实，很好看            
