http://movie.douban.com/subject/4217513/	就想赖着你 就想賴著你
(4星)	 祝福~~要相信咧~~O(∩_∩)O~            
(4星)	 偶像剧看得人心欢喜就行.大律师的性格很讨喜.=.,=吃醋的时候最可爱..[杨果的样子总是让我想起蔓蔓 - - ]            
(4星)	 就是喜欢看这个冷血无情的大律师~            
(3星)	 陈嘉桦演的这个角色···性格也太好了吧···说到底男人家真当是绝情···七年的感情也不会怀念下···结局了还要跟前女友说  我以前跟你在一起的时候不会这样···然后前女友告诉你  你太爱她了···真是····治愈能力堪称奇迹啊！！！            
(4星)	 第一次发现言承旭演戏很自然，角色很可爱，别扭的怪律师            
(NA)	 Ella和言承旭 凑一对  我好奇 - -            
(NA)	 同屋說我看得那叫一個歡快啊~赫赫，真蠻好玩地            
(4星)	 这样有点轻喜的台剧算不错啦            
(NA)	 言承旭真的很棒~~ELLA很可爱~~虽然剧情无聊了些，但是挺欢乐的。女二号还真是够让人烦的。长的就丑，气质更差~~~            
(4星)	 好白痴，好好笑哦            
(5星)	 看完以后我爱上了言承旭。。。一把年纪还追星。。哎。            
(3星)	 梦啊，纯属做梦片            
(4星)	 很单纯的片子，嘻嘻哈哈就看完了，完全不用动脑子，镜头和色调拍的很像mv            
(4星)	 笑死我了……………………            
(4星)	 丫旭還不錯，但劇情弱化了律師這個職業.........Ella，第一次看她演片，不予評價。給4星是給蠻搞笑的劇情。【最後，小小彬好可愛啊！！！】            
(NA)	 台剧很好不用动脑子            
(4星)	 言承旭应该是在模仿木村拓哉吧~            
(4星)	 很美满的故事            
(5星)	 不错啦             
(NA)	 很欢乐地看完了Ella还是宝的厉害            
(NA)	 挺好玩的~比想象中好~            
(4星)	 好吧，我是冲着帅哥去的            
(5星)	 言承旭变得没那么讨厌了。。。~因为有ella，哈哈            
(NA)	 不知不觉看完的。。这里面Ella还像女的点儿。。。            
(3星)	 终于看完了，好累啊~            
(5星)	 绝对秒杀！！            
(4星)	 真的很可爱诶!!我就是爱看白烂剧。。。            
(4星)	 还不错啊，除了女2号真的很惹人厌            
(4星)	 前面还行，后面拖沓~            
(5星)	 哎呦妈呀～言承旭怎么牙这么白呀～～～            
(NA)	 脱线纠结小幸福的人生~~~~嘿嘿            
(4星)	 不错~，言承旭整一只小狗，杨果他爸真有趣。            
(3星)	 小娴好可爱~            
(5星)	 好看的理由：1、ella和言承旭演得都非常好，很萌的一对 2、配角姐姐爸爸好朋友都超级可爱 3、有齐可中和丁卉凡供我们狂骂解气 4、好朋友一起看的超开心            
(NA)	 个人觉得比下一站幸福好看            
(2星)	 前几集轻松搞笑又好看，后面脑残无聊又难看。为什么杨果一直和男配在谈恋爱！到底谁才是男主角啊？！杨果在剧中完全是ELLA的性格...别扭。跟男配谈恋爱的时候杨果是个小媳妇，跟羽平谈恋爱就变成了地主婆...羽平是个完美好男人！配杨果，浪费了。言承旭真是帅啊魅力十足。杨朵是大亮点。            
(4星)	 每一集都很好笑。            
(NA)	 哈哈哈,.= =            
(3星)	 F4里 先是周渝民的《痞子英雄》，接着是吴建豪的《下一站，幸福》，又是言承旭的《就想赖着你》，都还让人接受；至于朱孝天的《桃花小妹》，与剧中众多帅哥一起出演主角之一，无不让人感叹，哎~！            
(4星)	 言承旭好帅呀好帅呀&gt;ω&lt;            
(3星)	 貌似没那么白烂 有进步~            
(4星)	 典型台湾偶像剧。            
(3星)	 本剧重口味！！！！！！！奶奶的 看的我一边抽搐一边狂笑= =            
(4星)	 又一个灰姑娘的完美故事！            
(4星)	 说实话 看这样的剧挺轻松的 第一次看到Jerry这么的可爱 Ella其实很耐看的            
(5星)	 超可爱            
(4星)	 又一部灰姑娘与白马王子的剧集            
(NA)	 叹气，受天涯影响，我抗拒不了言承旭童鞋的颜看了几集，然后发觉我还是没办法看着言承旭喜欢上ella也受不了这般狗血的剧情。。。还是最言情的保姆老板套路，多希望这部剧是另一个老套剧情——老板爱上爱钱秘书啊啊啊，我真的觉得杨果的姐姐更讨人喜欢啊，可惜这万恶的编剧把她的情路编得如            
(NA)	 我老了，横竖看不进去偶像剧。某某强烈推荐下看了一集，不知所云。。。            
(5星)	 温柔可爱的JERRY            
(4星)	 依然是男二号控。~            
(NA)	 看完我就败给言承旭了。            
(1星)	 .....zhen shi lan ....dao jia le...            
(3星)	 其实我蛮喜欢齐可中的～强劲的男二～～～言承旭终究是欠缺一份气场～马相还是喜欢的            
(NA)	 靠，台剧还真是墨迹，一集一个半小时，我真没耐心了，三集弃            
(4星)	 言承旭超可爱可爱可爱            
(3星)	 再次脑残地看了偶像剧 OTL            
(4星)	 冲着言承旭的黑衬衫和家居服也要给四星的。            
(3星)	 偶像剧真的好简单，只要诚心许愿，就会出现一个真心爱你噶人~~~~            
(5星)	 陪我笑着度过漫漫假期~            
(3星)	 狗血剧情，Jerry除了更帅一点进步都没有。。            
(4星)	 1234清心寡欲 2234无欲则刚 3234丢脸事小 4234赔钱事大 ╮(╯▽╰)╭赔钱也要喜欢傑瑞吶~第一次對傑瑞感冒= =            
(3星)	 还是蔷薇里那个ella！            
(4星)	 有ella的戏都很搞笑,整部剧也很好玩,看的很开心            
(4星)	 看偶像剧最大的好处就像自己在恋爱 好幸福啊 哈哈哈哈             
(5星)	 我就是吃言承旭这套....哈哈哈哈 好看            
(5星)	 jerry依旧帅！ella很2。。不过很可爱。。            
(4星)	 拜倒在他的温柔之下.....            
(4星)	 灰姑娘总是给人很多共鸣和幻想。            
(4星)	 言承旭好帅啊~~~~~~~~~~            
(NA)	 看不下去。。。。。。。。            
(3星)	 杯具啊~网上已经有全剧视频了~            
(5星)	 ella 4星 还有一星给jerry            
(4星)	 GOOD            
(3星)	 因為言承旭多給一個星星            
(3星)	 ella脑袋上那一撮毛            
(4星)	 我就是喜欢项羽平这样有点小霸道，其实骨子里是善良的要命，还有点孩子气，会任性，会腻死人，不过很甜蜜~~~~哎哟~我好爱哦~            
(4星)	 小娴是个亮点，配角全部那么闪闪生辉            
(3星)	 小小彬好可爱~~~~~            
(3星)	 轻喜剧。            
(4星)	 ELLA真是個可愛的娃娃            
(4星)	 阿旭！！！！！！！            
(5星)	 好看好看 他们很配啊            
(4星)	 比想象中好...第一次觉得言承旭和女主蛮搭的...原来他适合男人婆这个类型的            
(4星)	 以前没那么喜欢言承旭的~但看完之后真的觉得他超可爱的~算是一部不错的偶像剧了~除了女二外...            
(2星)	 剧情太弱智，言承旭越看越土。。。倒是小娴很亮眼啊，三八发挥超常啊，台剧就应该多弄这些三八角色            
(5星)	 好看~            
(4星)	 T-T都快十年了，我居然又被言承旭成功秒到！看的好欢乐！！！！！！！！            
(4星)	 本來不看好 結果還不錯~   楊朵有出挑~！言承旭有長進的  虧我媽那麼喜歡他~！            
(3星)	 1.项羽平，你到底是胃出血还是脑中风啊，她对什么感兴趣干你什么事？18集直接跳到大结局，受不了拖沓的剧情，实在太狗血，每个情节都似曾相识，白瞎了帅气的言承旭了~~~            
(3星)	 最好是把六年后给重拍 目前的结局太一般了 扣分            
(NA)	 还是笑了很多，雷出来的。。            
(4星)	 眼镜男真恶心!!!!看到一半必须来吐槽!!!大明星和眼镜男都很贱!!!            
(NA)	 【2010-01-24】            
(3星)	 什么人都会是什么别人的菜。            
(3星)	 这部能有这么高分?            
(3星)	 言承旭比以前顺眼好多，ELLA的姐姐还不错            
(3星)	 真欢乐。Ella表情好丰富。跟言承旭很搭耶。姐姐真彪悍，喜欢~张勋杰也八错。            
(4星)	 两位主角都很不错啊，看人就很好了喂。            
(4星)	 衬衫每件都好看到爆 男人果然身材很重要 =v= 适时来部偶像剧总能从失望中燃起一把花痴的希望 最爆笑的是言承旭说“《长假》是我们这个年纪才会看的” XDD            
(4星)	 言承旭和ELLA的组合可以哒~             
(3星)	 小言微妙地帅气耶。做作没关系。            
(2星)	 賴你妹            
(NA)	 言承旭牙好白啊~！！            
(4星)	 完了，我又落入俗套了……言承旭同学其实长得真还行……演技也还行……            
(2星)	 ella就是最大的败笔！            
(4星)	 这么大年纪了为啥我看这种立体感很强的男人还是很花痴呀 喂            
(5星)	 那些种种没有说出口的，令我们错过多少。遇到爱的你，一定要给自己一个机会。4分，再加一分给言承旭，全5分。刘德华说我和皎皎花痴言承旭，哈哈哈哈，其实人家有演技，为人又谦逊，又帅的……            
(4星)	 很久没看台剧了……，虽然是边打游戏边看完的……            
(3星)	 补血~~            
(4星)	 我发现我很喜欢陈嘉桦！！！不过这样的片子还是比较没营养......不过看台湾的电视剧有治愈的感觉啊.......            
(4星)	 俩小孩很可爱嘛，姐姐这个角色我也很喜欢，剧情出乎意料地中肯，但是结局……也……太……狗……血……了……吧……作为偶像剧还是推荐的            
(5星)	 不管你长得漂不漂亮，有没有钱，都会有一个人珍惜你，爱你。            
(4星)	 言承旭怎么还是和10年前一样迷人T T衬衫西装裤什么的…看得我仿佛又回到了少女时代= =            
(5星)	None
(4星)	 言承旭怎么看都是道明寺            
(NA)	 梁志豪好可爱呦~;-)            
(4星)	 言承旭的身材真是一级棒！一年前看时怎么没注意到。            
(4星)	 全都是给言承旭的             
(2星)	 只是来吐槽ella的那个翘起的头毛..            
(NA)	 我竟然断断续续看完了……            
(5星)	 怎么会又再次爱上这么弱理的片子，爱上言承旭            
(3星)	 看了这部剧以后就没那么讨厌言承旭了。            
(2星)	 看得我直起鸡皮疙瘩。。            
(3星)	 十年前我没喜欢上F4里面的你，十年后迷上你孩子气的笑容和可爱的小表情            
(4星)	 看着很欢乐搞笑死啦            
(1星)	 受不鸟台湾偶像剧了，每个都年纪一大把了还            
(2星)	 两星半吧= =真心没那么好看啊- -            
(NA)	 好帅！！！！！！！！！！！！！！！！！！！！！！！            
(3星)	 甜蜜开心            
(4星)	 ^  ^            
(4星)	 时隔多年，对言承旭依然毫无招架能力。心痒痒啊！！！不过，实在有点受不了ella卖萌啊！有点过于了吧！真委屈了帅哥呀^^            
(5星)	 有时候脑残简单的电视剧真的很治愈，原来前男友前女友什么的能被美化到这种程度，这个剧带来的两天半的美妙时光，言承旭还是那么帅，5星。            
(3星)	 哦觉得言承旭有点帅了啊            
(4星)	 10年了 再次被言承旭秒杀到 怎么可以演的这么可爱这么帅 看得好欢乐 偶像剧果然是要挑着看的 结局那集比较拖沓 其他很好。另外我喜欢杨朵和梁律师啊亲！怎么不在一起啊亲！            
(3星)	 “《流星花园》你有看过吧？”“有啊，我看的是韩剧版的，具俊表好帅喔……”不顾及各位的职业素养还有如果快进看的话这真是一部有趣的剧啊，最有趣奖颁给女主的姐姐……            
(NA)	 再次证明在偶像剧方面言承旭总是手足无措一点演技都木有啊！！！还是白色巨塔好啊！！话说ella都一把年纪了还装可爱。。不过是挺可爱的~~小小彬真招人喜欢~~~~~~~~            
(5星)	 很喜欢里面的miss 杨，真是受不了言承旭穿西裤白衬衫啊，鼻血止不住的流啊流            
(3星)	 言承旭yummy啊！            
(1星)	 完全看不下去，真律师看到要脸抽筋的吧。台湾偶像剧真是覆灭了，怀念《花样少男少女》（剧本还是用人家的比较好），这导演之前的《斗鱼》也没这么烂把，不过总之是不能带脑子看            
(5星)	 十年之后再次被言承旭秒杀- -|||            
(4星)	 言承旭            
(5星)	 我发现 我又犯花痴了 还是你 暴龙~            
(3星)	 ella是不是瘦了，比蔷薇花园漂亮了好多，还有言承旭不是很适合演律师这种角色，囧            
(4星)	 我能说锅盖儿头很治愈么？都想剪短发了...            
(NA)	 又看台剧了。。。花絮好看~白衬衫！            
(4星)	 超帅！            
(4星)	 看下去了            
(NA)	 灰姑娘的童话。            
(NA)	 一半 弃            
(3星)	 偶尔看看台偶，不动大脑还是蛮欢乐的~~喜欢酒窝男啊喜欢眼镜男啊~~陈紫函的脸真精致，可是还是不喜欢o(︶︿︶)o 唉            
(4星)	 我又开始萌言承旭了~\(≧▽≦)/~            
(NA)	 涩涩的..            
(4星)	 好久没看到这么对味的剧了 看来我的智商还是在台剧这里啊 我就不明白言承旭怎么还这么帅啊 男二那胡子简直恶心            
(3星)	 很欣赏杨朵            
(5星)	 我是閑的有多無聊啊！終於第一次覺得可以理解為毛當年有人喜歡道明寺而不是花澤類了！            
(4星)	 言承旭你还可以让我更爱一点么～～            
(5星)	 Ella真系好好笑咯~特别系D NG片段笑死我            
(4星)	 欢乐可爱。真爱无敌。            
(3星)	 13            
(3星)	 太吵了- -&#34; 言承旭老了成熟了            
(4星)	 好久没做这种自毁智商的事了，还挺好。            
(4星)	 全身心的看狗血偶像剧绝对是有益身心的事！！PS:言承旭在里面好可爱啊！！！牙齿好白！我就很喜欢ella            
(4星)	 从道明寺到项羽平，当中有10年了？时间让人有魅力。这次视线不能离开他。            
(4星)	 羽平和可中我都爱~笑起来为什么那么好看呀~不过觉着言承旭还是有点小孩子= =            
(4星)	 我爱言承旭            
(4星)	 很不错！            
(3星)	 喜欢那个姐姐            
(3星)	 不算从头到尾认真看过，只是无聊时候看电视打发时间用的……            
(3星)	 kill time的台剧。            
(5星)	 打鸡血了阿。。。。            
(5星)	 虽然你还是有点man，但是终于可以被保护，被呵护了~~你是心里美~没有钱也一样很快乐~            
(5星)	 很好看。因为这个电视知道言承旭，然后翻看他以前的影片，才看流星花园，让我一个极为后知后觉的人第一次成了追星族。喜欢男主角的气质和演绎。            
(NA)	 男主真是好到我内牛满面了            
(4星)	 剧情老套  女主角演技也不怎么滴  可还是很可爱很欢快  最最关键的是 言承旭真的很帅  噢噢～··以致于一向排斥泡沫剧的我 每天守着电视等开播真正的爱是不为难的爱            
(4星)	 突然很想看偶像剧~~~可是马上要考试= =！            
(4星)	 大房。。O(∩_∩)O哈哈哈~            
(5星)	 9年后，我又被言承旭秒杀了！正死了~~可爱死了~~            
(4星)	 虽然剧情比较狗血，但是架不住言承旭太帅，ella太搞笑，所以，得个4星当之无愧。            
(5星)	 偷偷爱着你的ella+流星花园的言成旭，赤果果的美丽青春啊。。。好久不看台湾偶像剧的我又买了DVD，张勋杰变帅了            
(3星)	 就冲着言承旭去的…十年了仿佛都没怎么变，还是那么有感觉…西装神马的最帅了，长手长脚的高个子真是衣服架子啊~            
(5星)	 挥之不去的温暖。            
(3星)	 被言承旭秒杀。。。哎呀。。。最吃不消一边腼腆一边可爱的面瘫男。。。满眼红心。。。            
(NA)	 艾拉陈的演技进步了            
(4星)	 优质偶像剧            
(4星)	 言同学还是很不错的...            
(4星)	 我去名都改了怎么            
(4星)	 我最近果然是太无聊了嘛~竟然发现言承旭好帅啊~            
(NA)	 言承旭好帅            
(4星)	 表示一边津津有味地看一边还要装逼地打低分，还真难办……我觉得挺好看的，言承旭是当初F4里我最喜欢的，现在还是……= =            
(4星)	 男主超cute            
(4星)	 哦哟，完了，得了言承旭花痴症了~~~            
(4星)	 Ella演的杨果和蔷薇之恋里的那个mm几乎是一个模子里印出来的，虽然这两部都不错，但是有没有Ella演其他性格的mm的言情剧啊？            
(5星)	 其实呐，言承旭还好~哈哈哈哈            
(4星)	 秒杀诶            
(4星)	 在家泡了一天看这个偶像剧，7年的感情也敌不过两三个月的朝夕相处，果然是没有拆不散的夫妻没有不努力的小三。是电视演的太夸张还是现实本就如此？            
(3星)	 是咧姐这把岁数还在看这种剧。加滑你真不合适演这种角色因为你嫩不成小缕森辽            
(NA)	 我竟然看完了-____-            
(5星)	 原来对言承旭不感冒，今观此电影，我觉得找一个言承旭这样的人来爱真不错。            
(5星)	 言承旭华丽丽的身材和长相让我看完了这剧            
(4星)	 还是非常轻松愉快的，而且言承旭真的好帅            
(4星)	 轻松vs搞笑～            
(NA)	 男主女性化。女主男性化。            
(4星)	 这样的言承旭真好。            
(3星)	 花了4个晚上看完……怎么说呢，反正是happy ending……中间部分太纠葛，5个人的感情，扯来扯去……抓狂……后面部分收尾又很草率……两个主角不是帅哥也不是美女……汗，不知道评价怎么会这么高            
(4星)	 好吧，四星完全是因为男主角的颜and身材  口水ing~~~            
(5星)	 超爱阿旭，ELLA            
(5星)	 言承旭在里面真是帅到爆啊！！！奇怪以前流星花园怎么没觉得。从这部剧开始喜欢言承旭，hiahia            
(NA)	 不错啊 看着玩何妨咧；小小彬真是可爱啊！            
