http://movie.douban.com/subject/3609075/	蜗居
(1星)	 我必须要说 这个编剧不是脑残就是智障 海藻他妈的滥情也就算了 装纯装的也太他娘的有境界了 看的我们全寝都要吐血了!!!!做的第三者能做到她这么理直气壮 偷人偷到最高境界 最后她却有个那么好的结局 敢问下 这是要鼓励我们这些年轻女子去破坏别人家庭去做第三者吗???            
(5星)	 房奴当二奶挣到了钱，钱给了开发商买房，房价上涨是因为：房奴给的钱要贿赂当官的主管。当官的主管用收到的钱，来养二奶，原来是产业链，我还以为，是房奴用自己的钱包养自己呢            
(4星)	 只有发展中国家才能产出这样多关于阶级变化与社会剧变的电视剧：价值观崩溃，贫富差距，新旧交换，欲望，道德……哎活着太不容易了            
(4星)	 小贝还是老宋，这可比台湾偶像剧的单无双选小草莓还是北极熊，难多了。             
(4星)	 平胸长腿学生妹推倒手册            
(4星)	 1.“权势是最好的春药。”（基辛格）但即便排除了权势这层，宋思明在现实中恐怕也难有人拒绝。2.越在乎，越危险。男人泡妞不够多难保不会当上小贝，女人钓凯太少没练过也易沦为海藻，所以，按韩寒258理论，练招吧。3.练招亦有风险：一切都看的太清往往也就没了意思。情深不寿，慧极必伤是也。            
(5星)	 在豆瓣上看到有人在评价《蜗居》，这部曾经红火过一阵的电视剧。有人在议论，如果你是海藻，你会选择宋思明还是小贝。我只想说，上天对海藻不够厚爱，如果海藻先遭遇宋，累累伤痕后，小贝的出现，将是海藻一生的归宿，多好。对于一个从小地方来到大城市闯荡，又是刚从学校毕业出来的女孩来说，            
(4星)	 其实这里边最不靠谱的是他妈的海萍！            
(2星)	 这个海藻不死，这结局就不能算完美            
(4星)	 断断续续看了，中间漏了几集，昨天看了个大结局，宋思明非常男人，海藻非常惨。对现代中国社会巨大压力造成的心理乖戾感描述得很真实。            
(4星)	 讨厌一群装B的评论            
(3星)	 完全跑了房奴的题儿。巨讨厌那个郭海藻，做了BZ还要立牌坊。抓狂！六六这个家庭妇女写出来的婚姻观还真是一无是处。            
(4星)	 那个海萍那句是恶心到我了“我们算是在这个城市扎根下来了，海藻你呢？”  。。。。。。。。这女人还是适合去失业，他老公还是适合去坐牢。            
(4星)	 剧情很真实，台词很大胆，这结局绝对是被和谐过的，说教味还是浓了点            
(3星)	 女人啊，有了儿子闺女还要男人干什么？？有钱了什么样的鸭子找不来？非要跟个男人过天天的日子就舒坦了？？真是搞笑。有钱了多花，没钱了少花，自己有什么样的本事就过什么样的日子。只要钱攥在自己手里，何必非要看男人脸色过日子呢？？男人也就都是几分钟            
(NA)	 他妈的，破电视剧看得我压抑死了- -            
(4星)	 一句话：这俩女的果然是姐妹。要活成她们这样，我可以克屎了。            
(NA)	 海藻的杯具根源在于有一个老鸨似的姐姐，蜗居的杯具根源在于给老鸨立牌坊。            
(NA)	 我看得时候从没喜欢过宋思明，尽管他睿智，成熟，但是他太强权，并且自私，他的所谓爱不过是占有而已。同样的，我并不同情海藻，性格决定命运，她摇摆不定，对物质对肉欲都缺乏抵抗力，她以为享受当下就可以，最后落得个人财两失。我奇怪的只是为什么身边有些人看的时候抱着一个很歪曲的价值观。            
(NA)	 海潮的那次大姨妈是对处女控们赤裸裸的嘲弄，挖哈哈哈哈哈            
(4星)	 一部通过房地产商与官员勾结,海漂族的房奴生活,钉子户的命运,80后&#34;二奶&#34;等元素影射&#34;上海社保案&#34;的现代都市剧.            
(4星)	 35集版，剧拍的不错，体制内也最多只能拍成这样了；跑题&amp;孙书记那番“高论”，减一星。            
(4星)	 宋和海藻应该是相爱的。特别是白逸纯那个人的浮现，让我感到宋对青春时的情怀的留恋。只是宋过于聪明、知晓太多世故，而海藻又太幼稚。小贝很爱海藻，这是真的，但还不足以包容海藻的一切，也没有爱到爱屋及乌的境地。他也免不了自私。海萍的奋斗道路就完全正确吗？也未见得。她的结局被美化了。            
(3星)	 如果没有最后出国那段，我就真是太喜欢这个二奶最后的结局了！美化偷情外遇攀龙附凤的丑事真恶心！            
(4星)	 宋思明不是个好贪官而是个情种；海藻不是个好二奶而是个单纯的姑娘，所以，蜗居注定是个杯具            
(5星)	 据说有原型。江州即上海。宋思明是唯一丰满的人物。            
(5星)	 郭海藻贱到骨子里了，破环别人家庭的以后都得遭报应！            
(4星)	 海藻一发嗲我就发堵            
(3星)	 去洛杉矶继续卖比养活一家子            
(4星)	 我喜欢张嘉译。。。            
(3星)	 这价值观 太变态了...怨妇型人格...            
(4星)	 我承认，我俗了。张叔演得很好。就喜欢他走路摇头摆尾的得瑟样儿......不过还是希望您的背痛会好点儿。            
(4星)	 會講中文的老外是忒TMD好了，中國女人要聰明的就應該找老外！            
(5星)	 这就叫现实            
(4星)	 uesd to be            
(4星)	 对海萍对妹妹开始和宋思明接触时的放任自流的态度很不满 不能说没有一己私欲掺杂其中 我也是当姐姐的人 至少知道我亲弟弟将误入歧途时我肯定会帮他 竭尽所能 倾其所有            
(5星)	 五星给的是敢影射06年陈良宇社保基金挪用案以及&#34;上海第一秘&#34;和描写官场商场或生活中各种细节潜规则的勇气。这在贪官片里不多。而关于房子和二奶，自己心里明白就行，人各有志            
(4星)	 大陆片的四星。男主演的比较好            
(4星)	 我只能说这个社会太现实，有很多像海藻一样的女孩，也有很多小贝一样被伤害的人。            
(2星)	 完全是一个礼坏乐崩的时代。全都是一脸贪婪，恶心死了。            
(NA)	 二奶是怎样炼成的~            
(2星)	 脑残剧。看到后来就是想看看可以极品可以扭曲到什么程度。            
(2星)	 看在六六的面子上把这部二奶包养记一扫而过。在毫无原则的前提下说原则，就一个字送这部电视剧【屎】，不谢。            
(4星)	 真心讨厌海藻这人物 文章怎么总是演这种悲情角色啊……            
(2星)	 过一过二不过三            
(4星)	 片中的江州不就是上海么..虽然不太喜欢宋思明但最后他为海藻所安排的一切有理由相信他是真爱海藻..可我总觉得他是以为海藻是处所以才这样的..现实中没几个男人是小贝...            
(4星)	 小三的下场是终身不孕  包小三的下场是死。            
(3星)	 女孩儿得富养 这是真理            
(4星)	 太长 结尾比较狗血            
(4星)	 撕破脸给你看            
(4星)	 当一个人背负着那么多生活的烙印 那么多生活的回忆  余生将如何继续？不要哭 孩子 那样会不漂亮                                          让人崩塌的结局             
(3星)	 看见宋思明和海藻的戏份就有吞苍蝇之感            
(4星)	 开始是社会题材，接着是爱情题材，然后是戏剧题材，最后是反腐题材。            
(3星)	 越到后来越无聊            
(4星)	 杯具啊~~活生生的杯具            
(4星)	 其实 宋思明 是个还算真实的人 海藻 就算了吧            
(3星)	 認真你就輸了。            
(3星)	 所有贪官污吏背后都有一个贪得无厌的女人，这点很有意思。你说，这官场仕途走得容易吗？老来公私不分混帐一把，就真的那么快活好过了吗？值得吗？人呐，要服老，要认命。太多的关系，发乎情，也请止乎理。            
(5星)	 我爱我的小贝，让小三都去死。。            
(4星)	 现实，戏里的剧情一段时间成了和同事朋友聊天谈论的话题。小三使世界变得更拥挤。。。。。。            
(5星)	 一定要牢牢记住 不要成为自己不想成为的大人            
(NA)	 一个片子讲了很多，陆涛，向南，华子，猪头，还有一开始跳楼的那个男娃，恩恩，代表了很多。。。            
(5星)	 海藻是巨蟹座            
(4星)	 還在事業起步階段的我真的很想成為宋思明那樣成功的小貝~            
(4星)	 本以为类似奋斗的口水剧，看过还是觉得不错。海萍和苏淳的磨砺是对真正生活的诠释吧。当二奶和包二奶的刺激和诱惑，很多时候总会被带上一个爱的光环。            
(5星)	 蜗居太现实,以至于蜗居受到很多的批评.            
(3星)	 前半部分剧情还不错，后半部分怎么个感觉都在敷衍观众呀~~            
(3星)	 活该。。。            
(4星)	 看了 引以为戒！！！都是血的教训            
(2星)	 扯淡剧            
(2星)	 看不下去了。我忍受不了按數次快進才能正常看的電視劇。            
(4星)	 就是讲现实            
(5星)	 结局怎么可以这么悲。。。所以做人都是一场空。。。            
(1星)	 整个电视剧就是一个大悲剧            
(4星)	 搭了整整两天外加一个晚上 终于看完 有时间的还是建议看看 值得的            
(NA)	 炒火的？大妈片？            
(3星)	 真够傻逼的            
(NA)	 宋思明算不算为了海藻去死 为了爱去死            
(4星)	 我就是喜欢宋思明！！就是喜欢宋思明~！！！            
(4星)	 嗯，现实的有点夸张了。            
(5星)	 现实主义            
(1星)	 一个小说可以向现实媚俗，但一个电视剧不可以，被包养确实来钱快，这个电视剧误导了很多人，也给被包养的人很多让人同情的理由，但偷窃抢劫也不是同样来钱快，每个贼后面都有让人同情的故事啊，但这不能成为可以姑息的理由。做人要顺着正路走，在艰苦也要走，不要寻求损人利己的捷径。            
(4星)	 有一些对话很见底            
(4星)	 说宋思明是好人的 脑子都进水了吧            
(3星)	 我跟我妈都边看边鄙视海藻女            
(3星)	 reality            
(4星)	 现实如此            
(4星)	 20出头的人都应该看看的，看完了明白了很多事，现实早晚得面对            
(3星)	 编剧的价值观混乱，到最后自己都不知道自己在干嘛。            
(4星)	 中国现在的电视剧比电影好看            
(3星)	 生活其实更残酷            
(4星)	 结局让我很难受。。。            
(5星)	 除了背景音乐让人温馨，用肮脏的题材反映当下肮脏的社会~~~            
(NA)	 有勇气的编剧，贴现实的表达，不少经典台词。            
(3星)	 摄像、演技都很糟糕，原著也一般，胜在题材。            
(3星)	 什么二奶不二奶，人家是真爱！            
(3星)	 双鱼女和天蝎男（抑或摩羯男）？ 外国雷锋您是纯幻想吧您。            
(NA)	 太恶心了，海藻就一贱人，快奔三的人拼命装10岁的幼齿纯情，害我看到梦游娃娃就想吐，最表脸的，还又想做婊子又拼命立牌坊。真想抽她            
(NA)	 越看越难看啊..            
(NA)	 不好打星。            
(NA)	 像宋大哥那样的包养者已经不多了吧            
(4星)	 现实主义悲剧作品            
(4星)	 我觉得海萍好漂亮呀，小贝人好好啊~            
(NA)	 索性全社会求包养吧。            
(4星)	 还算好看吧。。。宋就是叔的榜样。。。            
(1星)	 封殺！封殺！！！            
(2星)	 海藻臭婊子！            
(3星)	 不喜欢。            
(4星)	 最讨厌海萍            
(3星)	 无比讨厌海藻这样的女人。后半部分没法看，整个就是一小三得宠记啊～            
(4星)	 今年夏天看的.            
(4星)	 喜欢张嘉译这种大叔 ╮(╯3╰)╭            
(3星)	 海藻愚蠢海萍自私，她们妈妈倒是挺明事的            
(4星)	 李念活泼娇憨小三悲剧，张嘉译意外演得好，海清郝平也到位，对买房一族讽刺描写，台词精妙，床戏反不如预期，另外中间拖沓一些            
(NA)	 把这个社会的种种病态驳斥了个体无完肤。            
(4星)	 很多时候，人生就这样；在你期盼中失望，而在不经意间又错过了机会。当个小三不容易。            
(3星)	 一般来说书还是比剧好看。            
(4星)	 哈哈我终于看过了。。。            
(3星)	 剧情还可以，但是为什么就那么一两个插曲没完没了的回放！！完全破坏！！！            
(1星)	 烂鸡巴。            
(5星)	 银生啊。            
(5星)	 社会被映射的亮点！！漏洞多了点，而且剧中主人公的台词出现了“上海”            
(3星)	 凑活吧，勉强接受。            
(3星)	 恰好反映了当下现实 红得自然有理 或许又可以借由观众的不同反应衍生出几个迷你剧 说不定还满有趣的呢 国内的电视剧市场还是太缺乏创意 题材虽然变幻但路数其实几十年如一 这一点还真没劲            
(NA)	 看过一些。            
(5星)	 不到节骨眼不说疼            
(5星)	 现实。            
(NA)	 突击两天两夜仔细看完了。明明白白的性格杯具，却被贴上了社会杯具的狗皮膏药。            
(5星)	 年青的愚蠢。浮华的妖光。贪心的眷恋。伤口的不愈。            
(1星)	 ……比那个奋斗还要难看一点，因为演员演技还要再烂一点            
(4星)	 全剧也就宋太太一个明白人。            
(4星)	 内容很现实，结尾太仓促。            
(3星)	 小三的血泪史。。。。            
(3星)	 抛开剧中的感情和道德——感情太屎；道德一句话两句话也说不完。就现实感来说，刚看前几集的时候我就惊了，这挺长时间没看电视剧，中国的电视剧都这么牛逼了，太给劲了吧？一句话一句现实，一句废话没有，真棒。有空寻思着找原著小说来看看，觉得那条很一般的情感线也许并不是编剧六六的本意。            
(4星)	 一分专门给张嘉译            
(NA)	 囧。怎么会这样。            
(3星)	 你爱谁。我爱小贝。我爱小贝。我爱小贝。            
(4星)	 要么做贪官 要么做二奶            
(4星)	 整体的真实与细节的虚构正好和《奋斗》相反            
(3星)	 我彻底腐了            
(4星)	 如果没有海萍在最后一集说教般的自我表达，或者说成对海藻非常矫情的教育，我会给五星。海藻走上了这条路，海萍有不可推卸的责任，她深知这一点却还不忘为自己树立高大形象，真是可悲！但有一点我始终坚持，我很喜欢宋思明！            
(4星)	 看过蜗居，很窝心……            
(5星)	 非常现实~             
(5星)	 没什么特别的， 在上海住过的人要是说不真实就立刻应该拖出去zhan了            
(4星)	 比Reality show还real。。。            
(5星)	 虐死我了，一个多星期还没缓过来，看天空都是灰的、、、、            
(5星)	 通宵看完的            
(4星)	 太现实了，我该怎么活，我们怎么买房呢，找个工作还不够付房租，哎，80后我们生不逢时呀！！！看得我胆战心惊啊，前途一片黑暗！！            
(4星)	 算是现实的一面。。。但又让太多有梦的人也死心了。。。            
(5星)	 太现实了            
(5星)	 很现实!            
(5星)	 太现实了，看后不得不让我重新思考一下生活了！            
(3星)	 一般，不是现实的连续剧，其实就是一感情片，最喜欢里面的钉子户老太太。            
(3星)	 听说很多人看完后离婚了，电视剧现实好，太现实就容易引起恐慌啊            
(5星)	 印象中感觉最为现实的一部电视剧，看完后感觉有颇多感触想要抒发，却都无从说起。            
(4星)	 赶赶潮流 看完觉得没有那么好            
(5星)	 现实主义作品            
(4星)	 中国就是缺这样的反应社会现实的电视剧            
(NA)	 太现实了，当下现实中的矛盾！平凡人的艰辛生活            
(5星)	 岂是一个沉重了得            
(5星)	 前段时间光荣的窝居在寝室看《蜗居》，看的那是个纠结啊。网上铺天盖地的文章接踵而来，谈论海藻，谈论宋思明与她的感情，谈论海萍夫妻名牌大学毕业后，纠结于生活，纠结于房子，各种各样的谈论彼此不休。不想去谈论海藻与宋思明的感情，批判也好，可怜也好，都不想多去讨论，感情嘛，本来就是个纠结的            
(3星)	 开始还在讲市民生活，后来就变成了海藻和宋的感情生活。。没有意思。。            
(5星)	 看了不想结婚，现实得令人极其郁闷的电视剧，就应该多拍拍这种反映无组织背景我们这些悲惨80后的生活，让那些管房地产的人多替人民群众想想，看看他们都把80后逼成什么样了            
(5星)	 很真实，很犀利，顶编剧导演演员以及若干喜欢看蜗居的同道中人~鄙视广电总局局长，那个住着2套豪宅还痛批蜗居的白痴！顶蜗居！            
(4星)	 好看~演员演得好，台词好，道具什么的也很到位。不过难倒这个电视剧是要告诉我们千万不要做二奶，但是一定要让姐妹做二奶？……最后受益的只有海萍夫妇让我很不满，他们还要搞得像都是自己奋斗出来的一样，其实没有海藻，他们连首付都付不了，苏淳也出不来。宋太最后做的毁了整出，典型的损人不利己。            
(NA)	 刚看觉得震撼，后感觉得不过是电视。            
(4星)	 现实，but虎头蛇尾            
(4星)	 蜗居里面的情节和事都蛮生活化的，从小事可以分辨出每个角色对待生活的态度，生很简单，活也很容易，就是生活不简单吧。觉得凡事都不该走捷径，还是应踏踏实实吧。            
(4星)	 高中毕业的小屁孩进大学之前都该当教育片看一下，提前了解社会            
(4星)	 我也是普通人，可以把我放到剧中的任何一个位置，都有可能成为我的位置。我生活的时代，时代的真相让我反思，除了这样的命运，普通人还可以选择自己的生活么。            
(2星)	 完全不符合上海事实，适合骗骗不了解上海的大学生            
(4星)	 一会就看完了            
(NA)	 ....好灰暗.....好绝望....与混沌.....是禁播的原因吗            
(4星)	 其实挺心疼海藻 看到她最后的样子 心软一地.把之前的厌恶都清除了/而作为一名社会主义青年 一如既往的恶心领导.特别是觉得有两片钱有点J8权利把自己当好人聪明人还TM有雄风的/其他人都是这个狗日社会下辛苦活着的好人/国产电视剧挺少看 不懂打分 很多台词让我思考 让我笑了 就足够            
(4星)	 现实是现实，但是....唉            
(4星)	 最后实在不怎么美好。            
(4星)	 血淋淋的露骨的一切、            
(3星)	 茶余饭后打发时间还行            
(4星)	 现在的中国，还有像孙书记那样的神仙哥哥吗？            
(4星)	 3+台词挺贫，挺生活化。剧情过于戏剧化。宣传手法值得借鉴            
(4星)	 生活很现实，难得电视剧的表演可以较为尊重原著，尽管我也没有看过书。小贝说爱海藻已经爱到骨头里了，其实他只是不甘心，男人的自尊心在作怪，那时候的他并不是深爱。宋思明的失败则在于和张市长一起海捞的时候没有多分钱给书记。至于海萍，没什么好说的，一个姐姐可以做到这么无耻的份上真是少有了。            
(4星)	 小贝说，海藻，我还是放不下你，我爱你爱到骨子里了。            
(4星)	 哈哈            
(4星)	 sigh。            
(4星)	 才看了三集。大多数人看这剧，可能是心酸，感动，共鸣的成分居多。这也就是广电局能批这个剧各大电视台播放的原因吧。能有多少人看的时候会觉得人物的人生观价值观已经被社会这个大锅炉烘得一成不变。一成不变的可怜，歪曲。民生，在政治制度的鞭子下，以慢性的痛在每日每夜持续着。            
(4星)	 海萍是无用的男人造就出来的。小贝那样的男人，即使再穷也是幸福的。            
(3星)	 宋思明我好爱你！！！！！！！！！！！！！！！！海藻开始很正常，后期完全是傻逼            
(5星)	 这才是60周年最符合中国国情的献礼！            
(NA)	 一部完整的二奶史 很衰弱很动人            
(NA)	 你煽动你的，我崩溃我的，本是2不相关的事。            
(NA)	 一滴经血引发的变数            
(3星)	 黄！            
(3星)	 跟风。            
(3星)	 海萍这个人物塑造的不好，性格倾向很不稳定，基本上算是个人格分裂，而且不是自主分裂，是根据剧情分裂。            
(4星)	 有关欲望、现实、梦想、矛盾、挣扎、虚荣⋯⋯还有爱情            
(4星)	 那年剧作课 我交了一故事大纲上去 俗不可耐的亦舒+张小娴结合 老师说 “艾 你这个故事 太绝望了”我就知道呀 写得出亲情树那样的老师 果然不会想到 后来会冒出来双面胶还有蜗居这样 比我那故事更绝望一百倍的故事            
(2星)	 就是觉得很假，所有的演员表演都很假，剧情很多地方更是莫名其妙，还有旁白，恶心恶心！            
(4星)	 我谁都不喜欢，小贝是个痴情的傻子，宋思明是个让我看着不顺眼的老男人，为了钱和老男人上床还说真爱，爱个鬼啊爱            
(4星)	 《蜗居》绝对是恐怖片。            
(4星)	 心痛 为小贝            
(4星)	 偶然在青少频道看了第三集，就去买了碟。。演妹妹的居然是京山的姑娘。。一个清新的涉世未深的二奶和一个有很多优点甚至有点迷人的贪官，人物不是一边倒的好或者坏，仿佛人人都是身不由己。这或许也是它大热的原因之一吧，人物比较饱满，也满足了大家对某个群体的偷窥欲            
(4星)	 前十集是现实剧。佩服编剧            
(4星)	 看了半天 結果又是一教育片            
(4星)	 他们俩太黄了            
(5星)	 小3+房产+男女之爱+小生活+小公司创业史+大叔控+公务员的婚外恋+美人计+二奶主动养养成记=蜗居            
(4星)	 无奈到让人绝望 但看到更多的人评论说喜欢宋思明理解郭海藻 操 更绝望            
(NA)	 露骨的话还是太多了 不习惯 会不会成趋势呢？            
(3星)	 魔表大叔感情太泛滥，好男孩儿小贝年轻姑娘的好选择，正室气场足，小三傻逼没有好下场，海平住不起就不要买房，这一切的感情都是假的也都你妈是真的都你妈是真的诶！            
(4星)	 宋思明不是个好官 但他是个好男人            
(4星)	 现实。http://www.youku.com/show_page/id_zcc16fae6962411de83b1.html            
(5星)	 有人说：这简直就是个恐怖片             
(4星)	 很多時候，人生就這樣在你期盼中失望，而在不經意間又錯過了機會 ……每個人活在一個城市都會有成本。            
(5星)	 深有感触，每一个漂泊和曾经漂泊的人都应被触动！不过相对于不得不一个人奋斗，他们的情况还算好点。海萍现实中真有其人，我的一个好朋友无论外行还是个性简直和她一模一样，让我非常钦佩的女人！海藻也有其人，不过我非常不喜欢这种类型的女人！            
(3星)	 后面比较无聊            
(5星)	 今年最值得一看的国产电视剧！            
(4星)	 据说结尾很有教育意义。。            
(4星)	 思想的冲击            
(4星)	 特别真            
(2星)	 看的真难受。什么价值观            
(4星)	 看完很不舒服。            
(4星)	 揪心的小贝            
(4星)	 这是一部贴近生活又很贴人心的电视剧，它像一面明镜，给了观众一段距离，观众可以好好审视自己，审视自己的生活。看完这部电视剧后，我不得不佩服其作者六六对人对事更是对现实生活的穿透力。穿越生活是一种经历，穿透生活则是一种能力——是人在经历生活的磨砺后能够分开并复原事我两端的一种个人醒悟            
(5星)	 我还蛮喜欢宋思明的！            
(4星)	 二奶就不该有好下场            
(3星)	 挺现实，让人思考            
(4星)	 陆陆续续的从去年七月底一直看到今天才总算看完。感慨很多。但有一点不可否认的是，这个剧表现的价值观有问题。            
(3星)	 我朝电视剧结局都太坑爹            
(3星)	 看到第三集放弃了，不感冒，苦逼剧，删掉，有功夫看这个干点啥不好。            
(NA)	 受不了海清的演技            
(3星)	 刚开始是四星，后来就彻底三星了。我是觉得吧。小三什么的。别装可怜。谁特么曾经不是小白兔啊。            
(NA)	 我记得一个片段，小贝走入苏淳那狭小的屋子，当他坐下，仿佛照亮了面前这个失意中年男的前半生。可惜，所有的光，注定是被这个世界毁灭的。而又有谁，能够几近磨难，仍能照亮他人？ps，苏淳是我最不喜欢的类型，没有之二。            
(2星)	 大鼻涕一样的男人 宋思明！！！！            
(2星)	 爱个屁            
(2星)	 是吧屎吧我最讨厌傻子了            
(5星)	 海萍这个人有趣            
(NA)	 好看            
(4星)	 豆瓣大多數的影評竟然都是關於愛情(所謂忠誠，一對一的愛情)，其實這齣電視劇最有價值的地方是赤裸裸地揭露/控訴官商勾結。失望地是在豆瓣裡也盡是一夫一制的霸權(Hegemony)，而這也是值得批判的地方之一。            
(3星)	 海藻，你个逼脑子在想什么呢，你把小贝当成什么呢。            
(5星)	 世间千般爱，唯有这种爱没有结果。            
(3星)	 好像没盛传的那么好看嘛。看得出本剧很想讲很多事情，但结构没处理好，也就散了，经常会让人纳闷谁谁谁怎么半天不露面了。而且很多台词实在太做作了。            
(3星)	 比较现实吧，但还是不容易接受···            
(5星)	 这就是现实            
(4星)	 一直觉得宋思明也是个好男人……            
(5星)	 一言难尽。总之不错的国产剧。            
(5星)	 所有那些骂海萍骂海藻骂宋思明的人，难道你们从这片子里看不到自己？            
(NA)	 虎头蛇尾不符合现实            
(5星)	 上海居·大不易            
(4星)	 就是对海藻的演员喜欢不起来。            
(5星)	 邬君梅骂小3的那段太有力了！            
(4星)	 这几年看过最好的国内电视剧。            
(3星)	 我总算是看完了……            
(4星)	 和xf看的 顺便交换了各种价值观 [sign 原本有好多想说的]            
(4星)	 骂社会不带脏字，写坏人略带幽默，现实的六六，现实的社会            
(3星)	 老顽童说，不适合一家人观看。            
(4星)	 小貝說：“你知道什麼叫忠誠嗎？”~是的~有幾個人能知道並且做到的呢？            
(5星)	 我想说我觉得海藻挺可怜的，我他妈就是讨厌小贝，            
(3星)	 其实是琼瑶阿姨写的。。。            
(4星)	 父母观看时，一旁听着或是偶尔瞄几眼，便大意全了。这是生活的千姿百态。            
(4星)	 初中女生的必修读物            
(NA)	 对的 老子就是看了它！！！            
(NA)	 发福。白面。锐利眼神。囧。原来我喜欢这种。            
(4星)	 有時間 重溫 .            
(4星)	 批判现实主义难得的再现，最没有意思的人是小贝。            
(1星)	 操的雷            
(NA)	 做事。不能沒有目標和計畫。。。            
(3星)	 郭海藻是一天生贱人命 忘恩负义装纯发嗲立牌坊还自觉高尚大谈真爱 呸 还是邬姐有气场- -            
(4星)	 太现实            
(3星)	 挺真实的            
(NA)	 如果我爱你，我愿意为你生一个孩子。但是怎样才叫我爱你呢？            
(4星)	 好像一切皆由郭海萍而起，但现实和理想又有谁能权衡得了，或许还是太贪心，郭海藻也一样，太贪心太迷恋，所以丢了小贝丢了自己。小贝让人很心疼，现实生活中该没有宋思明那样的男人吧，所有人物都让人带着很复杂的情感。            
(4星)	 kao，海萍的女儿叫冉冉            
(4星)	 娘的~这个社会太可怕了~            
(3星)	 挺沉重            
(3星)	 我坚持不下去了。。。鉴于我的美剧计划，我决定在第9集停止，不能再浪费时间了。            
(3星)	 。。。求包养            
(5星)	 直接的力量。            
(NA)	 2010-1-17            
(1星)	 看小说就可以了，改编成电视剧就是走向了毁灭，演员没有诠释好角色的内涵，浪费时间，浪费。。。。            
(4星)	 多少年没看电视剧了哇，。。            
(4星)	 很多人生问题得到解答            
(NA)	 理解不能。            
(4星)	 不错 不是太HX            
(NA)	 包你老妹！            
(4星)	 以后李念再演啥角色我始终觉得她脸上写了一个“贱”字。            
(1星)	 很不明白那些说好看的人，到底哪里好看啊？？？？            
(4星)	 海藻就是姑奶奶化身，总统都会爱上她- - 看的删减版 白看了            
(2星)	 一星给小贝，一星给宋太太。            
(4星)	 我们阿娘时髦，该片没火之前就看过了，一如既往地陪阿娘看            
(NA)	 恨上海看蝸居。恐怖片。            
(4星)	 现实啊现实            
(5星)	 则个寺界一看下一跳            
(3星)	 只能说，自作孽不可活~            
(4星)	 人不都是自找的···            
(3星)	 受不了、、、            
(4星)	 我觉得演的就是你，所以我就开始了解了你，对我来说算是喜剧            
(4星)	 这么残酷的现实居然还是美化过的。只是，该美好的东西都体现残酷了，该鄙夷的东西都体现美化了。            
(NA)	 有牺牲的就有加害的，有多情的就有薄情的。虽然是个悲凉的小故事，但是也有爱的温暖。            
(3星)	 各有所好各取所需，别后悔就行            
(1星)	 低俗            
