http://movie.douban.com/subject/2024900/	梦幻情侣 환상의 커플
(4星)	 张哲修，好听的名字            
(4星)	 喜欢她的调调~~嘿~            
(NA)	 大体看了，呵呵呗影响了，瞧你那德性，哈哈很圆满的结局，没出息的还喜欢大团圆            
(3星)	 喜欢还是桑时时候的她~~~            
(5星)	 第一次看韩剧，结果是一坐下就挪不动屁股，太好笑了。。。            
(4星)	 呵呵.落难公主..我妈妈看完后就想着要吃炸酱面!            
(5星)	 电影改编            
(NA)	 笑死，哭死。            
(NA)	 很喜欢哦            
(4星)	 狂吃狂吃炸酱面～            
(5星)	 除了所有的门都不锁和下雪下的有点假，别的，都挺酷。懒猫、赖狗、炸酱面。ps.适合情侣观看。            
(5星)	 丧失很可爱。哲修。。。就不说了^^            
(5星)	 超级爱这个女主角            
(4星)	 同一时间几个主角多次来回剪切。            
(3星)	 花顺...花顺...狗            
(5星)	 反正很好笑            
(3星)	 够逗的,害我做面膜都不敢笑~~            
(NA)	 这女人，强            
(4星)	 女王的架势很有趣            
(3星)	 炸酱面            
(4星)	 居然是在考研的时候断断续续在网吧看完的            
(4星)	 看着好开心的嘞～            
(NA)	 有盘            
(NA)	 一般其实。            
(4星)	 看过的比较欣赏的韩剧            
(5星)	 笑料爆多的韩剧            
(3星)	 演员养眼，情节逗乐，女主很酷很泼辣。还算不错。            
(NA)	 【2006-10-14】            
(3星)	 特喜欢里面的配乐，乐死人            
(5星)	 追着吴智昊的时候。。。            
(4星)	 唯一喜歡的韓劇。唯一喜歡的韓國女藝人就是韓藝瑟。            
(4星)	 韩艺瑟演那种美艳又没有眼色的傲娇姑娘真是浑然天成。            
(3星)	 还蛮好看的～            
(NA)	 挺好看的女性。            
(3星)	 这部不怎么感冒哎，没有什么特别和精彩的地方，其中的片段现在几乎一点都不记得了。            
(3星)	 女主很傲娇            
(5星)	 最近越来越爱轻喜剧 我是明媚了吗？是老了吧？            
(5星)	 女棒子演的挺棒的            
(5星)	 周日整整重温了一天，差点醉在里面...            
(5星)	 我怎么感觉这是我最爱的电视剧哩            
(5星)	 看看那德行，哈哈。            
(4星)	 高二看的？额 只记得很搞笑~= =当时很喜欢~            
(4星)	 补            
(4星)	 韩艺瑟超级漂亮！！！            
(5星)	 太搞了~剧情不那么恶俗. 张哲修...这男人着实很诱人啊=v=~潜力股中的绩优股~ 然后女王就不用说了..爱死罗丧失... 各个演的都挺到位的~            
(5星)	 第三遍看了……            
(4星)	 好看又好笑。。韩艺瑟长得真美啊。。。就是结尾有点略显仓促啊            
(3星)	 男主女主的身材一级棒……话说，女主演罗丧失那部分的服装放现在应该算是复古范吧，虽然一开始看有点老土，后面看，还挺对路的，就是要换一点花样或者颜色，哦，我说的是衣服。            
(3星)	 据说会有意料之外的惊喜出现，看完后三颗半星吧。前半部分不温不火的，后面开始进入佳境。不过，女主的性格形成没有给足铺垫，会招观众嫌弃            
(4星)	 我非常爱那只猫            
(5星)	 失忆之后好搞笑的 吃醋又别扭的样子超逗  一段搞笑一段温情的 建议跳着看第一集大概知道个意思就行了 有个朋友就是看了第一集弃了 可惜啊              
(5星)	 对于女主的性格很有共鸣~            
(4星)	 唯一看完的两部韩剧中的另一部.或许是因为只有这两部没有绝症,眼泪,狗血吧,开开心心的多好,炸酱面大婶.            
(4星)	 不弄悲情路线真是太好了！虽然最后还是唧唧歪歪了会儿！（princess和狗狗好萌啊~            
(4星)	 这几天一直在学她走路。            
(4星)	 想想看这是我最爱的一个韩剧女主，四姑娘【小时代】的顾里活生生就是Queen Anna 这样嘛            
(5星)	 喜欢她的高傲······            
(5星)	 两年前陪伴我的闪着雪花的老电视机里唯一能看的一个台播的剧， 韩艺瑟太美太精灵了，不得不爱她            
(5星)	 韩艺瑟很美            
(3星)	 我想说的是：这女的皮肤也太好了            
(4星)	 跟九尾狐有点重复。。。。。            
(4星)	 好搞笑的，还算不错的韩剧了。。。            
(5星)	 热爱安娜女王！            
(NA)	 时隔多日让我想起一些事情还是喜欢女主屌得要死的表情哈哈哈哈哈哈哈哈～            
(4星)	 养胎的闺蜜推荐的老片子，看女猪如何不动声色打败前女友，被抓住软肋后如何被降服。一边看一边想，那谁的软肋在哪里啊在哪里~            
(4星)	 偶表示对炸酱面没有抗力 =_= 罗丧失的性格太可爱了 =_=“瞧XXX那德行”这句口头禅我太中意了哇 =u= 话说俺妈都看了四五遍了~俺就陪着她一起看 =3=            
(4星)	 曾经我们一起看过的那些片儿            
(4星)	 除对不起我爱你外我看过最好看的韩剧了！（也就那几部吧拜托……）果然我是大叔饭的说~男女主的长相真是深得我心！！！ 最新排名：秘密花园第一啦~~            
(4星)	 我打心底里膜拜着罗丧失~            
(NA)	 挺好看的            
(3星)	 每一个女王都不容易            
(5星)	 会看它是因为奶奶恐怖的笑声            
(5星)	 我意外觉得还蛮好看的            
(5星)	 &#34;看看你那副德行&#34;,虽然之前是骄傲的女王，但和哲修在一起慢慢改变。            
(4星)	 好久以前看过，今天电视又播了，很好笑！            
(5星)	 罗丧失和康子太有爱了，韩剧最爱之一。哲洙好不容易给丧失买了个翻盖的手机，把丧失高兴的，想向康子炫耀一下，结果康子淘出一个屏幕可以360度旋转的手机，。。。哈哈            
(4星)	 韩艺瑟很漂亮捏            
(NA)	 少爷推荐的来着            
(4星)	 FUNNY。最喜欢这种不用思考的搞笑剧XDDD            
(4星)	 当初我们在宿舍里狂笑的日子……            
(3星)	   不假            
(4星)	 心血来潮，好想吃炸酱面。另，韩艺瑟的笑容真美。            
(4星)	 后面太拖沓，瞧那副鬼样子            
(4星)	 其实很有意思 如果看的是配音版-避免听PC国人民大吼大叫             
(5星)	 难得的很喜欢的一部韩剧。喜欢安娜甚至胜过哲秀。虽然，是哲秀唤醒了安娜的温暖。            
(4星)	 很搞笑            
(NA)	 笑死我了。这不就是公主变青蛙嘛。我现在看谁都觉得有玄彬的影子。            
(2星)	 鬼样子            
(5星)	 极少看韩剧的我，看了这部后极其罕见的觉得还不错。            
(NA)	 那个疯子是我的最爱            
(4星)	 完整看过的三部韩剧之一。罗丧失这个名字增四可爱吖            
(3星)	 跟着老妈看的 难得的比较喜欢的韩剧 。            
(NA)	 好笑的电视剧。            
(3星)	 20100105 很多狗血情节            
(NA)	 主题曲印象深            
(NA)	 韩艺瑟在片子里是我喜欢的类型~人长得好就是穿什么都有范儿            
(3星)	 泡沫            
(4星)	 女主角吃炸酱面的时候感觉很香。。            
(NA)	 我要喝小米酒~~！！            
(4星)	 剧里面那个叫柔静的，真让人讨厌……            
(4星)	 笑喘            
(4星)	 女主的“鬼样”很有特色。哈哈            
(5星)	 太棒了，海边的小村落，简单又复杂的人物关系，不经意的幽默。            
(5星)	 超级推荐  连夜看完的            
(4星)	 有點寫實，有點假，有點搞笑，有點煽情……整體看來還不錯！            
(4星)	 花顺na……            
(4星)	 喜欢女主角~·            
(5星)	 很好笑的一出。当时很喜欢。            
(4星)	 开心就好~~~~~~~~~~~~            
(4星)	 去年假期跟家人一起看的……            
(4星)	 罗桑实真够可爱的，还有傻姜子。。            
(4星)	 記得某某好喜歡            
(5星)	 俺最爱的韩剧之一            
(4星)	 韩艺瑟 美            
(3星)	 关于失忆的爱情故事，俗套但是感觉温暖。我就是一俗人~            
(5星)	 绝对推荐            
(3星)	 垃圾的编剧+不怎么吸引人的男主演~唉            
(4星)	 有些搞笑            
(5星)	 超级搞笑！喜欢！            
(4星)	 美色            
(5星)	 韩国千歲            
(2星)	 韩艺瑟            
(5星)	 很搞笑            
(3星)	 其实我挺喜欢这个剧的。            
(5星)	 很温暖。这是一部几乎没有坏人的故事            
(5星)	 也叫幻想情侣，好看的片子，我以前不喜欢韩剧，其实有些还是灰常不错的            
(3星)	 还是比不上MG             
(5星)	 真是太可爱了！！瞧她那副鬼样子！我很不满意！哈哈哈哈            
(4星)	 怎么可以这么搞笑又不显幼稚..            
(5星)	 女主角挺有特色,音乐也相当的有意思的啊~~~            
(5星)	 这部片子很搞笑，不像那些整天只会哭得要死要活的韩片和台片，轻松而美好，我真的非常喜欢。            
(5星)	 这女人真可爱。            
(3星)	 后来才发现这是一部很老的美国电影改编的，剧情几乎一致            
(NA)	 梦幻的情侣             
(5星)	 喜欢韩艺瑟。            
(4星)	 挺好玩的,            
(4星)	 很搞笑~不同于一般的韩剧，镜头的切换很巧妙~            
(4星)	 赵安娜太搞笑了，喜欢张哲修            
(5星)	 超级搞，基本从头笑到尾            
(3星)	 拽到不行的女主角            
(4星)	 虽说是翻拍再翻拍             
(4星)	 韩艺瑟不化浓妆挺好看，荣升李英爱之后我最喜爱韩星。            
(5星)	 太逗了！我最喜欢的电视剧。            
(5星)	 哎呀我爱吖...瞧你那鬼样!            
(NA)	 搞笑+幸福o(∩_∩)o...            
(3星)	 花瓶长的还是蛮漂亮的            
(3星)	 最喜欢看前面安娜欺负比利那段，其实她老公挺可爱的。哲修什么时候喜欢上的桑实，我都没看出来，就是一下子的，太奇怪的。安娜是一个蛮可爱的女子。有点惨，还好，是happy ending。            
(3星)	 很久很久..讨厌这个男主角..            
(4星)	 觉得还可以 喜欢女主角 觉得自己很像她 曾经            
(5星)	 强烈推荐!!太好看了!!喜欢韩艺瑟            
(NA)	 很喜欢！            
(3星)	 那首虾米歌倒是很有女王风格！            
(5星)	 大爱~！            
(NA)	 WONDERFUL            
(2星)	 女主角不好看……            
(3星)	 情节比较离奇，但是女主角确实演的不错，还有那只猫简直太可爱了。            
(4星)	 “他不喜欢我我就不可以喜欢他吗？”“对啊……”“为什么？”“因为，因为那个样子太可笑了……”            
(NA)	 张哲修,我也快爱上你了... 韩艺瑟,你表演的好可爱啊~~            
(NA)	 不错的剧            
(3星)	 = =            
(NA)	 又是一部搞笑且感人的韩剧 喜欢！            
(4星)	 不错 很搞笑额 呵呵            
(NA)	 来自芒果台的意外收获……            
(3星)	 夸张但搞笑。瞧那德性~~            
(3星)	 芒果台本年度最佳无聊喜剧            
(3星)	 不过是想看一部轻松好笑剧 就怀抱一颗这样的心情去看吧            
(5星)	 喜欢韩艺瑟@            
(5星)	 喜欢的电视剧            
(3星)	 哈哈哈哈哈            
(5星)	 哈哈 超级搞笑 丧失^-^            
(NA)	 心情不好时,看韩剧真是很舒服            
(5星)	 韩艺瑟很不错~            
(NA)	 漂亮            
(5星)	 难得的棒子剧，很逗            
(3星)	 朴寒星太漂亮了            
(NA)	 很爱美的 韩艺瑟            
(3星)	 开头是不错            
(4星)	 当初萌死这女人讲话的姿态，太好笑了~哈哈哈~            
(4星)	 超级喜欢女主角！            
(NA)	 Princess,where are you？            
(4星)	 好看！！！！            
(NA)	  赵安娜的财产最后是她和张哲秀的吧            
(4星)	 挺好看的。PRINCESS,Where are you……            
(5星)	 前半部分很搞笑            
(4星)	 看了一集就有看完的冲动.            
(5星)	 瞧瞧你那鬼样子、不合格、换掉、喂捧花的、炸酱面、米酒、princess where are you、孩子们是你们错过了炸酱面人生就是这样、安娜、罗桑实---可爱的安娜女王花顺也很可爱            
(5星)	 某个人推荐的，所以素来不看韩剧的我一定要很认真的看完它，并写下评论。            
(5星)	 花顺好像旺财...            
(5星)	 搞笑，很轻松，虽然有抄袭嫌疑            
(4星)	 一部爱情喜剧。老套的情节，温馨的剧情。典型的韩剧。女主角在第一集里面的表现是我看过所有电视剧、电影里面最招人讨厌的人。但是随着剧情发展，越来越可爱。男2是《人鱼小姐》的男1，不知道为啥老要让这个大叔出来演戏，很帅么？真的不觉得！            
(2星)	 不好看乃，女主角脸哈假            
(NA)	 挺好看的说...            
(NA)	 坏树林拷给我的            
(NA)	 完。            
(5星)	 不落俗套！好看！            
(4星)	 看得很开心！瞧瞧你那鬼样子：）～～～            
(5星)	 看了电视台配音的版本。。。囧 还是原音好            
(5星)	 很可爱 很合格            
(5星)	 有钱的女人            
(5星)	 洪氏姐妹的新作，依旧精彩~~~            
(3星)	 幻想的剧情，真挚的感情             
(NA)	 高中我们班有个男生长得像男猪脚。。。            
(5星)	 早前看過一部經典不太做作的韓國喜劇。韓藝瑟代表作！            
(4星)	 韩艺瑟演喜剧还是有一套的！            
(5星)	 一如既往地傻结局，但很喜欢女主的拽样啊            
(3星)	 这算是洪氏姐妹写的剧本里比较一般的吧，有空余的时间倒是可以看看。另外，炸酱面真的有那么好吃吗？瞧瞧女主看到炸酱面那副不要命的鬼样子。。啧啧啧，搞得我都想吃炸酱面了！！！            
(4星)	 当初看的时候很欢乐啊            
(3星)	 看建筑工人如何融化冰雪女王的心。。            
(3星)	 轻喜剧。7嫂你好！            
(4星)	 这个高中看过！            
(5星)	 轻松搞笑            
(3星)	 女主的表情超有意思~~~            
(4星)	 姜子太好笑了！            
(3星)	 韩艺瑟            
(5星)	 “有让人捧腹大笑的情节，也懂得在适当的时机赚取观众的眼泪。最后一定要是大团圆结局。 ”            
(5星)	 有笑有泪            
(3星)	None
(4星)	 可惜男主没有因此红起来。。。            
(5星)	 本以为找个没有喜欢演员也不像喜欢情节的片子可以放着看了，结果出奇的对味，废寝忘食了又            
(4星)	 很不错的一部剧。不过我觉得情节有抄袭《做我太太一百天》的嫌疑哦。            
(3星)	 这个片子最让人难忘的就是炸酱面，只有看过此剧的人才能体会炸酱面会那么美味啊。。。韩国人真那么喜欢吃炸酱面吗？            
(NA)	 看完这剧，非常想吃炸酱面。虚伪做作的女二，女主轻描淡写对付她时真解气。            
(3星)	 搞笑的地方蛮多，尤其是女主角很有杀伤力的眼神。但是还是韩剧的老套路啊。            
(5星)	 很搞笑呢！            
(5星)	 开始看觉得好低俗。。后来觉得好高贵啊。。韩艺瑟真是演的太好了。。            
(5星)	 灰常好！再看~~            
(NA)	 湖南台。没解释。            
(4星)	 美国电影洪氏姐妹改编加入搞笑和煽情传统。想给予真心，别人却只是索要钱财，于是关起心门打开钱包。冷酷无情是保护单纯内心的武装。丢失了记忆和钱财，带着傲慢讨人嫌的性格，却被温暖以待。吝啬男和毒舌女都很别扭可爱，凶狠对凶狠，好气好笑外真正互相理解。炸酱面的爱。难得的女1对女2毫不手软            
(NA)	 大一时同学推荐，但没有看，大三时看的，呵呵，很不错            
(5星)	 搞笑的相遇，搞笑的相爱            
(NA)	 话说当时韩艺瑟怎么这么难看呢            
(4星)	 真心不错。            
(3星)	 很久 很久之前 看的            
(5星)	 韩式搞笑，值得推荐            
(4星)	 啊哈哈哈，搞笑的一对大叔大婶            
(5星)	 这是我唯一 一部看完整且看了不下三遍的剧了。            
(4星)	 傲娇女王和忠犬的故事是偶的最爱~~            
(4星)	 从来没见过这样性格的女主角...            
(4星)	 女主角很个性，喜欢            
(5星)	 好韩剧            
(5星)	 啊啊啊啊啊好鍾意睇架！！！            
(3星)	 依然是我喜欢的有瑕疵的人生百态。有些地方的刻意的搞笑却效果不错~            
(3星)	 张哲秀，好身材。            
(4星)	 韩艺瑟是真心好看。。剧情也不错            
(5星)	 我心中的5星韩剧。            
(3星)	 羅喪失超級美麗正禦姐啊！！！ 誰都配不上她！！            
(NA)	 终于在2011年最后一个下午补了一部韩剧，2011完美了！女主嚣张的样子很得我意嘛……炸酱面有那么好吃吗，黑乎乎的一团……            
(4星)	 以前看的时候叫幻想情侣，觉得名字真好            
(5星)	 只记得看这个的时候笑死个人了！            
(5星)	 喜欢韩艺瑟。。            
(4星)	 第一集的时候吓到我了。。。。后面的    宽面条            
(2星)	 喜欢不起来。。。            
(2星)	 各种韩剧，各种狗血            
(5星)	 男一太帅了嘛。最喜欢的一幕是哲秀隔着玻璃跟桑实背靠背的等着她~好完美~            
(NA)	 炸酱面~            
(3星)	 唯一一部没好好看过的洪氏姐妹的剧，男二是怎么挑的演员？            
(2星)	 我喜欢韩艺瑟姐姐~！！！            
(5星)	 洪氏的剧最爱的就是这部啦，吴智昊真心不错。            
(4星)	 挺好看的～            
(4星)	 逗             
(4星)	 看过前几集，黑色幽默            
(4星)	 芒果台如果播的比较不想转台的韩剧 话说里面的歌都好友张力哇 为数不多讨人喜欢的女主 女王万岁            
(5星)	 韩艺瑟气场很足，故事又很精巧。某人说像我，是吗。千人眼里千个不同的我。            
(5星)	 我爱韩艺瑟。            
(3星)	 看了这剧后才承认韩国美女还是不少的.            
(5星)	 女主那强势，女王般的个性是我看这剧的最大动力！            
(3星)	 韩艺瑟姐姐就不能好好接一个偶像剧演嘛？            
(5星)	 超喜欢的一部韩剧，唯一喜欢的韩剧，看了两次，里面的歌现在还当手机铃声ing~~~            
(5星)	 印象深刻的韩剧之一            
(5星)	 极力推荐！~虽然是很多年前看的了，但好笑温馨的感觉还是很清晰！~            
(4星)	 我娘很喜欢的说            
(4星)	 跳着看的，挺搞笑的            
(5星)	 这是 我 看的 为数不多 的 韩剧 看了3遍  每次 都可以 笑得 掀翻房顶~~~~但 有几个 镜头 还是 好吓人的~~~~~~~             
(NA)	 女猪脚的气质 ~            
(3星)	 慢热型的 后边越来越好看 女猪真可爱            
(5星)	 这女的老有劲的。            
(4星)	 安娜干净利落的拍掉小强，是我永远都学不会的。男主虽然是大叔，不过看剧情的话，绝对不弱。            
(4星)	 喜欢女主的脱线~太犀利了~            
(4星)	 韩艺瑟很有趣，美貌又喜感            
(4星)	 漂亮的2B女青年，笑死了，加颗星            
(5星)	 还是挺好笑的。女主很有爱。他老公和秘书也十分之搞笑。我一直在想，为什么他和她两个人结婚五年一直都没有真爱情？！是因为要的太多吗？！            
(4星)	None
(4星)	 “瞧这剧的鬼样……”            
(4星)	 韩艺瑟超级美，超级女王范啊。            
(5星)	 这是我最喜欢的韩剧没有唯一~            
(5星)	 知道我为什么会喜欢这部剧吗，全因为韩艺瑟扮演的赵安娜那个人生的姿态，简直是太帅了，是我的理想型，我也要不断努力，追求这种人生～            
(4星)	 艺瑟大美妞~~~            
(5星)	 超搞笑            
(3星)	 韩艺瑟就这部剧能拿得出手了。。            
(5星)	 哈哈 记得一群人一起看的第一集 差点没笑抽过去            
(4星)	 听喜剧的泡泡，打发时间看看吧            
(4星)	 总是和富家人扯上关系，虽如此，但的确很搞笑。            
(5星)	 真的超好笑！            
(5星)	 爆笑剧            
(NA)	 超级好看，超级推荐            
(4星)	 从此爱上炸酱面            
(3星)	 蛮搞笑的，不过难逃狗血。            
(5星)	 很早前看的片，但里面很多情节都还印象深刻，是部搞笑的好剧!            
(4星)	 用幽默诙谐的表现手法，展示出特别的男女主角和另类的爱情，让人看了之后很温暖。            
(4星)	 韩艺瑟好美！！            
(5星)	 艺瑟公主还是很强大的            
(4星)	 哎呦  看得人哈哈大笑 女主演技不错啊！~            
(5星)	 10分            
(3星)	 湖南台老放            
(NA)	 看了三遍，你们说，啥感觉吧！太好了！            
(NA)	 。。            
(4星)	 超赞一韩剧，好喜欢韩艺瑟在其中的表演，女神呀～～太美了吧！！            
(NA)	 陪妈妈看的，蛮搞笑的，男女主角都很喜欢～            
(5星)	 这个特别搞笑！从此喜欢上韩艺瑟的。            
(5星)	 很好看~哈哈            
(5星)	 罗丧失  哈哈哈            
(NA)	 罗丧失这名就很好玩，还喜欢偷存钱买些不实际的东西。挺好玩的剧。            
(NA)	 韩艺瑟的表演方式真心受不了。。。。过于夸张，你以为演舞台剧呢？》            
(5星)	 韩剧的奇迹            
(5星)	 看到第一集...你已经无法抗拒            
(4星)	 不小心在无聊的日子下从头看到了尾，比想象中好看些            
(NA)	 呵呵            
(4星)	 从头都搞笑到尾 不过.!欢乐剧            
(4星)	 超稀饭女主角的说。            
(4星)	 这应该是在搬西溪后看的。我的看片生涯，是大一大二看电影、韩剧，大三大四看日剧，工作之后看电影、美剧。这部电视剧，是我在看日剧岁月中，偶尔看的一两部韩剧，当时觉得太搞笑了。            
(5星)	 很经典的韩剧！！！            
(3星)	None
(NA)	 韩艺瑟！            
(3星)	 看过的韩艺瑟的第一部韩剧，改变了我对她的看法~ 女主很强大，故事很搞笑~            
(4星)	 这部的单品肯定不火~韩艺瑟可塑性还是挺强大的，怪个性的~~            
(5星)	 根据好莱坞一部电影改编的，在韩国喜剧里面也算不错的了            
(2星)	 很像小时候看过的一部电视剧 那男主角还是三德子演的 叫什么我和太太100天来着 好像是            
(5星)	 想到这个剧，就想到炸酱面~            
(NA)	 瞧你那德行            
(4星)	None
(3星)	 洪氏姐妹比较失败的一个作品了。。            
(2星)	 湖南台日放夜放，只能看了……            
(2星)	 那首歌不错            
(4星)	 这部还蛮搞笑的            
(4星)	 这个超搞笑            
(2星)	 好无聊的片子            
(4星)	 常常笑抽呀。            
(5星)	 超搞笑啊~            
(NA)	 原来以为那个女主很傲慢，看了才发现其实是个心地善良的女孩。。情节很搞笑            
(5星)	 最爱            
(4星)	 金成民的角色也好可爱啊！            
(5星)	 第一部因为迷恋女主角而爱上的片子            
(3星)	 高三時候看的。印象最深是炸醬麵沒錯！！！！            
(3星)	 。。            
(3星)	 也是跟着我妈看的 看完超爱吃炸酱面啊            
(4星)	 最后是烂尾了还是现实主义手法            
(3星)	 一般般 这剧里韩艺瑟的造型丑到            
(5星)	 厌倦了装纯装嫩的女主角和耍酷耍帅的男主角的话，这部剧是不错的选择，女主自信高傲的个性是个亮点。            
(5星)	 吓  不看日记都不记得自己看过这部剧 挺好玩的 这里的韩艺瑟更漂亮~~嘻嘻            
(5星)	 女主角演的真不错。            
(5星)	 我想吃炸酱面了            
(NA)	 看不下去的一部片子，无感...            
(3星)	 看了两集貌似。。果断弃。。。            
(5星)	 大爱的韩剧，很特别，很搞笑            
(4星)	 喜欢这妞傲性~            
(5星)	 于是张哲修成了我的理想型，罗丧失成了我最萌的女主类型            
(4星)	 搞笑，安娜失忆了穿的像个村姑还整天的女王范！            
(3星)	 罗失意，很有爱。            
(4星)	 因为洪氏姐妹，所以才看的。            
(4星)	 难得有我觉得不傻逼的韩剧啊。还是我被傻逼了？            
(5星)	 很好笑...蛮好看的.            
(3星)	 因为看一个颁奖礼它是最大赢家才看的，还行吧，比较搞笑            
(4星)	 高中每周日夜晚必修            
(5星)	 不知道别人是怎么评价的，反正这部韩剧在我的打分表上排在很前了吧，很喜欢.....            
(4星)	 下雪了你就回来。  女主终于不是灰姑娘了。            
(4星)	 大爱韩艺瑟            
(5星)	 韩艺瑟太漂亮！我好喜欢这个电视剧啊也太好笑了吧！！！            
(3星)	 男主角轮廓分明得很啊，韩艺瑟身材好赞~剧情soso演员养眼            
(5星)	 不同于一半剧，喜欢女主角的真性情~            
(NA)	 韩艺瑟 女王啊！！            
(3星)	 韩剧里面还蛮好玩的            
(4星)	 大爱女主,就喜欢她那傲慢的调调            
(5星)	 好好笑            
(5星)	 韩艺瑟真是妖到女人都爱阿            
(5星)	 算是我看过的最让我难忘的韩国偶像剧之一。无论是剧情和演员演技都非常出彩。            
(5星)	 好玩！            
(5星)	None
(4星)	 喜欢女主的指甲油~            
(3星)	 在我非常无聊的时候看的 结果是喜欢上了韩艺瑟            
(4星)	 很久前在家看的貌似            
(NA)	 女主角像金喜善~            
(NA)	 就是看这个片子喜欢韩艺瑟            
(2星)	 又见失忆！            
(NA)	 搞笑            
(5星)	 O(∩_∩)O哈哈哈~这部片子看得我好欢喜，喜欢赵安娜，喜欢罗丧失。~\(≧▽≦)/~只能说是轻喜剧中的经典经典，看完之后好想吃炸酱面(&gt;^ω^&lt;)喵            
(4星)	 觉得一般，一朋友喜欢，+1分，怀念大学青春            
(4星)	 韩艺瑟真的漂亮            
(4星)	 韩艺瑟演的很好的说。            
(5星)	 很搞笑的言情剧~            
(NA)	 芒果台放过啊 当时真的不理解着女演员哪里找的 啊  又老又怪            
(5星)	 笑死            
(4星)	 还行            
(4星)	 女主真的演的蛮好的 瞧她那德行 还有里面那个什么村长的女儿也很搞笑 天气这么热 要下雪了吧？哈哈            
(4星)	 哎 么看全...            
(5星)	 女王的气质 即使失忆也不会丢掉            
(4星)	 好想吃那个炸酱面            
(3星)	 女主角很妖很美            
(4星)	 只能存在于幻想中的事情，不会成为现实的事情。也只有电视剧会如此了            
(5星)	 一级好看啊！！！不知为何神奇的挫中我萌点！！！有许多非常爆笑的地方。很有趣不会很无聊。看完这个彻底喜欢上韩艺瑟。很放得开的表演。男主角很迷人哦！            
(3星)	 罗丧失            
