http://movie.douban.com/subject/3057467/	银楼金粉
(3星)	 基本是为了伍卫国看下去的，故事还算紧凑有意思，而结局倒也有点意味。所谓人生的际遇，都不若忘记。            
(3星)	 家族戏已经到头了，没得玩了            
(3星)	 结尾太狗血了吧。。            
(4星)	 好看！            
(3星)	 节奏好慢。。。嘤嘤！伤不起            
(4星)	 以前看的了~~看过的为数很少的电视剧之一啊~~就觉得薛家燕长得真喜庆啊~~            
(3星)	 补            
(5星)	 三姨太我挺喜欢的            
(NA)	 东方卫视播的时候看了下            
(3星)	 看了5集 前4集和最后一集            
(2星)	 用堆老梗硬拼出来的            
(1星)	 烂，看不下去。            
(4星)	 就是喜欢这个时代的服装。。。伍咏薇漂亮啊            
(3星)	 最大恶人自个烧死 和平盛世了            
(4星)	 一个时代的悲剧，伍很出彩！            
(4星)	 伍姑娘~~            
(4星)	 好久没有见过这么精彩的国产剧了。情节跌宕起伏，扣人心弦。特别是里面的人物性格难得如此鲜明。每个人都有每个人的特色，几乎没有敷衍的角色。大奶奶的慈悲大气，老爷的独裁霸道，二爷出众的能力，智慧善良的内心，小蝶的悲惨经历导致的性格突变……大部分人物都刻画得那样栩栩如生。            
(5星)	 差一点绝望了，不过还好峰回路转            
(3星)	 看了小定的部分。结节啊            
(3星)	 杨思琦演了个好人角色。~..~            
(3星)	 搞脑子~~~            
(4星)	 很久没看到伍卫国的戏了，杨思琦也很可爱            
(3星)	 一个时代的悲剧。。看了压抑            
(NA)	 感觉不对～            
(NA)	 因为秀杏，爱上伍姑娘。女人味十足的女人。            
(3星)	 很是TVB模式~~~~            
(4星)	 典型的港剧            
(4星)	 伍咏薇你还能再恶心一点么。有她的片子实在是平均分高不起来。            
(3星)	 发现自己很有肥皂剧倾向。捱，都是因为无聊。那么现在开始。加油。            
(4星)	 IVANA唱了主题曲 多加一颗星            
(4星)	 呵呵.伍咏薇 好看.            
(NA)	 相当狗血剧            
(2星)	 烦死，每天在妈对电视的掌控下看到这个一次又一次虐心的剧。中年妇女就这点爱好了，忍着吧            
(3星)	 姜还是老的辣，秦沛，薛家燕的演技还是没话说的，秦沛已近很久不演坏人了。不过不喜欢剧情，比较老套            
(3星)	 片头的女人说话太悲戚            
(4星)	 还不错，剧情有突破，讲民国大家族的，秦老何薛老演技都很不错，还有伍姐也很棒，唯独杨MM没得突破。            
(NA)	 看了一个小片段，似乎是讲抱养什么的，估计也要复仇？弃之。。            
(NA)	 银楼金粉            
(3星)	 前面还可以，死了很多人，很傻的结局            
(NA)	 烂烂烂！大烂片            
(3星)	 典型的港剧，打发时间用的            
(2星)	 就歌好听            
(3星)	 just so so            
(3星)	 烂.....            
(3星)	 太和谐            
(3星)	 一边放，一边睡．TVB是消磨时间的最好选择．            
(3星)	 TVB又一苦情戏。            
(2星)	 就那样..            
(5星)	 人性很多面            
(3星)	 我还特地跳到15集去看小定的大结局，结果可怜的她，在第12集就挂掉了……            
(4星)	 喜欢和你一起看的感觉^_^            
(3星)	 tvb真肥皂，真无聊。但我就是乐此不疲            
(NA)	 伍姐让我想重拾戏王之王。            
(3星)	 银楼金粉            
(3星)	 有点金枝欲孽第二的感觉            
(5星)	 后面很精彩 结局很合理            
(3星)	 只看伍咏薇。。            
(3星)	 勾心斗角的家族剧            
(3星)	 天荒地老最好忘记 笑也轻微痛也轻微 生老病死相聚分离 身不由己心不由己             
(4星)	 我觉得挺好看的，讲封建给人带来的迫害。秀杏挺可怜的，最不待见尚鋆，你开头出于责任不和最爱的一起就别留下来勾引她；你要表现自己长情最后就别忘了她；他直到秀杏死都不知道她真正要的什么，果真曾经的即是人渣的，不该多记啊。            
(3星)	 一出自由的悲歌             
(3星)	 没看完            
(3星)	 觉得真没什么感动我的地方，一堆糟糠和倒霉的巧合拼凑在一起。            
(3星)	 厄.....            
(3星)	 歌好听，王菀之唱的            
(5星)	 很震撼的一部剧            
(NA)	 跟着电视全看完了，耶            
(4星)	 在电视里看的~感觉还蛮好的呀 但是真的让我在电脑上看有点够呛            
(3星)	 一天之内看完的吧，无营养，打法时间的剧。。。            
(3星)	 封建枷锁都出来了~定位还是有点古怪的~            
(4星)	 三半，很喜欢胡定型的姨太太。还有丸子的片头曲很不错。            
(4星)	 结局有点坑爹            
(3星)	 无聊的在电视上看的。。。            
(4星)	 电视上看的，薛家燕真得很有气质。            
(4星)	 还可以，伍咏薇挺出彩，加上很喜欢秦沛。            
(3星)	 还可以            
(NA)	 每个剧都有个圣母，片头曲不错            
(2星)	 大家都很tvb 啊。。。            
(3星)	 家族剧争斗不够，剧情的矛盾不够！！！            
(3星)	 若干女人一台戏            
(4星)	 王菀之美丽的声音.            
(2星)	 演员整体没惊喜，杨思琦长的太现代            
(4星)	 太虐            
(2星)	 让人失望狠狠地失望了一把            
(3星)	 我和我妈一起看完的。就觉得中国以前封建的想法很悲剧= =            
(3星)	None
(3星)	 电视上现在还在播啊            
(2星)	 虽然好戏之人不少，但是看过完全没有印象。只留下灰色...            
(NA)	 很少看法哦秦沛演的坏人，最后一集很精彩。TVB拍家庭剧很给力。            
(3星)	 最近断断续续的看完了，看结局的时候觉得之前貌似在哪儿看过了，这种大家庭就是个悲剧嘛，女人之间的明争暗斗太多了~            
(3星)	 勾心斗角闹不停。秋菊的角色还不错            
(4星)	 一直以为秋菊和三太太有JQ没想到到了最后三太太是和大太太有JQ的            
(NA)	 如果不小心，这就是你的人生            
(3星)	None
(3星)	 起码全部都是实力派演员...虽然星味不重....但是胜在够实在            
(3星)	 21完~            
(3星)	 新旧两个时代交替的时期，这些事情没有对错，只有必然。鋆的斗争都是治标不治本，他还给秀杏和三姑娘自由，真能解救毫无谋生本领和思想守旧的她们吗？条件不成熟的时候，正确的斗争也只能流产。反过来秀杏如真想被休的话，成亲那天就可以选择原轿回家，何必等了十八年再出来寻找幸福。            
(3星)	 除了爱情还有很多。伍姑娘的三姨太太偏执。            
(3星)	 我怎么就那么喜欢看勾心斗角的剧啊 不安分啊            
(3星)	 思琦姐,你演了这么多年,好像除了这个表情就是这个表情            
(NA)	 不喜欢拉             
(3星)	 思琦妹还是可爱路线啊，这本是在09还是10年暑假打工的时候看完的。            
(4星)	 ..最后那一幕配上歌曲很有感觉啊....            
(4星)	 剧里的每一个人都是悲剧，本来只觉得女人，但后来实在觉得老爷也很是可怜，但那是时代造成的，迂腐悲剧，反抗悲剧，墨守陈规悲剧。PS：旗袍在伍咏薇身上真美极了            
(3星)	 纯粹为了看小定~            
(3星)	 纯粹为了语言的学习            
(3星)	 能看            
(NA)	 秦沛演这么坏的老爷让我很难受啊。生老病死，相聚分离，身不由己，生不由己。伍咏薇最后活着有点扯。            
(2星)	 - -王菀之唱的主题曲~            
(4星)	 定欣靠这个落咗飞女            
(4星)	 天荒地老 最好忘记 笑也轻微 痛也轻微 生死病死 相聚分离 身不由己 心不由己            
(4星)	 其实不是很喜欢尚鋆，觉得他虽然有经商天分，但是在感情方面不够果断。            
(4星)	 不喜欢杨思琦。。            
(3星)	 还行，是一个大团圆结局，依旧是宣扬人性的美好~~~            
(4星)	 虽然人为的巧合太多了，不过演员的表现值得一看            
(1星)	 这里的伍卫国不给力            
(3星)	 立意不错，剧情也还算紧凑，值得一看！            
(3星)	 庄大老爷最后还是不能战胜自己的心魔放不下对他来说 也许 死比让错更加容易被自己接受~            
(3星)	 为了看胡定欣，可惜戏份太少结局还是个死…            
(3星)	 纠结过去纠结过来从头纠结到尾            
(3星)	 剧中的薛家燕的角色是属于满讨巧的~演的还行~            
(4星)	 中午吃饭时看完……虽然港剧都比较粗糙 这个比较能看了 ps：对比现在赌王的四房 哈哈哈            
(4星)	 好就没看过那么激情的电视剧了,只不过结局点得太多了~            
(4星)	 其實三粒星是給無線難得寫出了一部有深度的戲。剩下的一粒星是個薛家燕，她的演技真的超好！            
(5星)	 封建家庭，租碟看的            
(3星)	 没什么亮点，就随便看看~~~            
(4星)	 秦沛的演技~            
(5星)	 特别喜欢主题曲，王菀之唱的。            
(2星)	 看不起劲            
(3星)	 怎么说呢，整部戏给我唯一的感觉就是胡定欣还是适合古装造型            
(3星)	 结尾烂 前面还行。            
(4星)	 我居然莫名的看了两遍，剧中人年纪普遍偏大，我不喜欢杨思琦，一脸苦相，不管是笑还是哭            
(3星)	 丧心疯的明争暗斗，不过最后也还算大团圆结局~            
(3星)	 出彩的不过只是5姑娘，连5小生也不过就是陪衬了。            
(4星)	 胡定欣有个表情实在令人印象深刻（恐怖）            
(NA)	 有空看看            
(3星)	 这个套路旧了。。            
(3星)	 杨思琦到今日居然沦落成了配角了……港姐冠军啊~             
(3星)	 没什么特别的，主要是因为看到跟佛山有关系，好奇罢了            
(3星)	 伍姑娘很靓啊，喜欢她的笑容，眼睛很亮~~小定和李天翔里面的扮相真是……            
(3星)	 都是老一辈的了            
(NA)	 这部是在电视机上看的，剧情还可以，还是那种家族斗争，当做消遣不错            
(3星)	 薛家燕啊。。。            
(3星)	 唉，伍姑娘！            
(3星)	 看过            
(3星)	 胡定欣很有味道            
(3星)	 越来越喜欢胡定欣啦，可惜她的戏份实在太少了。。。            
(3星)	 一般吧            
(4星)	 四太太妖啊～            
(3星)	 “烧死晒你地班女人！”            
(3星)	 又是大家庭里斗来斗去的戏，看到一半就没看完了。            
(3星)	 还可以喔。            
(3星)	 不太好看吖……真的            
(3星)	 伍姑娘还是那个伍姑娘            
(3星)	 星星給秦沛            
(3星)	 无聊才看的···            
(4星)	 伍咏薇化得好凶            
(4星)	 雖然一群二線演員，但是質量超出了我的預期。每個人都有可憐的地方也有可恨的地方~~對於封建禮教對人的荼毒表現得不錯~~伍詠薇的表現很贊，很好地表現出了從一個受害者到一個報仇者的轉變            
(3星)	 老套路，拼演技~~~            
(3星)	 感觉女人争斗的戏码自《金枝欲孽》后似乎没什么突破了，但看这部剧时纯粹欣赏演员的演技还是值得的。            
(NA)	 留下的眼淚是我不甘心，讓恬靜惹起微塵。我不安份。            
(4星)	 每个人都有权利，追求自己注定得不到的幸福            
(3星)	 纠结~老爷最后还疯了~伍姑娘也太抽了..            
(3星)	 很压抑，看完了也就看完了。不过主题曲很切合！            
(3星)	 不如胭脂水粉好看呢~不过秦沛还是老戏骨哦~            
(NA)	 杨思琦 演的那个角色，造型很一般的说。            
(4星)	 微缩版的《金枝欲孽》女人果然是为爱而活，太辛苦啦~            
(4星)	 我妈妈喜欢看的类型..            
(5星)	 虽然演员并不是当时最火最主流的，但这部剧集绝对是我看过的TVB剧集里面最经典之一，主题曲《认命》也比较好听，和剧情真是绝配            
(3星)	 我就冲着胡定欣看的，剧情没什么爆点，倒是主题曲很好听            
(1星)	 失败            
(3星)	 慘啊            
(3星)	 不知道好看在哪裏。            
(4星)	 哇，这个看的纠结，刚开始有点接受不了，看看就好了，还是不错的电视剧～            
(3星)	 无聊归无聊。。。歌还是蛮悲的。不喜欢伍咏薇。            
(3星)	 除了爱情还有很多。伍姑娘的三姨太太偏执。            
(3星)	 话说结局还真是应了TVB的老套了，不过，女声独白真的很有味道，很符合情景！            
(2星)	 可雷可雷了，看完讲的啥都忘了...            
(4星)	 没有错对，只有价值观的不同。最可恶的是二叔，搅合完了回了法兰西。不过结局倒是皆大欢喜。            
(4星)	 这片子不适合TVB，因为讲得有点深度            
(3星)	 纠结的TVB剧情啊~~~~~很无趣            
(3星)	 5姑娘的角色转变很大。令人有些不能接受。47很抢眼。一个丫鬟也盖不住光芒~            
(NA)	 我的老年生活            
(4星)	 封建礼教太可怕了。            
(5星)	 不错，4月看的            
(4星)	 秦沛 伍衛國  實力派            
(3星)	 主要是杨思琦怎么堕落到演丫鬟不说，还这么配角            
(3星)	 封建礼教真恐怖            
(3星)	 胡定欣这么早就死了啊。            
(3星)	 ok~            
(3星)	 TVB也快看不下去了            
(3星)	 东方卫视曾经放过，还没怎么看，就是在桂林旅游的时候每天都在酒店里看，也看了没几集。大凡这种家族恩怨的都不怎么喜欢看，特悲了，不知道结局怎么样。杨思琦和胡诺言其实挺配的，在家好月圆里面也演过夫妻            
(NA)	 很喜歡這部戲. 而且很喜歡主題曲.            
(2星)	 乱七八糟            
(5星)	 人生坎坷呀！            
(3星)	 没有想象中的好看。            
(4星)	 伍姑娘气质无敌啊~~            
(3星)	 阵容很强大，除了杨思琦都很喜欢，但剧本。。。哎~~             
(2星)	 狗血的结局            
(NA)	 没感觉            
