http://movie.douban.com/subject/4894070/	黎明之前
(5星)	 开头的信息量高度密集，其后20集是多线叙事+推理分析，最后几集积蓄力量玩反转剧，最后结局仿佛不给力其实是点睛之笔。全知全能的水手同志，棋逢对手的老谭同志，啥也没干成的新杰同志，以及一干八局弟兄们都给人留下了非常深刻的印象。和潜伏相比的话，其实是各有千秋，故事重点并不相同。            
(4星)	 ——你太没人性。。。——我有党性啊~~~            
(5星)	 “我希望被埋在一个有风景的地方，在我的墓碑上不必留下名字。” Sa Yo Na La...            
(5星)	 最好看的一部谍战剧。好吧我只看过这一部谍战剧。好吧我是去看吴秀波的。            
(5星)	 向031号从容淡定嬉笑怒骂的气质学习            
(5星)	 潜伏是剧集，黎明之前是抻长的电影。            
(5星)	 反派人物都很出彩。齐佩林和孙大浦大概相当于戏曲里的丑角儿，每次出来都很有戏，很好地调节了节奏和气氛。黑老大的女人是贤良淑德的典范。海清真傻真难看！            
(5星)	 我他妈想说《让子弹飞》那样的烂本子在《黎明之前》算什么！这本子才应该走进好莱坞为中国争光！            
(5星)	 这片子很大方，给观者相当大范围的信息，并且基本摒弃用一件事情吊你胃口很长时间。可是依然吸引观者眼睛不眨的往下看，精彩至极。            
(5星)	 真心的为刘新杰、谭忠恕、齐佩林、孙大浦、段海平鼓掌。            
(5星)	 牛逼！            
(4星)	 不同于其它的冷血谍战片，“黎明之前”实在太有生活气息了。不管民国还是共和国，搞好办公室政治，关键时候总是能救命的。这尼玛不是谍战片啊，是刘拉拉保命记啊……另，孙大浦够Q的......            
(5星)	 个人认为这是目前国产谍战剧最高水准。跟这个比起来“潜伏”简直是渣了。片尾曲很牛逼。            
(5星)	 我妈就是喜欢吴秀波- -。。最后把我同化了。。            
(3星)	 站不住脚的剧本+非常卖力的演员+很有意思的剪辑。吴秀波 林永健 这是个怎么样的组合啊！！！            
(5星)	 吴秀波真的...挺帅的。            
(NA)	 乍一看吴秀波像林峰+古佃任三郎            
(5星)	 果然老爷推荐的剧都是好剧啊好剧！！！            
(5星)	 与此相比，《潜伏》便是垃圾            
(5星)	 一场政治旋窝需要一个小小的个体贡献自己的所有吗？不需要。            
(4星)	 長得帥真的很重要            
(5星)	 姐不熬夜看剧已久之，惟此剧破例也~            
(5星)	 虽然许多逻辑、历史背景甚至价值观都很狗血，但我还是硬撑着看完了，编剧威武。：）            
(NA)	 8            
(5星)	 【4.5】譚忠恕是能與正道之中楊立仁在信念以及忠誠上擁有共同點的人，一心為党國效力，忠貞不渝，亦懂得亂世之下的手足之情，血脈之情；劉新傑最後這一搏其實明顯有些僥倖，李博涵這人做人太失敗，所以人一定要學會做人，要懂得情義，情義這個東西臨死之前能救你，風生水起那時也能將你推下地域。            
(5星)	 不愧是八局第一宠            
(4星)	 结尾亮了，音乐也亮了。老谭知道刘新杰是卧底，明显的。            
(3星)	 我是来看帅哥和剧中的着装的。大爱民国的打扮。            
(5星)	 大背头大鬓角神马的最有型啦~\(≧▽≦)/~            
(4星)	 多少人所信仰的所为之奋斗的所为之牺牲的国家变成了今天的样子。            
(4星)	 1. 人缘好最重要。2. 女特务长的都不错。            
(5星)	 绝对的好剧，觉得胜过潜伏，淡淡的哀伤挥之不去，吴秀波有强大的个人魅力。唯一不满足的就是爱情线太单薄了，海清除了最后一场哭戏展示功力之外，其余的时间就是个花瓶。PS片尾曲非常动听动情            
(4星)	 从某转折点开始被一种悲壮情绪渲染。最后是惯常结局但事实就是这样。所有同题材作品都在说一句话：无论前路多坎坷曲折，持信仰必将迎来最后的光明！喜欢大结局那段无罪推论，宁愿相信那是一次完美的攻守同盟。勇敢的心主旋律响起就控制不住啦！看过吴秀波演大坏蛋苦情男，觉得他适合演这种被压抑的角色            
(5星)	 拍得很好。            
(5星)	 演技  真实 逻辑条理  推理清晰              
(5星)	 齐佩林/孙大浦的关系：他好，我也好。 刘新杰/李伯涵的关系：他好，我不好。段海平/谭忠恕的关系：他不好，我好。 谭忠恕/刘新杰的关系：他不好，我也不好。            
(5星)	 结局太给力了！直接给抬到五星级。百听不厌的主题歌又煽得恰到好处。其他都不说了，这个剧最大的成功之处在于人物。百感交集啊百感交集！“八局之花”刘新杰不用说了，除此之外其实我还很萌段海平！他才是真正的掌控全剧的头号人物啊！            
(4星)	 吴秀波的一举一动非常潇洒            
(5星)	 筹码是你的生命，而我，是你的入场券            
(NA)	 全仗好人缘儿啊。。。            
(5星)	 这是在《大宅门》之后我看过的第二部可以用“精彩”两字来形容的国产剧。真的是酣畅淋漓。            
(3星)	 编剧不够严谨，漏洞多。不如《潜伏》好看，演员整体演技还是需要肯定的。三星是给他们的            
(5星)	 比潜伏更好            
(5星)	 片尾曲给力            
(4星)	 刘也跟着去台湾这故事就完满了，谁知道文革时他怎么过日子的。好想看繁体版的谍战戏&gt;&lt;            
(5星)	 正所谓人比人气死人，殊不知剧比剧也是同理，与之比较《潜伏》立马小儿科了，刘新杰，孙大浦，齐佩林，李伯翰这几人的戏太过瘾了，再加上刘新杰那张脸，礼帽，风衣，真是有模有样，这不是又要让人花痴了吗？            
(5星)	 看这部片子是难言的享受，看完后则是漫长的煎熬，因为拔出不来。在这之前，《暗算》《潜伏》可算“出色”“精彩”，《黎明之前》却难下评价，任何词汇都显得如此牵强与苍白，只能勉强说，它让人“尊敬”，四十不惑才广为人知的吴秀波令人尊敬，素以喜剧/丑角定型的林永健令人尊敬。去看吧，好片！            
(5星)	 确实很不错。            
(5星)	 请问我可以打六星吗！！！神马叫做谍战巨制！！！我真的不是对吴秀波搞个人崇拜！！！这剧本这节奏感真的是党国难得一见的上品啊！！！            
(4星)	 情节编得相当精彩，吴老师也粉迷人。只是可叹革命先辈们抛头颅洒热血换来的是今天这样的局面，不得不感谢国家。            
(5星)	 国产剧越来越不得了！            
(5星)	 男主角68年的，真不像            
(4星)	 吴叔叔笑起来很柔和的那种... 很温暖. 我觉得他笑起来比很多男人都柔软.. 很特别            
(5星)	 节奏感特别好，结尾尤其值得认真思考            
(5星)	 波叔+各种戏骨+紧密的节奏+意外的结局+好听的片尾曲=5星            
(4星)	 心理素质是王道啊！            
(5星)	 2010最佳电视剧！            
(5星)	 我看下来，唯一大爱的国产谍战片~很紧凑！全家爱看，我很欣赏里面的角色设定，刘新杰的角色外形太帅气了&gt;.&lt;            
(4星)	 其实是黄昏之前，你懂的。编剧巧妙是功臣，反正每个人都是特工就对了。节奏再快一点就好了，被美剧纵坏了。            
(5星)	 好看，真的。            
(5星)	 节奏感强，没有多余描写，故事虽小，胜过《潜伏》            
(5星)	 漏洞多但是节奏剪辑一流，2.35：1的画面格式看起来也有电影的范儿            
(5星)	 不同于一般谍战片。编剧高智商，高情商。演员演技一流，主演很帅～            
(NA)	 靠！谁说这个比潜伏好看？站出来！！！！            
(5星)	 吴秀波好帅！！            
(5星)	 国军共党的谍报高手可谓棋逢对手，道高一尺魔高一丈，但最终都不过是“水手”的局中棋子。做局的一般是死在最后，也笑到最后，而水手的高明在于，他居然在死的时候为活人预先布好了局，他虽然死在前面，却能够含笑风景间。剧中诸人，都是任凭时局摆布的棋子，惟有水手纵览全局，所以他下了一盘很大的棋            
(5星)	 一部具有美剧水准的高制作国产剧集，捧出了具有好莱坞气质的艺术形象刘新杰，反英雄主义男一号~            
(5星)	 超越《潜伏》的存在            
(5星)	 每次看革命剧的时候我都会情不自禁的想，如果这些当年的英雄们看到他们拼了生命去守护的信仰到现在腐化成了现在这个样子，他们憧憬和为之战斗流血牺牲的新世界现在已是满目疮痍，他们的心情又是怎样。。。            
(5星)	 制作很精良，但其实刘新杰的人物塑造的有点单薄，但作为八局之花艳冠群芳啊，相比主角，几个处长的人物更加丰满。国军威武啊，真像有人说的，稍微小修改一下，这片子就可以在台湾播了。PS：海清在里面有点像老鼠屎啊~            
(5星)	 最后五集尤其精彩~是肉肉和它外公滴至爱~。。。            
(3星)	 明显有漏洞啊            
(5星)	 四星半：1.兄弟情和敌友情的条线使这部戏比潜伏真实饱满，也削弱了政治立场；2.吴秀波长的实在太性感了；3.三个配角处长演的很好；4.片尾曲我很喜欢～            
(5星)	 谍战剧其实还真的蛮好看哎，比潜伏多的一星是因为男主更帅一点。。我又很俗气的讨厌女主了。。并且这里面的男人我貌似都很喜欢            
(5星)	 非常精彩，算是为数不多的国产好片，每个演员都很出彩，背景跟潜伏有些相似，但是各有千秋。            
(5星)	 暗算和潜伏神马的无法相比的好剧，很难相信出自这片土地，照我看改个字幕可以直接在台湾播出的。            
(4星)	 两天看掉了。吴秀波真帅，这个班底也相当不错，几个人都挺能演出民国范儿的。李伯涵和李涯一样，一出来就猜到要悲剧的。            
(5星)	 虽然硬伤不少，好歹有智商，节奏不输美剧，要赞一个。片尾曲太过恶心。            
(3星)	 各方面都不如潜伏            
(4星)	 没看过的类型 念念不忘了三个礼拜  强烈要求给黄宏的老婆颁一下最佳反串奖 ~            
(5星)	 好看好看好看            
(5星)	 看完了还真发现这货不单是谍战反特片还是一办公室政治片            
(5星)	 终于看完，导演可以去拍电影了。。。            
(5星)	 在很多方面超越《潜伏》，例如，侦查，逻辑推理等。另外，信息量很大，情节紧凑，时不时还穿插幽默，奸诈，冷酷，感动等各种观感。            
(3星)	 妈的，吴秀波像死李朝晖，迷死我了，翘臀，妈的，我想和他MAKE，去死吧            
(5星)	 信仰是多麽珍貴啊，關鍵時刻有人作證是珍貴的，死諸葛嚇走活仲達。            
(4星)	 班底太来电了            
(4星)	 拍得还行，演得不错。            
(NA)	 没看到最后一分钟，还真不能随便说共产党的坏话            
(4星)	 漏洞量在可接受范围内不是只怪国军无能，可叹我党太狡猾啊。            
(5星)	 都是谍战片，都精彩至极，都是黎明前的黑暗，令人崇敬到心碎的信仰，都有最最一流的男主角，和表现出色的一群男配，以及动人的革命中的爱情线索，但是《黎明之前》和《潜伏》却有着截然不同的气质，谍战片也是生存片，更残酷也更忠诚，更有目的，却求不得名利。吴秀波，根本不可能不爱上他            
(5星)	 超越《潜伏》。看来在单位上混个好人缘是至关重要的。吴秀波越看越有味道。            
(NA)	 主要是细腻、节奏比较稳，有点难能可贵，吴秀波终于不出意外地红了一回            
(4星)	 齐佩林啊喜欢你那小胡子~~看完真是对党国又爱又恨啊~~~            
(5星)	 在老师们的一致推荐下。火速看完。            
(5星)	 国产电视剧不仅有宝莲灯，我的青春X做主这样的垃圾，同样有黎明之前，我的团长，生死线这样的精品，五星级推荐。剧情紧凑，情节跌宕，最后的结局感人泪下，还有全局充斥的兄弟之情。            
(4星)	 讲述一个小白脸骗得所有苦命大叔心甘情愿被他害的故事。（喂            
(4星)	 八局局花刘新杰！            
(4星)	 党国还是有精英的。            
(5星)	 好久没有这么酣畅淋漓地看剧了，集集精彩，没有废话。            
(3星)	 本来能给四颗星的，结尾太烂了，烂到覆水难收，给三颗星都是因为中段儿不错，说到底还是平庸之作。            
(1星)	 本来《黎明之前》里面的面瘫局长挺好看的。但到后面他被人完完全全的玩了一遍，就非常的不爽。就你gcd聪明，gmd 都是猪？？～ 整部剧就是被这最后一集给毁了            
(4星)	 特务也挺可爱的嘛~            
(3星)	 看到这么豆瓣这么高的分，吓了一大跳。除了海清、林永健外，其他的演员演的都很棒。只是没有剧情远没有潜伏扣人心弦啊~~            
(3星)	 感觉有不少漏洞。。。            
(4星)	 爱上憨笑淡定的吴秀波            
(4星)	 最近看的，感觉没有《暗算》《潜伏》耐嚼，过于炫技了，反而没有滋味。好比在酒店吃大餐，开始觉得生猛，回家只有一嘴味精味儿。人物不够丰满不说，对主人公信仰的形成、坚定过程也没有交待。国共两方强弱差别太大，纠偏纠过了。            
(4星)	 很多硬伤啊，大反转太硬了。但是刘新杰很帅~            
(4星)	 很好看，男猪脚有点阿尔帕西诺的范儿，最后不太合理            
(4星)	 国共的兄弟情谊，神马时候可以再现？            
(NA)	 这个剧应该是&#34;潜伏&#34;热后的一部，拍得还好，但是最后还是觉得有些搞笑了，不信亲眼所见的证据，却要靠“科学”推理，大浦是个好的科研人才啊！            
(5星)	 看了几遍。            
(5星)	 真的是部好剧，难得精彩的国产剧。            
(4星)	 技术流。全剧散发着浓浓的腐味。。。有败笔，但是总体来说，大结局也算惊心动魄。            
(3星)	 还好，和《潜伏》没法比，林永健演的很不错，八局里面个个都是能人，            
(NA)	 有美剧风格，但节奏没有美剧快。都说比潜伏好看，情节的合理性不如潜伏。            
(3星)	 不如潜伏，55            
(5星)	 远比潜伏好看，非常精彩，但也非常讽刺。编剧你也是卧底吧^_^            
(4星)	 海清是打酱油的么…… 终于看完了 很好看            
(5星)	 神作无疑！此剧水分几无，一气呵成，编剧驾驭复杂情节甚为成功，导演耍美剧流也还不错。结尾实乃神笔，堪当推理作品之范本。            
(5星)	 目前还是我心目中的谍战剧NO.1            
(4星)	 大时代 大时代            
(4星)	 神化得有点过。。。。            
(5星)	 大陆剧中少有的情节紧凑，人物刻画也很不错            
(5星)	 开始看只是为了和潜伏比较，看完了觉得不管情节还是人物形象都很丰富饱满，好看~~~            
(4星)	 或许没有潜伏中那般迷人的人物，但加入了更多更强的侦破和推理元素，对档案学和毒品学的展示几乎就专业了，在影视语言的运用上超出了潜伏好多。            
(5星)	 几乎都是在出行的路上颠颠簸簸地看的，让我忽略了窗外的风景。演员的表演很到位，不像很多主旋律片，总是好人永远棋高一着。片子里敌我双方都在犯错误，更像是一个讲述信仰的作品。每个角色都很有特色，边日南牺牲的时候几乎热泪盈眶。            
(5星)	 刘新杰极有魅力。吴秀波，我记住你了。果然是要有经历的男人才有味道。            
(4星)	 选角太经典，扮演很完美。            
(5星)	 节奏紧凑，没有冗余。结尾平淡。不得不主旋律。整体很赞。            
(4星)	 一晚十集            
(5星)	 如果没有海青就更好了。            
(5星)	 总体感觉很棒的一部电视剧。            
(5星)	 当监狱里二十六个犯人唱国际歌的时候，我流泪了，不光是因为他们勇于献身，也因为他们自己也没想到献身换来的是今天的中国            
(5星)	 我最近咋就嘎无聊捏…唉            
(5星)	 结尾的几集很惊心动魄啊。            
(5星)	 一看到刘新杰就想起Y（女）。。            
(5星)	 很久没有一部戏结束之后百感交集的感觉了 为了这个感觉五星            
(4星)	 真是拍的不错，情节好的都不像大陆电视剧了            
(5星)	 向美剧发展。            
(4星)	 陪老爸瞎看，竟然很好。            
(5星)	 心里从此有了个刘新杰。            
(4星)	 有些情节、片段真是不错，就是开头和结尾拖沓了点，总得来说比潜伏好看！！吴秀波同志算是要熬出头了，只是海清的角色实在有点多余，还是回去演媳妇的好。            
(5星)	 我悲观的认为，三年之内，我们再也看不到这样好的电视剧了            
(5星)	 4星半，几近完美。就是中间剧情稍有阻滞感，最后几集的逆转设置较棒，煽情时不用废话，简单的军礼或是别的动作寓意连绵不绝。            
(5星)	 《潜伏》之后，谍战片再迎高峰，推理式剧情让人叫好不迭。            
(5星)	 潜伏的厉害之处是构架了一个类型剧的框架，黎明之前在细节和剧情上做的更饱满。就剧情说，BUG肯定有，可是优点太多了，作为一名影视剧迷感到被狠狠地尊重实在太幸福T0T犹豫之后再添一星！摄像和剪辑太给力了，有一些剪出来放电影院绝对没问题。最后大家联手修理李伯涵实在太痛快啦~            
(5星)	 太好看鸟！！太爱刘新杰了！！！            
(4星)	 剧情环环相扣~            
(5星)	 这个吴秀波要红哟。好久好久没有这样突然喜欢一个演员了。            
(5星)	 人没有信念怎么活下去 ！有多少人看此片记住了常德会战？！谁说只有宗教才算信仰？ | “54 有用 zard砸得王大崩2010-10-30比信仰更强大的是人性。 情节紧凑 内容精彩 好编剧好演员 ps 每次看这样的片子就难受，这么多人为新中国献出生命，它却走到了今天这副模样”            
(5星)	 无间道            
(4星)	 让人耳目一新的国产剧            
(5星)	 真好看。。。            
(5星)	 国产剧里难得的精品，谍战片中无疑的佳作，if not 最佳作。虽然依然有些令人遗憾的地方。李伯涵栽得比较冤，以他的精细缜密，不应该如此轻信齐，还一个人独闯谭宅的。            
(5星)	 吴秀波演得真好，海清28集那场戏真棒            
(4星)	 八局真是个温馨的单位啊            
(5星)	 是一部难得的编导演三方面都均衡出色的好剧            
(5星)	 结局让我恍惚了一下= =            
(4星)	 刘新杰。故事的结尾处理得不错。            
(4星)	 这片子在家休息了四天，看了四天，情节紧凑，反正我觉得是不错            
(5星)	 依稀可见当年党国风采~~~~~            
(4星)	 大结局去台湾一段整的挺有味道的 兄弟之间的事都明了 还有不能割舍的轻易            
(3星)	 这是一部几年来唯一能让我看完的电视剧，虽然里面漏洞不少，但感觉至少编剧不脑残。            
(5星)	 比潜伏好看            
(4星)	 矮油 吴秀波的男人味呀~~~还有几个处长之间的纠结啊~~~            
(4星)	 吴秀波是个帅大叔～每个都是点，好看！            
(5星)	 我还没看几眼呢就发自肺腑地求吴秀波好吗！！！！！！！！！！海清之流请死开好吗！！！！！！！            
(5星)	 精彩极了，超五星            
(5星)	None
(5星)	 胜过《潜伏》太多的精品            
(5星)	 好片子！！！！            
(4星)	 太复杂了，像我反应这么慢的人觉得有点转不过来。。。            
(5星)	 相当扣人心弦！精彩！            
(5星)	 尊重观众的智商，每个人物刻画得都很真实            
(NA)	 值得看 比潜伏好 第14 集很牛逼            
(4星)	 尼玛刘新杰迷死我了             
(5星)	 如此精彩的国产连续剧实属少见 一改以往对国产片不屑的不良印象 强烈推荐            
(4星)	 没有 剑·谍 好看。            
(5星)	 认为是目前国内谍战类得一部神作，人物饱满，剧情曲折。五星~~~            
(5星)	 我心目中值得十星的精品，这部剧算是国产剧的一部巅峰，里面的主角和配角都非常出彩，我除了喜欢刘新杰，还非常心水齐佩林。这部剧的好处就是，人物塑造得非常立体，没有纯粹的好人或是坏人，也不把观众当傻子耍，每集都有悬念和紧张的地方，“水手”这个人可能比较神化了点儿，但是很有说服力~            
(NA)	 妈呀！真是上岁数了吗？肿么这么着迷这位叔岁童颜帅锅蜀黍？？？            
(NA)	 太精彩了，折服于这么一批出色的演员们，在演艺生涯上画上这浓墨重彩的一笔。刘新杰、齐佩林、孙大浦，让我动容还有边日南，无奈成叛徒的小人物。一部值得反复欣赏的好片！            
(5星)	 真的真的非常好！感觉比潜伏还要优秀，结尾很震撼，出乎意料~每次看都想让反派赢，但这次我希望是正派赢！            
(5星)	 第一次完整地看完一部国产谍战剧，精彩，扣人心弦！演员华丽丽地演技，赞！            
(5星)	 演员不错  剧情更不错             
(5星)	 超级牛逼，还没看过更牛逼的谍战片            
(5星)	 比潜伏好看。。就为吴秀波，也要给5颗星，10颗都不够！哈哈！！！            
(5星)	 经典之作，媲美美剧            
(5星)	 一部好剧就像一盘好菜，吃完之后，让人回味无穷。《黎明之前》就是这样。这是一部可以和潜伏抗衡的戏，唯一不一样的是，里面褪化了革命年代的爱情定论，而侧重对每个人冠上独立的性格，从而使故事非常饱满。一个好作品的基础就是必须要会讲故事。当然林永健，吴秀波等这些主角们的出色表演也是深入人心            
(5星)	 精彩过潜伏，每集情节连贯，关键是你从第二级就知道了每个人的身份还想继续看下去，编剧功不可没            
(5星)	 国产电视剧的确有他独特的魅力和优势 觉得美剧还是按着剧本拍靠谱些 刘新杰太帅老             
(5星)	 这剧真的挺不错，不吝啬了直接给5星吧，常轻吴这么多年魅力依旧真NB，喜欢他呵呵！            
(5星)	 主角、配角演技均衡，剧本很赞。比《潜伏》给力！扣人心弦！            
(5星)	 社会学的完美实践和再现！            
(5星)	 那个看似漫不经心的人，却是清醒的可怕...在扮演一个角色长达十年之后，仍坚持住着自己开始的信念~            
(5星)	 刘处长，你真是帅得过分啊            
(5星)	 推荐啊推荐！            
(5星)	 比潜伏好看多得多            
(5星)	 很好看~而且人性化。。。步步紧逼~让我想起90年代拍片特有的认真和英雄情怀~很纯粹~            
(3星)	 有些人的能力经得起考验，有些人的忠诚不需要考验            
(5星)	 国产电视剧中的绝对经典，有美剧的水平            
(5星)	 吴秀波啊。。。你居然都已经43了！！！            
(5星)	 这个真的不错啊，从来不看国产电视剧的都看了………………            
(5星)	 这么精彩的谍战片竟然现在才发现！！！            
(5星)	 剧情节奏演技服装道具无一不精！这部剧是大叔控的福音啊。激动啊，听国际歌差点哭了，知道阿九身份就真的哭了~还有就是证明人缘在哪里都很重要！            
(4星)	 吴秀波大叔已经43了！怎么还可以帅成这个样子！那他23的时候怎么办！            
(5星)	  比《潜伏》精彩复杂，群戏入胜，老纸看到流泪了有没有！！！！！！！！            
(5星)	 吴秀波你敢再帅点再年轻一点么！！！！！！！感觉他跟田村正和很像啊，不管是外形还是演戏的感觉。。。好迷人啊！！！！            
(5星)	 什么叫高手对决 观众不是傻子             
(4星)	 赞 每一个演员都有出彩表现            
(5星)	 极为精彩的电视剧。我愿意把所有的褒奖都给这部剧。这是我迄今为止看到的唯一一部既尊重观众智商、故事精彩、情节紧凑，又没有刻意煽情、刻意歌颂和刻意贬低任何故事人物的电视剧，编导、演员、制片都是堪称一流的。            
(5星)	 剧本好，演员好，镜头好，剪辑好            
(5星)	 看过最好的一部谍战剧，我是看了这部后，才看的《潜伏》，感觉《潜伏》是玩过家家！！！！            
(4星)	 结尾怎么那么让人不满意啊            
(5星)	 强荐!!无数感动无数欢笑无数精彩，好久没看过这么有人情味的剧了~            
(5星)	 最喜欢的谍战剧~~            
(4星)	 每次敌人中了反间计一腔赤诚地替我潜伏人员洗脱罪名时，我都打心眼里着急……和伤感……            
(4星)	 刚看完这片，难得的没把观众当白痴。扣掉一星，结尾谭局和刘新杰在水手墓前的对话明显说给GD总菊听的。。想想031们在现实中最后的可能结局，让人心寒。            
(5星)	 萌剧            
(4星)	 BOBO好帅好帅啊            
(4星)	 吴秀波的北京话很好听。            
(5星)	 吴秀波的声音真棒。            
(5星)	 ……失落            
(5星)	 除了最后揭秘的几集进展稍慢，真没什么好挑剔的。难得从头到尾都不会想快进的国产剧，很紧张很纠结，赞~\(≧▽≦)/~            
(5星)	 故事力求真实，完整，演员专业演出，好片子，无矫揉造作之处，无明显不合理处，好片。推荐            
(3星)	  說真的  沒有潛伏好看 有些情節生硬            
(2星)	 七集弃，潜伏很了不起么，居然就成标杆了，9分这是置the shield于何地            
(5星)	 有逻辑漏洞有隐含意识也有常见的夸张，但人终究为人这点安排的够到点了。编剧算很牛逼了！            
(5星)	 引用卷耳苍耳TX的话：“在纷繁乱世中，人的命运，只如沧海一粟，浮沉难定。在莫测的世事之中，或许只有那一抹精神上的温暖，值得人思索和回味。”             
(5星)	 四星给吴秀波 一星给陆剑民！齐了！            
(5星)	 好编剧好导演好演员，关键是刘处长太帅了=3=            
(5星)	 有情 有义 有胆 有谋. 从主角到路人全都演得淋漓尽致. 强烈推荐的作品. 对, 我喜欢年代戏. 用的是同样的拍摄场地, 这里面连发胶, 皮衣, 和和有沿小帽怎么就没那些矫揉造作的痕迹捏 =) 这部戏唯一的缺憾就是名字没起好...            
(5星)	 从此后，行走的天地，又多了一份孤寂。请别忘记你是我的好兄弟。时间弄皱了记忆，荒草凄凄。回眼望去，是我们洒过泪的土地。            
(NA)	 从看《相思树》的时候就非常喜欢吴秀波。恩，帅呀！            
(5星)	 到最后才明白这是一刑侦剧 一股美剧范儿啊 又拾得一枚美大叔=3=            
(4星)	 基本上没有潜伏好看            
(5星)	 不可多得的谍战好片 类似潜伏 但又有潜伏没有东西 男主角很有个人魅力 顺便说人不能没有信仰            
(5星)	 好看!!!            
(5星)	 有六颗星么。。。。好剧本，好演员！            
(NA)	 难得一见的好剧，个人觉得比潜伏在情节和演技上都更胜一筹。            
(5星)	 确实是难得的一部有智商含量的内地佳片。只是感觉到结局不怎么给力啊，看了结局之后没有一种豁然开朗的感觉，觉得有点烂尾。不过内地片能做到这样已经很不错啦            
(5星)	 很精彩，一点废话都没有。谭、孙、齐是故意放走刘的，借机弄死李的。            
(5星)	 比暗算更险恶的勾心斗角，更残酷的牺牲。吴秀波一颦一笑都是戏。            
(5星)	 和老爸看的，三天看完，其中包括一次通宵，哈哈。按我爸的说法，近10年最牛逼的电视剧，结尾了都舍不得。我最喜欢边日南死后刘新杰和水手撒酒那段，堪称中国电视剧的牛逼一幕。2010            
(5星)	 真正把人性回归平凡的好戏            
(4星)	 还不错，演员是亮点。不然看下去30集还是太累了            
(4星)	 高潮总是在后面            
(5星)	 断断续续看的，目前正第一集开始仔细看。风声无间道的合成加长升级版            
(NA)	 难得能看n遍，不快进的电视剧。情节紧凑，禁得起推敲，不拖沓，没有狗血的感情，演员都很棒            
(3星)	 跟风之作，前面几集不错，半途而废            
(5星)	 灰常好看 剧情好呀 挺真实 所谓反派也不全是二百五 喜欢看办公室里插科打诨的部分 吴秀波气场强大 期待再有好剧            
