http://movie.douban.com/subject/2248707/	激情燃烧的岁月
(3星)	 不喜欢她丈夫            
(5星)	 着实看了不少遍，即使是电视剧，还是很喜欢            
(3星)	 蘑菇屯            
(NA)	 故哒            
(3星)	 后半段比较好看。            
(3星)	 母亲的最爱            
(4星)	 我妈很爱石光荣            
(5星)	 真实的石光荣。            
(4星)	 还好            
(4星)	 第一部其实还是国产佳作呢            
(4星)	 石晶            
(4星)	 可火了一把了            
(5星)	 石光荣——跟我爹多类似的人啊            
(4星)	 石光荣很像我爹～            
(3星)	 蘑菇屯            
(5星)	 那绝对是平凡中见真爱啊.........            
(4星)	 挺有意思的            
(NA)	 虽说不怎么爱看这种题材的电视剧 但还是在无奈中看完了一遍（实在没有其他的电视剧可以看了）所以没啥好说的……            
(2星)	 讨厌土匪爹，也讨厌土匪儿子，讨厌讨厌讨厌~~~仗着当初的官架子便强抢名女，chairman mao知道肯定要让她写检查的            
(5星)	 很好看            
(NA)	 陪外公看的。居然觉得很好看。            
(2星)	 孙海英这个大傻逼            
(1星)	 傻            
(1星)	 无论怎么掩饰，无论什么立场，父亲都是个流氓！            
(4星)	 的确是很经典的红色中国。二老演得精彩。            
(3星)	 .............................            
(5星)	 军事题材也可以从这样的角度去看。            
(NA)	 孙海英两口子，演的不错            
(4星)	 最喜欢看这俩人吵架了XD            
(4星)	 激情燃烧的岁月……            
(4星)	 [昔日所看]            
(5星)	 看几遍都不会腻...            
(NA)	 没有爱情的婚姻，悲哀啊!            
(3星)	 没老三说的那么好看            
(5星)	 石光荣，我和你战斗到底            
(4星)	 只能推荐给老爸老妈那一代人了            
(5星)	 哎呀。共鸣，这绝对是共鸣。我跟这石光荣他家孩子有共鸣。            
(3星)	 讨厌那男的，有病嘛！            
(5星)	 简直不像电视剧，就像生活本身呐。            
(NA)	 我妈超爱!            
(3星)	 造作            
(NA)	 激情燃烧的岁月            
(4星)	 那个年代啊~            
(5星)	 石光荣是个活宝~            
(NA)	 那个年代的爱情            
(4星)	 还没看完那            
(5星)	 爷都是不好惹的。不同时代的恋爱都是相似的。            
(NA)	 劲儿劲儿的            
(5星)	 Classic中的classic            
(NA)	 恨死石光荣，老木头一个！可恶的居然是戏里戏外鲜花都插在牛粪上            
(4星)	 我现在特别特别讨厌孙海英和吕丽萍。但是这四星是给剧的，当初的确让我很喜欢！！！！！            
(3星)	 石光榮哈哈哈~現在都記得那口音            
(4星)	 石光荣特讨厌，特可怜，特真实。            
(3星)	 吃面条...            
(5星)	 也是经典好吗！！！！            
(4星)	 我爸看100遍都不会烦= =心理刻画相当到位。可惜这两口子日后朝着脑残的方向渐行渐远……            
(4星)	 我爸爸太喜欢看了            
(4星)	 石光荣的性格好像就是孙海英的性格。            
(4星)	 看着其实很温暖            
(5星)	 结果后来孙海英和吕丽萍就成了很极品的两口子= =            
(4星)	 这俩夫妇怎么说呢...你们懂得...哦呵呵呵呵呵呵，信主得永生            
(4星)	 刚才看重播啊！！！石光荣就是个二逼啊有没有！！！！！！！！！！！！气死我了            
(4星)	 虽然这对夫妻= =....但是当年我还真挺喜欢看这个的。            
(4星)	 有一段配乐特好！            
(4星)	 挺有意思            
(NA)	 哈哈哈哈连我爸妈都看了！            
(5星)	 我爹超喜欢            
(3星)	 断断续续看了一些，和父母一起，感觉家长里短是很温馨的            
(NA)	 我一直挺爱看的，就是现在这俩口子嘛。。。            
(1星)	 受害者被逼爱上强奸犯的故事            
(NA)	 语言不足以表达我对这部剧的喜爱之情！            
(NA)	 须眉浊物，狭隘固执不知变通的臭男人！            
(3星)	 部队的东西比较多~雷人的是这两位主演最后真成夫妻了= =            
(5星)	 大家演的都很到位            
(NA)	 康洪雷啊康洪雷，这部基情燃烧的岁月什么的最不基情了 ：）            
(5星)	 石老头像极了我最最亲的爷爷             
(3星)	 二愣子。            
(3星)	 还不错            
(4星)	 我真是看过不少电视剧- -            
(5星)	 孙海英看起来像我姥爷            
(5星)	 不知道为什么 我居然很喜欢这部剧耶            
(5星)	 石庆熊！！！！！！！！            
(4星)	 需要把声音调低了看......            
(5星)	 我觉得孙海英老帅了！！！！！！！！！！！！！！！！！！！！！！！！！！            
(3星)	 部队生活题材的开端。。。            
(4星)	 特佩服我,这都是和奶奶一起看的            
(4星)	 孙海英和吕丽萍后来凑了一对，哈哈。            
(3星)	 角色太合适孙破嗓            
(3星)	 这俩还真成了，不是一家人，不进一家门。            
(4星)	 噗~多少年前看的了啊            
(NA)	 孙海英3的舞步            
(5星)	 好电视剧呢～            
(5星)	 这是相当经典的作品。            
(NA)	 爸妈老爱看了。            
(4星)	 关于老爸的很多回忆            
(3星)	 当年被逼陪着老妈看。不知有什么好看。            
(3星)	 这老爷儿们也是我们马教主的信徒！！！！！！！！！！！！！咆哮吧！！！！！！！！！！！！！            
(5星)	 很朴实，很感人。看了几遍，都忍不住哭泣。那个年代纯真的感情，是岁月磨练出来的，现世哪里还有这样质朴的人或者事。            
(5星)	 其实挺好看，只是后来孙海英的反同言论让我对他没了好感            
(4星)	 高中时候放假看过            
(4星)	 还好            
(NA)	 有段时间狂放这片看到我腻死了            
(5星)	 大愛。            
(4星)	 我怎么会把这片子看下来的            
(3星)	 那个年代里的爱情，随着那个年代里的烟酒糖茶而渐变渐远了....            
(4星)	 ··想当年我都无聊到这份上了·哎·            
(4星)	 走在前头 后来的电视剧就揪着那段对月不放了 演员很好 还凑成一对丽人            
(NA)	 没爱也结婚。            
(NA)	 其实原著比较好看哦。。            
(4星)	 2010.06.01            
(5星)	 当时很火啊            
(4星)	 大学时代            
(5星)	 原来有黄海波啊!!!            
(5星)	 我的五角星情节啊~~~            
(3星)	 石光荣老是脖子昂昂地说话            
(3星)	 我老爸老妈喜欢看。            
(5星)	 跟着我爸看的。开始觉得烦，后面再看有点意思…            
(3星)	 不错~            
(5星)	 喜欢那个时代的感觉，因为会想起亲人            
(5星)	 石光荣像我外公。。。            
(5星)	 well~好可爱~            
(5星)	 我好像知道石光荣是谁。。。            
(4星)	 革命教育片，还是挺有意思的            
(NA)	 集体记忆产生的共鸣什么的绝对是好看的啊。            
(5星)	 不知道看了多少遍            
(4星)	 上学的时候看的            
(4星)	 还蛮有趣的            
(4星)	 陪爸妈断断续续看下来。石光荣一句台词一直记到今天：人要有股钢火，不能自己惯自己。            
(1星)	 中国式激情            
(4星)	 臭老头，一脸烟牙。            
(4星)	 老妈爱看.跟着看            
(4星)	 石晶那段很喜欢。            
(4星)	 孙海英的成名作，他开创了一种全新的表演模式，并被后来的孙红雷所借鉴。因为这部电视剧，他跟吕丽萍假戏真唱，成了夫妻！            
(4星)	 石光荣让我想到我爷爷            
(3星)	 另一个时代人的回忆。要了解他们，这个电视剧集是个活页            
(4星)	 当年我那叫一个萌褚琴呀            
(5星)	 看一遍哭一遍~            
(NA)	 他很像爷爷。我最爱的爷爷。            
(5星)	 每次看都很澎湃咧。            
(4星)	 那个年代人的爱情可能就这样吧            
(NA)	 因为写李素芝，开始温习这部片子。            
(5星)	 近几年我最爱的一部。。。。实在百看不厌 特有意思            
(3星)	 激情燃烧的岁月            
(4星)	 真心地感动过……            
(5星)	 无论是哪个台播放，我都会定格，百看不厌            
(5星)	 我喜欢石光荣            
(5星)	 耐看            
(4星)	 那时候很火            
(5星)	 老少皆宜啊~            
(3星)	 觉得过了。。            
(NA)	 其实很多军旅题材的电视剧都很有意思。陪爸妈看剧的时光。            
(4星)	 很好~            
(NA)	 是不是这剧 军旅生活片突然就泛滥了            
(4星)	 看来我看过不少老电视么            
(NA)	 难得有革命剧这么好看的。吼吼            
(4星)	 燃烧完了岁月，激情还在，这是不是就叫爱情。            
(NA)	 我爸爸说这个会红  于是红了  哈哈哈            
(5星)	 石光荣！            
(NA)	 可爱的是光荣            
(NA)	 有意思，感人。            
(5星)	 好！            
(NA)	 属于那个年代的记忆            
(NA)	 喜欢~~个人不是很喜欢那个年代的东西但萌这部戏            
(5星)	 无时无刻的趣味性，让你不管何时碰巧换台看到都会忍不住一直看下去。            
(NA)	 挺像我姥姥姥爷....            
(5星)	 太有亲情了，最后一集当时都不敢看了。            
(1星)	 这是一部把人当白痴的电视剧            
(4星)	 后面不好看            
(5星)	 我和我妈都笑喷了            
(4星)	 陪我爸妈看的  还不错            
(4星)	 剧情一星孙海英一星吕丽萍一星编剧一星            
(5星)	 看了无数遍的电视剧，每次看完都有新的体会。演员演得太精彩了！            
(5星)	 喜欢这种描写真实过日子的            
(5星)	 很纯真的感觉，喜欢。            
(4星)	 巧取豪夺也能幸福            
(5星)	 又重温了在一个多月的病房里陪伴我的老片子            
(4星)	 还算贴切。            
(4星)	 那会儿就爱看这个            
(3星)	 没感受到为啥这么火            
(5星)	 烽火岁月            
(5星)	 真情。            
(4星)	 以前陪妈妈一起看的 挺逗 哈            
(4星)	 陪我妈看的~还不错吧~当时觉得小儿子很娘~但长得还不错~让我比较理解了那一代人~            
(3星)	 不明白            
(4星)	 人到中年万事休。            
(4星)	 两个互相不喜欢也不适合的人也能过一辈子，你相信么。            
(5星)	 这老头，就是我爹。。            
(4星)	 只要电视台还敢放，我妈和姥姥姥爷就敢看。            
(4星)	 Parts..            
(4星)	 表演有张力            
(NA)	 莫名的熟悉            
(5星)	 不错            
(4星)	 这石老头，多乐呀！            
(2星)	 不喜欢            
(3星)	 好看            
(NA)	 這可是燃燒了多少人的激情啊。。。            
(3星)	 额              
(5星)	 让我想到了我爷爷            
(4星)	 喵~~~~~~安拉安拉。还好啦·~~~我觉得他们两个很可爱诶            
(4星)	 无奈呀无奈，鲜花就那么插在了牛屎上。            
(5星)	 这种题材的剧居然都把我吸引到了            
(3星)	 看得不完整，老爸老妈喜欢看            
(NA)	 不用说啦            
(5星)	 我不要嫁给军人            
(5星)	 前面笑得不行，后面哭得不行，原来这也是康导的作品啊！            
(4星)	 老一辈的爱情故事。呵呵~很好看。            
(NA)	 我妈爱看            
(5星)	 那个时候的人啊，善良，理想            
(4星)	 初中的时候，看这电视的名字就很那啥的看了，嗯哼~            
(NA)	 瞅着不错            
(4星)	 激情燃烧的岁月             
(NA)	 虽然看上去傻，不过还是很看的            
(NA)	 大手大脚大脸盘子....            
(5星)	 让许多人看到了自己或是父母的影子            
(4星)	 当时看还可以!            
(5星)	 太经典了            
(2星)	 只是一部红色剧，不怎么样嘛。            
(4星)	 我妈很喜欢看            
(4星)	 第一部最好看，第二部还不错啦，第三部看到已经出来了，但没有想看的欲望呀            
(4星)	 有点小意思            
(4星)	 哈哈，笑死            
(4星)	 总觉得有爷爷的影子            
(5星)	 激情燃烧的岁月 / 激情燃烧的岁月            
(3星)	 不说啥了。。。            
(5星)	 就像我家一样的感觉，在外求学突然看到这部电视剧。想起在大院的那个家。哈哈！我爱人民解放军啊！我的家我的激情燃烧的岁月！亲你们啊！最可爱的人！            
(5星)	 好片 让我体验了一把激情岁月            
(5星)	 百看不厌            
(5星)	 很有劲！            
(4星)	 好剧。            
(NA)	 啊哦            
(5星)	 2007-9-20            
(4星)	 这两口子越来越不招人待见了            
(3星)	 貌似我也看过一点，记不太清了，以后有机会重看            
(4星)	 其实还挺好看的，就是这对夫妻我真是无语= =            
(4星)	 存档。            
(NA)	 激情在哪个年代都在燃烧。生活就是在燃烧。            
(5星)	 这是我最喜欢的电视剧，没有之一。            
(5星)	 军旅题材至此大热            
(5星)	 国产电视剧里为数不多能看的。            
(4星)	 其实值得五星，只是时间有点远            
(3星)	 这个。。一家人一起看的            
(4星)	 我喜欢搞笑片段，这部片成了一对奇葩夫妻，他俩其实是中年人一代的代表，你看他们任我们怎么说吧，不是活得很自在嘛            
(4星)	 那个年代算是比较正面的影响            
(4星)	 还行吧            
(4星)	 那时相当火啊！            
(5星)	 犹记得当年几乎所有台都在放的盛况。好片子。            
(NA)	 这是和妈妈一起看的 里面说 男人有时就是孩子            
(3星)	 主题曲不错，年轻的时候郎才女貌。            
(4星)	 当年也算是很喜欢的神作了            
(NA)	 其实这个挺好看的。。            
(5星)	 究竟什么样的爱情，才是真的。            
(1星)	 为啥打一颗星，就是讨厌这俩主演，强烈的BS他们。            
(5星)	 经典 毋庸多说            
(3星)	 这两口子还是灰常般配的~            
(NA)	 传奇夫妻...            
(4星)	 当年 真是当年好顿看啊...            
(NA)	 爸爸见电视播一次必看一次            
(5星)	 难以解释的爱情            
(5星)	 好多事儿和自家的事儿很像            
(4星)	 好看            
(4星)	 虽然不喜欢这两个演员            
(3星)	 種菜！            
(5星)	 可爱的老头！！！！            
(3星)	 那些年，跟爸妈一块看电视剧            
(4星)	 石光荣老年的时候真像我姥爷            
(4星)	 这个比较经典            
(2星)	 可以说孙海英的石光荣正是我深深讨厌的那种男人。BJ非要把这种简单粗暴演绎成一种美好。不过不能不承认，那个年代的人看这个或许会有同感。            
(3星)	 感觉不错啊            
(5星)	 真的很热血的时代。。。。            
(3星)	 现在想想这么有爱呢            
(3星)	 我不喜欢军区大院的故事。            
(4星)	 挺有意思的剧。            
(NA)	 做什么都要激情 三星。            
(NA)	 哈哈为什么我觉得吕丽萍像二姨。            
(4星)	 上了年纪的人都爱看            
(4星)	 其实看下来确实挺热血挺好看的~            
(3星)	 和爷爷奶奶一起看得，最后说了什么现在也不记得了            
(5星)	 那么多个人物能做到每个都个性鲜明就是难能可贵            
(1星)	 演的很好，剧本脑残！            
(NA)	 小時候的記憶啊。。             
(5星)	 故事拍的特别有年代感。小时候的最爱。            
(NA)	None
(4星)	 曾经和我妈一起看的            
(4星)	 谢三克你不要以为你娶了吕丽萍就可以装逼了！！！            
(5星)	 追忆啊            
(1星)	 no reason            
(5星)	 极喜欢吕丽萍。更高兴因此剧她还获得了美满的家庭。好人有好报啊！            
(5星)	 这样的一辈子——满好！            
(4星)	 演员吕丽萍，演员孙海英            
(4星)	 又一部跟着家里人一起看的连续剧            
(5星)	 好片子 老妈看了一遍又一遍            
(5星)	 这是他们夫妻难于超越的巅峰了吧            
(3星)	 当年和我奶奶一起看的，全剧都看完了。            
(4星)	 我有出演哟            
(4星)	 孙海英和吕丽萍没劲 第二代有劲。。。            
(4星)	 经典~            
(4星)	 俺爹嗑瓜子最爱看的            
(5星)	 这部好看啊。            
(3星)	 其实我什么都不记得了。            
(5星)	  看完了 更加深刻的体会到 生命诚可贵 珍惜身边的人吧  家人 朋友 不要等到失去了 才追悔莫及            
(NA)	 我爸我妈我弟都爱看。就我不爱(﹁&#34;﹁)             
(5星)	 看了很感动，受父亲影响，爱上这部电视剧，平凡的生活让人感到真实，演 得太好了，流了好多泪，那些不喜欢的人就不要乱作评价            
(4星)	 看的原著            
(2星)	 石光荣..            
(5星)	 两大戏骨，感情就是吵出来的。            
(4星)	 说实话觉得还不错。            
(1星)	 你好可爱的一对夫妇，我是高级黑            
(5星)	 当年看的时候真心觉得不错，虽然俩口子后来都脑残了。不过也许当初就脑残，只是我没发现呢？             
(5星)	 我好像看过很多很多遍噢。。。。。             
(2星)	 很不错那个女演员            
(4星)	 当年可真是火啊，我怎么那么喜欢演武松的那人呢            
(5星)	 父母亲都很喜欢的一部电视剧            
(2星)	 当年看时还挺激动的            
(5星)	 老子虽然不喜欢孙海英和吕丽萍可是这电视剧真心好看= =            
(3星)	 咋说呢，还成，毕竟不是成就了一段婚姻嘛。            
(3星)	 中年妇女的最爱啊            
(3星)	 有点点点点点点点映像。。。            
(5星)	 大爱            
(5星)	 石光荣！！！！            
(5星)	 孙海英有这一部戏足矣            
(NA)	 真好看的一部电视剧。不错。            
(3星)	 討厭這種背景            
(1星)	 我姥爷比他强多了……            
(4星)	 小时候看的...蛮喜欢的当时...            
(4星)	 石光荣和我姥爷一样一样的            
(4星)	 看的时候， 总是想起我爷爷。            
(5星)	 看了半个月，总算看完了....开始找下一部。            
(4星)	 经典的石光荣            
(4星)	 从年轻到年老，一辈子。            
(2星)	 夫妻俩演的挺带劲             
(3星)	 小时候和妈妈、外婆，祖孙三代一起看的            
(5星)	 蘑菇屯神马的。。。            
(5星)	 记得当年老爸看的不亦乐乎。            
(2星)	 看着很闹心，这种男人搞基都没人会要的            
(NA)	 扫过那么几眼，主要是俩主演都不是我的菜            
(5星)	 那个时候还蛮火的。            
(1星)	 讨厌孙海英这个人            
(4星)	 很感人            
(4星)	 喜欢岳父和女婿的互动            
(NA)	 草泥马 谢天笑            
(5星)	 喜欢他们夫妻演的电视            
(5星)	 小时候的回忆啊            
(4星)	 孙海英老师 一根随意搭配的棍            
(5星)	 像《闯关东》一样，在热播之后，一帮同类型电视剧呼呼地就开拍了。            
(5星)	 无论是哪个年代的人，都看的感触颇深。            
(4星)	 这还是小时候看的 对剧情以及配乐印象尤其深刻 如果不是如此讨厌现实中的孙海英和吕丽萍 这部剧绝对可以评为五星 仍旧推荐            
(4星)	 当时可喜欢他们夫妇了 怎么脑袋说残就残了，泪            
(5星)	 父辈的岁月            
(5星)	 孙海英也就演过这么一部比较好的电视剧。。。从土包子到将军            
(4星)	 这部我没有从头到尾看过！我是断断续续瞄的，有空要拿出来从头到尾认真看！            
(4星)	 另外孙海英在此之后好像真的以为自己就是石光荣了，吕丽萍嫁给他之后竟也面目可憎起来了            
(4星)	 其实挺好看的            
(4星)	 据说姥爷跟石光荣很像            
(4星)	 蘑菇屯的人来的时候真的很好笑            
(NA)	 还是跟着爷爷奶奶一起看~            
(3星)	 旧时光            
(5星)	 石光荣 耶！            
(NA)	 哈哈哈，陪奶奶看电视剧的那些岁月啊。            
(3星)	 那一年MS很火，其实我现在真是一点印象都没有了。。            
(5星)	 喜欢石晶！            
(4星)	 这两人电视剧里有趣，生活里更有趣！！            
(5星)	 虽然我家没有军人，但是某种程度讲，我也是军区大院里长大的孩子。只不过从小到大一直被大家说我是个思想怪人。。。            
(5星)	 靠，想当初知道他们在一块儿还挺高兴的。PS:这个片子很经典，头一回看红剧如此精神。            
(4星)	 哎，算大陆拍得不错的了。。为表示对更烂的其它电视剧致敬，多给一星。。            
(5星)	 大爱            
(NA)	 这是有多经典呀~~哈哈哈            
(3星)	 只记得他们从年轻演到年迈，剧情已经忘记了。石光荣吧。            
(3星)	 老头老太太就是这部剧擦出火花的吧            
(2星)	 很讨厌石光荣            
(4星)	 哈哈，孙海英长的像我爸！            
(NA)	 特别真实的感觉            
(3星)	 當時還覺得挺好看……            
(4星)	 呵。老片儿了            
(3星)	 又神了 这该是陪外婆看的了吧。。。            
(5星)	 情真意切            
(5星)	 类型片中的翘楚            
(4星)	 可以用来打发时间！            
(5星)	 名字起得非常好！全剧充斥着革命浪漫主义味道，充满了生活的激情。            
(5星)	 老石的倔强与坚持，家长里短的欢乐            
(5星)	 这部剧给很多人带来了改变。            
(5星)	 记住了大吼大叫 的石光荣            
(4星)	 我老爸喜欢看            
(2星)	 实在是燃烧不起来...            
(4星)	 小时候和爸爸妈妈街坊邻居一定守的电视剧。            
(3星)	 我老爸老妈喜欢            
(4星)	 当时还觉得挺好看的……现在巨烦孙海英吕丽萍两口子            
(4星)	 老好笑啦~~~            
(4星)	 很久之前看的，当时感觉挺好的，只是现在有点忘了~            
(4星)	 时间跨度超长……~            
(5星)	 在那个年代，爱情就是那样的。            
(NA)	 我爱这对儿～            
(3星)	 桑心，我的童年就这么过去了            
(3星)	 可惜现在变成两个213了…            
(3星)	 看过一点，主要是妈妈给讲的，算是知道怎么回事。当年很红啊            
(1星)	 我只想说。他们站对了阵营不是么??其实给一星没有别的意思。对该片也不存在特别的怨念，之前看着比某D的英雄牺牲更多的英雄们却因为是国     军却过得很凄惨。让我心中一紧。            
(4星)	 孙海英一辈子估计也就这部戏了            
(4星)	 喜感蛮强的军旅家庭剧。            
(NA)	 很多50后都看此剧回忆自己的往昔            
(5星)	 五星            
(5星)	 和爸爸一起看得激情剧啊。。            
(4星)	 不过现实中这两口子对同性恋的攻击真是口无遮拦，让人无法忍受。            
(4星)	 基情。            
(5星)	 关注的不是婚姻生活，展现的革命一代人的激情！            
(5星)	 必须学会理解石光荣。            
(5星)	 那会儿看得我都快气死了。怎么会有那么固执的老头儿！不过很好看，越生气记忆越深刻。            
(NA)	 很好            
(5星)	 和爸妈一起看完的，少数的连续剧之一            
(4星)	 从此以后,有人被骂烧坏了脑子.            
(5星)	 超喜欢他俩            
(5星)	 这个够经典吧...也是我所知的第一对假戏真做的演员...            
(4星)	 想起和老妈一起打发时间的日子。。。            
(5星)	 以后会不会也给我安排个媳妇儿啊            
(5星)	 你激情了，我燃烧了。            
(4星)	 关峡的配乐赞            
(5星)	 热血固执的老爷子            
(5星)	 我爸爱看我妈爱看我也爱看            
(4星)	 播一次我爹就看一次。            
(NA)	 还行吧            
(NA)	 挺有意思~~            
(5星)	 小时候爱看。燃烧的不错。吕老婆子那档子事出了我才想起要到豆瓣上马克一下。            
(4星)	 经典的时代剧！！！            
(NA)	 百看不厌’            
(5星)	None
(4星)	 cctv8晚间强档啊            
(5星)	 平凡是真            
(4星)	 当年可喜欢看啦。。因为石光荣身上有自家老头子的影子嘿。。。            
(4星)	 也是部印象深刻的电视剧  完整的看完的             
(4星)	 记得的地方不多了 给了自己很大的感动            
(5星)	 真喜欢这电视剧的名字。小时候 看这个电视剧。。前几天看电视上又开始播了。。            
(NA)	 我爸看了又看。。。            
(5星)	 最近又看了一次 唯一一部电视剧能感动到我的 朴素而真实 就像人一生的缩影一般 呈现于眼前             
(5星)	 真实的经典。            
(5星)	 还挺红色的            
(4星)	 很生活，            
(5星)	 多年前            
(4星)	 觉得石光荣长的像我爷爷            
(1星)	 如果是我5年前我会打4星 现在我彻底被这对恶心夫妻糟蹋得脑残 不得不说shit            
(4星)	 虽然这两口子是疯子，但是这部剧的确很正常            
(3星)	 记得很搞笑            
(1星)	None
(5星)	 很老爸一起看的，有感动，有欢笑。            
(5星)	 好遥远啊、、、            
(3星)	 不喜欢男女主            
(5星)	 好笑 感动 真实 而且还促成了一对couple 多和谐啊            
(5星)	 拍的的确是绝了，演的都出彩            
(3星)	 唉，我妈咋就爱看这些国产剧啊……            
(5星)	 这就是我的童年啊......军区大院的故事。=~=            
(4星)	 带劲的电视剧~            
(3星)	 热播剧啊 没办法不看            
(4星)	None
(3星)	 哈哈 无聊的时候看的             
(5星)	 对这种剧没有抵抗力            
(4星)	 对老军人的刻画比较到位。虽然演员演得不错，不过很讨厌现实生活中两位道貌岸然的主人公。            
(4星)	 当年很爱看很火的，后来这一对就有点走歪了            
(4星)	 没想到我当初也是追过红剧的人啊            
(5星)	 好些年以后重新去看这部电视剧，除了当时的那份感动，更带着对有岁月，对于亲情的更深的感悟！            
(4星)	 搞            
(5星)	 身边的人貌似没有没看过的~            
(4星)	 石光荣真虎。            
(5星)	 后来好悲催            
(4星)	 老年石光荣超像我爷爷，有点怕怕            
(4星)	 还有点意思，挺真实的            
(4星)	 挺喜欢的            
(4星)	 我喜欢她的BGM            
(NA)	 算是好片            
(4星)	 坚决经典！！！康洪雷啊！！！            
(5星)	 和爸妈一起看，怀念。            
(5星)	 很好看，最近又重播了！！！大儿子小时候好调皮。女儿很有个性，后面那个男的矮是矮点，还是不错。不过这样的老公只能看看，真的估计会上火            
(4星)	 人就是活的一种精神~坚守的感动            
(5星)	 哈哈哈哈哈石光荣这老头儿太有意思了！            
(5星)	 记得第一次看,就觉得有些像外公外婆.            
(5星)	 这老头太像我爷爷了            
(5星)	 真的很喜欢这种一家人的几十年的风风雨雨，觉得很真实！小时候就相当喜欢了！            
(4星)	 读个大学和父母一起看电视的时间没没了~~            
(4星)	 陪老爸看的，哈哈挺过瘾的            
(3星)	 老头子太招人讨厌了            
(4星)	 大院裡的老爺爺都有點石光榮的影子～            
(4星)	 尼玛看的时候真激情啊。。            
(4星)	 那激情燃烧的岁月……            
