http://movie.douban.com/subject/4291286/	天师钟馗
(NA)	 不错 拨动心弦的故事 特别是吕洞宾一节哭的一塌糊涂 有那种看大话西游感觉 这就是yy中最彻底的爱            
(2星)	 神话鬼怪的故事一直都感兴趣，可是拍的真是粗制滥造            
(3星)	 蒲巴甲怎么有点呆呆的，还没放开，不过这个造型确实帅            
(1星)	 实在看不下去……            
(3星)	 这个 我不是很喜欢啊。。。            
(2星)	 天师很没用。            
(3星)	 无聊看了几集果然不是很看得下去啊。。。            
(3星)	 冲着欧阳震华给三星，配音也烂配乐也烂…我都听见剪辑的加勒比原声了，            
(3星)	 40            
(3星)	 这个钟馗有点笨。            
(3星)	 为霍思燕而看            
(4星)	 看的太多就没意思了            
(5星)	 借古讽今，很深刻！            
(2星)	 其实不知道这是啥~··各个故事都有嫌疑~~            
(3星)	 霍思燕太漂亮了！            
(3星)	 欧阳震华的声音变得好奇怪··········            
(3星)	 钟馗不是捉鬼的么，怎么乱七八糟的事情什么都管？最后一部有点侦探剧的味道。            
(1星)	 ！！！            
(2星)	 剧情太拖，小时候看过的一个版本还不错。            
(NA)	 。。。。。。挺好看的。。。。。。            
(3星)	 还是第一小段比较好看，其他的都雷同了，没有新意。弄的跟新拍的聊斋差不多，老故事改编一下，没有新意            
(3星)	 非常喜欢《慧剑问情》和《青蛇有泪》！慧剑里，那紫玫瑰太讨厌了！最让我破溃的是，他们成亲那天，紫玫瑰把女主给绑走，自己变成女主，然后和男主……洞房花烛……刺激啊刺激~！            
(2星)	 现在的古装剧都好难看！            
(2星)	 神劇情……            
(NA)	 曾宝仪青蛇演得不错呀            
(3星)	 本来看着还可以的，可就是被后面的演员糟蹋了，吕洞宾有这么猥琐吗，白牡丹有这么丑吗……疑问？            
(5星)	 太漂亮啦            
(5星)	 就因为霍思燕的回眸一笑何止生出百媚~~~5❤            
(4星)	 最喜欢看古装美女了~            
(3星)	 感动于&lt;青蛇有泪&gt;。            
(2星)	 ………………            
(3星)	 一堆堆美女，扯淡的剧情。            
(2星)	 死胖子你为什么要拍这片...            
(3星)	 蒲巴甲的吕洞宾太帅太有气质，白衣翩翩，玉树临风。美女众多，化妆和服装都赏心悦目。说实话我都没有看剧情，就看看俊男美女。            
(2星)	 不可以忍受了！            
(4星)	 童年时看的，记牢了天师钟馗这个名号            
(4星)	 2011-4-8            
(2星)	 霍思燕——烂片代言人            
(1星)	 搅基。。。。。            
(5星)	 青蛇有泪            
(3星)	 欧阳大爷您多大年纪了，还跟人小姑娘演爱情戏，还真爱无敌？！我勒个去的            
(2星)	 胡扯，too.            
(3星)	 冲着欧阳大哥打三星            
(2星)	 太烂了，不知所谓的剧情简直RP至极。除了我觉得二师哥比较有萌点……            
(3星)	 有点无聊，那个选角色呃。。。选的演员真是不好看            
(3星)	 每一集都是情啊爱啊...看得好伤眼...            
(3星)	 完全是冲这第一个故事《美丽无罪》的冯绍峰和霍思燕看的 仅仅只看了这一个故事            
(1星)	 妲己不好看            
(3星)	 很无聊的片子，看了一个月终于看完了。            
(2星)	 当时qqlive上说的是“古装版阿凡达”。最瞎的人鱼痴恋那特技，我勒个去了...            
(3星)	 因为有欧阳震华和众美女，就看看。            
(NA)	 1、比较喜欢欧阳震华；2、偶然的时间里看见“一失足成千古恨”的劝诫。。。            
(3星)	 前几天无聊在路上看到的。本来是看霍思燕。虽然很做作，但是，慧剑问情里面想表达的东西才是真正的爱情。            
(NA)	 假期的小餐            
(3星)	 看青蛇的时候还蛮感动的            
(5星)	 美女多            
(4星)	 对熟悉的传说新编，几个故事虽然简单，但感情处理得不错。            
(1星)	 为嘛最近看什么电视剧都觉得假到不行呢？            
(5星)	 美丽之罪  我男人的戏！！            
(5星)	 我认蛮好的            
(2星)	 不值得看，欧阳震华这是在自毁            
(5星)	 N多美女帅哥，比价养眼。拍的唯美，背景和结束音乐好听，这就够了总体还是很不错的，有的对话还很搞笑，例如：你们三个千年老光棍懂什么是情爱……  哈哈  但是最不喜欢里面人鱼之痴恋这一部……  比较喜欢美丽之最、慧剑问情和青蛇之泪,慧剑问情里面的吕洞宾常说：我在乎的是牡丹的选择。            
(3星)	 喜欢片尾曲            
(2星)	 冲着欧阳震华去看的，整个编剧就是问题，对剧情黑白生拉硬扯的，编不出来什么好看的故事，就全往有名的故事上靠，白蛇传啦，吕洞宾三戏白牡丹啊，倩女幽魂啊，等等，完全是山寨啊，每个故事都有谁谁谁的转世，靠 ！！点名，人鱼痴恋那个鱼。。。真TMD难看            
(3星)	 天知道我有多无聊            
(2星)	 受不了撇嘴的吕洞宾。            
(5星)	 肯定不值五颗星，只是给这剧鼓劲。其实比其他脑残剧好太多            
(3星)	 蒲巴甲饰演的吕洞宾好帅啊~            
(4星)	 比较喜欢曾宝仪主演的《青蛇有泪》，其他感觉一般            
(1星)	 还没有见过如此之差的片，太垃圾了，剧情拖沓；YY至极，看了前六集实在受不了了            
(NA)	 每个故事都有一段说法。都是前面传说的延续，颇有创意。但总觉得有点虎头蛇尾的感觉。比较喜欢《美丽之罪》《青蛇有泪》这两部，可能是这两个传说比较有名吧。还有就是特别喜欢里面笛子的背景音乐插曲，只是一直不知道那首插曲的名字。希望有知道的朋友告诉我~很感人。            
(NA)	 欧阳先生的声真是浑厚有力。 蒲巴甲的吕洞宾白衣翩翩还不错。            
(4星)	 剧情还可以，但主题曲及配乐实在不敢恭维~片尾曲还不错            
(1星)	 我是在换台的时候看的，傻X编剧。            
(NA)	 额。。。。我XXXXX            
(3星)	 剧情好拖沓......那个钟馗的二弟实在是惨不忍睹啊........家里卖烧饼的吧？            
(2星)	 这部片子只剩爱情了....            
(5星)	 很喜欢            
(3星)	 zi mei gui.... hahah            
(1星)	 编剧垃圾，光有明星有个鸟用。欧阳大叔的配音雄浑的我受不鸟            
(2星)	 无语，看不下去            
(NA)	 第一话弃            
(1星)	 拖。。。。。。。。。。。踏，烂片。看不下去。            
(4星)	 还不错耶。。从小就看欧阳兄的戏。。            
(NA)	 这片子拍的什么玩意，钟馗简直给拍成了废物，面对一个山妖都束手无策，妖在边上都不知道。            
(3星)	 为了欧阳震华看的.            
(3星)	 看不下去了            
(NA)	 倒还挺喜欢里面秋艳那个女鬼的。            
(NA)	 柳含烟 王富曲 含冤与负屈！片尾曲不错！            
(4星)	 剧情很烂，就冲欧阳震华看的            
(3星)	 哎……大陆就算请港台演员，怎么总是演的不伦不类，剧情拖沓滥情还狗血，是在对不住欧阳震华啊            
(3星)	 有被美娘惊艳到＝＝            
(2星)	 看了4集看不动了            
(2星)	 看完两个故事 看不下去了。。            
(3星)	 冲着欧阳震华去的，发现演员选得都不错，男的帅女的靓，相当的养眼，但这也就是唯一的亮点了，编剧极其糟糕，情节严重拖沓，如果不是有欧阳震华和一堆漂亮的女妖精，这部电视剧只能得零分            
(3星)	 华丽丽的演员阵容，剧情一般般            
(3星)	 没有电视想看完他真的很费事……看了一半的……等待时间继续……            
(5星)	 挺感人。片尾曲真好听！            
(1星)	 要崩溃了。。那个剧情进展都能能赶上家庭剧拉。。要不要洗菜就拍一集阿。。。            
(2星)	 勉强能看            
(3星)	 额~枉我等这个久~竟然这么不好看~郁闷啊~            
(3星)	 服装满雷的，剧情也不连贯。只能养养眼...            
(2星)	 不好看，弃            
(2星)	 到底编剧是白痴呢还是把观众当白痴？            
(3星)	 拖沓，没看完            
(5星)	 不管怎么样，这是属于华夏的传奇~            
(NA)	 傻            
(3星)	 这样的电视剧我竟然也看完了，好扯啊。蒲巴甲竟然也能被画成小白脸，水平啊...张嘉倪配欧阳震华，周一围配许还幻，导演还是很大胆的，这种完全不搭界的人，都被凑到一块儿，还爱的死去活来...不过总的来说女演员的妆画的还是很不错的，画面也看着算养眼的，算了，评个60分吧。            
(4星)	 就看了一个小青的故事 还挺喜欢的            
(3星)	 好多美女…片头好囧…片尾莫名地出现了方文山（￣∞￣）…好久不见欧阳兄了泪目TAT五天童也好诡异= =其他剧情毫无印象…            
(4星)	 养眼            
(2星)	 浪费了那么多演员            
(3星)	 和《仙剑》类似的古装偶像剧 和《聊斋》类似的单元志怪剧 还不错啊            
(3星)	 跟着妈妈一起看的。。            
(2星)	 美女倒是不少，本以为能来版类似聊斋，结果。。。。。～～～～真是林子大了怎么笨的神仙都有。。。。            
(2星)	 对于古代神话的篡改让人无语。            
