http://movie.douban.com/subject/5031426/	真相
(3星)	哎哟喂，虽然剧情不是很紧凑，黄浩然和陈展鹏很好呀，哎哟喂，我很喜欢陈展鹏诶^^可怜的唐诗咏，喜欢谁谁就喜欢杨怡。。哎哟喂。这个结局的情感线好雷啊o(╯□╰)o
(4星)	很不错诶~期待第二部~
(5星)	我爱里面的杨怡····
(4星)	Keith和谦少在里面好帅啊啊啊啊！！！！！！
(4星)	原来整部戏，第一对是陈阮二人，第二对才是黄杨二人呀，果然基情四射是王道
(3星)	一日看完
(3星)	形式至上 内容大胆 仍欠神韵
(5星)	超吸引人的开场故事，虽然接档怒火，题材重复但是比起怒火更让人投入，希望后面的更加精彩~
(4星)	一想到大陆的律师，心都碎了。
(5星)	黄浩然好炮灰啊！受了两次重伤还不能跟杨怡在一起！韦大状是笑点，和MADAM好配吖~~大C死的真冤，ALEX其实也很可怜的，马明最近怎么老酱油啊~最后我KEITH好帅！演技还巨好！！！！爱死了！！！！！！
(NA)	14
(4星)	男主很抢眼。剧情还行。
(4星)	近年TVB难得不弱智的剧，不用看到电驴姐，不用看陈豪装疯卖傻，虽然杨怡的脸有垮的趋势= =一众男人都还不错，哎哟~
(4星)	Mavis是杨怡出道以来接的最好的一个角色！靓女，有头脑，有自信，时刻知道自己要的是什么，应该怎么做，气场强大。御姐范儿十足！怪不得剧中男主角都喜欢她。黑警那趴看得我血脉贲张，紧张刺激又害怕，有种被黑暗只手遮天的感觉。
(3星)	拖拖拉拉总算看完 可能因为男女主角一直没入戏所以也不觉得烂尾 反而黑警开始觉得还不错
(5星)	陈展鹏的转型老老好人，刚出镜头就让人有看下去的念头。。表演不错。。情节也紧扣。。
(2星)	真难看
(4星)	第一次看杨怡演那么职业的角色虽然比起宣萱和陈慧珊有点差 但没让人失望。陈展鹏这次要厚积薄发了 演了那么多次变态这次终于洗白而且很不错。可惜了唐诗咏 每次都那么让人感到惋惜
(NA)	由于对男女主无爱，看了几集弃了
(4星)	要拍续集的迹象也太明显了
(5星)	陈展鹏好帅好帅好帅好帅好帅
(4星)	很好看啊！！！很喜歡警察殺人和最後一個案件！！！喜歡謙少和Mavis，不喜歡Keith！！！大C死得好慘啊！！！事實證明男的沒一個好東西啊！！！
(4星)	介于3-4星之间呢，我怎么觉得从17集往后才好看起来。。。我觉得不及怒火好看，
(4星)	中上水平的tvb剧!
(3星)	喜欢
(4星)	该剧也是律政戏，虽然紧接着《怒火街头》推出，看上去有点相似的感觉，但其实跟《怒火街头》是完全截然不同的戏路。《怒》剧讲的是为小市民申张正义，最地道的香港情怀；而《真》剧则是深挖人性和每个案件背后所折射出来的各种心理和社会现象。 陈展博斯文，睿智，终于摆脱配角奸角了，好欣慰。
(4星)	结局快哭死了，不要这样啊 TVB你们不都是大团圆结局么 为神马要大C黑血啊！！！不要这样啊不可以啊好难过啊嚎啕大哭啊！！！
(4星)	关于警察和黑帮合谋的那段，很多巧合，律师才得以平安，值得警示思考。
(4星)	还ok喔
(4星)	大C死得可惜，Alex最后也很惨。。。除此之外都很好啦。
(4星)	它提醒了我們，香港司法體系裏的陪審團制度可貴之處。
(4星)	一星是给大C的那段苦情的~T T 康芷欣真的……好复杂的感觉对她
(NA)	看了第一集看不下去了，奇怪了，最近看TVB感觉无味
(4星)	杀警那个简直可以单拍一个电影出来了都。。。。
(4星)	杨怡气质很好啊，也漂亮，可就是不亲切。
(NA)	到后面觉得还不错看
(4星)	一开始挺不错的，有悬念也比较严肃，到了一半的时候已经开始拿三角恋凑数了，接着越往后越狗血，结局又仓促又勉强，但是在TVB近两年来的剧里已经算是很不错的了。陈展鹏少了些气质，有点担不起大梁；反倒戏份最少的大块田最出彩啦！还有，杨怡的鼻子是怎么回事？！
(3星)	很久沒看港劇 以為要翻牆 這個覺得還行吧 劇情真的是太拖沓了！第二集還是第三集的根本就是交代些有的沒的 知道你要鋪墊劇情 可是這樣真有點侮辱觀眾智商 演員不評論... 
(4星)	这部挺好看，不过还是很不喜欢马国明啊，他演什么我都不喜欢没有理由。我太狭隘了对不起就跟你们不喜欢徐子珊一样，唉！
(5星)	好看好看！讨厌这种开放式结局吧~~
(3星)	最大的BUG就是Alex兜里那张纸条，3年前策划的事，居然还把条子放在兜里让大C看到，我的个妈呀
(4星)	终于又好好看完一部港剧里 杨怡现在气场很强大
(NA)	大C死的好惨TT
(4星)	展鹏兄红了红了
(4星)	有点说教，个人觉得hk市民看了以后会长法律知识，感情戏也不纠结。okok。
(5星)	还是觉得止欣跟keith配些！
(5星)	结局太扯了，Mavis明明喜欢的是Kieth啊！还有，好钟意马国明了啊！
(4星)	一开始看了两集看不下去 但是实际上很好看 感谢豆瓣评论
(4星)	希望最后MAVIS和keith在一起！
(3星)	不接受马明做坏人啦
(4星)	前半精彩，后半三角格局一冒头好看度减掉半颗星。
(4星)	就是结局比较烂。。。
(4星)	今年唯一一部值得看的TVB剧~~前12集非常精彩，香港司法的很多细节都写得很好，案件也经典，可惜后来烂尾了，感情线更是一塌糊涂。不过还是期待一下真相续集。
(5星)	&lt;25 完结&gt;剧情够紧张吸引人难得一部很专业性的剧集。配角比主角更有魅力。有点烂尾←难道是为了拍第二部故意留个悬念？！（好喜欢nat❤
(3星)	在众多演员纷纷跳槽大陆淘金，TVB一时之间出现了“演员”荒，万年配角升任主角，演员们在黄金档内实现时代、性格、空间的各种穿越，可算忙坏了。都说油多不坏菜，人才凋零使得TVB不免元气大伤。今年上半年众多新片中，成色尚可的不多。当想起当年辉煌时期的港剧，《真相》的表现只能说是勉强及格。
(4星)	完全是因为结局而少的一颗星。还有我真的不喜欢Wallace。
(5星)	杨怡什么时候这么御了。。。陈展鹏非常赞！
(2星)	刚出来的时候跟了，但实在无聊就没看下去。这两天无聊又接着看，还是那么无聊。看来真是审美观不同，居然那么多4星5星。。。。。。我还是喜欢怒火街头～～～
(4星)	keith好帅～ 陈展鹏大器晚成～ 以后都支持你～
(4星)	对会长太恶劣了 哭死我了行吗 /(ㄒoㄒ)/~~..............但傲娇废柴那对好甜 结局神马的......（¯﹃¯）
(4星)	keith比較帥，為什麼mavis不選呢？唉
(4星)	陈展鹏改邪归正，黄浩然一贯水准，杨怡太过强硬。
(4星)	鸟结局！
(NA)	看久了大C有种韩剧女主的感觉啊...不过还是挺喜欢的/w\
(4星)	後面幾集是在幹嘛。。。
(3星)	终于看完啦 TVB拍太多同类型的。。看得我无感了= =
(4星)	前期去掉家长里短的旁枝末节，剧情集中在庭战戏紧凑有力。后期更注重感情戏的铺垫和案情本身，庭战戏基本没有了。也不能说不好，不过确实后半段还是弱掉了，不知道会不会拍续集。
(4星)	TMD会长千万别演这种角色上瘾了啊/(ㄒoㄒ)/~~不想被搞得三观不正！摔！小会计ALEX (┳＿┳)...剧的话19集一出卧底就开始烂尾了 最后那个什么破案子 根本就是狗血抓马……可是会长演好好哦/(ㄒoㄒ)/~~
(4星)	今年算是很不错的一部戏了。陈展鹏是一匹黑马啊！~
(4星)	眼睛未必为实，真相往往是隐藏于表象之下的，每个案子都引人入胜，配角各个很精彩，keith、mavis 、wallece的三角恋也很有看头，可惜最后是开放式结局。陈展鹏顺利上位，亦正亦邪，前途无量。 
(4星)	和刑警2010一样 这两年最好看的TVB剧集之一 尤其是黑警案 拍的不错 但是结尾真没必要让大C死 揭发你个洗黑钱 至于杀人灭口么 
(4星)	陈展鹏担正让人眼前一亮，马国明还真是越长越正，演技也越来越好了。其实我原本是为了黄浩然看的...有几个案件的庭审有点平淡，别的还不错。三星半吧。
(4星)	等了20多集才等到混蛋小马明 大C死的好怨 谦少爷里面各种我的菜啊 陈展鹏也终于摆脱配角咯 另外 Amiee在里面太反转了 ！！！只是 真的对杨怡好无感
(4星)	连看两个通宵终于看完了，还不错啊。不过我有一个感想：男猪脚和女猪脚都不撸管也不打炮的吗？！！！我一直觉得再优秀的男淫也要打炮的啊！！！！
(3星)	听下~
(3星)	田蕊妮是惊喜~
(4星)	看完以后的最大感触就是，要不我也考个司考去？什么逆权侵占，什么疑点利益基于被告，还嗨森的耶~
(NA)	不错，很认真的本子，不过有的专业部分太做了，导致节奏有点慢
(4星)	不错哟。爱来爱去还是爱这种题材
(4星)	没有养眼的年轻俊男美女，没有花哨的剧情，却凭着编剧出色的叙事才能及内涵，以各种案例来表现各个角度的法律，用事实来揭露人性，用故事来阐释你看到的并不一定是事实的全部，耀武扬威的人有时候才是受害者。
(3星)	30块一杯烤费 好便宜
(4星)	奏是结局有点弱。
(5星)	头一次觉得 i love you too 这句话不那么俗了
(5星)	全五星 难得有水准到这个地步 完全没有多余的剧情 还有第23集很虐 宗之 我看的很过瘾很过瘾 
(4星)	很喜欢杨怡 真的很不错啊~
(4星)	点都比十二坊同林峰吃苹果好睇
(3星)	真是喜欢陈芷菁啊！难得再看见她一次！最后几集太烂尾了。
(4星)	大C你怎么可以死！我不能接受！！！！！我不接受！编剧混蛋！！！！！5555555555555我喜欢她多过喜欢杨怡啊！！！！555555555555讨厌死了！！！
(4星)	还记得十年前的壹号法庭，可能就是那一时候开始，戴着律师帽，披上法袍成为了我的一个梦想。十年后的TVB，不可否认剧情仍有硬伤，感情依旧狗血，但是，对TVB的热爱或者说这已然成为一种习惯。杨怡的职业扮相很靓，唐咏诗也越来越漂亮了。
(3星)	跟近年的韩剧一个水准，起头好，收尾差。编剧是黔驴技穷，还是导演江郎才尽啊
(5星)	爱恨情仇，法律面前人人平等，但眼睛看到的未必就是真相，法官也要蒙住双眼才可以秤到，整件事最公平，最公正的一面。 
(4星)	看过才知道做律师比laughing gor还要危险，到底这个是不是真的啊，4颗星。
(4星)	比潜行狙击好太多了
(5星)	= =陈展鹏还不错看
(4星)	不爱马明了。。。
(5星)	不错啊陈展鹏！
(4星)	在对tvb信心每况愈下的时候这部剧居然超过我的期待
(4星)	开始还可以, 结局不知所谓啊
(4星)	衰烂尾啊！！！
(3星)	陈展鹏还蛮有腔调的
(5星)	当律师，快意恩仇
(4星)	选角很不错，不过Emily才是最大的亮点~案件有猎奇度也有一定的深度，庭辩很精彩，就算是主角的个人情感部分也与庭审紧密相连，没有让家长里短抢了案件的风头~好喜欢韦大状这对！大C和Alex这对太唏嘘了……
(3星)	不喜欢男女主演，剧情也没什么意思
(4星)	冇怒火咁出色咯
(4星)	可惜结尾太草率了
(4星)	还不错的。TVB的法律风~~~陈展鹏早可以当男主了~~~
(4星)	烂尾啊烂尾
(4星)	陈展鹏，好帅！！！大C好靓！！！
(4星)	案例都很精彩，庭辩戏到有些逊色，不是还是很好睇啊。
(3星)	小马哥压轴。
(4星)	一口气追完。就可惜有点虎头蛇尾。
(5星)	就是有点烂尾
(4星)	挖鼻屎，我党领导下的内陆司法界是不可能做到英法系的相对公平了。。叹气
(4星)	有趣的案子都虎头蛇尾了。。TAT
(4星)	我关注陈展鹏那么久终于上位了！！！
(4星)	剧情明显没有《谈判专家》《刑事侦查档案》那么有吸引力了，但是帅哥美女的调调永远不会过时的。
(4星)	黑警那段还不错。
(4星)	狗血
(3星)	越来越差
(5星)	案情确实很精彩~
(4星)	算比较不错的了！
(3星)	看了15集了，总的来讲一般，惟一让我看的津津有味的地方是阮兆祥他妈当陪审员那一段，有几分《12怒汉》的风采。
(4星)	后劲不足！
(4星)	算是今年來看過的最好的TVB劇了，只是結局的感情線有些馬虎了
(4星)	有些许烂尾，值得一看
(NA)	不是特別喜歡，超哥推薦的，女主就不是喜歡的人。而這個劇最讓我覺得諷刺的就是，搜條目的時候竟然搜不到，是大家說的豆瓣無真相咩？
(5星)	快點出2吧！！！！
(3星)	开始不怎样，后面很不错
(5星)	馬國明在這裡面很帥但居然是個壞人(づ┭┮﹏┭┮)づ 結局完美的詮釋了三角戀！
(NA)	TVB再一次虎头蛇尾
(4星)	突然结局了一刚。。。。。。。。。。。。。。。
(4星)	我是不是心理有问题啊，大C死的时候我觉得“终于死了！”这种大下巴装嫩（姐，年纪不小别装嫩了...)炮灰女二,一般不都是死的时候就大结局了么
(3星)	已有的TVB元素拼凑，从演员到剧情，看的不痛不痒再没有义海豪情那样余音绕梁的气势。
(4星)	不錯看啊，今時今日做律師竟然還要查案抓兇手……陳展鵬不錯帥喲~~
(NA)	好像有点山寨美剧啊
(4星)	强烈要求拍第二部！
(4星)	= =又是个莫盐莫味的结局
(4星)	5244 我爱CC
(5星)	好希望大C和思杰在一起啊～可惜她是配角。。。唉～
(NA)	只有港剧里正义才能每次都得以彰显，日剧里也只有在名侦探与低能剧里才能实现。
(5星)	不玩弄观众智商，不简单抄袭美剧，庭审过程专业性不差，剧情有回归旧港剧的大好趋势。比起怒火街头的傻逼law霸，是部好剧。
(4星)	個結局……撲正街！！！！！！！！！！！
(4星)	A走得时候太悲惨。胖子和田警官真的很有爱~还有那个彪悍的女阿姨~期待续集
(4星)	刚刚看完鱼跃在花见，杨怡姐姐的造型都木有变，现在是有多红啊！！！
(2星)	上班混点坚持看完
(5星)	坑爹的结局╮(￣▽￣&#34;)╭  追完还是怅然若失的感觉啊
(4星)	杨怡你把鼻子整得辣摸美 昰要去演三毛吗?! 我真的昰忍不住想要吐槽… TVB这一季好像很捧律政题材 觉得比同期的《怒火街头》更赞。《怒火》做作得过了些头。《真相》一开始看着虽然还不赖 但是居然被抓住了跟《怒火》同样的痛脚 虎头蛇尾。草草了事的了解了唐咏诗 草草了事的把杨怡陈展鹏三角恋搪塞掉。
(5星)	今年上半年相当不错的一部TVB港剧律政剧。无论是人物冲突还是引人入胜的剧情，都让人欲罢不能！
(3星)	该剧也是律政戏，虽然紧接着《怒火街头》推出，看上去有点相似的感觉，但其实跟《怒火街头》是完全截然不同的戏路。《怒》剧讲的是为小市民申张正义，最地道的香港情怀；而《真》剧则是深挖人性和每个案件背后所折射出来的各种心理和社会现象。 陈展博斯文，睿智，终于摆脱配角奸角了，好欣慰。
(4星)	啊。。这就看完了。。。。？
(4星)	……结局就这样喔？！太突然了吧！经费紧张咩！不过除了结局都还不错看。马国明就连坏人役都是/_\脸小狗状，讨厌不起来TvT
(3星)	两个男生都不是主角脸，一个奸，一个贱。但好在主角配角各个有性格有原则。12集以后情节愈加紧凑，只可惜用于破案的时间远远多过庭上过招。PS：再次烂尾。
(5星)	果断5颗星好吗
(4星)	这是我上半年唯一一部从第一集追到最后一集的剧啊！！！！上半年TVB最好的剧集！！！绝对！！！
(5星)	卧槽尼玛的坑爹结局.....
(4星)	羊咩咩续集要和谦少在一起啊！！
(4星)	编剧很给力，但这几个人演的挺没盐味的。对律师的片子木有抵抗力。
(4星)	哈哈看最后五集就好了~~~马国明~~~
(3星)	相比《怒火街头》更注重庭辩部分，还专门介绍了陪审团的运作，更像是部普法剧，但结尾部分重回TVB俗套。内地似乎没有这么较详细介绍律师事务运作的电视剧吧？毕竟天朝之法由我党说了算。
(4星)	近几年TVB律政剧的佳作，虽然最后几集有点烂尾= =+
(4星)	很好看。但是杨怡最后没有和刘思杰在一起真是太让我遗憾了，还有马国明最后那段真是让我哭死了，期待真相出第二部啊，，，
(4星)	好久沒完整看完一部TVB了……
(5星)	哎呀呀  大C肿么死了！ 这种剧都不是大团圆么！
(5星)	比怒火还高分果然没高分错！看之前还不认识陈展鹏是谁&gt;&lt;很红很红的律政系列。小马哥最近常反派。黄浩然个无神小开比古装好多了总算！感谢监督，第一次在tvb看到了大牌客串的概念。也是很首次地展现出了律师以外的各个环节。
(4星)	杨怡果然还是适合这种强硬但又心善的角色，一直都不算喜欢她，这次出乎意料的让我大开眼界；陈展鹏难得担正，居然也帅得一塌糊涂，跟杨怡的角色怎一个配啊。前部分很棒，后部分弱下来了，最后一个案子拯救回来了，整体值得一看。
(4星)	10集到20集之间最好看，对人性的复杂有相当程度的探讨，算是tvb近年来不错的一部剧。大c的结局很让人唏嘘，多希望看到这个单纯没心机，努力坚持的女孩子能幸福啊，编剧太讨厌了~
(NA)	总是上演女猪挑二男 挑啥挑 就成全他俩吧
(4星)	结局是TVB版那些年么...黑警那几集看得真心纠结啊！
(4星)	想了想还是给了四星，要是有三星半就好了！有抄袭十二怒汉和一些别的剧，最后有点拖沓，别的就还好
(NA)	嗯~我觉得律师剧总是很讨喜的~
(5星)	让我再次沉迷法庭故事 不眠不休
(4星)	这个一个奖都没得……确实比较……几个主角真的算演技还可以的　跟另外几部比
(NA)	少有的好剧啊，看了这么多杨怡演的剧，这部是发挥的最好的啦。
(4星)	陈展鹏真是太帅了
(3星)	2011
(4星)	20集才等到马明- -
(4星)	钟意陈展鹏果句：我系癫既 我寐野都做得出既 我就系要你坐监~ 爽~~！
(3星)	除了比较雷人的人人都爱杨怡之外，案子比怒火靠谱，估计缺怒火那点接地气的市井所以不够红，胜在专业。
(4星)	Mavis怎么能有这么多好看的小黑裙啊！！！
(4星)	杨怡发型不错
(3星)	没看完 不过还不错
(4星)	这难道是唯一的一部TVB剧集，女主最后没跟男主也没跟男二在一起的？连她喜欢谁都一点眉目没有？TVB肿么了！！！
(5星)	总算在11年结束前看到一部像样的TVB剧了。找回一点壹号皇庭的感觉~最喜欢陪审团那一段。
(3星)	20111229 自己一个人在家看完。这部剧放了太多笔墨在情感戏上，但是又处理的很生硬= = 其他部分还好，女主演技全无，多数演员徒有外表没有真情，倒是两个男主之间的情谊演绎的不错。垫脚男好可爱&gt;&lt;~
(4星)	大C干嘛要死啊！！！！
(3星)	实在没得看了才看的。。貌似这剧特意集合了我不喜欢的几个演员。。看了还成
(NA)	【2011-06-27】 
(4星)	很值得看的一出剧，有一出强奸案讲到陪审团制度的执行，很长知识！不过后面几集有烂尾的嫌疑… 
(5星)	看第一集就飙泪了
(4星)	黑警那集最生气，哎~世界太黑暗了，人性太可怕了~！
(4星)	后几集太白痴
(3星)	陈展鹏是亮點~ 
(4星)	杨怡挺适合这个发型的。
(2星)	在安安的推荐下，我看了这部剧，然后我后悔了……真心不喜欢陈展鹏哇我……
(5星)	果然是一部好戏来的，有些部分甚至让我想到了BL。
(3星)	算是ok的
(3星)	一般吧，看到男主角他妈一直泼妇样被迫弃剧
(NA)	因为我喜欢陈展鹏，喜欢马国明。
(5星)	男主角这种男人就是我的菜，陈展鹏好帅
(4星)	所谓的跌宕起伏，到TVB能绕回来的就不错了
(5星)	喜欢杨怡
(5星)	编剧你还我cici~~~~~~~~~~~
(4星)	还好。徐子珊也还好啊。
(4星)	万年配角们都熬出头了
(4星)	挺喜欢.
(4星)	还行吧，后半段的剧情很狗血啊，看几部TVB的剧啊，香港有这么乱吗 = =o(╯□╰)o~编剧太能扯了。。看到最后觉得江洛汶和ceci真的很可惜啊。他做的最错的事就是杀了ceci。这么爱她为什么要杀了她。╮(￣▽￣&#34;)╭ 就是因为他没有安全感吗。
(4星)	烂尾了
(4星)	比法政强太多了。。。结果尼玛的你虐死我了啊啊啊啊啊~！！那是神马鬼结局啊~！！！！！干嘛让大C死掉~！！！还有马国明你就算是奸角我也爱你~！！！！
(4星)	今年看的 还有点印象  喜欢陈展鹏的角色  终于从坏人变好人啦   刚开始觉得有点像律师新人王    虽然结局怪怪的 不过我觉得她还是喜欢刘思杰多一点
(3星)	马国明（¯﹃¯）
(5星)	意外的好看！！好想有续集！！
(5星)	非常好看！
(4星)	胖子和女警最好笑。
(4星)	IT&#39;S OK
(5星)	比怒火好看多了，至少在case上都顯得很專業啊。第一次看到陳展鵬是在僵尸3里，想不到跳到TVB可以擔正了。楊怡比較醬油。無線真的小生花旦荒太嚴重了。。。
(4星)	开篇不足 后劲不错
(3星)	很鸡肋的一部剧吧在追&lt;潜行狙击&gt;的时候没有新剧集就看这部剧.情节一般设计一般但是让我记住了陈展鹏.是个有魅力的男人.
(NA)	屈臣氏矿泉水。每个case还是有可看性的。不知是不是出自不同编剧之手的缘故 故事整体性不是很统一，人物之间的情感关系发展突兀、反复且仓促。 主角和配角的形象因而容易不鲜明。同类题材把案情和故事人物之间的关系把握得比较好的，还是当年的《壹号皇庭》而最贯穿故事的恋人关系就是阿sam和micheal
(3星)	111019 马明其实演的蛮好的哎...阿miu那对太可爱了
(5星)	确实蛮好看的！
(4星)	看完了。。@氺氺之我愛羅   我觉得还好啊。。
(5星)	最后一个故事好桑心呐
(5星)	“我只想永远做你真正的朋友”，强力推荐啊！不论从哪个角度看都是好剧一部！
(2星)	弃！拖沓····
(4星)	没有想到一个我这么不喜欢的卡司可以坚持看完。不会让人觉得闷的剧情，到最后只有杨怡和阮兆祥不能忍了。哦。陈展鹏的皮囊still不中意。。。台湾有个同款的，叫什么来着。。。呼唤猫鱼！
(4星)	生生不息，悲喜交加。喜欢CC同埋Keith
(4星)	结局好匆忙，中间很多单元不错，但是编剧处理得太过马虎了，╮(╯_╰)╭
(5星)	真心好看啊。
(3星)	开始还不错，越往后越没耐心~~
(3星)	为了陈秀珠...结果等于是打酱油的 开场李司棋牺牲颇大 赚足人气和气场 都已经是一线了居然还这么拼 TVB真的很没人性 陈展鹏怎么演都甩不掉骨子里的邪气 开场雷声大 结果越发的无聊和没趣
(4星)	律师=正义？简直就是搞笑版。
(5星)	今年tvb给了好多惊喜啊！
(4星)	马国明太帅气了
(3星)	下班减压必备~黄浩然果然是我的菜~
(4星)	TVB难得木有心水的星还能入我眼的剧啊，刘大状啊！！！
(4星)	#看的#号称重口味的案件其实也还好，大BOSS依然终结的莫名其妙，不过捧杨怡是真的做到做好了。
(4星)	好久不见的TVB群像剧，陈展鹏居然扶正，黄浩然挺帅的，就是声音太难听，演得也不好。唐诗咏还是长头发好看。韦大状同Madam太搞了，仲有几个法官都好搞添。陈芷菁太帅了，打酱油都打得这么有范儿~
(4星)	跟&lt;&lt;怒火&gt;&gt;相比,更好看些~
(4星)	期待第二部。Mavis其实还是比较喜欢Keith的吧~
(4星)	因为我从来都相信《真相》会好过《潜行》
(4星)	还不错，值得一看
(3星)	看过潜行狙击之后真的提不起劲。。。只能当学粤语了。。。
(3星)	大C你不要屎啊大C
(3星)	长的跟田亮一样的alex把美丽的大c害死了，哼。
(4星)	马国明怎么看怎么不顺眼 ╮(╯▽╰)╭
(5星)	奇怪~点解单独搜索会搜不到
(4星)	喜欢这部剧的基本理念，判决结果并不是事件的真相。开头几个案件比较紧凑，法庭辩词犀利，后面又师奶了。好像TVB最近都是开头很惊艳，过中段就显疲态。杨怡里面的职业装蛮好看，陈展鹏上位中。从《古灵精探B》开始对马国明由无感转为喜欢，特MARK。
(3星)	哈，因为剧中杨怡的短发扮相，让我改变了至少12年长发的各种造型~利利索索滴短发~
(4星)	法庭戏有针锋相对的感觉。
(3星)	TVB现在不流行大团圆结局吗
(4星)	喜欢黄浩然
(5星)	超級喜歡。
(4星)	其实到警内讧那段就可以over了啊啊 为神马要这么悲剧的卡擦掉大c
(4星)	最后一集很有爱~~
(4星)	确实好看，而好看的原因居然是要训练让人不轻易被打动，不管是被阿三强暴的清纯影星、被大奶欺负多年忍辱负重的二奶、被黑社会构陷的会计师等等，所有韩剧台剧泰剧里小白兔形象完全被颠覆，越是可怜越要警惕，要眼泪如钱塘江水惊涛于眼前也不心动，听其言观其行，证据、证据才是王道。
(3星)	中规中矩，港片也就这样了
(4星)	夜了，睡了
(4星)	有个别案子太傻了～不喜欢陈展鹏在这里面的角色，自以为厉害
(3星)	&lt;真&gt;比较注重案情，&lt;怒&gt;比较注重感情线，但是这部除了杨怡黄浩然就没什么可看的卡司了，还是比较喜欢&lt;怒&gt;，一直很喜欢的唐咏诗在这部里的发型好老。
(3星)	看到后面就不想看了。我对港剧确实没兴趣。
(4星)	虽然剧情依旧狗血 但居然看上去还不错
(4星)	很久没看TVB的法庭戏了，觉得男主没气场。我只为看杨怡和黄浩然搭配而来，开头的几集倒确实吸引人，案例都很精彩，庭辩戏到有些逊色，杀警那一案还蛮紧张刺激的。还有马国明出现的也太突兀了吧 都要结束了才出来
(4星)	alex 死 的时候  ... 看得很让人难受.
(3星)	……
(5星)	近年在TVB中難得的重口味，電視劇算是大尺度了。推薦。TVB就是要這樣抓住觀眾的心才好哦。
(4星)	经过一部韩剧一部台剧的洗礼之后，节奏明快一集只有45分钟的港剧看的真是畅快淋漓，重回港剧怀抱！
(NA)	为了练习母语而看的剧…很不错…突破了Tvb以前那些很老套的剧情，值得推荐
(4星)	后五集真心烂尾……前面节奏不错，陈展鹏帅惨了。不过我在这戏里最大的收获还是找到了GARY和MARCO，然后还有pula和IVY。。。整个潮杂志社有一半的员工都鼎力加盟了……TVB真省钱……
(4星)	剧情紧凑   但是也是因为紧凑觉得感情戏好突兀
(3星)	果然依旧是典型的港剧，TVB果然没神马人，编剧也黔驴技穷了吧。 黄浩然长得不错，声音确不肿么好听，可惜了了。
(NA)	其实配角做主角也挺好的...老看那么些人谁不腻呢
(5星)	最近好迷TVB。。。
(4星)	大c死得 好不值哈  
(3星)	是我老了吗，已然不觉得这些戏有任何好看的地方。庭辩确实不错，不过主角实在无法跟壹号皇庭那些人物拼魅力值啊！
(4星)	继那些经典剧很多年后的又一部
(5星)	借用一句话，2011上半年tvb最好剧，没有之一
(4星)	之前还不错，拍到后面拖沓了。有的逻辑方面也有点诡异。
(5星)	越看越入戏，越到后面越精彩
(4星)	很不错的一部剧，不过有些细节也经不起推敲！
(4星)	反正就是好看，哈哈哈。越来越喜欢杨怡黄浩然了捏。我不要是法盲，耶，律师都好可爱
(3星)	珠海2000年大酒店
(3星)	情节单一了点，对案情分析再深入点就好了。人物形象和内心想法的塑造也简单了点，如果每个人都是圣人，那让我们这些凡人怎么活。
(4星)	开头觉得一般 后面越看越好 不过马国明出现的也太突兀了吧 都要结束了才出来
(4星)	公平 道德 公正 伦理 法制 真相
(4星)	叼！tvb仲要重振昔日辉煌还系咩啊！keep住啊！嘞部剧都几好睇噶蜗！
(4星)	谦少爷，你要不要这么命苦，又是为了这个挨枪子，又是帮那个人挡刀。。。
