http://movie.douban.com/subject/1790376/	巴黎恋人 파리의연인
(4星)	 萌上李东健了 真帅 金正恩真美丽 朴信阳挺耐看 50几的收视率是有点夸张了            
(1星)	 这样的男女主为什么要出演偶像剧？！            
(3星)	 在巴黎共舞，还有那个单恋的李东健            
(NA)	 那时候觉得李东健挺帅，后来觉得眼袋也太大了点儿            
(5星)	 灰姑娘和白马王子的故事。            
(3星)	 MS遇不到这样的人吧            
(NA)	 法式领带==！很大            
(5星)	 情节比很多炒得热的韩剧都好看，配乐也很美。            
(4星)	 朋友看得迷住了，我一般            
(5星)	  朴信阳             
(3星)	 韩版王秀花            
(3星)	 朴信阳，我喜欢。            
(4星)	 呃 还不错啦            
(4星)	 韩剧。是的，很韩剧。            
(5星)	 饭李东健了很久~~            
(4星)	 啊 我最最喜欢的韩国偶像剧啊 ...            
(3星)	 韩剧嘛~　不都这样·            
(5星)	 韩启柱先生，上天赐予我一个吧。            
(3星)	 朴信阳长相不喜            
(4星)	 那年都还有灰姑娘情节            
(2星)	 是啊 我看过~            
(1星)	 女主角太丑            
(4星)	 社长很灵的            
(5星)	 一直惦记女主角的宝丽来。话说为什么韩剧女主角都住在同一个阳台上。            
(4星)	 不错...            
(2星)	 我认为电视剧至少要拍的让我认同主角吧，这部电视剧没做到            
(NA)	 是说 李东健我为你感到委屈            
(4星)	 ~高三每天中午的必修课。。然后到班上讨论。。            
(NA)	 想起了呱呱            
(NA)	 猛喜欢过一阵儿            
(4星)	 断断续续地看~结局还是让人很开心的。就是韩剧进展太慢了。。看得花都谢了。“爱一个人的方法和与一个人离别的方法。我也教给你了吧~”            
(3星)	 看过N遍了            
(3星)	 里面衣服的颜色相当好看。。            
(4星)	 三星半。从头至尾可以保持一个水准也不容易了，具备了大多数韩剧的特色，却能让我不致生厌，真不容易。韩社长挺有趣的，加分。            
(3星)	 还可以             
(NA)	 好像看了好几年了，好像不止看了一遍，好像很喜欢女主角坚毅的性格，好像因此喜欢上戴眼镜的男生或女生            
(4星)	 最喜欢笑起来像小月亮的姑娘了            
(NA)	 男主角实在太好了~~            
(4星)	 最喜欢的结局            
(3星)	 学法语的时候看了这部，韩国人的发音还真是够烂~            
(NA)	 长得奇丑            
(3星)	 喜欢朴信阳那样的大叔            
(3星)	 女主角的嘴            
(3星)	 看过的最丑的女主角            
(4星)	 老男人和老女人的爱情~看完后的确要迷上朴信阳的说~            
(5星)	 太爱朴信阳了            
(NA)	 take time， 慢慢看，甭一个晚上通宵看了。。。            
(5星)	 以前看过，很喜欢。            
(2星)	 严重同意。光本的话。女主角确实太老了            
(5星)	 我喜欢这个男猪脚            
(4星)	 也是前面还可以，后面很无语!~            
(4星)	 我可以爱你吗？            
(4星)	 金恩贞那张脸哦,可以再僵硬点儿.            
(5星)	 很喜欢很喜欢很喜欢 尤其是男主全然的信任、温馨的霸道            
(4星)	 我看的第一部韩剧            
(5星)	 我骑着单车 疯狂闯红绿灯 超速行驶的日子            
(3星)	 吃饭时间，吃饭时间。大年初一，电视播着这个，我家吃火锅。你打电话叫我出去，跟你吃饭。            
(3星)	 典型的麻雀变凤凰　但是喜欢他们的真性情            
(5星)	 男主角是心目中都白马王子 哈哈 所以五颗星            
(5星)	 看过唯一完整的韩剧，曾经内心被温软地感动。            
(4星)	 都是高中忙里偷闲的产物~男女主角一般不过还好            
(4星)	 收拾东西的下午，一口气看完了，李东健你能不能不那么帅？！！我都花痴疯了。            
(3星)	 傻女。。            
(5星)	 以前很喜欢的，现在还是很喜欢它的主题曲            
(3星)	 这可是曾经在韩国风靡一时的韩剧呀，想当年我可是2天就看完这部剧阿。            
(2星)	 总之就是看不下去。。。            
(3星)	 经典韩剧。            
(2星)	 欣赏不来阿            
(4星)	 一个灰姑娘的童话故事……            
(5星)	 朴信阳就是那个男人。            
(4星)	 歌好听~            
(3星)	 舅舅好丑,但是有李东健~            
(3星)	 对中年人的偶像剧没兴趣。。            
(5星)	 就是想盼自己能找个男主角一样的人～～～            
(3星)	 当时看了觉得不错            
(3星)	 话说我老妈喜欢看这个            
(5星)	 完全迷恋男女主角的性格及意志!            
(2星)	 男女主角都不好看……且老……            
(5星)	 少女情怀            
(3星)	 我妈看了n多变            
(5星)	 修赫~此人我真中意!金金鱼的笑颜很可爱～那位大叔有时过萌...            
(NA)	 宿舍 小样 很喜欢 社长            
(5星)	 我爱舅舅            
(3星)	 多希望李东健和她一起啊            
(4星)	 WULI青蛙            
(4星)	 话说，我博客的名字“回忆里的邂逅”就是从这部电视剧中有感而发的。。。            
(4星)	 又是有点灰滴灰姑娘滴故事            
(4星)	 ～连他也喜欢～～不错！            
(4星)	 大四看的吧，和我妈一起，冬天看的，还是比较吸引我们，不大觉得是偶像剧，而是剧情类的，但说白了依旧是成人童话——灰姑娘罢了。            
(5星)	 最喜欢的韩剧！            
(4星)	 算经典把。。            
(4星)	 当初在全班风靡的剧~            
(5星)	 看了多少遍，还是非常喜欢女主角大大的眼睛。            
(5星)	 同情我吧，这个是偶们系的教材            
(NA)	 只要女主角不出来都可以看。            
(NA)	 又一个灰姑娘！！！            
(NA)	 还好            
(NA)	 原来我看了这么多部，汗个~~            
(4星)	 那个时代的经典 呵呵             
(5星)	 发现男人有酒窝原来如此迷人。            
(NA)	 电视剧中最不受外界影响的男主角。有担当。值得一看再看            
(4星)	 很老套，somehow就还蛮喜欢...            
(5星)	 这里，有你。            
(4星)	 女人常常会幻想：在华丽的人群中，自己却象凋零的花朵，这时白马王子突然出现，他轻轻地抚摸着我凌乱的发丝，温柔地呼唤着我的名字，而且还送到家门口，那岂不是太完美了吗？            
(3星)	 还可以吧            
(3星)	 灰姑娘的童话故事，韩剧不败的法宝。            
(5星)	 姜苔玲~~一个教会我要乐观生活的女孩~不是每个灰姑娘都能找到王子~~但乐观的人会把自己身边的人变成王子的哈            
(2星)	 非常时期的消遣剧噢~~呵呵            
(5星)	 最喜爱的韩剧之一，因为男主角不弱智。            
(NA)	 初中            
(4星)	 中国引进韩剧都晚一年。。甚至更久            
(NA)	 这姑娘命真好！！！            
(3星)	 刘永希更适合她……            
(4星)	 片尾陪在你身边 好听~            
(3星)	 女主角扮嫩有点受不了            
(4星)	 后面伤感            
(4星)	 老男人还挺帅            
(3星)	 爱情            
(4星)	 灰姑娘与王子的童话            
(3星)	 很傻的电视            
(4星)	 喜欢男女主角！            
(5星)	 韩社长..我的最爱            
(3星)	 一般            
(3星)	 主角好像偏老啊～～～不是那么的好看            
(4星)	 我喜欢姜苔玲            
(3星)	 长相老的嫩男人。            
(NA)	 妈妈最喜欢看的一部哦 呵呵            
(NA)	 金贞恩小起来超搞笑~~很漂亮滴~~            
(NA)	 ~            
(3星)	 你叫我来 我就一定要出现在你面前么。            
(5星)	 唯一看过三遍的韩剧            
(4星)	 我看的第一部有好感的韩剧            
(NA)	 .浮沉之中.            
(NA)	 跟妈妈一起看的~~~不过很好看            
(5星)	 第一部韩剧            
(3星)	 没看完。。不知道有什么好看的。。            
(5星)	 真好看 喜欢信阳oppa...            
(NA)	 总是有很所纠结 ..            
(3星)	 http://www.imdb.com/title/tt0430848/            
(3星)	 - - 女猪不能这么挫。            
(5星)	 最棒的韩剧            
(5星)	 一度非常迷朴同学            
(1星)	 男主角。。            
(3星)	 看了一般都没看完剧情发展太慢了~~~            
(3星)	 实在是没什么吸引我的地方。并且，第一男女主角实在是不想再看下去。丑。            
(NA)	 我喜欢男主角这类型的男人            
(5星)	 boss长得很丑，但行为很帅！是条真的汉子。            
(3星)	 很浪漫的情节，可是结局有点看不懂。            
(1星)	 女猪脚你真的雷到我了            
(2星)	 当初是冲着《陪在你身边》这首歌去看的电视剧，失望啊，歌还是不错的！            
(NA)	 女主很不错啊,笑起来很有特点哎~            
(3星)	 国民剧....            
(NA)	 小兰花。            
(5星)	 很喜欢李东健            
(4星)	 几乎每个偶像剧里都有灰姑娘和王子几乎每部偶像剧都让你喜欢上王子但这部会让你喜欢上那个灰姑娘你会觉得 王子爱上她 是理所当然的因为我们都爱她            
(2星)	 不喜欢            
(4星)	 朴信阳 李东健            
(NA)	 唯一还看了比较多集的韩剧            
(5星)	 曾经的浪漫            
(4星)	 认识李东健,结局的失忆让人心痛            
(NA)	 05年10月在北京看了一眼，06年看完的。            
(NA)	 男主角不帅            
(4星)	 很喜欢            
(NA)	 北京谁有2手闲置的？            
(4星)	 浪漫的爱情，总是让人渴望！            
(3星)	 如果男主角是帅哥那我就给4星            
(3星)	 刚开始那段法国的很有趣。回国的就没啥意思了。韩剧，只能消磨时光用用。太不现实滴            
(4星)	 恩，有些男人的魅力就像这位男猪。慢慢才散发出来的。            
(4星)	 好看            
(4星)	 男主角是一个完美的男人，不知道为什么，我和我妈妈看这个就是百看不厌。。            
(3星)	 那个女的很strong...            
(3星)	 看过几眼，不是我的那杯茶。            
(4星)	 还好！            
(NA)	 其中一男人超像一老友。            
(4星)	 自从我心荡漾开始就喜欢上朴信阳了~~            
(1星)	 对不起，我绝对的不喜欢。            
(4星)	 那个男人啊            
(3星)	 傻傻的女人，纯纯的爱~~·            
(3星)	 还可以            
(3星)	 金老鼠            
(2星)	 就李东健还能看看            
(4星)	 喜欢朴信阳            
(4星)	 看了这部电视，一句话：朴信阳太帅了！很有男人的味道。李东健也很好。感觉很不错，而且，还算有起伏。z            
(4星)	 还不错的韩剧，里面的原声带挺好的，好几首好听的歌            
(3星)	 男主角比较老，看上去怪怪的。            
(3星)	 喜欢这样的童话般的老套情节            
(5星)	 我最喜欢的韩剧            
(4星)	 孙正炫 导            
(5星)	 又一部会同时喜欢上两个男主角的韩剧，太经典了。            
(4星)	 男主角很好啊，虽然长相不是十分帅。            
(NA)	 不太喜欢的韩剧            
(NA)	 我喜欢的男人和女人            
(4星)	 喜欢这种感觉，喜欢看着他们幸福并微笑着！            
(NA)	 我喜欢这个女人的胸部            
