http://movie.douban.com/subject/3348511/	暗香
(1星)	狗屁。王珞丹敢不敢有点儿演技啊...????教主我就不吐槽了
(3星)	教主真帅
(4星)	作为资深天涯er，为了看教主有多二看了此剧，觉得还挺好的啊，比WW和棒子那些偶像剧好多了吧。支持青岛银
(4星)	因为这部剧，我觉得我是明教的。谢谢
(5星)	虽然也有很多bug,但是我喜欢那份浓厚又归于清淡的感情.[黄晓明原来穿的全是gucci的suit 〒▽〒好好看好好看..你俩哭戏太多了..] 
(4星)	当年做完毕设后几个通宵昏天黑地的看完了，还是不错的~~哪天重温一下~
(5星)	连滚带爬追着看完了，姨歪好看的一部剧，更姨歪的是原来黄晓明也是有演技的～ 郁闷的是男猪和女猪太清白了，连个啵啵戏都没有，饮恨到天明......
(NA)	以前对HXM不感冒 现在觉得还蛮帅的
(3星)	前面好看点
(3星)	BUG多的让我怀疑编剧是思维跳跃星人或导演剪片的时候是跳跃星人...结尾太仓促,囧
(NA)	天哪！我爱死黄晓明了！帅死掉了！！！！
(NA)	一段不忍回首的岁月，一段，同在一起又都不在一起的无望岁月，那个时候我在干么呢？以后看来这也将作为一个每晚多少有点声息的记录
(4星)	报仇部分不爱
(4星)	黄晓明的英语是亮点，哈哈~ 美国回来的？真是惨到家了。演技也惨死到回家的路上了…… 假的不行了~不过和王络丹捆绑销售的话，还算是能看。个人感觉这个本子应该是不错的，可是剪接的像是删减版，或者未剪辑版？总有些地方该详细的不细，该略的又太拖拉，是导演的问题？反正导致片子剧情松散。
(3星)	12集为止。黄教主的脸不错但是胸肌太凹凸海拔又不够，王珞丹在这里也真的不太美。一根筋又单纯白目的女主角我真是爱不下去。
(1星)	垃圾。情节复杂且交代不清，黄晓明一天一套西装装酷，怎么不去T台来演什么连续剧。
(5星)	这个我哭惨了。
(2星)	居然有那么多人说好看……
(3星)	黄晓明除了耍帅，啥也不会了···
(NA)	。。。
(1星)	电视剧能拍得这么搞笑，我们集体膜拜
(2星)	想讲爱情就别扯商战，想讲商场就别搞这么狗血的剧情，越扯越好笑
(2星)	黄晓明太2
(4星)	剧情不错~跳跃性太大就是
(4星)	-   -   因为我比较喜欢王珞丹和黄晓明，虽然这部戏不怎样...
(3星)	演技很好。但剧情不敢恭维。
(4星)	开头像TVB剧，后面剧情越来越白烂，漏洞挺多，但总体还凑合，毕竟难得我看部连续剧。看完实在也无法理解为什么取了这么个片名。边玩掌机边啃电视剧，时间过的飞快。爱情就像在沙滩上捡贝壳，不一定要捡最大的，最漂亮的，而是要捡自己最喜欢的，重要的是，得到了自己喜欢的，就不要再去那片沙滩了。
(3星)	完全是冲着王络丹去的……看到一半看不下去了 剧情太纠结了 还是比较期待她在《杜拉拉升职记》中的表现~~~
(4星)	终于看完了~~丹丹姐第一个帅哥搭档~~~
(3星)	黄晓明长得挺好看的。但是，看的好长好累。
(5星)	我本来是不FAN黄晓明的,可是,他在这部片里真的巨帅,超帅!!!
(3星)	从头虐到尾。。。
(3星)	由于无聊才看。杨幂的出演给我惊喜，不过她的角色表现不够充分。黄晓明的程远很帅很有魅力，王珞丹的伍月很惹人怜。别的就没什么了。
(3星)	看的心疼
(3星)	编剧真来阵势
(NA)	的确是为黄大帅量身定做的电视剧。结尾坚实地把我雷倒了……
(5星)	好吧 大陆能拍出这样的 算不错了 晓明哥终于翻身找了个好角色呀 帅气！
(4星)	好看的爱情
(5星)	意想不到的演员组合。原来对黄晓明这演员真是没什么感觉的，不过这个片子推翻了我对他原来的印象。片子开始挺可爱的，后来很深沉。也算是难得的国产剧了。
(4星)	忙里偷闲的看完了
(5星)	黄晓明那个帅呀...
(4星)	韩剧港剧复合体，就是死人太多
(3星)	本来应该不错的，但是作者把它写的又臭又长。。。
(3星)	一部专门为黄晓明订制的剧集 从服装到跑车到女主角。。。。。
(3星)	太长
(4星)	这么长的家族斗争和阴谋，就这样静静结束了。从最初的觉得王珞丹演技无改进到最后的变脸，黄晓明总是那么一幅酷酷让你难以拒绝的样子，丽达的温柔善解人意，皮皮逐渐燃烧的正义感...这个故事很长，阴谋接二连三，出乎意料的结局。看完了，生活依然要继续。12.1.8晚。
(2星)	剧情有点扯
(2星)	脑残编剧
(4星)	前年夏天看的吧，当时觉得黄和王演的都很好。印象最深的是皮皮，不过真名叫什么一直没有弄清楚
(5星)	就算为了我自己。也得顶顶。
(NA)	喂，你干嘛喜欢王珞丹，鄙视你。
(4星)	还是多好看的嘛
(1星)	看到两张脸就没胃口了，都是没完没了的那种自以为是
(3星)	场景华丽丽。。。跑出偏见的说，黄晓明还是蛮帅的。。就是各种死啊。。
(4星)	其实这个时候还是觉得教主挺帅的。。。
(2星)	听到了教主的英语 这是白瞎了王珞丹
(3星)	调调有点伤。
(4星)	不知道每天端着晚饭和姥姥一起用将近两个小时看这中间插播五段广告的黄晓明值不值得，吸引我的到底还是这剧情。虽然情节发展主要依赖于主角命大，前前后后被人暗杀十来次也都只是皮肉伤，我还是挺喜欢这种不断有坏人浮出水面的过关式情节。嗯，挺好的。
(4星)	很喜欢暗香，其实一直不太爱看电视剧，但是不知道为什么一眼就喜欢上暗香。剧情不雷，而且没有罗里罗嗦的废话，给人每集都很充实的感觉，王珞丹很可爱，黄晓明很帅，所有人演技都很好。尤是剧情，虽然还是有毛病，但是对于我这样的挑剔真实性的人来说已经很好，真的很感动，而且很纯，超级喜欢
(3星)	坎坷！
(3星)	因为黄教主 不看  现在看见他就恶心
(2星)	被娘拖着一起看。。。假出境界。。。= =。。。故事越编越离谱。什么都想涉及却什么都弄不好。女二是亮点。其余全无亮点。
(3星)	情节有些乱 黄晓明的演技需要加强啊~~
(5星)	黄晓明演技真牛，把王珞丹比下去了
(2星)	看不下去了放弃
(4星)	黄晓明在这部戏中没那么碍眼。
(3星)	我就看了前四集，因为有幂。
(3星)	豪门恩怨
(3星)	王珞丹瘦的优点弱不禁风  感觉   不过怎么说也比台剧好一些   
(5星)	·黄晓明很是type~
(3星)	黄晓明是极品钻石王老五呀！
(5星)	比想象的好看很多。彻底改变黄晓明在我看来没有稳重、成熟的感觉。
(4星)	纠结的电视剧
(3星)	王珞丹把这部剧给毁了
(3星)	和家人看。两个主角都不喜欢。
(3星)	随着王珞丹的出现，整部剧变的有意思了
(4星)	程先生敢不敢更帅一点，伍小姐敢不敢更傻一点。同样，没有王珞丹的地方就快进。
(NA)	很多剧情让我很纳闷 演员也没一个喜欢的 煎熬
(4星)	后面实在太糟糕
(4星)	前几集比较好看，看到中间看不下去了，黄晓明帅是帅，但不属于耐看的帅哥，看多了就腻了
(3星)	觉得王珞丹在这里没有奋斗里好看。是化妆的原因吗？
(5星)	从恹恹欲睡到通宵看完。。。还不错
(5星)	除去大大小小的bug、软广告和黄晓明的英语，剧情演技都很不错。
(5星)	程远，梦想对谁而言都是遥远艰辛的。伍月（吾月），君我两相望，路虽迢迢，光华昭昭。程远故而坚定，吾月昭我心，万水千山只等闲。
(NA)	我觉得故事挺好的 结局很完满 虽然我期待它更完满
(3星)	第一次觉得黄晓明帅啊~~感情戏有点狗血
(3星)	偶尔看下偶像剧也蛮好的~
(NA)	头一回觉得黄同学帅了
(4星)	看在黄晓明这么帅的份上我打4星
(3星)	编剧的水平有些低，很多地方太牵强，无法自圆其说，都是硬伤啊，要不起码四星。比如说皮皮如何身背两大罪名直接无罪释放了，比如说启用了那个什么尼亚的名单后实际上对程家帮助最大的是大陆纪家，和纪家有百年盟约啊，是个人都知道的。关于商战的部分，相信财经专业的会找出更多的硬伤。
(5星)	“爱一个人就像在海滩捡贝壳，不要挑最大的、最漂亮的，而是挑你最喜欢的，挑完你就不要再去海滩了…”为责任而战~~~
(3星)	为神马黄晓明每个举止都这么自恋 觉得好欠扁
(2星)	天雷滚滚
(2星)	王络丹太做作！
(3星)	黄晓明在里面只要不说话 帅…
(3星)	实话说 挺烂的 想假装是部商界家族勾心斗角又夹杂着爱情亲情的电视剧 却变成四不像大杂烩 实在不敢恭维
(2星)	 对 王珞丹 审美疲劳了
(4星)	无论是造型还是演技，都是大陆其它偶像剧值得学习的。。
(4星)	最后那些礼花生生的把我雷到了...小明真的挺好看的.真的
(NA)	前面还不错，后面简直是虎头蛇尾
(4星)	虽然有点假，但是我真的很喜欢看
(NA)	王珞丹几乎集集哭。。。
(1星)	受不了这位教主。是来找穿帮的 脸蛋妆容倒是越来越精致
(2星)	忒做作
(1星)	黄晓明第一次觉得好看，王珞丹瘦的惨不忍睹，剧本没逻辑，法律够野蛮……
(4星)	还可以 当时看的时候好像蛮迷的。。。。
(2星)	无比弱智的商战。。。
(2星)	看剧情只对前三集有兴趣，看前三集不停地想快进，不错的题材就是这么被糟蹋的
(4星)	故事情节很虚假，但是黄晓明很帅，王珞丹的演技也很好。
(1星)	黄君的帅给半分，小样儿的直给半分。~编剧、导演集体梦游，我居然坚持看到结尾，不容易。完全是以貌取人了。
(3星)	没坚持看完~教主的E文太搞人~
(3星)	帅的有盐有味的~
(3星)	全剧快进，国内连续剧这个演的挺好（豪门豪得很好，阿斯顿马丁用的有感觉），（快进纯属本人耐心不够，看不长你死我斗）
(3星)	是个破事儿都要狠狠纠结一番……
(4星)	仿佛真的是这样……
(4星)	王珞丹
(3星)	該死的，不該死的，都死光了。最後活著的，少的可憐。
(4星)	我还是最喜欢米莱...
(3星)	也是一部看不下去的~
(4星)	黄晓明太有型了  不过王络丹嗲嗲的哭真的让我不喜欢  我觉得还是杨幂更配黄晓明、剧情还是不错的
(5星)	这是我在近期看过得最好看的一本电视剧……
(3星)	前20集基本可以不看
(4星)	因为国产，而非山寨
(4星)	“直到这一刻，。。”
(3星)	看这部剧是冲王小姐去的。看完这部剧是冲远月CP去的。结果看完了真的不知道是哭还是笑。一开始追的很有冲劲，到最后是为了结局而追结局。编剧最白痴，BUG好多- -。伍月也白痴，就知道哭||||||王小姐辛苦了!最后还是感慨，黄晓明帅呀❤
(3星)	这部剧让我冲天雷到尾，小同学你不是一般的做作，米莱自《我的青春谁做主》后又在这一部剧里又重生了……
(4星)	看了这部句后发现黄晓明也还帅..
(3星)	黄晓明是挺帅的，不过有几段有耍帅的痕迹。剧情应该更紧凑一些
(5星)	剧情像小时代一样跌宕起伏。。
(1星)	拙劣的戏码~
(4星)	就国内电视剧来说 已经很好了
(3星)	大陆的黑帮片
(3星)	这个小妮子太可爱了，尤其是说话的腔调。不过故事情节太烦，尤其开场，用了一个好久以前的美国电视剧的情节。
(4星)	喜欢王洛丹
(4星)	黄晓明深情的时候让人真的无可救药的就迷恋上他了
(4星)	哎呀，忽然发现黄晓明很帅，这片子应该算内地类似的片子中拍的很不错的了，无论是演员造型还是场景阵容
(3星)	没看完
(4星)	家族斗争剧太过沉重，最喜欢黄晓明跟伍月在北京的短暂快乐。程远成就了新的伍月，可是屏幕上的“两年以后”太不负责任了
(3星)	韩剧 美剧 港剧 台剧的山寨混合体
(NA)	太做作
(NA)	烂片
(2星)	假到爆...
(4星)	黄晓明，你的英语能找个配音吗？
(NA)	看了几眼，实在受不了，感觉就是趁男女主角的人气特地拍的
(4星)	凋零惨败的美……
(3星)	明明应该是王子般的存在，为嘛我就是看黄晓明不爽－－
(5星)	如野草般潜伏并开始疯长的爱，浑然不觉，是多么令人难过。 
(5星)	我也快成明教的了~
(4星)	狗血了点 但是不错
(2星)	黄晓明是败笔我操那B得英文2的一B
(3星)	比较出神入化···扯是件离谱的事儿···我不喜欢这里的米莱了~~
(3星)	伍月离开南亚前的剧情有四颗星，程远离开北京的剧情有三颗半，看到最后三颗。实在是正弦曲线的剧情，从五月失忆开始，剧情就很怂了！
(NA)	钱果然不是白砸进去的，晓明同学拍好帅，可是你真的不洋气嘛
(4星)	难得一部大陆的电视剧，虽然秉承一贯的拖沓，但是拍的如此精致
(5星)	花了两天终于看完了~逃课真的是值得了~黄晓明帅到不行了~今年最值得看的一部戏~
(4星)	好奇看看，不过晓明的英语真的很不好，呵呵，但是拍出来的感觉比台湾的偶像剧档次高多了，大陆的片子比较有内涵一些，台湾是拍不出来这种气质的。
(3星)	黄晓明好假好假，越来越讨厌那个王络丹了，都一个演技。
(4星)	我深陷黄童鞋的美貌之中了一刚。
(5星)	精彩 尤其是黄晓明的演技 终于摆脱了之前翻拍戏难以超越经典的阴影。。。
(3星)	李克金死之前都蛮好看的，后面就开始拖了，北京那几段根本就没必要的…
(5星)	看多了会觉得疲劳，不是情节的重复。只是因为这段情感路走得实在艰辛，血泪已经不能诠释的心痛。直到麻木的一天，才能停下前进的脚步。
(5星)	人生多辉煌，就有多痛苦
(3星)	结局太sb
(4星)	百年的盟约。让人很是震撼。其他的还凑合，黄晓明就是适合演这类的电视。王洛丹一直都是一个形象出现。期待她能尝试下改变。
(3星)	王络丹 明显比米莱更有内容，比钱小样更优雅，我是挺喜欢她的表演，严重表扬！黄晓明 这样一个狠角色霸气十足，就是感觉有点装！皮小南 从头到脚的北京味，怎么是在南亚长大的富N代！至于七叔、费老板、马奎那怎么看都像是党培养的老干部，没有富商之气质！剧情如果再精致点就更好了！
(3星)	根本就是最俗气的那种网络小说
(1星)	我不该在吃完早饭的时候看
(NA)	有点想看了~~那就没出息的开始看吧~哎呦  黄晓明好帅哦~刷刷的就看完了
(NA)	男猪脚马相好。
(4星)	丽达的一身就是一个悲剧，蜕变后的伍月很迷人，即使遇到那么多的是是非非，依旧善良
(4星)	国产剧越来越少看。次剧首先很喜欢皮皮这个角色，越往后越男人；黄晓明，从来没觉得他这么帅酷过；王珞丹，越来越相信她的本色也是一直塑造的银幕形象：一个可爱善良的girl；最后这个剧拍的得多爽，海边游艇跑车别墅的，可惜导演硬把它往悲情剧推进，而且越走越远，直到我无法承受，所以四颗星吧~
(3星)	还行了啦
(4星)	情节曲折啊。黄晓明帅到爆！
(3星)	每部剧里都有一部傻得冒泡白痴无脑得想踩她脸的女角。
(5星)	虐得不能自拔 TAT
(5星)	让我对国产剧重新燃起了希望
(4星)	王络丹和黄晓明
(4星)	一直吸引着我啊...
(3星)	很不喜欢里面的王络丹，怎么又让我看见了钱小样的影子，演来演去似乎都那样。剧情前几集很喜欢，后面的觉得逻辑性不强。
(NA)	程远说：别伤着自己 我赔不起
(3星)	没钱也是福~
(5星)	扯淡
(4星)	即使剧情很多地方莫名其妙 但依然热爱^^
(2星)	冲着杨幂看的  没想到2集就没了。。。伤心了。。。
(4星)	结局是好的,但是死人好多人啊!!
(3星)	中国终于像韩国一样开始自我膨胀了。另外，FIAT是赞助商吧？没看两集就已经出现两个大特写了。。。
(4星)	飘过去的。。。
(3星)	我是看杨幂的
(5星)	吸引力迫使三天完成了33集的剧. 一流演员+剧情.
(4星)	冲着女色去的。
(3星)	比起5月更喜欢丽达 比起程远，李克金让人感觉更安全
(4星)	我愿意为你，我愿意为你，我愿意为你被放逐天际...
(4星)	黄晓明，好帅~
(4星)	还是中国男人好看~~
(3星)	闹太套同学在里面很萌。东南亚的风景很美。
(4星)	当年觉得超好看的!那时觉得黄晓明帅极了~
(4星)	当年看的还挺带劲的= = 记得有一段音乐很好听 居然不反感这里面的闹太套先森。。。
(NA)	真心没觉得好看，阴谋阴谋全是阴谋，看的脑袋都秀逗了。黄晓明依旧在耍酷，王珞丹依旧是米莱，我了个去。不过制作倒挺精良的。
(NA)	应该是最爱的一部剧。
(1星)	太做作了。。。
(4星)	跟你一起看的第一部电视剧
(NA)	henxihuan
(3星)	重点是王珞丹和黄晓明吧~故事蛮好的
(3星)	都已经是几年前看的了吧。。。印象里这片是还可以的~
(1星)	不评价了，浪费时间
(NA)	黄晓明表酷到一定境界了，内容颇有悬念令人眼花缭乱！
(3星)	越到后面越沉重，唉~跟猎人一样的毛病
(4星)	就是这部剧喜欢上黄晓明的哈哈
(4星)	后三分之一部分稍微拖沓了些 总体很不错
(5星)	挥之不去，香气凝远。
(5星)	很喜欢，那些说剧情拖沓的人，是没看过台剧吗？？服装华丽，场面大气，情节紧凑，黄晓明在里面帅呆了
(3星)	不错哦 小明~
(5星)	好看
(4星)	很喜欢黄晓明~~~
(3星)	星星是给黄晓明的～
(5星)	黄教主与丹丹姐的搭配很赞！！！
(3星)	排场，气势
(3星)	花草你还没看完吧、、
(4星)	大陆拍出这样算不错的了
(NA)	有时候吧 不是同一种类型的人也会发生许许多多的故事
(3星)	没看完。被王珞丹恶心的。
(NA)	曾经觉得不错
(4星)	黄晓明演的唯一一部我看完的。很帅！
(4星)	丹丹姐啊~~~
(4星)	不该遇见，否则就没有这所谓的一切
(5星)	有情不必终老，暗香浮动恰好。人生若只如初见，何事秋风悲画扇。 等闲变却故人心，却道故人心易变。
(4星)	如果黃教主不那麼耍帥...我會給5星。
(NA)	一般般~~  故弄玄虚
(3星)	那会儿我还是王珞丹的脑残粉
(3星)	教主在里面确实挺帅，王珞丹我实在不怎么待见，当个偶像剧看了。
(2星)	两人的脸都受不了。。王珞丹毫无演技可言。。
(NA)	没能看完。
(4星)	家族争斗呀，有点个复杂~
(4星)	不错的
(5星)	当时看了觉得很感动，有家族权利争夺的算计，有爱情误打误撞的甜蜜，也有一切落幕后的丝丝余漪，久久难以平复
(NA)	爱情，有没有来过这里，幸福留下痕迹。你在世间哪一个角落，听不见我，想念你。爱情，是不是来过这里，当我们想起，那时的心情，其实我们已动了心。
(4星)	黄晓明 我觉得你这个电视演技有进步，，
(2星)	忘光了，主角二人组均不是我的菜究竟为什么要去看啊！
(4星)	还不错 题材蛮新颖的 虽然演得不咋地 最喜欢皮皮 敢爱敢恨 另外结局差点没把我雷死
(NA)	闹太套
(3星)	1. 虽然剧情有很多Bug，但还算是扣人心弦 2. 为嘛我从来没被男主女主的故事感动过啊？ 3. 皮皮倒是不错 4. 男主女主你们的英语雷死我了啊！！！！
(NA)	教主其实还挺帅的~~~
(3星)	小成本电影，演技完全靠几个老戏骨撑着在。南亚的场景换来换去就那几个市内场景，传说中的2000万的投资，我怀疑大部分都给了演员了。。哎。演员也都还算卖力，打发时间吧。王珞丹感觉有特色但没演技。演来演去怎么演也始终感觉很土，北京丫头的感觉，米莱的印记也许是太浓了。
(4星)	不錯啊！
(2星)	坚持又坚持，还是没能坚持看完，初衷很好，想拍与众不同的好电视剧来着吧，拍着拍着，拍烂了。。。
(4星)	悲欢离合，爱恨情仇，全了。够狗血，所以看下去了。
(3星)	比较喜欢前几集，看到后面勾心斗角，就没兴趣了。
(4星)	喜欢程远和伍月在一起
(NA)	费丽达真好看，另外，皮皮是不是于谦老师的亲戚啊，真像嘿～
(2星)	真的不是一般的烂，烂到家了
(3星)	中间跳了好几集，直接看最后一集了。。。
(NA)	刚开始看，还不错。
(4星)	当时很喜欢的电视 
(3星)	有情不必终老，暗香浮动恰好
(2星)	怎么就不喜欢这样的剧情呢
(2星)	我是费了怎样的决心看完这片的。每天晚上7点30到9点10分边骂边看边骂。
(5星)	黄晓明演得不错！！
(3星)	再次证明了每年夏天都要发现一部偶像剧的颠仆不破的真理
(5星)	黄晓明还是老老实实演电视剧吧！
(5星)	我们家晓明在里面好可爱
(3星)	我品味太低噢 居然通宵把這個劇看了 黃曉明無時無刻都在耍帥 太噁心啊
(NA)	我靠黄晓明什么年纪都帅毙了
(4星)	按照大陆偶像剧的标准，这部戏算是优秀的了。这时候恐怕是黄晓明颜最正的时候，深情，执拗，可是却打动人心。王珞丹一如既往的倔强，其实我更希望看到你不同的样子。
(1星)	怎一个差字了得，是很差很差很差N次方，黄晓明太烂了
(3星)	= =对黄晓明无感。前期还好。最后的人一个个死了觉着电视剧好扯。。好吧。还是看完了。
(4星)	国产偶像剧里算不错的。
(1星)	人要有自知之明。。我学习英语去了。
(3星)	当时看得还挺咂劲的，黄晓明的颜是唯一动力，所谓的悬疑和商战还是流于表面了，还有终极boss覆灭得太轻易了。
(NA)	一丁点  做作~
(NA)	别对我这么好 我还不起别伤着自己 我陪不起
(2星)	主角演的不错，就是剧情太差了
(3星)	前10集还行······后面又开始中国苦情大剧整天哭哭啼啼
(3星)	先入为主，现在老觉得黄教主在装逼= =
(2星)	耍帅就行。。
(5星)	很经典!
(3星)	我是来看杨幂的。。话说看到小金菇凉的老年装扮还是被狠狠地震惊了一下。。。。。
(1星)	这货也能有7分。。BUG的剧情，无语的演出
(5星)	这部电视剧太纠结了！真让人欲罢不能。本来几年前就已经看过了，现在福建卫士在播，还是不可避免的又跟着再看一次。真心喜欢远月故事~
(NA)	喜欢里面的王珞丹
(4星)	小明在里面老帅了。
(NA)	别人推荐的 巨好看！！！ 主要是人巨好看！！！我看全来的一部剧！！！
(4星)	没看很多 小明哥哟
(4星)	几乎死光了。。。还记得女二蛮漂亮的
(3星)	我当初居然看完了剧情这么有局限性的东西。。。
(4星)	黄晓明的这部电视剧我居然看过好几遍。。。
(5星)	其实我很喜欢这部剧啊。。。
(2星)	我当年看的时候，就觉得，这剧情怎么这么扯啊！!
(4星)	王珞丹和黄晓明拍得最好的电视剧了。
(4星)	谁都会比闹太套演的好 那英文真是不敢恭维 哪儿像是美式英语阿
(NA)	2011.8.4晚九点。终于看完了~33集。四天时间。速度啊！虽是大陆剧，可因为故事发生的背景在南亚。所以也就没被广电局河蟹掉。嘿嘿。由于有多个世界名牌赞助，整部剧拍得很大气。也是第一次觉得黄晓明是偶像兼实力派，我承认被电到了啦~程远。伍月。顺理成章的爱情。可是让我无限感动的是皮皮。敢爱敢恨
(4星)	这部电视剧中的黄晓明，是最帅的，只可惜男女主角的对手戏少了些
(4星)	有段时间 每天都等着晚上电视台播这个。。。
(1星)	感觉剧本就是为黄晓明耍帅而写的
(3星)	这三颗星完全是给编剧的
(4星)	好吧我没看 但我觉得应该挺好的 我一直推荐我妈去看 
(4星)	黄晓明在里面真是超级无敌霹雳帅 就是剧情越看越像现代版来不及说我爱你 越看越没劲 能死的全给死完了。
(4星)	还记得黄晓明对王珞丹的霸气一抱
(4星)	最大的败笔就是 黄晓明那一口难听的 外语
(3星)	她不是空姐么，怎么都没有空姐的情节
(5星)	让我疯狂着迷的电视剧~看完就中毒了~
(3星)	觉得前面的还可以，越到现代就越不好看，杨幂那个闷骚货也在吗，没看到啊
(2星)	操
(4星)	有情不必终老，暗香浮动恰好。原来相爱的2个人，也可以彼此这样将爱留在心间！
(4星)	异域风情
(4星)	為什麼束手無策和你的关系？
(4星)	比起其他大陆剧，里面的豪门拍的挺实在。斗心机等等有不合理处。但不失为国产剧中不错的作品。
(5星)	教主忒帅了~程远，伍月，皮皮，丽达，其实都很感人~
(4星)	MR 程你还敢不敢再帅一点？
(4星)	这搭配,挺新鲜的啊
(2星)	7点多，这是有多少水分啊，制作真的不怎么样！！我很少无奈的看到豆瓣的评分，这次真无奈
(1星)	王珞丹个白痴
(3星)	闷
(5星)	人总是在慢慢成长的，没有一成不变的东西，很多事情经历过便好。
(5星)	看了无数遍！哭过笑过...
(5星)	好吧 我承认我因为这个剧 喜欢上了黄晓明 
(4星)	还行，在酒吧那一段很精彩。
(3星)	zhuangbility的两位主角让人无语
(5星)	喜欢
(3星)	住院的时候一边打吊针一边看的。压抑得要命。让我心情低落。= = 说不定因此恢复得慢多住了两天院Orz。
(NA)	感觉两人相爱的速度太快了
(NA)	妈妈喜欢
(NA)	升级版的国产剧
(3星)	教主，我还看过的 
(3星)	浩浩荡荡的终于看完了。虽然不长但是看了很久。起初觉得不错，后来觉得很纠缠。
(4星)	以前一直对黄晓明抱有成见，看了这个电视剧后对他的印象稍有改观。重新发现了他的帅，也演出了富家公子的气质。前段时间苏宁电器广告中黄晓明和王珞丹搭档是不是因为这个电视剧呢？
(4星)	黄教主演这个比洛熙好一万倍啊。
(5星)	剧情越看越阴暗掉，冲着演员来的，不过还不错啦，就是格调和想象的不一样。
(4星)	还挺好看的。。。
(5星)	帅啊。。。
(3星)	情节老套，幸亏选了一个好地方，海边。
(3星)	我看过几集，没什么意思就放弃了。
(NA)	我没看到王珞丹
(4星)	这里还有杨幂？我怎么不记得。。。
(NA)	我对这部电视剧有阴影，因为他我差点失去了爱情。。。看到这部电视的名字就会让我想起那段伤心的日子。。。
(4星)	看腻了黄小明的脸　王珞丹看了就不舒服
(3星)	看到闹台套大人的脸我就想吐。
