http://movie.douban.com/subject/2303265/	少年杨家将
(5星)	 迄今为止最喜欢的杨家将题材电视剧            
(5星)	 美人泪，催人肠            
(NA)	 。要支持国产影视...            
(4星)	 我爱耶律斜。            
(5星)	 几遍都是力荐。tr最出彩的作品。            
(4星)	 我喜欢耶律斜~            
(4星)	 哎呀，我喜欢耶律斜~~            
(4星)	 很欢乐的小七追哥哥！！            
(3星)	 悲剧再一枚啊。。。。            
(5星)	 相当不错的电视剧 经典的故事            
(5星)	 为四郎四娘评的星。            
(4星)	 耶律斜！罗氏女！            
(4星)	 老袁！！！！！！！小晏晏！！！！！！星星眼口水～            
(3星)	 就覺得彭于晏演的老七很可愛。            
(3星)	 其实是给胡歌和彭于晏的，哇哈哈            
(2星)	 要不是为了袁弘，我怎么能忍受40多集的无聊剧情            
(2星)	 帅哥很喜欢，剧情不咋样            
(4星)	 相当可爱晏七郎            
(5星)	 个人很喜欢            
(4星)	 彭于晏和袁弘的部分还可以，何润东这次演的很cuo~            
(4星)	 喜欢耶律斜那种男人刘诗诗长得像刘亦菲，但比她耐看            
(4星)	 弱暴了！这个也哭。。。            
(NA)	 高三上看的~当初很喜欢彭于晏那一对来着~            
(4星)	 袁弘            
(5星)	 帅哥！！帅哥，还是帅哥            
(4星)	 耶律斜还是很萌的。            
(5星)	 近年少有的好看不傻帽的电视剧             
(NA)	 哭死～！            
(5星)	 袁弘啊....!!!额耐尼~~~~            
(4星)	 金沙滩一战真是壮烈！英魂走好！……            
(5星)	 一曲令人断肠的忠义悲歌!            
(5星)	 T T            
(4星)	 金沙滩一役拍的太感人了            
(4星)	 气愤，看到他们陷害死的时候恨不得电视都砸了            
(5星)	 养眼，感人，泪奔            
(4星)	 从这部戏开始关注唐人，林家宇不错啊～            
(4星)	 我太喜欢七郎那对了~！但是杨家的结局太悲惨了。。。。PS，那时候我TM还唾弃我锅呢。。。。            
(5星)	 放眼望去全是美少年啊！！！！！！！结局太悲凉鸟！！！！七郎死太惨了。。。。又是只有胡歌活着、、、、、何润东和诗诗的又一部合作剧【其实我挺萌他俩的~~~~  当时最羡慕八妹了==有这么七个哥哥啊！！！！！！！！！！！！！！！！！！！！！！！            
(4星)	 有杨家将的故事垫底此剧就难看不到哪儿去，再加上帅哥够多，剧情精彩，演技不俗，配乐煽情，实在是一部挺好看的电视剧            
(5星)	 非常有诚意的一部电视剧 ！！！            
(4星)	 我喜欢耶律啊。快进看的也哭了，帅哥多，当偶像剧看            
(4星)	 儿女情长诀别诗，雄心岂入驽骀群            
(5星)	 就是因为这个 喜欢彭于晏的            
(5星)	 哭得我。            
(3星)	 帅哥多            
(4星)	 古装偶像剧啊            
(5星)	   这部片里，载着我很多回忆            
(5星)	 看完之后很悲怆啊。。            
(5星)	 一群富二代的爱恨情仇            
(3星)	 因为这一部看上的胡歌……            
(3星)	 为了刘诗诗看的，完全就是一粉嫩小姑娘。老袁太艳丽了，勾人啊！            
(4星)	 袁弘……！            
(4星)	 可歌可泣            
(5星)	 喜欢！            
(4星)	 都是一群铁铮铮的男儿啊！....            
(5星)	 那个时候最爱的剧了，第一次认识袁弘~~            
(4星)	 去年寒假。一直沒有忍心看完它。            
(4星)	 把他们的灵柩运回家的时候还蛮煽情的。            
(5星)	 帅哥真多。不过后头看的我哭死。            
(NA)	 我承认我是冲着帅哥去看的。            
(3星)	 原来这里都有刘诗诗，我怎么没发现，而且这里的主演都是后来的顶梁柱啊            
(4星)	 时隔多年 我终于看了最后一集            
(NA)	 这段历史虽然故事被翻拍多次，但此次主轴在“杨家将”们的年少时代。我们看到了他们稚嫩的一面，也看到了他们在战场上勇猛的一面。而且情节渲染的很悲壮，连服装做的都极有水平。杨家将的团结和忠诚演的很到位。            
(4星)	 好吧  我就是来看我家老大的 不过彭于晏真的好cute            
(4星)	 若是没有金沙滩一战，就只能打三星了。从36-40真是催泪的一塌糊涂。送别跟归来那两场戏不论看多少遍都感动心痛，中间的一个个战死不忍再看第二遍。            
(3星)	 补，还不赖            
(5星)	 最爱的古装剧之一 -3-            
(4星)	 偶像版本的杨家将感情纠葛，养眼。            
(3星)	 哎呦彭于晏可爱啊            
(5星)	 看得我都有点动容了...我觉得我有时间要好好写个影评            
(3星)	 没完没了的阴谋，还有点幼稚，我烦啊，看不完。            
(3星)	 好像慕名看过几集            
(5星)	 非常好看。            
(4星)	 最初喜欢的一部唐人剧            
(NA)	 野驴将军戳泪点了..            
(5星)	 能把我看哭的电视剧            
(4星)	 后面看哭了            
(4星)	 本以为是脑残剧，居然很靠谱，推荐哈~            
(4星)	 帅哥美女多的戏，总是忍不住看，然后这片是去买的盗版碟，啧啧，07年寒假，多年不看电视剧，说来，虽然场面粗糙，我总记得金沙滩的戏份，我跟妈妈一边包饺子一边眼泪稀里哗啦来着。。            
(3星)	 虽然是戏说，不过整体感觉还算不错。            
(3星)	 突然对杨家将感兴趣了，就看看辈分关系。当他们的老爹的杨业和金花夫人才是最大的牛人，养这么多儿子，还把儿子们都搞得都是人才。            
(5星)	 七郎死的时候我真的泪奔了            
(3星)	 冗长的一米            
(4星)	 男的都很帅，女的一般般。冲着胡歌去的，发现彭于晏也好萌啊。结局来的悲惨，哭死了            
(4星)	 演员选的好。故事结构好。忠孝义的升华。金沙滩更是把一切推到至高点。眼泪止不住啊。            
(4星)	 太虐了 不过很多喜欢的男演员在里面 真是不看也不行看了又虐心            
(5星)	 这是我看到的偶像电视剧中拍得最让人感动的一部。荡气回肠，悲壮让人不能自已，影片前半部分那些嬉笑怒骂的美好，在金沙滩一役后都成为断人肠的毒药。家族与民族的背后是一个个忠诚的英灵，不仅是忠于皇室，更是终于家国百姓，终于信仰。            
(4星)	 哭得我，太惨了            
(4星)	 后面哭了好久，喜欢四郎和罗氏女的部分            
(4星)	 耶律斜~            
(5星)	 当年就是因为这个剧觉得袁弘好帅！            
(4星)	 孤独的耶律斜            
(5星)	 ＝）            
(3星)	 帅哥为什么老演古装剧。。            
(4星)	 算是唐人剧的佳作，时候看的杨家将小人儿书印象特别深刻，现在找不到了，记得等六郎儿子杨宗保长大成人后，四郎好像回来了            
(4星)	 四郎没回，真是遗憾。            
(2星)	 为了西皮看的……可是i帧的不好看= =看不下去= =            
(5星)	 后面的那几集  哭得不成人形~            
(4星)	 耶律斜真心hot啊，胡子帽子神马的最适合@袁弘 了！ 这片子拍得很有诚意，就是编剧不够给力。耶律斜的感情戏加得就挺奇怪的，重点是编剧居然说人家辽国元帅小斜同学其实真心向往“自由自在”的生活……没有逻辑啊，亲！最后更不可能抛下辽军为了“仁义”闪人了啊！当萧太后吃干饭的么？            
(4星)	 就是爱看蟀哥哥蟀弟弟！            
(3星)	 演员靓丽帅气，唐人风格嘛~            
(5星)	 很早以前看的了，当时是抱着玩的心态去看的，因为名气不响，也没什么人看，开始主演是谁都不知道，就是喜欢胡彦斌的诀别诗，结果电视剧的内容，确实出乎意料。            
(5星)	 七子去，六子回。。。。。            
(3星)	 内时候觉得好看 上学的时候 没看完来着            
(5星)	 为了袁萌萌！！            
(NA)	 挺好            
(4星)	 唐人的剧都挺不错的            
(NA)	 光线效果不太好            
(3星)	 要是年少时看的话应该会觉得很好看的.            
(3星)	 帅哥蛮多的诶            
(4星)	 七郎死的时候太飙泪了            
(3星)	 差强人意，编剧限制了演员的发挥，最后还是诗爷的气质hold住了我跳着看完            
(4星)	 喜欢耶律斜~            
(5星)	 開始的歡愉卻掩蓋不了最後楊家舉家赴死的悲傷。。。。            
(4星)	 肿么办..偶怎么不是耐杨康就是耐耶律斜..马萨嘎姐就是传说中的万年男二控..?!            
(4星)	 老O            
(3星)	 竟然还看过这个~            
(4星)	 杨家将下场太惨了，看的眼泪流！特别是七郎死的时候。            
(3星)	 初中时和同学争论哪个杨家将最帅            
(NA)	None
(5星)	 喜欢啊！            
(4星)	 唐人这部是我觉得颜最正的一部！            
(5星)	 七郎死的那段我哭了快两个小时…每次看都会哭            
(3星)	 俩小时快进看完⋯⋯乱点鸳鸯谱，所有的男女配都不来电⋯⋯            
(4星)	 哈哈哈哈，彭于晏好帅哦哈哈哈哈。            
(NA)	 太好看了！！胡歌，彭于晏，帅气！            
(5星)	 没有一个群众演员！            
(3星)	 胡彦斌的歌好听            
(4星)	 我本以为大郎二郎三郎打酱油的死应该没什么，竟然也哭得稀里哗啦，更别提最爱的七郎。论感情的话，还是最喜欢七郎两段青涩恋情。倒是关红，其实我觉得耶律斜反倒适合她。没想到娇娇弱弱的罗氏女比四郎是主动坦白些的。            
(5星)	 看过杨家将中最好的一部            
(5星)	 帅哥啊！！！好多，流口水            
(NA)	 看到杨家将死的时候  眼泪就哗哗地流            
(3星)	 挺好看的            
(3星)	 居然给我看哭了            
(4星)	 荟萃了我中意的四大帅哥和小萝莉，加分！            
(4星)	 剧情有些拖。。不过还是很感动~~至少无论从服装、造型、动作、镜头、音乐来看，都是非常有水准的。喜欢七郎金娥小琳~~            
(4星)	 有点烂尾。。。            
(4星)	 喜欢胡歌，喜欢彭于晏。            
(5星)	 智勇双全的杨六郎 大爱            
(5星)	 这是一部夹杂着轻松搞笑与热血感人的电视剧，平时生活充满了一家人的欢乐温馨但是随着战局的蔓延，奸臣当道，剧情急转直下，那些命中注定的剧情开始慢慢实现，直到后来金沙滩七子去六子归杨门女将披甲上阵，可悲可叹，。            
(5星)	 剧情感人，着眼于父母子女情，和兄弟友爱。虽然有些剧情略有硬伤，但总体而言，该剧的服装可圈可点，剧情内容可圈可点。是一部让人难以释然的好剧。            
(4星)	 好怀念这段时光            
(4星)	 演员都挺喜欢的，剧情有点拖= = ，里面的刘诗诗很像刘亦菲的说。。话说里面最喜欢的两个女孩都让四郎给占了&gt;_&lt; ，还有五娘长得真不怎么样性格也不怎么样啊= = ，为毛五郎和耶律将军都抢着要她？？            
(4星)	 诶哟喂，好像看过、            
(3星)	 看着满屏帅哥死在眼前的感觉真心酸。            
(3星)	 筹备到播放历时两年。FUCK            
(5星)	 爆满泪点，杨家好男儿            
(5星)	 凡是杨家将的都喜欢～            
(NA)	 喜欢彭于晏！            
(3星)	 我就是去看胡歌的            
(5星)	 因为这剧迷上了杨家将的故事 一门忠烈            
(5星)	 一部渐入佳境的电视剧；胡歌那个帅啊，(*^__^*) 嘻嘻……；彭于晏真是个可爱的小孩子，很喜欢；不太喜欢五郎；有笑有泪的一部电视剧，值得一看~            
(3星)	 三天看完了。。。            
(3星)	 三星都给我胡歌            
(4星)	 一颗星胡歌，一颗星刘诗诗，一颗星何润东，一颗星最后的感动。            
(4星)	 七郎最后被万箭穿心，555那个心痛……            
(4星)	 大情大義，蠻豪氣的電視劇~帥哥好多好多啊~~~            
(4星)	 胡歌 彭于晏 ..还有童年在爷爷奶奶看《杨家女将》那个怀念            
(3星)	 萌彭于晏            
(4星)	 这是早已注定的结局，可谁又能想到过程会是如此的悲壮，要是早就知晓一切，他们还会不会就这样义无反顾的去赴死，谁能阻止少年武士赴死呢，他们听不到，他们听不到，斗士的剑一挥出，必会听到战败者的哀嚎。            
(5星)	 每部杨家将都很出彩            
(NA)	 很好的一部电视剧 老袁演的反派比主角们出彩太多了！            
(4星)	 大爱耶律斜...胡子袁..不错啊..很有男人味..            
(4星)	 一个集聚了一片帅哥的剧            
(5星)	 男卡司很强大，女卡司刘诗诗很强大。唐人就是牛逼闪闪啊。            
(2星)	 大白天穿黑色夜行衣  还是看不下去啊            
(3星)	 无法理解那个什么杨几郎和耶律斜都喜欢同一个普通没姿色的女人            
(4星)	 到最后都不忍心看下去了T T            
(5星)	 这是我最爱的电视剧之一，看一次心痛一次，喜欢耶律斜，5,6，7郎            
(4星)	 冲何润东，从11集开始看的。。。看到最后哭了            
(5星)	 很早之前就看过了，很喜欢            
(4星)	 最近看到过的不错的一部古装~不知道是因为太过空虚还是太过忙碌，反正就在最最难熬的日子里，沉沦了~彻彻底底地体验到了花痴反派plus配角的内伤~~~            
(4星)	 七子去，一子还==配着歌，我就泪奔了            
(5星)	 太多帥哥了， 沒辦法不看。。。。最愛eddie的老七， 和耶律斜， 可惜女的只有劉詩詩是美的差點忘了八妹了。。。除了劉詩詩， 就她最美            
(5星)	 当初看这片的时候是13岁，看几遍哭几遍 这片拍的不错            
(5星)	 巨好看好吧~            
(5星)	 容易花痴  容易泪奔            
(4星)	 唐人出品。就是这样的作品让人对唐人一直有好感。            
(5星)	 非常棒的一套劇，很少BUG，而且很好看！！！            
(3星)	 杨家将呀，帅哥一堆。            
(5星)	 5颗星给俺家野驴哥和66啊……私以为老胡最美貌的还是逍遥和66……以及。。。马大哥！！！            
(3星)	 尼瑪當年姐高三，被這部挫劇戳爆了淚腺，捶！            
(4星)	 我承认我以貌取人了~这剧很养眼~            
(4星)	 太悲壮了……后面几集哭死我了……            
(NA)	 剧情不够，人物凑。这部剧就是最好的诠释吧！除了何润东，胡歌彭于晏都是偶心水的演员，还有史上最帅大反派-耶律斜，吼吼！            
(3星)	 偶像剧就得这么来            
(4星)	 啊~~~讨厌悲剧啊~~~            
(4星)	 那时候超级爱看呐……            
(4星)	 唐人的片子普遍走的是花痴+虐爱路线，不过我就是爱，而且通常在配角中找到我的菜，这部当然是耶律斜，可惜关红不美貌！            
(3星)	 前面30集为官二代京城斗争史。后面挺好。            
(4星)	 袁爷真是萌翻了            
(5星)	 被感动到了            
(4星)	 前面不行，后半部拍得不错。杨门忠烈的故事真是百看不厌啊            
(5星)	 好残忍的结局啊啊啊啊啊            
(5星)	 最爱耶律斜。            
(3星)	 恩，看帅哥的，但是好搞笑在皇帝面前居然说：“我杨大郎。。。”笑死人了，爹娘没娶名字吗？不知是导演安排的还是演员无知            
(3星)	 我怎么觉得虎头蛇尾…… 拍完了么……            
(3星)	 我最喜欢的是杨七郎，但是他死的最惨，所以我一般杨家将我看到杨七郎死就不看了            
(4星)	 荡气回肠的故事。。。            
(4星)	 热血沸腾！！！前面托了些            
(4星)	 记得曾经某个夏天一度很沉迷~            
(5星)	 。。。颜控飘过。。            
(4星)	 看完。。。什么鸟结尾啊！！摔！！38 39 好虐TAT            
(4星)	 很喜欢那个小8妹阿            
(4星)	 好吧，这样的家庭确实值得敬佩            
(5星)	 连看很多遍，都是因为可爱的彭于晏。            
(5星)	 一个大星星给斜斜~            
(4星)	 胡歌！！彭于晏！！！            
(5星)	 色调超有爱！情深意长，荡气回肠！！！            
(3星)	 彭于晏那对挺萌~            
(5星)	 这部我真的看哭了啊             
(4星)	 太喜欢杨家将了啊~~~~~            
(NA)	 女主一个个都不给力            
(5星)	   最爱杨家枪法,更爱精忠报国.            
(5星)	 接档仙剑三看的 冲着胡歌 彭于晏去的 结果被袁弘秒到             
(5星)	 為那些死去的1237郎我狠狠哭了幾晚,為7郎的愛情 5顆星!            
(4星)	 耶律斜。不解释            
(4星)	 唐人的衣服呀            
(5星)	 唯一一部看到撕心裂肺嚎啕大哭的电视剧，我妈说她再也不想看第二遍不想重温这痛的绝望。            
(3星)	 因为林家宇我实在是看不下去了，演员那么多，为什么要找她？为什么！            
(5星)	 虽然bug啊、温情到有些矫情啊、模式化啊都是存在的，但仍是最爱的唐人剧没有之一。另外虽然剧中女性不惊艳，但是都不是庸脂俗粉。            
(5星)	 帅哥多成堆 帅哥死翘翘            
(4星)	 喜欢郡主            
(3星)	 七郎啊~七郎            
(NA)	 一个比一个死的惨            
(3星)	 八妹很萌哦            
(4星)	 全是帅哥            
(4星)	 几点：七郎死得最悲壮，潘佞臣死得太没趣；要么死丈夫，要么见不到丈夫活人，要么见不到丈夫尸体，结局啊结局            
(4星)	 够多，够帅……            
(3星)	 我的外族人            
(4星)	 当年觉得很帅的那个原来就是彭于晏啊＝ ＝            
(NA)	 不错的电视剧，喜欢李国立的武侠风格            
(4星)	 演员选的很好！            
(5星)	 每次看都热泪盈眶~~~            
(5星)	 耶律斜~男人理当如此~！            
(3星)	 虽然是胡歌老大演的，但是真的不怎么好看  - -  完全靠几张脸撑起来的 八妹那个小演员还不错 但是女猪脚 不喜欢呀 难看            
(4星)	 这些女主角基本坏了一锅粥= =            
(4星)	 以前看过，很喜欢~            
(4星)	 前面的剧情太过拖沓了，特别是竟然还有寻宝之类神马的。不过最后几集很精华，最终融入了悲剧的元素才显得完美。            
(3星)	 七郎~~~            
(4星)	 为了看七郎啊，我的七郎。。。            
(2星)	 还是看完了            
(4星)	 帅哥美女众多，只可惜最后死的死散的散。。杨家将的题材就算再青春也终究敌不过历史。。            
(3星)	 我太无聊了            
(4星)	 唐人的好吧。。。。帅锅很多。额。。。彭于晏的老七也死得太。。。惨了。。。。            
(5星)	 一口气连看完结  看到金沙滩一战 杨家将死的死 伤的伤 眼泪就止不住了            
(3星)	 只有金沙滩前后几集比较好看            
(5星)	 看得老娘都哭了，最受不了这种满门忠烈，父慈子孝的剧情，何况还是一出偶像剧。杨四郎是欧辰那货，小彭很萌。            
(4星)	 想当年,看的时候七郎死的时候我哭的稀里哗啦            
(5星)	 演员很赞！！个个喜欢。。老戏骨也都很灵啊！！@Home            
(4星)	 近年来武侠迎来偶像化时代~~其实也蛮好的。金沙滩一役，姐不能免俗地也哭得稀里哗啦的。嗷嗷嗷~~~            
(3星)	 衣服 唉            
(NA)	 原本是奔着明星阵容去看的，杨家军片子也看多了，可看到杨家郎们决战金沙滩时还是仍不住飙泪....一天就把它看完了，胡歌（六郎）和彭于晏（七郎）不是一般的搞笑，何润东（四郎）和陈龙（五郎）也很帅呐！P.S. 主题曲配杨家决战沙场时很有气势，也很催泪...            
(4星)	 那必须是很喜欢的片子啊。            
(4星)	 超爱！            
(4星)	 还行，大爱peter和于晏。。。            
(4星)	 诀别诗两三行，谁来为我黄泉路上唱            
(5星)	 灰常感人            
(4星)	 只为耶律斜            
(4星)	 當初也不知道為什么去看這部劇,看了就覺得看對了,很喜歡楊七郎,但結侷很心痛......            
(4星)	 帅哥暴多，仅供花痴之用。记得某经典路人段子就是取材于此，老何是路老爷，老胡是美人版十六，小彭是平凡版十六，八妹那个超萌小loli是女装老爷，选的真是好啊。此剧绝对是经典的素材片啊。不过本身情节很幼稚，骗骗小孩的，把野史yy的七七八八，结局也很雷，但当中有几集还是有些精彩的~            
(4星)	 喜欢四郎五郎和七郎~~            
(NA)	 阿门 金沙滩那段实在不忍心看            
(4星)	 我最爱的四郎和七郎啊~ 我爱你们啊            
(4星)	 很久以前看的            
(5星)	 唐人拍的最棒的电视剧，从剧情到各演员，都很赞，杨四郎和杨七郎最吸引人            
(3星)	 没看全，冲着胡歌去的            
(5星)	 唯一一部放眼全是帅哥的剧 想起来就冒星星            
(4星)	 好看~            
(5星)	 帅哥云集啊！！！看的我心动不已。。。。只是结局好难过啊～有很多人值得深爱，我现在明白：只有“自私”的爱才是深爱。            
(5星)	 最爱的电视剧之一。太经典了，看一次哭一次。            
(3星)	 好多美男子。            
(4星)	 帅哥成堆            
(4星)	 虽然故事有杜撰 剧本更是添有不少色彩 但不得不说 我还是被杨家将的血性男儿 杨家将的精神所感动与折服 愿来世你们不再诀别            
(5星)	 说实话，如何把握杨四郎，真的是一个很让人纠结的问题，不能演的太用力，也不能不用力！电视剧里面的杨四郎，有一种瓦全的心疼！老天果然不后代他，老天要怜惜他的话，就会让他和父亲，兄弟一起死在金沙滩.....多年之后，杨四郎若想起家中老母，爱人，兄弟，惨死的父亲，手足，那时的他....            
(3星)	 算是唐人编的不错的一部电视剧了。            
(4星)	 当时那耶律斜把我迷得啊            
(4星)	 七郎死的时候我老么老么老么难过了~~~不知道为什么突然想到杨宗保...            
(5星)	 男人戲            
