http://movie.douban.com/subject/2240665/	枪神
(3星)	 还和好友编过续呢,呵呵~            
(4星)	 那时候还挺喜欢吕颂贤的  印象最深的是女孩的名字  叫敖明  很帅啊            
(NA)	 第一部有印象的香港连续剧。万绮雯好像是个杀手，帅呆了。            
(4星)	 回忆            
(5星)	 就算当时年纪小。。。。            
(3星)	 万绮雯的身材一级棒！            
(4星)	 啊!!!!!            
(3星)	 吕颂贤太帅了            
(2星)	 记不住多少了            
(4星)	 片子十年前抽屉翻出来的，就看了。不过昨晚才把最后两集补上，当时少了最后两碟。            
(5星)	 这两天重温经典，万绮雯的演技真的很不错！            
(4星)	 我小时候最爱看的就是这个了！            
(4星)	 有我那时最喜欢的吕颂贤和万绮雯            
(NA)	 记忆中最早看过的港剧，吕颂贤很帅~            
(4星)	 小时候很喜欢看            
(NA)	 万绮雯很漂亮            
(4星)	 雯姐当年超级有型的哦！！！            
(4星)	 重看一遍才发现吕颂贤的人物设定和《城市猎人》的冴羽獠一样，连音乐都是借用的87年的剧场版。不过吕颂贤和万绮雯好配的哦~~            
(4星)	 小学时候看的，当时迷得不行……！            
(4星)	 吕颂贤最帅的片子。            
(5星)	 万绮雯&amp;吕颂贤曾经超迷恋~            
(4星)	 子弹打子弹            
(4星)	 帅得一塌糊涂！！！            
(NA)	 当时迷死了！耍枪耍得那么帅！回想起来一直以为男主角是温兆伦，现在一查才知道是吕颂贤，无语~~            
(NA)	 枪法好厉害的！            
(3星)	 小时候肯定看过，但是只剩下星星点点了。重温得好开心。那时候的警匪片和武侠片几乎无界限。            
(4星)	 男女主角我都喜欢            
(4星)	 看了第一集我觉悟了，小时候迷过的剧呀，印象深刻的子弹碰子弹……            
(4星)	 记得很小的时候看的片子了，在舅舅家的黑白电视机上看的。            
(4星)	 小时候超喜欢的，还记得吕颂贤手背到背后开枪的动作！！！！            
(4星)	 哈哈 我还记得。。。最后一个人拿了个火箭筒好像            
(4星)	 现在看来真的好傻...            
(NA)	 当时觉得很NB,万绮雯很漂亮            
(4星)	 那时候的他们好年轻哦，那时候的剧好那啥哦……            
(1星)	 一滩狗屎            
(5星)	 我爱吕少+万绮雯            
(NA)	 万绮雯和吕颂贤都是我喜欢的             
(5星)	 小时候最喜欢的一部枪战剧，爱死吕颂贤和文文了！！            
(5星)	 很好的舊電視劇。殺手和警察的故事，雖然看似老套，但情節很好玩，演員的表現都很給力。我喜歡            
(5星)	 很多年前看的这部片子，当时是想着法子偷看。。。吕颂贤果真是和万绮雯最搭。。。            
(5星)	 年轻就是还哈哈~以前的ATV还是很经典滴~            
(4星)	 早期TVB启蒙            
(3星)	 一直不太喜欢吕颂贤            
(NA)	 记忆中万绮雯最美的时刻            
(4星)	 小时候看的片子，不知道为什么印象深刻            
(3星)	 挺扯的，可我大爱万绮雯，大爱敖明，莫奈何啊！            
(5星)	 让童年的我对枪有了个认识...            
(4星)	 肯定没看完过，只是太喜欢这对            
(4星)	 雯雯的代表作            
(NA)	 气质压倒容貌            
(5星)	 我一直以为这剧是我的幻觉……结果真的有＝ ＝            
(4星)	 那时觉得片子很好看！不过貌似我也就看过那么一遍。那时就觉得吕颂贤很帅，可惜一直没变成一线的啊。            
(4星)	 就是幼稚了点，太牵强了，要不是万绮雯我根本不会给四星            
(4星)	 记忆中的~~            
(5星)	 万绮雯真漂亮~很怀旧的一部连续剧,剧情很搞笑~~            
(5星)	 记忆，，            
(3星)	 小时候好像看的还蛮起劲的，要命的是男主角只会飞枪 哈哈            
(3星)	 刚开始的枪技很炫。后面就不行了。            
(5星)	 万绮雯和吕颂贤，有一阵子很迷他们两个            
(4星)	 一直纠结小明到底死了没            
(NA)	 喜欢万MM            
(3星)	 当年看了这部片 买了玩具枪 买了露指手套 自我陶醉了N久            
(5星)	 每天都追着看，剧情紧凑又很搞笑            
(5星)	 遥远的记忆。那时候的吕颂贤和万绮雯多美好。            
(4星)	 很经典,那个时候中午赶着看呢            
(4星)	 没事动来动去的能躲子弹，估计我这做不住的毛病打这来的……            
(4星)	 挺喜欢那个剧情            
(NA)	 雯雯在里面稍有点胖 但是身材依然高挑 不愧是长腿美女            
(NA)	 吕颂贤最帅的时刻了            
(5星)	 超好看的！            
(NA)	 新的杀手表象            
(3星)	 已经差不多忘记里的剧情了，只记得跟枪有关。            
(5星)	 小时后看的 吕颂贤很讨人喜欢            
(NA)	 警察与杀手的爱情故事            
