http://movie.douban.com/subject/6110548/	对我说谎试试 내게 거짓말을 해봐
(3星)	 姜志焕越看越极品吖。摇可乐的那段那动作，我都笑疯了。可惜后面剧情不咋地。拖泥带水的。看不下去。11集看一半后直接看结局。抱在一起说要结婚。over。。。看看姜志焕还真不错，去看快刀洪吉童去咯~~            
(4星)	 每次看韩剧又开始相信爱情了            
(5星)	 恩宝的戏，五星没有疑问。话说这部的姜GG很有型，不算第一眼帅哥，但是相当有气质。希望能有戏外情，中毒。            
(5星)	 好喜欢这个男猪脚，摒弃了韩剧一贯的花美男，是个很有男人味的角色，喜欢！            
(3星)	 看咖啡屋子,认识了这个男人,看此剧只为看他的眼神            
(1星)	 剧情实在太脑残。你妹的，脑残到觉得尹恩惠很做作了=  =！而且我真他妈的不能明白，都2011年了，女主的脸还能给化成大油脸？！            
(NA)	 尹恩惠顿时胖了            
(2星)	 男一号不错，尹恩惠演技直线下降越来越俗，男二号突然穿得很土鳖……看了十多集才发现柳小兰才是这部剧最大且唯一的亮点。            
(3星)	 越后面越难看。男女2很烦。男女1很美很MAN            
(4星)	 前面几集还不错。结尾烂。编剧脑残吧。            
(3星)	 小兰这个角色的设定很萌啊，傲娇又女王            
(4星)	 开头有的那一部分感觉好熟悉哦，感觉有些一般，但是比较喜欢男主，都是当初看金顺加油留下的好印象。            
(3星)	 比起正太我更喜欢 大叔            
(3星)	 本来冲着女主角恩惠去的，结果女主角戏中的表现让我少少失望了，还好的是，姜志焕还是挺帅~~剧情某些部分很是牵强，剧情也很烂，没有那种强烈想继续看下去的感觉。 不过，不打扰我继续追下去，是打发时间的一个好东西，喜欢善始善终。看到美美的景还有美美的人，心情也是美美的~            
(4星)	 很好看  哈哈 喜欢大团圆结局  喜欢单纯执着的爱情            
(4星)	 尹恩惠可爱~            
(4星)	 看姜越来越对眼            
(3星)	None
(5星)	 哈哈很好看~~            
(1星)	 越看下去越烂的片，到中间实在看不下去了，难得弃剧。姜志焕你能不能不要这么假，声音假就算了，也许是天生的，可尼玛的动作也忒做作了吧            
(4星)	 我居然被大叔吸引            
(NA)	 上哪儿去找两个中文说的那么蹩脚的来啊            
(4星)	 尹恩惠很胖            
(2星)	 各種狗血橋段結集號            
(NA)	 弃            
(NA)	 弃，失望。男猪脚就没有帅的吗？！等城市猎人            
(3星)	 又跟我妈看了部韩剧= =            
(4星)	 我就是喜欢这种没营养的轻松不虐的浪漫喜剧哈哈哈！            
(4星)	 有点虎头蛇尾吧，前半部分还蛮吸引人的，到俩人确立关系之后的系就没有想追的欲望了，不过还是看完了。姜志焕好有型呢，演的很有喜感；恩惠的鞋子和衣服包包都超美呢。淘宝上N多山寨这部剧的东西，可惜没有银子……我妈竟然说男二长的像我（我是女生），可惜戏份好少呢。            
(3星)	 第六弃            
(1星)	 極差……  = =            
(3星)	 偶像剧放那么不偶像的男主，情何以堪，我喜欢女二和男二，尽管演技不怎么样            
(5星)	 求如此可爱的老男人 !!!!            
(3星)	 结尾没讲清楚，弟弟画了个女主就结束相思了= =。。。尹恩惠面相显老了点            
(3星)	 要不是因为尹恩惠根本看不下去 男主好像周杰            
(3星)	 刘小兰才是主角吧！！！太出彩了！！！小助理好萌啊！！！小受样！！！！            
(3星)	 因為尹恩惠才追 色長冷冷淡淡的時候還是比較好看的 後來換了編劇就純愛了 一直追著小公務員像話嗎            
(1星)	 韩剧越来越无聊了            
(4星)	 姜志焕还凑合看，男二太丑            
(3星)	 弃····我总是比较喜欢男二==······这次女二也是····你们到底上哪搞出这么烂的剧本==            
(1星)	 7集弃。尹恩惠就不能把衣服好好穿好别像挂在身上吗。主要还是受不了个性怪异的男主社长，编剧写坏人物了，何况情节。            
(4星)	 居然有我喜欢的韩剧。。。            
(4星)	 尹恩惠的演技沒話説！ 很喜歡他！！            
(3星)	 吻戏太多。。。而且咋就莫名其妙互相喜欢上了麽！！我还是角的男二和女二正常点。。。            
(2星)	 尹恩惠的发型弄得跟鬼似的，尹和姜志焕都有点表演过度（韩剧通病），剧情实在太渣，就算是看演员也不容易看下去。拜托剧组能不能多给点钱给编剧啊，这比以前一顿饭吃两集的韩剧还要无聊。另外，看这剧能笑得起来的绝对是笑点太低。            
(1星)	 8集弃。            
(1星)	 剧本已经这样了，结果男一号还长成那样了            
(3星)	 打发时间算好玩            
(2星)	 编剧脑子已经乱了。。            
(3星)	 结局太仓促            
(3星)	 完全靠恩惠噢尼一个人撑起来啊，美丽高挑又可爱。姜志焕个水肿脸，实在难以看习惯。            
(3星)	 烂尾            
(5星)	 这应该算是继《豪杰春香》之后最又一部非常喜爱的韩剧了！            
(2星)	 这种垃圾剧本，就是冲着尹恩惠也看不下去了……            
(3星)	 一般吧  还没有晋江的小说好看            
(5星)	 力荐是因为男猪脚完全是我的type，而且猪脚给我的感觉和我认识的内裤叔叔很像，哈哈，我不公正了。            
(3星)	None
(3星)	 好烂的尾啊、、、最后仿下一站，说爱你。送快递那里。肿么那么别扭。。。哎~~~~~            
(3星)	 男主好帅，不像棒子            
(4星)	 三角恋啊。。。尹恩惠感觉演技有点下降啊。。不过还是蛮搞笑的轻喜剧。。。            
(4星)	 看着瞎乐挺好            
(5星)	None
(3星)	 感觉角色不太适合尹恩惠，但她还是很赏心悦目的。姜志焕虽然娘了些，但也还是挺诱人的。            
(2星)	 最终还是看完了，我是太闲了。。            
(4星)	 还是挺好看滴~看着感觉轻松            
(3星)	 妈的，居然就那么大结局了。不觉得内容十分无比特别空洞么！？！？            
(1星)	 为毛我觉得女主是个自作多情而且心机很重的女银！！！            
(5星)	 我爱尹恩惠！！╮(╯▽╰)╭这理尹恩惠的服装。剧情和男主的都不错。真的都挺好。            
(NA)	 。。。。。。            
(4星)	 美满结局，我喜欢~            
(3星)	 冲着姜志焕来看的,剧情人物没有心意，但是很搞笑！            
(3星)	 男猪脚比我想的质感好多了 - 尹恩惠老样子 - 好像就那样 - 看49天后 这挺老套的            
(5星)	 起初是因为尹恩惠才追此剧 看到第六集发现有夏天里爱情甜蜜的味道 光这点就足够我继续追了            
(3星)	 越看越没劲- -b            
(3星)	 我的女孩+秘密花园升级版。            
(3星)	 难道只有我一个人觉着男二号特别像汤唯吗？？？？？？            
(4星)	 虽然中途换了编剧，虽然一开始不看好志焕大叔，但是夏天，海边，爱情什么的还是超级sweet，看了超想恋爱有木有            
(3星)	 不能接受男主角又是扭腰又是扭屁股的 大男子主义有很多表达方式 不必john啊！！剧本吐槽无力 浪费了。            
(NA)	 一部不错的韩剧，诙谐幽默，不失温情，推荐一下……            
(3星)	 韩剧，一般都是那个套路。话说，这个男主真心觉得算不上很帅……            
(2星)	 ==|||            
(5星)	 好喜欢伊恩惠的            
(NA)	 好喜欢他们两个。。。。            
(3星)	 治愈系~            
(4星)	 其实我觉得这部剧并不像大家评论的那么差 真的            
(3星)	 尹恩惠的造型真是好看啊好看啊好看啊            
(3星)	 看到第六集，不想看了。剧情嘛又拖沓。不过越来越喜欢尹恩惠了。            
(3星)	None
(2星)	 看不下去了。。。。。            
(5星)	 毕业三年基本上没看过韩剧，还是喜欢那种浪漫唯美温暖的感觉，还有和好朋友一起观看的心情，虽然现在我们不再是一起靠在宿舍的床上看，而是各自面对电脑，通过QQ谈论，依然很开心            
(4星)	 搞笑、浪漫、感动            
(4星)	 谎言，往往隐藏着比事实更炙热的真相。            
(4星)	 2011.07.28 嗯，像夏天的白T、七分淡蓝牛仔裤以及彩色帆布鞋一样，自然舒服。对唱lovin ice cream很甜蜜，和剧一样。            
(3星)	 哇，你确实比我坚强，我尼玛看到第5集就看不下克了，你竟然看到12集=。=            
(3星)	 冲着尹恩惠才看的，但拖拖拉拉的看到第十二集实在是看不下去了，好痛苦。            
(5星)	 挺好看的，演员也喜欢，但内容主线有金三顺的感觉            
(NA)	 恩惠接的剧水准越来越低了            
(1星)	 剧本太老套了，各方面无亮点。男一演技又很差，男二的戏份可完全删除，在本剧中可有可无。            
(3星)	 最后结婚不就行了吗。 还搞一堆事情。 韩剧很拖沓，但是无疑制作精良。 相比国内.... ╮(╯▽╰)╭   好太多。            
(3星)	 男二万年不变最辛酸            
(4星)	 笑疯掉了            
(3星)	 这两个人我都喜欢啊！！！~~但是我总是还是太执着，更喜欢在金顺里的姜志焕            
(4星)	 虽然剧情有点像《巴黎恋人》，不过我还是很喜欢，有被感动~            
(3星)	 尹恩惠果然跳不出类似角色的老套路啊,男二号是新模特么还满帅的.至于片子嘛,烂尾了= = 姜志焕果然很娘泡呢╮(╯_╰)╭            
(4星)	 东方人的思维很奇怪哦~照这样说，威廉王子不会跟那个王妃结婚的啊。我觉得还是威廉王子夫妇好~pia~            
(4星)	 好喜欢            
(3星)	 太可怕了。韩国的编剧是地球无敌的，里面的人都二的脑子像给踢扁了一样，看在男二小帅哥的份上加一星，弟弟我看好你哦！            
(3星)	 哼~            
(2星)	 就前半段能看看。越到后面越看不下去了。女二号就不能找个好看点的？？还有男二号戏份也太少了。连小兰的老公戏份都比他多。其实真正的女二号是小兰，男二号是小兰老公吧 。            
(3星)	 男主应该和眼镜儿小秘书在一起！！            
(2星)	 一路看着尹恩惠从演高中生开始到现在演剩女            
(NA)	 韩剧的人设基本上都是这样的：女一傻逼 男一装逼 女二贱逼 男二苦逼 不逼死你不罢休！            
(4星)	 我还是吃这一套0.0            
(3星)	 男1男2都太丑了吧。。。= =            
(2星)	 不好看呀不好看，编剧烂呀编剧烂，话说男二的演技也真够差的，生硬别扭至极！            
(1星)	 狗血的台湾小言剧本。。。            
(2星)	 烂编剧·。。。            
(3星)	 看不下去了啊            
(1星)	  看了几集，实在看不下去了！             
(4星)	    一看韩剧就揪心。快点完结啦。            
(2星)	 准备弃            
(5星)	 为什么我要开始看啊啊啊啊啊啊，一周两集，我要疯啦啦啦啦啦啦…每天都把原来的重新看几遍啊啊啊啊啊            
(1星)	 男猪的声音跟颜真是一点都不配，尹恩惠的妆全部都浮在脸上了。。。            
(3星)	 后面四集拖拖踏踏的降低了全剧评分=-= 周边小物挺喜欢的，手机绳神马的，手袋神马的。。。            
(NA)	 我是冲着尹恩惠的新发型~~~~~~~男一号二号让外协好失望！            
(NA)	 我心目中被城市猎人比下去了            
(3星)	 要不要丢掉麦克风就开始kiss啊，啧啧。。 btw剧情无聊到家儿了            
(NA)	 我觉得尹恩惠长得很漂亮。另外编剧是屎啊，剧情太莫名其妙了！            
(2星)	 俗到死的剧本 烂到死的演技 蠢到死的女主 丑到死的男1男2 所有的一切就是偶像剧的白烂桥段大集锦 太难看了            
(3星)	 就是因为有尹恩惠才看的            
(4星)	 恩。这种没营养的喜剧片只要看的开心就ok。话说只要不是男主太丑太傻恩惠姐姐的戏都能看的            
(3星)	 姜志焕属于忽帅忽丑型的~尹恩惠从出道到现在所有作品都是大同小异 没点儿特色~            
(NA)	 奔著尹恩惠看了7集，實在實在看不下去了……棄。            
(NA)	 第一部就充满了傻帽的泡菜自恋情结....            
(NA)	 pass            
(NA)	 男主真的不好看            
(2星)	 一般~            
(4星)	 好可爱O(∩_∩)O            
(3星)	 ♪(´ε｀ )            
(2星)	 6弃，剧情不怎么样，喜欢演员也没用~            
(3星)	 5集弃。冲姜志焕看来着，结果演了个一本正经的角色，我要看你搞笑啊！！            
(3星)	 。。。到底是誰給了姜志焕此等的自信让他觉得自己帅的乱七八糟的            
(5星)	 Sweet Sweet Sweet~*            
(3星)	 男主精神分裂啊！编剧换不得，烂尾了，三星半            
(1星)	 劇情太無聊了，感情戲肉麻兮兮，就不會鋪陳一下喔            
(NA)	 弃了            
(4星)	 为毛喜欢不起来= =。。。            
(2星)	 尹恩惠自《咖啡王子一号店》之后再无拿得出手的作品，失望            
(NA)	 弃了吧            
(4星)	 结局有点肌无力~            
(2星)	 越看越无聊..弃            
(3星)	 凑合看了一下下！            
(3星)	 弃            
(5星)	 当我对这个世界绝望的时候，就会三俗的女吊丝一般的看一部韩剧。无语女二的圣洁小清新。            
(5星)	 很温情，很喜欢男猪脚搞笑的那一面，尤其是摇可乐的那段啊，超级搞笑            
(3星)	 尹恩惠戏路好似变窄了            
(3星)	 我居然还是看了....嗯..男女主角在一起非常快所以我很高兴!其他的..没有了~            
(4星)	 讲述了大韩民国最高贵族（姜至奂）和大韩民国最荒诞的20岁单身女（尹恩惠），由于一个荒唐透顶的谎言而被卷入到甜蜜和冲突的结婚绯闻中的故事。            
(NA)	 【2011-05-09】            
(NA)	 。。。我竟然把它看完了。。。            
(3星)	 在制作漫无边际虚头虚脑啥呼啦啦的爱情片上韩国已经确凿到炉火纯青的地步，他们的老套和潜孔一面的表演方式已经成为一种千古不化的磨具，似乎编剧随口一句都是串联浪漫要死的情景。但这种口味似乎很难迎合大众的口味了，毕竟白痴当久也会累。            
(5星)	 男女主角都是我喜欢的演员，剧情也不错。            
(NA)	 助理好萌            
(2星)	 边写论文边端锅看棒子剧什么的最宅女了~            
(4星)	 前面比较好看            
(3星)	None
(4星)	 俺真心很喜欢那个小秘书，可爱死了~            
(3星)	 http://tv.sohu.com/s2011/lietome/【我不是想结婚，我只是想成为结了婚的那个人】看完９集果断弃，主角们的发型都变了……韩剧完全就是虎头蛇尾的东西，不耐看。            
(NA)	 尹恩惠能带上脑子接戏么            
(1星)	 兄弟恋被n个姑娘插足什么的。。。            
