http://movie.douban.com/subject/2208933/	武则天
(NA)	 觉得女主角演得不够自然            
(NA)	 更喜欢台湾版的武则天            
(3星)	 最近想起里面是有女同的，并且全无美感。            
(4星)	 刘晓庆            
(NA)	 武则天            
(3星)	 小時候和保姆一起看的            
(5星)	 我依然觉得很经典            
(4星)	 化妆术了得啊。。            
(3星)	 当年那个武媚娘啊            
(5星)	 小时候的有一个经典啊            
(NA)	 刘晓庆还是很有霸气的            
(4星)	 感业寺那几集印象比较深……O_O            
(3星)	 迄今为止，刘晓庆版的武则天最合我意            
(3星)	 还是不喜欢刘晓庆            
(4星)	 刘晓庆很牛，年龄跨度大得了~            
(4星)	 此剧让刘晓庆更火，并成就了毛戈平。            
(4星)	 小学时的记忆啊。很黄很暴力。            
(5星)	 小时候觉得很好看            
(5星)	 这是我看过最好的武则天电视剧。            
(3星)	 刘晓庆演的武则天已经成为又一经典形象了=。=             
(4星)	 刘晓庆当年其实不错的            
(5星)	 想起当时念小学一年级，冷冷的冬季的重庆的晚上，我一个人坐在沙发上，看着四川台色调昏暗冷凄的《武则天》，不敢动，不敢换频道，心里充满惊恐与悲凉。            
(3星)	 服饰，化妆。            
(5星)	 去他娘的三从四德，从一而终，不得干政！            
(5星)	 近日又重温一遍。那个年代的片子从演员到服饰道具真的精良细致有味道啊，刘阿姨演技没话说，上官婉儿简直是我的女神啊！            
(5星)	 陆陆续续看了好多遍，不过完整看下来还是08年在北京上学的时候，大家每天晚上按时围在电视机前，看完还一番讨论，好怀念那个时候啊！            
(5星)	 刘晓庆装嫩之作，但是她上妆真的非常漂亮            
(NA)	 小时候看过的             
(5星)	 最喜欢的版本            
(NA)	 刘奶奶返老还童记            
(4星)	 服了刘晓庆同学，这演技            
(3星)	 MD,只记得当年插播的TCL的广告了~            
(NA)	 跟着俺娘看di~            
(4星)	 小学时代，与外婆。            
(4星)	 那时刘晓庆还挺漂亮            
(4星)	 很美~            
(NA)	 记得一个在合肥的暧昧的夜晚            
(NA)	 小时候我觉得刘晓庆很漂亮            
(5星)	 你可以从中看到很多很多，很多很多。            
(NA)	 当年的美女气场都如此大。。。林青霞等如是，连刘大妈也曾经。。。            
(3星)	 看到武则天在尼姑庵被骚扰的时候，感觉怪怪的，maybe是我第一次朦胧的知道女的也可以骚扰女的。。。            
(NA)	 囧。刘晓庆阿姨从17岁演到70岁……            
(3星)	 对刘晓庆无感            
(3星)	 年轻时勾搭男人保命，年老时勾搭男人回春，寂寞女皇武则天            
(5星)	 小时候的美好记忆吖……            
(4星)	 就记得刘晓庆了            
(4星)	 还有印象！            
(3星)	 刘晓庆            
(4星)	 那时候我多小啊，就接受女权主义教育了。            
(5星)	 刘晓庆巅峰之作            
(3星)	 总觉得刘阿姨就是演了这部片子才不服老成现在这个时尚潮女范儿的吧- =            
(4星)	 其实刘晓庆年轻时很漂亮很唐朝            
(NA)	 回头又重温了一遍            
(4星)	 我突然想重看了。。。这部片是害我近视的原因之一。            
(3星)	 还是老东西好哇            
(4星)	 刘晓庆大妈很红的时候 我真的有看哦              
(4星)	 大戏            
(3星)	 武媚娘...想当年晓庆姐还是嫩妹一个...            
(4星)	 发现小时候真的好喜欢看电视啊。            
(4星)	 经典哪。。            
(5星)	 至尊红颜~ 武则天！            
(4星)	 小时候就是看这啊            
(3星)	 我才多大。            
(NA)	 很小看的，大略知道了媚娘怎么变成武则天的            
(4星)	 就是此片讓當年幼小的我第一次知道了化妝的可怕            
(5星)	 制作精良啊无话可说            
(3星)	 还有拉拉的情节            
(4星)	 武则天是我的偶像！握拳！            
(3星)	 你。从18岁演到80岁，房后老陈太太说你可牛逼了～            
(5星)	 靠 这部剧超经典 里面的刘晓庆美歪了            
(4星)	 其他不说，刘晓庆的演技还是可以的            
(4星)	 小时候跟妈妈一起看            
(2星)	 不喜欢刘晓庆，尤其是有潘迎紫做对比。            
(5星)	 那时觉得刘晓庆也是真的很美。            
(3星)	 小时候看见皇后那下场。额。            
(3星)	 我妈很喜欢的剧集，我觉得很一般，因为我是男的            
(4星)	 美女如云，个个气质超群，上官婉儿真漂亮。            
(4星)	 天下之事 无不能不改            
(3星)	 红了毛戈平            
(4星)	 经典            
(5星)	 为什么康熙王朝有8.8，这连8都不到，喜欢看陈家林拍的唐宋历史剧，后来拍的明清历史剧真的不咋地，也许不是他个人能控制的            
(5星)	 很喜欢历史剧。当年的刘晓庆演得多么好啊。李娜的片尾曲也相当好听。            
(4星)	 这个经典的哦 一直把这个当传奇看的            
(3星)	 女皇~            
(3星)	 就是这部电视让我彻底记住武则天            
(3星)	 入宫是才人，她不是皇家根，一步一席一叩首...            
(4星)	 刘孃孃是不老的！！ = =            
(4星)	 经典的武则天            
(4星)	 这个女人果然非凡人            
(4星)	 喜欢那时候的刘晓庆            
(3星)	 记不太清了。。。            
(2星)	 已经忘了剧情            
(4星)	 我也26岁了，可却真的不如她。            
(4星)	 刘晓庆太强了~            
(5星)	 那时可是疯狂的喜欢~~~            
(5星)	 仅仅是小时候的记忆。            
(NA)	 小时候觉得武媚娘很美～～～            
(5星)	 真正的历史剧            
(NA)	 童年            
(4星)	 小时候每一集都认真看过的。惊刘晓庆为天人。            
(4星)	 童年和奶奶在一起的日子            
(1星)	 不太记得了。。            
(5星)	 只喜欢刘晓庆的武则天！            
(5星)	 女性的典范            
(4星)	 超级经典的...            
(5星)	 小时候看的片子，现在又下了。            
(5星)	 很有爱            
(4星)	 还行的            
(4星)	 还可以了。            
(4星)	 看完之后对刘晓庆的演技还是比较认可的            
(5星)	 刘晓庆的武则天才真正可信，最棒的武则天            
(NA)	 好古老 好像还在上小学时看的……            
(5星)	 机缘巧合下~碰到过这部电视的导演。。            
(NA)	 还比较耐看            
(4星)	 小时候穿着短裤跑到隔壁邻居家看的。            
(3星)	 刘晓庆……！！！            
(NA)	 一代女王            
(3星)	 虽然她演了三个角色 还是觉得不自然  一般吧            
(3星)	 美女很多            
(4星)	 很經典。說實話，雖然現在不喜歡劉曉慶了，但是，那時，她演得真的很好。            
(3星)	 我看过吗？应该……也许            
(4星)	 这个好像是小学时看的吧.            
(3星)	 记很久的主题歌。            
(4星)	 那个时候不知道唐朝以胖为美，总觉得刘晓庆的脸怎么是圆的呢？            
(NA)	 武则天            
(NA)	 N年前看的            
(4星)	 好多人因为不喜欢刘晓庆而不喜欢这片子吧？客观的来说，演的还不错            
(3星)	  刘晓庆             
(5星)	 小时候就放过的吧.            
(4星)	 化妆师很强大            
(4星)	 还比较经典，小时候看的了。            
(5星)	 经典            
(4星)	 演员阵容很强大            
(NA)	 从这个时候不喜欢刘晓庆            
(4星)	 很喜欢~~~~            
(3星)	 有陈宝国出演？不记得了            
(NA)	 我小时候很爱很爱的是这部么，我记得叫《一代女皇（武则天）》来着呢。。。小学时候可喜欢看了            
(4星)	 有赖斯情节我都没发现－　－            
(NA)	 一代女皇武则天            
(4星)	 小时候看的，都忘了。            
(3星)	 还不错了            
(5星)	  刘晓庆为你感到不值啊 何必跟国家过不去呢 钱对你就那么重要？            
(4星)	 唐代超级女强人            
(4星)	 就这么一位名副其实的女皇。            
(NA)	 刘晓庆装嫩啊。。。不过还行            
(NA)	 95年的化妆术就这么厉害了？            
(NA)	 这个要早了，呵呵，小学时候看的，o(∩_∩)o...            
(3星)	 剧情不怎么样，但是主题曲还是张口就来~哦~            
(4星)	 还慢喜欢的            
(4星)	 终究还是李家的媳妇。            
(3星)	 不记得了            
(4星)	 刘晓庆大妈，美人迟暮            
(4星)	 晓庆阿姨人品如何不多评论，这演技不是一般的好啊！            
(5星)	 所有看过的古装剧中，觉着刘晓庆是最惊艳最漂亮的，给出最高的评价也是因为这部剧承载了对儿时的美好回忆            
(4星)	 晓庆姐.....            
(4星)	 捧出毛戈平            
(NA)	 从那时知道武则天是个牛叉闪闪的女人            
(5星)	 小时候            
(5星)	 小时候觉得很惊艳！            
(NA)	 小時候的記憶啊。。             
(4星)	None
(3星)	 磕核桃。。。。。。。。。。。。            
(4星)	 李建群美人。。。。。。            
(4星)	 省略太多            
(4星)	 我从这部电视剧知道了“女同”这种东西……当丑尼姑把手放进武媚娘的衣服胸襟前后……我的世界观和人生观就此改变了……            
(4星)	 小时候不懂，但是很爱看。            
(3星)	 那个时代的古装剧至少是以历史为基准塑造形象 不靠投资宣传卖座 不靠塑造神级英雄讨好 古装剧最靓的卖相就是忠于历史            
(3星)	 刘晓庆啊，刘晓庆。。。            
(5星)	 虽然我不太喜欢刘晓庆，却不得不肯定她的演技，特别是演武则天，那是一级棒啊，无人可超越，可能潘迎紫除外。            
(4星)	 刘阿姨演武则天也是一绝了            
(4星)	 刘晓庆的鼎盛。            
(5星)	 武则天题材拍了那么多，这部最具历史真实感。武则天作为少女的妩媚多情，才女的诗情画意，帝王的雄才伟略，宏伟抱负，取舍无奈，老人的留恋青春和失势恐惧。            
(4星)	 刘晓庆的经典作品            
(3星)	 ~~            
(4星)	 远远胜过新版的。            
(3星)	 刘晓庆老强悍了            
(4星)	 小时候看的 很喜欢 哪天再看看             
(5星)	 服装和演技真心到位！            
(4星)	 当年觉得此女美若天仙……            
(5星)	 女人不狠，地位不稳呐            
(5星)	 经典。。只是画面有点模糊            
(5星)	 哎 现在的翻版无力吐槽。。。            
(4星)	 小时候看的，刘晓庆确实了得            
(5星)	 最好的一版~~！！            
(3星)	 当时议论最多的就是神奇的化妆术            
(5星)	 刘晓庆版的印象一直很深，美貌，才气，野心。            
(3星)	 现在看到刘大娘 都愁···            
(3星)	 终于看完了！果然老版好。            
(NA)	 比武则天秘史好看~            
(5星)	 这才是经典！！            
(4星)	 小时候除了玩就是看电视。            
(4星)	 和爹娘一起看的央视大片儿            
(NA)	 好吧。。刘晓庆的这个版本还是无法超越滴。。。除了画面老旧了些。。美中不足。。。            
(4星)	 很好            
(NA)	 还是这一版本好看            
(5星)	 历史正剧！            
(4星)	 那时候觉得刘晓庆演的超赞~            
(4星)	 那时少年各种剧~~~            
(5星)	 其实小庆阿姨演的武则天真的很好 这部剧从演员 化妆 服装 道具 都堪称经典 可是为什么这部剧的评分连潘迎紫的一代女皇不如  其实潘迎紫的武则天竟尽靠瞪眼睛甩衣尾来装霸气  哪有刘晓庆那股子自然流露的霸气好啊  有点小小的替这部剧感到不平  所以给五星表示支持            
(5星)	 小时候陪老妈看的，现在想来刘晓庆演再适合不过了            
(4星)	 就是无聊看了两集，童年时候完全没看过这个剧，当年40多岁的刘晓庆真是年轻又演技好，现在还是有点儿岁月不饶人了            
(5星)	 当年的刘晓庆，那真的是美艳俏皮的像朵花一样。现在。。哎。。。            
(4星)	 好多美人~宝叔的李治好可爱~            
(4星)	 刘晓庆的巅峰之作            
(3星)	 没印象，但是说起武则天。只能想起刘晓庆            
(4星)	 当年的刘晓庆真是美艳绝伦！            
(4星)	 当初晓庆姐也是个美人来着。。武则天真心美啊╮(╯▽╰)╭            
(5星)	 当年的佳作~            
(4星)	 武媚娘这个年龄跨度可猛了            
(NA)	 1995年            
(5星)	 刘晓庆太美了！            
(4星)	 毛葛平化妆还是挺牛的。            
(4星)	 不记得剧情了，当时很红的电视剧啊……            
(4星)	 这个武则天确实美啊            
(5星)	 女人要坚强            
(NA)	 刘晓庆也正常过的。婉儿好美            
(NA)	 、、、感觉n多部她的电视剧            
(4星)	 小时候            
(4星)	 記得在院子里一個姐姐家，眾人癡迷            
(4星)	 刘晓庆是为演武则天而生的            
(4星)	 我可否借鉴？            
(NA)	 刘晓庆那个时候真是嫩            
(4星)	 哈哈哈哈~不得不说这个武则天印象很深刻……            
(5星)	 该剧承载着我儿时美好的回忆与无尽的幻想~            
(4星)	 那会看都觉得超好看的呢！~\(^o^)/~            
(4星)	 我不喜欢刘晓庆。            
(NA)	 当时我就立志要当母仪天下的女子            
(4星)	 刘晓庆也是个传奇  演的不错            
(4星)	 那时的庆姐乃是无敌            
(3星)	 老妈最爱~            
(4星)	 刘晓庆那时候看起来蛮好看啊~            
(4星)	 前无古人后无来者的一部，刘晓庆真的无法超越。            
(5星)	 晓庆姐演技一流了，感业寺那段演得特别好，表现出了武媚如何从一个非常单纯痴情的小女孩，在残忍的凌辱、孤立、皇帝的无情中，变得逐渐成熟起来。没有人天生心机很重的，从迫不得已保护自己开始，一步步心狠起来。            
(NA)	 小时候觉得刘晓庆在这里面是真漂亮            
(4星)	 1995            
(4星)	 没有什么印象了。现在很讨厌刘晓庆，            
(NA)	 记不得了            
(5星)	 全世界拍的最好的关于武则天的电视剧，刘晓庆是唯一的人选            
(4星)	 回头看是对是错，自有人评说            
(4星)	 当年的刘晓庆，代言了武则天。            
(4星)	 刘晓庆版的还算可以，贾静雯那一版简直是垃圾。            
(NA)	 刘阿姨很牛            
(4星)	 當時看的時候就喜歡寶國叔的李治  癡癡的，還有那麼點兒可愛            
(NA)	 绝对的性启蒙电视剧            
(5星)	 毛戈平因为这部电视剧出了大名！但好像我小时候把这部当色情电视剧来看的~~还跟我姐自己在家演呢            
(NA)	 武则天是我偶像，真心的            
(3星)	 宫廷斗争太容易了，武后的对手都是弱智的感觉，⊙﹏⊙b汗            
(NA)	 小时候= =            
(3星)	 全家一起看。            
(5星)	 满屏美女，基本符合历史。武则天她姐和她侄女是全片最贱两女人。            
(NA)	 啊。。。。。            
(4星)	 当年看得很好            
(4星)	 经典的古装电视剧之一            
(3星)	 武媚娘驯马那段记得很深刻~            
(5星)	 我只能说太经典了            
(5星)	 小时候最喜欢看的电视剧之一。。我的古装和宫斗剧的启蒙片            
(3星)	 都记得不太清了，和新百同时期的，都有媚娘啊媚娘。。            
(5星)	 化妆很行！刘姐演技不错.......美女好多！演过一丈青的王皇后造型令人印象深刻            
(4星)	 惊叹于当时的化妆            
(3星)	 晓庆姐很有女王范的嘛            
(NA)	 这气场！！！！            
(3星)	 充满老学究气息的正剧。            
(5星)	 这部也很经典的，不错不错            
(4星)	 天真无邪的小女孩一步步成为全副盔甲的女强人的故事。            
(3星)	 刘晓庆的经典之作            
(5星)	 怎么想都好棒~            
(4星)	 小时候看的            
(4星)	 when I was young。。。当时觉得武则天真美。。或许某天可以补补这部电视剧。比至尊红颜好多了，虽然都是美女，不过这部更有营养吧。            
(4星)	 大事件基本贴近正史            
(5星)	 爱情阴谋论，不管对与否，总能强加于女人身上。尤其适用于一个女权主义者。刘晓庆对武则天的演绎九分到位，不过，终是逃不开历史，男人的眼眶            
(4星)	 刘晓庆还是很美得            
(4星)	 欲奏江南曲，贪封蓟北书            
(5星)	 晓庆阿姨是当年我最觉得最美的女人            
(NA)	 对主题曲记忆深刻            
(NA)	 看过一点            
(4星)	 经典武则天啊！那个时候刘晓庆还那么美……            
(4星)	 好像从头到尾看完了。。。那个少年时代对武则天的残忍，畏惧多一点            
(4星)	 很好奇，当年肉肉的李治怎么就变成了汉武大帝了……宝国大叔的演技啊            
(5星)	 超级美            
(4星)	 都是大美女            
(5星)	 刘晓庆的演技真是没话说啊！            
(3星)	 刘晓庆当年是真的蛮好看的            
(5星)	 小时候觉得很好看            
(4星)	 童年时看的，忘的差不多了，因为那时候感觉有点恐怖。            
(4星)	 刘晓庆演出了武则天有多牛B.....            
(5星)	 小时候真的觉得很好看            
(3星)	 刘晓庆和陈宝国的合作，当时就敬佩毛戈平的技术...            
(4星)	 当时真的蛮喜欢的，在美剧英剧韩剧日剧台湾剧港剧没有侵袭的时候。。            
(4星)	 晓庆阿姨从18演到80吧？            
(4星)	 那时候，刘晓庆奶奶脸上的光线好柔美的说            
(2星)	 小时候看的，唯一的印象就是武则天收了个和尚当男宠            
(4星)	 小时候看过的，记得当时很喜欢的            
(5星)	 最喜欢的一版武则天            
(4星)	 也不错             
(4星)	 相对客观的一部            
(3星)	 重口味。            
(5星)	 无可匹敌。            
(4星)	 记不得了            
(5星)	 从武媚到武瞾，自有人评说            
(4星)	 刘晓庆的演技很不错，武则天这个女强人，可以说心狠手辣，可以说本领超群，没有她这样的才智和手段以及胸襟，是无法登上皇帝宝座的。听说武则天老了之后对天忏悔曾经年轻时犯下的错信了佛，呵呵。            
(3星)	 小时候看的            
(4星)	 真记不得了            
(5星)	 很有历史感的一部电视剧.            
(5星)	 最最喜欢一首主题曲《不爱胭脂爱乾坤》            
(5星)	 女人啊女人            
(5星)	 个人觉得呢，演武则天最出彩的，还是刘晓庆。            
(2星)	 看看当年的刘晓庆和如今的刘晓庆，岁月的年轮....            
(4星)	 很小很小的时候看过            
(4星)	 太经典了。            
(4星)	 都是小时候看的。很多情节已经不记得了。            
(2星)	 把一个女强人塑造得很牙尖。            
(3星)	 还是喜欢看潘迎紫版的。            
(3星)	 小时候看过，没看懂，没兴趣，忘的差不多了            
(3星)	 是看这部剧N年后，偶尔得知唐高宗是陈宝国扮演的。            
(5星)	 从小就受到女性当自强的教育！            
(NA)	 中央一套黄金时间播出～明明没那么好看我硬是从头到尾看完了～难道我只是为了看刘晓庆阿姨怎么从少女演到老太婆的么            
(3星)	 女人不能以色侍君，要有让君欣赏你的地方，离不开你的才能。            
(NA)	 小学吧，放了学就跑回来搬个马扎开始看~            
(NA)	 武媚娘，刘晓庆我挺喜欢鲍国安的表演            
(5星)	 第一次为了部连续剧而晚睡觉            
(5星)	 刘晓庆的绝对经典            
(4星)	 1995             
(4星)	 刘晓庆姐姐阿姨奶奶威武            
(3星)	 刘晓庆刻画的最好的角色。            
(3星)	 离我有点小远，情节记得不太清楚了，印象中还不错            
(4星)	 刘晓庆风华正茂啊。            
(3星)	 毛戈平化妆术             
(5星)	 前段时间翻出来又看了一遍  好  啊哈哈            
(3星)	  看这个的还是很小的时候            
(4星)	 这部还不错，但是更喜欢潘迎紫的。。。            
(3星)	 劉曉慶跟潘迎紫的化妝師都應該獲頒六顆星的評價...            
(3星)	 记得小时候抱着妈妈等第一集播的时候。。。。            
(NA)	 http://movie.douban.com/pics/sth.gif            
(NA)	 太神奇的化妆            
(5星)	 就算是絕境也有轉機···好人不是隨便能做的···不管是好人還是壞人···做人難···可都要做下去···善惡到頭又有誰能說的清楚···江山歷史本身就是成王敗寇···狠不下心···就要成為別人的魚肉···            
(5星)	 为年轻水嫩的宝国老师加最后的一颗星。            
(4星)	 刘晓庆40多岁还是美女一枚。            
(5星)	 晓庆阿姨……            
(2星)	 红的类，那个时候我家还没电视，我爸去隔壁看，搞的我那么晚被我妈去叫他回家            
(4星)	 当年的晓庆大婶靓绝了！            
(5星)	 非常经典的片子，里面每个人演技都很好！喜欢高宗和武媚娘的感情戏！            
(4星)	 看这部的时候还在小学。不是很懂，剧情基本上也忘了。晓庆阿姨真的属于演技派的！@Home            
(4星)	 我还记得我小学的时候日记里写到过刘晓庆阿姨的演技真是无人可比。            
(5星)	 现在又翻开了一遍，风格与康熙王朝有点相似。后来才知道原来是同一导演。经典......            
(3星)	 那会儿觉得刘晓庆挺有女王范儿~            
(5星)	 經典            
(3星)	 装嫩的历史由来已久            
(NA)	 从此我就认定敢逃税的女人必须长一张刘晓庆那样的脸。            
(4星)	 赞！            
(NA)	 电视剧真是人性化，历史总是冰冷。这个女人，太神奇。如果一个人的内心太过强大，真是一件可怖的事情。于她而言，幸福的沉实走向，几乎从未和情感发生过任何必然的联系。这本身就是一种颠覆。             
(NA)	 李冬田因此剧而成名。不得不佩服刘晓庆的精湛演技            
(NA)	 美人如画            
(NA)	 偶像            
(4星)	 “做女人难，做名女人更难”原来这句话出自刘大妈之口，刘大妈自牢狱风波复出后，明显走进了装嫩的队伍，何必呢？？            
(4星)	 能把历史跨度演那么长已经很不容易了            
(4星)	 小时候最爱看！            
(3星)	 化妆师把刘阿姨化得真嫩。            
(4星)	 还是更喜欢唐明皇。~            
(4星)	 这个女人怎么能这么漂亮~            
(4星)	 小时候爱的不行，现在看已经没有感觉了。但是长久以来一想到这片子就想到那时候的花露水味。            
(3星)	 刘晓庆演技确实不错            
(NA)	 记得看这部戏的时候家里还没有电视机，每天去我干娘家里看的！！！            
(4星)	 当时的刘晓庆很符合唐朝的审美            
(NA)	 4            
(4星)	 怕猫就是因为武则天。。。            
(4星)	 那时候很喜欢上官婉儿。。。            
(4星)	 美女成堆            
(4星)	 造型很在，演员到位            
(4星)	 当年的陈宝国太囧了。。。            
(5星)	 这部剧的力量——让年幼的我对猫产生了畏惧，这份影响延续至今日。            
(3星)	 刘晓庆演的不錯～            
(3星)	 看过～            
(NA)	 讨厌这片，讨厌刘晓庆            
(5星)	 经典            
(4星)	 化妆太好了。            
(4星)	 毛戈平妖怪            
(NA)	 刘晓庆最佳的作品            
(5星)	 好看 好！！！            
(NA)	 高考结束后翻出来看的，印象超深            
(NA)	 只能说，当年的化妆技术也还不错，陈宝国那时候也才刚有点知名度吧，还算是小生呢            
(4星)	 一个女人的史诗，这是最大气磅礴，最圆满的一种呈现方式了。野心、权利一步步实现以后，就搞不懂她那高高在上被蛊惑的心究竟在想什么了。嗜杀亲儿，一次，两次……老了以后也会嫉妒婉儿的年轻美貌。然后培养起的就是一个个想像她效仿却被她踩在脚底下的女人。后来，对陈宝国的印象就一直停留在窝窝囊囊            
(4星)	 还是喜欢潘迎紫演的            
(5星)	 晓庆御姐的气场啊！！            
(4星)	 肯定是看过的，但是...太古老了....            
(4星)	 这辈子看的第一个电视连续剧。时年五岁。            
(3星)	 貌似我很小很小的时候在政府TV1看过 当时觉得杨贵妃特别特别好看··            
(4星)	 当时觉得刘晓庆阿姨还是蛮漂亮的            
(4星)	 年轻的我就被陈宝国深深的迷住了            
(4星)	 刘晓庆的气场不是一般滴            
(3星)	 充满老学究气息的正剧。            
(5星)	 全家一起看            
(3星)	 很小很小的时候的记忆！            
(4星)	 那是的武媚娘就开始深入我心..            
(4星)	 小时候对有野心的女人的初步印象            
(3星)	 看过刘晓庆的唯一作品~            
(4星)	 我真的看过            
