http://movie.douban.com/subject/2190914/	桔子红了
(4星)	 秀禾秀禾..            
(2星)	 太压抑了！完全不能理解。            
(3星)	 封建男女关系有滴心累            
(4星)	 琦君的作品            
(NA)	 喜欢周迅里面的表演。            
(4星)	 很慢的             
(4星)	 每一个画面定格下来都象一幅画一样，很美丽、很细腻的。            
(NA)	 爱得茫然            
(3星)	 周迅的演技没话说            
(NA)	 其实没仔细看完,当时觉得大明宫词和本剧的编剧很靠谱            
(3星)	 诡异的音乐            
(5星)	 柔柔而痛痛的感觉，颜色的运用充满了谶力。            
(5星)	 女性的悲哀            
(3星)	 没看完，每年回家真是看电视剧的高峰期啊            
(4星)	 李少红拍拍这样的戏就足够了，千万别再去糟蹋经典了。            
(4星)	 高中时候看的??            
(4星)	 喜欢李少红因为这个电视剧            
(4星)	 春去春又回来 花落花又开 冥冥之中谁安排            
(NA)	 我喜欢这种感觉            
(3星)	 一个戏骨、一个精灵、一个学院。透着阴冷，透着鬼气            
(3星)	 哎呀呀            
(4星)	 江南小镇美极了。            
(4星)	 当你偷偷着看的电视剧之一.因此喜欢上了黄磊,觉得黄磊在里面短头发好帅.觉得大太太通常都是很厉害的一个角色,不动声色,其实什么都知道.李少红也是我非常喜欢的大陆导演之一,这部电视剧的画面感很强,很好看.让我有&lt;边城&gt;的感觉.            
(NA)	 春去春又回来            
(NA)	 春去春又回来 花落花又开            
(5星)	 冥冥之中…涩涩的…            
(4星)	 忒压抑            
(3星)	 服饰很强大……            
(NA)	 因为喜欢周迅咯            
(5星)	 记得我当年看完之后好几天都抑郁着            
(4星)	 故事倒没什么，主要是里面营造的意境和服饰吸引人            
(5星)	 看的时候真是震撼            
(5星)	 还想看。            
(NA)	 我覺得歸亞蕾長得有點恐怖 = =            
(5星)	 高中时，偷偷乘父母不在狂看，然后狂流泪            
(5星)	 从此爱上了周迅！            
(3星)	 只记得周迅那张苦逼脸了~            
(3星)	 ★★★☆            
(NA)	 我只是马克一下            
(4星)	 爱情，觉醒，牺牲。             
(4星)	 正恋爱的时候，看的我哭的快断气了。            
(4星)	 这剧太唯美了            
(NA)	 我居然看过这个，不记得讲什么了，肯定看了，和妈一块儿            
(4星)	 小时候，妈妈在家看，我在睡觉，我以为她看的鬼片呢            
(NA)	 李少红拍神马都是鬼片。            
(NA)	 少红姐姐的鬼片时代            
(4星)	 就..很喜欢这种有点闷骚的大陆电视剧啊..(￣▽￣&#34;)            
(4星)	 橘子红了 是该摘了 ...            
(NA)	 好早以前看的了  好像当时根本没看明白。。。。只记得画面颜色人都很美。。            
(NA)	 他婚了。你死了。            
(4星)	 黄磊。            
(5星)	 美            
(5星)	 忽然想起这部许多年前看过的片子。非常浓烈又非常淡然的爱恋，是超越了华服和诡秘气氛的另外一个惊心之处。孩童的啼哭宣告了秀禾与耀辉的死亡。肉体与精神。年少时透明而脆薄的春天终于成为遥远的回忆。            
(5星)	 春去春又回来~ 花落花又开~ 冥冥之中谁安排~             
(3星)	 造型不错哟            
(NA)	 我怎么看过这么多电视剧!            
(4星)	 旗袍下那个瘦弱的身影            
(3星)	 衣服比剧情好看            
(3星)	 那时候还是比较喜欢李少红的黏糊劲的            
(4星)	 太文艺了··            
(3星)	 不打不是红烧饭！就是讨厌这片子！            
(4星)	 春去春又回来 花落花又开 冥冥之中 谁安排            
(5星)	 这部剧风格诡异，若有若无的声音好像另一个我在说话            
(5星)	 相当喜欢那时候的周迅身上散发出的灵性啊~            
(5星)	 春去春又回來,花落花又開奇葩看得我每每自習都遲到            
(4星)	 到现在还爱看....            
(4星)	 那一年过年放假的时候，全家人租碟看的。            
(NA)	 我爱迅哥儿            
(5星)	 周迅的            
(5星)	 还是初中的时候看的吧，喜欢至极，那时就奠定了我往后的喜好。。            
(4星)	 太文艺了...            
(4星)	 有点慢            
(3星)	 我忘记讲的什么了            
(4星)	 这几个星星完全是给服装和布景的            
(3星)	 最喜歡周迅的一個時期。            
(5星)	 昰小學的時候吧。那時候還不喜歡 周迅。卻覺得 怎麼會有耀輝怎麼完美的男人呢。            
(3星)	 愛就愛唄,哪來那麼多事啊~            
(4星)	 都是演技派。            
(4星)	 色彩造型极为精致~周迅黄磊的文艺范啊~            
(4星)	 让人害怕  那个小时候觉得剧中黄磊是好人            
(3星)	 色彩真是在电视剧里是一流            
(4星)	 喜欢归亚蕾奶奶            
(5星)	 剧本是神作！周迅是神作！服化、灯光都是神作！            
(3星)	 有些鬼魅，有点神秘，有点做作，叶锦添的美术在这里的美感显然少了电影里面的空灵，要是真想看深宅大院的阴森还是看大红灯笼高高挂来得实在            
(5星)	 看过的为数不多的中国电视连续剧里优秀的作品            
(3星)	 憋闷            
(3星)	 胖熊高中时期很迷恋的一部片子，我也就凑热闹扫过两眼，不喜欢那个男主角寇世勋和黄磊，讨厌那种样子的男人，所以对这部片子的好感没有那么强烈。            
(4星)	 周迅真的很水灵            
(5星)	 姥姥最爱的一部连续剧。橘子红了，是该摘了。小学看的连续剧，只记得有些压抑。            
(5星)	 赫赫，真的喜欢。            
(4星)	 当时年纪小，看得我倍儿压抑。            
(4星)	 我喜欢周迅 喜欢归亚蕾 还有里面如诗般风景            
(4星)	 服装设计的好细致。            
(5星)	 初中看的，很像电影。            
(3星)	 忒慢啊。            
(3星)	 画面氛围都还好 但这部戏开始 我彻底受不了周小朋友             
(1星)	 超不喜欢            
(4星)	 哎呀。            
(3星)	 服装和造型很好看，叶锦添果真大师。            
(4星)	 一个婚礼与一个葬礼。            
(5星)	 当时看的，当时入迷。            
(4星)	 悲            
(5星)	 烟雾中的江南老宅~梦想中的家            
(4星)	 那只风筝            
(4星)	 喜欢那个调调和秀禾的服饰            
(4星)	 那叫一个唯美啊~~~~~~            
(3星)	 年少回忆。            
(4星)	 当时沉浸在这种华丽而阴郁的氛围里==            
(5星)	 当时是震撼得不得了的            
(4星)	 隐忍无望的爱            
(3星)	 黄磊 控            
(3星)	 名字不错……            
(3星)	 很诡异的一个剧，不怎么好看，不过迅哥儿找到了最适合的扮相            
(4星)	 那音乐印象极其深刻。            
(3星)	 音乐像鬼片，很诡异阴森。            
(4星)	 周迅的演技在老戏骨中也很突兀            
(3星)	 漫长            
(5星)	 非常喜欢。            
(3星)	 怎么就那么压抑呢。但是美术真的很棒。            
(4星)	 压抑            
(5星)	 故事，服饰，演员都喜欢            
(5星)	 小时候看的啊。            
(4星)	 我就记得里面有个叫耀辉的，哈哈，跟我同名            
(4星)	 背都凉起来了            
(3星)	 挺精致的呢。不过不是我非看不可的题材            
(NA)	 这是李少红的风格～～            
(4星)	 那个调调八错            
(4星)	 唯美，暗调            
(3星)	 沉闷            
(NA)	 很爱            
(4星)	 周迅演技真棒            
(4星)	 命运和时代纠结在一起后，注定会是悲剧。            
(4星)	 黄老师呐。。            
(5星)	 很唯美            
(5星)	 它就是我爱周迅的原因            
(5星)	 喜欢            
(4星)	 俺就是对周迅有好感            
(5星)	 很喜欢            
(4星)	 叶锦添的衣服啊            
(4星)	 黄磊,我记住了你...周迅,我也记住了~这部剧简直就像伦理片加恐怖片...            
(4星)	 服装的魅力，还有那片桔林。            
(4星)	 这样缓慢的片子真的是我的大爱啊~可惜李少红现在转世电母。。。            
(4星)	 归亚蕾和周迅在里面太亮眼了，男性演员完全被盖了下去……里面的服饰也非常漂亮，剧集的气氛也把握得不错~~但是原著秀禾没死……            
(4星)	 喜欢那种调调            
(4星)	 那个风筝，带我飞走            
(2星)	 这是李少红的风格。。。            
(NA)	 性中国人难以说出的痛！            
(3星)	 有一种文艺片的感觉            
(4星)	 扮相很美．            
(2星)	 慢!!!            
(3星)	 两个老的演的好.周迅在这里面瘫了...            
(3星)	 我以前看的时候觉得特害怕            
(4星)	 么看完。。            
(5星)	 橘子真的红了！里面的饰物什么的很是精致！！            
(4星)	 虽然在延续那种诡秘的风格，可是却没有了大明宫词的令人回味。。。            
(3星)	 第一次爱上周迅            
(3星)	 周迅很到位。            
(5星)	 色调一如既往的喜欢。。            
(3星)	 一度以为是个鬼片。            
(4星)	 我的迅儿。我喜欢第7集。            
(4星)	 喜欢里面的周迅            
(NA)	 老套的故事，很好的对手。            
(3星)	 不错的剧集，但是比较闷骚，演得还算好            
(4星)	 形式大于内容，但还是值得一看。            
(5星)	 大陆最喜欢的电视剧，没有之一吧。对我的影响很大。            
(4星)	 服装太华丽了.            
(4星)	 树叶落了心动了。            
(5星)	 好压抑的连续剧，片头曲片尾曲亦是如此            
(3星)	 周迅            
(NA)	 很喜欢迅，这部的她好小。            
(5星)	 就爱这种风格            
(5星)	 春去春又回来 花落花又开            
(3星)	 服装很好……故事很弱……            
(4星)	 喜欢周迅这个姑娘。            
(3星)	 广柑儿红了。哈哈。            
(4星)	 片尾歌曲很有味道            
(5星)	 李少红。诗意的对白。水墨般的江南。            
(3星)	 我喜欢那些水仙和衣服            
(5星)	 催眠必备            
(NA)	 好多电视剧都是跟外婆一起看的,这部也是            
(5星)	 很棒很棒，黄磊和周迅的感情戏演的真好其实里面没有差演员，最近要重温下了。            
(4星)	 节奏慢了些            
(4星)	 真的很有意境 真的很喜欢            
(4星)	 就是喜欢这种调调的剧集            
(5星)	 感觉挺像鬼片的            
(NA)	 不太喜欢这个片子。特别是里面的配乐。虽说是要突出那种压抑的气氛。但感觉也很奇怪。            
(5星)	 周迅在小巷里奔跑着放飞风筝的时候，我就彻底的爱上了这部电视剧            
(5星)	 满压抑的.但满好看的            
(4星)	 清楚地记得那个异常压抑的大年初一!            
(3星)	 服装好漂亮            
(NA)	 这片子蛮则今，画面质感飘渺至极            
(3星)	 橘子绿了？橘子熟了？            
(5星)	 非常喜歡~~周迅演得很好啊~~            
(3星)	 文艺过了就变成诡异            
(4星)	 从这张海报开始就很喜欢……            
(4星)	 服饰···            
(NA)	 周迅             
(NA)	 叶锦添的服装             
(5星)	 来世今生            
(4星)	 大概也没有完整的看完            
(3星)	 几年前看得片子            
(NA)	 一直喜欢李少红的戏剧。女性导演。关于细节的处理很是喜欢。            
(3星)	 没怎么看            
(NA)	 小时候看的时候不觉得有这么虐心啊！            
(5星)	 电视的美术好赞            
(NA)	 鬼气森森，怨气太重            
(5星)	 一针见血少女、空想家男青年和善眉目旧家长            
(5星)	 睡前在电视上又看到了我最喜欢的剧，忍不住重看了耀辉表白的第17集和大结局。大太太说得对，爱和幸福还差得远。再加一星。            
(5星)	 小的时候最喜欢的电视剧            
(4星)	 陪我娘            
(4星)	 我记得二太太贾妮好像只有两套服装            
(5星)	 人美，衣裳美，剧情吗 咳咳            
(3星)	 太尼玛文艺了            
(5星)	 念念不忘            
(NA)	 周迅那时候看起来真灵啊，黄磊很俊秀，不过，并不特别出彩。            
(4星)	 从小就跟着李少红看大明宫词 橘子红了，剧情倒是真的不记得了 但是那段时光真的算是美好的记忆了。            
(5星)	 叶锦添            
(4星)	 美。            
(4星)	 但是大爱，虽然看不太懂……            
(3星)	 恐怖片。            
(3星)	   算了一下，自己是五岁的时候看的……当时不明所以。            
(5星)	 我真是大爱归亚蕾和周迅一起演。            
(4星)	 超级喜欢那种快要下雨的感觉的那个调调。            
(5星)	 衣服好看啊！！！！小时候就看衣服了！！！！            
(3星)	 我表示看过但是忘了            
(3星)	 三星半，服装相当好，叶锦添发挥正常            
(4星)	 印象深刻            
(3星)	 阴森森，凉嗖嗖            
(4星)	 因为周迅才看的啊，好看。            
(4星)	 那时的周迅已然灵气逼人            
(4星)	 李少红的片子很是耐看。            
(4星)	 和老年人一起看的 奶奶可爱看了            
(NA)	 李少红我喜欢            
(5星)	 隐忍的爱 爱的隐忍            
(4星)	 女子者，周迅。            
(4星)	 美丽的迅姐～            
(5星)	 周迅真棒！            
(5星)	 贤雅小姐            
(4星)	 我爸因为这部戏认识了周迅            
(4星)	 当时没把我哭死。周迅童鞋演的太真了。色彩和服饰都很赞。            
(3星)	 作过头了，远不及《大明宫词》唯美大气。            
(4星)	 诡异了=。=            
(5星)	 女人，你要是不敢追求自己的幸福，不珍惜自己的爱情，那就看看吧。            
(3星)	 总觉得好诡异。            
(4星)	 少红导演啊！！多看看自己这部作品吧。。。            
(4星)	 拍得美轮美奂            
(NA)	 看的时候觉得气氛一直好诡异            
(NA)	 看过好多遍 小时候很喜欢            
(5星)	 迅哥儿太美啦！！！            
(5星)	 看痴了            
(3星)	 2000年，与二老，从头到尾。            
(2星)	 这个海报咋这么恐怖？乍一看以为是蔷薇红莲的姐妹篇，点进来一看发现是这个！小时候我妈妈一看我就说这是橘子烂了，结果也跟着看完了            
(3星)	 又是为了生孩子            
(NA)	 有点变态            
(4星)	 无法忘怀周迅在橘子园里狂奔的画面。。。童年的回忆啊            
(5星)	 这电视剧始终萦绕着一种阴郁的感觉。            
(5星)	 黄磊~~~            
(NA)	 服饰很喜欢，配乐很鬼吵鬼叫，时不时被吓到            
(NA)	 看着这些长大的            
(4星)	 当年的周迅多么古灵精怪            
(2星)	 因为有黄磊才看的。。。            
(4星)	 橘子红了，孩子是谁的？            
(4星)	 很喜欢的电视剧。因为秀禾。            
(3星)	 不~~            
(4星)	 一直很惊艳于这电影，记得家长们强烈反对看这电视剧，理由是少儿不宜            
(4星)	 当年晚上看一遍白天接着看重播，太喜欢讯哥在里面楚楚可怜的样子了            
(4星)	 美指好像是叶锦添……叶氏一贯的水准            
(4星)	 当年牛逼的李少红            
(3星)	 三星半。喜欢那种掺杂有一点诡异的气氛。            
(4星)	 当年的李少红出了好几部 比较好的作品 但是后来也堕落了            
(5星)	 这种年代的故事我百看不厌            
(4星)	 周迅周迅            
(NA)	 妈妈的外婆的故事让我突然又想起看它来~            
(4星)	 看TY新红点评贴的时候想起了这个剧，以前看的时候很喜欢，同样的组合，为毛新红就恶心成这样啊？？？            
(NA)	 归亚蕾和周迅真缘分。。。            
(4星)	 当时很喜欢。周迅演的真好。            
(NA)	 很有水准            
(NA)	 恐怖片呀恐怖片我的童年阴影啊            
(4星)	 好片。            
(5星)	 少红导演的经典作品。推荐大家去看~~配乐是亮点~            
(4星)	 阴暗潮湿压抑的气氛 现在再看新红楼 顿觉李少红真会搞这一套 偏了 橘子红了还是很好看的            
(5星)	 看过三遍 因为是在苏州拍的            
(3星)	 我没怎么看，因为我小时候就不喜欢周迅。。            
(4星)	 周迅的演技一直不错..在这里面演的小媳妇也不错..黄磊也是演艺不错..不过我没从头到尾的看过..忒闷...            
(4星)	 李少红擅长拍鬼片。。。。。            
(4星)	 憋屈的女性么得地位啊。            
(5星)	 旧片重看是让我看明白了很多,不在它较别的剧少之又少的对白,而在一举手一投足,一个眼神一抹笑,在橘圆永远不变的鸟鸣声,在江南小镇淅沥的梅雨,在老人的迂腐在新人的幼稚,我喜欢上了二太太余嫣红,这个交际花,这个只有一套戏服长相怪异的女人。她看着镜子里的自己说，没有人能打败你，余嫣红。            
(4星)	 黄磊黄磊 周迅周迅            
(3星)	 最后那几个场景，平行蒙太奇？记忆太深刻了。            
(4星)	 原声很喜欢            
(5星)	 老早看的了 整部戲都低壓            
(NA)	 何时重温            
(4星)	 摆平自己的感情其实不容易 演得都很棒            
(4星)	 里面的服饰喜欢            
(5星)	 美丽的秀禾从懵懂的报答到开始接触外面广阔的世界，似乎就已经预示了她悲剧的短暂一生            
(5星)	 广播剧也很好听            
(3星)	 小时候看的 当时没看明白            
(5星)	 經典啊....配樂，服飾，劇情都是經典!            
(4星)	 小忍忍~            
(4星)	 很喜欢黄磊和周迅~            
(5星)	 特喜欢周迅。那个哀怨的眼神。淡淡的封建压抑。很有那个时代的气息。至今难以忘怀，周迅生小孩那刻，透露出的层层的压抑。还有那个“老爷”，也给了我很深的映象。            
(3星)	 导致我到现在都看不进原著！！！            
(5星)	 对周迅的文艺系列没有免疫力，何况还有个黄石头呢！！！            
(3星)	 特别诡异~            
(5星)	 橘子红了，是该摘了。            
(4星)	 典型的李少红作品。好。            
(NA)	 我喜欢看见你笑             
(3星)	 很闷，还是大明宫词好些，李少红的片子，服装都很美。            
(3星)	 太慢了点，小说舒服些            
(5星)	 恩~周迅当年的真是嫩            
(4星)	 最深刻的印象就是叶锦添设计的服装，实在太美了。封建家族里的不见容于世的爱情悲剧。演员阵容超级强大。            
(4星)	  我就是从这部电视剧开始喜欢周迅的, 灵魅的表情, 跟精灵一样镶嵌在顶光倾斜的大宅院里. 大袖摆的服装, 红灯笼的门廊. 这样美的画面. 让我深浸戏里出不来.            
(5星)	 好伤心啊            
(5星)	 小盆友看不懂也喜欢            
(2星)	 没劲。。。            
(NA)	 初中看过的 貌似  那时候 很喜欢黄磊            
(5星)	 好美。。            
(4星)	 琦君。            
(5星)	 比童养媳还惨的小媳妇啊~            
(NA)	 爱这个名字。莫名的            
(5星)	 最深刻的 男人和女人的性格            
(3星)	 宣传一夫多妻制的~            
(3星)	 你大伯东，你大伯西的。            
(4星)	 其中一顆星歸功於黄磊&gt;&lt;            
(5星)	 我的黄磊啊。。。。            
(5星)	 谁说人不被命运牵引着？无奈着？悲哀着？却也有绝望的爱着，幸福着？            
(4星)	 归亚蕾和周迅的演技真是绝了，是这部片子让我记住了李少红，而她的《大明宫词》我至今仍是非常地喜欢。            
(5星)	 很唯美，感觉画面都可以用油画定格下来            
(3星)	 归亚蕾是戏精            
(1星)	 失眠者的福音            
(5星)	 衣服好看~~~~            
(3星)	 缓慢以及安静  我只记得那句我可以在你的眼睛里看到自己            
(5星)	 其实当年是为了黄磊看的= =            
(NA)	 想要再看一遍。。。当年没看懂            
(4星)	 画面感不错的说            
(NA)	 忘了……            
(NA)	 当初那一抹橘红的惊艳            
(4星)	 看这个喜欢黄磊的            
(4星)	 几个主人公都把人物刻画的非常到位，看的很过瘾            
(3星)	 看电视时期每天可以看得剧            
(5星)	 那年的橘园 那年的兰花 那年的雨天            
(5星)	 李少红的美学理念哦哦~            
(NA)	 主题太沉重。            
(NA)	 那个，什么时候的一个梦？自从郑重筹拍《气喘吁吁》后，所有的梦瞬间破裂。            
(4星)	 很美            
(4星)	 难得跟家人一起看过的片儿……            
(2星)	 么看懂            
(3星)	 一般            
(5星)	 故事也是我喜欢的  画面真是唯美  江南的阴郁 幽深  周迅这戏子精灵            
(3星)	 阴郁得不得了            
(4星)	 国产电视剧能拍到这样很不错了~            
(3星)	 非常不喜欢这部剧。            
(NA)	 几年前看的            
(5星)	 秀禾。120116final前做模型又看，又哭惨了...表白时候两双眼睛的紧张，释然，最后道别心中种种。周迅太美了，哪儿哪儿都好看，是会说话的眼睛。黄磊也好。老爷太太都好。            
(4星)	 服饰很美，故事有点老套～            
(NA)	 喜欢周迅            
(4星)	 喜欢这首歌。            
(5星)	 张力            
(3星)	 怀念和爸妈一起看电视剧的日子            
(5星)	 李少红的片子，感动总来的如此纯粹            
(5星)	 整部氛围都很喜欢..            
(4星)	 好压抑。            
(4星)	 人活在世上 就不能放纵他的真性情 就因为他妈的责任            
(4星)	 再看            
(4星)	 一直觉得气氛说不出的诡异，像鬼片~但是还不错            
(4星)	 我喜欢周迅            
(3星)	 最喜欢这个年代的服饰！~            
(4星)	 除了音乐，其他都很好            
(4星)	 那个时候很爱黄磊，后来为人师、为人夫、为人父的他就不太出现了。周迅演的秀禾很让人疼惜。            
(5星)	 秀禾太可怜了~            
(NA)	 掉下来 原生该是很惊悚             
(5星)	 据说。。。            
(3星)	 那么悲……看着都难受            
(4星)	 堪称经典。            
(NA)	 少女            
(3星)	 失望。没大明宫词的惊艳了            
(3星)	 最后一集吓死那个还是小朋友的我            
(3星)	 很美，压抑的美感，到极致。            
(4星)	 剧情没记清，但周迅和归亚蕾演得太好了，还有那种绝对唯美的氛围和华美的服装，印象深刻。            
(4星)	 狗血啊、、            
(4星)	 戏里的四个主角都喜欢，电视里第一次放的时候就看过，被感动了很久，这几天电视里又放了，于是又看了一遍            
(4星)	 妈啊...衣服太华丽了..            
(5星)	 黄磊黄磊            
(NA)	 堪称经典            
(4星)	 主要是喜欢李少红的拍摄手法            
(2星)	 不知所云的电视剧，沉闷之极。            
(3星)	 镜头美，但是故事不怎么样            
(5星)	 女人，你的一个名字叫“沉默”，一个名字叫“等待”。            
(3星)	 压抑的开始，压抑的结束。名字很美            
(5星)	 太经典太唯美太感人            
(4星)	 画面好            
(4星)	 周迅丑死了            
(4星)	 周迅 周迅~            
(NA)	 记得画面好看的。            
(5星)	 自由与现实总是矛盾的。。。            
(4星)	 當年陪着媽媽看的。            
(5星)	 江南真美。            
(4星)	 不错...            
(4星)	 周迅演的太好了，衣服也很漂亮，这部片很符合她的戏路            
(NA)	 那是一片安静的土地 只有在梦中            
(4星)	 文艺片式中国电视剧            
(3星)	 压抑            
(4星)	 歌很诡异            
(NA)	 黄磊周迅这CP不是岛慧么。            
(5星)	 好久的了.            
(3星)	 太压抑了            
(5星)	 初三的那个冬天疯狂的迷恋            
(4星)	 那时我们还年少            
(4星)	 喜欢李少红时期的周迅~            
(3星)	 喜欢周迅            
(5星)	 橘子红了......我依然单身......            
(3星)	 这片子看得那叫一个压抑~            
(4星)	 完全的周迅风格。反正很压抑。            
(3星)	 衣服好看            
(NA)	 那橘子不错            
(NA)	 还是可怜周迅            
(NA)	 瞄过 太压抑             
(4星)	 喜欢那个时候的周迅            
(5星)	 根据琦君小说改编。黄磊、周迅、归亚蕾。            
(NA)	 淡淡的忧伤            
(3星)	 实话说，我不欣赏那两位主角，（秀禾跟容家小叔）...            
(3星)	 整体基调阴森森的感觉            
(5星)	 喜欢。非常喜欢。春去春又回来。            
(4星)	 完全爱上黄磊的启蒙片            
(4星)	 難得的比較有深度的電視劇。            
(4星)	 好看。喜欢颜色和歌曲。            
(4星)	 那时我不懂爱情。            
(4星)	 爱不了的爱情……            
(NA)	 纯粹陪妈妈看的。。            
(3星)	 小时候看得我心里毛毛的~~            
(5星)	 几个女人的悲哀，一个家族的哀叹，一个男人的悲伤。            
(4星)	 我当时是真喜欢黄磊和周迅。            
(4星)	 挺好看的 小周迅多少年了都不变范儿            
(NA)	 极好。            
(4星)	 它让我懂得了男人的责任            
(NA)	 这衣服多漂亮啊。好像当年这部也影响了徽州游热吧。            
(4星)	 周迅演得这一系列电视剧都很好看.            
(4星)	 美丽却残忍，时代的大悲哀。。            
(4星)	 很喜歡周迅啊            
(4星)	 和大明宫词一样，看完电视后又通读了剧本，由此更深刻的感触到不同时代中国女性的悲哀。            
(3星)	 不是我喜欢的风格            
(4星)	 服装很华丽，故事很无奈            
(5星)	 黄磊的六叔。            
(4星)	 很凄涼的一部戲，現在不太敢看悲劇了            
(3星)	 迅的发型太美了            
(4星)	 李少红这一部还不错            
(5星)	 喜欢死里面的服装和美工了。            
(3星)	 秀和 风筝            
(3星)	 很真实的一部片子，在那个时代。            
(4星)	 隐。忍。            
(5星)	 很喜欢里面的衣服~~            
(3星)	 小的时候看不懂，孩子到底是谁的？            
(4星)	 服装·场景·灯光等等都挺用心的剧            
(4星)	 潮潮暖暖            
(3星)	 据说很多人是当鬼片来看的，拍得很美。            
(2星)	 这个片子在上学的时候看过，因为当时李少红介绍得很好，结果就记得超级冗长和无聊的情节，还有那哑嗓子的歌            
(4星)	 阿姨导滴戏~总这么有情调             
(NA)	 爱情。            
(3星)	 这个导演要么搞一搞台词，要么搞一搞服饰，再不就是把音乐搞的阴森恐怖，渗慌慌的！            
(4星)	  李少红 的都很美            
(NA)	 挚爱国产剧            
(5星)	 那样的压抑感，我却无限爱            
(3星)	 这造型多适合演恐怖片啊~~据说这片子里有林申？哪个路人甲是啊~~            
(2星)	 周迅，是某种程度上的阿加妮            
(4星)	 真的是压抑``````            
