http://movie.douban.com/subject/2229596/	东游记
(NA)	 教主啊教主！            
(NA)	 马景涛一身白衣...忘了他演了谁...            
(NA)	 也想起来这部，教主就咆哮过一两回吧。。。            
(4星)	 潇湘子~            
(NA)	 咆哮的涛哥~！            
(NA)	 爱龙三和贞娘，爱蓝采和，爱韩湘子，虽然很受不了吕洞宾。。。            
(3星)	 越来越脑残。但是几位女仙子还是张的不错的。            
(3星)	 &gt;///&lt;教主在里面演吕洞宾的！！            
(3星)	 教主的戏 怎能错过            
(NA)	 小时候好喜欢看这个，最喜欢会飞的神仙了            
(2星)	 超级残但又不可磨灭            
(5星)	 我当年真的觉得咆哮帝好帅，牡丹仙子很美，龙三仙姑韩湘子～            
(NA)	 。。。            
(5星)	 小时候很迷的一部剧，看了不下一遍。而今在豆瓣上发现，儿时回忆历历在目。那真是懵懂无聊的岁月啊。by the way，一直不知道这部华语剧产自新加坡。。= =            
(4星)	 小时候的记忆了。            
(3星)	 牡丹好美丽            
(5星)	 当年非常喜欢            
(NA)	 我记得我喜欢韩湘子和牡丹仙子。。。            
(4星)	 其实挺喜欢这剧的氛围            
(3星)	 我也是看了這部劇，才知道八仙是哪八仙~            
(4星)	 挺好看的~            
(NA)	 何仙姑好漂亮的。            
(3星)	 。。。主题曲很好听            
(NA)	 马景涛竟然在我的童年里咆哮过啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊！！！            
(3星)	 白牡丹好漂亮！            
(3星)	 想当年，我因为看这个··晚上不敢一个人睡觉··穿山甲喜欢何仙姑            
(4星)	 我们都爱马景涛            
(3星)	 穿山甲好萌            
(NA)	 咆哮帝的吕洞宾            
(4星)	 咆哮马唯一不咆哮之作~~ 喜欢是因为郭妃丽太漂亮了            
(NA)	 小时候一直纠结穿山甲如果和何仙姑在一起就好了            
(3星)	 剧情很纠结。。不喜欢。。。            
(3星)	 當年還覺得蠻好看的            
(4星)	 陪我过了好几个暑假            
(4星)	 还是不错的~            
(NA)	 好怀念= =好想知道结局~！            
(3星)	 那个何仙姑尊靓            
(4星)	 小时候觉得这个真好看……            
(4星)	 好看            
(NA)	 东游记 小时候 看过 最近丽丽提起来有点怀念~            
(4星)	 那时候让我看的可如痴如醉了。            
(2星)	 哦～马景涛            
(3星)	 星全是给郭妃丽的            
(5星)	 无法言说 对此片的诸多回忆无法言说...            
(NA)	 电视台            
(3星)	 小时候的记忆...            
(3星)	 教主万岁！！！！！！！！！！！！！！！！！！            
(5星)	 实在是喜欢~            
(5星)	 再听一遍结尾            
(3星)	 我现在唯一记得的女人就是郭妃丽            
(4星)	 千年情劫什么的……到底情爱的真谛是什么呢？缺乏实际阅历的我并没有资格发言。只不过人们喜欢何仙姑的洒脱豁达，我却叹惋牡丹仙子的情深痴念←正因她与已不同才青眼相待❤说起来小时候还很萌白衣倜傥的吕洞宾，这会重温居然觉得严肃古板的东华更有爱，总觉得这种闷骚的老男人最有探究的趣味在（揍            
(3星)	 几个女的都蛮好看的，咆哮马依然如故。。。            
(NA)	 一看到韩湘子和吕洞宾我就激动~~~            
(3星)	 喜欢何仙姑。            
(NA)	 小时候还挺喜欢的。。。自pia~            
(4星)	 啊~啊~啊~小时候觉得白牡丹好美好美好美呀~何仙姑很有气质~~~            
(4星)	 小时候超级爱看，哦买糕的。。。            
(4星)	 咆哮马那时还是翩翩青年            
(3星)	 郭妃丽很漂亮            
(3星)	 只羡鸳鸯不羡仙 何仙姑不敌白牡丹 穿山甲十分抢戏             
(NA)	 景涛哥！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！            
(4星)	 我们就是看着这样的神话剧长大的 新加坡电视剧第一次成了我心头所爱            
(3星)	 年少回忆。            
(4星)	 惊涛哥哥和牡丹姐姐真是让人心碎死了            
(3星)	 虽然吕洞宾GG很囧 但还是一集不落的看完了             
(5星)	 为什么我觉得这些古装啊神怪啊都很好看啊囧            
(4星)	 为什么吕洞宾不能和那个谁谁在一起            
(3星)	 当时觉得 郑秀珍很好看啊~            
(4星)	 當時還很萌那個xx仙子呢            
(NA)	 豆瓣猜  好厉害            
(2星)	 这个咆哮马呀~~~            
(3星)	 囧  原来是新加坡的啊。。。            
(4星)	 郭妃丽和郑秀珍都是当年的美女呀            
(4星)	 神仙也沾爱情 麻烦            
(1星)	 垃圾            
(1星)	 马景涛 囧……            
(4星)	 我没看完。。。从这我认识了九寨沟。。。            
(1星)	 期待了很久,结果是一坨屎.            
(3星)	 去九寨沟居然碰到这个剧组拍戏            
(5星)	 童年啊。激动。            
(3星)	 说这部片子看了不下三次的我...很羞愤...但牡丹仙子的扮演者郭妃丽,真的挺漂亮的....            
(4星)	 呃。呃。算是还可以的了。            
(NA)	 喜欢这个电视剧，喜欢新加坡那些演员，喜欢这个剧的主题曲，同时这个剧也让我对马破嗓子的看法有了改观~            
(NA)	 ……………………            
(3星)	 以前狂喜欢看呢，其实没有太大意思的说。。。但郭妃丽在里面很好看，最起码白牡丹的痴情，很感动            
(4星)	 八仙过海！            
(NA)	 话说吕洞宾和牡丹仙子那一段情，还是蛮感人的，虽然郭妃丽和马景涛两个我都不是很屌，但是在九寨的美景下，人也不会丑到哪里去吧。            
(4星)	 喜欢韩湘子和龙三公主，只是两人有缘，却无份。            
(3星)	 很喜欢主题曲。            
(3星)	 说不出来的奇怪感觉.........而且是非常奇怪!!!            
(3星)	 喜欢何仙姑，讨厌白牡丹，一直想不通为什么仙姑不能和洞宾在一起，现在终于明白了~哎~            
(3星)	 电视剧             
(NA)	 耶            
(3星)	 那个标签请忽略吧。我喜欢神仙。            
(NA)	 呃。。。噩梦来源。。。。            
(2星)	 。。。。            
(NA)	 喜欢            
(3星)	 儿时的美好回忆！暑假在哥哥家里和陈怡一起看            
(2星)	 这个片子非常白痴..高中时电视里放的            
(3星)	 挺希望穿山甲和何仙姑在一起的諾。。。            
(NA)	 原来这部偶也看过哦，小时候的口味还真=_=|||            
(NA)	 当年看了好多遍呢.小时候还觉得有些色情= =.觉得郭妃丽很气质.            
(3星)	 第一次看就觉得很难看，因为太讨厌马景涛了。再看一次的时候竟然觉着有些道理了，只可意会不可言传啊。插曲相思无解当真好听            
(1星)	 每次换台看见这个就犯偏头疼。            
(3星)	 小时候还是特别迷这个的 居然不知道是新加坡排的 对于什么都不知道的小孩子 剧情还是多有趣的 就是道具有点be ……            
(4星)	 很矬很耐看。            
(NA)	 马景涛怎么都不像吕洞宾            
(2星)	 呵呵，没想到现在的马景涛还是那么帅气            
(3星)	 女演员好看            
(NA)	 太喜欢郑秀珍演的何仙姑！！！            
(5星)	 其实那个时候的咆哮帝还蛮好看的            
(3星)	 小时候好萌这个剧。当年还是真心萌过咆哮教主的- -！            
(3星)	 走啊走啊走~好汉跟我一起走~            
(4星)	 韩湘子真的忘不掉啊            
(3星)	 牡丹好美啊（¯﹃¯）            
(3星)	 那个时候喜欢何仙姑~            
(4星)	 这是我看过最纠结的电视剧了吧。。。至少年幼的我理不清思路啊~            
(4星)	 当时就觉得林湘萍好美 新加坡的国语配音好特色            
(4星)	 必须看过八仙过海嘛。            
(NA)	 咆哮帝的片子……            
(3星)	 我只记得郭妃丽的牡丹仙子。太仙了~            
(4星)	 主题曲经典，走啊走啊走，好汉跟我一起走。走遍了青山人未老，少年壮志不言愁。            
(4星)	 真心喜欢 而且我觉得吕洞宾很帅……那时候还不知道什么是咆哮帝 而且他好像没怎么吼？            
(4星)	 看到何仙姑那张脸就蛋疼。有教主加一分~~~~            
(3星)	 之所以不给四星完全是因为白牡丹太@￥的烦了！！！即使何仙姑漂亮，吕洞宾和韩湘子美貌，我也无法下四星呐。。。            
(4星)	 教主眼瞎，喜欢牡丹。            
(4星)	 八仙归位            
(NA)	 都是回忆！            
(4星)	 这么多年了            
(3星)	 这片子绝对给我留下阴影了。。            
(4星)	 当年我看的时候为什么会喜欢何仙姑，明明白牡丹才真心是大美人啊！！小孩子果然不懂事= =哦龙三也很漂亮。原来韩湘子演过叔惠啊难怪这么眼熟……            
(3星)	 马景涛老师。。            
(4星)	 那时候很爱的好吗！            
(3星)	 教主！！！！            
(4星)	 想当年我还年轻            
(3星)	 很久以前看的。觉得白牡丹真的很美啊。现在也这么认为。            
(3星)	 小时候觉得很好看的呢！那个什么仙子一直觉得好美的说！            
(5星)	 dd            
(3星)	 。。。我当年很容易被迷得不行，还是被马教主            
(2星)	 很2 ~~            
(5星)	 小时候多喜欢呐多喜欢呐！！！！！！            
(3星)	 小时候看的，有教主，白牡丹好美。            
(NA)	 - -看过好几遍。。。            
(3星)	 我次奥，这傻逼电视剧有点不堪回首的往事啊！！md，男猪脚居然是教主！！当时傻逼呵呵的都不知道。。。            
(4星)	 想当年真心喜欢教主的吕洞宾啊！【满脸血            
(4星)	 当年看了好多遍，还会唱主题曲啊            
(5星)	 一个童年的回忆啊！            
(3星)	 开始怀旧了，小时候的片儿。只是记得白牡丹很是美丽，马景涛的扮相也很逍遥。其实剧情有点雷人。            
(4星)	 咆哮帝阿～            
(4星)	 超喜欢里面那个蓝采和 我的阑彩翮名字就这么来的 现在想想真傻            
(5星)	 每年暑假看一次！！            
(4星)	 景涛哥你到处都在咆哮！！！！！啊！！！！！！啊！！！！！啊！！！！！！！！            
(3星)	 没看完……对不住咆哮哥。。。            
(3星)	 小时候很迷这个  很喜欢神仙的故事            
(3星)	 哈哈哈哈哈哈！            
(2星)	 不记得多少了            
(4星)	 最咆哮的吕洞宾            
(3星)	 八仙过海呢，何仙姑真美。            
(4星)	 白牡丹和吕洞宾的悲催爱情            
(NA)	 惊涛兄！！！！！！！！！            
(4星)	 八仙过海。            
(5星)	 在我心中的地位和白娘子传奇一样            
(3星)	 后来才知道里面的风景都是九寨沟的……            
(4星)	 小时候好喜欢何仙姑的            
(NA)	 幼儿园的时候，我们一起以这个连续剧为蓝本玩起了角色扮演            
(5星)	 教主我爱你            
(NA)	 。。。。。。            
(5星)	 好爱主题曲，无比开阔            
(NA)	 当年教主还是很帅的。。。。            
(5星)	 小时候好喜欢啊。。            
(3星)	 郭妃丽真美            
(3星)	 我就记得马景涛好像没有特别咆哮，然后某龙女问的那个我和你老母掉进水里你先救谁的脑残问题实在是脑残得要死了。            
(4星)	 好感动啊啊啊啊啊我当时特特特喜欢何仙姑与吕洞宾那种怅惘的似有似无的感情。郑秀珍和郭妃丽都很美很美。            
(3星)	 就喜欢看每个人升仙的过程。            
(5星)	 很有中国味，怪力乱神            
(NA)	 哈哈哈哈咆哮教主！！！！小时候看的。。。。所以从小就是咆哮教的！！！！！            
(NA)	 小时候特想看的片。。。期待了很久。。。            
(3星)	 想当年喜欢何仙姑···            
(4星)	 当年被一袭白衣蒙蔽了双眼觉得教主好帅啊捂脸，郭妃丽是个美人            
(NA)	 我觉得很烂。。当时就不明白为什么那么多人喜欢看            
(3星)	 郭妃丽好漂亮            
(NA)	 我为什么看过这么无聊的片子。。。            
(4星)	 咆哮马跟何仙姑传过绯闻来着            
(3星)	 我当年好喜欢咆哮哥啊！！            
(NA)	 主题曲很不错。            
(4星)	 当年觉得老好看了  郭丽妃老漂亮了 吕洞宾老帅了 = =            
(4星)	 主题曲好听！吕洞宾居然与何仙姑有JQ 囧 剧情后半太狗血，不喜！            
(4星)	 小时候最爱···咆哮的又一经典！！！！            
(4星)	 那时的马景涛还很帅 新的封神里他的造型很囧            
(2星)	 麻痹扯淡            
(4星)	 啊哈哈，咆哮哥……            
(NA)	 我真不了解…我小时候怎么有那么多时间和精力看这行剧            
(4星)	 美丽的牡丹仙子，我总是分不清她跟俞鸿飞，我以前以为是同一个人。            
(NA)	 哈哈哈哈哈！！！            
(1星)	 哦泄特，于是98~00年间就是以狗血度日吗！            
(4星)	 林湘萍真美啊！            
(1星)	 原来我是因为不喜欢马景涛才不爱看的。。。            
(4星)	 小时候一直想让吕洞宾和何仙姑在一起。总觉得他们之间有小暧昧。            
(4星)	 童年回忆。。。            
(3星)	 久远的记忆。。            
(4星)	 吾爱之女子，必是傲骨独立之身，随和亲切之貌。仙姑完胜牡丹仙子，可惜吕洞宾爱的是妖娆小女人的心性。            
(5星)	 内歌我还会唱！！！走啊走啊走~~~~~~~            
(3星)	 哈哈 小时候成天看的 那时候觉得何仙姑好美啊好美。。            
(3星)	 小时候好喜欢这个            
(NA)	 2010-11-27            
(3星)	 那个时代的灰信            
(4星)	 小时候的记忆，很喜欢看，主题曲也很好听，那时候觉得升天特效那块特别神奇~~一个个的集齐~  还有我们的咆哮哥~~              
(4星)	 新加坡             
(3星)	 片头曲很好听~吕洞宾那段真纠结~            
(4星)	 何仙姑好美~            
(3星)	 貌似小时候看过。。。对牡丹的执念很震撼            
(4星)	 小时候很喜欢的电视剧丫            
(3星)	 居然还有教主！都忘了            
(4星)	 记得有一集，八仙合体，然后成为了一个巨大的马景涛！！！            
(2星)	 从小就角的它很山寨。。。            
(3星)	 今天看“景涛咆哮”相册时突然想到这部剧，记得小时候很迷呢，对景涛兄演的吕洞宾白衣飘飘的仙人气质映象深刻，哈哈，貌似这部剧里他没怎么咆哮，哈哈哈。。。            
(3星)	 以前真的很爱看古装片            
(3星)	 马教主，膜拜            
(4星)	 景涛哥好淡定..            
(NA)	 郭妃丽美            
(NA)	 当时超喜欢龙三！            
(4星)	 4星是给了造型师            
(5星)	 及时是死，也要化作一把撑伞，为爱的遮风挡雨。            
(3星)	 开始 好像  还不错  后来 就 特不好看了...            
(4星)	 其实吕洞宾跟何仙姑到底是有没有JQ啊？            
(NA)	 恩。喜欢吕洞宾的马。但是导致我看见吕洞宾就想起狗            
(2星)	 太長。而且印象中吕洞宾是作孽了一塌糊涂。            
(3星)	 我現在還哼得出版頭那段音樂！            
(3星)	 那时候觉得何仙姑好美丽~~~~就是受不了那个牡丹。。。            
(3星)	 挺讨厌白牡丹的，要是吕洞宾和何仙姑一起就好了。            
(3星)	 各种怀念啊~~~~            
(3星)	 郭妃丽怎么没有大红大紫啊            
(3星)	 真的是没电视看看的，女的不好看，男的不帅，还抽风。            
(4星)	 我那个时候很爱很爱这部剧 尤其是吕洞宾和何仙姑最后的对手戏 心里突然有疼了            
(5星)	 小时候的最爱哇~~~            
(3星)	 居然又重新看了一遍。。。小时候觉得很好看，现在觉得相当一般            
(4星)	 我喜欢龙三，喜欢穿山甲，还喜欢那个韩非子。都喜欢！！            
(5星)	 现在还念念不忘的白牡丹，你怎么可以这么漂亮呀曾经还以为你会因情成为一个反派没想到你却只是一个个苦苦痴情的平凡女子            
(1星)	 懒得看！            
(4星)	 郭妃丽真的好美。。            
(3星)	 仙姑啊！！！！！            
(NA)	 教主威武！！！            
(3星)	 小时候多喜欢呐            
(4星)	 我就不喜欢牡丹仙子，我就喜欢何仙姑！            
(3星)	 哦景涛            
(4星)	 很喜欢里面的韩湘子            
(NA)	 小时候看得，很奇怪的八仙            
(3星)	 我记得有个穿山甲。。。我记得有涛哥。。。我还记得涛哥爱咆哮。。。ps：郭妃丽真美。。。            
(NA)	 景涛你好！！！！            
(4星)	 今年过年时候还在看呢~            
(3星)	 仙姑或牡丹，轻松简单or痴怨纠缠，爱要怎样才算美。            
(3星)	 咆哮帝早年经典            
(NA)	 咆哮马版吕洞宾            
(3星)	 看过的都来咆哮吧！！！！！！！！！！！！！！！！！！！！！！            
(4星)	 仙姑            
(4星)	 曾经爱牡丹仙子爱的咧~            
(4星)	 记得小时候吃晚饭眼巴巴地等着看，连作业都忘了做            
(3星)	 30            
(NA)	 汗            
(3星)	 初中的回忆            
(4星)	 哈。这是马景涛多么正常的模样呐            
(4星)	 我的童年~~            
(NA)	 郭妃丽很美            
(4星)	 新加坡的女人挺漂亮的            
(5星)	 看了无数遍...白牡丹真好看啊!            
(3星)	 教主没有咆哮。。            
(4星)	 终于确信，吕洞宾还是喜欢牡丹的。            
(4星)	 我年轻的时候好爱看的            
(5星)	 太爱了 看100遍也很high  主题曲 大爱大爱 爆喜欢韩湘子嗷嗷嗷            
(3星)	 只记得那个场景真是非常的漂亮            
(5星)	 诶呀，好喜欢这部阿，还有那首主题歌 &gt;&lt;            
(2星)	 恶搞啦啦啦啦啦啦啦            
(4星)	 咆哮帝居然不吼了也            
(4星)	      小时候看觉得白牡丹长的好漂亮呀~~            
(3星)	 看过，而且看过好几遍            
(3星)	 走啊走啊走～～～            
(2星)	 小时候居然还追着看的。            
(4星)	 很久后才发觉是新加坡的电视剧= =            
(2星)	 那时候就觉得教主真的是，，有点。。。            
(5星)	 我以前天天看。            
(4星)	 教主！俺笑了~~            
(3星)	 天若有情天亦老            
(3星)	 吕洞宾与何仙姑的暧昧故事。。。。            
(3星)	 我的学长长的像穿山甲            
(3星)	 去了蓬莱所以我要重温一遍            
(NA)	 小时候被感动得鼻涕眼泪一把把。何仙姑巨牛！穿山甲太猥琐！            
(2星)	 景涛~            
(3星)	 马景涛……            
(4星)	 我记得它很好看来着。记得里面那女的特漂亮            
(4星)	 这是我除了鉴证实录外，唯一和别人专门借碟看的！情就是劫啊！            
(5星)	 很迷白牡丹            
(5星)	 新加坡剧里最好的是多年前的《勇者无惧》和这一部~反复看都不会腻的            
(5星)	 话说那个穿山甲。。            
(3星)	 我们的教主，我错过了你的时代，是我的不幸。            
(5星)	 牡丹仙子很漂亮..就是名字不知道 -0-            
(2星)	 居然还看了几遍            
(3星)	 记住八仙的名字了。            
(2星)	 新加坡电视剧总是装B            
(3星)	 很无语!!!            
(4星)	 那时候的音乐，和牡丹。很喜欢            
(4星)	 当时特喜欢            
(3星)	 当时觉得很好看            
(4星)	 大爱牡丹仙子~想起在奶奶家的那个假期，每天晚上一家人围在电视机前看。然后我们突然就长大了，突然就不回奶奶家过暑假了            
(3星)	 12岁的暑假我没追《鹿鼎记》而追了《东游记》。片尾曲《逍遥游》我现在还会唱。            
(4星)	 还记得那主题曲            
(1星)	 教主是我永远的雷点！！            
(NA)	 想起小学同学            
(3星)	 龙三~~~~~            
(4星)	 马景涛从这个时候就咆哮开了，郭妃丽很动人            
(5星)	 马景涛最帅的片子...好像也是咆哮的最少的...            
(4星)	 这个大概已经是新加坡能动用的全部演员了。。。            
(NA)	 囧            
(4星)	 断断续续一直没看完整，我决定重温一遍            
(2星)	 自此知道了八仙是哪八个。            
(3星)	 居然是新加坡的？我曾经很很迷恋...            
(3星)	 都不怎么记得了            
(3星)	 那时候真是没什么电视看…… - -            
(4星)	 别具风味的新加坡作品。            
(3星)	 这个当时演就看 怎么那么爱看呢~？            
(4星)	 觉得很无聊，可是就是想看            
(4星)	 马景涛又咆哮了。记忆中让我能坚持守在电视机前追着看的片子            
(2星)	 很难看的...            
(NA)	 挺喜欢这部剧的            
(3星)	 看了不止一遍呀~            
(5星)	 何仙姑！！！            
(3星)	 反正是电视剧            
(NA)	 窘！            
(3星)	 越往后越编不下去了            
(1星)	 灰常混乱啊            
(3星)	 當時鬧法輪功，還禁播了一段            
(3星)	 总是想起何仙姑和穿山甲的爱情。。            
(4星)	 多希望呂洞賓從了何仙姑兒!~            
(1星)	 额地神呀            
(3星)	 马，，，            
(2星)	 那时候是一集一集追着看的，不过想想牡丹仙子那段剧情其实真的很雷……            
(4星)	 初中的时候看的。。龙三公主很可爱。。韩湘子我也很喜欢。。            
(3星)	 何仙姑喜欢            
(5星)	 故事离奇的经典版本。            
(3星)	 歌也很好听            
(NA)	 小时候放一次看一次            
(5星)	 小学和朋友一起看，现在一个人看，不过很好看            
(4星)	 男女之间不止有情，还可以有义            
(4星)	 天呐，多怀念啊。            
(4星)	 牡丹仙子。。            
(3星)	 看过很久很久了,好像还不错.            
(3星)	 还好不想吐            
(3星)	 现在看来好傻。。            
(NA)	 走啊走啊走            
(5星)	 好歹当年也看的欢实！            
(5星)	 小吕洞宾            
(2星)	 小时候大家都爱看，我却一直不喜欢！            
(4星)	 走哇走哇走~好汉跟我一起走~            
(NA)	 可怜又亲爱的穿山甲            
(NA)	 牡丹仙子。            
(3星)	 东游原来是指八仙，新加坡的古装剧有其独特魅力！            
(NA)	 小时候好喜欢阿!!            
(4星)	 虽然配音很烂，但是拍的不错的。            
(3星)	 小时候觉得白牡丹好好看，就不管剧情是怎么侮辱道家文化了            
(4星)	 喜欢。            
(3星)	 郭妃丽好看~            
(3星)	 它算是新加坡剧吧。。            
(3星)	 很神的作品，老觉得牡丹很像王菲啊。            
(3星)	 竟然是新加坡！！！            
(2星)	 主题曲还不错            
(3星)	 九寨沟啊~            
(3星)	 东游记            
(NA)	 逍遥尔尔            
(3星)	 除了马景涛，一切其实都还好～～另外新加坡剧也够煽情的            
(4星)	 其实拍得很不错，插曲也都很好听，还是在九寨沟取景的……            
(4星)	 曾经有一阵百看不厌            
(3星)	 何仙姑，吕洞宾！            
(3星)	 马景涛演得好假            
(3星)	 好久没有看过新加坡的剧集了，让我认识了它新一代的两个大美女            
(2星)	 为什么变成了狗血爱情故事喂            
(4星)	 永远喜欢神仙的故事，不过才发现是新加坡的。            
(4星)	 爱上一个人,金子都不再可爱了..喜欢郭妃丽演的白牡丹            
(3星)	 小马哥的发型那叫一个疯……            
(NA)	 我還記得有個人叫穿山甲            
(3星)	 牡丹还是仙子的时候蛮美的。            
(4星)	 不说别的，这部剧里的咆哮哥真的很放荡不羁真的很迷人·······            
(NA)	 当年看到最后的正邪合体大战，娘啊，这是红果果地日漫风格真人版啊。。。。我的钛合金眼。。。            
(5星)	 走啊走啊走，好汉跟我一起走            
(3星)	 就冲小时候追过。            
(3星)	 补遗            
(4星)	 童年啊            
(4星)	 以前小看了一下，很遗憾没从头到尾看啊            
(NA)	 教主！！！！！！！！！！！！            
(3星)	 喜欢郑秀珍多于郭妃丽。            
(3星)	 到底吕洞宾是和谁有一腿来着的            
(3星)	 当时有点怕...我也不知道为啥..            
(3星)	 这也算新加坡剧在内地辉煌时期的其中一部吧            
(3星)	 马景涛咆哮了没？忘了。。。            
(5星)	 小时候看着觉得故事的开端好美好，后来就往暗黑的道路上一去不复返了            
(2星)	 好吧这种设定还是接受不了。。            
(4星)	 啧啧啧啧~            
(3星)	 记得特别喜欢白牡丹            
(5星)	 景涛大帝！！！            
(5星)	 超级喜欢牡丹啊            
(NA)	 N久前看过，只记得牡丹仙子被罚几世，最后成为凡人失去记忆，和众人去看八仙过海的大结局，，那一刻伤感透了，            
(4星)	 那个时候很喜欢，何仙姑！            
(5星)	 童年的记忆啊            
(2星)	 感觉挺2的            
(4星)	 美丽的何仙姑 咆哮帝没咆哮            
(NA)	 剧情也记不得了  就记得 最后八仙过海来着            
(5星)	 超爱何仙姑和吕洞宾的说!!            
(3星)	 咆哮帝本色出演            
(5星)	 小时候超爱的 看了好多遍 喜欢郭妃丽            
(4星)	 那时候觉得能跟何仙姑一个姓特别幸福~            
(3星)	 觉得穿山甲被组团忽悠了            
(3星)	 当年看的时候真心希望何仙姑能跟吕洞宾在一起。。。            
(4星)	 那个时候的咆哮帝还是不错的            
(4星)	 童年。。            
(3星)	 八仙过海            
(3星)	 老片啊  当时觉得吕洞宾和那个何仙姑好配阿~~~            
(3星)	 咆哮吧教主！            
(3星)	 我一直觉得吕洞宾好帅的伐            
(4星)	 咆哮！！！！！！！！！！！！！！            
(2星)	 小时候看完后真想揪着咆哮帝咆哮：你丫的究竟对何仙姑啥意思？！            
(5星)	 那时好喜欢郑秀珍！！她的所有片子都看过有木有！！！            
