http://movie.douban.com/subject/6855096/	我也是花 나도, 꽃!
(5星)	 对里面一些不是重点的剧情，感同身受。            
(4星)	 虎头蛇尾啊，就这样草草结束了            
(2星)	 实在是一般 题材也不怎么的             
(5星)	 我认为是很不错的一部剧，剧情很好，男主很帅，女主也很美，觉得女主是那种标准型的美女。整个故事传达了爱与被爱的思想。            
(5星)	 还好他没去演蔬菜店的小伙，            
(5星)	 大爱男主角~大发~            
(5星)	 让收视率见鬼去吧，真不知道那些人是什么品味！！！            
(5星)	 算是近年来看的比较好看的韩剧呢            
(4星)	 还不错，挺清新的。            
(3星)	 总的来说还行，但总感觉有点虎头蛇尾的感觉，之前编剧铺陈的很多剧情，到后来却都没有展开来···貌似女主还有一个前度，闪了一下，也就不见了··            
(5星)	 男主的演技很好，虽然看起来很小，一开始也怨念不是金在元出演，后来真是越来越喜欢他了， 哎            
(5星)	 韩高恩很性感 很霸气 其实我们都应该学着如何去爱 都应该学着首先去做最重要的事 PS OST很不错            
(5星)	 主人公的性格刻画的很深刻，各种难以逾越的心理问题，但能通过努力克服，最终走出阴霾，拥抱爱情，开始新的人生            
(4星)	 有梦想的人都好梦            
(4星)	 妹子有男人以后就不好看了。            
(4星)	 在这个冬季第一部被牵动的剧集。完全不懂这句收视率这么烂的原因，泡菜诡异的审美观。            
(4星)	 看了一天的我也是花，很温暖的一部片子。尹时允360个角度都像是不同的人，很神奇。李起光还是演这么可爱的角色，让人喜欢啊。李智雅对她到是无感的很。            
(4星)	 明明挺好看。男主很可爱 女二很讨厌（高屎了 肿么不去打排球篮球什么的）            
(4星)	 我爱男猪脚的单眼皮！            
(4星)	 不错的电视剧，男女主角演技都不错，想不通为什么收视率就不高呢。。。            
(4星)	 我也是花            
(NA)	 尹时允对我来说基本上就是绝缘体 除了酱油君李起光 这部剧对我来说没有任何亮点 EP2果断弃            
(5星)	 温暖了这个冬天。            
(3星)	 代入了~嘻嘻！            
(5星)	 尹施允貌似变帅了呀            
(5星)	 推薦，雖然這部劇的收視據說不好，但是我也看了同檔期的#榮光的在仁#，可能是榮光的演員比較好或者其他原因，我覺得我花的劇情更好看。拜託了富二代和灰姑娘的故事，男主雖是有錢人但是是自己奮鬥的努力的孩子，而女主也是像我們一樣的普通女性。故事我很喜歡。除了女二，這部劇，我都喜歡！            
(4星)	 总觉得金道宇的台词就像是一首首的诗。。。            
(NA)	 大宝我想你。            
(5星)	 真心被打动            
(4星)	 此剧砸在最后一集, 可能是因被砍后匆匆收场. 个人感觉尹时允是一个很有潜力的演员, 希望他今后能遇到好角色..            
(4星)	 神秘富豪与女交警不得不说的故事~这个韩国新生代男演员不错            
(3星)	 男女主角选角不是很喜欢，但幸亏演技都不错！！！后半部分开始狗血。。最后很多东西也没交代明白就因为收视太低直接给缩短了。。。诶。。            
(5星)	 真心好看            
(5星)	 好爱的！！！            
(5星)	 紧紧抱着取暖的两个人！            
(5星)	 男主女主演技都很好，很符合剧中人物，OST很棒，冬日里看很温暖            
(5星)	 感觉是今年最给力的韩剧~~            
(NA)	 感觉还好吧。虽然韩剧普遍泡沫类型。不过我感觉这部戏的男女主角都很投入演的很不错。值得一看            
(5星)	 相当不错的一部韩剧，            
(3星)	 内容比较有深度，两个演员演技无可挑剔，剧情稍微弱了点，还是不错的韩剧            
(4星)	 不能磨灭的现实            
(4星)	 男主角的眼泪比女主角还要多啊。。。            
(5星)	 最纠结的是这部片儿，韩国人不喜欢，提前下档了。。。            
(5星)	 简单而又干净的爱情，温暖的感觉让人很舒服            
(5星)	 里面的男主太帅了！好像一个人~~~~~~~~            
(5星)	 不知为何低迷的收视率.            
(5星)	 很新颖的剧情，终于不再是两男一女的套路，            
(5星)	 好看好看，MBC 13点            
(5星)	 难得遇到个喜欢的女主角，真不容易            
(NA)	 “我不属于任何地方。”最后还是虎头蛇尾了。            
(5星)	  剧情靠谱，女主的演技很赞，难道是因为离婚和绯闻所以韩国大妈们都不看她的戏啦！年度好剧之一，可能不及秘密花园，但应该好过我的公主。            
(5星)	 巨爱。。            
(5星)	 男主帅~~~~~~~~~~~~            
(5星)	 关于生活的爱情 还是关于爱情的生活 细节很好 韩剧在偶像剧方面的精良与细心不是随便可以超越的            
(5星)	 属于刚开始平平,但是越开越有味道的一部剧~很久都没有这么期待的剧了，现在除了它也就是the musical而已~话说,没想到那么清纯的女主,竟然是77的呀~大爱~            
(3星)	 喜欢尹时允，但不喜欢女主角！~纠结啊，年龄差距太大了吧！~            
(4星)	 男主长得怎么那么像王胜男（北京一民谣女歌手）啊？是失散多年的哥哥不？女主的长相我喜欢            
(5星)	 正在看，反正很喜欢            
(5星)	 温暖的剧，冬天在窝在被窝或者沙发里看，一定很舒服。            
(5星)	 算是今年惟一追下来的韩剧（sg是去年的档吧）  笑点够  楠竹看多了也觉得挺可爱的 （又被扭曲审美了么么么么摔）            
(4星)	 每个人都有得到幸福的权利。            
(5星)	 很感人很温馨很动人            
(4星)	 目前看到第八集感觉还行，但是跟金三顺很多相似的剧情推动点啊0.0            
(4星)	 剧情绝对是韩剧中这个档期中最好的了，（只看了前几集后面不知编剧会不会抽风）男女主角总觉得长得没有观众缘,虽然编剧写过金三顺的,但是显然没有三顺和三石出场那么抓住别人的眼球,还有那个女三号,就是什么朴大人,强烈吐槽！！！她是照着汤唯整得吧！！！傻傻分不清楚啊            
(4星)	 很少花时间去看韩剧了。不过这部真实不错，插曲也好听~演员的演技也很到位。            
(3星)	 喜欢那俩人的感情 其他角色在我看来就是浮云了~~            
(NA)	 这孩子有暴力倾向不能要啊╮(￣▽￣&#34;)╭话说提前完结还真是...............            
(NA)	 怎么评价这么高            
(3星)	 结局好像有点仓促，男主角不错~然后整个看的过程都很享受            
(5星)	 最后的结局最美好            
(NA)	 第六集弃。。。。。            
(4星)	 怪胎加怪胎~            
(4星)	 不喜欢男1男2都患上变装癖的设定。但名牌编剧笔下的女主角深得我心。            
(5星)	 继金秀炫之后 再次迷上单眼皮男生 尹施允... 现在偶尔看到学校的韩国单眼皮男生 小心会跳啊...            
(3星)	 男生好可爱 &gt;&lt;            
(4星)	 很难得看完一部韩剧，觉得算治愈系。因为男1很帅，哈哈哈哈哈            
(3星)	 怎么说呢 不理解男主和女2是怎么个关系 还可以            
(2星)	 傻逼            
(4星)	 女主的长相太无爱了，整的啊，真看不出美在哪里。不过尹时允啊，李俊基加丁一宇，我喜欢，笑起来太无敌了啊。学会爱与被爱是成长，我了。            
(2星)	 一开始还行，后来又犯病了，剧情没有点想象的空间。            
(4星)	 男主角小眼睛却很帅！            
(3星)	 有点冗长- -太慢了            
(4星)	 simple &amp; sweet!             
(3星)	 喜欢男主才看的。。女主的脸太长了。。            
(NA)	 这部剧在各种感情方面处理还蛮真诚的，包括离婚这方面。男主虽然嫩但演技自然，李智雅挺有魅力的就是最近新闻闹得这剧收视率才这么低吧，徐孝琳也没传闻中那么讨厌吧。。。不过李起光这只粉红鸡算是整了个脑残卖萌让人出戏的角色，12集后他终于开始有存在感了--尽管我看他一直很欢心            
(4星)	 本来对这个名字很反感的，然后同学说很好看才看了。 里面的尹时允太会哭了。都差不多忘了什么剧情了。            
(3星)	 尹时允演技赞！            
(NA)	 女警花的爱情喜剧            
(3星)	 好没人气啊。。。还行吧，狗血了点。男女主不怎么好看。            
(4星)	 pink            
(4星)	 笑中带泪~不知道为什么在韩国收视不好。。            
(4星)	 很好看很好看！女主角77年的 怎么看怎么不像 就是脸长了点，男主角是少见的又萌又MAN，完全耐看~！哇哈哈尹施允万岁！            
(4星)	 挺轻松的一部剧，男主感觉蛮舒服，OST很好听            
(4星)	 男女猪脚乃亮点且唯一。            
(4星)	 如果要给这部韩剧定性 我觉得应该是温暖 看完之后真的很感动很温暖 觉得爱情真的很美好            
(4星)	 韩国人的口味实在是奇怪，这么一部好片没人看！            
(2星)	 真的看不下去，受不了这样的悲催孩子，难道是我老了？            
(4星)	 不得不说女主的私事害了这剧……虽然女主很悲情……男主要成大气的，抿嘴都很有故事~~~~            
(3星)	 花很美。。。。            
(4星)	 真心觉得是去年下半年制作最精良的韩剧了            
(NA)	 剧情不错 尹时润很帅 不知道为什么收视率低            
(3星)	 韩剧的冬天……没得新鲜料            
(4星)	 ONNI推荐的剧。。智雅姑娘还是原来的样子啊。。我有点想念秀芝妮了。。我也有点想裴老大了。。            
(3星)	 哈哈。最后居然出鬼了。            
(3星)	None
(5星)	 很喜欢尹施允  实力派啊            
(4星)	 这几年看完的不多的韩剧，觉得女主角好像爱情公寓里的一菲            
(3星)	 女主角的侧脸好美啊~            
(3星)	 男主的小眼睛 小脸 小腰小胳膊小腿的  怎么也看不顺眼   还是赵巡警可爱            
(3星)	 一星给尹施允,演技不错 / 一星给前几集的有趣,不过到后面就又不意外地耸了,,,            
(3星)	 没什么感觉啊  看第一集            
(4星)	 学会爱，学会被爱            
(3星)	 评论都说好..为毛我就是看不下去尼？要不是有起光我真的看不到第九集...说实话我真觉得一般....另:起光呆萌呆萌的爱死我了~            
(4星)	 女一一如既往的面部表情僵硬，男主演技不错，经常有看到李俊基的错觉。女二太有范儿啦，虽然是反面，但是很赞。有点年轻萧蔷的味道。喇叭花肿是演这样的讨人厌角色吗？            
(4星)	 恩恩 本人从大二开始养成的习惯 每年学期末 考完试都要看一部很韩剧的韩剧 这部剧符合我看韩剧的标准 美女 帅哥 童话故事 灰姑娘和阔少的故事呢 所以 给四星 哇哈哈~~~            
(2星)	 越看越没意思，不了解为什么分数还挺高。总觉得李智雅的五官很奇怪，是眼睛没有光么？总是有种蒙上了一层灰色的感觉，看着不舒服，不适合和尹时允这种充满活力的人在一起……            
(3星)	 大过年的不想看发人深思或虐心虐肺的东西，于是冲着金三顺的编剧挑了这部男女主演看着都还顺眼的棒子剧，仍是欢乐与纠结共存，故事简单小有起落不过讲得挺有技巧就有那么点引人入胜，三星半吧。另，ost真心赞。            
(2星)	 看不进去韩剧了。。是不是因为年纪大的缘故啊。            
(4星)	 很自然，很生活，很励志，不脑残→这年头有这些元素就能称之为好剧了吧            
(NA)	
(2星)	 快进看完，其实蛮难看的~~            
(4星)	 大年初一得此帅哥陪伴 虽然剧情什么的不给力 李智雅啊，迷倒郑宇成徐太志的人物，见到了····尹时允闹木闹木帅啊            
(NA)	 女二完全是个疯子!疯子!!!!!!女主有话直说的性格太让人喜欢了!!男主也是越看越有魅力!好看!!!!            
(4星)	 男主角我很喜欢。            
(5星)	 就是结局呃~            
(3星)	 这剧确实是好看，就是女主整容整的太明显了。。。不太喜欢女主、、里面的歌也很好听            
(4星)	 意外的好看~~            
(3星)	 尹时允好可爱！~好帅好帅滴说，就是女主有点像假人……不过度娘说人家是天然美女居然没整过容……            
(NA)	 男主角好帅~每个人都可以找到自己的幸福的，不要讨厌自己。。。            
(4星)	 姑娘们不要怕，奇葩总是会遇到另一朵奇葩。            
(NA)	 没看完，实在是看不下去。极度无聊的时侯都看不下去，现在就更不会回头去坚持看完了。            
(4星)	 姐弟恋也太明显了!!            
(3星)	 前面不错。后面的情感路线有点乱。。            
(4星)	 虽然整个故事超假 但却让我爱上了这男主~男主超可爱~配乐也很赞~            
(3星)	 女主看起来不错，男主看起来就有点年轻的不真实了。。讨厌纠结的剧情，这部剧虽然大圆满，在处理纠结的收尾的时候太草率了，看起来感觉挺奇怪的            
(4星)	 还算感人啦。。            
(4星)	  没有比懂得认真生活的人更耀眼。            
(3星)	 剧情马马虎虎，女猪脚个人觉得不错~~            
(4星)	 好的人設和台詞，狗血的情節。            
(NA)	 男主是耐看型 刚开始不怎么喜欢但是久了也有一种味道~            
(4星)	 从美少年演来的男猪脚 还蛮喜欢的 剧怎么讲 还有感动的点            
(4星)	 最后还蛮温暖的            
(3星)	 三顺的编剧？？？弱。            
(4星)	 李起光画眼线和不画眼线真的差距好大啊。。。李智雅真是逆生长，比尹时允大那么多居然一点都没有违和感             
(3星)	 終於看完了 劇什麽的看多了真心壞腦= = 所以還有什麽劇推一推唄。男豬腳的臉感覺好緊實啊=v=            
(NA)	 看过的最好看韩剧。。            
(3星)	 看了一半就弃了，感觉剧情很拖拉            
(3星)	 后半部分太拖沓太狗血。男女主角倒是养眼。            
(4星)	 我不知道这部剧为啥收视那么低~其实还是各种演得不错的~            
(4星)	 前面好看，后面有点快进了，有点搞不明白为什么女主这么固执的肯原谅男主，我得我有点烦躁            
(3星)	 就是不停的分手，复合，再分手，再复合...适合无聊又爱纠结的人            
(3星)	 剧情有点意思，但到后来就有点拖沓了。棒子剧大多都是这样。。特别是最后2集，又拖又扯，不过好歹拖拖快进还是看完了。男猪脚还真是越看越顺眼。。OST真的很好听。。            
(3星)	 鸡肋剧。            
(4星)	 还有几集 留着慢慢看 不喜欢第二女主 最然气场气质不错 但就是不like            
(4星)	 开始几集让我想弃剧，后来因为男主很会哭而接着看下去，最后两集我十分之无语%……根本就是扯啊……            
(4星)	 我觉得那挺好看的。。。            
(4星)	 这是今年那么多部韩剧里最靠谱的一部了为毛收视那么差啊擦！！！            
(3星)	 开头和立意都不错，挺能打动像我这种平凡女生的。可惜了，后来编剧没有把握好，可能也是受了收视率的影响，剧情又回归到老套韩剧路线。像这样没有大明星，没有大噱头，戏剧冲突又不激烈，想打动平凡观众又欠一点火候，只能反响平平了。            
(5星)	 爱死李施允，            
(3星)	 好无聊            
(3星)	 依然是韩剧 依然只有前几集有看头            
(4星)	 男主特别萌~女主根本看不出有30几了 皮肤真好= =            
(NA)	 一般般吧,,,越看越没劲的感觉            
(4星)	 女主角有完美侧脸啊，导演总拍侧面~~~            
(4星)	 这种不用动脑欢乐多多的电视剧还是很被需要的~            
(3星)	 越看越没意思            
(3星)	 为什么评价这么高，明明很烂的说……            
(3星)	 看完后没什么印象！            
(3星)	 这剧颠覆了我的价值观。女主角拼命希望男朋友是个穷光蛋才能交往            
(3星)	 只有第六集好看！配乐不错            
(3星)	 一开始挺好看，后来剧情越来越没劲~到最后就觉得是编剧不知道怎么编了而草草结束的。。            
(3星)	 无虐不成韩剧！            
(4星)	 一口气看完,喜欢女主角的吊鱼眼.里面的心理元素也很好.            
(4星)	 蛮好的故事，非常喜欢女主角，很可爱，还有，里面的插曲都很好听~            
(4星)	 四星少了点五星多了点。。            
(3星)	 就那样吧~~~            
(4星)	 还是觉得男主太像李准基了。。。。            
(5星)	 看韩剧还得看编剧啊！！相当的好看的说！！！感觉韩剧好久没有这么好看的片子了！！！！！给力！！ps:就是开始的会感觉男主太嫩了，那长相。。不过越看越舒服            
(2星)	 I dowantto男一男二换一下            
(3星)	 中段太纠结了跳看的 现在每每看到李智雅xi都情绪复杂哇 =.= 包子脸尹时允小朋友还是那么可爱~ 朴madame还挺美的 愣妹子也挺不错嘛最后还和大叔好了 - -             
(3星)	 表示看到一半多点就感到剧情很莫名奇妙，不过还是看完了            
(3星)	 这个对男女主角幸福的生活在了一起之后的故事完全不感兴趣的毛病总是会波及到各种电视剧            
(3星)	 看了两集，觉得还是以后有空再继续吧，不过女主角的脸好奇怪。。。            
(3星)	 香味 剧            
(NA)	 我很爱阿 但是收视率为什么不高呢TT            
(3星)	 恩，还算细腻……            
(4星)	 电视剧里面男主能为了女主抛弃全部的身家重新开始，果然是电视剧啊。这个故事结局让人感到很温馨，让人感到爱和被爱都是很幸福的事。            
(4星)	 不知道为什么收视率不好诶~我觉得还挺好看的，尽管剧情有点扯。            
(3星)	 :-)            
(4星)	 看2个女主角我都嫌累别说3个了            
(NA)	 我觉得很好看，最近是我看过的里面比较好看的了~~            
(NA)	 现在是多流行姐弟恋啊 ~            
(3星)	 圆满的大结局            
(3星)	None
(NA)	 在哪能播放呢？找不到啊？            
(4星)	 每个人都应该被治愈。            
(5星)	 其中很多心理学原理很受用，虽然完全不懂女主所谓抑郁症，但是当她的过往展示出来，我也同时很伤心。很喜欢。            
(3星)	 感觉男女主角看着比较舒服，剧情一般，而且结尾好差劲。            
(4星)	 音乐很不错。女主的衣服也不错~~            
(3星)	 前六集很好来着……后来又俗了！嗨，没办法。            
(4星)	 我觉得是很好的一部剧，人物刻画得很丰满，不过到后面就觉得有点不给力了。            
(3星)	 前面好看 后面墨迹            
(4星)	 明明外表帅帅拽拽的却又常常哭的让人心疼，坚强倔强又脆弱尹时允真的很会演戏的，那么年轻但那个灵气啊，前途无限量。应该找个年轻点的女主，尹时允实在太嫩两人不大配捏            
(3星)	 消磨时间。。。。            
(2星)	 那个无聊和泡沫啊。没什么主题。硬是靠两个主的脸硬撑着。看来金编是不行了。            
(NA)	 这个世界，一个怪胎总会遇到另一个怪胎的加强版！+1            
(3星)	 李启光挺可爱的，纯属打发时间的泡菜剧~            
(4星)	 懂得爱也要学会接受爱，生命里更多的相似经历不会是衡量彼此的标准，而更多的，是体会到彼此的心境和此刻感受的温暖。            
(5星)	 我也是花*****痴            
(3星)	 隔一段时间，看看韩剧，还是挺好的，因为可以毫无负担的开心。            
(3星)	 舍友说女主像我 我怎么看怎么觉着那个女主脸型像充气娃娃            
(4星)	 昨天熬夜看完的 表示还不错 就是后面拖沓了。            
(3星)	 纯粹喜欢咣咣            
(3星)	 看到女主多了个妹妹之后就不想看了。            
(4星)	 在熙是越看越帅的那种，我认为他是我看过的韩剧中最有种的男人，很喜欢他！            
(3星)	 女主真心漂亮！！！            
(4星)	 哈哈            
(3星)	 不知道为什么啊  到看完了还是不喜欢女主。。。            
(3星)	 终于完结了，停停跳跳的看完了            
(4星)	 虽然看不懂这剧名，可到底还算是有点内容的韩剧            
(3星)	 中间几集狠虐了一把。。。            
(4星)	 偶尔也需要看点脑残剧充实下生活..面孔好熟....            
(5星)	 前面是真的相当好看。。。。但15集的长度让人担心是虎头蛇尾。            
(4星)	 为什么爱能随便说出口 因为爱廉价啊 说一次收个500块才会让人心疼            
(3星)	 还可以啊，苦大仇深的女主，轻松的剧情，稍微来点小悲，典型的韩剧，为什么收视率这么低啊？            
(2星)	 看不下去！男猪脚太嫩了！            
(4星)	 麻木的时候看看！            
(4星)	 最主要的是女主很美            
(3星)	 慢慢看发展            
(NA)	 尹施允啊               
(4星)	 我终于终于看完了，没有感想。。。            
(4星)	 前10集满分，后五集我一直在怀疑到底是不是找了枪手写剧本。台词人物处理上还是那个金编，可后半程剧情上失望太多了，甚至觉得他俩在一起太能闹腾了，凑成CP简直是个错误= =+ 尹和起光在剧里太可爱了PS编剧吐槽演员长相的那几句台词真是经典啊= =女二的嘴巴歪的太难看了...            
(3星)	 女猪今天我才发现是77年德？看不出来啊，不过比起贝多芬病毒的时候脸整得差很多了，僵硬啊            
(5星)	 超喜欢女主。            
(5星)	 很温暖的好剧            
(5星)	 好好看            
(4星)	 看到13弃之~男主角I LIKE IT 邪邪的            
(3星)	 踢腿那段莫名其妙的好笑~            
(3星)	 怎么感觉看的没头没尾的            
(5星)	 尹真的好像李准基。。。。。=。=连演技的表现手法都很像。。。。我倘不牢了 渐入佳境的剧 我表示现在觉得在熙超有爱。。。。最后两集又显得有点平淡了 不过男主吃醋果然都很搞笑啊 哈哈            
(4星)	 各种喜欢尹时允            
(5星)	 女主是个很tough的小人物，没有朋友，说话直接，情绪也不懂得隐藏，最重要的是她也很讨厌这样的自己，活的卑微却想保有自我，别人都觉得她有病，她渐渐地也觉得自己真的有病，现实中大多数人都是这样矛盾地卑微地活着，我们不是不开心，只是开心好像少了点什么，这样的她有男主来拯救，现实中的我            
(5星)	 今年最喜欢的韩剧之一，比那个花美男面馆好看多了。            
(5星)	 不喜欢台长的韩剧，这部戏其实很有小清新的感觉，男主角把角色诠释的很好。            
(3星)	 看完鸟~  看到后来觉得越来越急人了~            
(3星)	 前两集很惊艳，对白精彩，后面就无力了            
(4星)	 刚开始看的确很有意思  可为嘛看完第九集突然觉得故事有点无趣了捏   难道是自我滴小女警变身为可心女友的缘故？ 看完预告基本就知道情节了  无聊还是可以看下滴            
(NA)	 最后一集，简直是，一字形容之：乱。本来还不错的剧集，彻底被最后一集的不知所谓给打败了。            
(5星)	 中毒            
(3星)	 后半段又回归典型的韩剧了 看不下去了 弃             
(5星)	 20亿的告白~~~ 这几年唯一看了好几遍的韩剧 *v*            
(4星)	 这个世界，一个怪胎总会遇到另一个怪胎的。            
(NA)	None
(4星)	 你很黑暗，有阴影，怎么掩盖都掩盖不了。 是不是觉得连个虫子都不如 像路上的灰尘 像随着河流飘走的易拉罐， 像被玩腻的脏娃娃 像1年365天 也不下雨 也没有人来的沙滩上的仙人掌 自己死了 也没人看的。            
(4星)	 男主角穿正裝完全喜歡啊.....            
(5星)	 貌似挺好看的样子，歌好听            
(2星)	 看了10集实在喜欢不起来这男主角            
(3星)	 男主角 好奶油 不是我喜欢的那种 不过很可爱 哈哈            
(3星)	 直接从第十集跳到了最后一集，事实证明我跳过的只是一些可有可无的狗血镜头，我猜中了过程而且还猜中了结局            
(4星)	 尹时允的演技不错            
(4星)	 男女主角很有爱            
(4星)	         还不错，最近剧慌。            
(4星)	 两个孤独的互相却暖的孩子~~~            
(4星)	 剧情不错，几个主角演技也挺好的，不夸张。两个有童年阴影的人啊，唉，相互取暖。            
(4星)	 什么都好，只是这巨大的年龄差啊~~~~            
(4星)	 結局有些無力            
(3星)	 弃了            
