http://movie.douban.com/subject/2294268/	新龙门客栈
(NA)	 偶是多么古老的电视虫啊~~~常言笑是吧就你！            
(NA)	 李立群演的魏忠贤印象最深，还有张曼玉的风情万种（虽然那时候不喜欢）            
(5星)	 经典老片。集青霞曼玉家辉于一身啊。            
(NA)	 陈红是个镁铝。。            
(NA)	 独爱常言笑。            
(NA)	 无意间翻到了小时候最喜欢的武侠片……人物塑造和对白远远超过了电视剧的水准，剧本荡气回肠，和徐克的电影相比增加的常言笑简直就是片子的点睛之笔。还有就是，在6年级的我的眼里陈红太美了。            
(4星)	 就是曾经痴迷于此剧，导致我妈在我电视儿童的时代，彻底不让我在寒暑假看电视......            
(4星)	 寒假片~            
(4星)	 张炭还是无极的编剧。。。            
(4星)	 那时候老喜欢夏文汐了            
(3星)	 杨佩佩工作室的电视剧，音乐要比剧集强            
(NA)	 风情，当年没有领略到，现在却也不晚            
(5星)	 影调 气氛 张力            
(4星)	 关礼杰，夏文汐都演绎出了此片精华            
(4星)	 咳咳 因为这部戏 我开始认同马景涛。。            
(3星)	 比较喜欢李立群的表演            
(NA)	 陳紅很漂亮            
(4星)	 关礼杰好帅啊。            
(5星)	 确实跟电影不相伯仲（电影指的是老版《新龙门客栈》）            
(3星)	 关礼杰、李立群、陈红、夏文汐……            
(5星)	 很小时候就喜欢的电视剧。小时候很讨厌邱莫言，很喜欢金镶玉。现在依然，不过喜欢的加了一位常言笑。            
(4星)	 看来看去 还是最后削骨头最过瘾            
(3星)	 陈红好漂亮啊。夏文汐以前在台湾演了新龙门客栈神雕侠侣，前段又和陈伟霆拍了个烂片《出轨的女人》，那时我才知道她原来是香港演员啊。。            
(NA)	 陈红那时候真漂亮。            
(NA)	 上海要演话剧版的《新龙门客栈》了。。            
(5星)	 咆哮帝出演的电视剧都不错，片尾曲可喜欢了            
(NA)	 我是后来才知道女主角是 夏文汐 的            
(5星)	 我有多爱马景涛阿~            
(5星)	 常言笑啊常言笑~  杨佩佩兼职的很多戏都不错， 还有教主的倚天屠龙记            
(4星)	 夏文汐演活了金镶玉 也能演潘金莲的；陈红在这部剧里面表现不俗。            
(4星)	 那个风情万种的老板娘。。又是一部不记得结局的片。            
(3星)	 长剧的通病，编着编着就短路了。。。前20集绝对的经典，大漠风情，江湖情怀，龙门客栈各路人马各怀鬼胎，勾心斗角，绝对的精彩！！可惜到后面都乱套了。还非要弄这么个结局，与其让教主回龙门客栈再死，不如不回，起码有个等待……虐心！！            
(5星)	 五星是给教主的。            
(4星)	 凭着当时的记忆，给了四星。            
(NA)	 当时的感觉是：节奏真慢            
(4星)	 夏文汐实在是尤物吖~            
(5星)	 又是儿时回忆说~ 陈红当年真是美得个要命啊！            
(4星)	 主题曲！！            
(5星)	 小时候不知看了多少遍，大漠孤烟，古道西风瘦马，是每个看武打片孩子的憧憬            
(3星)	 新龙门客栈            
(NA)	 夏文汐真是啊真是啊真是。。。            
(4星)	 杨佩佩那几年真就是创作旺盛期啊，我大爱常言笑，大家被打我。            
(3星)	 总体上。。我觉得。。。周淮安在整出戏里就是个捣乱的~金镶玉和魏忠贤倒是有看点~            
(5星)	 常言笑最后的结局可惜了，本不必如此的，总觉得周淮安应该不是他的对手            
(4星)	 这个版本也不错 蛮喜欢            
(3星)	 因为夏文汐            
(3星)	 每个人的扮相都很美，但杨佩佩的片子都一个毛病——拖！            
(3星)	 改编自电影，不如电影            
(4星)	 看了电视剧才看电影的。            
(5星)	 小时候的记忆是最强大的力量，谁也不能说它的不好。            
(2星)	 拖沓得很。不好看。邱莫言最后竟然跟小王爷结婚了，简直匪夷所思。还有了小孩，又自己动手打掉，令人恶心的改编。            
(4星)	 常言笑那个让我心疼的男人            
(5星)	 看着长大的……            
(4星)	 充满侠义气的台词。也爱关礼杰。            
(2星)	 不停滴喝酒            
(5星)	 大爱的一部剧~            
(4星)	 陈红哈美            
(3星)	 还是比较中意电影版            
(5星)	 这部剧真的是太经典了，呵呵。            
(4星)	 邱莫言  原本这个角色也是属意海味的  后来归了陈红  倒成了她角色生涯里我唯一喜欢的            
(NA)	 新龙门客栈            
(NA)	 野风！            
(5星)	 黄沙大漠里的传奇，杨佩佩，我爱你            
(NA)	 我那时候特别喜欢信王来着，靠            
(5星)	 李立群的演技。郭同学的演化。金镶玉的演绎。常言笑的演变。人生总是风风雨雨，人海茫茫总是毫无头绪，早已忘了为何相依相聚，要不当初也忘了恐惧。            
(NA)	 haihao             
(4星)	 当时看的是配音版，只记得老板娘一直在和人家调情。            
(4星)	 夏文汐經典啊！！            
(4星)	 对东厂的太监印象深。            
(5星)	 小学时看的，当时看这剧特费脑子，因为几乎每个人的台词都是话里有话，斗智斗勇啊            
(4星)	None
(4星)	 尤记得关礼杰最后成为了东厂的那惊艳一瞥            
(4星)	 好像小时候看过！！！！！！！！！！！！            
(5星)	 非常非常喜歡的一部作品，編劇張炭的臺詞寫的實在是太有味道，令人一往情深。它並不像通常意義上的武俠片，它探討的人生問題太多，擁有的演員太精彩，於是那些虛構的角色便活了過來，變成了活生生的人。你想成為什麼樣的人，在劇中似乎都可以找到一個代表來——唯一的區別，大約在於片中都是癡情人。            
(2星)	 看完之后终于知道什么叫欲哭无泪了。。。演员的表现多给一分。            
(4星)	 当年是先看了夏文汐的金镶玉才看到张曼玉的金镶玉，虽然张曼玉的金镶玉已经成为经典了，可是我仍然很喜欢夏文汐……            
(4星)	 现在拍的武侠简直不堪入目            
(NA)	 和电影版同样的导演和编剧，一流的表演与台词，如果砍掉十集来让剧情紧凑点，就是绝对的经典之作            
(5星)	 经典.            
(4星)	 那些死太监啊            
(4星)	 真心不错            
(5星)	 我看过的咆哮马最好的电视剧            
(5星)	 最经典的武侠片            
(2星)	 公选课看的            
(5星)	 对白精彩，一部好剧！            
(5星)	 50大50集啊。            
(4星)	 好像是通过这个剧认识安仔的。PS：李度的歌真美。            
(4星)	 常！言！笑！            
(3星)	 没有电影版的精彩。            
(4星)	 太慢了。。。            
(4星)	 关礼杰不错            
(4星)	 浮萍漂泊本无根，天涯游子君莫问            
(4星)	 依稀记得老板娘很泼辣            
(3星)	 野风            
(4星)	 这个经典            
(3星)	 演员不错~ 情节没印象~            
(5星)	 倍儿棒的角度            
(4星)	 最后的背叛            
(4星)	 小时候被那白骨手吓死了...            
(5星)	 这部是挺精彩的，但是太长，一直都消化不了~            
(4星)	 台剧曾给一代人留下那么经典的回忆，得感谢杨佩佩啊~            
(3星)	 杨佩佩滴，经典阵容，那时候觉得夏文汐好老。            
(5星)	 居然有夏文汐。。。            
(5星)	 哎哎哎这个也是小学时候看的一部经典 大爱金镶玉跟常言笑这两个角色 当然是因为夏文汐跟关礼杰演得好 话说对屈中恒在里边跑的龙套印象非常深刻            
(5星)	 想听这部电视剧的原声音乐            
(5星)	 邱莫言，常言笑。。。            
(4星)	 看了剧照有点印象，仔细想想又没什么印象            
(4星)	 电视剧也风味十足            
(4星)	 果然又是杨佩佩            
(1星)	 演员看着都别扭。。。。。。            
(NA)	 那时候陈红很好看啊            
(NA)	 每个人心中都有一个这样的咆哮马；小常……            
(5星)	 百看不厌            
(4星)	 徐克的经典之作            
(3星)	 我只记得陈红            
(NA)	 小时候看第一集吓死了            
(3星)	 其实我不喜欢关礼杰。。            
(4星)	 那个时代的经典            
(4星)	 主题曲啊~            
(5星)	 除了后三集 除了马和陈 其他完美了            
(3星)	 不记得了……            
(5星)	 深刻的喜欢            
(5星)	 最爱            
(4星)	 主题曲片尾曲印象深刻            
(4星)	 咆哮哥！！            
(4星)	 杨佩佩的东西，总是在好看和拖沓中游走。            
(NA)	 当时觉得郭晋安和陈红太衬了            
(3星)	 没有电影版的精彩。            
(4星)	 最喜欢的一部电视剧            
(3星)	 台词精彩，只是不喜欢马，看来40集不知道他是来干嘛的。            
(4星)	 除了轰隆隆的背景音乐 我真的觉得是部很好的武侠片 喜欢滚滚黄沙中的大漠 让人想到另外一部 很有悲剧色彩的 逆水寒 都是一个套路 一个正直胸怀天下的大侠 一个翩翩浊世公子            
(4星)	 对明朝的东厂、西厂记忆深刻...            
(5星)	 音乐很好听。当年的陈虹，当年的马景涛，当年的夏文夕，还有当年的关礼杰，回忆啊……            
(NA)	 啊……玉玉            
(4星)	 那个时期，我很喜欢陈红。这部剧里，我最喜欢郭晋安的朱由检。主题曲片尾曲最给力，《难以抗拒》《野风》。            
(5星)	 人生中的经典回忆！            
(5星)	 刀法令人震惊PS：八月十五庙门开，各种蜡烛摆上来。红蜡烛红，白蜡烛白，小妹我一把攥不过来……  可惜世上已没有那般青春的张曼玉            
(3星)	 那个桃花眼嬉皮笑脸的混蛋，我喜欢你            
(4星)	 很有意境的一部电影衍生剧。            
(NA)	 关礼杰比较帅            
(3星)	 记得小时候，重播n多次我都跟最后一集擦肩而过，因为武打剧往往最后一集打的很火爆，网络社会就是好；另外，发现，有点黄            
(4星)	 我真的很喜欢里面的夏文汐            
(3星)	 当时感觉夏文汐好漂亮~咱抛开咆哮哥~            
(5星)	 听说夏文汐要复出。她的戏不错的，当年《春去春又回》来的个清纯，后来在《唐朝豪放女》中有惊艳一枪，新龙门客栈里的金镶玉不输曼玉姐的            
(4星)	 只为了记忆里最美的邱莫言            
(NA)	 别看            
(5星)	 当年我一直喜欢金香玉和常言笑会是一对。。            
(5星)	 儿时经典了，虽然现在剧情都记不清了            
(4星)	 心目中的经典，片尾曲客人和野风都很好听，喜欢李立群，啊我有点变态            
(5星)	 那一年就只记得陈红怎么这么漂亮。再回首真是好经典啊~片尾曲亮了一记            
(5星)	 漢服。            
(3星)	 没有电影好看。            
(4星)	 不喜欢马景涛            
(3星)	 真的没记忆了。。。。            
(5星)	 比电影好多了。            
(NA)	 新龙门……            
(5星)	 十几年前的片子，但同爱的人不少。也难怪，不说台词用心精辟，字字珠玑，不说场景恢宏，沙漠浩瀚，光看夏文汐有金湘玉的风骚又风尘侠骨，陈红年轻时冷艳若桃李妩媚胜柳，连配角关礼杰饰演的常言笑也翩翩逍遥机心不露，武侠片中不可多得的佳作。可惜，这马景涛饰演的周淮安，不配啊，只有他，是败笔！            
(5星)	 文艺气息很浓啊，个个说话都不一般。            
(3星)	 不如电影版的            
(3星)	 其实俺记不太清情节了～～            
(4星)	 小时候很痴迷，每天等候剧情            
(NA)	 新武侠片的经典            
(4星)	 对白让人印象深刻！动作设计不错，片头片尾曲都很经典！            
(4星)	 比起电影版，我好像更喜欢这个电视剧版。夏文汐演技非常不错。从这部戏很注意上陈红，但后来她竟一直是木木的或是过于夸张的演戏。            
(4星)	 高中时看的，最喜欢常言笑，印象深刻，因此喜欢上关礼杰，可惜他演的其他角色都平平            
(3星)	 主题曲不错            
(2星)	 就是一个感觉，好恶心啊。不干净的印象！            
(3星)	 都快忘了的电视剧，当年也是很火的            
(3星)	 为了夏文汐来看的，但是不喜欢这种风格的电视剧。。。看了几集，还是放弃算了。            
(3星)	 当时只关注陈红演的莫言了            
(5星)	 只想念，不牵挂            
(5星)	 我很喜欢关礼杰·········            
(3星)	 觉得当时的李立群很恐怖            
(NA)	 觉得电影好看。            
(4星)	 夏文汐演的金湘玉很有感觉！陈红当年很漂亮！            
(5星)	 夏文汐很漂亮            
(5星)	 也算是当年的经典吧！            
(2星)	 我一直不喜欢台湾腔，女的太嗲，男的太娘。好在台湾腔一直只被普遍应用于琼瑶剧，酸点就酸点吧。《新龙》里，我仿佛最爱夏文汐和关礼杰，武侠和情爱什么的纠结，最有爱了！            
(4星)	 明明是电视剧            
(5星)	 在电影院看的...            
(NA)	 夏文汐演得很好。             
(4星)	 夏文汐的扮相经典,不一样的金镶玉            
(NA)	 嗯。。夏文汐就是金湘玉。。。风骚老板娘            
(NA)	 剧情都记不清了，但是很怀念那种感觉            
(NA)	 常言笑。。TAT            
(NA)	 好喜欢里面的常言笑啊~~~            
