http://movie.douban.com/subject/2189642/	北京人在纽约
(4星)	 好看 姜文太帅了            
(4星)	 姜文            
(2星)	 草 我妈说我小时候老迷姜文了 就是这个电视剧 我怎么没印象了呢            
(NA)	 绝对的经典            
(4星)	 美國既不是地獄 也不是天堂 是戰場            
(5星)	 千万里我追寻着你            
(4星)	 歌声响起，纽约到了            
(4星)	 王小毛最爱的老姜。            
(5星)	 我觉得这个才是中国电视剧里最好看的            
(5星)	 每看一遍都会有种困惑，快20年了。。。            
(4星)	 马晓晴真漂亮            
(3星)	 看不下去了..            
(5星)	 这样的电视剧在90年代初的中国确实是不可多得的里程碑式作品了。当中的感触也是相当的多，尤其是当中的许多中西文化冲突，实在是刻画的相当好。大结局里面冯小刚上来客串重演当年夫妇俩登陆美国时的情景颇有些灰色的幽默和画龙点睛式的用意。经典真不愧是经典啊。。。            
(4星)	 此间经验教训放到现在一样成立。            
(4星)	 千万里我追寻着你……经典。            
(3星)	 看得真心累            
(5星)	 严晓频演的太做作了其他都太棒了            
(5星)	 二十的回忆 中国人就得逼着走！            
(5星)	 小时候其实都没看懂，看见亲密的镜头父母会让自己避讳，一定要再看遍。经典的。            
(5星)	 姐想去！            
(4星)	 当时怎么觉得挺激情的            
(3星)	 后半部烂了            
(4星)	 就记着那首主题曲了 ……            
(5星)	 千万里~我追寻到你            
(4星)	 现在看来也是一部很不错的电视剧片  非常喜欢            
(NA)	 这才是出国混的鼻祖             
(5星)	 那个时候第一次想出国            
(NA)	 又是大头欢            
(5星)	 nice            
(NA)	 当时妈妈就说，姜文是个爷们儿。            
(4星)	 那个时候美国是多么遥远啊。            
(5星)	 这么多年以后看来仍然很经典。            
(4星)	 曾经红遍大江南北的电视剧。记得那个时候，我家这一带家家户户都能听到这片子的主题曲。。。            
(4星)	 千万次的问！大爱！姜文他女儿和老外上床给年幼的我留下了深深的烙印            
(5星)	 刘欢的歌还能在耳边响起。            
(5星)	 嗯嗯，印象深刻            
(5星)	 时代的缩影            
(5星)	 好看，看尽落花，人世间            
(4星)	 time and time again...            
(NA)	 记不大得了，只觉得这是一个很残忍的片子，因为讲的是人的改变。            
(4星)	 一晃20年过去了~            
(4星)	 当年我们看的挺华丽,其实故事挺伤感            
(4星)	 还是满真实的            
(4星)	 跟到爸爸妈妈看的 哈哈            
(4星)	 小時候～哈哈～            
(4星)	 还是歌流传更久吧            
(5星)	 真TM经典，真TM心酸....            
(NA)	 真早，没看懂……当时知道了个刘欢            
(4星)	 还是经典的。直击现实,还是90年代            
(NA)	 或许我的法国生活不想他们那样凄惨，但是，每个在海外的中国人，或多或少都有自己的辛酸，这些事，经历过了才会深刻。            
(4星)	 追看的片子            
(4星)	 记得还是很小的时候和妈妈一起看的额~~            
(4星)	 没这剧的话，刘欢没那么快红吧。            
(5星)	 千万里我追寻着你            
(5星)	 姜文姜文，太爷们儿了            
(5星)	 这部电视剧怎么能这么牛逼            
(3星)	 刘欢的那首歌更熟悉些。            
(5星)	 姜文整个角色膨胀起来了。演的太好了。            
(NA)	 八错            
(3星)	 吃饭的时候看的黄金档            
(5星)	 很久以前的事情了。            
(3星)	 姜文的演技，很棒~~            
(NA)	 當時年小，不是很懂。            
(5星)	 这戏因为有姜文 看起来一点也不过时            
(5星)	 太棒了……            
(4星)	 纽约是天堂也是地狱            
(4星)	 小时候看不懂 但也觉得很好看            
(5星)	 小时侯，我认为这是我看过得最黄色的东西了。            
(4星)	 我还会唱那个主题曲            
(NA)	 王启明 阿春~            
(4星)	 居然是冯小刚导演？！            
(5星)	 nb            
(NA)	 记不清了            
(3星)	 姜文，王姬。那时候，姜文还演连续剧；那时候，人们还觉得美国遥远而陌生。            
(4星)	 我还看过连环画版的。。。            
(NA)	 很现实来着？            
(3星)	 小时候最爱看的电视剧。            
(5星)	 小时候的最爱            
(4星)	 学校里再也没有像我这样的处女了！！！            
(NA)	 90年代的出国潮？            
(5星)	 天堂 地狱            
(4星)	 可以联想到很多~            
(5星)	 当年那个流行啊，万人空巷。            
(3星)	 一个预言...........            
(4星)	 阿春~            
(5星)	 最经典的关于中国人在国外生活的连续剧。            
(4星)	 都记不清了            
(5星)	 那时候拍片还是很有想法的            
(5星)	 和Z一起看。            
(NA)	 最喜欢姜文那句：我×你妈！            
(5星)	 千万次得问~            
(5星)	 如果你爱一个人就送他去纽约,因为那里是天堂.如果你恨一个人就送他去纽约,因为那里是地狱.            
(5星)	 姜文好霸气啊~哈！            
(4星)	 很小的时候瞥到的，想重看，不同的时候，同一部片，心境都不同            
(NA)	 都记不大清楚细节了，就记得非常好看            
(5星)	 经典！            
(5星)	 九十年代的回忆            
(4星)	 外国的第一接触            
(3星)	 time and time again you ask me ~            
(4星)	 不去纽约            
(4星)	 问自己你到底好在哪里？？            
(4星)	 千万次的问，经典的移民剧            
(NA)	 重新看一遍,小时候看的没记住!            
(NA)	 那时还年少。            
(5星)	 牛逼就是牛逼。            
(3星)	 只记得刘欢的歌了            
(4星)	 非常经典            
(NA)	 忘得差不多了            
(NA)	 小时候跟爸爸妈妈一起看，看不太明白。长大了又看，总是很经典            
(4星)	 当年姜文没那么讨厌            
(NA)	 小学时的电视剧 现在唯一记住的就是刘欢唱的主题曲……            
(5星)	 分到哪一类好呢。。。            
(5星)	 我记住那一句“如果你爱他，那么送他到纽约，因为那里是天堂；如果你恨他，那么送他到纽约，因为那里是地狱”无关爱恨，我却来到了魔都上海。            
(5星)	 喜欢王姬,喜欢严小频            
(3星)	 只记得结局很凄凉了  我妈当时看得一把鼻涕一把泪。另外刘欢当时唱得主题曲现在还记得            
(5星)	 曾经那么喜欢的电视剧。            
(3星)	 太久的记忆了，已经不记得太多的细节，大概从今天的状态不会接受这样的片子了吧，不过他还是经典，看着它让人不能不联想起那个时代，况且对于那个时代的记忆早被童年带走，留下的就只有这些影视作品中的联系了吧。            
(5星)	 大提琴，美金，还有变质的爱情            
(4星)	 对那首歌印象比较深刻。。            
(5星)	 千万里 我追求着你~~            
(4星)	 it is hell, absolutely            
(5星)	 很喜欢里面的感觉。。            
(5星)	 千万里我追寻着你，可是你却并不在意。            
(4星)	 我那时好小            
(4星)	 21            
(4星)	 很小很小的時候看的。            
(4星)	 真经典            
(4星)	 小时候看的至今印象还很深            
(NA)	 北京人在纽约            
(4星)	 “千萬里我追尋著你，可是你卻并不在意……”還有那個著名的天堂-紐約-地獄論...當初看得懵懵懂懂的..卻可看得感慨萬分..            
(NA)	 冯小刚 姜文 电视剧             
(3星)	 小学看的吧。。最近老有台重播。网上有人说里面全是假的。我也不知道是不是真的。            
(5星)	 time time again u ask me            
(5星)	 经典。。            
(NA)	 原来很红            
(3星)	 那时候我还不懂得看呢，            
(5星)	 曾经的记忆            
(NA)	 这片子已经看过很久了 不过剧情还是记忆犹新 喜欢王姬            
(4星)	 当时还是很震撼的            
(5星)	 即时现在看也一点不落后！！            
(4星)	 刘欢的歌最好            
(4星)	 记得那时年纪小~            
(NA)	 如果有机会 一定要买来做珍藏 电视剧的主题歌 把那个年代的出国梦都概括了 喜欢姜文            
(NA)	 太满~太马干~由啊啊斯克米一一~~问我~到底还不还你一~            
(3星)	 好像看过··反正很火··            
(5星)	 刚又重看一遍，超棒            
(5星)	 后来再看，很生活~~            
(NA)	 片头那两句话真文艺            
(NA)	 上映15年后，再看，还是引起了很多共鸣。            
(4星)	 If you love him,bring him to NY,because there&#39;s Heaven;If you hate him,bring him to NY,because there&#39;s a hell.             
(5星)	 很有分量的电视剧            
(5星)	 无敌经典！！！            
(NA)	 北京人在纽约.            
(5星)	 因为记忆尤新            
(5星)	 书更好看哦            
(5星)	 小时候不懂事 前几天又看了一遍            
(5星)	 年轻时我愿成为姜文样的人             
(5星)	 我想那个年代就好象我们这个年代一样，“出国热”！可是到了我们梦寐以求的国家，将等待的又是什么呢？            
(4星)	 很棒的剧本            
(NA)	 沉浮不定，有福有祸。            
(NA)	 身在他乡的人们            
(4星)	 才发现冯小刚也是这部剧的导演。            
(4星)	 当时的一股热潮啊            
(NA)	 喜欢的            
(NA)	 这..小时候 很麻烦的一片 刘欢的声音            
(3星)	 印象深刻的是沙发电视机都可以捡到。。还有织毛衣可以发财            
(4星)	 只记得那首歌了            
(5星)	 一代人的美国梦            
(4星)	 那时候还小。看的却很过瘾。当时还不怎么认识王朔冯小刚            
(NA)	 故事讲的还可以            
(NA)	 自己喜欢的第一部国产电视剧            
(5星)	 和我妈一起在睡觉前看.什么也不懂,却看得津津有味.            
(3星)	 好像重看一遍            
(4星)	 非常非常经典的一部片子            
(4星)	 千万里~我追寻卓尼~~~            
(4星)	 很经典，相当经典            
(3星)	 老爸老妈很喜欢            
(NA)	 陪妈妈看的，没印象了            
(5星)	 一直是我最爱的连续剧——“If you love him，send him to New York，for it&#39;s heaven； if you hate him, send him to New York, for it&#39;s hell”            
(5星)	 小孩时真的看懂了一些            
(NA)	 还不错            
(NA)	 很多年            
(NA)	 记住姜文和王姬的一部好片子，看的那会还在读初中，刘欢的歌唱得也好。真的很优秀。            
(3星)	 是人都看过的吧？            
(5星)	 我麻麻的大爱，我三岁时就抱着我看。            
(5星)	 经典            
(5星)	 小时候最喜欢的电视剧 还有一帘幽梦            
(5星)	 牛逼闪闪了好吗            
(5星)	 如果你爱他，就把他送到纽约，因为那里是天堂；如果你恨他，就把他送到纽约，因为那里是地狱。            
(5星)	 有太多事情由不得我们抉择 是生活抉择我们的方向             
(4星)	 我只记得主题曲了。。。。            
(4星)	 很小的时候看的            
(4星)	 二十五岁以上的国人应该都看过吧            
(4星)	 可惜那时候还太小 只记住了主题曲。            
(4星)	None
(4星)	 对纽约的初印象，天堂或是地狱            
(3星)	 千万次的问候            
(4星)	 时代背景，个人悲局。大撒把类同            
(4星)	 这部是电视剧里的经典啊~            
(NA)	 小时候觉得王姬好风骚啊，偷偷的把那些激情戏当做黄片来看，好囧。            
(5星)	 和老妈囤家里看，太经典~！！            
(4星)	 time time again  i ask myself            
(5星)	 有味道            
(NA)	 童年的回忆            
(4星)	 没什么印象了，记得小时候很火爆的电视剧            
(4星)	 90年代初的愤青没有不知道的            
(5星)	 太经典了，比小说好看            
(4星)	None
(3星)	 小时候跟着大人们看.其实也不算看过,印象只剩下那首歌了...            
(5星)	 正在重溫。            
(4星)	 那会兑换美元1:10 现在1:6...那时候工资500就算高了。。现在5000也不够花。。。            
(5星)	 我能记住的只是文化差异的鸿沟和刘欢那首“time time aging ”了            
(4星)	 千万里我追寻着你什么什么的            
(3星)	 前半部四星，后半部两星。            
(5星)	 九十年代的出国潮，代表了一代人            
(4星)	 哇这多少年前的事儿了都。原来是姜文文....            
(4星)	 如今的北京变成了当年的纽约。            
(5星)	 不过情节忘了。。            
(NA)	 看后思考良久。。。好像冯小刚最后去的时候也是跟姜文去的时候心情一样，心里想的跟现实的差距太tm难让人接受了，只是谁也没能逃脱这个历史的规律！            
(5星)	None
(5星)	 故事、表演、人性的残酷、纽约的味道~~~~~二十年前的电视剧再看还是唏嘘，超爱阿春和宁宁            
(4星)	 宁宁下落不明、、、、、、            
(4星)	 个个都是实力派！千万里我追寻着你。。。。            
(5星)	 九十年代，中国掀起移民潮。本片反映了以男主角为代表的移民美国的中国人的奋斗、价值观变革、婚姻变革、父子辈冲突            
(4星)	 作为一个从93年走过来的人，居然已经不记得当时的我们是那个样子。时间和空间在这里交错，恍如隔世。片子拍得很粗糙，但是还是很有意思的。            
(5星)	 姜文跟冯小刚的经典之作，小时候常煲，那时候就爱上姜文了，觉得他是不可多得的好演员，只是没想到日后他成为了中国最伟大的导演，对于我这个拥有纽约情节的人，这部剧再适合不过了，剧情强大，意义深刻，if u love him,bring him to NY,for it&#39;s heaven;if u hate him,bring him to NY,for it&#39;s hell            
(5星)	 这种中国很少见的佳作            
(5星)	 小时候看的，现在有时间还想看看。以前的记忆基本上没有了。可是父母还记得这个电视剧名字，真是很经典。对于剧情我是一点点也记不得了。            
(4星)	 之所以在90年代初那么火热，除了电视剧的兴起外也隐射了当时中国处于“出国热”的这样一个迷茫的现象，人们逻辑回到原始点，就是追求个人幸福            
(NA)	 那会儿可是一集不落的看啊我妈。            
(4星)	 捧红了姜文，唱红了刘欢。四星半。            
(3星)	 好老好老的了。。。            
(NA)	 我对这个片子记得还算是特清楚，            
(5星)	 很久以前跟爸爸一起看的            
(4星)	 那时候我是有多小捏？            
(4星)	 当时看的时候还很小  能看懂这么多 很不错了              
(NA)	 前段时间，匆匆地看了下，比较现实，演员演技很强大，映射了一类人。            
(4星)	 小时候和我妈一起看的            
(4星)	 我的电视剧启蒙作            
(5星)	 我太应该看了。不是观看，是感知，是反思。            
(5星)	 那句如果你的造句，没人不知道吧            
(NA)	 很小的时候在电视上看的 很喜欢呢            
(5星)	 特别好有木有？            
(4星)	 姜大爷和冯小刚的合作，不多，真的不多。            
(5星)	 没看过此剧，人生不完整。            
(NA)	 北京控。。。囧。。高中时迷过            
(4星)	 那年夏天的记忆阿～～            
(5星)	 诶我 当年看这个看得我    那时候真没想到自己也会出国    后来又应景看了个&lt;别了温哥华&gt;   但是没有这部好看   片尾歌也是经典啊            
(3星)	 现在看来姜文挺装逼的            
(4星)	None
(3星)	 只记得片头曲            
(3星)	 小时候的事情。那个时候什么都不知道。            
(5星)	 童年的我看了这个电视剧开始有了丝袜情节~            
(5星)	 事实上你无论怎么努力都改不了血液里面的东西，它是你的根，是你的生活轨道。如果你否认它，离开它，那所有的一切全部脱轨。            
(5星)	 20年前就拍的出这种作品 牛逼！ 20年后重温 触动依旧 回味无穷            
(5星)	 1星献给姜文1星献给编剧3星献给导演，那个年代的纯美国剧            
(5星)	 喜欢想象结局的画面，姜文甩了一句“爱他吗怎么着就怎么着吧”，真有气势            
(4星)	 真实            
