http://movie.douban.com/subject/4729712/	啦啦队恶女 Hellcats
(4星)	 完全是为了Gale看的……            
(2星)	 从技术层面讲，烂。。。要不是为了gale。。。。            
(1星)	 啥时候砍啊？卧槽！看不下去了。            
(3星)	 Hellcats            
(NA)	 女主好丑。            
(2星)	 看不下去了...            
(3星)	 弃~            
(5星)	 前三集都非常不错，强力追~            
(2星)	 弃了            
(NA)	 20100914 s1e1,我决定还是放弃这部剧集。时间太少了            
(3星)	 终于结束了。。            
(4星)	 Brian大叔！！！！我要咆哮了！！！！！！！！！！！！！            
(4星)	 又会唱又会跳，有八卦有体操有律政，全面的青春啊...            
(3星)	 Ashley和Aly都演得太用力，一季砍还算仁慈了，想看Gale的等下个档吧            
(3星)	 CW new show            
(3星)	 弃            
(3星)	 看不下去。。。以前那么喜欢看拉拉队系列的电影，看到这个美剧，我失望了。。。            
(3星)	 为了Ashley去看，但剧情确实平平淡淡，没有任何亮点，弃。            
(3星)	 有些无聊啊            
(3星)	 一般般啦！            
(3星)	 青春剧好像都是一个套路            
(3星)	 我就是冲着Ashley Tisdale看的 可是她竟然不是女一            
(NA)	 HELLCATS！！            
(4星)	 我承认我很无聊。。我好喜欢大叔            
(5星)	 美剧是有不少啦啦队题材的电影，给五颗星一是为剧中插曲，二是为cheerleader的热辣舞蹈，三是私人原因，就是喜欢不解释！！！CW为神马停播！！！！            
(2星)	 无聊透顶            
(5星)	 看完了，好好看啊！！！好好看，为什么不拍第二集，想看后续啊！！！！            
(2星)	 相当无聊，配角都毫无存在感，女主除了身材不错性格无亮点。            
(3星)	 terrible acting + terrible storyline + terrible music... 前5個eps之後一直很有棄的衝動，無奈OCD作祟，還是把全劇看完。CW砍得合情合理！看在Ash份兒上，加一顆星。。。            
(4星)	 喜欢甜心队长。反而对女主角真的没有那么爱啊……            
(5星)	 inspiring!!!虽然并不是剧情最好的，但很棒！希望不要被砍阿！！！            
(3星)	 just for gale            
(5星)	 坑爹的一曲happy ending就不给播了....            
(4星)	 我觉得好不错，但是停播了······            
(3星)	 弃之            
(4星)	 女主角本人的舞蹈功底很不错……但是……其实看啦啦队电影也不是一次两次了，糊弄观众也需要再专业一点的好……            
(NA)	 虚无飘渺的第二季..?  好喜欢Alice啊            
(5星)	 承载着我苦逼的回忆 歌不错            
(3星)	 填了好久的坑终于填不下去了... Ashley这两年都吃了神马            
(3星)	 非常单纯的冲着GALE叔来看的。剧情不是一般的无聊。            
(4星)	 ashley tisdale            
(2星)	 前面还算勉强能打发一下时间，从女主开始乱搞的那一刻，果断关播放器、弃剧。            
(5星)	 太给力了~~            
(2星)	 第一次弃剧。            
(4星)	 感觉里卖弄的感情故事很乱，无论是男主女主都缺少一种把过去的当做昨天的果断，感情不断纠缠，没能表达出女主潇洒的气质，表现啦啦操的力度或镜头的多少都不够，看的我很累            
(3星)	 很喜欢的题材 很喜欢的演员 但不知道为什么剧情发展到没有下一季了 唉             
(3星)	 电视剧一般，是为了GALE大叔去的。上面的GALE风采不减当年，么~~~            
(4星)	   我是為了大叔看這部片子的，果然大叔和女主已經開始發展了……   不過我覺得這部裏面女主會和他的青梅竹馬在一起吧            
(NA)	 怎么看女猪都像出来卖的呀 ~@。@            
(3星)	 电视剧版青春片。。。。看头不多            
(3星)	 纯粹为看B叔！女猪也很正！            
(3星)	 由于网络原因 只看了一集 确实 故事和角色都不吸引人，唯一吸引我的是里面的美语            
(2星)	 0926            
(3星)	 Hellcats大概真的是企图复制一次当年的One Tree Hill            
(3星)	 一般。            
(5星)	 活力四射            
(3星)	 我要不是为了gale！！！！快被砍吧！gale快演新剧啊！！            
(2星)	 一堆身材好的年轻女孩，对此我看得很开心。            
(2星)	 一集，弃            
(4星)	 轻松剧情，配上零食，消遣不错，插曲很好听            
(4星)	 一开始比较拖，后面就不错了，真心喜欢ashley跟heather！            
(4星)	 喜欢看啦啦队表演的部分，不喜欢唱歌的部分....||棄了...            
(2星)	 不大现实，太highschool了。            
(3星)	 不是我的菜，两集弃            
(4星)	 叔叔的东西要留底            
(4星)	 Ms美国的青春片除了篮球兄弟分数比较高，其他的都一般般啊！！！但我觉得介个不错，女主角性格身材智商都八错，就是样子差强人意了点...偶喜欢拉拉队长和她BF            
(3星)	 年轻人的生活。            
(3星)	 剧情有些拖沓，冲着美女去的。。。            
(4星)	 结局太无语了~~            
(4星)	 女主长得也太像Peyton了。。。怪不得老拿这个剧和OTH比。。。            
(4星)	 口味。。原谅我吧            
(4星)	 看大叔吧...大叔好嫩~律师好有爱T T            
(3星)	 喜欢阿什利才看的哦~剧情一般            
(NA)	 看了一集就pass            
(NA)	 That girl is not hot ahhahahhahahh            
(2星)	 女主真是丑的要死 剧情一般 切            
(3星)	 看一群漂亮小姑娘的故事还挺有意思的 女主渣得让人受不了了=  = 弃了            
(3星)	 这部美剧估计是cw看abc的glee眼红才出歌舞剧的 看了感觉自己年轻很多  本来四颗星 但是女主角实在喜欢不起来 作为女二的ashley倒是越来越pp了            
(2星)	 完全不接受女主和gale大叔 真开心被砍了            
(4星)	 挺健康的感觉！ 美女帅哥 帅大叔啊！！            
(4星)	 女主长得也太像Peyton了。。。怪不得老拿这个剧和OTH比。。。            
(4星)	 音乐很给力~居然被砍了太可惜了。。。            
(4星)	 哪个撒擦写的原来的剧情简介啊            
(4星)	 喜欢各种配乐~~~特别是最后一集~~~            
(2星)	 这个美剧没能给我一个点。Glee里边，Rachel 和finn两大主角我都不喜欢，可是它的音乐实在太赞了。GG里边剧情完全无比纠结混乱，可它的服装大赞。而这个剧，女一实在让我难受，剧情也比较纠结。            
(NA)	 结局是我心中永远的痛~！！！！！            
(3星)	 陪老婆看，凑合            
(NA)	 不好看 主角太失望            
(3星)	 沙凡娜很美啊            
(NA)	 真不敢相信那个会在电视机前看hell cats的人居然是我π_π            
(4星)	 完季了啊？还No happyh ending呢...Gale还有戏份么喷            
(3星)	 一開始是沖著Ashley去看的 但看了兩集覺得不喜歡 就不追了~            
(2星)	 只爲GALE。            
(3星)	 被砍了            
(4星)	 越来越讨厌savannah的所谓单纯了= =虽然跟dan很配，话说marti实在太man了。。            
(4星)	 连歌带舞，主角养眼。。。青春歌舞片            
(4星)	 就这么砍了..最后一集太优秀了..            
(NA)	 肥皂            
(4星)	 弃之~            
(4星)	 还不错吧            
(3星)	 男女主没一个能让人有好感的……            
(3星)	 一开始还有点glee的迹象，现在开始疲软了            
(4星)	 美剧            
(5星)	 因为参加过健美操比赛，所以对这个剧相当有好感。哈哈            
(3星)	 烂尾了。            
(4星)	 怎么后面有像gossip发展的趋势了。。越来越不好看了            
(NA)	 看不下去            
(4星)	 蛮喜欢女主的~她的“闺蜜”也不错~            
(3星)	 被砍是可以预见的            
(3星)	 女主角长相太平平了，打扮有点80年代的复古感觉，但是功夫了得            
(4星)	 I&#39;M，，cheerleader            
(4星)	 拉拉队题材的不能错过！最后一集的动作很棒~~~~            
(2星)	 有种肉麻的感觉! 幸亏被砍了.            
(4星)	 他喵的...女主怎么这么讨厌...            
(3星)	 默默地就都還算順眼啦~            
(5星)	 第三集2010.09.29            
(3星)	 我弃剧了···题材有点教坏小孩            
(4星)	 相比Glee，却更喜欢这个耶            
(3星)	 果断放弃。拖沓得没意思。            
(3星)	 开始很无聊，不过有人打来打去的，还是会有点点看点，不过女主长得真不太好看 音乐也是，好过时的感觉。。。            
(3星)	 模仿glee。不过把唱歌改成跳舞和啦啦操，刚开始觉得还行，不过剧情太差，没坚持看下去。            
(3星)	 就爱看翻跟头，梦想着在众目睽睽下翻着跟头过斑马线2011.5.30-22(本季完)今年没比成，为艺术而艺术了，怎么被砍了，跳得挺好            
(3星)	 刚开始追，不知道怎么样，冲着ASHLEY看的~！            
(2星)	 弃了。。。            
(3星)	 好吧这结局是个毛啊。。。。。。。第二季。。遥遥无期啊T T            
(3星)	 为什么觉得ashley长的就像cheer leader            
(2星)	 两集弃...果然CW的剧都于我无感~            
(4星)	 最萌brian了！！！！！！！你肿么可以演直男啊！！！！！！！            
(3星)	 看到后期只看舞蹈。。。音乐都懒得听了。。。            
(2星)	 Gale你什么时候出场啊啊啊            
(2星)	 弃            
(4星)	 金发！            
(NA)	 Ashley Tisdale哈灵,但是那女主不行，弃之            
(3星)	 ashley是surprise 可是女主很不待見 那種氣焰教人受不了            
(3星)	 不会吧？！这部评分这么高。            
(3星)	 看到第四集，实在看不下去了，弃            
(4星)	 被砍啦            
(4星)	 最后一集把我感动了 哎 可惜被砍了 Ashley真的很美的···！！！            
(NA)	 看了第一集，不喜欢            
(3星)	 没有续订其实能猜到 整体的确有点乱 finale内容好多- - 不过看着不会特别无聊 时不时有些歌舞            
(1星)	 预告时怎么看某女怎么面熟，一查发现原来是high school musical的Sharpay。这才第8集就让一向忍耐度高的我已经受不了了，比韩剧还要狗血白痴难以忍受的剧情啊~见过女一号丑的，没见过比TVB女一号还要丑的，那么个大方脸盘镜头怎么转都难看。            
(2星)	 看到19集，我终于崩溃了，Gale大叔你怎么这么轻易就被染指了呢！TMD            
