http://movie.douban.com/subject/2154096/	士兵突击
(NA)	 能唯一让我能在几天内看完的国产剧            
(4星)	 yy            
(5星)	 国内第一部成功的“青春励志偶像剧（导演康红雷的话）”            
(4星)	 好好学习政治，天天向上爬！            
(4星)	 剧情不错。            
(4星)	 最爱那刚毅与硬朗……            
(5星)	 最好的!!..            
(NA)	 挺好笑            
(NA)	 我喜欢这部电视剧，教会了我很多！            
(NA)	 为什么标签有同志，根本就是同志情，把三多换成帅哥看看，是人都看出来啦，哈哈。            
(5星)	 你舅舅- -            
(NA)	 从许三多观照自我，以及知道了枝枝蔓蔓的重要。            
(NA)	 中国部队版阿甘            
(4星)	 王宝强适合在军队做一名出色的士兵，但不能成为出色的军官。            
(4星)	 很强大很煽情。值得分析。            
(5星)	 不喜欢电视剧的我最喜欢的电视剧            
(4星)	 伍史派            
(5星)	 连长大好！！！            
(3星)	 最喜欢七连长高城,然后是吴哲,然后是史今.            
(4星)	 哭了无数次。            
(NA)	 是说许3多型人格具有钝感力？钝感力感动中国？男人不矫情，下辈子做男人！            
(5星)	 军人是怎样炼成的            
(5星)	 不拋棄，不放棄  许多多，许木木才聪明            
(5星)	 好久没有这么酣畅淋漓的感觉了！爽！            
(5星)	 有意义就是好好活，好好活就是做有意义的事。            
(NA)	 学学许三多吧            
(5星)	 干净得像一部童话.            
(5星)	 喜欢很多人            
(NA)	 还想再看十遍            
(5星)	 虽然许木木在里面起了不可或缺的作用，但还是不喜欢他。班长是最爱的。            
(5星)	 不抛弃，不放弃。            
(5星)	 又看了一遍。。还是很喜欢看。。。            
(5星)	 牛X 男人！            
(4星)	 备忘Mark。            
(4星)	 真的不错，难能可贵的是每个形象都很鲜明，每个人物脸孔都很清晰，每个人又都执拗的很傻却可爱。如果我们的军队里真的都是这样的士兵，这个国家还有希望。            
(4星)	 煽情桥段太多，摘掉一颗星。||我心里住着一个没有在部队训练过的许三多。||不抛弃，不放弃。            
(NA)	 先要对那些可以把此剧翻来覆去看上无数遍的同志致以崇高的敬意！！！我是这样打分的：249的剧本和康丫的导演决定了起评分为4星~老段、翻译、居士、七哥、晨儿、登子君给本剧各加1星~蛇屁股邢三栋等熟人再加1星~但是我不知道该给傻强打负多少星才能消减我内心的痛苦…………故~就不打分了……            
(NA)	 反复看了27遍。有时候能激励你的就是那么简单、血性的东西。            
(5星)	 看了两遍，每次看都哭的稀里哗啦的……            
(2星)	 装怪语：“不抛弃、不放弃。”请不要鄙视我的智商。            
(NA)	 哭啊哭            
(5星)	 无数次的片尾 总让我觉得 大家又聚在了一起 一切分离仿佛从未发生或者我们总有天回到原点            
(5星)	 老A所属团团长，活像佐佐木藏之介大叔。变态的249无腐不欢，结尾NICE BOAT！！            
(5星)	 一群纯爷儿们！            
(4星)	 喜闻乐见 ^_^            
(5星)	 片段，以后再看吧            
(5星)	 最近常说他们，最近常想他们……卡卡还是走了，抛弃了我们，放弃了米兰。            
(4星)	 看哭了很多集            
(4星)	 伍六一 高诚。金句：明明是个强人，天生一副熊样。生活就是问题叠着问题。            
(5星)	 袁朗 老七 561 史今干啥啊 没事儿 不至于 走            
(4星)	 学习许三多是告诉别人的……            
(4星)	 有很多伪哲学的剧集谁是许三多？我就是许三多！            
(4星)	 好吧片子是不錯但是還是有點兒作不喜歡許三多            
(4星)	 其实~看完了觉得心里空荡荡的~            
(4星)	 不抛弃，不放弃。人生的道理，有时很简单。            
(NA)	 士兵突击            
(3星)	 还是最喜欢561，其次是高城。            
(4星)	 01            
(4星)	 “许三多，你真他妈的傻。”            
(5星)	 不抛弃不放弃，他们都好单纯好可爱。            
(5星)	 平淡是光荣 漫长是艰巨 骨子里 没有眼泪            
(5星)	 丰碑！不知道看了多少遍，看一遍哭一遍。            
(5星)	 这个要狂赞的，看了好几遍            
(NA)	 这样的 不多            
(4星)	 能理解，不提倡，一帮被洗脑的人~            
(5星)	 段奕宏            
(5星)	 难得的好片子， 慢慢看出了味道            
(5星)	 看完《士兵突击》，感觉就是和许三多一起成长了！            
(5星)	 描写人心            
(5星)	 狂爱            
(NA)	 做有意义的事,就是好好活.            
(4星)	 前10，三颗星，后面四颗星。一群人围着一SB。。哎。。。不过，怎么说呢，不是很喜欢三多。。            
(5星)	 不抛弃，不放弃！            
(4星)	 伍六一和吴哲,男性中的奇葩            
(5星)	 不知道自己看了多少遍，不知道自己被感动了多少次～            
(NA)	 他会把每件小事当做救命稻草紧紧抓牢            
(4星)	 最感慨的，不是窝囊的许三多成为兵王，而是他在草原和一个人的军营中长期守候，因为单纯、执着而不迷失。            
(5星)	 不抛弃，不放弃            
(NA)	 很2            
(5星)	 感动你我            
(3星)	 对我的吸引力不是非常大            
(5星)	 我想 史今走1次，我会哭1次~看1遍，感动1遍~            
(5星)	 伪bl            
(4星)	 真MAN。            
(NA)	 这是平民的英雄,是另类的硬汉,是男人的典范            
(3星)	 吴哲^0^            
(5星)	 08岁末终于得以解开《士兵突击》的神秘面纱 想来也是自己懒惰 活生生的把这样一部好片推迟至今才看 不过是金子它的光总会熠熠生辉很久的 所以我最后还是没有与它失之交臂。片子讲述的是一个士兵从孬兵成长为兵王的故事 但是却不仅仅塑造了一个角色 而是带出了一大批铮铮铁骨的军人形象 每一个            
(5星)	 哭哭哭            
(5星)	 中国难得的一部没有帅哥美女，不大肆渲染爱恨纠葛的一部电视剧。            
(NA)	 史今 班长            
(5星)	 Tudou            
(5星)	 豈能不看?!            
(5星)	 不抛弃 不放弃            
(5星)	 很感人，推荐            
(1星)	 突你妈个突。            
(4星)	 看了很多集，这部总的来说句哦，还不错~            
(4星)	 好            
(5星)	 完了，lp完全陷进去了。            
(NA)	 从他们身上,我学到了许多许多....            
(5星)	 男人就该象七连一样！            
(NA)	 看完了，俺是高干子弟控……            
(NA)	 看得让人感动，才知道什么是真的简单。其实简单很简单，但是很多人做不到，包括我。我妈老说，傻人有傻福，其实很对的。            
(4星)	 现实中的诗意            
(5星)	 大三寒假看。            
(5星)	 老子知道编的假假大空的但是还是喜欢看天天追电视电视追不全就下载下载不行就买个小碟片 噢噢噢噢电视剧干吧带！            
(4星)	 把三多掐死就是五星了            
(NA)	 袁哲袁哲袁哲&gt;_&lt;我就是萌袁哲啊!袁队乍一出场老子就一见钟情.至于吴哲同学你一直就是我心底里的内个简宁啊...所以,袁哲才是王道CP!            
(5星)	 一部没有女人的电视剧，让人活得有意义。            
(5星)	 人一生中要做最有意义的事情，好好活着就是最有意义的事情，最有意义的事情就是好好活．            
(4星)	 挺好玩的。傻就是傻。            
(5星)	 精神与力量            
(5星)	 人物真好            
(NA)	 有时间好好写这部电视剧的评论            
(4星)	 这就是一部彻头彻尾综合众多热血动漫的主旋律同志偶像剧- -            
(4星)	 很温暖的片子。            
(4星)	 没女人是优点之一            
(5星)	 难得沦陷之内地电视剧。。。。            
(5星)	 １１            
(5星)	 兩天把三十集的連續劇看完了.就好像看着一個小孩一夜長大一樣,卻又像過了很長.人設.音樂.故事.喜歡。            
(5星)	 老胡看完别删！～            
(5星)	 陪母上看了有20遍了吧吧吧...            
(4星)	 许三多已经要成为一种精神             
(5星)	 强烈推荐！！！            
(5星)	 段龙 你现在叫段亦宏 真的红了 不过我依然很喜欢犀牛中的你 一个特拧巴爱骂人的段龙            
(5星)	 毋庸质疑,今年最好的电视剧            
(5星)	 人总得伤点儿才能明白些事.            
(5星)	 为了亲爱的561我改打五星……            
(5星)	 10——9.5分。喜欢史今，喜欢伍六一。            
(4星)	 男人的情怀            
(5星)	 导演: 康洪雷主演: 王宝强 / 陈思成 / 段奕宏 / 张译 / 邢佳栋 / 张国强上映年度: 2007集数: 28官方网站: http://ent.sina.com.cn/v/m/f/sbtj/制片国家/地区: 中国大陆语言: 普通话            
(5星)	 有时候发现自己就是个许三多 有时候又发现自己其实是个成才            
(5星)	 许三多，我身体里的那一部分。            
(5星)	 不抛弃,不放弃            
(5星)	 有点火的难以想象，塑造了一组群像，一组新时代军人            
(5星)	 俗就俗吧！反正喜欢！            
(NA)	 每个人都会在这部电视剧里看到潜在的自己的本性。挺好的。            
(4星)	 8错，看完了，偶喜欢，很难得的好片            
(NA)	 如果我能成他們其中一個分子, 我也會驕傲。            
(5星)	 不抛弃 不放弃            
(4星)	 纯爷们 喜欢史班长            
(5星)	 我的军旅情结            
(5星)	 很不错的军旅题材片子。我很喜欢。不抛弃不放弃。活着就上做有意义的事情，有意义的事情就是好好的活着！            
(NA)	 真的很不错，看过比较写实的军旅题材的作品。很喜欢史今班长            
(5星)	 混合着迷彩气息的汗味,是真正的男人            
(1星)	 垃圾            
(4星)	 剧本不错            
(NA)	 【超级推荐】『天涯影视评论』 [电视酷评]醉里挑灯看剑http://cache.tianya.cn/publicforum/content/filmtv/1/185212.shtml            
(5星)	 我的段龙啊!!!            
(NA)	 我这辈子都忘不了它。我学到了很多很多，好像看过之后一下子成长了一截。推荐看看小说，很不错，能更透彻地了解人物性格。而且每个演员都把角色塑造的及其到位，真实，演员挑得也很合适，导演的功劳。喜欢这里的每个人，每个演员，特别是段奕宏，张译，王宝强，张国强呵呵            
(4星)	 我酒量二两，和你喝，舍命。            
(5星)	 确实是精品电视剧。            
(4星)	 不抛弃，不放弃！            
(4星)	 连长最高。            
(NA)	 为了陈思成喃想看一遍。。。。。。。。。            
(5星)	 段奕宏帅死鸟~            
(4星)	 做人太耿，待人太真            
(5星)	 主旋律里面难得一见的好剧。里面的不少情节都感动到我了。最喜欢的三个人是：史今、袁朗和702团团长。全剧只出现过一个女人——毒贩的老婆，然后出现不到五分钟就被许三多一招毙命了。。。= =            
(5星)	 相见恨晚！            
(4星)	 得好好想想            
(5星)	 有意义的事就是好好活着，活着就是做很多很多有意义的事。            
(2星)	 许矮子所在的肛七连过去就是那个打孟良gu战役的主力，国军的“虎贲”师当年在常德抗倭的时候从8000多人打到只剩80多人突围，整编后在孟良gu战役中全部阵亡，这么说来，那个G菌的七连原先也不过是个屠杀抗倭英雄的凶手，拽个鬼            
(4星)	 一看到王宝强那张脸脑子里自动替换成灰太狼。。。            
(5星)	 最近央视八套又重播了一次,这是我觉得最好看的红剧了...            
(4星)	 之前断断续续看过，这次终于一气呵成看完了。无奈我的注意点，始终集中在陈思成最后在小艇上，紧紧搂住王宝强的基情画面。。。            
(1星)	 一坨屎。。。。。。。世上果然傻逼多。。。。。。。。这种片子能到9.0分。。。。。。。。擦，给我一个班的成才我能把一个团的许三多给灭了。。。。。            
(5星)	 袁朗簡直不要太………………S…………            
(5星)	 很感人好么！！！            
(NA)	 许三多身上的奴性很强            
(5星)	 我都忘了这是看了第多少遍了。从前的军旅片都是通红儿的，只有这部是焦绿的。            
(5星)	 虽然剧情很拖沓，尽抄人家配乐。但是人物塑造挺成功的，励志效果也不错，更重要的是终于没有卿卿我我爱来爱去的纠结，比我想象的好看。            
(5星)	 当时那叫一个迷啊我 连宝强我都喜欢了             
(5星)	 有几集没看见，就看书了            
(4星)	 当年觉得还蛮好看的 弱智的很            
(5星)	 许三多的傻是一种信念的纯粹和情感的纯粹，最纯粹的信念和最纯粹的情感带来了最强大的力量，傻到了极致就是智慧            
(NA)	 我喜欢好些人呐...            
(5星)	 特别不喜欢三多，用袁朗的话就是过于天真。我就是第一喜欢561同志第二喜欢高城啊啊啊啊啊啊啊啊啊！！！9            
(NA)	 果然如传闻中的好看，明白了这剧为什么会这么火了            
(4星)	 结局不是那么单纯的。            
(5星)	 这部剧最让我喜欢的地方是抛开许三多这种人物，其它人的光芒依然夺目。陈思成饰演的成才是我最注重的角色，这个社会把很多人变的油滑而残缺，一个个老妖精，让人厌恶恶心。而成才的成长和他的思维经历，虽然轻描淡写，却告诉我他是如何被摧毁然后成长，我们不能在狭隘的思想里自满。            
(5星)	 钢7连就是我初中时军训的部队！！！另，印象最真的是翻单杠那段，太激励人心了！！！            
(5星)	 好吧。这里面全是爱。好喜欢钢七连的高连长啊啊啊啊啊。            
(5星)	 最喜欢伍六一和史今            
(5星)	 很喜欢！            
(5星)	 魂牵梦绕的战士情~            
(4星)	 兰小龙编的电视剧在国产剧里算不错的了 我们的观众看到这样的东西应该欣喜 因为他们吞了太多垃圾而不自知            
(5星)	 非常优秀的主旋律电视剧，真诚，幽默，充满向上的力量。             
(3星)	 没想象的那么好吧。。。正剧一只，过于煽情，没那么感人。。宝强也够呆。。够呆。。            
(5星)	 还需要理由吗？《士兵突击》已经不单单是一部话剧一部小说一部电视剧。它代表的是一种哲学，一种震撼了13亿人的人生态度。            
(5星)	 每看一次就多一次的感动，可是不是为了许三多，而是为了那些为成就许三多而奉献自己的人            
(5星)	 我觉得它很腐……却又莫名其妙的正直。            
(5星)	 我是39号吴泽。平常心   平常心班长史今说：等我们长大了，长能耐了。再远的距离，就是一抬腿的距离。相见的人终究会见的。            
(5星)	 不惜熬夜通宵的看~三多啊，不是我说你你要是长得再俊点，心思再活络点我就爱上你了~史今，高城，伍六一，还有袁朗啊~吴哲啊我都喜欢啊，啊啊啊我要崩溃了~在某种意义上居然有点向腐向发展，oh~我好久没有看那么好看的电视剧了~不抛弃不放弃T_T            
(4星)	 当我听到有人说出“袁郎=腹黑攻~吴哲=女王受”的时候，我震惊了。。。            
(NA)	 2009.12.31            
(4星)	 基情四射            
(5星)	 不抛弃不放弃。            
(5星)	 小受成长的故事~好吧~我不CJ~            
(4星)	 我确实是个穿越的人。。穿越到今天才开始看士兵突击。。还不错。。冒着被老板发现的风险看了一天看完了=3=            
(1星)	 完美的展现了与本片有关的所有人（包括但不限于制片人、导演、演员、观众）的弱智状态            
(5星)	 理想主义者的浪漫狂想曲            
(3星)	 太过理想化了...王宝强的演技，本人真的不大认同，有时候真的很生硬，反倒是配角们大放异彩            
(5星)	 没有什么大起大落 看的时候感觉没有什么 但回想起来总能给人一种无形的力量            
(5星)	 伍六一            
(5星)	 看的時候總是又哭又笑的,像個傻子...            
(4星)	 哦~ 六一            
(NA)	 喜欢与袁朗            
(NA)	 （转）评语 : 没有女人。没有女人！！！！袁郎~腹黑攻~吴哲~女王受~怎么能不萌~同人小说N多~强烈推荐！~            
(5星)	 最近闹完郁闷闹信仰危机 所以不停放士兵突击。。。            
(4星)	 2009.7.12/14 最快看完的电视剧，每天看14集 记录            
(5星)	 不抛弃！不放弃！            
(5星)	 好看好看，都是男人演的电视剧真少见。很喜欢这部里面的段亦宏。            
(5星)	 看到最后的最后  我突然明白了原来主角是成才。。。            
(4星)	 不抛弃不放弃            
(NA)	 不抛弃、不放弃，是一种精神力量，我们这个时代太缺乏了。            
(5星)	 很感人，很积极~            
(3星)	 我承认，我低俗。            
(5星)	 喜欢许三多是一件后知后觉的事情。            
(5星)	 超级喜欢.            
(4星)	 老七，袁郎，伍六一才是让这部剧鲜活起来的原因。            
(3星)	 不喜欢            
(4星)	 除了傻根，其他人我都很喜欢看。            
(3星)	 我觉得许三多是真傻，王宝强其实一点都不傻！            
(4星)	 前半段很有意思，因为有特别招人稀罕的史今这个班长角色，演得入木三分，真像那么回事，小动作很多很可爱。袁郎一出现剧情开始变得滑稽可笑，搞CS真人版呢！吴哲不好不坏一副秀才样，怎么也不像是抗得住的人，齐恒就是个250，老马标准的老男人，伍六一纯爷们，如果没有老七，我估计看不完这个电视剧。成才可以当他不存在，哦还有，许三多，我就没有一次是被他感动的，好好练练演技吧，不知道这厮在说什么。完毕            
(5星)	 各种好            
(NA)	 很二  特别是用菊次郎的夏天的OST 太二了            
(4星)	 比想像的好看~            
(5星)	 唯一不喜欢的就是许三多            
(3星)	 一个不焦虑的人如何面对焦虑的世界并获得成功....剧情没多大意思，但萌了演员们的颜，俺奈561！            
(5星)	 生日那天一口气看了二十几集..            
(5星)	 腐气弥漫………吴哲，高城……你俩是最可爱的人……            
(4星)	 刚出的时候我高考 之后一直错过着 现在看来 真的是可惜 我正在每天被感动            
(5星)	 成人童话            
(NA)	 一起打炮的兄弟            
(5星)	 queer while in youth and in form of soldier            
(5星)	 神作。            
(5星)	 张译            
(5星)	 妈妈坐在床上看的，我跟着的。            
(5星)	 第01集 -人物設計 劇本都很精彩白天拍夜技術參考第24集 成才的人性            
(5星)	 不抛弃,不放弃            
(4星)	 世上哪有许三多这种人~~            
(5星)	 好看电视剧            
(5星)	 可敬，可爱，可怜的561。做男人就得像伍六一。            
(5星)	 偶是袁郎控            
(5星)	 我早就看过了居然没列上= =            
(5星)	 许三多是一个简单的理想主义的缩影。作为我们心中那个蒙尘的存在被标榜。其实每个人内心都有一朵开放的花，很漂亮。            
(5星)	 看了超过5遍  从来没有过的事情  总之是见人就推荐            
(5星)	 蜕变            
(5星)	 它让我感动了好久……它吸引我看了好多遍……它让我喜欢上一只妖孽——段奕宏……            
(NA)	 仅限一集...看看为啥有人看了这电视剧就真的去当兵了...            
(5星)	 有空得写评论            
(5星)	 纯爷们儿            
(5星)	 一帮男人的故事让我大太阳的哭~~~曾经的年少轻狂 曾经的幸福时光~~~            
(5星)	 好好活，做有意义的事，有意义的事，就是好好活            
(NA)	 都四遍了还说什么呢            
(NA)	 这是我看的第一部纯爷们的电视剧感觉很好啊~            
(NA)	 士兵突击             
(NA)	 完全被三多感动``原本一个执着单纯的孩子```到最后的那份坚强``不得不说``其实到后来``他已经不像是原本那个许三多了``眸子中有了坚毅与些许睿智``再也不是那个傻得让人心疼的三多了``````不过从头到尾喜欢的都是成才```            
(2星)	 给笨蛋找理由的故事.挺害人的.            
(2星)	 张译。            
(4星)	 不抛弃不放弃            
(5星)	 最做作。最不做作。最深情。最真性情。            
(5星)	 真实而震撼，不是因为军队，而是因为纯粹。            
(5星)	 很好看，老少皆宜。事实证明，没有女主角也可以很出彩。            
(5星)	 励志必看！            
(5星)	 有意义就是好好活.好好活就是做有意义的事.........泪流满面..........            
(5星)	 561好样的561!            
(4星)	 基情四射呀。            
(5星)	 欢乐            
(5星)	 重看几遍都不过分的大萌剧            
(5星)	 是一种精神...            
(4星)	 第三遍了            
(5星)	 由不屑到最爱~无比强大的力量！！！            
(NA)	 不抛弃，不放弃            
(4星)	 还不错            
(5星)	 很诡异的，就是喜欢            
(4星)	 感觉被删节过啊，看不大懂……            
(5星)	 去年夏天感动了我            
(NA)	 多少年后依然会让我在泪水中会心大笑，在快乐中哭泣            
(4星)	 同期内相对出色的电视            
(NA)	 喜欢，很是敬佩军人。看完对人生有了新的想法。            
(4星)	 看过一部分            
(5星)	 许三多 一看他露白牙人就想死···            
(1星)	 虚假的士兵突击            
(5星)	 太他妈爷们了！            
(3星)	 不抛弃，不放弃。            
(5星)	 工作时不为钱分心，钱反而会来得快一些...            
(NA)	 那时候正缺乏勇气            
(5星)	 许三多,无疑是会被踩在脚下,无法在现实世界中存活的。又或者根本不曾存在过。但这并不妨碍我们对他的向往和追求。他是一个化身——我们自己无可企及以及渐渐遗忘的美德的综合。坚韧不拔、不空想不放弃、脚踏实地、老实倔强、善良忠义等等等等。。。许三多是线索，但并不让我觉得有吸引力。有吸引力的是那些一个个同他发生故事的人们，他们以他为映射，以他纯粹的形象为映射，反映出个个鲜明个性，让我们看到人的善与光明的一面。他们通过许三多发现真正自己的同时，我们也在反省着，发掘着善良和感动、和自己失去了的东西。士兵突击里的环境，            
(5星)	
(5星)	 活着就做有意义的事情．．            
(NA)	 值得一看            
(NA)	 没看完整--印象--许三多            
(5星)	 我为什么会如此喜欢呢？            
(5星)	 &gt;&lt;许三多..为什么有gay的味道啊啊啊啊啊            
(5星)	 难得看到不错的大陆片子啊            
(NA)	 不抛弃不放弃。有意义就是好好活！            
(4星)	 喜欢钢七连部分            
(NA)	 用了两个白天和一晚上通宵看完的            
(5星)	 这部电视 喜欢的有点迟 魅力 在无数的配角之中~            
(5星)	 好一部中国电视剧            
(NA)	 幽默风趣的语言和情节，生动真实的人物性格，带给我们一个全新的军旅题材的电视剧            
(5星)	 目前唯一认同的国产片。我爱高成&gt;//////&lt;            
(5星)	 相对封闭的环境合理化了这个故事，不过，像阿甘正传一样给人以希望            
(NA)	 超爱这部电视剧，超喜欢袁郎            
(4星)	 三多同志不这么木就好了。            
(4星)	 张译好可爱啊~做有意义的事情就是好好活伍六一就应该跟史今在一起，一辈子都在一起。            
(5星)	 我喜欢史今还有吴哲！            
(5星)	 最喜欢的电视剧之一...和老费说喜欢士兵突击,她鄂然..            
(NA)	 曾经一度为他们着迷，然后悔恨自己当初没当兵去            
(5星)	 我但愿我可以像许三多一样傻，一样幸运            
(NA)	 不要做许三多  只想做个像班长的男人            
(NA)	 喜欢高城 史今 伍六一 疯狂喜欢            
(4星)	 教育意义            
(4星)	 里面的人演得很真 不抛弃 不放弃 感动着我            
(NA)	 轴人也挺可爱。            
(NA)	 111            
(5星)	 不想当军嫂嫂的军嫂不是好军嫂            
(4星)	 中国的阿甘正传。我们都喜欢许三多这样的朋友，但挑袁朗、高城、史今、吴哲、伍六一作伴侣。关于成长，关于内心的力量。            
(5星)	 袁朗史今吴哲各个好男儿。我曾想，世间好男儿尽在迷彩中。            
(NA)	 不抛,不放            
(5星)	 迷            
(5星)	 怎样从一个孬种到一个顶级好兵的过程。            
(NA)	 男人啊~            
(NA)	 说实话，没看完            
(5星)	 值得一看,看了就有触动            
(5星)	 无数次的感动            
(NA)	 我一坐系统工程师的室友看了10遍 于是....  很不错 谁看谁知道            
(5星)	 李晨            
(5星)	 不抛弃  不放弃  看了很多遍依旧感动            
(3星)	 剧情比较傻            
(NA)	 人如果放弃自己 那你也不也不需要这个社会上给予你所有的一切            
(NA)	 你就说帅不帅?            
(NA)	 好好活着，做有意义的事            
(4星)	 不抛弃，不放弃            
(5星)	 没想到我会喜欢这样题材的一部电视剧            
(NA)	 因为这部片，我正在上的这门课很可能挂掉，但是这部片让我重新找回了自我。            
(5星)	 非常喜欢。百看不厌。            
(3星)	 我巨讨厌许三多            
(NA)	 还是很不错的.但是现实就是现实.我要学的就是坚持的信念            
(5星)	 额~~~华丽配角            
(5星)	 非常值得一看            
(5星)	 居然看得我津津有味 甚至热泪盈眶            
(1星)	 客观来说,说不定我会给2~3星            
(5星)	 看了n遍            
(NA)	  老a挺逗..~``            
(5星)	 真诚            
(NA)	 哪有那么好。。。一边倒的评价            
(4星)	 其实想给五星，但是因为是电视剧，免不了小小水。可是的确赞哪            
(5星)	 史今。。。            
(4星)	 三多转变得很突然，好好活，对每个人都是一样的            
(5星)	       坚持就是力量，知道未必做到，做到未必坚持，所以坚持就是力量。重新又看了一遍，还是会被某些场面感动得泪流满面。            
(NA)	 不抛弃不放弃            
(3星)	 这不符合现实            
(NA)	 一声霹雳一把剑一群猛虎钢七连            
(5星)	 纯爷们            
(5星)	 最喜袁朗！第二遍看爱连长啊爱连长！            
(5星)	 喜欢三多他二哥，真是条汉子，整部片就那集好看            
(5星)	 两字好看。三字真好看。有捧腹大笑也有泪水。是最近看过最好的励志片了。问题是，它不仅仅是一部好的励志片，这根本就是同人女的天堂啊。。。被第一集史大班长那句“我要你！”华丽丽地击倒了。从此惊喜不断泥足深陷。。。有军队背景的男人一直就是我的心头好嗷嗷嗷。。。班长和班副啊你们就是天生一对。。。许木木你就是个香饽饽。。。多角恋已经让俺分不清东西南北中了。。。伍六一同学晃眼一瞧还真像年轻时候的坂本龙一。。。袁朗同学晃眼像渡部篤郎。。。嗯，别说我老惦记着日本男银。。。再感叹一下，里面很多音乐都是很经典的new age。            
(3星)	 政治性太强            
(4星)	 有的部分挺逗的。            
(4星)	 08经典么。            
(5星)	 宣言~            
(5星)	 袁朗！袁朗！            
(NA)	 永爱            
(5星)	 和我妈爆发严重审美分歧……            
(4星)	 老大……除此之外也很好看~            
(NA)	 喜欢袁朗，超级喜欢。看过几遍了，还是觉得没看透，还想看，还要回味。喜欢连长，喜欢吴哲，喜欢。。。。不看此片，我不知道我如此博爱。看来想要七个老婆的人不仅仅是韦小宝啊。。            
(5星)	 噢~近年最好看的军旅戏！            
(NA)	 爱死高城了            
(5星)	 难得，难得            
(5星)	 07年和某人窝在一起看的~            
(4星)	 看过之后，向往他们的单纯美好，为理想不遗余力孤注一掷的生活态度~~什麽时候我也能耐得住寂寞，不以物喜不以己悲，安下心来守得住自己的时候那麽我也就真正的强大起来~             
(5星)	 我魔障了= =            
(4星)	 我热爱性感的男人。虽然三多是主角，但是我还是觉得他让电视剧拖沓了。            
(5星)	 没有喜欢连续剧喜欢到这个地步            
(5星)	 年少轻狂，幸福时光            
(5星)	 袁朗我的最爱。还有伍六一，史今，老七。一帮纯爷们。不抛弃，不放弃。加油！            
(4星)	 连女主角的都没的戏居然能那么好看            
(5星)	 许三多。。。            
