http://movie.douban.com/subject/2156667/	西游记续集
(3星)	 画蛇添足、甚毁前作声誉！            
(NA)	 虽然技术各种都好了很多  但是还是喜欢第一部多点            
(5星)	 和前作一样棒，特效有提升，六小龄童真是《西游记》系列的灵魂啊！            
(NA)	 这个的确看过了～            
(4星)	 没了当年的感觉            
(4星)	 经典不比当年~但悟空的形象依然活跃在我的心里            
(3星)	 比之前差了好几个档次啦。虽然还是那帮人            
(4星)	 那时候期待的心情像过年一样看见他们几个在一起我觉得又回到了从前            
(2星)	 当时是迫不及待的看的            
(2星)	 不想说什么了            
(NA)	 有真假猴子            
(3星)	 比当初的差了 感觉是特效用的太多 太明显了            
(NA)	 补拍的，总觉得不是那么回事。            
(2星)	 远不如当年了。~你们也老了吧~            
(5星)	None
(2星)	 打斗场面也太糊弄人了吧，尤其是那配乐，受不了            
(5星)	 本以为他是为了挣钱，不过看了新的，我错了，她是最后来拯救我家悟空和三藏的            
(2星)	 好歹 如来转世后挺帅。。。            
(2星)	 真是玷污老版            
(4星)	 觉得没有原来的有感觉～～            
(3星)	 特效水平提高了 但是完全不是那个感觉了~            
(5星)	 豆娘说这是“你可能感兴趣的电影”……            
(NA)	 乍看猪八戒            
(3星)	 不好意思给低，但是也不想给高            
(4星)	 童年回忆            
(3星)	 这东西为什么等到多年之后才拍呢            
(3星)	 没有老版好            
(4星)	 央视放映时，我和我爷爷每天都看            
(4星)	 有些东西就是这么无法被超越            
(4星)	 还可以吧            
(4星)	 它跟后传有什么区别。            
(3星)	 孙悟空告诉我，我的童年好长好长好长~~~            
(5星)	 还行            
(5星)	 这个续集效果好很多，还是很经典~师徒四人，除了八戒，都还是原班人马~            
(3星)	 太寂寞了。。            
(2星)	 宁愿你们没拍            
(NA)	 年年重放，還不只兩三回，沒看過才怪            
(4星)	 。            
(3星)	 造型各种囧            
(3星)	 没有86版的经典，人也老了，马也瘦了，而且最美的唐僧汪粤也不再了            
(NA)	 不表示            
(4星)	 其实还是不错的 小时候百看不厌            
(NA)	 看过很多遍的续集            
(NA)	 其实这是补全版。            
(NA)	 六小龄童～经典            
(3星)	 好            
(3星)	 为了杨洁            
(3星)	 狗尾续貂            
(4星)	 还是六小龄童拍的好看！@            
(4星)	 还好吧~~~            
(1星)	 宣扬妖神迷信愚昧思想            
(2星)	 狗尾续貂            
(4星)	 还是不要拍续集的好。。。不过也算是召唤出了一些童年回忆。。。            
(5星)	 刚翻过了一座山..喝...又越过了一条河...哈            
(4星)	 续集也精彩。            
(3星)	 真的像武侠片，经典果然都是留在记忆中的。            
(3星)	 回忆            
(5星)	 小时候没事在家就看~~~            
(3星)	 陪伴童年            
(5星)	 西游记续好看。80，90儿时的最爱！            
(3星)	 最大的不满是不能像前作一样一集讲一个完整的故事，前半截上一个故事的尾巴，后半截下一个故事匆匆讲个开头，结构零乱。            
(3星)	 特技做的蛮好的            
(1星)	 现在的人太浮躁，做事太不用心了！你看，悟空的金箍棒是空心的，八戒的耳朵是被订书机订上去的这些小细节都没人注意，把钱都花在后期电脑特效上了吧这叫啥，这就叫舍本逐末！            
(3星)	 ……演技退步了啊，六小你这样还对EG改编有微词……伪卫道士？            
(5星)	 动画太多了，天宫玉帝的背景音乐和如来的背景音乐是什么？挺好听的！求！！！            
(2星)	 不应该啊不应该            
(2星)	 没有前半部好看，续集的妖怪太假了...            
(NA)	 浪漫主义经典之续，            
(5星)	 杨洁导演拍的赞！            
(5星)	 续写经典            
(3星)	 且不说原班人马都老胳膊老腿，编剧把剧情拿捏得十分中庸、河蟹。。。失望啊～            
(5星)	 不会有更经典的猴子了。恩。除了六小龄童扮的孙悟空，我没再看过别的西游。            
(3星)	 差距咋就这么大呢            
(4星)	 剧情还可以            
(4星)	 小时候的最爱            
(4星)	 主题曲很带劲的！            
(3星)	 2000年            
(4星)	 觉得还成            
(2星)	 恶。            
(3星)	 华丽了一些，不甚美丽            
(2星)	 十分不咋地……            
(2星)	 敷衍了很多            
(3星)	 迟到~            
(3星)	 续集虽特效提高不少，但总体水平却下降            
(NA)	 大家的感觉是 哇唐僧变得好厉害            
(5星)	 多拍几部也行。。            
(5星)	 特别喜欢泪洒灵隐寺那一集            
(5星)	 我说的是86版的西游记，看了不小10遍，虽说现在看里面的摄影很幼稚，但不得不说的里面的音乐经典的不能在经典了，人物表演的感觉也很好            
(5星)	 始终是四大古典名著！            
(4星)	 你挑着担~我牵着马~~~            
(3星)	 科技发达了的几天..拍出来的东西还是没有以前的那么经典            
(3星)	 居然来个倒叙是吧            
(4星)	 台词变多了，画面相应好一些            
(3星)	 妖怪，哪里跑！            
(2星)	 凤姐最爱 谁不爱            
(4星)	 有点零碎，但还是不错的            
(3星)	 还是第一部比较好看，不过，这部的技术提高了。            
(3星)	 不如20年前的            
(3星)	 狗尾续貂            
(2星)	 没法和第一部比            
(4星)	 特技棒了，却越拍越差            
(3星)	 传说中的狗尾续貂            
(4星)	 结局，   悟空好舍身。            
(NA)	 第一部好看些            
(3星)	 续集除了指环王 都没有几个好的。。。            
(NA)	 续集真是不如前作            
(5星)	 爱死你了！！！！！！            
(3星)	 师徒四人看上去基本都没怎么变老，这点让我很欣慰。            
(1星)	 很多东西不能续集 就像童年不能再来一样            
(2星)	 为什么很多好片子非得拍续集，把“完美”定格在经典不是很好吗？尤其主题曲，简直折磨我的耳朵。            
(4星)	 还是蛮好看的，呵呵            
(5星)	 不可替代的            
(4星)	 算是貂尾续小貂吧。。。            
(3星)	 还行            
(5星)	 至上经典             
(5星)	 其实我不知道续集和原来内阁有啥区别= =            
(3星)	 嫑随便拍续集~~~            
(2星)	 那个主题歌啊，好高亢的：走出一条通天大道……            
(4星)	 特技稍强了些，只是大家都老啦……小时候一直盼望着真假美猴王，终于见着了~            
(3星)	 暑假时间哦。            
(2星)	 狗尾续貂            
(NA)	 经典            
(3星)	 怎么说呢…………画面是好看了，特技也多了，但总觉得少了点什么东西            
(4星)	 不如第一部            
(3星)	 续集比第一部感觉差远了            
(5星)	 经典~            
(4星)	 永远的经典！            
(4星)	 不如老版的好，影响力更是远远不如。            
(3星)	 就是把旧电视做新呗            
(2星)	 失望至极 每次的战斗都是同一个音乐同一个动作 特技用了还不如不用            
(4星)	 人老了些，不过还好            
(2星)	 两个星是冲着演员去的，否则就是一个星。            
(3星)	 不行啊，拍的不好啊，这个续集是咋我们拿的嵖岈山拍的，当时是盛况空前啊，北京方便面60多块一箱，油条2块钱一根，可惜没成想拍出来就是个这效果，哎浪费感情哦，如果不是有前面的86版给撑着的话实在是连个3星斗不想给。            
(1星)	 做作            
(5星)	 没人能再翻拍四大名著~没人            
(4星)	 续集有什么补充？            
(3星)	 这续集拍的雷人，雷的人外焦里嫩的……            
(4星)	 虽然相隔那么长的时间才出来续集，还行。            
(4星)	 续集不如……            
(3星)	 面具好假~~别的都还好            
(3星)	 哎，为了显示特技，孙悟空变得好无能，只会搬救兵            
(2星)	 太差了，TCL！            
(NA)	 說實話，續集比本來２５集好看。            
