http://movie.douban.com/subject/3032433/	施公奇案
(3星)	 明珠又让我惊艳一把。            
(NA)	 中央一台播过            
(3星)	 主题歌很喜欢            
(2星)	 2的我都不想说话了。            
(5星)	 第20集完、            
(5星)	 郭可盈美翻了~~            
(4星)	 好搞笑！            
(3星)	 喜欢郭可盈和欧阳震华斗嘴的样子，虽然剧情有点藐视观众的智商。            
(3星)	 后半段实在是被郭可盈姐弟俩给气死了~            
(3星)	 奇案不奇            
(3星)	 完全是洗冤录的蠢才版~~最后一个案子不好看，陈浩民的角色也不讨喜。            
(NA)	 演员，题材，爱啊。            
(3星)	 一个奇物仙枕的故事            
(4星)	 看的第二部~枕仙好萌 ~            
(4星)	 连这种片子结尾都会看的泪流。我真的越来越感性了啊。肿么办。杨怡在这片子挺好看的~            
(2星)	 就是借个枕神在那故弄玄虚            
(4星)	 听说第二部把我家米香蓉搞死了TUT 我好桑心。。            
(4星)	 只能说比第二部好点~~            
(2星)	 太弱智了，哪是破案，每次都是问枕头问枕头，太烂了！            
(3星)	 外公好可怜， 摔破梦枕脸都花了。            
(NA)	 没什么技术含量，很一般太一般的甚至有些略微二逼的一部电视剧。            
(3星)	 第一步逻辑还正常点            
(3星)	 好像没有什么特别的亮点            
(3星)	 打发打发            
(4星)	 嫩嫩的杨怡            
(NA)	 有点像古装古灵精探，不过没有古灵精探那么精彩            
(NA)	 好看！            
(4星)	 不同的风格，相同的破案。嘿，欧阳震华依旧帅！始终帅            
(3星)	 剧情漏洞好多 只为一笑            
(5星)	 喜欢欧阳震华和郭可盈的组合            
(3星)	 一般般了            
(4星)	 破案行，郭可盈不行            
(3星)	 一般般~            
(4星)	 看了2 再返回来看1            
(5星)	 欧阳胖胖+破案片 仅仅这两个理由就足够了            
(2星)	 原来我喜欢的破案剧呢还是有点点线索让我们自己跟着去猜的。而不是这种凭空想象，看着人家去破案。另外，剧情也太拖沓、人物形象太单薄了点。            
(3星)	 啥乱七八糟的都在里面了            
(3星)	 还好            
(2星)	 不喜欢欧阳震华            
(4星)	 没什么印象了            
(2星)	 情节发展得太慢了。不能引人入胜。            
(3星)	 古装的TVB推理剧中，我曾经印象很深的是状王宋士杰。 这一部或许是因为有欧阳震华和奇特的枕神才让一切变得有趣了。原来杨怡在那时的演技还是有些欠缺，比较适合小姐脾气，但对比真相中的成熟，或许是成长些了！原來TVB中的古裝戲都是有套路的。最後一個案子我承認確實是疑點重重，人人都勇猛無            
(3星)	 就靠个枕头破案 有病            
(NA)	 有欧阳震华的戏即时烂吧也能只看他本人坚持下去。。。            
(2星)	 可是忒JB没劲            
(3星)	 我连这种都在看，真的是...            
(5星)	 欧阳胖子啊！            
(3星)	 15 to see            
(2星)	 每个案件都很弱，很容易就猜到谁是凶手。            
(4星)	 冲着欧阳我才给4星的，故事毫无创意，跟洗冤录基本同出一辙。            
(3星)	 一二两部都好多老婆            
(NA)	 很多年前看的，第一部不错。第二部不喜欢！            
(5星)	 郭可盈残了。。。。            
(3星)	 其实不太喜欢枕仙的桥段，不过是冲着欧阳震华和郭可盈而看。            
(NA)	 想当年在一套可是一集都没拉下，就因为这部片子开始注意杨怡这个女演员，事实也证明他的确不错            
(4星)	 最近看的2 然后翻过去看1…… bobby果然老了            
(4星)	 郭可盈和Bobby搭档不错啊~            
(NA)	 仙枕是牙婆的外公=  =            
(4星)	 欧阳震华可爱死了。。。。            
(3星)	 一般的港剧            
(2星)	 标准的TVB制造...15集之后看着太着急            
(NA)	 恩  很奇            
(4星)	 看了好几年了            
(3星)	 结局出人意料，剧情跌宕起伏，灵的            
(4星)	 第二部还扔在家里呢            
(3星)	 后面的情节有点拖沓，还是蛮好笑的            
(2星)	 枕仙？开什么国际玩笑呢            
(3星)	 看。            
(4星)	 算不错            
(2星)	 太神幻了，真不好看。。。            
(2星)	 恍惚中还以为是洗冤录~~             
(3星)	 郭可盈是否有点做作？            
(4星)	 很搞笑 演员也都是我喜欢的 看了2还是觉得1最棒            
(NA)	 剧情还可以，就是人都老了            
(3星)	 还好啦一般般。            
(4星)	 TVB的东西永远开头很和谐，最后很纠结。没想到那么一个小制作居然有那么复杂的案情在里头。            
(3星)	 梦枕~            
(2星)	 没洗冤录好，闹腾了            
(3星)	 有点假。。。            
(4星)	 好看。            
(NA)	 文颂娴十分十分十分背景板。还有论理明珠称呼施琅不该直呼其名，叫声契爷总应该的            
(NA)	 还是第一部经典些 剧中的案子都合情理些 整个剧情都够紧凑            
(3星)	 喜剧            
(3星)	 貌似多年前看过，又忘了...            
(4星)	 不知道为什么TVB好多电视剧都是这么的廉价不过剧情不错啊比第二部更是不错了            
(4星)	 个仙枕头            
(2星)	 郭可盈那发型简直难看死了            
(3星)	 无聊解闷看看            
(NA)	 和郭可盈是老搭档了啊~~很好看的剧，当然少不了TVB惯有的纠结~            
(4星)	 总的来说只能说一般般哎！！推理剧但是主角不够聪明，情何以堪啊~~~~陈浩明大爱！！！和yy的感情戏不错~看在陈浩明的份上给4星（本人不是陈浩明的粉）            
(2星)	 欧阳胖胖不复当年了，叹息~~~~~为什么哪里都有杨怡，表看            
(3星)	 不是因为欧胖胖，我才不看呢。            
(3星)	 喜欢破案的            
(3星)	 好久以前的片子，要不是出了第二部，可能已经忘了~呵呵~            
(3星)	 还行。。还行。。。            
(4星)	 典型TVB轻松古装剧            
(3星)	 无聊时可以看看，后边比较有意思            
(3星)	 剧情一般,但就当喜剧看看乐一下亦可.            
(3星)	 典型的TVB片            
(4星)	 还行 喜欢TVB            
(NA)	 TVB一贯的风格，总之很好看。            
(NA)	 其实最后一个案子还不错。就是实在太拖沓了。            
(3星)	 老剧了，，，好吧。因为2要出来我才想到1好像还没看。光看阵容的话在tvb的剧里还是算是强大的。这四个人单独领出来都可以撑一部剧。但是剧情嘛。。就确实有点弱智。。。好在四个人都还演的比较欢乐。            
(3星)	 后半太拖。累死我了。案子不精彩。            
(3星)	 本来2颗星的，最后看到结局还是蛮意外的，但是中间蛮无聊的~·有些设定还是一般~~            
(3星)	 不多说，我就是爱看港剧            
(3星)	 欧阳震华的戏都挺喜欢~真的越来越像加菲啦~~            
(4星)	 看到第二部除了，才想到看一下第一部，个人还蛮喜欢欧阳震华的，够搞笑！            
(3星)	 不是太有印象            
(3星)	 我真是无聊死了，又看了一部莫名其妙的剧。。。            
(4星)	 还不错。。蛮好看的呀            
(4星)	 已經忘得七七八八了。。不過好像蠻好看的。。            
(2星)	 完全是因为不想半途而废，耐着性子看完的。没意思。            
(3星)	 赶在第二部之前，特地将第一部回顾一遍            
(4星)	 期待7月份的第二部            
(3星)	 傻兮兮。            
(4星)	 又是一个强档拍档            
(4星)	 冲着欧阳正华和郭可盈看的~~还算好，没失望~~            
(3星)	 这部07年看的吧，还算不错，但也不是特喜欢！            
(NA)	 在这网站上怎么不能看啊            
(3星)	 剧情还行，就是发展太慢了。。。bobby在里面反应着实慢了点            
(4星)	 bobby的古装破案剧 有点搞笑 和洗冤录有点小似  梦枕蛮好玩的 然后最近期待2呢            
(4星)	 说了，反正欧阳在片子总归不差的，还有我喜欢的破案推理            
(3星)	 情节一般，不过欧阳震华的演技就一级棒啦！            
(4星)	 不喜欢郭可盈的造型，喜欢杨怡            
(NA)	 胖子就是收视率。            
(3星)	 一般耶            
(4星)	 期待第二部~·~最爱BOBBY~·~            
(3星)	 震华，你是我的冤念啊……            
(3星)	 用来打发时间还不错，认真看起来的话，很多桥段还蛮白目的~~            
(NA)	 看过，也不太记得了            
(4星)	 我爱加菲猫。            
(NA)	 比起一般的悬疑片这个有点喜剧色彩            
(3星)	 因为某种原因没看完            
(5星)	 破案的片子一直喜欢，虽然本人胆子比较小，但人性的矛盾心理却让我忍不住想看（当然，恐怖片依然是我的死穴，坚决不看）。            
(3星)	 其实还满傻的一部片子哎。。。不知道为啥也就看下去了。。。            
(NA)	 也是搞笑的            
(3星)	 想当年看的时候好喜欢哦            
(2星)	 案子太简单了……            
(4星)	 郭可盈还是个美女，只是里面的爱情戏有点莫名其妙，男女双方怎么就这样算发生爱情了？            
(3星)	 那个枕头真神奇            
(3星)	 其实欧阳震华和郭可盈也很配~一个晚上连看数小时看完的剧~            
(3星)	 其实我只看过一点点            
(3星)	 还行            
(3星)	 印象不深            
(4星)	 某个暑假在家里和弟弟一起看的，挺不错的            
(3星)	 那时候还考研呢~唉~堕落~~            
(4星)	 推理，我愛~            
(3星)	 看了都忘了            
(3星)	 有点小粗糙            
(3星)	 有点神奇了...            
(3星)	 我做逃兵            
(3星)	 欧阳叔叔的剧……剧情有点诡异，郭可盈扮相有点老            
(3星)	 还行            
(3星)	 看欧阳看得有点腻了。。总之四个人我都不太稀饭。。            
(3星)	 发现欧阳震华的片子我也大多看过.扫片狂.陈浩民在这里很傻.bobby和佘诗曼的组合很新鲜.在洗冤录2中,他们两人也合作的.            
(3星)	 8行8行            
(3星)	 只看bobby～            
(NA)	 没有看书，直接看看电视剧而且是港剧，颇显的没有什么水准，可是水准并不重要，还是看过最重要。我只想说现在港剧的水平确实在下降，明星都老了，剧情很老套，看点颇少，决定还是看书吧。            
(4星)	 挺喜欢Bobby            
(NA)	 不错             
