http://movie.douban.com/subject/2228525/	男才女貌
(3星)	 喜欢苏拉和景飒的名字~            
(3星)	 只记得了景飒的名字。            
(NA)	 longtimeago            
(5星)	 本故事纯属虚构            
(4星)	 果然要找工作时看起来才比较有共鸣            
(NA)	 烂剧            
(3星)	 电视上播了 于是就看了            
(3星)	 微恶心。            
(3星)	 那时候看了两遍            
(3星)	 同桌要死要活迷苏拉。            
(1星)	 去你妈比陆毅            
(4星)	 最喜欢景飒            
(4星)	 还可以            
(4星)	 年少回忆。            
(3星)	 喜欢林心如的style.            
(NA)	 他一定很 爱你。。。            
(3星)	 不予评价。            
(3星)	 喜欢林心如            
(3星)	 历史系毕业真的那么难找工作吗？            
(NA)	 cctv 8  就觉得cctv8 画面真好            
(4星)	 林心如居然演一个上海女孩子            
(4星)	 还蛮喜欢看的            
(4星)	 我喜欢这个故事。曾黎好漂亮哦。            
(2星)	 我就是不喜欢这男的            
(NA)	 当时同学很羡慕，因为我们在一座没有地铁的城市，她很苍凉地说：“这样我就没办法在地铁遇见白马了。”            
(3星)	 原来当导游也可以这么有出路啊~            
(4星)	 我果然还是国产好孩子。            
(4星)	 还好。            
(3星)	 从奋斗想起来的。            
(NA)	 那年我高三，从那时我意识到了女性的独立……            
(3星)	 不知为什么总觉得此片与奋斗有某种联系= =            
(3星)	 那几年陆毅貌似很红。            
(2星)	 一般吧,初中的时候看的...            
(3星)	 我就冲着林心如去的            
(NA)	 看了这片子觉得陆毅蛮帅;林心如蛮漂亮.但却喜欢只有一点戏份的吴佳妮和那个小孩豆豆.话说那孩子贼可爱.            
(NA)	 阿杜的《他一定很爱你》            
(5星)	 地铁！            
(1星)	 拉. 拉. 拉稀.            
(3星)	 国产偶像剧，看过一遍无需再看第二遍            
(3星)	 沒事就看看唄            
(4星)	 这么深情的男人哪里去找？即使有点大男子，我也甘愿。            
(NA)	 没有亲近感的笑容            
(NA)	 垃圾！            
(3星)	 妈的！就凭是上大毕业的还有上大的镜头我就得……给三分啊！            
(3星)	 补标记            
(3星)	 里面的冯绍峰是个大贱人！            
(NA)	 其实陆毅的脸比林心如更端庄……印象里此剧也是反映端着装逼的小白领生活，主题曲是一个便秘男人嘶吼。            
(3星)	 那时候蛮时髦的剧~            
(3星)	 我喜欢里面的那个短发酱油妹！            
(NA)	 03年读初中，那会觉得林心如好美，陆毅好帅            
(5星)	 绝逼喜欢啊当时            
(5星)	 那时候大家都多嫩            
(NA)	 2003            
(NA)	 这个也看过！没什么感觉！            
(3星)	 好早之前看的了。。还行            
(4星)	 小时候很爱的啊。。。            
(4星)	 我一直觉得演颜如玉的才是大美人。            
(NA)	 继续=。=            
(3星)	 原来是蒋家骏导演的……            
(5星)	 超爱这两人来着。。。不过陆毅现在被屏蔽了            
(4星)	 那时候还觉得阿杜的歌超好听的！不堪回首！            
(4星)	 从头到尾看下来的说= =            
(3星)	 我为什么没有马克这个。。当年还看得特带劲            
(4星)	 小时候觉得太好看了啊T-T 林心如怎么那么美那么耐看啊！！！            
(3星)	 就记得里面那个芳芳现在嫁给咆哮涛了！！！！            
(NA)	 ATV            
(3星)	 曾黎很漂亮~            
(3星)	 我还记得邱石~            
(4星)	 不知道为什么很爱看。。。小时候看跟现在看完全不同            
(2星)	 传说中的八哥在里面丑，演技烂死。看了20来分钟，被编剧搞到笑死！里面的颜如玉现实生活中，也成了咆哮帝马教主的媳妇儿了。。。一晃8年久过去了！！！！！！            
(2星)	 其实陆毅就没演过靠谱的片… 阿杜的主题曲，属于高考结束后那个夏天的记忆。            
(4星)	 颜如玉  挺漂亮的，小嘴巴            
(NA)	 他一定很爱你--阿杜            
(3星)	 #集中吐槽日# 小时候我就觉得真的是郎不才女不貌。长大了见的男人女人多了，觉得这俩还算是郎才女貌了。            
(NA)	 当时看的那个喜欢              
(3星)	 还记得里面的冯绍峰是个反派……那时候他刚出道吧……            
(3星)	 马景涛他老婆很漂亮            
(3星)	 这可是我小学时候看的片子啊！这样算算林阿姨得多大了……            
(3星)	 倒是欣赏颜如玉，这姑娘才能在都市里活好吧。            
(5星)	 当时唯一觉得的确男才女貌的片            
(3星)	 哎呀，陆毅真帅气            
(NA)	 小时候就冲着林心如看~            
(4星)	 历史女找不到工作神马的无压力……            
(3星)	 家庭八点档·            
(3星)	 “我不知道你在想什么。”            
(3星)	 很早以前看过的。。。            
(2星)	 这还是高中的时候看的波            
(4星)	 这个……            
(3星)	 至今仍然觉得“苏拉”这名字很好听            
(NA)	 曾经有那么一段日子，我家楼下一群小姑娘小崽们蹦蹦跳跳无忧无虑地唱着我应该在车底不应该在车里。            
(5星)	 曾经觉得没有比陆毅更帅的人了...            
(3星)	 喜欢苏拉这个人物，才发现，其实自己听喜欢林心如的表演的            
(3星)	 他一定很愛你~            
(3星)	 女的都长得不错啊~~~~~·            
(4星)	 记得当时好小的时候看的，那是还很喜欢陆毅和林心如来着。            
(NA)	 小学的时候大家都会唱那片尾曲....            
(3星)	 小时候就为了看林心如            
(NA)	 多少年前的事了。            
(3星)	 无感            
(2星)	 曾黎长的不赖            
(3星)	 我看过的电视剧真是多啊~~~            
(3星)	 ！！！  小时候超级爱看啊   初一！！            
(4星)	 小学时观看 你别说我还挺喜欢的            
(4星)	 我可以说一句，我喜欢阿杜庅~~            
(2星)	 为了不睡午觉            
(2星)	 女二好看，不过角色不好            
(4星)	 当时大家都很喜欢            
(3星)	 他一定很爱你是片头曲，陆毅拿花献给苏拉的情景比较深刻。            
(3星)	 低成本，小制作            
(3星)	 要像苏拉一样做个坚强独立自爱的女子。            
(4星)	 很纯的年纪。。。很唯美的记忆。            
(3星)	 评：多么清纯……            
(4星)	 他一定很爱你 忽然想再看一遍            
(3星)	 一不小心看了这么多国产剧...只怪当时还年幼...            
(2星)	 陆毅你个2B。            
(3星)	 原来原来女二是曾黎演的。。。            
(3星)	 我记得里面讲了旅行社- -+我果然记忆点奇怪。。、            
(4星)	 还挺好看的            
(4星)	 从这部片子开始觉得林心如漂亮的            
(4星)	 作为内地偶像剧，还是挺到位的。            
(2星)	 陆毅演的戏，都不太能够恭维            
(3星)	 高中时很喜欢的。苏拉，颜如玉，小芳，景飒，各个女生的角色都喜欢。            
(NA)	 当年看完这个之后我们都说我小表哥就是有车有房有貌啊            
(4星)	 喜欢景飒。            
(2星)	 耽误了这帮男女花瓶。            
(4星)	 当时看中央八，觉得林心如好漂亮            
(3星)	 多青涩啊。            
(3星)	 打发时间的电视剧....            
(4星)	 爱死苏拉和邱石可惜林心如后来都没拍到什么好片            
(4星)	 中央八档放完这个放金粉世家，我还伤心了一阵子            
(4星)	 其实我有段时间很喜欢林心如的            
(3星)	 曾黎还蛮好看额。演小芳那个姑娘干嘛要嫁给咆哮教主啊|||            
(3星)	 是我初中时候看的么？？？好久远的回忆了            
(4星)	 为了林心如和陆毅我才推荐的            
(3星)	 觉得于小伟不错            
(4星)	 很喜欢里面林心如演的苏拉            
(4星)	 认识阿杜            
(NA)	 高中很喜欢            
(3星)	 记得地铁里陆毅冲过去抱住林心如。            
(2星)	 糖水片儿            
(3星)	 我哪点像林心如？？她那么做作！哼            
(4星)	 说我什么都行，我就是喜欢这片子            
(4星)	 就偶像剧而言，其实品质还不错。喜欢这里的林心如。            
(3星)	 感觉很老的电视剧啊。不过真的很“男才女貌”啊。            
(4星)	 一直都喜欢。            
(3星)	 留下最深印象的是 阿杜那首歌            
(3星)	 当时整天看。            
(2星)	 扯淡。我应该再车底～不应该在车里··            
(5星)	 里面给我印象最深刻的是吴佳尼.            
(3星)	 无聊的时候打发时间的好片子            
(4星)	 作为一部都市休闲偶像剧，不错。            
(3星)	 颜如玉的角色设计得非常现实，至于其他的人物和剧情，实在太理想化了。            
(2星)	 还行吧            
(4星)	 不错的偶像剧            
(1星)	 我不该在车里，而应该在车底，看到你们有多甜蜜～～～            
(2星)	 姐姐~            
(NA)	 陆毅真丑            
(3星)	 20            
(4星)	 陆毅最帅的一部戏。            
(4星)	 不错...            
(4星)	 挺好看的            
(4星)	 喜欢苏拉的名字 林心如的挑染头发 还有景飒            
(NA)	 在那个年纪喜欢上，重温依然影响我。最初的，最爱的大陆青春剧。            
(3星)	 大陆拍成这样。。也就这样了。。            
(3星)	 我迷恋苏拉那个发型很久了~            
(3星)	 不来电            
(5星)	 最喜欢这样的陆毅了            
(5星)	 还蛮喜欢的。。林心如            
(5星)	 三个女孩都很漂亮哦            
(NA)	 哦。。。。            
(3星)	 喜欢于小伟            
(NA)	 陆毅其实挺好看的            
(4星)	 他和她为什么没在一起呢？            
(2星)	 很一般            
(3星)	 看过,觉得林心如不错            
(3星)	 一看这封面，《他一定很爱你》的旋律就来了。            
(4星)	 一个女大学生的奋斗            
(NA)	 苏拉。            
(2星)	 片如其名。除此之外再无看头。            
(2星)	 不好看，只为记录            
(NA)	 虽然知道很恶俗，还是下来存起来看一些自认为很经典的镜头．我想，自己毕竟还是有那么一些些的念想，那么一些的小YY吧            
(3星)	 打发早餐时间的东西~            
(4星)	 某段时间在追的剧            
(3星)	 大学看的，觉得毕业了也不错。事实上的生活不尽如人意。电视都是虚的~            
(4星)	 上海生存记……            
(3星)	 的确是偶像剧来的...里面3女的都哈美...            
(4星)	 话说写剧本的人是西工大附中的，偏科，索性偏到底，遂成。            
(NA)	 新时代的样板爱情剧            
(2星)	 你坐在车里 我坐在车底 把我碾过去            
(5星)	 国内偶像剧里面数一数二了            
(3星)	 典型的都市爱情片片首的感觉还不错            
(4星)	 RUBY的戏 非常有爱 实在美丽啊啊啊            
(NA)	 初三 的 记忆二            
(2星)	 听这名字就知道。。。-_-!            
(NA)	 无语            
(3星)	 上海.            
(4星)	 很多同学坐着一起看完了。算是不错的偶像剧。            
(5星)	 林心如真好看            
(NA)	 林心如，我喜欢的女人。陆毅，我喜欢的干净……            
(NA)	 年轻有为啊年轻有为。            
(4星)	 喜欢曾黎            
(NA)	 男才女貌            
(NA)	 冲着主角的长相来的            
(3星)	 一般啦            
(NA)	 当时还没这么讨厌陆毅~~            
(3星)	 陆毅的片子喜欢的不多，这个算一个吧            
(2星)	 没意思            
(NA)	 不好            
(NA)	 六年级            
(4星)	 感动过我            
(3星)	 林心如。            
(4星)	 陆毅当年还是很帅的，某些场景还是有上海市井生活的影子的，很怀念            
(3星)	 初三暑假看的            
(NA)	 这片里的陆毅感觉不错            
(3星)	 迷陆毅的时候            
(3星)	 林心如在这里面是我看到现在为止最让我舒服的一次表演            
(2星)	 没点水平。            
(3星)	 淡淡的，暖暖的片子。            
(NA)	 那个时候对林心如好像也很喜欢，也许这也是我想去上海的一个原因吧！            
(4星)	 一部很好的电视剧.            
(NA)	 帅哥            
(3星)	 哦，好早好早看的电视剧哦。时过境迁。原来我看过~~天那            
(3星)	 还可以吧...。            
(NA)	 那会超喜欢陆毅啊～            
(4星)	 很久之前看过的了，很怀念..            
(3星)	 原来还为这个写了个日记呢，呵呵            
(3星)	 很现实!            
(4星)	 男才女貌            
(4星)	 那是喜欢            
(4星)	 不错            
(3星)	 看过即忘的青春偶像剧            
(NA)	 和mqt一起看的片，里面苏拉的性格是我所欣赏的，与她也有几分相近，虽然我们现在已经分开许多年了，可还会因为她的缘故，不断的重复，看似多余，对我却有着特殊的意义            
(4星)	 喜歡林心如的頭髮..            
(4星)	 好似乎这种形式比较适合偶的口味            
(1星)	 原谅年幼的我吧...            
(4星)	 真心拍的不错            
(4星)	 我记得小时候还挺爱看的呢。            
(3星)	 跟奶奶一起看的=_,=            
(5星)	 在为数不多的国产偶像剧里 这个很是赏心悦目            
(3星)	 就觉得颜如玉好听 没别的了            
(NA)	 真沒想到原來那個蘇拉前男友就是雙龍入洞啊.........[茫然            
(3星)	 那是觉得陆毅很帅气，阿杜的歌很好听。            
(5星)	 爱苏拉！            
(4星)	 小时候的偶像剧，现在是2010年，拖过来看一遍，果然比当下的电视剧要好很多啊！            
(3星)	 没记错的话，片尾是阿杜的《他一定很爱你》不？            
(3星)	 那个时代啥都好看~            
(4星)	 哈哈。。。那时候肿么就不觉得冯绍峰好看呢。。当初也迷过陆毅那种完美优质男形象诶~！            
(3星)	 苏拉不错。            
(4星)	 陆毅当年好帅！            
(4星)	 我突然有重新看一遍这部剧的冲动。。            
(3星)	 知道什么叫一见钟情了~~            
(4星)	 还是因为女主翻得牌            
(5星)	 纪念被狗吃了的青春~~~            
(3星)	 当时是冲着林心如在里边饰演的比较独立的现代女性去看的吧 还好            
(3星)	 苏拉 听到这个人名 这片的回忆就都冒出来了            
(NA)	 老早老早以前看的，都忘记剧情了，只记得一幕幕场景，有机会重温下。            
(NA)	 我一直的梦想就是成为邱石%&gt;_&lt;%。            
(3星)	 某年的暑期档。            
(NA)	 法语台在播，那时候我觉得陆毅好帅啊。现在觉得最乖的马景涛他老婆。            
(NA)	 高二下课了还在教室看。。            
(3星)	 很怀念。            
(4星)	 当时很着迷呢            
(4星)	 那时候心里天天YY要是有个邱石该多好啊~&gt;&lt;            
(4星)	 那一年的陆毅真帅，心如真美。            
(4星)	 这是上小学的时候看过的偶像剧，那时候还是断断续续的看完的，本来上学期期末的时候就一直想再找个机会重温一下，现在终于又看了一遍，现在看和那个时候看心情真是完全不一样了，小时候那是凑个热闹，现在才叫看懂了，或许里面有的东西我还是不能体会，这些不能体会的就留给以后去看吧。。。。            
(3星)	 只能说，中央八台是我小时候的忠实伴友。            
(4星)	 他一定很爱你 ？  是不是这首歌 哎呦  爱死了呢，里面好像有冯绍峰  他演的大反派 好像            
(4星)	 我真正意义上的看的第一部大陆偶像剧吧？独立的苏拉，更爱心如            
(2星)	 12797  曾黎            
(5星)	 苏拉～～～～～～            
(3星)	 国产第一部所谓偶像剧，我认为的            
(3星)	 中考期间看的，此外还有金粉世家。。。            
(5星)	 喜欢            
(4星)	 那个时候真心觉得男女猪脚都漂亮和帅啊啊啊            
(4星)	 那时候好喜欢陆毅            
(NA)	 有林心如和曾黎（那时候觉得她五官太棱角分明了），陆毅的长相不是我的茶            
(3星)	 所有的记忆，只剩那首歌。            
(4星)	 虽然有点假，但是在那个时候看起来的确很有意思。            
(3星)	 初中时演的            
(2星)	 我在央视八套唯一看完整的一部戏            
(3星)	 我应该在车底，不应该在车里。            
(4星)	 都这么多年过去了啊~当时还不认识冯帅呢~噗            
(4星)	 比女才男貌好看很多==            
(4星)	 小时候看的还真的很感动，很推荐初中生看，会看到不一样的东西，也算优秀            
(NA)	 时装剧的萌芽...= = （居然还有英文剧名!!!orz）            
(4星)	 那个时候的林心如很漂亮，陆毅很帅。偶像剧嘛，看的就是颜。            
(4星)	 小时候看的            
(3星)	 CCAV8总放，我就总看            
(4星)	 反正当年很喜欢            
(3星)	 原来看我过这么多电视剧——我喜欢林心如，因为她也是大饼子脸            
(3星)	 介个都有！！！            
(5星)	 记住了主题歌            
(4星)	 小时候可喜欢了！！！！！！！！真的！！！！！！！！！！            
(2星)	 我好奇，苏拉这个名字到底是怎么取得？            
(4星)	 恩，挺好看的，我印象中            
(3星)	 喜欢小警察那对吖            
(5星)	None
(5星)	 其中1.5颗星给小时候喜欢的林心如。            
(NA)	 又是电视档~~  填充以前那些个百无聊赖的下午。            
(4星)	 初一预备班的时候 很红啊！当时，  阿杜那时也超红            
(3星)	 后来我才知道，囡囡是个啥子意思。。。            
(4星)	 看的时候觉得他们满般配额            
(4星)	 在地铁里，总有一个邱石在等你             
(3星)	 曾黎！！！！！！！            
(4星)	 绝对的帅哥美女的搭配，当时就觉得林心如真的好漂亮啊！            
(4星)	 当年还觉得不错            
(4星)	 一星给陆毅君  太帅鸟            
(1星)	 就是看了这部电视剧，我的视力就下降了，气死我了，不好看，情节老套！！！恶心的表演，表情呆，面瘫。。。真不知道当时什么想法要把它看完，我去！            
(4星)	 谁会想到里边打酱油的“坏男人”冯绍峰如今这么红呢。。            
(4星)	 不只书中有颜如玉，电视里也有这样的美女            
(NA)	 男女主人公真的很配             
(4星)	 小的时候是有多喜欢，还模仿阿杜的声音唱：我躲在车里~手握着香槟~            
(3星)	 第一次见到冯绍峰就演个坏人。。。            
(NA)	 感觉是内地剧的先河啊。。。            
(3星)	 我躲在车里,手握着香槟……            
(NA)	 某一天电视重播，和蚂蚁大呼，那时的造型真土鳖……            
(NA)	 片头曲多经典哇            
(3星)	 小學片子....            
(3星)	 我停在车里，手握着香槟            
(3星)	 记得片名。            
(3星)	 那时候觉得主题曲好好笑~            
(4星)	 那时候真的太火了！！            
(4星)	 别问我它讲了一个什么故事- -            
(4星)	 那里面，心如和陆毅真的是男才女貌，好登对啊            
(3星)	 没想到当年的猥琐男二 冯绍峰 现在居然这么红。            
(4星)	None
(4星)	 初夏的上海，还有地铁2号线            
(3星)	 还挺配的一对            
(3星)	 其实里面的警察更帅...            
(4星)	 时代剧            
(2星)	 狗血。。。。            
(3星)	 青春记忆            
(3星)	 剧情不记得了，当时感觉也就中规中矩吧            
(4星)	 帅哥美女！            
(4星)	 为什么评分那么低啊？很好看的嘛，明明            
(5星)	 当年是有真心觉得他们天造地设            
(4星)	 当时好喜欢苏拉啊，还记得冯绍峰演她的前男友            
(3星)	 林心如干嘛要取苏拉这么奇怪的名字            
(NA)	 里面那个甩了苏拉的人事冯绍峰么            
(3星)	 颜如玉印象深刻            
(4星)	 都是正好的年华~            
(3星)	 地铁站各种追啊            
(4星)	 当年喜欢过里面的陆毅..            
(5星)	 我爱苏拉的随性。            
(3星)	 还是记住了歌            
(2星)	 小时候            
(4星)	 支持心如啊！            
(3星)	 初三的时候，每晚守着CCAV8！            
(4星)	None
(3星)	 帅哥加美女的花痴偶像剧。。。            
(NA)	 很不错的片子，但是很迷的说。            
(3星)	 名字印象深刻            
(5星)	 我曾经最喜欢的一部都市爱情电视剧。陆毅和林心如我曾经超喜欢的。            
(3星)	 以前看的，没什么印象            
(3星)	 小时候看过的电视剧25            
(3星)	 那是一个冯绍峰给陆毅当小配，佟大为给任泉当小配的年代。。。            
(4星)	 陆毅！！            
(4星)	 我就真的来了上海~！Amazing吖！！！            
(3星)	 多小的时候看的？？？            
(5星)	 大爱啊~帅哥配美女，景飒好漂亮有木有~，石头好可爱有木有~            
(4星)	 好早的剧哦，哈哈            
(4星)	 喜欢陆毅跟林心如的组合···养眼···            
(5星)	 - -挺喜欢林心如的。            
(4星)	 嗯嗯 当时记得看了很触动。 向某边分刘海貌似也是那时候学林心如那边因为觉得很美呢。哈哈。年代记忆记忆记忆啊。            
(2星)	 这片子那时候也不想看完…            
(2星)	 其实当年挺喜欢的。            
(3星)	 林心如永远都是一种风格            
(2星)	 第一次看陆毅演的电视剧。话说我还是对古装剧比较有兴趣，至少以前看的还有印象。至于现代电视剧则完全没印象。            
(3星)	 内地版的偶像剧。            
(3星)	 印象最深的还是阿杜的歌啊            
(3星)	 蛮好看的            
(3星)	 都有点忘了，记得陆毅说他在地铁站看到哭成那样的林心如就觉得他要好好保护她。最后他俩还结婚了            
(3星)	 我觉得陆毅是败笔。            
(4星)	 那时候的林心如  很美。。。            
(4星)	 有几个镜头影响还很深刻，不错的。            
(3星)	 ❤小时候曾经追过的电视❤            
(NA)	 读书的时候看的、看完还珠格格后、就一直很喜欢心如、那时候还特羡慕苏拉跟邱石的爱情、忒讨厌尹杉无情无义、没想到多年后、竟然喜欢尹杉扮演者冯绍峰（宫锁心玉里面的八阿哥）不得不承认、尹杉越来越帅气了、看来大明星都是从小喽喽做起啊            
(4星)	None
(3星)	 唯一凸显陆毅帅呆到不行的剧。            
(NA)	 曾阅，标记。            
(3星)	 老片儿了，林心如柔柔弱弱~~~那个时候还活在紫薇的影子里            
(3星)	 林心如灰常牛逼灰常个性 陆毅当年还挺帅的            
(4星)	 唔。。。还好            
(NA)	 冯绍峰当年也是这般鸡肋啊＝ ＝            
(3星)	 当年的青春偶像剧 他一定很爱你            
(4星)	 曾经的最爱            
(1星)	 编剧跟我同名同姓好么。。。。。伤不起            
(4星)	 他一定很爱你，别把我比下去，分手也只用了一分钟而已            
(5星)	 首选            
(5星)	 喜欢里边的小警察            
(4星)	 这个我喜欢。好像前不久又重温了一遍。算是内地比较有内容的偶像剧了。比当时的什么XX乐园好多了……            
(3星)	 只记得阿杜那首歌了。。            
(3星)	 都不记得了，依稀记得林心如的笑            
(NA)	 苏拉和谁来着？不过多年后才发现那个尹杉居然是现在红的发紫的冯绍峰……惊悚            
(3星)	 外型上两个人是不错，不过就是感觉不来电呀～            
(4星)	 比现在台湾的偶像剧好看多了。。。            
(4星)	 初中的怀恋，苏拉            
(5星)	 有一个胖子喜欢教主的老婆，但教主的老婆不喜欢那个胖子。PS:这能邀歌么？            
(4星)	 六年级            
(3星)	 漂亮的林心如+帅气的陆毅            
(3星)	 当初是觉得帅哥美女挺养眼的。            
(2星)	 现在唯一有印象的就是阿杜的歌了            
(2星)	 冯绍峰            
(4星)	 我躲在车底你坐在车里。            
(3星)	 看过就是看过，当时追的不得了            
(3星)	 从来没觉得林心如演戏好过！光说话的表情和声音就觉得特别扭。几个配角都还不错。            
(3星)	 妈的 特小的时候看得  没觉得陆毅帅过  自始至终觉得丫小白脸形象明显 和妈妈看像雾的时候反而一直觉得陈坤孙红雷好 唯一的审美交集点了            
(5星)	 邱石啊~理想男银啊~~~            
(3星)	 现在看到陆毅和林某某，就尼玛想吐            
(4星)	 三个女主角都很有爱            
(4星)	 小时候爱看，因为那时候觉得都是俊男靓女            
(NA)	 里面的演员都很喜欢，怀念            
(NA)	 很喜欢心如            
(4星)	 早期的冯绍峰啊-0-。。。            
(3星)	 非典那年我们都被关在学校里。当时宿舍唯一一部电脑上的唯一一部电视剧就是它，我觉得也就是个应景的偶像剧而已。            
(NA)	 阿杜的歌红起来了            
(3星)	 小时候看的NC剧啊            
(3星)	 老实说，cctv8总在播，但我还是没有完整看完            
(4星)	 我是怎么了，开始回忆了，这是林心如现代剧最喜欢的一部，其他的角色性格命运不如这部好啊！            
(1星)	None
(4星)	 很般配啊！            
(NA)	 初中时候看的~怀念下            
(3星)	 好像看过又好像没看过，是不是有个和陈坤演的呀……但那里又确实没有颜如玉……一个后来变好了，去教书的人……但别的不记得了……            
(NA)	 小时候姥姥家的不朽传奇III            
(4星)	 这是真的男才女貌            
(5星)	 我就奇了怪了，那时候的大陆偶像剧一点都不山寨还很好看，怎么现在越拍越山寨了呢，这歪风从哪儿起的啊            
(3星)	 ……忘得差不多了。            
(4星)	 很小时候看的            
(4星)	 现实与理想            
(4星)	 小学时的经典            
(3星)	 最记得里头那个警察变植物人，之后复苏那一幕            
(NA)	 大爱里面的陆毅，专一痴情，苏拉也不错，颜如玉好漂亮啊，从这里开始认识曾黎            
(NA)	 靠            
(5星)	 特别特别爱看~~当时特别讨厌冯绍峰~没想到现在这么红~            
(3星)	 确实当时对上海地铁产生了好感= =            
(5星)	 很喜欢苏拉，正直善良~~            
(4星)	 难得有部还能看得下去的国产剧。剧情走向不俗套，有点意外（除了结局，和两位男女主角的戏份）。两位主角都不给力。林心如的扮相很土包子；陆毅是个败笔啊，不过也适合角色的窝囊气。除了主角之外的配角们，都值得赞一赞。冯绍峰是个有前途的狠角色。支持曾黎！扮演一个极度真实、无奈、美丽、矛盾的角            
(3星)	 从此对地铁多了份遐想……            
(3星)	 当时感觉好现代             
(4星)	 当时很喜欢来着~~            
(3星)	 两个女孩也敢闯。            
(3星)	 那个时候出现了GPRS和上海大学            
(3星)	 林心如真美丽            
(4星)	 美女才是硬道理！            
(3星)	 当年林心如在大陆着实火了一把            
(4星)	 那个时候    好想好想剪一个像苏拉那样的头发            
(3星)	 第一次看到冯绍峰的脸 不知为何记得很清楚            
(4星)	 这部也很经典，地下铁的爱情，想起了几米的漫画。我也喜欢景飒这一对，石头的爱很真诚很感人。我最喜欢陆毅在这里的形象，钻石王老五。后来经同学提醒，我才意识到当年背叛苏拉的初恋情人，是冯绍峰            
(NA)	 以前都是每晚两集好像是  后来还搞了一个女才男貌啊            
(4星)	 在电视上看的，当时追得那叫一个紧呐...大陆剧也很好看的...            
(NA)	 大陆比较开创的剧，前无古人            
(3星)	 哎            
(4星)	 太配了            
(5星)	 那个时候经典的偶像剧            
(4星)	 颜如玉，我只记得你了·····            
(4星)	 大陆还成的偶像剧，你知道“大陆还成”这四个字有多含金吗？            
(4星)	 那个时候还蛮喜欢陆毅的。            
(4星)	 灰菇凉和白马王纸的故事哟~~林心如和陆毅的颜都不错的~~颜如玉很美，冯绍峰也好清纯哟~            
(3星)	 那时候大红大紫的林心如啊            
(NA)	 曾经很稀罕。   高中时代的我狠向往白领生活。去年我妹妹开始了北京带团生涯，才知道，导游是如此辛苦，如此心酸。            
(4星)	 初中的时候和同学迷很久的电视剧            
(3星)	None
(1星)	 年少无知时用于打发时间！            
(4星)	 小时候超喜欢  陆毅这个角色梦中情人哪            
