http://movie.douban.com/subject/1764730/	浪漫满屋 풀하우스
(3星)	 欢喜小冤家。            
(5星)	 有大笑有眼泪......2个人都好笨啊            
(4星)	 别怪我,它就是吸引了我.不费脑筋,简单明快,眼泪和笑容都了然.也许就是喜欢宋慧乔吧.            
(5星)	 最喜欢的一部韩剧            
(NA)	 我妈真是喜欢看这个啊=。=            
(4星)	 貌似我头回看这么短的韩剧……            
(2星)	 根本没剧情,枉我当初还盼了很久,还好没买碟 咻~ (还是小说比较好看)            
(3星)	 宋慧乔真是很漂亮            
(4星)	 第一次看不是哭哭啼啼的韩剧。当时很眼前一亮。            
(NA)	 最近又在看。            
(4星)	 电脑里面本来有这部韩剧，可能算是看得最多的韩剧，浪漫搞笑，帅哥美女，美丽的爱情以及老套的契约，但是我刚刚把她删掉了，看太多了，就像吃糖多了的感觉，很腻~            
(5星)	 超喜欢呢!!!            
(4星)	 电视剧            
(4星)	 电视台都要播腻了~`            
(4星)	 爱RAIN爱宋慧乔 就是这样嘿嘿            
(4星)	 宋慧乔在这部好可爱            
(NA)	 嗲`~很愛宋慧喬`~            
(5星)	 嗯。。。。。。。。。。。。。。。。。。            
(4星)	 经典，还是看看吧            
(5星)	 很经典的连续剧  让人们保持幻想吧            
(NA)	 ~~最完美的童话般的浪漫~~            
(4星)	 热闹搞笑温馨剧。            
(3星)	 从这里开始觉得rain还比较乖。            
(3星)	 最恨浪漫的人！            
(3星)	 看着傻乐吧            
(3星)	 宋慧乔很可爱，其他么了。            
(5星)	 没看过的就要补习一下了            
(NA)	 挚爱            
(2星)	 男女主角不是我喜欢的类型 演技太差 不喜欢             
(5星)	 FULL HOUSE            
(5星)	 我是真的很喜欢你。            
(5星)	 还是灰姑娘模式,乔妹很漂亮达~            
(NA)	 好久之前的韩剧，但是百看不厌。            
(3星)	 喜欢看，看了两遍，之后还想看，于是毫不犹豫地放弃了。原因是太不现实。            
(3星)	 最近无聊，在看。。。            
(4星)	 看这个也哭了呢……            
(5星)	 第一部觉得充满浪漫的连续剧            
(3星)	 没印象了，只记得刚看这剧的时候我正在验血以及拔牙。。。            
(NA)	 浪漫满屋            
(4星)	 最后一集，宋慧乔太有气质了，看完这部电视剧我用了3年，不容易。            
(3星)	 其实不是很喜欢            
(3星)	 幻想            
(4星)	 轻松一下            
(5星)	 很可爱很浪漫            
(5星)	 好喜欢这个海报            
(5星)	 最爱的韩剧            
(5星)	 白看不厌~~            
(NA)	 喜欢            
(5星)	 可爱挂的。            
(NA)	 爱情            
(NA)	 初三的时候跟燕子一起看的漫画,高二~高三的时候跟雷雷一起到网吧追看这个电视剧~满有意思的~            
(3星)	 rain乖爆了.            
(2星)	 搞不明白，为什么会那么火～～～～            
(4星)	 很不错嘛,没有以韩剧经典的悲情作为结局~~~宋慧乔瘦瘦的很好看~~~            
(NA)	 恩，很好            
(NA)	 消遣休闲            
(4星)	 我喜欢Rain!!!            
(4星)	 无聊时，看得最多遍的韩剧。。居然也不厌倦。。记得若干台词            
(3星)	 宋慧乔蛮漂亮            
(5星)	 我不大看韩剧 大学里看了第一部韩剧蓝色生死恋  喜欢宋慧乔 因为宋慧乔而去看浪漫满屋  喜欢rain 因为rain而去看尚道上学去  就看过这几步韩剧            
(4星)	 轻松的。人搭配起来还是有点怪怪的...            
(4星)	 传说中的日久生情~            
(4星)	 第一部 韩剧            
(5星)	 一个个夏天 永不消逝的풀 하우스气息            
(5星)	 契约婚姻。            
(4星)	 看了这部电视剧你就会了解韩国男人是那麽的可恨又可爱~            
(NA)	 高中的时候一星期看一点，我用了多长时间才把它都给看完？            
(5星)	 非常不错，排在最喜欢的韩剧前列啊            
(NA)	 太经典了            
(4星)	 始祖。也曾经感动哭了，后边的也大致如此            
(4星)	 最早看的韩剧，当时看完之后觉得终于找到部喜欢看的韩剧了            
(4星)	 宋慧乔～～～～            
(4星)	 唯一完整看完的一部韩剧，比较喜欢            
(NA)	 笑笑 挺好 大家都看            
(4星)	 经典            
(4星)	 轻松的爱情 不同于以往韩剧的感觉 很喜欢             
(3星)	 FULL HOUSE            
(5星)	 浪漫死人不偿命啊。。。。。。。韩国因            
(4星)	 三里河最爱之一。            
(5星)	 大2有病在家老妈给租的碟            
(4星)	 只看情景不看剧情            
(3星)	 节奏太拖沓了            
(5星)	 喜欢！            
(4星)	 rain还是挺可爱的            
(5星)	 宋惠乔很可爱。            
(4星)	 当时看还不错 再看就反胃            
(4星)	 轻松            
(1星)	 垃圾~            
(5星)	 ```很美。            
(3星)	 妈妈喜欢的...            
(4星)	 很喜欢Full House这个名字~情节是比较傻~            
(3星)	 初中一个暑假看的.没什么感觉...            
(4星)	 类型片            
(5星)	 喜欢            
(5星)	 百看不厌啊.            
(4星)	 众人皆知的电视剧吧~~            
(5星)	 都爱            
(4星)	 是因为剧中男主角长得太像XX了。            
(NA)	 不开心的时候拿出来永远都是有效的。            
(NA)	 就让我溺死在纯情偶像剧里吧            
(4星)	 很久以前看的 还满好笑的不过要看韩文版的 翻成中文就比较无聊了。            
(4星)	 到后面就变拖沓了            
(NA)	 过去疯狂迷恋韩剧的日子            
(NA)	 韩国男人越来越耐看            
(4星)	 宋慧乔长的完全没毛病            
(4星)	 青春的喜悦，关掉头脑，就笑，就哭，别难过            
(5星)	 爱rain!!!            
(4星)	 记得当年小时候，你爱谈天我爱笑。            
(5星)	 爱在不经意的习惯            
(NA)	 宋MM,很可爱的列~RAIN那里帅啊?我还是很喜欢,呵呵~~            
(4星)	 三只小熊。。。            
(5星)	 浪漫满屋            
(4星)	 还可以            
(5星)	 唯一完整看完的一部韩剧 很轻松温馨 但貌似从那之后对一切电视剧都失去兴趣了            
(5星)	 连我妈都喜欢看的片子，真的很轻松。            
(5星)	 三只熊！！！            
(4星)	  浪漫满屋            
(NA)	 풀하우스  有点象现代版的王子与灰姑娘的故事，那样的情节应该大家都爱看吧，和韩国以往的风格一样，女主角总是那么可爱又有点小刁蛮，而且还是那么的平凡甚至普通            
(5星)	 三只熊            
(5星)	 小眼睛的男生好可爱~            
(4星)	 韩剧~~就是韩剧~~            
(3星)	 典型韩剧            
(NA)	 Rain a Rain            
(4星)	 韩国人真猛，这样一个简简单单的故事，也能折腾出那么些事，好拍成16集之多。想了想，跟着看的理由除了是Rain演的外，剧集里多多少少有些过去那几段感情的隐子，又或许是合了一些人类对于感情以及生活的梦想，于是简单的故事也能追着看，而且是熬夜看，唉。。。            
(NA)	 我要为他疯了。。。            
(3星)	 04年喜欢的剧情,现在演滥了.            
(5星)	 看过很多遍            
(5星)	 百看不厌。。            
(5星)	 唯一看完整的韩剧            
(5星)	 最喜欢的            
(5星)	 百看不厌~~            
(4星)	 不错            
(5星)	 小乔很可爱，Rain也是搭哈哈^^            
(4星)	 還滿有趣的            
(2星)	 我只能说 这部电视剧十分拖拉 我看的还是是压缩版本            
(NA)	 rain.呵~            
(2星)	 真不明白它为什么会红.....有什么特别之处吗?没有.有什么内涵吗?没有.            
(NA)	 不错的爱情电影，happy end是让人对爱情唯一有憧憬的动力。            
(4星)	 恳求电视台不要再重播啦            
(5星)	 不知道看了几遍了            
(3星)	 一般般 可是我真的不喜欢宋慧乔            
(5星)	 好好笑            
(5星)	 Rain、宋慧乔             
(3星)	 天然呆            
(4星)	 看过的唯一一部韩剧            
(4星)	 唯一对雨有点好感的体现~~            
(5星)	 电视台播的配音 你可真绝gogo 加油。。。            
(3星)	 比较轻松的剧            
(2星)	 宋慧乔在里面是真胖，Rain在里面是真丑。            
(5星)	 喜欢rain腼腆的微笑            
(NA)	 虽然Rain饰演的男主角弱智了点，情节也弱智了点。但是简单、浪漫、俊男靓女……这就够了啊。            
(NA)	 刚出来的时候看过。半年后突然大热，讨厌别人和我说azaaza之类的话。            
(5星)	 喜欢宋MM            
(4星)	 恩，茶余饭后的好消遣...            
(NA)	 韩剧代表力作，没看过此片=没看过韩剧！！            
(4星)	 剧情还不错~最主要Rain还是很吸引人的~            
(5星)	 三只熊            
(NA)	 浪漫主义励志长片。            
(3星)	 轻松。            
(3星)	 不喜欢啊。。。            
(5星)	 很不错的连续剧,迄今看了2次.虽说情节有点冗长,但却铺垫得很好,算是感情的酝酿吧!            
(NA)	 很喜欢单眼皮男生            
(4星)	 消磨时间的良药。            
(4星)	 甜蜜冤家。            
(4星)	 虽然吵吵闹闹,但却很幸福.            
(NA)	 看了3遍            
(NA)	 那时太出名了            
(4星)	 两天两夜的不吃不喝, 是什么坚持下来? 我想,应该,,,是对一个人的爱吧..            
(3星)	 海边的玻璃房子，我的梦想            
(NA)	 有的地方挺逗的            
(3星)	 我唯一看过的韩剧。。。所以没有可以相比较的。。。            
(5星)	 经典的韩剧，不可错过噢~            
(5星)	 bell&#39;s full house            
(3星)	 一师兄借予观看            
(5星)	 一部感人的爱情喜剧。            
(4星)	 偶尔可以让我笑得很彻底.真好.            
(5星)	 还是很不错地            
(5星)	 我想我是个小女人。到过我房间的人都那样说，所以我比较韩片。。            
(3星)	 冲rain看的度过我最痛苦的日子            
(4星)	 也想要一幢full house            
(4星)	 第一部完整看的韩剧            
(5星)	 超级棒！            
(5星)	 很搞笑的哈哈..            
(5星)	 是目前为止我认为最好看的韩剧，简单的生活，真挚的爱情．            
(3星)	 本来是想转型的，rain的风格现实中真学不来            
(NA)	 浪漫满屋            
(NA)	 第一部看得韩剧，从此开始不排斥韩剧。在一个人的时候，哭哭笑笑也挺好的。            
(4星)	 It brings Rain out.Maybe 80% of the secenes is taken inside or around socalled &#34;Full House&#34;,it still attactted so much attention.So that&#39;s what they say&#34;Superstar&#34;could make.            
(5星)	 最喜欢的电视剧，我想女生都该象韩智恩一样把！            
(5星)	 我就是喜欢看这个呵！            
(5星)	 巨迷            
(NA)	 比《对不起，我爱你》让我开心。喜欢他们的家。RAIN的表演不错。            
(3星)	 典型的韩剧。非得有爱还有眼泪。不过还好，大团圆结局。            
(NA)	 简单的感情才是真            
(4星)	 是在朋友们都看了之后~暑假回家租来看地~还好~相比较之下更喜欢美妙人生~            
(4星)	 Handson  Rain            
(2星)	 不能忍受所谓的明星整天就知道讨论打扫卫生……打扫卫生打扫卫生……一整集一整集的都是这个话题。怎么能这么低智呢！            
(5星)	 不要看太多，一点刚刚好            
(NA)	 发现RAIN的可爱            
(NA)	 韩国            
(4星)	 很好看啊 呵呵            
(3星)	 还是太拖拉了            
(3星)	 被不断怂恿看的片子            
(4星)	 我喜欢那所海边的大房子。            
(4星)	 结尾罗嗦了一点,真可惜.            
(3星)	 我从来不是韩剧fans            
(4星)	 我不得不推崇的电视剧呀电视剧。            
(3星)	 搞笑而已没什么            
(3星)	 貌似永远不会改变的韩剧男女主人公命运            
(5星)	 女生教会男生去爱的故事~~            
(4星)	 给四星，因为对我来说，这部剧，总是有不太美好的回忆···可是也许，那就是我的2B青春！！            
(3星)	 没看完。            
(3星)	 遥想当年我还不知道狗血为何物啊~~~但是无感倒是真的╮(╯▽╰)╭            
(3星)	 我妈的最爱！            
(NA)	 【2004-07-14】             
(5星)	 第一部完整的韩剧             
