http://movie.douban.com/subject/2274916/	奸人坚 奸人堅
(5星)	 他虽然叫何其坚，但他一点也不奸，他只是为了掩饰自己的孤单。金钱豹我也喊喜欢，没想到他这么有义气            
(4星)	 结局好无聊            
(4星)	 黄子华演的！            
(5星)	 开头明明是民国版一吻定情，结果最后变成了坏人弃恶从善的励志剧，真的不适合我，五颗星全部给黄生！            
(3星)	 叶童原来是女人~            
(5星)	 好人难做啊            
(3星)	 唯一的缺点就是，除了杨秀惠，没好看的了。叶童还是时装剧好看点            
(3星)	 叶童真难看            
(4星)	 看完心里特别堵得慌，子华为什么总演这种让人很心疼的角色。如果不是这么个结局，这个会五颗星的，但我接受不了。奸人坚应该是专门为他写的剧，很适合他，好像他这个人就是这样的，辛苦的做栋笃笑，为大家赢笑声。他歌词写的好棒，厚道浮名脚下泥，长夜晚空觅知音一个，是否错，独处天地，尽抛开顾忌。            
(4星)	 有一颗星是给黄子华的 还有 这个黄师傅是所有片里最难看的黄师傅吧我估计！！！唉            
(2星)	 真的觉得黄子华不适合演坏人            
(4星)	 龅牙妹正点。            
(5星)	 奸人坚 奸得够坚 奸得够贱 奸得超有型            
(5星)	 演得很好            
(3星)	 看子华来了。不过剧本影响了子华发挥。            
(4星)	 认识子华必修功课...这片看着挺纠结的 = =            
(4星)	 如果不是这个值得回味的结局我想我大概会给三星。            
(4星)	 黄子华好靓仔呀～！            
(4星)	 叶童塑立这个角色太形象了            
(5星)	 其实还挺喜欢这个结局的            
(4星)	 虽然很多地方不合情理，很多地方转的很硬。但有些情节还是很好笑的。黄子华演的……那些动作…那些台词…笑喷我了。黄子华演这部的时候近半百，黄子华~你要不要那么有魅力啊。。超喜欢。赞！！！！！            
(3星)	 只看黄子华！            
(4星)	 哈哈哈            
(5星)	 刚开始觉得黄子华真的很衰，但慢慢就觉得好好看            
(3星)	 “你妈嫌儿子多啊。”            
(4星)	 女人过了60斤,男女授受不亲            
(4星)	 子华好嘢。就是结尾有点心酸            
(4星)	 剧情有点牵强啊···而且叶童····哎···            
(NA)	 有恩不报不算差，有仇不报是人渣！！！            
(3星)	 喜欢黄子华，可惜结局真的让人很遗憾            
(4星)	 黄子华太适合演这种痞痞的角色了，帅！撑的起这种剧情没亮点的片，分都加给他，黄飞鸿好憨厚啊， 叶童的形象算是豁出去了，怎么后来变美了也一点不漂亮呢，过去的她去哪里了？            
(4星)	 如果不是子华....哨牙妹太讨厌了~            
(NA)	 一集弃 受不了叶童            
(2星)	 从来都挺讨厌叶童的。。。不管白蛇传还是倚天也讨厌经历大变后的改恶从良剧情(只看3集，猜测的，实在没地方吸引能继续看下去)            
(3星)	 黄子华是亮点            
(3星)	 有些细节还是很黄子华的，但是没有最大的发挥黄子华的才华。剧情什么的还是弱的，冲着子华来的。            
(4星)	 我有点不希望黄子华变好了。。            
(3星)	 我这个俗人想看大团圆………………失望了            
(5星)	 却是我觉得黄的最深的一部，以至于不敢看第二遍            
(4星)	 因为黄子华            
(5星)	 喜欢黄子华            
(4星)	 叶童看着伤心！！！喜欢演他妹妹的那女的            
(3星)	 你要是能从头坏道尾那该有多好            
(3星)	 冲着黄子华看的，真的一般般，不过也有笑点。            
(NA)	 哇哈哈，因为黄子华还是非常值得一看。但是叶童。。。嗯，还有那个黄飞鸿。。。嗯。。。主题曲很有爱~前面坏坏的时候很搞，后面有点无聊了。            
(5星)	 这个奸人坚            
(NA)	 一般，不要看            
(3星)	 不是我喜欢的黄子华风格～            
(5星)	 推荐！奸得很好笑很有点 很真实！            
(4星)	 年老的葉童是禍點。            
(3星)	 还好            
(3星)	 完全记不清楚了，只知道看过，因为黄子华            
(4星)	 2011年10月26日，我把这部片子从头到尾看了一遍。剧情不够紧凑，本该扣1星。但冲着这个万人唾骂的结局，我受了。子华的演技确实足以掩盖整部片子的不足。            
(NA)	 更喜欢那个坏坏的奸人坚            
(5星)	 黄子华每部作品都很有教育意义啊～            
(4星)	 黄子华你好帅~  擦狼黑~            
(NA)	 第七遍看完奸人坚。我还是很喜欢坚哥咯。只是剧情太不合理，漏洞太多，承接太过突兀。感情戏乱七八糟，十分莫名其妙。但起码它让我喜欢上了黄子华。这奸诈。。并没有无恶不作，反而像学生时代的恶作剧，实在无法明白所有人对他的深恶痛绝。想来他还是适合做浪子的吧，没把翠安排给他，实在值得庆幸。            
(3星)	 虽然是标准的恶霸到落魄，悔改，再变好的港剧模式，但还不错~            
(NA)	 佛山裙底脚~            
(3星)	 黄子华的片子挺好看的，搞笑幽默，可惜了女主我不太喜欢            
(5星)	 喜欢黄子华！盖世聪明奸人坚！            
(NA)	 堅堅~最稀飯            
(4星)	 没死就好，不然我又要桑心了            
(4星)	 喜欢恶趣味结尾~            
(4星)	 四星全给黄子华。            
(3星)	 开开心心的电视剧最后都是烂结局            
(4星)	 他还蛮有型的。            
(4星)	 我忍叶童的龅牙都快忍到内伤了。。。            
(3星)	 林子善很有前途。。。。。。            
(3星)	 引用一个网友的评论&#34;看完最深的感受就是，其实，阿坚最爱的是黄飞鸿！&#34;            
(5星)	 好久没有看到这么搞笑的电视剧了，主角有个性，台词超经典的，剧情总是峰回路转，跌宕起伏，节奏快速，捉摸不透。本以为也许会这样那样发展下去，下一情节竟已大大出乎我的预料。。不愧是一部值得欣赏，让人轻松，不断回味的影视。阿坚说“得闲奸一奸，大病都好番”，我说“得闲睇一睇，嚒嘢都好番”。            
(4星)	 我家 坚坚~   坏男人果然比较惹人爱。。。            
(NA)	 看了一集多，为了叶童不得不放弃亲爱的黄子华。。。她永远只能是许仙。。。真憋屈。。            
(4星)	 我不敢说我看电视是因为我每次都是拉着看的，所以我等于说没看，但是我大言不惭的说我看了，因为虽然我没看精华，只触到皮毛虽然我看的是剧情简介但我知道还是黄子华和小蔡的，所以我是一伪迷，不劳大家bs我，我自己来……我又一次被主题曲惊诧好人坏人将军令贱人奸人为正，主角多磨             
(5星)	 我觉得是子华演技最完整的一个角色，最爱的角色。            
(5星)	 厚道浮名脚下泥。            
(5星)	 子华兄演技的另一面。            
(3星)	 剧情很曲折，子华的TVB都不错            
(3星)	 说实话我都不知道叶童为什么可以拿两届金像奖影后！黄子华 还是演坏人最好看了！            
(5星)	 忠实电迷，必须看~            
(3星)	 黄子华你又被TVB利用了            
(4星)	 子华跟叶童不衬            
(5星)	 以为我喜欢的会是黄飞鸿，不曾想却是爱上了奸人坚。            
(3星)	 子华中比较差的            
(3星)	 不喜欢叶童！！！黄子华拍的烂片子。。            
(5星)	 黄子华我锺意你！            
(4星)	 子华深沉的时候，我先笑后哭。            
(4星)	 比想象好看多了，但讨厌叶童            
(4星)	 编剧脑残= =···            
(4星)	 哟后~ 我是奸人            
(5星)	 死，写了一篇评论没发表成功，不想重写了。MMD.总之，爱子华的就去看吧~绝对surprise。            
(3星)	 黄子华，这三颗星星都是给你的，其他人好烂。            
(2星)	 语录经典，情节却反复繁复。            
(4星)	 好中意他的拉~            
(4星)	 黄子华好帅啊~~喜欢喜欢~~            
(5星)	 结尾看得我有点惆怅唉。。            
(NA)	 黄子华也有令人心痛的时候            
(5星)	 大爱黄子华，真的很有才啊。虽然叶童真的造型很囧，可是好在有子华，怎么样看都有意思。            
(4星)	 和叶童的搭配减分啊            
(4星)	 不是非常喜欢叶童。虽然故事还算有新意            
(4星)	 黄子华啊，黄子华，看什么时候能把你给看腻了！～            
(5星)	 五颗星全都给子华！            
(4星)	 唉 叶童……            
(4星)	 还是在大学里看的，一屋子人笑再一次得四仰八叉            
(4星)	 为了黄生我忍了叶童            
(5星)	 过程我笑得挺开心的！            
(NA)	 说真的，叶童的美我欣赏不来            
(NA)	 黄子华真棒            
(2星)	 黄子华真是晚节不保            
(4星)	 从16集开始没有耐性。没有人值得奸人坚强作笑脸以对。            
(4星)	 西黄子华的开始啊            
(5星)	 虽然这个结局杯具了 但是还是蛮符合阿坚的人物性格的嗯……            
(5星)	 因为此剧爱上黄子华，又是转折点啊转折点，不管情节如何，打5分            
(4星)	 喜欢黄子华            
(NA)	 剧末有点悲剧……            
(4星)	 女主角让人有些吃不消            
(4星)	 坏人变好的过程也很纠结⋯⋯不过总需要一个更好的人让她变好            
(4星)	 子华~~~            
(3星)	 不是很欣赏这一类型的            
(NA)	 奸人坚不甚奸            
(4星)	 冲着黄子华看的..            
(NA)	 哈哈哈，子华兄            
(4星)	 虽然剧本不好，叶童这次也演得过火一些了，但单看子华的演出已经值回票价。            
(4星)	 劇情既牽強又峰回路轉得精彩，細節處理不夠。道德說教過于直白，感情部分讓人郁悶卻又發人深省。所以說，只有爛編劇，沒有爛表演。黃生的演技真是沒得說～            
(3星)	 三大败笔：哨牙翠，哨牙翠，还是哨牙翠            
(NA)	 哨牙妹同奸人坚            
(3星)	 明明是个超级大虐片还好意思说是喜剧，编剧你混蛋！            
(NA)	 好难判断好坏啊～～            
(4星)	 中意黃子華            
(5星)	 子華～            
(3星)	 比较无聊            
(5星)	 奸人坚其实是好人坚，片头里那个奸字其实是个好字？            
(5星)	 为什么是叶童            
(3星)	 其实并没有集集都看。。里面的故事现在也想不起了。。奸人坚这个称呼却还能听到            
(4星)	 子华五星~~可惜剧情、女主衬不上            
(4星)	 有黄子华的一部都不能错过，每集开头还有奸人语录~            
(4星)	 经典            
(4星)	 剧情实在无法让人满意，可是子华的奸人坚，我觉得还是值得一看的            
(4星)	 我的栋笃笑~我的黄子华~            
(NA)	 一般了，没有绝代商娇好看，不喜欢结局了，可怜的暴牙妹            
(5星)	 何其坚系最令我心痛嘅男人没有之一！            
(4星)	 叶大妈~~~扣一星            
(4星)	 看过,没看完.             
(NA)	 奸得够坚才会够            
(4星)	 这个一般啦            
(5星)	 黄子华的演出还是比较喜欢的。            
(4星)	 其实剧本很苍白完全是阿奸的经典对白和这个角色撑起了这部戏，我子华太无敌了。喜欢阿豹啊，喜欢阿豹和坚哥的感情。原来喜剧之王里的小阿飞就是他。叶童实在看不下去。杨秀惠不错。            
(3星)	 还是有点意思的。            
(4星)	 虎头蛇尾            
(5星)	 黄子华其貌不扬 却才华横溢 但 是有人格魅力的男人他在TVB全球颁奖礼上说 钓鱼岛是中国的！就为他这句话 也要挺他            
(4星)	 后面又回到TVB一貫的套路了。            
(NA)	 黄生自己就值！            
(5星)	 很有意思的电视 黄飞鸿被恶搞了            
(4星)	 看黄子华            
(3星)	 坚持不下来，            
(NA)	 黄子华的戏也不应该错过。。            
(2星)	 去看黄子华的，但是没他以前的好看            
(4星)	 是去年寝室女生购回碟片，然后全寝在第二天没课时便通宵达旦的看。笑场连连，奸人坚的命运也是一波三折，每每我以为这剧本也该就此结束了却又再生转圜。但也不过娱乐，填充了那段时间的猛然多出的空闲，也因为看这部片而记住了那段时间。            
(3星)	 当奸人时春风得意，做回好人只换得一片凄凉。看过后便能理解英文片名《Man don&#39;t cry》的原由。剧情本无太多值得圈点，胜在黄子华只手撑起一部戏。叶童老矣，表演和角色均少见可爱之处。倒是林嘉华的黄飞鸿略有惊喜，虽然形象不济，却也憨态可拘。            
(5星)	 啊啊啊，一见子华，哭断个肠            
(4星)	 到底，谁是奸人？……            
(3星)	 有点失望            
(5星)	 亦忠亦奸            
