http://movie.douban.com/subject/2990072/	天地豪情
(4星)	 怀旧啊怀旧            
(3星)	 CCTV8，不如《创世纪》经典。            
(5星)	 TVB的经典！！！            
(4星)	 好复杂的恩怨情仇            
(5星)	 还是老片好看啊！            
(NA)	 普普通通            
(NA)	 再次重温。。            
(4星)	  回忆了一下 忘得都差不多了~            
(4星)	 看的港剧非常少，有印象的就是这部和创世纪            
(5星)	 实在太萌甘树生与家明这对，可惜没能走到最后。            
(5星)	 那个时代的tvb没人不爱            
(NA)	 隨著世界盃完結，這齣電視劇也播完了，深夜重播，我只看過一集            
(NA)	 粤语教材            
(4星)	 为什么现在TVB再也拍不出这样的片了？            
(5星)	 最近TVB在重播，超经典            
(NA)	 童年记忆中的蔡少芬            
(4星)	 小时候不懂也看 结局是不是死了N多?            
(4星)	 蔡少芬演一个叫Diana的女子，好像还是空姐            
(5星)	 当年的calfen~~~~~            
(4星)	 总体来说,不如天地男儿,可能是因为没有一个主心骨?,张家辉衰的很幽默,罗嘉良渐渐上位,TVB当时想捧陈锦鸿的心意很清楚,最爱ADA的戏是最后死前爆发,超爱郭蔼明!,            
(NA)	 经典长片            
(NA)	 当年因为dl到了里面的插曲，欣喜若狂=v=            
(4星)	 港剧这部看得最全，几乎是从头至尾看的，印象深的就是最后几乎全死了。。。。。编剧真狠心            
(4星)	 小学天天看，看完第一部看第二部，看完第二部看第三部，哎哟= =            
(5星)	 戴安娜            
(5星)	 这部的剧情我也忘了 = =            
(4星)	 宣萱无敌好看            
(3星)	 好老的片,还不如创世纪呢            
(NA)	 经典商战片            
(NA)	 张家辉            
(4星)	 宣萱不错            
(5星)	 那时候觉得张家辉特别帅，虽然是个反派。蔡少芬里面也特别好看。            
(5星)	 我爱蔡少芬            
(5星)	 大头文和apple的故事让我流泪            
(4星)	 很复杂            
(4星)	 我觉得没天地男儿好看，但还是好经典。ADA女王啊            
(NA)	 忘了··            
(4星)	 十一年前看这部剧，只记住了穿黄色空姐制服的蔡少芬甜蜜的笑容。今日再看，却在最后一集diana的惨死而流泪。整部剧最喜欢的就是diana，kelly和大头文，起码他们在个性上比较完整。与其说是kelvin造成整部剧的悲剧，不如说是每个人性格的缺失早就命运的互相拉扯。            
(4星)	 深受TVB影响的开始……            
(5星)	 超喜欢ada 似乎对大片中最后死的那个尤其钟情啊！！！经典的片子            
(4星)	 啊类。。。貌似我最喜欢里面的michael欸~~~最讨厌家雄，超级贰啊……            
(4星)	 张家辉太坏了。            
(4星)	  那个时代的经典            
(5星)	 很喜欢里面的演员            
(4星)	 熬夜看完这部长篇巨制，才发现原来我小时候只看过DIANA死的那集，怪不得我只深深的记住了DIANA这个名字而其他什么都不记得...KELVIN杀DIANA的情节真的shock到我了，不然也不会记这个情节记了十年之久            
(5星)	 60            
(3星)	 罗嘉良还是在天地男儿中更有看头。            
(NA)	 Ada很完美            
(NA)	 没看完            
(NA)	 小时候看电视都是傻哈哈的，看过就忘            
(3星)	 看腻了商战            
(4星)	 这部剧里的Ada确实美，惊艳到了，可惜最喜欢的oo在里面的角色下场太惨，所以没有看完，改天补上            
(4星)	 周海媚绝美。            
(NA)	 好老的戏，只记得看过，不记得讲什么了，哈哈            
(4星)	 我还是喜欢海味            
(NA)	 又是一记忆            
(4星)	 后半段非常紧凑，为甘树生&amp;程嘉鸣这对遗憾            
(NA)	 辣么多年前就这么乱！            
(5星)	 最爱的TVB剧集            
(5星)	 现在让我去看可能不会看，不过当初真得觉得好精彩            
(2星)	 看过最无耻的电视剧，到底你他妈的谁是主角，配角都比那八个主角的戏份多。里面的人都贱格，爱了一个又一个，简直比做都贱格，最讨厌的就是陈锦鸿，简直贱B一个，前面的还好，一到后面简直看了想砸电脑，62集啊，看得人恼火，还经典，香港烂伦理剧，我吐槽吐槽吐槽……            
(5星)	 那时候每天晚上看~岁月一去不复返了~            
(4星)	 早期确实经典哈            
(4星)	 圆满了戚生的天地三部、             
(4星)	 周海媚在里面好美哦！            
(NA)	 《孽海情深》《家族风云》《再诉真情》│ 小学时全班女生都在追的剧&gt;&lt; 印象最深的是Apple和Diana。当时有好友说我像Diana=-=其实只是因为那时喜穿一件紫色的外衣。            
(3星)	 随便说天说地说空虚            
(5星)	 我爱大头文            
(4星)	 黄日华太帅啦！            
(4星)	 还是当年的TVB好看            
(5星)	 小学的时候看的，但是现在依旧记忆清晰啊            
(5星)	 这部剧我少说看了三遍，我妈也是，当时我们这地方台每到周末早上连放五集。。。            
(3星)	 黄日华就是个疯子，张家辉的性格变化不够圆滑，周海媚真是漂亮，蔡少芬演技大赞。但是总的来说，感情戏的纠葛和角色的感情组合配对实在太罗嗦了。            
(3星)	 大头文成长记            
(4星)	 小时候我做作业，娘亲在一边看电视            
(4星)	 忘了 记不得了。。            
(4星)	 家雄曾是我的情意结            
(4星)	 捞家！！！！！            
(5星)	 最爱港剧，木有之一！            
(4星)	 好纠结的剧，总要有那么多误会，中间拖沓的咧，到最后个坏人才死掉。插曲主题曲都好听，4个女主我都喜欢，蔡少芬最出彩，被张家辉碎尸那段太邪门了。            
(5星)	 男女关系忒乱，郭蔼明真是爱啊！人的一生一定不会只有一个真爱，关键还要看时间地点，偏差一点也不行啊            
(4星)	 TVB和罗嘉良的黄金时代。            
(NA)	 = =小时候居然看这么深奥的东西，姐姐妹妹搞不清楚。。            
(4星)	 张家辉演的太TM好了。成就了剧里的角色，却没有拉红他            
(3星)	 剧情好狗血，TVB的编剧特喜欢写最初的一对散了兜兜转转最后又成一对            
(4星)	 早期的TVB经典剧，那是真实感受到了什么是港剧！！！            
(5星)	 当年有线一套播这剧的时候大概是小学五年级。花了几天时间重温了一遍，发现很多情节都和记忆产生了偏差，但基本的好恶还是没改。最心动的是程家雄第一次在教室见到Diana，松隆子的True True响起，如果一切都能停在那一刻该多好。            
(NA)	 跟着老妈一起看的，最后蔡少芬去哪了？            
(NA)	 应该看过，可惜记不太清了。。            
(4星)	 那时的经典呀！            
(5星)	 当年的大制作!!!            
(5星)	 和天地男儿一样好看，只是主角没有张智霖那样的帅到渣的            
(5星)	 当时的港剧怎么就那么好看呢！            
(5星)	 经典咯~            
(4星)	 只想留住前四十集的美好回忆~            
(4星)	 张家辉和罗嘉良比起来，演技还有待提高。            
(3星)	 话说没印象了。。            
(5星)	 戴安娜好棒！周海媚在里面也好媚。            
(4星)	 好怀念。。98年啊，我再干嘛            
(3星)	 没啥印象了            
(NA)	 diana，靓啊靓，张家辉帅，纠结的人物关系，a喜欢B,B暗恋C等等            
(5星)	 猛然间想起来我原来看过这部。张家辉的反派不错            
(NA)	 怀念港剧的时代            
(4星)	 天地豪情真的是天地三部曲中最闹心的一部，全剧的人都有点问题，女主角全死光了，男主角不是贱人就是白痴，看的不是一般的郁闷。不过有个有趣的发现，剧中的蔡少芬和姚莹莹今年都生了宝宝，连吴美衍也是有孕在身，呵呵，真是祝福她们，都是好妈妈~            
(4星)	 量宏~只对张家辉有印象 受不了家雄和孙桦 奇怪了ada为什么总演这样的女人            
(3星)	 时隔久远，不记得剧情的就算不得经典            
(2星)	 编剧的感情线索简直乱成一团麻了，我甚至分不清谁是男女主角。还有好人好到有点可笑的地步，我看到头来真是甘量宏才是最正常的人。            
(3星)	 虽然当年也是认为是好看的 ，但好像又没有特别吸引我的一个点！            
(5星)	 张家辉最后的恶魔状我现在想起来都胆颤。。。。            
(4星)	 还不错的片子。第一部都很好，就是中后期不免有些拖沓。罗嘉良的演技淋漓尽致            
(4星)	 这个智商跟情商都极低的男淫，看到他做的那么多二百五的事，都气不打一出来，想踩死他。            
(4星)	 喜欢罗嘉良  歌曲也很好听            
(5星)	 这里面反派变成张家辉了 不过还是喜欢大头文 出色            
(3星)	 因为海味一度不喜欢郭~~            
(5星)	 天地三部曲里算不好看的，但也只是在天地三部里而已。只爱大头文~            
(4星)	 好梦总是难圆，总会失掉一点，透彻领悟总会是太迟；好梦总是难圆，璀璨的更是苦短，原来等到结局也只有遗憾了            
(5星)	 大头文…            
(4星)	 小时候看的            
(5星)	 好多回忆在里面            
(5星)	 依旧是小时候的经典            
(5星)	 很多人说这部戏感情线索复杂，我却觉得能把一段段多角恋解释的如此合情甚至人物性格的改变都合理编剧功力可见一般。那些TVB最后的黄金时代哟~天地三部曲里，只有天地豪情我是当年引进就看过就喜欢的，去年夏天完整的重温了一遍，由衷的说：“好爽”，原声大碟我也好喜欢，甚至连媚姨我都欣然理解了            
(5星)	 神剧            
(4星)	 刚重温过~早期的TVB作品真的很不错~捞家唱的主题曲哈赞~            
(5星)	 大制作            
(3星)	 被最后那一屋血吓得不敢睡觉= =            
(4星)	 大头文·仍然在痛·            
(4星)	 罗嘉良一开始的形象~很喜欢啊~演技超棒！~            
(5星)	 童年阴影，一墙壁的血啊，DIANA真的死了啊            
(2星)	 编剧腹黑！最纠结最混乱的一部剧！我当初是忍着恶心看完的呀！耗费我多少真气呀！            
(NA)	 那时特爱看！            
(4星)	 郭蔼明笑起来很可爱很少女，大头文不错，实在受不了黄日华的刘海！            
(5星)	 启蒙剧 心头爱            
(4星)	 我总是把这部剧和创世纪搞混            
(4星)	 不错的长篇剧。黄日华、郭蔼明、周海媚、罗嘉良、姚莹莹的五角关系真够纠结。那幕姚莹莹的帽子被吹掉露出因电疗所致的稀疏头发，很让人深刻。如果没记错，专演坏人的戴志伟演那个对蔡少芬有情有义的男人也挺不错的。最后蔡少芬的结局是怎样，是生是死，永远是一个谜。。。            
(5星)	 喜欢里面的张家辉和蔡少芬,为什么呢!他们的目的就是想让自己的生活过的更好而努力着.            
(4星)	 这部才是第一名吧？            
(5星)	 终于从头到尾完完整整地看了一遍，虽然后面有点赶脚，但前面娓娓道来的感情刻画得很细腻，所以后面的大情大性也并不觉得十分突兀。            
(5星)	 大头文            
(4星)	 经典 里面最喜欢APPLE  没见过这么痴情的好女孩            
(5星)	 只记得很长很长很长            
(NA)	 其实也没有看完。。            
(4星)	 当年看得很起劲儿            
(5星)	 我很喜欢大头文的记得原来看的时候 还有喜欢看他和嘉鸣在一起              
(4星)	 就记得蔡少芬死的很惨...            
(5星)	 告诉过自己不要投入太多感情 结果在极理智的前提下得出的结论就是有日子就好好过吧 别什么事都等到死才原谅 如果当年看 我想我会哭出来的 为慧慧 为Kelly 为Diana 为家雄......            
(NA)	 大悲剧            
(5星)	 当年在ccav8，带我进入tvb世界            
(5星)	 重温10年前的经典，非常精彩好看            
(5星)	 这种经典剧怎么可以不看！！！~~~            
(3星)	 Ada蔡少芬记忆中挥之不去了~~            
(4星)	 大头蚊            
(5星)	 我很爱这部。黄日华在里面很有魅力。永远记得蔡少芬死的时候，满屋鲜血的惨境。。。。            
(5星)	 经典，大爱的剧            
(4星)	 捞家 华哥            
(4星)	 因为这部戏 爱上了罗嘉良            
(5星)	 这部给满分了。。。大头文            
(3星)	 看的不多，不记得了。            
(3星)	 当年很迷恋            
(4星)	 永远不会忘记的甘亮宏            
(4星)	 相当不错！家辉我看好你！为嘛黄日华和周海媚就是不能在一起！多少年了。。。姚莹莹为什么就是冲不到一线啊，惋惜！。。。张兆辉在里面太荡气回肠了！            
(5星)	 就是爱宣萱            
(3星)	 如果没有罗嘉良，我也懒得看此剧            
(NA)	 想捧张家辉不太给力，不理罗嘉良、黄日华够闪            
(4星)	 初识蔡少芬            
(4星)	 罗嘉良好胖啊            
(3星)	 应该看过的。            
(4星)	 1大部分篇幅太平淡。2不是甘量宏有多厉害，而是甘家其他人，以及程家人太傻比。            
(4星)	 这样的故事现在的编剧已经写不出来了。            
(5星)	 必看的tvb家族大戏之一，郭蔼明是核心人物，男人都围着她转的，捞家开始大露光芒了哦！张家辉演的坏人很经典，他也挺可悲的，是谁经受他的那种巨变谁都会变坏吧~~            
(3星)	 剧情忘了，记得张家辉杀人那段..            
(5星)	 这才叫做大片！！            
(5星)	 年代太久远了，讲什么故事都忘了            
(4星)	 我净系记得家辉哥喺入边做衰人…… 同时，其实我真系唔系咁like陈锦鸿嗰look，唔知点解            
(4星)	 经典港片。。同类影票中最喜欢的一部了。。张家辉那个家伙坏的让人痒痒。。其他演员都很赞。。呵呵喜欢。。            
(4星)	 张家辉啊！！！            
(3星)	 不知道多少年前看的了。不过好像一直记得 DIANA  KELFEN这两个英文名，没记错的话 就是这个吧。当年和爸爸妈妈一起看的。顺带说一句 一直很喜欢TVB啊。不过 比起这种类型的我还是更喜欢TVB的推理查案那种。            
(5星)	 Apple对于大头文的爱情是我心上的一道疤            
(5星)	 因为这部戏，Ada成了我心中永远的女主角            
(4星)	 还记得萱萱的短发；还记得大结局是在除夕夜播的；还记得最可恶的不是张家辉而是他妈！            
(4星)	 蔡少芬最后死得很惨。。。            
(4星)	 大片大片！            
(4星)	 Diana呀··· 泪            
(5星)	 捞家            
(3星)	 这种剧太长了。。。以至于我总记不清结局看没看。。。            
(5星)	 最擅长演绎小人物变身大佬史和豪门恩怨纠结狗血的香港电视连续剧。            
(5星)	 從小一直看到大...來來回回看過很多次...            
(4星)	 小时候很喜欢看创世纪...原来以前还有一部叫天地豪情的...最近无线深夜又开始播放...如果一个人知道自己蠢...甘蠢极都有限...如果一个人知道自己聪明...甘醒极都有限...            
(5星)	 和爹妈一起看的            
(NA)	 爸妈好迷它，我也陷进去了            
(4星)	 老片好看            
(NA)	 这是我曾以的最爱。。            
(4星)	 是戚其义的剧就一定有保证！            
(5星)	 我至今记得最后一集，吊车打开，许多根钢筋把男主砸在下面，我以为他死了，转个镜头，他躺在医院的床上，残酷的笑着对发疯了的寻找被他藏起的女主的人说，我死也不会告诉你她在哪的。已经忘了剧情，但是张家辉那么绝望的笑容，我至今还记得。他爱她的。            
(5星)	 经典呀~TVB的黄金戏呀~~            
(4星)	 痞气大头文            
(NA)	 那段时间貌似在考试，可常常在门缝里偷看。这部大戏印象超深。            
(4星)	 在创世纪之前，当时觉得这个是TVB的高峰了。            
(5星)	 现在看来，仍是大爱！            
(4星)	 央视上断断续续的看，港片最擅长商战和黑社会。一个超长的剧集，但不觉得闷            
(4星)	 ！！！            
(5星)	 张家辉的坏人演的好好            
(4星)	 模糊了            
(4星)	 怀念那个tvb最好的年代            
(4星)	 当时好喜欢陈锦鸿！            
(3星)	 那时候张家辉演技也不咋样，不过很像个没内涵的反派            
(4星)	 这部戏真正喜欢上蔡少芬            
(3星)	 MANDY去了，就不想看了，            
(4星)	 天地豪情三步曲也是个TVB大制作 我居然在初三中考前夕把它当成了自己的精神支柱至今还是怀疑编剧的脑子啊是坏了 TMD董若妍KELLY这么个好角色居然就这么不明不白的被杀了 而且唯一可以说是和她有火花的男人程家雄(陈锦鸿)自始至终都不在乎她 想的都是另外一个女人 气啊气             
(4星)	 当年央视8套，率先引进的一部港剧！            
(5星)	 經典中的經典！            
(5星)	 Ada闪亮啊！张家辉也出彩了。            
(5星)	 原来我是喜欢郭蔼明的，从大时代开始            
(4星)	 大制作＋豪门恩怨！            
(5星)	 天地男儿之后看过的第二套tvb长剧            
(4星)	 看完创世纪，就不记得这部了            
(5星)	 萌！萌！萌！            
(4星)	 不錯。喜歡姚瑩瑩演的apple還有林曉峰的卓尚武還有搞笑的陳彥行，還有我最愛的美珩姐姐，哈哈哈            
(3星)	 基本忘光            
(5星)	 家辉哥哥的翻身之作啊~坏得很帅的甘宏亮            
(5星)	 经典的又来了，觉得蔡少芬的表演可圈可点啊，记得好像是叫diana            
(4星)	 记得放结局是时候是春节期间在奶奶家，奶奶家木有电视于是和妈咪连夜脚踏车肥家北风那个呼呼吹。。。            
(5星)	 后面简直就是恐怖片            
(5星)	 至今记得那个整个房间都是血的镜头            
(4星)	 张家辉翻身的惊艳之作，难得看到他变得这么坏            
(4星)	 孙华，太好了演的            
(5星)	 罗嘉良演什么都好！！            
(4星)	 谁也不愿意失去得到的一切。            
(5星)	 很好看,,            
(5星)	 最爱，并且怀念。            
(NA)	 啊啊啊，我真的就只记得个名字！算了补一个四年级脑残流行语，估计来自奖门人节目的启发TVB个B啊，B仔个仔啊，仔女个女啊，女仔个仔啊，仔女个女啊……            
(4星)	 大爱apple            
(4星)	 还是不错的剧用好人的傻来衬托出坏人或者这个世界坏人能够成长就是因为好人的愚昧不过陈锦鸿的演技很赞，而且长的非常清秀            
(5星)	 天地男儿之后创世纪之前的经典~~~喜欢张家辉~~~            
(NA)	 最喜欢罗嘉良和郭蔼明的搭档            
(4星)	 以前看地            
(4星)	 那年我苏了张家辉            
(3星)	 久远得我都不记得那些角色的命运了~最后Diana竟然死得这么狗血，什么卖身救夫都搞出来就算了~为什么导演没有安排她直接把盘偷出来走人哪~而是搞啊搞得被人发现然后给咔嚓了            
(4星)	 其实我已经忘记讲什么了            
(NA)	 罗大叔            
(4星)	 那时少年各种剧~~~             
(4星)	 痞子罗嘉良 也可以成英雄            
(3星)	 说实话这个剧不是很连贯，剧情安排很敷衍            
(4星)	 天地三部曲，这才是TVB家族戏最好的时候。            
(4星)	 张家辉的坏人，演的出神入化啊！            
(4星)	 这部应该叫天地女儿            
(4星)	 当年看的时候，很喜欢周海媚和黄日华。。一直很忿忿为什么树生不喜欢嘉慧要喜欢嘉鸣......最后嘉慧和孩子车祸死的时候伤心死了.....            
(4星)	 确实经典，张家辉的表现可圈可点            
(3星)	 很早的时候看的            
(NA)	 爱死            
(5星)	 年度力作            
(5星)	 这个片的结局也惨了点吧！张家辉演技真赞！不是一般的坏啊！            
(4星)	 恩 小时候看完哭的稀里哗啦 还记得蔡少芬演的Diana被张家辉杀掉的时候满墙的鲜血             
(3星)	 结局挺悲的            
(5星)	 张家辉真的是。。。            
(5星)	 10!!!!!            
(3星)	 初中的时候看的，最近为了锻炼粤语听力所以温习了一下...忽然觉得编剧也够狠的，写死了好多无辜的人......            
(4星)	 张家辉里面很坏的            
(4星)	 實在係好睇過死唔斷氣的《天地男兒》太多了…apple死時喊到我死…之後甘量宏說「家咩姐啫…我姓甘架嘛」和diana死時的一boom牆係血都讓我記憶猶新…            
(NA)	 8.5分，对我影响比较大的电视剧.            
(5星)	 看过的人有谁不记得蔡少芬的死？            
(5星)	 最爱大头文！！Kelvin就是个老贱人！！家雄就是个大SB！！            
(5星)	 TVB经典巨作。我喜欢郭蔼明～～～            
(5星)	 超级超级好看的一部剧，张家辉和蔡少芬演的超好，当然还有罗嘉良！！！！            
(5星)	 很久之前的剧了……但是阵容之大……目前好像还没有被超越……            
(NA)	 孩童时代的经典，类似70年代人的《上海滩》            
(3星)	 TVB长剧必然是要将所有男女主角两两配对一番...            
(NA)	 妈的，心中TVB永远的经典            
(4星)	 很久以前看的，那时候开始很喜欢ada            
(4星)	 Ada            
(5星)	 经典阿            
(5星)	 好难忘的一部港剧 最爱ADA！            
(NA)	 天地系列第二部            
(4星)	 经典的。            
(5星)	 好想再看一遍哦！！            
(5星)	 我最爱的一部家族大剧~~            
(4星)	 还是也是一部TBV台庆剧吧，演员阵容也蛮大的。剧情也不错，值得看。            
(5星)	 罗嘉良在我心中形象高大起来了！            
(NA)	 呵呵            
