http://movie.douban.com/subject/2153599/	欲望都市  第二季 Sex and the City Season 2
(5星)	 「Maybe some women aren&#39;t meant to be tamed,maybe they need to run free until they find someone, just as wild to run with...」 现在看这个和看老友记一样简直就是补作业，但无论怎样都足够经典。总觉得这是可预见的自己，嗯哼，You never get it.            
(NA)	 喜欢这季最后一幕            
(3星)	 我想是我看的风行版本有问题，看得不连接。            
(5星)	 your girl is lovely,Hubble.            
(NA)	 故事虽好 人却已老            
(5星)	 喜欢她们没道理            
(3星)	 为什么那么小的曼哈顿能容的下我们的所有前男友            
(4星)	 ＠咖啡杯会跳舞 我从你硬盘里拷走的第一季居然要登陆itunes才能看TAT EP13调情调错层真是个百用不衰的桥段，应该搞一副扭扭乐棋来玩。EP14主角和john最开始的关系才是积极健康的好吗为什么要改变！！！            
(5星)	 我必须得说 我的大学时代就是在这剧的陪伴下度过的             
(4星)	 Mr.Big好charming....            
(3星)	 carrie越来越更年期了……            
(5星)	 永远爱你们。老友们。            
(NA)	 好絕望            
(4星)	 继续学习中。。。            
(5星)	 最后一集最棒。            
(5星)	 samantha V5. 这是哥第一次说V5二字。            
(5星)	 这一季的故事太贴近我生活了，特别是我最不喜欢的凯莉。。。。            
(4星)	 你们从来都是放得开的人儿，Mr·Big和凯瑞真让人心痛啊            
(NA)	 这剧和老友记的女主SJP和JA真的都不讨我喜欢………            
(5星)	 它会一直很当代            
(NA)	 oh~~最後一集真是~~            
(5星)	 女人总是在故作潇洒，发现想绑住对方却无奈捆死自己的尴尬时已无法轻松抽身。Mr.Big这季真是让人揣摩不透。            
(5星)	 感情其实就这回事了。            
(5星)	 莎曼萨去救火站时从钢管上滑下来的样子可爱死了.全世界最强大的莎曼萨...            
(3星)	 有点疲了            
(4星)	 &#34;in the world, everyone is dying to make connections. And can a relationship bring you back to life?&#34;   seems interesting...            
(4星)	 女生谈恋爱前必看之爱情教育片            
(4星)	 性教育启蒙            
(5星)	 看到第二季 雖然依舊充斥著性愛 卻開始變得有深度了            
(5星)	 喜欢就是喜欢，需要什么理由哦！            
(5星)	 剧情的张力明显大过第一季，四位欲女带给我们所思考的，也已经远远超出了纽约那快餐式的爱情。            
(5星)	 这属于没有理智的喜欢            
(NA)	 温故知新~            
(5星)	 2006年            
(5星)	 Maybe some women aren&#39;t meant to be tamed. Maybe they need to run free until they find someone......just as wild to run with.             
(4星)	 0804诶呦呦，有俺家的Noah Mills里面漏臀演出哦~虽然很像风光旅游宣传片，但是比第一集也好看太多了吧！            
(4星)	 第二季比第一季好点，但我还是打算弃剧。            
(5星)	 越来越喜欢Samantha~以及，我只能沉浮在这种中年欲女类型的剧集里并渐渐变成中年欲男么？            
(5星)	 没有完美的男人            
(4星)	 她们都开始转型了。连samantha都说，i miss james.            
(5星)	 最近在重温SATC，每季都给5星绝不手软            
(NA)	 大学时代女生们的最爱            
(NA)	 渐入佳境            
(5星)	 we are single and fabulous!!!            
(5星)	 美剧中的第一，永远都不会过时。4个女人的那些衣服，carrie的那些鞋和包看到现在都依然是经典；现实的剧情和犀利的台词更成为了前世界所有女人的恋爱教科书，女人要的一切都能在这里找到。片面地说，如果你作为一个女人而不喜欢这部剧，我有足够的理由怀疑你到底是不是个真正的女人。            
(5星)	 驯化即婚姻。            
(NA)	 其实是去年看的。。。            
(5星)	 咋觉更好看了~又搞笑又感人。和最后的match.            
(NA)	 结语的意义非常重大 几乎让我如梦方醒            
(5星)	 跟着她们一起成长            
(5星)	 听到开头熟悉的开场就已经开始想念这四个女人。全电影院上百人只有两个男的还难保不是gay。这真是女人死忠的爱~            
(4星)	 喜欢时尚商业片的推荐去看            
(5星)	 看来莱昂在好莱坞和社交场真的很有影响力啊，连SATC里都会这么直白的赞我们的莱昂~~            
(5星)	 四个女人一场戏。            
(5星)	 i love it. 看了不知道几遍了            
(4星)	 很喜欢最后，女主角对big说，your wife is beautiful.然后潇洒的走。其实看了两季，觉得smansa最有个性，最反传统，然后那些男人们，比较喜欢史蒂夫，可能因为他比较痴情。big，诶，其实我也跟女主角一样，不过爱上这样的暧昧的男人比较辛苦。            
(NA)	 背景音。            
(4星)	 依然受不了女主！            
(5星)	 的确很多话题至今都觉得很前卫～～            
(4星)	 介不是当年那启蒙篇咩？            
(5星)	 多少年，这四个精彩的女人            
(5星)	 重温中            
(NA)	 Your girl is lovely,Hubbell            
(5星)	 好看！            
(5星)	 如果我在看过&lt;SEX &amp; THE CITY&gt;后遇到你。            
(5星)	 越看越无法自拔。            
(5星)	 女人 先关心自己~            
(5星)	 爱死女主角了 有一点像莫文蔚            
(5星)	 宝典啊宝典。。            
(4星)	 四个女人一台戏            
(3星)	 Oh Aden~            
(4星)	 凯莉终于明白,不是她无法驯服BIG 而是自己无法被驯服......            
(5星)	 Maybe some women aren&#39;t meant to be tamed.Maybe they need to run free until they find someone just as wild to run with.            
(5星)	 跟阿心没事儿在家里看。笑点多多。            
(5星)	 本来只想给4星，第五颗星给最后两集=.=            
(5星)	 从第二季才开始喜欢这片子和里面人物性格。            
(5星)	 这个就不用说啦，最爱~~            
(5星)	 ps: ep18            
(NA)	 相当的不错            
(4星)	 是真挺好看。            
(5星)	 The simple gril and the Katie gril .            
(5星)	 始祖            
(4星)	 经典。            
(5星)	 最后一集里关于the way we were的讨论，真的是全剧经典了吧。我不了解男人，纵使是Carrie这样的所谓两性专家，终究还是不了解她的Mr Big这是又一种意义上的人人平等            
(3星)	 那时没feel到            
(5星)	 除了sasa那仨嗓子怎么都哑了呢            
(5星)	 keep up~            
(5星)	 我慢慢进入了她们的世界。在第二遍和第三遍的时候，每当看到蓝色的月亮那一段的时候，我的心柔软的简直无法形容，于是后来我对史蒂夫和米兰达之间的关系也欣赏并且羡慕不已。            
(NA)	 爱啦            
(5星)	 还有什么好说呢。            
(5星)	 经典 我喜欢凯莉。            
(5星)	 I miss them so much            
(4星)	 最后一集最后部分的那段话太精辟了~            
(3星)	 來來去都系咁&gt;.悶..其實我不喜歡carrie            
(4星)	 睡。            
(4星)	 值得看            
(5星)	 第二遍            
(3星)	 剧情都还不错，就是主角都老了。。。。            
(5星)	 全世界的女人都缺爱~~~            
(5星)	 慢慢接受了            
(5星)	 简单型的女人就幸福吗？            
(5星)	 我向往这样的生活            
(5星)	 just me            
(NA)	 最爱            
(NA)	 当我看到最后一集，心碎啊！他订婚了，而那个人不是她            
(5星)	 无论身边的人来来去去 我知道你们总在这里 不变的感情 四人一起往前走            
(3星)	 一季接一季……            
(5星)	 超喜欢的一部。            
(5星)	 第二部真真好看，美剧一向定律            
(5星)	 一如既往地支持            
(5星)	 嘿嘿            
(1星)	 除了说曼哈顿就是性,天天抱怨没有好男人,好男人出现了却又不珍惜.老了没人要也活该            
(NA)	 最喜歡第十一集。            
(4星)	 台词真妙            
(NA)	 you can never gei though without your friends            
(NA)	 2            
(NA)	 最近都在谈最新版的欲望都市，想起我之前N个season还没有看完。不由得汗……            
(5星)	 永远的精神食粮            
(5星)	 sex,sex.sex            
(NA)	 关于爱情 即使是播放十年之后的自己看 也感觉明白不少道理            
(5星)	 喜欢Carrie的房间，连着卫生间的衣帽间，对着窗外的写字台... 喜欢Carrie的纽约客时尚衣着...            
(5星)	 “Your girl is lovely, Hubbell.”            
(4星)	 Your girl is lovely,Herber. Carrie 和Big之间的感情戏，心理素质一般的最好不要去handle.            
(5星)	 这一部特别好 尤其好 最后结局太美了都不想往下看了- -            
(5星)	 最爱的美剧之一~~~影片中充斥着各种华丽的诱惑~~~            
(4星)	 最后很给力            
(4星)	 大爱carrie~~            
(5星)	 沉迷韩剧的小女生应该看这个            
(5星)	 她们1999就看起来好fashion啊            
(4星)	None
(5星)	 改名叫【買鞋子順便找男朋友】吧。            
(5星)	 第二季也很不错 ～时不时穿插出他们遇见的怪卡            
(5星)	 “或许我从未驯服过他，是因为他从未驯服过我，而有些女性，注定不是被驯服的。”            
(4星)	 恋情痛苦的根源在于错爱。            
(3星)	 是不是只要四人组的故事，就一定要选最讨厌的一个当主角？凯莉和绝望主妇的苏珊哪个更烦？            
(4星)	 07年看的            
(5星)	 maybe some women need to run free until they find someone......just as wild to run with.            
(5星)	 Then I had a thought,maybe I didn&#39;t break Big.Maybe the problem was he couldn&#39;t break me.Maybe some women aren&#39;t meant to be tramed.Maybe th            
(4星)	 最后一集，当Carrie捧起Mr.Big的脸说，Your girl is lovely,Hubbell，我差点就真的被感动了。            
(4星)	 那时觉得夏洛特比较可爱            
(4星)	 Men hurt us again and again,but we still expect the true love.            
(4星)	 不如第一季了，看到最后一集，哭到好惨。            
(5星)	 Fantastic!            
(NA)	 太经典            
(5星)	 当年不懂爱情，却因为这剧很理解。            
(3星)	 哎哟那么好的衣服怎么穿在她们身上那么难看            
(4星)	 看到片BIG携幼齿新女友出现那一幕忍不住掉眼泪了 可能每个女生心里都有CARRIE的那一面 有些男人是命中难逃的劫数            
(5星)	 整个这一季弥漫了分手的情绪，最后一集说：我可能从来没有驯服过大人物，也许是他从未驯服我...            
(NA)	 从一开始对Mr.Big的欣赏，到后来畏惧，直到觉得，其实更想要的不过Steve。            
(5星)	 Mr.big!!!            
(5星)	 最后一集看完，难过啊，我也很想质疑Mr.Big，为什么不是Carrie?但也正如她的答案，世界上存在不愿被驯服的男人，也存在不愿被驯服的女人。            
(4星)	 Big is not that into Carrie.            
(4星)	 居然一直没更新这个            
(5星)	 Memories, like the corners of my mind...of the way we were...has time re-written every line...            
(5星)	 喜欢上这我们不好意思提及的欲望            
(5星)	 封面好风尘一点不性感            
(NA)	 喜欢凯莉的知性、米兰达的干练、莎曼珊的自信、夏绿蒂的纯真。            
(5星)	 东西方情感文化还是很不同的，不过男女的细微情感小心思哪里都一样，p.s.:米兰达好可爱~            
(5星)	 HBO出品必属精品            
(5星)	 可爱的四个女人。            
(5星)	 越看越觉得精彩，每一集的主题都很好。很喜欢这四个充满个性的女人。            
(5星)	 她们身上发生的很多事，在中国女人身上是永远不可能发生的。            
(5星)	 最后一集听到big瞬间订婚那场戏太难忘了            
(3星)	 越来越讨厌charlotte！！！            
(4星)	 看到这了 马一下            
(4星)	 感觉并不是像人们形容的那么好            
(5星)	 因为时间的关系，第一季整体的画面有点old，这季看起来就好很多。另：服装越来越好看啦！（流口水）            
(5星)	 由于第一季的成功，第二季也增加到了18集。第二季也相当好看，甚至比第一季更出色。第二季不仅在剧情上而且在人物的饱满度上都增色了不少，而且第二季的服饰都超级美的～～第二季凯莉一直在抽烟，她太爱Mr Big了，而我总感觉Mr Big并不太适合她，如果要在一起的话，两人必须做出让步，期待第三季！！            
(4星)	 Carrie神经又聒噪，Big自私又自大。            
(NA)	 ★★★★★★★★☆            
(5星)	 bye bye big            
(4星)	 3P什么的= = 。吓到我了 by the way,MR BIG真的跟就这样结束了吗            
(5星)	 第二季            
(NA)	 给我一杯四海为家好么？            
(4星)	 26 OCT 2011。里面不断地有启发性颇强的金玉良言 即时你只是半夜离快要睡的时间点半个钟有点无聊找一集看一下 或者是你只是单纯为了马克一部剧集 即使你不记得了K和Big在一起的那么个邂逅 即使你不记得曾经的细节 但是它的确陪着你度过了一些时光。            
(4星)	 没什么 印象了            
(5星)	 依然很好看，经典！            
(5星)	 最后一块看得我心生疼            
(4星)	 最后一集 很深刻            
(3星)	 第二季落入俗套了呀~~~~(&gt;_&lt;)~~~~ ，要不是心软，三分都莫有喽。。。            
(NA)	 都是 大学时代吃饭时的娱乐            
(5星)	 挚爱不解释            
(5星)	 我觉得年轻的莎曼莎必须很美很cool啊。            
(4星)	 我竟然在最后一集找到了共鸣。有些女孩就是不应该被驯服，直到她找到对的人。            
(4星)	 大人物越看越帅T^T。剧情直接影响我的心情。            
(5星)	 啥都不用说，永远的经典！            
(NA)	 = =开始讨厌carrie和big            
(3星)	 最后一集是亮点            
(3星)	 凯莉和大人物真是太作了！最后一集提到《往日情怀》            
(5星)	 Your Girl Is Pretty，悲催的Carrie            
(5星)	 最后的镜头很美。有些女人就是无法被驾驭的。            
(4星)	 SJP马脸2……            
(5星)	 依旧喜欢            
(5星)	 我记得谁陪我看的             
(5星)	 有一些女人注定永远不该被驾驭。            
(5星)	 读书的时候纯情，看了一点点然后觉得实在是太黄了。。。。            
(5星)	 六季还都是从大学同学那儿倒过来的呢，看完了一直存在硬盘里，时不时就翻翻，结果男友为了他的狗屁游戏没问我意见直接给删了，为此大吵一架！            
(4星)	 冲最后一集多给一星~            
(5星)	 我努力把我与你的共同喜好提高            
(5星)	 制作开始提高了，更多大牌赞助。            
(4星)	 MR BIG你怎么能这样！            
(5星)	 Maybe some women are not to be tamed. Maybe they need to run free until they find someone just as wild to run with.            
(4星)	 Your girl is lovely,Herber.想看“The Way We Were”这部电影了。            
(5星)	
(NA)	 我一直觉得这季很甜蜜。Your girl is lovely.            
(5星)	 看到BIG跟那个25岁的女人订婚了，心疼了            
(5星)	 第二季渐渐走深 探讨爱多过性。。。镜头也不以吸引眼球为主。。。不得不说其实女性剧还是很容易引我上钩滴。。。            
(5星)	 挚爱            
(NA)	 越来越无法忍受Carrie, 无理取闹又没有主见。。。典型drama queen            
(4星)	 mr。Big真的很绅士~which is 中国男人所或缺的部分。            
(5星)	 需要温故而知新。            
(5星)	 除去Jessica Parker的歇斯底里，最后一集很喜欢——Your girl is lovely,  Herber.             
(5星)	 心头大爱            
(3星)	 EX and the city            
(4星)	 很反感Carrie有时候故作小女人的德行……//史蒂夫还不错~//泛滥的接吻镜头看得想吐~            
(4星)	 我不太相信命运，但生命中偏偏就是有些人会在某个转角离开，走进别人的命运。偏偏就是有些人留不住也唤不回，又偏偏上瘾地喜欢着这些人。            
(5星)	 your girl is pretty            
(5星)	 真正有在讲女性和爱情的故事            
(NA)	 18集            
(3星)	 Sarah Jessica Parker越看越丑啊…… Mr. Big 像乔治·克鲁尼！            
(4星)	 这一季看的开心            
(4星)	 变长了            
(5星)	 女人们越来越明白的一季！            
(5星)	 凯莉爱得好认真,好投入....            
(4星)	 什么样的极品男都有……            
(5星)	 大一看过一遍 完全不懂 完全忘掉 大三再来一遍 感觉入门了            
(5星)	 比第一季成熟多了，好几集给人的印象深刻，Carrie也终于让我渐渐体会到了什么叫“大部分女人其实都是自己所讨厌的Carrie”。其实主要还是最后一集的Mr. Big太伤感了，赚了我少少眼泪，怒而五星。            
(5星)	 The world is made of two types of women.I&#39;m the &#34;Simple&#34;girl outside and the &#34;Katie&#34;girl inside, don&#39;t wanna be tamed. EP18 is really good.             
(NA)	 多看看吧，好多东西我没经历过，也没想过，对小女孩来说，催熟用的剧            
(5星)	 跌跌撞撞的走啊走  看到最后一集EX and the city里meranda跟Steve重逢的那幕我居然哭了啊            
(5星)	 格调我的爱            
(5星)	 之前没看完的，继续            
(5星)	 越来越好看了。“your girl&#39;s lovely.”            
(5星)	 虽然很多人不喜欢杰西卡•帕克的大长脸，我还是认为这是能排上我个人最爱美剧前三的~~~每年夏天都会翻出来重温一次。女人，要多爱自己！            
(5星)	 you just have to watch ths S2 after S1 我越来越喜欢这四个女人            
(4星)	 有一些女人注定不能被驾驭，four single women&#39;s story in NY.            
(4星)	 大多数情况下，仍然是延续上一季……几句投机就上床，一语不合就拜拜——呵，纽约的单身男女生活倒和G圈挺像的。不过，有几集又的确让我想了很多，尤其是最后一集，那句“why her?”是我一直在问自己的问题……可是，如果那个答案是正解，我又该做些什么？            
(4星)	 我们之间应该没有秘密            
(4星)	 四个女人  继续他们的狂野              
(5星)	 最后一集太棒了。好吧，也许是这部剧我才想那么多。可是当三个女人唱起【往日情怀】的插曲时我真心难过了。            
(4星)	 还是萨曼莎的性格好            
(4星)	 女人吧，遇上所谓的真爱，都一样            
(5星)	 Ur girl is lovely,Hubbell            
(5星)	 有些女人天生不能被驾驭，所以她需要的是有个人能陪她一路同行。wild as she is。            
(4星)	 每一集的主題都很特別，相比起了性，四人間的友誼更值得一看，蠻羨慕她們間的默契。            
(5星)	 不选择你，是那个男人的损失，我也是这么想的。            
(5星)	 同上            
(4星)	 这一季的凯莉都还很独立。            
(5星)	 Carrie:do you believe love for the first sight?the Big: I don&#39;t,I believe lust for the first sight.“你相信一见钟情么？”“不，我相信一见起色心。”shrink=心理医生            
(4星)	 哎呦外。。。            
(5星)	 简直就是字字珠玑啊。            
(NA)	 喜欢瑟曼萨。            
(3星)	 戳不中笑点是因为只有英文字幕木有中文字幕的关系吗？还是我太纯洁了？两难选择啊，前者是对我英语水平的讽刺，后者是对我智商的讽刺。            
(5星)	 紧接着也温故了            
(5星)	 第二季的最后一集，CARRIE穿着白色连衣裙，在酒店外遇见刚举行完订婚PARTY的MR BIG。            
(5星)	 这些人老参加party，那么晚睡觉就不怕加速衰老吗？            
(4星)	 Maybe I never brake anyone, maybe the problem is they couldn&#39;t brake me. Some women aren&#39;t mean to be taken. They need to run free, until they find someone, just this while, to run with...            
(4星)	 越来越欣赏萨曼莎。            
(5星)	 不错 值得一看            
(NA)	 看第二遍才看清楚Miranda和Steve的爱情，两个差距很大的人可以走到一起，不容易，值得珍惜。            
(NA)	 最不喜欢女主            
(4星)	 看四位文艺范儿大妈风起云涌的恋爱革命...            
(5星)	 能说什么呢,女人必看的经典,!!            
(5星)	 全世界的男人都围着凯利转            
(5星)	 这个不用多说~~必须经典~~~            
(4星)	 即使那是10年前的片子。放到中国，还是有很多女人难以在朋友面前讨论性话题~~            
(5星)	 无字幕，更happy！！            
(3星)	 ex and the cityand the beautiful smoker            
(5星)	 This is sex, this is woman            
(5星)	 经典不解释            
(4星)	 在追逐真爱的过程中她们曾迷茫过，伤心过她们曾一度不相信有真爱，有完美的婚姻她们对身边的男人失去信心在纽约那样繁华时尚的都市中，最终找到了她们的幸福也许它再告诉我们寻求真爱的道路很漫长，需要勇气在这样物质的社会中 找到那份属于自己的幸福  才是最重要的            
(5星)	 最爱的美剧，没有之一。            
(5星)	 看女人和男人们            
(4星)	 依旧很吸引我。而同样，这次的结束也是凯莉和MR BIG的结束，不知道下季的开始是否也继续是他们的开始呢……我想，是吧            
(5星)	 很好看            
(4星)	 撇开sex有很多不错的道理            
(4星)	 &#34;只是靠着读济茨的诗歌和灰姑娘童话度过青春期女人来说，有一种倾向，就是把任何一个第一个走进她生活的男人当作王子，即使他是头猪。 &#34;            
(4星)	 太早前看的了~~~~都忘了是什么内容。。。只记得对当时刚上大学的我，是个不小的冲击~~哈哈            
(4星)	 看看还行            
(5星)	 大爱！！！            
(4星)	 三年前辗转反侧花了三四个月看完，大概吧，看这剧的过程很是坎坷~            
(5星)	 OMG   他的精液还喷到了米兰达的头上             
(2星)	 导演lost的了            
(5星)	 还是很喜欢Mr.Big。不过为什么他不敢给和他交往2年的女朋友一个承诺，却选择和一个只交往5个月的女人订婚，我搞不懂，况且他又不是不喜欢Carrie。            
(5星)	 看过            
(5星)	 Your girl is lovely,Hubbell            
(5星)	 还是一如既往地喜欢瑟曼莎啊！            
(4星)	 最开始先喜欢男人婆              
(5星)	 超喜欢第二季最后一集！the way we were!            
(5星)	 一如既往的好看。            
(5星)	 S&amp;C            
(3星)	 到底要什么样的男人？            
(5星)	 Your girl is lovely,Hubbell.              
(5星)	 从这季开始转型为爱情多的了            
(4星)	 sarah还是难看了点吧            
(5星)	 Martini Martini...            
(4星)	 大三。            
(5星)	 very good            
(NA)	 第2季是我的最爱。尤其是最后一集！！！            
(1星)	 一星给唯一亮点：Miranda和Steve的true love恋爱旅程            
(5星)	 没有理由，已经在看第4遍了。。。            
(2星)	 不好看不好看不好看            
(5星)	 四个人还是老样子，但是第二季567给我乐够呛。到底谁爱谁，谁是谁的谁？算了，生活节奏那么快，风景那么多，走一步算一步，赶紧洗洗碎吧。            
(5星)	 年轻时候看的东西，好不好都是五星。。。最爱这一季的结尾音乐想起来时的感觉            
(4星)	 喜欢艾邓            
(NA)	 我严格意义上的第一部美剧，是你带我走入了美剧的神奇殿堂。我高中的电脑就是因为要BT你，硬盘才崩溃的。后来花20块买的盗版DVD早已离奇失踪，但是我依旧那么爱你！            
(3星)	 越来越扯了。            
(4星)	 这一季的结尾时比较喜欢的            
(4星)	 直到看到第七版&lt;心理学&gt;把她们当作一个典型案例，才让我明白这个剧集有多么成功            
(5星)	 恐怕每个人都能在里面找到自己的影子，我是真的在kerry身上，看到了自己。。            
(4星)	 挺乐儿的，也让人想想问题。            
(4星)	 有点喜欢上了~ 我果然要一季的适应期啊~ 其实我蛮喜欢Carrie的~            
(5星)	 No matter who broke your heart, or how long it takes to heal, you&#39;ll never get through it without your friends.            
(4星)	 喜欢MR。Big            
(4星)	 欲教于乐~~            
(5星)	 经典            
(5星)	 FASHION多了。。最后一集好喜欢。。大悟啊！            
(5星)	 只有samantha解释了sex，其他仨解释的是city            
(3星)	 Mr. big            
(5星)	 想像她们一样过活            
(5星)	 随时随地都可以回归的剧            
(4星)	 看不下去了            
(5星)	 现代的独立女性思想、美丽而性感的都市生活风貌、地道的美式口语，爱它没商量！            
(5星)	  WHY IS NOT ME !??            
(4星)	 还是不喜欢Sarah Jessica Parker.            
(5星)	 各种应该爱上却总不会爱上的男人，不该爱上却总会爱上的男人。            
(4星)	 爱情真的是一门很复杂的学问            
(4星)	 基本断定自己是喜欢carrie的，同时崇拜萨曼莎。            
(5星)	 各种喜欢Miranda。            
(4星)	 持续解读每一个小故事，不错，有些其实挺值得思考的            
(4星)	 时尚其实就是一种生活态度            
(3星)	 剧情越来越像，太拖沓，大人物为毛和凯利这么纠结。无语。以后的不看了。            
(NA)	 4            
(5星)	 好吧 是你勾引我的            
(5星)	 很爱carrie，这一季的最后一集是我最喜欢的。            
(4星)	 我真心不喜欢Mr.Big            
(3星)	 纵欲都市            
(5星)	 我居然哭了            
