http://movie.douban.com/subject/6393340/	当婆婆遇上妈
(NA)	 我看绝大多数发表评论的都是女人，都对婆婆意见很大，但作为一个男人来说，我觉得，其实，婆婆没有什么错，如果非要说有错，那也是太溺爱儿子了。我要是陈大可，我宁愿娶了朱燕，我也不会去娶罗佳这样的花瓶一样的女人。陈大可家对于孩子的教育有问题，而罗佳家对于孩子的教育是问题很大，一个女人，准            
(4星)	 一对明星夫妻的假生活？真心觉得遇到这种变态的绝种婆婆和嫂子彻底悲剧了。其实名字应该是媳妇遇上婆婆吧，妈妈几乎没什么大的戏吧好像。男二是个美好的存在，小三女其实长得很干净呀，后面就成变态了。好吧，这个结局我还是比较满意的，虽然是悲剧吧，但是婆婆疯了，很好            
(2星)	 情节弱爆了，坐过山车似地，每一个角色都是精分的逻辑。国庆陪麻麻看的            
(3星)	 我要是嫁了这么个老公 我也是活到头了。。。。            
(3星)	 结过婚不能和公婆住，这是万年不变的真理！有小姑的婚姻不能沾啊！            
(1星)	 整个剧情：宝贝，我是真心爱你的；妈，我们是真心相爱的；宝贝我会一辈子对你好的；宝贝！！！！我鸡皮疙瘩一地啊            
(NA)	 我靠 竟然是色戒的ost我靠            
(3星)	 姐姐说话时的嘴唇和脖子真有骂街泼妇风范            
(1星)	 啥也不说了，戏剧要素之一主人公性格可爱都没做到……            
(3星)	 多么变态的编剧才能写出这种狗血的剧本啊！！！2天看完。。累死老子了。。            
(4星)	 编辑把这一切编的登峰造极很极品，看得人气到吐血。            
(3星)	 陈大可这种一遇事就跑的男人整个一傻逼啊，这种奶娃般的男人身后必有一个从头管到脚作天作地的妈，看这电视剧的很大收获就是找个好男人固然重要，一个通情达理不一味护牍的婆婆更是重要！            
(NA)	 一路狗血到底，各种变态有病            
(3星)	 我妈看的sb电视剧，潘虹的表演那是可圈可点，李小璐比早期那不是好了一点了，编剧死往狗血里去，导致我听见那电视剧的声音都想吐，总体来说是成功了            
(NA)	 老娘没事儿看我就跟着看，断断续续今儿看完了。一共30集我大概也就看了不到10集，而且每集男主角都在哭。。。起了这么事儿逼的名字竟然是如此苦逼的剧情，什么情况。。。            
(NA)	 前两集还挺有意思的后来越看越揪心，怎么挺好挺大方的一婆婆净干些拆散儿子和媳妇的事情，还教唆已婚的儿子勾搭官家闺女以及勾搭第三者只为了抱孙子...不要折腾半天，还是这个媳妇最好了而且最后还给生了个孙子，李小璐演挺好的。当媳妇就要经得起谎言，受得起敷衍，忍得住眼泪，放得下诺言            
(1星)	 难得看部国产 虽说电视剧归电视剧不能当现实看 但也五十步笑百步了吧 此剧影响我的恋爱观结婚观 趁大好时光多玩多走别他妈给家庭牵扯了我操什么责任什么价值都完蛋去吧            
(2星)	 角色实在都太脸谱化了，好人好到没原则，坏人坏得无下限。            
(1星)	 一家子极品，不是这几个人演谁看啊            
(2星)	 又是婆媳..有完沒完...            
(4星)	 我看完的感觉就是。。。1、妈妈你要争气啊T________T 2、绝不嫁外地啊。            
(2星)	None
(2星)	 编的很没谱！            
(3星)	 我已经真的沦落到要跟这种剧了么我。。。还有李小璐那容不错是去韩国整的吧。潘虹演得真好看了想抽死丫的，用我娘的说法叫坏得流脓=。=            
(3星)	 李勤勤演的真好            
(2星)	 潘虹演的奇葩婆婆真心演得好，假奶亮演的男主，也是懦弱到屎的人啊，整部剧只有李勤勤演的丈母娘才是正常人啊~如果女主到最后生的是个闺女，奇葩婆婆肯定是另一种态度了~奇葩一家人才是精华所在啊，亲            
(3星)	 非黑即白的人们阿～            
(5星)	 老戏骨真给力。            
(4星)	 看完心情好复杂，世上只有妈妈好            
(3星)	 陈大可他妈就是个变态，外加一个变态老处女的大姑子，还摊上个没断奶的老公，什么家庭啊，要我早八百年前就和这男的离了！！！其实罗佳她妈真好            
(NA)	 李小璐整容干嘛。以前挺好的            
(1星)	 贾乃亮的演技这么多年还是没有进步，依然停留在北电时期的学院派表演，不红是有原因的。如果不遇到什么重大改变，他的演技是永远没辙了。            
(4星)	 嫁给陈大可这种货色真是几世修来的悲催 丫又懦弱又恋母还他妈的出轨！！真恶心            
(1星)	 简直一闹剧！            
(3星)	 在跑步机上看的,男主角好难看好软弱好傻逼            
(NA)	 每天吃饭的时候跟着电视看的，竟然还看完了~            
(3星)	 我要有个在怀孕时出轨的丈夫，我铁定把他加小三都废了…刻薄的婆婆，煽风点火的大姑姐，再加一懦弱的丈夫，罗佳简直是全天下最悲催的媳妇…全剧看下来，罗佳妈最可爱！！            
(3星)	 尼玛！如果遇到这种JP婆婆，我宁愿自刎。还有 婆婆叫公公叫“小陈”，公公叫婆婆叫“老张”，尼玛 杀了我吧。            
(NA)	 谁要是碰上大可这样的男人 他妈那样的婆婆 还有朱燕那样的小三 那就是倒了八辈子血霉！！！爱罗佳的老妈！！特可爱！            
(4星)	 剧情虽然夸张，但却能牵动观众的情绪。总的来说很虐心~！            
(2星)	 编剧到最后太扯了            
(5星)	 其实我对这部片子的态度很矛盾。一方面槽点无数狗血满满成功地树立起一个令人无法直视的人渣婆婆和人渣一家门以及一个圣母女主角，另一方面，这就是赤裸裸血淋淋的社会现实好吗。虽然去年被迫看到最后我忍不住跪求双亲别看了换台了好吗，但是如今我还是推荐给广大姑娘，要擦亮眼睛认清人渣早日幸福。            
(5星)	 经典，喜欢这个强势的妈妈！率性中又能理智！赞啊！孩子们的爱情最终还是经受住了磨难的考验！不过因为这是部电视剧啊，人们总是乐意于看到一幕HAPPY ENDING! 现实往往不可能这么简单的！反正爱情里必须有一方能放下一切去爱，否则，结局将是个悲剧！而我，这辈子也不会做到这一步的！            
(NA)	 国产婆媳剧，除了久旱逢甘露到泪流满面之外，别无他感。 话说李小璐隆胸了?            
(4星)	 潘虹演得真你妈好啊！！！！！！！！！！四星全给她！！！！！！！！！！！！！！！！！！！！            
(3星)	 哭了            
(NA)	 = =看了两个晚上终于看完了。。。这片囧的。。。啊。。。超级狗血有木有。。30集只有十集的内容。。。不爱说啊。。。            
(2星)	 亮点是李勤勤。            
(2星)	 有点烂，陈大可一家都是神经病啊~还有就是找男人千万不能找mammy boy啊~！            
(2星)	 石康说的没错，有些人就是喜欢把所有的事情都弄到臭不可闻。潘虹老师的教育意义真是神而广之。            
(NA)	 222222222222            
(5星)	 qq大战360啊            
(3星)	 比双面胶还是差远了            
(NA)	 恐怖片            
(4星)	 跟着我姐看这类电视剧了，叫我安叔吧。。。自作孽不可活啊，太尼玛极品的一家了，自然结局也挺悲的，夫离子散。            
(3星)	 看多了真的会心理变态            
(3星)	 编剧有点心理变态吧，，，，            
(3星)	 自作孽不可活，陈大可太窝囊            
(4星)	 实在发人深思。            
(3星)	 婆婆和小姑都太BT了，虽然结局还算美好，但是总觉得有点牵强。家庭类连续剧脱离生活。            
(2星)	 婆媳剧。其实我觉得喜闹剧技巧最适合移植到婆媳戏里面。            
(3星)	 最后几集真好看啊。            
(5星)	 人家都說，做人的老婆，要經得起謊言受得起敷衍忍得住眼淚放得下諾言。。。呵呵呵呵呵我開始的時候明明把這個當搞笑片兒看來著。。呵呵。。戀愛什麽的都是童話，婚姻才是生活，可是生活太殘酷了。            
(4星)	 天下只有老妈好            
(4星)	 看完这电视剧，我真心不想结婚了。世界上最大的悲哀是，我很想爱你，很想信任你，到头来却发现，再也没办法相信你了。：（            
(2星)	 以后应该少看这种能不断刷新自己愤怒底线的片子~纯粹添堵            
(2星)	 剧情爆弱！            
(NA)	 内个谁 带我去烟台看个海呗             
(2星)	 这一家子都是神经病吧。。            
(3星)	 充满了负能量啊啊啊 妈宝男人和一群为别人而活的大人，于是永远得不到满足，互相怨怼，生活一团糟 - -            
(4星)	 男主居然叫大可，好穿。挺喜欢李小璐的，可惜怎么感觉长变样了。            
(2星)	 各种有病            
(2星)	 越看越恶心。            
(3星)	 男方家实在是太极品了            
(1星)	 昨天第29集 陈大芸对朱燕说 罗佳孩子不是大可的 是她男朋友的 我就不想再看下去了 这个心理变态的老处女！！！            
(3星)	 变态            
(3星)	 这跟之前某帖子的情节一模一样啊喂！！！剧本各种抄啊！！！            
(4星)	 现实里也是男的比较容易变来变去，真是可悲            
(2星)	 瞎了我的狗眼。            
(3星)	 大家知道我寒假有多無聊了吧            
(3星)	 大概其看了看，李勤勤这妈不错。            
(2星)	 抛脸面，洒狗血。。。真无趣，没看完            
(1星)	 一群极品。。。            
(3星)	 这世界上，母亲最伟大，男人最坑爹            
(5星)	 豆瓣果真是文艺青年的阵地。这电视剧虽然前半部分戏剧味太重有点做作有点假，但也不至于评分低到这种地步。有些地方足见编剧功力，导演也很细心。关键是演员的表演都无可挑剔。很现实很现代，应该算是大陆家庭剧的典范了。也是我有生以来完整看过的第一部大陆家庭剧。中国大陆剧在崛起！            
(NA)	 会造成恐婚吧            
(1星)	 蛋疼无比，            
(3星)	 剧情好熟悉            
(1星)	 好流弊好嘛！！！给儿子找小三的妈妈啊。。。还有各种极品的姑姑。。。。我擦。。。我震惊了好嘛！            
(3星)	 贾乃亮还敢再呆一点吗！潘虹你这是演话剧吗！李小璐整了容果然自信了啊哈！            
(3星)	 摊上这样的婆婆，何愁婚离不了 啊            
(4星)	 偶然间看了一个这么烂俗的电视剧,,,, 我是女侠 我爱替天行道！            
(3星)	 我比较好奇的是这片最后居然还能大团圆。。            
(3星)	 和我妈一块儿看的~~~            
(3星)	 结尾太突兀了吧。。。            
(NA)	 陪老母！！            
(2星)	 这是多脑残的编剧才能编出如此能忍的老婆 如此懦弱的老公 如此可恶的婆婆 如此变态的小姑 如此鸡肋的公公。。。            
(2星)	 是该说潘虹演得太好了么……这婆婆就特么是一疯子            
(4星)	 说话别打岔。            
(4星)	 冲着潘虹看            
(NA)	 春节在家就看了个这狗血剧            
(3星)	 陪我妈看的.....            
(3星)	 虽然我最讨厌这类婆婆媳妇家长里短戏码，但不得不承认编剧的功力。悲剧的中心在于老公太窝囊，教训就是如果婚前就得不到婆婆的承认那就死都不能嫁。            
(4星)	 片子不错，后面看着挺感人的，就是结局有点糙            
(5星)	 真的，一个好婆婆比一个好老公还难找            
(3星)	 编剧很牛X。。。能编得全用上了！！笑死我了╮(╯▽╰)╭            
(2星)	 这个编剧真要命，弄出了个这么恶的婆婆，还有个这么2又没心眼的媳妇，太假了            
(3星)	 闹 剧            
(3星)	 实在看不下去了...感觉有些不现实啊~婆婆恶毒过头了 小姑典型心理缺陷            
(2星)	 男人太蠢，婆婆太精，太不真实，过了过了。            
(NA)	 男主角某些角度看着像Kajeng……            
(4星)	 牛X演技啊~~            
(3星)	None
(3星)	 你自己愿意做个肉包子，就别怪别人对你太凶狠            
(NA)	 太假了            
(3星)	 婚姻里面，必须有个有担当能够明辨是非的丈夫，不然只有悲剧一场。在妈怀里嘬奶的男人去死！            
(2星)	 太假了            
(2星)	 现实生活里真会有这么傻逼的一群人么？。。。还是真是互相吸引原则，一群傻逼终究会在冥冥中互相吸引走到一起啊。。。另外这男猪脚真心不喜欢，真情戏只会皱眉头做悲情状。。长得也不咋地。。要是我男人这样对我，老子抽飞他然后离婚            
(2星)	 这种恶婆婆，这种心理变态姐姐……            
(3星)	 太后看过的，为避免重复下载，mark一下            
(1星)	 看得相当郁闷，想拉出来一个个打一顿！            
(3星)	 “作媳妇要经得起谎言，受得了敷衍，忍得住眼泪，放得下诺言”。。。心酸的一段话。这么刁钻的婆婆，遇到这么听话的“好”儿子，情何以堪。            
(4星)	 这么窝囊的男人怎么能嫁呢，这么坏心的婆婆怎么能要呢，这结婚就是一错误一悲剧。真是活该。还是苏晓扬给力，就是一大救星。            
(5星)	 能让我看到深更半夜不错了            
(3星)	 喜欢佳佳她妈。潘虹怎么每次在婆媳剧里都演不到好人啊。            
(1星)	 妈还得是亲的好。就这一混战大片儿，尼玛谁看完还能想结婚，遇着这么样一个婆婆，婚姻注定走向悲剧，明知是悲剧还勇敢献身了的不是真壮士，就是真傻逼。。。            
(1星)	 看完这部电视剧，气得睡不着觉。看着罗佳挺着大肚子哭诉，我也跟哭得稀里哗啦。恨死陈大可了。不管是妈妈的计谋还是姐姐的圈套，他都钻，简直是个傀儡。没有自己的判断力吗？没有自己的原则吗？朱燕追求他，也不说自己已婚 ，和人家玩暧昧，简直不是个东西呀。他是真得爱罗佳吗？我很怀疑。现实中有这            
(2星)	 无聊至极..            
(4星)	 我已经无聊到开始看婆媳大战了。遇到这种极品婆婆看你还敢嫁哇靠。。            
(NA)	 做媳妇的：要经得住谎言            
(3星)	 剧情令人看着很生气。            
(3星)	 为毛我总是陪着二老看这种家庭伦理剧.....结局狗血了Orz            
(3星)	 看了一半，陈大可就特么一怂货，一般的婆媳剧，但是严重喜欢罗佳老妈~            
(2星)	 nc编剧~~~            
(4星)	 看着耍            
(3星)	 那个婆婆真是极品了            
(3星)	 谎言和虚荣让这个世界变得面木可憎。            
(4星)	 不得不说，潘虹演的太好了！！虽然是个恶婆婆，但是真的是出神入化！李勤勤演的那个妈妈让我时不时的想起我妈妈。            
(3星)	 碰见这样的婆婆和一个有神经气质的大姑子，我只想说：尼玛！            
(3星)	 就怕遇上变态神经质的婆婆！！            
(3星)	 一堆极品。。。            
(3星)	 有这样的婆婆 我真的 离了 我不会让自己怀孕的 结局还算美满 因为前29集都在折腾了~            
(1星)	 这部戏应该叫一个变态女人是如何摧毁三个家庭的幸福的            
(3星)	 陪妈妈看了几集  还是这女儿她妈带劲        遇上这种觉得你抢了她儿子的婆婆  这叫狗血啊            
(4星)	 碰到这种婆婆真是倒了八辈子霉了            
(3星)	 两个老演员都不错,儿子的太2了...导演排的一些台词等等也太虚. 夸大现实有些过火了. 实在是因为蛮喜欢的演员才看的.            
(3星)	 惊心动魄            
(3星)	 由孙子引发的血案            
(NA)	 本年度最离谱连续剧            
(3星)	 比较看好现实中的这对。            
(5星)	 佳佳的坚强、忠贞、善良、大度、漂亮，着实让人喜爱珍惜；大可善良但却软弱，守候但却背叛，又让人深感惋惜；还有罗妈的大爱、坚韧、智慧，给人以深深感动。陈母可怕的影子可能离现实有点远，但在目前一个道德真空的中国却处处可见，让人心颤栗。这是一部十分优秀的电视剧，值得推荐。            
(4星)	 我觉得后面有点过了，前面演的还能理解。最后值得记住的是：作媳妇儿，要经得起谎言，受得了敷衍，忍得了欺骗，放得下诺言。            
(3星)	 男人就算对你再好再贴心再爱你，本质也是一样的，他之所以还没有离开你是因为经过权衡，他觉得暂时还是你比较合适            
(2星)	 一群疯子……看到国家公务员这个词语就好笑………小三去闹事的时候，背后的墙上背景是：党的事业永垂不朽……            
(4星)	 这样的婆家也是罕见的！！            
(3星)	 悲催婚姻的样板教材。。。            
(3星)	 其实，只看了不到三四集，都是我在整理房间的时候电视当作背景放的。今天正好番茄台放大结局，我既然无力的看得居然要掉眼泪了。。。看来我的免疫力越来越差劲。肥皂剧，大家来看哈。还行哇。            
(NA)	 神一般的剧！最近写剧本的都打了鸡血了估计，还是棒子鸡！            
(NA)	 真像我爸爸妈妈            
(2星)	 狗血的剧情 狗血的演员 恶心的啜奶货 还有那个从小生于南方大学博士都在上海的姐姐 一口的北京口音 。。。真尼玛的！结尾还是比较脍炙人口的。            
(NA)	 陪老妈一起看的，她特喜欢。            
(1星)	 傻逼编剧。傻逼剧情。真想巴掌甩婆婆一家，姑娘自己也是犯贱。            
(1星)	 一泡污！卢瑟男人还搞外遇！外遇还丑了一逼！恶毒婆婆一直要拆散儿子儿媳还撺掇儿子去搞其他女人！不离婚还等什么啊不是还有个富二代备胎吗！写这种剧本的人脑子不只被门夹了一下啊！            
(NA)	 现代版《孔雀东南飞》?  假……太假……            
(2星)	 妈妈托托关系，儿子就进财政局了，爸爸跑跑路子，媳妇儿就进电视台了，儿子在剧中不止一次地在媳妇儿面前高调宣扬父母如何如何牛X。。。这让奋斗中的广大青年情何以堪。。。是羡慕是嫉妒还是恨啊。。。            
(3星)	 文不对题；懦弱需要付出代价            
(2星)	 吃饱了折腾            
(1星)	 每天妈妈晚饭时候消遣的东西。。我是被迫的！这部戏给人的感觉是，编剧的小学作文课是数学老师上的。。整个剧情冲突设置和人物塑造（这部戏有这玩意么）充满了粗制烂造。。幸亏豆瓣没有负五星。。尤其之前看了马伊莉的《双城》，对比太明显了            
(1星)	 恶魔婆婆，变态小姑，窝囊废儿子！看得一包气啊！            
(NA)	 外出野人之前和我妈一起看了两集，那婆婆忒可怕了，恶毒诡计多端想法设法的折磨李小璐，简直就是老巫婆~~李小璐打开门看到亲妈嚎啕大哭那一段，可怜可怜。还是得亲妈啊~            
(3星)	 演技都不错。婆婆太恶毒，老公太懦弱            
(4星)	 长大了就是被欺负的            
(3星)	 实在是太极品了,潘虹这个角色太狠了            
(2星)	 這編劇是有多缺心眼兒阿……            
(2星)	 ……            
(1星)	 看了几集，一句话，脑残，编剧心里变态。MD，再也不相信国产剧了。            
(1星)	 可以给负分吗？？            
(4星)	 刚看了一集，李勤勤演这劲儿太到位了，难怪我妈老催着我看说特别逗，潘虹的劲儿拿的也特到位，估计妈让我看是想让我知足=  3 =            
(3星)	 故事细节有点牵强啊。。。凑合看。。。            
(1星)	 哗众取宠的东西，真垃圾。            
(NA)	 弃了            
(2星)	 现在的戏怎么一部比一部苦逼啊，是我看过的最做作的家庭伦理剧            
(1星)	 配我妈看了11集看不下去了，罗佳就是贱，陈大可更贱，所以他们日子过的再苦逼也是活该。            
(4星)	 pps评分8.5            
(5星)	 最后大快人心~~~            
(2星)	 演员太差。只有一个李勤勤演的不错，不愧老将。潘虹，发现演什么都是那个状态。            
(2星)	 冲着结局扣掉一颗星。我就不信了，经历了这么多匪夷所思的事情，因为生了个儿子就能破镜重圆了？            
(3星)	 刚结婚就婚外情，好不容易哄回老婆不离婚了再来个婚外情，婆婆每天没完没了的替儿子找女人，想儿子离婚，儿子婚外情替儿子打掩护，大姑姐替弟弟打掩护            
(2星)	 看此剧的时候妈妈就说，千万别嫁到外地去，要不吵架回娘家都麻烦~服了我滴娘。。            
(3星)	 本着看了就尽量不弃剧的原则看完了，刁蛮婆婆+气管炎公公+懦弱不成熟的所谓mommy boy的老公，这婚姻能不悲剧么！            
(4星)	 我觉得李小璐不像了~贾乃亮倒是喜欢~            
(3星)	 烂剧 3星全给帅气又痴情的富二代            
(3星)	 陪老妈有一搭没一搭地看完了这部剧，潘虹跟李勤勤的演技没得说，特别妈妈李勤勤世俗精明但通情达理，婆婆潘虹对儿子有着偏执到令人发指的爱。公公这个角色简直就是打酱油的政委，篓子被老婆儿子捅大发了，他才站出来发表琼瑶式演讲，最后来个离家逃避——文艺的来～            
(4星)	 把我看哭好几次            
(3星)	 话说老妈很喜欢看。还喜欢韩剧《寻子三万里》。李小璐戏演得真好。            
(4星)	 估计我麻麻看的哭了~~            
(3星)	 亮亮⋯⋯            
(NA)	 好吧这个是我老妈一直在看= =            
(3星)	 我妈觉得是我的写照            
(3星)	 最后一集挺感动的            
(4星)	 连我妈都说了，这个儿子真窝囊。。。            
(NA)	 好假…            
(3星)	 国产剧里还不错啦            
(5星)	 看了之后，在想，自己也会遇到这个问题            
(NA)	 就这么个结局！！太不解气了！！！真是好日子被糟蹋了            
(4星)	 你妈这种电视剧看多了还让不让人结婚了，别结婚了都            
(2星)	 狗血一缸一缸的，完全彻底脱离实际了，编剧是多么脑残才能设计出这么多脑残的人物和事件啊！！！题材老套而讨巧，妈妈桑们就喜欢被这种电视剧洗脑            
(NA)	 全家都觉得好看            
(NA)	 坑爹的结局            
(4星)	 结局太狗血，婆婆上门来道歉就木有了.........            
(4星)	 1、罗佳和陈大可应该谈一辈子恋爱，根本不应该结婚。毕婚之后就应该是闪离。2、两个老太太演的很到位，每次想到现实生活中的原型就不寒而栗。3、李小璐整形太严重了。4、谈恋爱找个帅哥可行，结婚还是算了吧。            
(4星)	 一共30集 生气生一半 哭一半             
(3星)	 还行...消磨时间。。没事看着骂骂臭男人的不错选择。。            
(5星)	 仍然觉得结局对婆婆太宽容了            
(5星)	 最后结局还盼着销路拥抱下贾乃亮呢~~~来个大团圆~结果人加去了非洲，囧里个囧~            
(3星)	 不晓得意义何在。            
(4星)	 哦哦    還是稀飯李小璐            
(3星)	 很多人骂 骂剧情弱智 难道生活中这样的闹剧不多吗 骂李小璐丰胸整脸 明星为了上镜更美弄一下怎么了 碍你谁谁了 眼红的话你也去整没人拦你 这剧挺好 起码给我们很多提醒 一个娘嫁外地真要做好受罪的准备 男人光爱你不行 乖宝恋妈男有多远滚多远 婚姻不是两个人的事 幸福没那么容易 最后 我想我妈！            
(4星)	 最后2集很给力            
(4星)	 舅妈在里面有个小角色 在偶们小区拍的 下班回来还遇见潘虹从一楼卫生间出来 想拍点剧照还被那凶神恶煞的助理追着吼~~~哈哈            
(3星)	 再次证明了婚姻是两个家庭关系的结合。            
(NA)	 这个太夸张了吧，不过阴险的人确实是遍地都是，指不定哪天就成了“自己人”了            
(5星)	 这结局~！！！这结局完了是个啥呀？！！            
(3星)	 闲着没事，不知道该看什么，也不是自己会去接触的电视剧，就因为男女主角顺眼看了。剧情没到多棒，但我经常会去投入自己的影子，经历了这么多换作我也绝不可能再跟大可在一起。。。让他做父亲可以，丈夫已是不可能，心力交瘁，因为所谓的信任已经丢了            
(NA)	 特不喜欢潘虹的演技。。。永恒的教导处主任装,她能有点新意么？            
(2星)	 剧情真是有够纠结            
(3星)	 哎~            
(4星)	 婆婆简直就是个超级大变态，大姑姐是个JP，公公是个妻管严，至于儿子，任他妈摆布，去欺骗局长女儿的感情。这一家子，就没个正常的人！这什么编剧啊，看了这剧，还有女孩想结婚么！还有女孩敢结婚么！            
(3星)	 一个电视剧里头看不到我喜欢的角色，这就糟了。。            
(4星)	 三星的剧因为学了点什么变成四星了(╰_╯)            
(3星)	 为了拍够三十集，李小璐可被折腾了个惨！！！            
(1星)	 陪着老妈看了一集那婆婆实在是贱得我想砸电脑= =            
(3星)	 这个婆婆太可怕            
(4星)	 有点戏剧性，真受不了这样的婆婆，非得拆儿子两口子            
(3星)	 大冬天窝在家对着电视机追了十几集，没看完，剧情挺生活的，俩妈都是老戏骨，我也觉得吧LXL的胸真的变化好明显~~            
(NA)	 在家闲着看，能看下去            
(NA)	 家长里短，剪不断理还乱。            
(3星)	 这样的家庭生活，过一天错一天，到底我们都是怎么了，原来简单的幸福才需要付出更多去经营，你以为那是唾手可得，你以为结婚之后就是happy ending!故事才刚刚开始，生活就是一把杀猪刀，刀刀让人妥协与抓狂，以及不断地后悔。            
(3星)	 我喜欢潘虹            
(3星)	 深夜陪我妈看完全剧  最搞的是她还边看边夸李小璐狂损杨函数 哈哈哈            
(3星)	 我妈看的时候那叫一个激愤……            
(4星)	 看完之后感动死了！要永远对自己的妈妈好，不能相信其他任何人。            
(3星)	 这婆婆真的是极品……我是她媳妇早憋不住要闹翻了 - -            
(NA)	 先喘口气 只看了最后几集，大爱罗佳妈！！            
(3星)	 剧情略微夸张了，不过这个“妈”确实很让人喜欢！            
(2星)	None
(4星)	 看得我对结婚越来越恐惧。            
(3星)	 大可一家都太讨厌了            
(3星)	 瞎胡闹！！硬是能整出一家子的王八蛋。。。            
(3星)	 爹娘最近爱看的~~~~~╮(╯▽╰)╭            
(5星)	 你可以说它很懒 你可以说她很俗套。但是我觉得佳佳的妈妈就是所有妈妈的缩影，看不得孩子受一点点委屈。因为佳佳妈，给五星。。            
(3星)	 虎头蛇尾的故事            
(3星)	 真热闹　俩爹见面的时候笑屎我了            
(3星)	 看完后，我彻底的恐婚了……要是真遇上这样的婆婆，估计我早就哭死了。            
(1星)	 太狗血了好么。小三也不懂找个好看的，小三找的还没正室好看是要闹哪样。两星完全是给最后几集罗佳她妈的演技的。            
(3星)	 喜欢看女人斗法的剧  不过编剧三观有待改正啊            
(4星)	 鬼使神差的看完了这部国剧，最喜欢的是里面李勤勤扮演的罗佳妈妈。其他的剧情我就不说什么了。。。。            
(NA)	None
(4星)	 这戏应该是根据以前一个给待嫁女生的帖子改的，潘虹发挥正常，李小璐那张毫无正室范儿的假脸连带着她家假奶亮让我实在很出戏。不过李勤勤用她十足的演技简直撑起了整部戏！这演员演技真不一般！            
(4星)	 跟老妈一起看的。尼玛，我是怎么看到结局的。。。            
(3星)	 不现实的结局扣两星。            
(4星)	None
(4星)	 佩服编剧，时而有点假还依然能让人气得跳脚，剧情讽刺完整有教育意义，家长应该看看             
(4星)	 婚姻里该遇到的倒霉事儿都遇到了，编剧真牛。            
(3星)	 哎呀那个婆婆和小姑，太吓人了太吓人了，公公和老公又都那么窝囊，加起来就是悲剧            
(4星)	 《当婆婆遇上妈》剧情有别与其他同类电视剧。最喜欢看女主角老妈反间谍捍卫自家闺女那段——带劲！那个家婆真无耻；那个男人真懦弱！            
(3星)	 搞一次婚外恋，糟心一辈子。            
(4星)	 每一个坚强的小三背后 都有一个没立场的男人            
(2星)	 各种渣渣啊。。。            
(3星)	 小三没有好下场，搞婚外情的男人没有好下场，挑拨离间的婆婆没有好下场            
(NA)	 做男人要有担当！            
(2星)	None
