http://movie.douban.com/subject/3286407/	神之水滴 神の雫
(3星)	 小龟完全不用这么累嘛，每周做好cartoon KAT-TUN也就能维持很高的人气了            
(3星)	 kame啊，唉。            
(3星)	 坏人很邪恶...            
(2星)	 除了Kame完全没有看头，第一集之后就弃了。            
(3星)	 剧本比一磅好那么一点点            
(4星)	 幸好还是看了 不错            
(3星)	 装B神作！但是烂尾了……            
(3星)	 又见小龟            
(3星)	 -  -||||            
(4星)	 剧情很俗套，但仍吸引我能看下去，而且长了不少关于葡萄酒的知识。            
(3星)	 2話made            
(NA)	 2            
(5星)	 不可否认,龟的演技确实提高不少..            
(3星)	 实在是没办法违背自己的良心T T            
(3星)	 那个…女主也太假了吧，直接影响观看。            
(3星)	 不看了。。。这剧本没劲的。收视低成那样我都没了黑的欲望了~            
(3星)	 09冬季 纯粹是为了儿子在看&gt;&lt;真的无爱啊            
(2星)	 不推荐看，除非你对葡萄酒很有研究            
(3星)	 红酒知识科普工作十分到位！里面那些酒加起来得多少钱呐，酒杯和醒酒器也一笔大开销。而且工作做得真细致，最后说是自己酿的酒，倒出来颜色就真的是新酒的朱红色。            
(1星)	None
(5星)	 龟梨和也—3—            
(NA)	 花痴也接受不了的剧，到底要多难看。            
(NA)	 当初还看了8话才弃的呢  我现在能想起来的只有一青兄哦哦哦的样子了            
(4星)	 居然看得我眼泪淅沥哗啦            
(3星)	 结尾的告别很美，值得学习。不过全剧稍显做作。也许漫画更好一些。毕竟葡萄酒不适合少年愁滋味。            
(NA)	 现在来标记            
(2星)	 龟梨的剧每部都傻缺到极点            
(3星)	 葡萄酒科普剧            
(4星)	 不知道为什么评价不高。不是个大众的主题但是挺有深度的。            
(NA)	 4话弃，忍不下去了，太无聊了            
(1星)	 田边诚一最惨烈的配角。。。            
(4星)	 亲情，因为不理解而分开，因为理解而认同            
(5星)	 龟梨和也还是胖呼呼好看            
(3星)	 红酒知识略有，剧情乏味。            
(4星)	 作为葡萄酒知识扫盲是肯定要的吧            
(2星)	 看不下去            
(5星)	 悲愤。。明明是不错的剧            
(2星)	 太压缩了，漫画的灵魂不见了。。。            
(4星)	 我可是从这部电影开始敢喝红酒的啊～            
(3星)	 其实没嘎差...            
(3星)	 天知道我怎么看完它的            
(NA)	 其实吧，龟梨同学短发是相当萌的，But，为什么有些瞬间他像个大妈？？？            
(NA)	 葡萄酒普及篇。            
(2星)	 也太神了点吧 那个一青喝点酒 就跟嗑了药似的。。            
(4星)	 蠻好的啊。。            
(5星)	 演员一般, 但剧本实在是太赞了~~激起了我对葡萄酒无限的兴趣            
(4星)	 好吧小k的低收剧我都有好感。而且它就是个漫改而已，人民要求不要太高嘛。            
(3星)	 偶～kame酱 你表老是拍狗血片嘛            
(2星)	 龟梨碰不到好剧本，可惜了。            
(3星)	 可怜的龟梨。。。就这样毁在了这一个个烂本子里。。。            
(3星)	 嗯，题材不错嘛，不过到后面剧情没什么提升，落了俗套~            
(5星)	 龟梨和也很像那人啊~            
(2星)	 剧情。。不说了            
(2星)	 看了4集弃了。            
(4星)	 http://v.youku.com/v_show/id_XNzM5MDg4MjA=.html            
(4星)	 除了剧情不那么美以外，小水滴……TAT嗷，白白嫩嫩很可口的小水滴TAT哥哥你说你怎么能不啃两口呢！捶地！            
(NA)	 .....仲大妹子不错            
(2星)	 为了看龟梨和也而看的~没想到不是很好看~            
(3星)	 说实话，我只是冲着kame来的……            
(3星)	 我觉得虽然这部电影不是那么夺人眼球，可是依然有许多让人感动的地方，红酒就是人生            
(2星)	 1星。内田有纪，佐佐木希，仲里依纱（排名分先后）合起来加一星。田边诚一怎么成了这个样子啊-_-|||            
(3星)	 据说没有原漫画好看,就算是普及红酒知识吧.            
(5星)	 大爱。            
(NA)	 应该说是被别人强制看的- -。我果真是三次元无能-A-            
(2星)	 小龟君 原谅我没看进去·            
(3星)	 好好的作品又被毁了，还是看原作吧            
(NA)	 主题有些小众，所以不能说龟是收视毒药。            
(3星)	 到后来只想看开头和结尾。            
(2星)	 非常烂的剧情。            
(NA)	 终究是没有看完。。。            
(3星)	 关于红酒——同时看韩国关于红酒的电视剧，更明显感觉两国的不同。日本影视总会上升到人性，人生~            
(1星)	None
(1星)	 Shit的剧本...毁了KAME。            
(3星)	 一个反派也没有，算是很新奇的日剧了。            
(3星)	 没评论那么差            
(NA)	 我在看。看完了。一边玩蜘蛛纸牌一边看完了。蜘蛛纸牌我会玩中级了。            
(3星)	 怎么说呢，很纠结的一部。            
(NA)	 格子控的小龟同学            
(3星)	 远峰不在的话我打四星，女猪不在我打五星            
(2星)	 剧情实在是。。。！！            
(3星)	 小龟好像长胖了。            
(3星)	 龟梨和也有进步，不同时期不同的感觉，但目前还是最爱他野猪里的表现。             
(NA)	 最后没去买红酒  买了红酒面膜..            
(4星)	 2009.3.23            
(3星)	 小龟越画越浓            
(3星)	 其实也挺励志的（日剧几乎没有不励志，我废话了）只是题材不好，应该说没什么人有兴趣，至少我对红酒完美不了解            
(NA)	 看的我也想品酒了没有仁宝在！！            
(3星)	 我看完了！！            
(3星)	 --            
(NA)	 09冬 火10 NTV            
(4星)	 良好的葡萄酒教材,里面的法语很让人欣慰~其实很不错看,除了一青大叔的一声感叹很容易让人误以为是喜剧片外...为什么收视这么低呢?            
(3星)	 有關紅酒的知識，很專業            
(3星)	 果然是根据漫画改的.......            
(3星)	 除了讲红酒的部分 什么亲情什么的 看得有点累 太慢 太长            
(3星)	 我不知道是什么支撑我看下去的            
(2星)	 龟梨实在是令人失望啊            
(4星)	 很想喝红酒。虽然结束的很仓促。            
(3星)	 没能坚持到底。            
(3星)	 kame肉乎了...女主角太蠢,男配角太丑,剧情太弱智...唉...这种烂本子和烂卡司以后别来毁我们kame了...            
(3星)	 能感动的只剩葡萄酒……            
(3星)	 其实没看完..= =为什么卡咩的戏我都看不下去....对剧不对人呐~ 咩酱加油吧~~            
(3星)	 龜梨變好看了..女主角實在丑.            
(3星)	 果然因为以前讨厌kame就不喜欢看kame的剧~女主虽然囧了点~剧情也小无聊~但是还是蛮有可看性的！            
(3星)	 听说除了人，没看的            
(3星)	 看不下去            
(3星)	 比前面演过的有进步~            
(NA)	 终究没看完。就cut掉了。            
(3星)	 原来 葡萄酒那么神奇            
(5星)	 好看  十分好看  讲红酒的            
(2星)	 又是看了第一集就看不下去了……            
(3星)	 小龟这是怎么了……            
(3星)	 第6回 放棄            
(3星)	 kame好嫩，对手的存在挺无聊            
(3星)	 很多葡萄酒的知識很好，可惜全沒記住。唉。聽說腦殘國的版本今年秋冬推出，可怕。            
(4星)	 龟梨和也在里面很帅            
(3星)	 红酒知识~难懂~看了有一小半？红酒难懂，对小龟也没啥兴趣的说~            
(4星)	 因为是由动画改编,所以有些地方很傻的说~不过我真的更爱葡萄酒了~!特逗的是我现在一喝葡萄酒总得闭上眼睛看看能不能看见啥~哈~ &#34;觉醒吧,酒神!&#34;&#34;哦~~~&#34;哈哈哈..我对最后那两人学他俩那块很有爱~哈~            
(4星)	 日本明星好像我就看过龟梨和也？            
(3星)	 标志性台词配的音效不就是娃哈哈72重净化么，或者是厕所滴水的声音            
(3星)	 葡萄酒~~            
(2星)	 完全不行            
(2星)	 没什么意思            
(3星)	 。。。。。。            
(2星)	 第一次弃剧，女主太难受了。            
(3星)	 为啥龟梨同学的脸老是肿的呢？            
(2星)	 这剧我弃了，实在是追不下去...女主角也不好看...除了龟就没有卖点了啊！！            
(4星)	 关于葡萄酒的知识，学习学习            
(2星)	 满无聊的，不跟了            
(3星)	 痛心疾首啊——当然我疼的是人。            
(3星)	 之前3集都是追着看的，剧情细节都有些忘记了，中间有点蛮有劲的，后来又有点拖沓了…… | 卡咩很有腔调的样子～ 那个远峰一青实在是太囧了点好不好，看到他我就想快进哎，不过最后话稍微有点改观= =^ 妹妹有种哥特风的感觉～ 还有女主怎么看怎么像是韩系的嘛～             
(3星)	 第一次看结局的时候还睡着了=。=。。（嘛。。可能因为感冒            
(NA)	 葡萄酒这个东西            
(3星)	 因为小龟去看的,但实在看不下去,放弃了,评价就不改了!            
(2星)	 基本上是烂片了 只有红酒还不错            
(3星)	 追不下去，喝酒的动静可真大~            
(1星)	 没追完，因为真的很难看            
(3星)	 完全为了葡萄酒去看的。            
(3星)	 我就是为了红酒！！！！！            
(3星)	 090314搭戏的女人太恐怖啦，所以我一直都不看好小龟的            
(3星)	 KAME变帅了呢，不然我怎么能看完啊。。。            
(3星)	 算了~即使是这种收视剧中人还要强颜欢笑也不容易            
(3星)	 还是认识了不少红酒            
(4星)	 不错的诶。葡萄酒的知识。扩充！            
(NA)	 其实还可以，收视不能说明一切            
(3星)	 11            
(4星)	 都是为了龟龟才给的4星.剧情真让我无语...             
(2星)	 真追不下去了。。。越来越脑残            
(1星)	 实在看不下去了。。            
(2星)	 到了第六集终于还是扛不住了~剧情实在是```            
(2星)	 完全看不进去啊 囊带？！日本收视也低的可怕 KAME酱啊~            
(4星)	 关于葡萄酒的故事            
(3星)	 片子说实在的有点雷人，关键是小龟很帅            
(5星)	 哈哈，借日剧学习下葡萄酒的知识 不错            
(3星)	 第一集就让我看到个大漏洞哦            
(NA)	 可怜的龟啊！            
(5星)	 你是最棒的！            
(NA)	 101118 上周开始 断网的晚上 研究了下 稍微科普了下红酒知识。。。            
(3星)	 第一话收视比我想象中高&gt;&lt;但是真的看不下去内田jj你太美了~~~            
(5星)	 葡萄酒            
(4星)	 所谓爱不是寻求而来的，它就在那            
(3星)	 小K这个毛很好看~意外地开始萌他的颜了=口= 不过剧情实在是不嗲            
(3星)	 因为kame才看的，终于放完了……            
(3星)	 不想追了。。。            
(3星)	 观望之三            
(NA)	 完全看不下去，cut。kame是毒药？角色不合适哦。            
(NA)	 那些红酒的介绍看起来真美好            
(2星)	 外面鞭炮乱响，我却看得要睡着了。。。1集，弃。            
(3星)	 kame            
(3星)	 停掉的档期，不容易了……            
(2星)	 不太看得下去的神作！            
(2星)	 虽然有小龟~我也没看完！            
(NA)	 Chateau le Puy 03            
(NA)	 kan bu xiaqu le !!!            
(5星)	 乌龟 无敌！            
(2星)	 真的很无聊...            
(3星)	 反复思考后，觉得圣经级别漫画能改成这样，演员不行，剧本不行，导演不行．．．问题太多了，看完３后觉得３星最多了            
(3星)	 ...这 没可能看完了？maybe            
(3星)	 09冬 NTV火十 如果再没有NTV火十的话            
(5星)	 kame的用心谁都看得到~该死的收视率~            
(4星)	 剧情太烂            
(3星)	 虽说看完后对红酒认识还是不多，女主也是无爱的，甚至kameの发型也让我很无语，可最后的告白还是让我小激动了一下..            
(3星)	 收视具有冲击性~            
(5星)	 啥也不说了，追……==            
(3星)	 不知道该说啥的大结局。。。要不是有龟梨。。。            
(2星)	 看不下去了……            
(3星)	 一切都是那么突然。            
(2星)	 星星给KAME的-  -            
(4星)	 无论如何，还是OK滴，从你这里得到了勇气。特典里最后杀青的时候，仲里依纱感谢流泪很有意思。竹中直人是个很有意思的演员。            
(2星)	 追不下去了 收视4.9我可怜的龟...            
(3星)	 不行了，三个星全给kame。。。造作是我对这部剧的全部评价，女主比所有女配丑且雷，一青喝酒时那淫荡的表情和腔调，还有那什么罗伯特那一看就知的假发，真的受不了= =拍这部剧得砸掉多少个杯子啊，还有同父异母的孩子怎么小时候长一个样啊！！槽点无数，忍着看了五话了，弃。            
(5星)	 因为这个剧爱上了红酒            
(4星)	 对红酒感兴趣以后专门找了这部日剧看，还是能够懂得一些红酒知识的            
(3星)	 看完后对红酒很有兴趣哦~~男二有点演过了....            
(3星)	 雫            
(3星)	 分打给田边桑            
(4星)	None
(NA)	 可以这么说，神之水滴诠释了人钟情于葡萄酒的原因，其实我也是这么过来的~            
(5星)	 #用功元年哪。#田邊大叔還是這麼帥。            
(4星)	 情节不错，演员感觉不给力            
(3星)	 阿个男人一喝酒就高潮，太烦哦。            
(5星)	 红酒 很有吸引力 剧情也不错 喜欢kame的表演            
(4星)	 主要还是酒  剧情真的不吸引人            
(1星)	 为了某些粉丝 给你一颗            
(3星)	 ＝＝一头黑线。            
(5星)	 我要学wine study！我要学wine study！我要学wine study！！！除了我这看见学术性内容就激动的体质，其他人都会觉得这剧很无聊吧= =，毕竟一般人都不太喜欢离自己太远的东西，何况还是奢侈的闻不到又喝不着的葡萄酒，还有俩只在那里装神弄鬼（误）…………但这不能改变它对二点五次元生物的吸引力= =！            
(2星)	 zenzen没看完╮(╯_╰)╭            
(3星)	 个人觉得仲里依纱真的很漫画,可爱的脸,超好的身材......可惜我是女的啊            
(3星)	 扮相不錯，題材多少有點硬傷            
(4星)	 有时候，人不得不在一夜之间成长。。。OST配的很好。。。作者想象力太丰富了竟然能把红酒的味道描述的那么详细很强大。。。            
(2星)	 虎头蛇尾~烂透了~            
(4星)	 有机会找来漫画看看~               
(3星)	 最后感觉仓促了啊……            
(2星)	 龟梨发型最好看的剧            
(4星)	 对红酒的兴趣一下子就上来了，尽管日本人啥都不行，片子还是可以的            
(3星)	 品酒师啊，是个还不错的题材            
(4星)	 我只是为主角和葡萄酒知识而给的四分。。咩。。            
(3星)	 卡咩真水 但是片子一般额~            
(3星)	 爱红酒的人看很好            
(5星)	 红酒与美颜，就够了            
(2星)	 一般般……            
(NA)	 葡萄酒知识普及~            
(2星)	 为了卡咩都要看不下去了orzorzorz             
(4星)	 内容还可以，就是演的太做作            
(4星)	 冲着葡萄酒看的这部日部，各种葡萄酒知识，满足！！！            
(5星)	 龟梨和也 葡萄酒的魅力！            
(3星)	 还是漫画好            
(3星)	 对于这部连ko都觉得无聊的剧我是怎样不拖不快进持之以恒地看完的对此我也表示疑惑。但是其实也没那么糟糕啊，对红酒完全不懂只是略感兴趣的也完全能看下去。而且二狗妹也不太雷，比起之后和ZB搭戏的那些女人来说。大概是我不那么苏小k，或者是这里BG感不强吧。            
(4星)	 喜欢葡萄酒的一定要看喔            
(5星)	 我觉得很好看啊            
(3星)	 当作 科教片 看过            
(3星)	 红酒知识普及            
(3星)	 其实我觉得这个还好啊。。。            
(3星)	 3星全俾kame，仲里依纱個发现太失败，搞到块面肥肿难分咁，主要好似sb咁，都唔明kame点解會中意佢，剧情好无聊，集集都差唔多咁，我都好佩服我可以睇晒。            
(4星)	 kame其实很养眼啊！！            
(4星)	 只有我觉得这部剧好看o(╯□╰)o            
(2星)	 KAME总接烂剧本            
(NA)	 可以顺便学红酒哦            
(4星)	 其实这部我还蛮喜欢的～～很多红酒知识～～而且KAME在里面也格外的成熟～            
(4星)	 我觉得还行            
(2星)	 4集后放弃            
(3星)	 本着美男和葡萄酒去的。结果看了那么多，到头来喝的时候白开水。没钱买那好的没地方与精力去找好的ORZ            
(2星)	 2集棄 這劇太做作 受不了了乛へ乛 然後男二好丑 是哥哥??難道不是舅舅那個級別的???            
(1星)	 雷死了==+            
(3星)	 开心愉快的喝酒            
(2星)	 一看我就能睡着~~            
(3星)	 最近对红酒感兴趣了，所以把之前被雷得看不完的几集重温了下            
(NA)	 算是长见识了。多亏卡咩我了解了不少关于红酒方面的知识呵呵。            
(4星)	None
(4星)	 对于红酒有了初步的了解~            
(3星)	 为了小k的颜我还是没有打两星            
(3星)	 让我对红酒有了兴趣。不过后来还是弃了            
(2星)	 內田有紀 加藤あい  原諒它了 ....            
(2星)	 果然是不喜欢这样的题材啊            
(4星)	 去除拖沓的部分。。已经是非常非常好了            
(4星)	 如此低的收视率真让人火大。。。            
(1星)	 龟，为了你我认了多少烂片            
(NA)	 虽然剧情什么的有点无聊 但是还是坚持看完了 说实话 这片子还挺腐的 小水滴和他哥JQ重重啊【滚            
(1星)	 普及葡萄酒 本可给三星   因为女主角   扣掉两星            
(NA)	 讲的红酒常识很好用，懂了很多，小龟好帅            
(3星)	 结局很狗血。。            
(NA)	 可以增长知识~看完第一集我觉得它能给予的知识我都具备了。。            
(3星)	 龟梨和也的颜还是不错的啊 剧情推动比较一般            
(5星)	 友情 亲情 爱情 、天 地 人、自然 社会 人、葡萄酒只是一个沟通的媒介 不过是什么 只要身边有一起陪你走下去的人 一定会有一道温暖的光指引你向前！            
(4星)	 龟梨和也的完美季。            
(NA)	 。。。。题材太小众，不过学到了不少红酒的知识            
(5星)	 看过小龟演的以后，莫名就是很喜欢葡萄酒            
(4星)	 除开葡萄酒的部分就是各种扯，但是酒和酒具都很牛逼            
(3星)	 不爱女猪脚。剧情也般般。            
(3星)	 KAME不得不说你的剧都有点……            
(3星)	 很多人不喜欢。为毛我觉得还好- -            
(4星)	 これは最初の部分日本で受験の時みたなぁ～ｗ仲さんそんときは特によくもなかったけど、亀梨くんが主演で見た。よかったっちゃ、よかったけど・・・最高ではない。佐々木希とかマジなぜ出てた？            
(3星)	 只能说稍稍懂得了一些葡萄酒的知识            
(3星)	 拖着都没能看完=。=            
(5星)	 西装领带一集也没有怠慢啊……这绝对是最美的一部……            
(NA)	 我是有多喜欢仲小姐啊            
(2星)	 拖沓无聊都比不上那张残掉的颜。            
(1星)	 看不下去的龟的神作……为什么唯爱之后你就不能拿出点靠谱的作品？            
(3星)	 客观来说 这时候龟梨君脸上微微有肉 是最美颜的时刻 现在也不错=3=            
(2星)	 小龟啊，你就不能学学人家山P，好好挑挑剧本吗~无奈            
(2星)	 女主太丑了吧。。            
(4星)	 你妹啊！！！！为毛每个人品完酒之后都一副中华小当家里面人吃了小当家做的菜的表情啊！！！！            
(NA)	 红酒王子~            
(3星)	 kame那张小脸完全为镜头而生的啊。。。剧本身实在是一般。不过可以当葡萄酒教科书~            
(1星)	 这剧本烂的 可怜的KAME             
(5星)	 龟梨和也的造型很有突破哦            
(NA)	 看过几集            
(5星)	 龟梨和也不解释！！            
(NA)	 羊血推荐            
(4星)	 对葡萄酒知识的普及超过了剧情            
(3星)	 小咩最后和女主角拥抱的时候把我和莫爷的嗓子都叫破了：不可以啊！！！！！！！！！！！！            
(5星)	 不为主角，不为红酒，只是单纯的看了。整部剧看完时，想到了雫说“父亲是不是想通过遗言来告诉我人生道理”的猜想，而在对于红酒的描述里，隐藏着对人生的感悟，人类的力量、团聚、爱人、试炼、感恩、道路、传承或许剧情显得单薄，开篇的支离破碎也让人无法继续下去，但是看完时，又觉得就是那样            
(3星)	 - -....            
(3星)	 就当学习红酒知识吧            
(4星)	 虽然有点过分渲染，不过还是不错！！            
(3星)	 挺汗的。。。也许漫画比较不错吧。。。龟梨的收视毒药之名什么时候才能不见。。。            
(5星)	 小龟，你一笑我的心就融化了。啊啊啊啊啊，要不要这么乖，要不要这么迷人！姐真是后悔这么晚才遇见你，太美好了！            
(2星)	 额。额。额。只能说小龟可以勉强看看。            
(2星)	 看不下去啊看不下去            
(3星)	 龟梨和也长胖了···            
(NA)	 看漫画和看电视剧的感觉很不一样，电视剧里的角色很容易受到演员的影响。看完电视剧特喜欢龟梨和也演的神咲 雫，讨厌远峰一青，看过一点点漫画之后，觉得远峰一青其实很有个性。            
(1星)	 白烂            
(1星)	 其实是一颗星都不想给的。。。实在是毁了原著形象啊~~~ 原著中一个个风流才子冰雪佳人到了真人版里变得迂腐木讷，葡萄酒的华美酒评也没有了风韵            
(4星)	 儿媳多给一颗            
(4星)	 我只是很喜欢葡萄酒。。            
(5星)	 需要解释吗            
(5星)	 我的最爱，龟梨和也！            
(3星)	 小龟的科普剧 呵呵            
(NA)	 很长知识的片子            
(5星)	 五颗星都是给男主。。。其他就不评论了呵呵            
(2星)	 每次KAME的剧都会给我惊喜啊。。。有比上一部更难看的吗？还真有            
(3星)	 不能再像jules那样，拿起红酒就猛灌，要摇，要品，要想，要看            
(3星)	 不知道为什么看到调酒师就想起来自己好像快进掉过这么一部片子……            
(3星)	 三颗都给龟梨和也            
(NA)	 女主太不可爱了 纯粹是冲着龟梨去的啊 当知识剧来看看了            
(4星)	 一看到这个剧就想起龟梨和也那个别扭的表白~搭配煽情背景音乐和一阵神来的小风吹起他那头发帘！帅啊！            
(4星)	 了解红酒            
(3星)	 这剧人气好像也不是很高啊。。看完也没觉得难看            
(4星)	 kame的剧嘛~~            
(5星)	 通俗版的葡萄酒的普及剧            
(3星)	 受不了鳖哥            
(3星)	 这货不是电视剧，这货是红酒科教片。            
(4星)	 kame的造型帅的掉渣啊，为毛我觉得蛮好看的            
(4星)	 各种WINE            
(4星)	 从此开始喜欢红酒            
(NA)	 蛋疼            
(4星)	 还蛮喜欢的~ 没有看完~ 下不到了~            
(3星)	 。。。 挺无语的。。 只能说题材不好。            
(5星)	 GLHY不解释= =            
(3星)	 漫画比较好看……            
(2星)	 好好一部动画被毁了。。。            
(4星)	 红酒            
(3星)	 女猪丑得我想借个蛋来疼，丑得我浑身上下都难受。            
(NA)	 帅气什么的没的说了            
(3星)	 每次KAME变身的时候我就想到了美少女            
(3星)	 还是漫画好看=。=            
(3星)	 之前很讨厌龟梨和也这个男人，后来发现他的作品都蛮有水准的！原来不是只有外表的啊……            
(4星)	 没看过原漫画，这部片子让我喜欢上红酒。龟梨的演技，在这部不见得出彩，但是有一种新的方向。整体来说，并不觉得像舆论说的那么差。            
(3星)	 关于红酒比赛的故事，为了KAME坚持看下来了            
(NA)	 说实话蛮无聊的一部。。不过如果对葡萄酒感兴趣的话就另当别论了。。            
(3星)	 剧本的问题！            
(2星)	 kame总是没有好剧本命= =            
(3星)	 没坚持下来可怜的收视            
(2星)	 囧龟的剧啊。。。囧啊~~            
(NA)	 西装造型不错            
(5星)	 剧真的太小众            
(3星)	 我喝红酒容易醉啊            
(3星)	 看了第一集就知道最后集的片子。。。看下估计IB的时候还是有点用处额，只能看下内田有纪了，KAT-TUN的one drop可以听下的说            
(3星)	 偶像剧……            
(5星)	 因为龟梨和也所以五星            
(3星)	 唉…………………………            
(4星)	 葡萄酒            
(2星)	 对红酒没研究，没共鸣。            
(2星)	 作为日剧 差了            
(2星)	 一瓶破酒引出的文艺＝＝            
(3星)	 可爱的猴子~~噗噗~~            
(3星)	 额 也就学习点红酒的知识吧 也没记住            
(4星)	 里面的葡萄酒真高级            
(5星)	 必须5星。美死龟梨了，喝了那么多！            
(4星)	 有葡萄酒 主要还是典型的日剧 人生啊 感悟啊            
(NA)	 so-so            
(3星)	 唉....            
(4星)	 生活就是一段品味            
