http://movie.douban.com/subject/2989958/	夏日里的春天
(NA)	 大连理工大学和大连的叮当车～            
(4星)	 好多年前的一个假期。。。海冰老大哦～～            
(4星)	 周韦彤啊            
(3星)	 马苏，印象深刻。            
(5星)	 很是喜欢马苏啊            
(4星)	 小时候好像挺喜欢的            
(3星)	 我擦这货来自豆瓣猜。。（我被豆娘看破了么。。&gt; &lt;）            
(3星)	 这片我也看过...            
(3星)	None
(4星)	 当时好喜欢春天啊和阿南！！真希望他们是一对儿            
(4星)	 喜欢春天~            
(3星)	 从这部戏中认识的马苏 其实还行             
(NA)	 为了好听的主题曲 给你四颗星            
(3星)	None
(3星)	 老了老了，小学的时候看过。。。印象最深的是赤道和北极那首歌，还有关于飞机和爱情的那段台词。。            
(3星)	 当时还挺爱看            
(5星)	 今天又看了一遍，真的很好看，搞笑之余就是感动，            
(4星)	 那一年大学暑假的回忆，喜欢插曲            
(2星)	 第一次看的时候，高原感觉很帅，真的是偶像型的，后来再看的时候，发现剧情那个烂呀，我真服了，太假了            
(4星)	 姥姥家看的片儿！还很喜欢高磊来着~            
(4星)	 以前真心喜欢            
(4星)	 那会子觉得司徒南多帅啊。。。春天多可耐啊            
(3星)	 当时觉得马苏  美惨了。            
(1星)	 这是我看过的最糟糕的电视剧。            
(NA)	 居然也看过=-=记得里面有个帅哥的但是忘记名字了。            
(3星)	 看的时候不知道。。这里面那个清纯的妙歌。后来成了性感女神。。。            
(3星)	 so so            
(5星)	 超好看            
(3星)	 哈哈，居然翻到这部电视剧。司徒南~~~            
(3星)	 当时觉得妙歌很漂亮，后来也从日本整了回来            
(5星)	 傻乎乎的电视剧，之所以给五颗星，实在是因为它在我心里太久了。傻乎乎的春天，为了喜欢的人不顾一切，她的活泼，她的敢爱敢恨，深深的印在我的脑子里。至于其他人和其他的戏份，最好还是直接删掉就可以了。            
(3星)	 很好看的，先知道孔令辉的女友马苏，看了这部剧 以后，觉得她还不错哦。            
(3星)	 当初看剧时哭了不少/            
(3星)	 是在我高三时候偶尔看到的，一时对大学向往达到顶峰，可是现实的差距太大。剧集还不错，很喜欢春天的性格，当人也不是一般人家能养出来的闺女，最后会选择高原，也证明了，互补的必要性。            
(3星)	 有点印象，马苏长得还不错。            
(NA)	 马苏~OST很红~            
(2星)	 没觉得。。。多怎么啊。。。。周韦彤有那么好看么 男的都那么爱            
(3星)	None
(3星)	 赤道和北极            
(3星)	 很早的一部偶像剧~~~里面的歌曲都很好听~~~            
(4星)	 断断续续地看过，马苏很干净            
(3星)	 是不是场景里有只飞机~~            
(NA)	 年幼时的回忆仅剩插曲            
(3星)	 话说当年看得津津有味呢~~囧~~            
(NA)	 点错………童年记忆什么的            
(NA)	 好看            
(3星)	 一帮很生的脸，只有马苏还在我视野范围之内            
(4星)	 以前觉得蛮好看的。            
(4星)	 这个曾影响过我的梦想大学啊            
(4星)	 春天。。            
(3星)	 当时还特烦妙歌。后来发现真有故事啊~            
(4星)	 曾经很喜欢这几个主演，曾希望这是自己青春的颜色            
(4星)	 大工            
(NA)	 ····            
(2星)	 crystal plane  起飞的时候很困难             
(5星)	 周韦彤 马苏            
(4星)	 青春阿！            
(2星)	 雷！            
(4星)	 噗，当初也很好奇自己总么就看了这么俗的电视剧还挺喜欢~除了马苏和阿南以及庞大的演员团外大家的演技都烂到一个不行，可是就是喜欢啊有什么办法~阿南真心帅~歌曲挺好听~（歌词还不押韵啊为什么就是那么好听！！！            
(3星)	 完全没有演技可言，纯粹是一种青春的基调在吸引我。话说我还蛮喜欢司徒南的，我原本希望司徒南和春天在一起，高原和妙歌的，哎~~            
(4星)	 其实……这是部挺没意思的电视剧……            
(2星)	 多年前看的，当时就觉得剧情狗血到看不下去，没有看得很完整，但插曲 赤道与北极 很喜欢，那个演司徒的小孩也挺喜欢的，虽说长得真不能叫帅= =            
(3星)	 当时倒是很喜欢司徒南和妙歌            
(3星)	 小时候教育台看的，认识了马苏~            
(2星)	 身高差了好多3            
(4星)	 对里面的插曲印象很深刻...            
(4星)	 很喜欢高原那样的可爱！有才，踏实，又有责任心。            
(NA)	 看过，印象不深            
(3星)	 想让赤道来温暖最寒冷的北极。            
(4星)	 我觉得春天这个名字好好听啊~~            
(3星)	 那时还是小时候 当时喜欢的是司徒南司徒南司徒南司徒南司徒南 记得里面的有首插曲挺好听的            
(3星)	 喜欢春天喜欢司徒南，但为何这俩人就是擦不出爱火呢？听妙歌讲话我真别扭！            
(NA)	 那时候我是有多讨厌高原啊  见不得  我很爱恨分明嘛            
(5星)	 主要看张延，女强人范儿真酷~~            
(3星)	 他喜欢高原，我喜欢司徒南。还有那个妙歌什么玩意啊！大舌头说话都拎不清还是日本写真圈适合她~            
(5星)	 很喜欢的电视剧，里面的爱情就像是身边真实的演绎。很有感触剧中的几句话“你的优秀你的骄傲，在真爱的人面前都会消失”“当你真爱一个人的时候，经常会没有安全感”“飞机和爱情的关系：起飞的时候都很困难；飞起来的时候就像坠入云里；一旦乘坐，不到终点就不能换乘别的航班”。            
(5星)	 去年夏天看的电视剧，当时很有想去大连理工看看的冲动。里面的歌都很好听，当然，要结合着电视剧里的情节与心境。            
(5星)	 國產偶像劇，當年的我們看的入迷，無限期待青春的到來，到此刻，青春的尾巴已快抓不住，有時候好想再看一遍            
(4星)	 个我觉得剧情应该改为女一和司徒南在一起会好看非~常~多            
(5星)	 那年和爸妈一起看~哈哈~还记得是上海教育频道播的嘞~            
(3星)	 可惜不是我的CP。            
(5星)	 小学的记忆，很喜欢这种风格，看过好多遍了。            
(NA)	 喜欢马苏。            
(NA)	 后来才知道周韦彤火了。。            
(3星)	 不知道是初中还是高中的一个寒假，每天深夜一个人窝在沙发里看这部剧。那首喜欢的主题曲却是大学时一个很偶然的机会才知道的歌名，叫《赤道与北极》，然后陪伴了整个大学。            
(4星)	 看的时候好喜欢马苏吖 里面还有个大帅哥 啊呜啊呜             
(4星)	 年少的时候特别喜欢里边的某个男主角。。可是现在连他叫什么名字都忘记了。            
(NA)	 看这剧的时候很喜欢马苏~            
(4星)	 喜欢女主角 好阳光啊             
(4星)	 多希望春天和阿南在一起啊~~            
(3星)	 高磊帅爆了...            
(4星)	 当时很喜欢啊，当时觉得这个电视剧里的歌很好听啊，当时马苏还很年轻啊，这个电视剧是在我们学校拍的啊。            
(3星)	 当时觉得春天挺好看的。。现在真难看啊            
(3星)	 高中看的，马苏真漂亮！！            
(3星)	 童年呀~！！            
(3星)	 喜欢春天的义无反顾。            
(4星)	 春天是一颗充满活力的小太阳。            
(3星)	 当时觉得司徒南很帅~~            
(3星)	 好久以前看的了 今天听到那首主题曲才想起来 哈哈            
(5星)	 这我            
(3星)	 好早的偶像剧了            
(4星)	 好多年过去了。青春啊。。            
(3星)	 那时看过不少无聊的剧啊            
(NA)	 “夏日春天”只是喜欢这个名字！http://shop58153259.taobao.com/            
(NA)	 = =原來有周韋彤...            
(NA)	 多年以前            
(5星)	 完全不记得电视剧描绘点啥，只记得这部电视剧我很喜欢。            
(3星)	 歌很好听            
(4星)	 我尤其记得的是：猪八戒是怎么死的？            
(4星)	 很青春             
(NA)	 司徒南还参加加油好男儿了，可惜一直没红起来            
(3星)	 这部剧认识了马苏，还有近来颇火的周韦彤            
(3星)	 俺娘咧，那个神马周韦彤那时候就是个普通路人啊，现在整容整得已经看不出来一点当初的模样了，真成功！！            
(5星)	 有人说随着年龄增长，人的感情观会发生变化，逐渐成熟逐渐现实，这么多年了，唯一没变的就是，我还是欣赏高原那样的男孩，踏实务实又有责任感，那样的男生是我的软肋            
(4星)	 本来想打三星的 想想周韦彤莫名其妙的红了就加了一颗。。  话说我对这部剧的印象还真挺深。。司徒南长的多好哇             
(5星)	 差不多是在看马苏!!!            
(4星)	 哈哈 回忆呢            
(2星)	 当时大家很稚嫩            
(5星)	 回忆无价            
(4星)	 很早以前看过的一本。赤道与北极很好听 。            
(3星)	 以前看过。            
(4星)	 青春            
(3星)	 男一号没有男二号帅……女一号没有女二号漂亮的一部电视剧            
(4星)	 喜欢高原～很喜欢～            
(3星)	 其实大家还是蛮青春满阳光的 就是不红            
(5星)	 青春的回忆。。。            
(3星)	 有段时间还挺喜欢，后来没感觉了            
(4星)	 没看完整            
(3星)	 美丽的大连，漂亮的马苏            
(NA)	 春天很勇敢，够绝，不把人折磨得够呛不收手的            
(NA)	 片尾曲很好听            
(4星)	 演技青涩，可是清新不做作。            
(3星)	 原来是周韦彤啊！！！！            
(4星)	 曾经好喜欢司徒南            
(NA)	 啊哈哈 真是超老的片子 那个时候还算是很红的偶像剧累。。            
(3星)	 赤道和北极，以此纪念写论文的那段日子             
(5星)	 五星给司徒南，这得是初中时候看的了            
(5星)	 其实很讨厌里面的男一 犹犹豫豫！！！优柔寡断！！！是这部剧让我记住了马苏，也是这部剧让我恶心了你——周韦彤！            
(4星)	 其实以前是很喜欢过的，马苏蹲下放声哭泣的画面现在依然清晰。但其实整个片子的质量还是一般而已。            
(4星)	 记得当时看的时候可喜欢了！            
(4星)	 还可以。。。那时候为什么会看完啊。。不太记得了。可能觉得司徒南还蛮帅吧。哦主题曲很好听。crystal plane ， 赤道和北极。            
(NA)	 念念难忘，那个马苏啊，春天啊            
(3星)	 那个时候喜欢里面的司徒南，然后看到有一个高一的学弟长的很像他，迷恋了几日，哈哈哈~~里面的一首歌很不错~            
(NA)	 名字很好听            
(3星)	 好多年了，，印象中还蛮好看            
(4星)	 赤道和北极 love U and love me            
(4星)	 剧情不咋记得了，只记得里面的司徒南是我最喜欢的男人类型，男朋友就要找这样的！！            
(3星)	 马苏很漂亮            
(4星)	 算是内地一部比较好的偶像剧了，很喜欢里面充满的音乐还有春天对爱情的执着            
(3星)	 周韦彤 巨乳是看点。。。            
(4星)	 很早前看的片子，妙歌乃整容之前的周韦彤。。。。            
(4星)	 四星给我曾经喜欢死了的马苏            
(4星)	 司徒南。            
(3星)	 马苏也是太漂亮的让我不喜欢之一，crystal 很好听            
(5星)	 挺好看的，通过它认识马苏，大学生题材，感同身受            
(3星)	 现在周韦彤红的.            
(3星)	 小时候看的，很喜欢“赤道与北极”            
(3星)	 crystal plane            
(3星)	 马苏很漂亮。            
(1星)	 乱七八糟的爱情剧。            
(4星)	 超爱春天。            
(5星)	 看这部电视剧是太早之前的事。一出来我就看了的反反复复重复看了好多次意料之中被帅气的高磊吸引虽然里面演员的表演有些地方还时很青涩的但是那种感觉很好 没有配音用他们自己的声音自己的表演来告诉我他们的青春小克儿和阿南的友谊我很欣赏还年轻的我就曾经看哭了。            
(3星)	 Crystal plane            
(4星)	 年轻的时候很喜欢，喜欢春天能和司徒南在一起，那个叫陈小北的男人……            
(3星)	 配乐不错，再就是大连的景            
(3星)	 司徒南阿阿阿            
(5星)	 青春期时候看觉得很好看  现在没看了 6年了            
(4星)	 高三那年看的 班里几个同学为此还去了大连 前两天知道其中的一个同学还打算留在那边安家了~            
(4星)	 司徒南为妙歌拍MV真感动到了T T            
(4星)	 好怀念那段时光~~            
(2星)	 偶像剧的话就请找几个好看一点的人来。。。。            
(4星)	 比起其他大陆青春剧算不错了。            
(4星)	 哇 这大概是小学我最喜欢的偶像剧了~~~            
(3星)	 插曲很好 马苏是挺好的内地女演员 怎么红不起来呢？服了那个和司徒南是一对的那女的，明明别人是司徒南不是师徒南，这普通话还演戏呢。            
(3星)	 以前看还是挺美好的。。。            
(3星)	 可爱的夏天。。            
(3星)	 以后也要给孩子起这种好听的名字 哈哈哈            
(3星)	 以前看过，差不多忘了            
(5星)	 我想让春天和司徒南在一块            
(3星)	 还记得爱情和飞机的那段话            
(4星)	
(3星)	 讨厌妙歌讲话            
(3星)	 当时看的时候，觉得春天那个桔黄色的包包真好看= =当时看的时候，觉得男主真的不好看，女主很漂亮            
(5星)	 为了它我差点上大连理工            
(5星)	 因为这个片子 喜欢理工大学 喜欢上了大连            
(3星)	 小时候可爱看了，当时觉得马苏长得特漂亮            
(NA)	 我也有架水晶飞机            
(3星)	 青春啊，心跳啊~可惜都过去了这一次，不想再等了。            
(3星)	 懵懂青涩的爱情。            
(4星)	 部分青春很相似，妙歌很像她。            
(3星)	 什么时候看的？高考后？不记得了……            
(3星)	 给高原加一颗星            
(4星)	 女追男的成功案例~            
(5星)	 曾经就是觉得好看            
(4星)	 又是一部和二妈一路看过来的力作。            
(3星)	 我喜欢这剧名            
(5星)	 我最爱的春天！            
(3星)	 马苏演得还不错，其他几个男主演太生涩了。。。            
(4星)	 很清纯的一部电视剧~            
(4星)	 当年觉得高磊那叫一个帅啊!!!            
(5星)	 春天这女孩 真讨人喜欢。            
(5星)	 青春剧，不做作，喜欢            
(4星)	 年轻的记忆！            
(4星)	 插曲很好听            
(3星)	 我还是挺喜欢这部剧的，虽然演员们都演的很生疏青涩啦 XD            
(3星)	 好老的电视剧。。。            
(4星)	 大学生活真有这般精彩吗？六年前。珠江频道。9月，即将踏入大学校门，等待我的会是什么呢？            
(5星)	 很阳光很浪漫的一部青春剧，告知刚刚成长的小青年们在城市中执着奋斗着，带着理想，带着友谊，带着爱情，闯荡着美丽的人生之路。            
(5星)	 喜欢那群可爱的人            
(3星)	 主题曲有印象            
(1星)	 为什么里面的男主长这样，为什么为什么            
(3星)	 现在想来这个也挺傻。。            
(3星)	 好久好久了哦。。            
(4星)	 大三的时候，和地主婆，周主妇还有小霞天天看，课都不去上。受不了一集一集的拖沓，我直接看了最后一集，然后在她们看的时候不断提示她们结局。。招来一批白眼，呵呵。。。。            
(NA)	 最喜欢那首歌 赤道和北极            
(5星)	 认识了周丹 周伟童！            
(NA)	 这个夏天迟迟不来，就像春天被拉长。忽然就想起了曾经看过的这部电视剧了。            
(5星)	 这里第一次认识马苏，很有灵气的姑娘，故事很真实，简略了点            
(NA)	 大学毕业的那一年，太美好了，时间匆匆走过，想你            
(4星)	 看过的第一部有点印象的偶像剧。看的时间是2005年初三暑假            
(4星)	 爱上大连~            
(3星)	 飞机和爱情很像，起飞的时候很困难，在空中好像飘在云里，一旦搭乘了，不可以换成别的航班，直到终点            
(3星)	 爱情片。淡淡的感受。            
(4星)	 很不错的青春校园剧，那些奋斗的岁月值得珍惜~~            
(2星)	 闲来无事跟羊看了几集。原来我真的喜欢没事儿添堵            
(3星)	 好久以前看的了，初中？高中？不记得了，但还记得马苏~~话说即使今天里面的主题曲还是经常能够被动听到的~            
(3星)	 感觉像我年少无知的四年级时候看的……            
(NA)	 马苏的那个角色好玩            
(4星)	 我重温了我。。。            
(4星)	 司徒南~~            
(3星)	 觉得司徒南可帅 呵呵            
(3星)	 周伟童还是当模特比较优秀。《赤道和北极》《Crystal Plane》都还不错。            
(4星)	 初中的最爱，内地难得能拍出好的偶像剧            
(4星)	 觉得马苏很挺漂亮的说~~~            
(4星)	 为毛春天不和司徒南一起,,,,直到最后一集我还报希望他们2个能在一起,,,            
(4星)	 高磊帅呀            
(4星)	 快忘了（这记性。。。）            
(4星)	 司徒南~~~~~~~~            
(4星)	 2006            
(5星)	 初三暑假看的            
(4星)	 记得那时候一直觉得马苏这小姑娘很有灵气            
(5星)	 太阳光了~！love you &amp;love me 从不曾忘记~！            
(3星)	 在同学影响下看的。。，其实，现在回想起来也真够白痴了，哈哈～            
(5星)	 太喜欢春天了，还有那首片尾曲~            
(NA)	 真好，因为这片爱上了大连。            
(4星)	 青春又时尚 还可以吧。            
(4星)	 夏天的爱情，多么的美好~夏天就要过去了，我的爱情在哪里。            
(NA)	 喜欢 阿南            
(3星)	 堪稱內地偶像劇的典範            
(5星)	 艰难的日子还有力哥也喜欢..            
(NA)	 就记住了马苏把车玻璃砸碎的时候，真的很有魄力            
(NA)	 歌还可以            
(5星)	 我喜欢春天。。大爱~~            
(NA)	 不错~~            
(4星)	 我很是喜欢这部电影，然后很奇怪他不红~~~            
(5星)	 里面有很多的细节都能让我有着回忆。。            
