http://movie.douban.com/subject/4300569/	唐琅探案
(4星)	 勉强可以打发时间之类的...            
(4星)	 探案，感觉很好的            
(3星)	 黄阙捕蝉，唐琅在后            
(5星)	 挺不错的！中国能够有更多这种片子就更好了！最喜欢唐琅了！            
(1星)	 有些剧，脑残不解释。推理无数漏洞，人物台词、行为极其小白。好吧，这一星，是给小霍的╮(╯▽╰)╭            
(5星)	 NC粉            
(4星)	 不错的剧。霍哥哥萌翻了。            
(3星)	 = =能不能别抄袭....            
(3星)	 为了霍霍（难得是原声重现），我看了~打发时间还是可以的，在不断的快进中...但霍建华真是个萌物啊~            
(4星)	 4星是给霍霍滴            
(4星)	 国产篇拍成这样已经很不错了  虽然很多地方是有逻辑问题的 嗯！            
(2星)	 海报是怎么回事            
(3星)	 木有霍建华不会看地 老傻的            
(4星)	 张萌 黄觉 霍建华 演的都不错 剧情还可以            
(4星)	 比较少见的大陆剧，突然发现旧上海的大街跟法国小镇的轻轨有点关联            
(NA)	 不放过每一个霍建华...            
(4星)	 我爱华叔            
(5星)	 幽默~不过有点小瑕疵            
(NA)	 还不错吧，有一定的悬疑！            
(4星)	None
(5星)	 虽然里面很多案子各种虎头蛇尾逻辑有漏，但作为一部带着搞笑性质的大陆轻推理片还是不错的。特别喜欢男女主角之间感情的那份朦胧，有美剧的感觉。霍建华张萌真心般配啊~~            
(2星)	 看过几集，很无聊。。。。。。            
(3星)	 螳螂--没有对手的寂寞            
(3星)	 演员还行，故事略显老套            
(5星)	 。。。 来美第一部 居然tmd还是看中国剧 真。。。 不过剧情还是很好！            
(4星)	 挺搞笑的，而且是原声配音~            
(5星)	 荣哥跳舞那点是爆点啊！！！我乐翻了！！            
(3星)	 霍建华很酷，黄觉很。。。算了            
(2星)	 A货故事不赘言了。黄觉和霍建华拼起来，比演技、肤质、轮廓、发型，一败涂地            
(4星)	 我觉得看着挺舒服，其实除了我喜欢的霍建华，张萌一直是我喜欢的那类女子，聪明妖娆。            
(2星)	 这海报，这片头曲，这赤裸裸的山寨剧。            
(4星)	 剧情虽不怎么地，但是，哈哈，太逗了！！！            
(5星)	 其实这是喜剧加悬疑来着，不要拿侦破片的逻辑标准来衡量剧情。演员很好，旧上海的风情也基本出来了，所以我觉得很好，本来给四星，冲着建华还有女主给五星了。            
(5星)	 好看 俊男美女 荣哥笑死人了 霍思燕的年龄bug了。。。最后一个个中弹了还且不死  真带劲儿啊  不过影射得很多东西 好            
(NA)	 剧情还不错            
(5星)	 挺好看的一电视剧             
(3星)	 霍霍两星。张萌一星。剧情实在是没看点。            
(3星)	 真心觉得荣天可爱……萌天鸿×唐琅可不可以？            
(5星)	 喜欢唐琅啊~            
(1星)	 超级山寨剧......各种照搬各种做作，总之各种强......这样有深度的作品实在令人敬仰到忧伤仰天45度角望天啊啊......我还是圆润的滚回去看美剧吧= =            
(3星)	 冲着张萌去的            
(4星)	 霍建华太帅了！！！            
(4星)	 和老爸一起看            
(2星)	 推理的成分太少，还要山寨个Lie to me。            
(4星)	 国产剧拍成这样挺不错的！但结尾似乎有些败笔呀！~            
(5星)	 好看！！！！霍建华帅的！！！！剧情还不错的啦~~虽然很多都“参考”lie to me            
(5星)	 能让我惊讶的片子就是好片子。霍思燕的那个角色好霸气            
(2星)	 我真心觉得霍建华换成张卫健会更好看。            
(3星)	 霍~            
(2星)	 这种烂片还有那么多四星五星？            
(3星)	 曾黎很正，唯一看点。            
(3星)	 一般般~~            
(3星)	 现在中国老是模仿英美剧，还要美其名“学习”。这就是传说中的走别的人路，让别人无路可走？！不过这部剧还是不错的。可能是因为我喜欢看霍建华的原因吧。海报好像小罗拍的那部电影的海报。            
(3星)	 案情啊悬疑度啊其实也还好了，就是剧情有时太白痴了。张萌挺漂亮的，比武十郎里的娇千金好多了，但有时还是不像律师啊。为了霍霍看的，还是那么帅，演技也好，哈哈～            
(4星)	 挺不错的，看到最后在人性方面很值得思考            
(5星)	 搞笑，悬疑，动作，对于国产片，挺好，期待有下部            
(4星)	 唐琅捕蝉，黄阙在后。。。            
(NA)	 悬疑搞笑扣人心弦外加人性思考的侦探剧             
(3星)	 感觉有下一部= =？            
(3星)	 配乐跟Holmes似的            
(3星)	 只能说片头赤裸裸的抄袭大侦探福尔摩斯啊~~不过曾黎很漂亮~            
(4星)	 哎，那最后一幕俩人诡异的眼神，莫非又是一个大坑？！            
(NA)	 欢乐            
(3星)	 纯粹是为了离大叔叙叙旧            
(5星)	 前面几集觉得真的好BC，但看到后面越悬疑越精彩，风格幽默，喜欢白豆腐~帅呆~觉得黄阙好幸福。。为白豆腐而看的片            
(2星)	 竟然是搞笑片。。。。。。。            
(1星)	 不要再copy神探夏洛特了            
(5星)	 1935年的上海滩到现在，黑道白道的利益纠葛，政界商界的水乳交融，有丝毫变化吗？没有！            
(1星)	 不知该感叹“挂着推理剧之名能脑残到这份上，够神奇”还是“脑残到这份上还挂着推理剧之名，够无耻”……总之，也算一朵奇葩。最最可恨，作为一部除了演员的颜一切糟烂的纯偶像剧，镜头运用毫无灵性，霍叔的美貌大打折扣！没诚意啊！暴殄天物啊！扼腕啊！摔！            
(4星)	 蛮好看的~            
(4星)	 幽默风趣的推理片,金莎的扮相非常可爱~            
(3星)	 张萌和曾黎真是好看~~            
(4星)	 - -不喜欢金莎的角色……荣哥蛮可爱的其实~~~            
(2星)	 真当自己是福尔摩斯了            
(5星)	 很少看侦探片的我觉得很好看            
(5星)	 很符合我的口味 推理我喜欢            
(4星)	 为了张萌，多给一颗星；其实无论宏观还是微观，瑕疵都太多，有大陆剧普遍的注水毛病            
(4星)	 最近很迷侦探类事物~不过海报绝对抄袭福尔摩斯...螳螂捕蝉黄雀在后神马的~            
(3星)	 贯穿着一条主线。层层深入。精彩之处在于最后的那段为黄金而疯狂的各色人物            
(4星)	 案件一环套一环,谁是真正的正义?谁才是案件的主角?这个需要最后揭开谜底...            
(4星)	 金莎就一打酱油的            
(3星)	 霍叔叔，you好萌啊~            
(3星)	 很好不解释。            
(3星)	 在不断吐槽中难得看完整的电视剧。            
(3星)	 稀烂的剧情。。。幸好男女主角还不错。。。比起前些年拍的火线追凶，同样的时代背景，同样的故事类型，却是差了不少。。。            
(1星)	 受捕鸟。。            
(5星)	 还是好看的            
(NA)	 一说才发现这剧照原来也这么山寨。。            
(2星)	 对不起啊霍小华，即便是你我也看不下去了。            
(4星)	 剧情俗套了一点，经常能猜中结果= =。荣哥很好笑阿。。            
(5星)	 霍霍啊，见人就推荐，结尾部分很紧张。。。            
(4星)	 好囧的名字。。。。“螳螂~~~黄雀~~~~”难道是想暗示那句成语么？            
(2星)	 冲张萌去的            
(3星)	 蛮搞的~~~            
(4星)	 内地剧能拍成这样是很不容易滴~~            
(3星)	 到头来也还是不放心……荣哥太逗了。            
(1星)	 打死我也不看！！！！！太无耻了！！！！！偷海报偷OST！！！            
(2星)	 好像现在这个阶段处于看不下去中国的电视剧了。。。            
(4星)	 荣哥 和 冯大勇 都很逗 哈哈 其他的主角也还行  适合饭后看看  女主角很成熟             
(3星)	 大体走向还是可以的，细节太傻B= =代表自己表示几个主演我都还蛮喜欢的除了金莎            
(1星)	 不能再差的推理片，浪费人力、物力和财力啊            
(4星)	 情节有点曲折，最后好象有点象武侠小说            
(5星)	 很棒很好看~唐小琅很可爱啊~~            
(4星)	 根本可以当搞笑剧来看，华哥你的戏份啊，害的我想拖也找不到可以拖的地方&gt;&lt;            
(5星)	 很好啦，少有的内地片个人猜不到剧情的片。喜欢霍建华····            
(5星)	 只看过一两部美剧，所以不以什么美剧标准来要求。一年就看几部国产电视剧，这部算是好的了。            
(5星)	 很精彩 环环相扣            
(3星)	 我是来看两大美女和霍建华的，漏洞百出的案情就勉强接受了吧            
(5星)	 非常的好看，太精彩了，没想到白豆腐这么滑稽的，还有萌姐也演的很棒，莎莎是可爱乖乖女版本的，嘿嘿            
(1星)	 烂成这样，也真不容易！！            
(2星)	 二十多年来，听过的最偷懒滴连续剧片头曲            
(3星)	 没看到亮点，只能说不雷~            
(4星)	 其实还挺好看的。。。            
(3星)	 霍建华还是很帅的～～～曾黎也很PP，一直很喜欢她，真可惜不是女主。。。            
(4星)	 这个海报做得有点囧捏··为撒要拷匹大侦探福尔摩斯的海报捏？？            
(1星)	 麻痹，光片花看完就让人吐了            
(5星)	 好看啊~霍建华好帅气~            
(3星)	 搞笑手法幼稚 賣萌裝乙女心彆扭 亂懸疑 亂跌宕起伏 特技拙劣 海報抄襲大侦探福尔摩斯 金莎聲音嗲的人受不了 女豬越看越丑......            
(NA)	 简直了~~~可怜我的“大侦探福尔摩斯”，这抄袭也太赤裸裸吧，那配乐也白瞎hans zimmer了            
(1星)	 第三集已经到我的极限，看下去完全是浪费时间。搜狗说这是白领热追剧，瞎讲的吧。。。            
(5星)	 相当精彩            
(4星)	 很好            
(4星)	 偶然在苏州的时候看到的，回来就把统统看完了~~女主角……哈哈~~            
(5星)	 雅和痞同时做到,很精彩.            
(3星)	 他们搭档起来很搞笑            
(4星)	 感觉女主角无理取闹，还大律师呢，整个一神经女，不知道唐琅这么帅的小伙怎么会喜欢这无聊女人。。本来要给5星的，都是这女的坏了一锅粥，给4星了！            
(4星)	 唐琅捕蝉,黄阙在后!            
(5星)	 只看了几集，是不是侦探推理剧还说不上来，但要说轻喜剧绝对不错            
(3星)	 整个故事其实挺好的，大的案子套着小案子，但是拍的有点糙，很对台词绝对中国式的假大空，一点共鸣都没有            
(3星)	 又是一部Lie to me，拍摄场景就没有离开过松江，动不动就去佘山...两个主角还蛮萌的，黄觉演技不错            
(3星)	 还未上映是神马情况、一切为了霍建华啊、            
(4星)	 荣哥你又是何苦呢；不明白金莎角色的意义，这难道不是应该案子完了就消失的一个人物吗？            
(3星)	 帅哥美女，别无其他            
(3星)	 挺好笑的，推理真的很一般……            
(4星)	 还是帅气又迷人的霍霍。            
(4星)	 剧情3星 霍霍＋1星 哈哈 名字有点雷。。螳螂黄雀。。哈哈 竟然也有微表情分析法。。            
(3星)	 真的很唐人.            
(3星)	 后来剧情还不错，霍建华依旧帅            
