http://movie.douban.com/subject/2357299/	楚留香传奇
(1星)	 于妈的编剧直接一颗星不解释            
(2星)	 这个楚留香还可以更怂一点么            
(2星)	 看了25集，实在看不下去了！            
(1星)	 哼，石观音和练霓裳合体啦，古龙和梁羽生都不会放过你的，于正            
(1星)	 如果可以的话，一粒星也不想给！！！！！！！！这是给人看的？？？？？            
(3星)	 不数不知道一数吓一跳，没想到那么多个无聊的暑假在家打发无聊的时光看过那么多无聊的肥皂剧            
(1星)	 老板，来俩羊肉串，多辣，谢谢！            
(1星)	 这是一部给一星都嫌多的烂片！！！！            
(2星)	 太丑了太肥了……            
(1星)	 噜噜噜噜噜，好吃的羊肉串er，一块钱三串er            
(5星)	 只为了曾经的记忆。            
(5星)	 2010            
(2星)	 雷到我了，香帅            
(2星)	 香帅，你怎么会痴情呢。            
(3星)	 哈哈 当年看得津津有味啊~因为美女养眼~~~            
(2星)	 讨厌的男人 没救            
(1星)	 不好好卖羊肉串乱窜窜啥            
(2星)	 我真想給三星來著，爲了無花。可是你這個誰誰誰的“楚留香”怎麼比那個誰誰誰的“西門吹雪”還噁心……            
(4星)	 帅哥美女什么的都挺养眼的啊。            
(1星)	 这个不是武侠剧，真的，这是偶像剧。            
(1星)	 片子不能恶心到这种程度            
(NA)	 美女们很养眼咯            
(5星)	 5分给琳琅            
(3星)	 冲着楚留香看的，马马虎虎吧            
(3星)	 好吧，几个女演员还是比较漂亮的~            
(4星)	 喜欢石观音，不喜欢苏容容，            
(2星)	 流星花园的时候 你的脸就不小 看在是现代剧 你穿的好看点 凑乎凑乎我们也就算了 可是 可是 你演香帅 演古装 我不从啊 小齐演香帅其实感觉已经很勉强了 你为啥要这样虐待大家捏            
(1星)	 这个楚留香，雷的我外焦里嫩……            
(2星)	 总有人甘愿牺牲。            
(1星)	 朱孝天你个肥猪- -            
(2星)	 -0- 男猪让我太无力了 。。。            
(1星)	 有零分么？            
(3星)	 楚留香的长相啊TAT            
(1星)	 朝廷8台 继 天仙雷配 之后的又一部神作。我很佩服于大编剧....抄遍古今中外，结果编出这样一部颠三倒四乱七八糟的剧            
(2星)	 完全是被二肥的楚留香毁了            
(NA)	 没想到这个也是于正拍的- -编剧你赢了- -            
(1星)	 太挫了，太挫了！            
(3星)	 不错啊！还行吧            
(1星)	 雷死我了、            
(1星)	 这都是些什么啊！！            
(4星)	 看美女哈。。真觉得不错啊！！！            
(4星)	 我喜欢这部 好多美女 ..            
(5星)	 世间的悲苦冤孽瞬息万变，人性的野心丑恶残酷无情，表现得淋漓尽致；善良与忠贞，信任与宽容无时无刻不在这恩恩怨怨的漩涡中承受一次又一次打击与摧残，挚深的爱意，刻骨的情愫无论何时都于此凄凄冷冷的人世间饱受一遍又一遍的欺凌与折磨。正是由于这美妙真情绽放出的光辉才使我们有了更好生活的理由。            
(1星)	 朱孝天，任贤齐，天啊，要是古龙知道了，会不会从坟地里爬出来。。。            
(1星)	 猪哥楚留香……泪奔，从此知道少秋兄很帅了            
(4星)	 其实我挺爱看的= =+            
(2星)	 我被楚留香雷了，但还是被红袖震了。            
(3星)	 只看了两集。一般般吧。            
(1星)	 太丑            
(2星)	 朱孝天演的楚留香是我看过最雷的楚留香了，完全颠覆了我对这个角色的理解。            
(NA)	 虽然与原著人物有偏差，还是可以接受。            
(3星)	 还可以            
(3星)	 喜欢琳琅和甜儿            
(NA)	 雷人片~            
(5星)	 以前从没看过楚留香传奇，古龙的巅峰之作之一啊。我从此更加欣赏古龙的武侠风格。            
(1星)	 拿朱孝天来恶心一大片古龙迷和香帅迷。。。。留一颗星给陈键锋。            
(1星)	 从不给低于3星的我，给了我它一星            
(1星)	 麻烦朱孝天减肥。。。            
(1星)	 接受无能            
(3星)	 咱看的还是深夜重播……            
(5星)	 今天脑子里就是这部电视剧。            
(2星)	 为了石观音...            
(4星)	 虽然把原著改的面目全非了 但是我还是觉得挺好看的 我喜欢里面的歌 。于正真是个强人。            
(2星)	 朱孝天胖的没有样子了。。。。            
(2星)	 唯一的亮点，算是萧蔷的水母阴姬了。            
(1星)	 猪笑天啊啊啊啊啊 caocao            
(2星)	 怎个雷字。。。虽然女的都满好看            
(2星)	 至今想不通为什么叫朱孝天演呢。。。            
(4星)	 其实吧,我觉得啊,朱孝天还是蛮帅的= =            
(3星)	 虽然不喜欢朱孝天，但支持胡静            
(2星)	 根本没看到香帅......            
(5星)	 不要问我为什么要给5星 想当初看这个看到走火入魔 每天都想着 快点到晚上啊快点到晚上啊 到晚上就看呀看到楚留香啦啊  ...囧            
(4星)	 我喜欢琳琅，琳琅，琳琅，其他的都不重要            
(2星)	 无花也不错～            
(4星)	 这里的朱孝天还是蛮帅的            
(3星)	 美女太多了！！            
(2星)	 哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈乐死我了&gt;&lt;无语            
(3星)	 一个人毁了一部剧的故事...            
(3星)	 柳无眉            
(4星)	 我觉得还不错啊。。。。。。。。。。。            
(1星)	 哈哈哈哈……orz            
(1星)	 主角丑到爆            
(3星)	 这货不是楚留香···            
(NA)	 干嘛要弄个这么肥的楚留香啊            
(1星)	 我宁愿看80年代版...            
(1星)	 肥肥的楚留香。            
(3星)	 造型有的是雷了点，但是不知道为什么我那段时间居然天天看这个的午夜场。。。自虐倾向。。。            
(5星)	 楚留香----过自己向往的生活！            
(1星)	 ！！！还没等到我们铁花出场我阵亡先了。            
(3星)	 推荐里头陈生的扮相...本人乃小胡子控。            
(3星)	 那个断断续续看了些 看了结尾 不过石观音演的真的很抽            
(NA)	 褒褒贬贬            
(1星)	 超垃圾。。            
(NA)	 这个韩国　一向演配角的女人　原来也可以这么漂亮．琳琅，他俩的这段　很多次让我心痛　．逼的我换台　又转回            
