http://movie.douban.com/subject/2222648/	女人不哭
(4星)	 电视上看的，当时觉得子君弟弟的女朋友好有性格，好喜欢，然后就出了色戒。。            
(NA)	 经营人生            
(4星)	 励志佳篇， 感情波动挺大的，看的时候会停不住一直看下去，但是再写一个人成功的时候，就会有失败，老套的剧情……            
(4星)	 一个女子的奋斗史，虽不尽现实，可是那贯穿始终的音乐还是让我感到很忧伤。            
(4星)	 为了它，通了个宵，头一次，为这题材的。佩服，不过不错啦，女人要坚强。            
(4星)	 第一次看一部女人戏，虽然有部分不解的地方，不过总体来看还算可以。            
(NA)	 非常不错的电视，不娇柔不造作，励志            
(3星)	 太不容易啦            
(NA)	 不哭不哭，女人你那么伟大！            
(5星)	 坚强女人心            
(NA)	 演尚丽的真的是汤唯，演技一般。            
(5星)	 真是打不倒的女人啊～            
(2星)	 跟妈妈一起看的饭后剧。。。            
(4星)	 田海蓉的确是个女强人            
(3星)	 居然有汤唯            
(3星)	 我记得是看过的哇 跟爸妈一起看的            
(5星)	 想当年，金戈铁马，气吞万里如虎。            
(3星)	 汤唯，呵呵~            
(4星)	 不错            
(5星)	 演员都很出色            
(4星)	 小马可好帅啊~            
(NA)	 一直不喜欢田海蓉，汤唯在里面好美            
(3星)	 咦？哦。            
(NA)	 我们在也回不到我们认识的第一天            
(NA)	 这剧，完全是哭过来的，感觉是要多惨有多惨啊！还记得最后是和阿猫在高考结束后通宵一夜看完的，唏嘘。            
(3星)	None
(4星)	 励志剧            
(5星)	 影响颇深的一部剧。            
(4星)	 挺励志的，这片好像看了几次            
(5星)	 好看             
(4星)	 她就是一个牛B            
(4星)	None
(4星)	 还挺好看的            
(4星)	 当年觉得主人公小时候（男女）很好            
(NA)	 在这里面开始喜欢邓超的，没有不想落得泪~~            
(4星)	 还不错，很细致，不过最后有些地方有点假，就是为了戏剧效果过分夸张的那种假            
(5星)	 当时大学宿舍集体观看。。越往后越大叫。。好多帅哥~！！囧~~            
(4星)	 田海蓉演的不错            
(5星)	 章子君是我的偶像！            
(4星)	 一个女人奋斗的历程。女人不哭。            
(5星)	 受尽磨难仍然要坚强奋斗，女人不哭！            
(4星)	 与汤唯结缘的一部戏            
(5星)	 我好喜欢章子君！            
(NA)	 这里面有汤唯和杨幂啊啊啊啊啊！！！！！            
(5星)	 只有足够坚强，才不会被生活打倒~！算是一部励志的电视剧吧~！很值得一看~！            
(4星)	 挺喜欢的            
(NA)	 女人该看            
(4星)	 陪妈妈看的 感觉很励志诶            
(5星)	 很感人            
(3星)	 看他们小时候给我哭惨了            
(5星)	 稀饭..            
(3星)	 认识汤唯是在这里面            
(5星)	 其实没有完整看过，片名女人不哭，我却看着就哭了。女主角的遭遇很悲惨，她却如此坚强。故事从小时候开始，这么小的身体里面竟有如此大的力量。真的真的很感人吧。以至于后来都不敢再看了。            
(4星)	 几年前看的。            
(3星)	 贾乃亮很帅可惜了            
(3星)	 田海蓉太老了吧，和邓超搭戏像他妈，贾乃亮和汤唯是亮点，这是我第一次知道汤唯，真的太美了            
(2星)	 依旧是妈妈奶奶的年龄层。            
(3星)	 总是跟着老大看奇怪的电视            
(3星)	 莲美喜欢的电视剧。。。            
(5星)	 最爱的女人励志片~还有邓超，哈哈··            
(3星)	 里边儿竟然有汤唯            
(4星)	 第一份工作中翻译的第一份电视剧字幕，印象深刻            
(5星)	 贾乃亮很帅~~哈哈哈            
(5星)	 喜欢呀……            
(4星)	 很励志 有点无奈             
(NA)	 没想到里面的一个人让自己如此动容（还是一段情节）顿时泪雨滂沱。            
(5星)	 人心不是生来就恶的，很多是被生活所迫。子君一直坚持自我，为了朋友，家人的幸福操劳，似乎有使不完的劲。虽然在她少年时，曾迷失自我，但也付出了相当大的代价。我明白了，一生总会有磕磕碰碰，我们咬紧牙，不放弃，才能成功            
(4星)	 太坎坷了            
(4星)	 我哭了，所幸结局美满            
(4星)	 真的有如此善良又有出息的女人吗？？            
(3星)	 这也行，靠几个男人起家的故事罢了，一点也不励志            
(NA)	 还不错，不过有点罗嗦。。。            
(5星)	 感觉有点伤            
(3星)	 陪老妈一起看的            
(5星)	 喜欢里面的爱情，很平淡，两个人很相爱，却因为种种原因不能在一起，可是你们心里都知道彼此是对方的真爱，那种爱情可以在你最失落、最痛苦、最低潮的时候默默地支持你，不求回报！            
(NA)	 章子君就像一棵仙人掌，无论在什么样的环境下都能生存。小梅是一个娇嫩的花，没有人忍心伤害。到底做什么样的女孩好呢，这是一个问题。感情失败，事业成功也算是对子君的弥补。还有最后那份迟来的爱。            
(NA)	 我的目标            
(4星)	 女人真的不容易。            
(4星)	 很传奇            
(5星)	 我想子君就应该和小华在一起嘛。。。。。呵呵，其实赵剑在一起也不错            
(5星)	 也许是个传奇，但是在绝望处瞻仰这样的传奇，女人一样可以坚持到底。。            
(4星)	 现在又在播出了，再一次看，依然佩服那个子君，那个永远想着别人的子君，那个永远打不倒的子君~            
(5星)	 这就是人生 我看的是人生~~~~~            
(3星)	 里面的邓超不怎么样             
(4星)	 大爱邓超~~哈哈            
(5星)	 很早就看过了，还可以。            
(4星)	 故事虽然有点假假的，但是它淋漓尽致的表现了一个女人的坚强！            
(NA)	 感动            
(3星)	 励志片，看过感觉还行            
(4星)	 我也是从头哭到尾、、、、、这个被金钱诱惑的社会，人心是如此的残酷呀、、、、、            
(5星)	 很少佩服励志的，不过这个真的好看！！！            
(4星)	 一个女人的奋斗史.            
(5星)	 是我看过最感人的电视剧。哭了很久。很长。但我看完了。            
(5星)	 只是看过。~~~            
(4星)	 很好的一个片子，人生，总是经历很多波折            
(NA)	 去年看的片，哭得稀里哗啦            
(NA)	 冲着田海蓉去的。。。等汤唯红了才知道她也在里面。。。            
(5星)	 很想很想有个依靠            
(4星)	 看了好久了            
(NA)	 要没有邓超肯定不看            
(5星)	 女人不是弱者，不要低下你美丽的头！            
(4星)	 两天内看完34集            
(5星)	 一个女子的奋斗故事。做到那样不容易，很厉害。            
(NA)	 前十几集是小时候的事情，后面那点是我最想看的            
