http://movie.douban.com/subject/5366659/	恶作剧之吻 网络特别版 장난스런 키스 특별판
(4星)	 这个才像真实版的湘琴与直树。= =之前的看得我真想弃剧。金贤重真是完全面瘫，一点表情也没有。还有吴哈尼。我真想说她真的不辛苦么。完全看不出白胜祖喜欢她的一点迹象除了那三个吻。我是为什么这么无聊啊要看韩版= =            
(4星)	 恩，好短啊，没看够呢~~            
(5星)	 网络特别版，特别sweet特别萌            
(5星)	 真是动不动就kiss啊。。。            
(4星)	 又像裴勇俊又像山p完全木有抵抗力啊~~            
(5星)	 很可爱，就是kiss太多了            
(5星)	 这温馨小对白啊 比之前的剧情浪漫啊。EP相对台湾的 恶作剧2吻 要感人的多。            
(2星)	 不如台版内~            
(3星)	 假。            
(5星)	 哈尼太可爱了！！！！！！！！！！！！！！！！！！！！            
(3星)	 婚后生活篇；得夫如此，夫复何求啊            
(4星)	 还不错的讲。            
(5星)	 重重我的最爱            
(5星)	 尽管剧情和台版的差不多，但不同的人演就有不同的味道            
(4星)	 2011-2            
(5星)	 素敏和賢重很合襯,好喜歡這對&lt;3            
(5星)	 相当甜蜜！~~太羡慕了~~~            
(4星)	 老实说比正剧顺眼多了。            
(4星)	 时间短~不错不错~！            
(3星)	 虽然还是觉得哈尼有点吵，不过有直树这样的老公，夫复何求啊。怎么都愿意啊            
(4星)	 短了些            
(3星)	 你对我下了什么蛊....= =            
(4星)	 网络版好很多嘛。。            
(5星)	 发现网络版。。比drama好看多了啊            
(4星)	 哈尼和胜祖，还是蛮sweet的嘛，这对情侣，久违了~~~但是哈尼的护士装扮不是很好看哦~            
(4星)	 帅帅帅啊~~...            
(5星)	 Good！            
(4星)	 太浪漫了太浪漫了太tm浪漫了，姐这辈子最受不了甜甜的东西了 0》。《0            
(NA)	 补充版            
(5星)	 贤重！！！！！！            
(2星)	 谁来告诉我这部到底有什么好看的被翻拍来翻拍去？！            
(5星)	 感觉这个比电视剧版本好看啊~            
(4星)	 剧情老套，贤重一星            
(5星)	 太搞笑了。。恩爱啊。            
(4星)	 女一号不好看啊，小粗腿            
(3星)	 汗/// 可不可以不要结尾总是那个什么            
(NA)	 大爱            
(NA)	 人帅没办法            
(5星)	 婚后生活好温馨。。男主帅死了~其实男主好爱女猪的。。            
(5星)	 一如既往的sweet            
(4星)	 的确幸福的让人羡慕            
(3星)	 甜的都腻出水了。。            
(5星)	 故事是意外的，而且胜祖变得比以前有人情味了，喜欢            
(4星)	 哈哈~恶作剧之吻系列全部完成！~耶            
(4星)	 吻得 太多了吧            
(4星)	 网络版好看很多，白胜祖变得超级好男人啦~撒花            
(2星)	 不好看 女主丑死            
