http://movie.douban.com/subject/2997325/	我的团长我的团
(1星)	 丑化国军将士，康、兰还要不要脸？            
(5星)	 二战 牺牲            
(4星)	 是不是准备拍个SP啊 妈的            
(5星)	 为了这群爷们儿 必须五颗星            
(5星)	 因为并不存在一个身披黄金铠甲、脚踩五彩祥云的龙文章，所以一百个心思了得的孟烦了，也还只是怨天尤人的孟烦了。也许每一个笑意融融心存恶毒的唐基的而立之年，都曾是叱咤风云宁折不弯的虞啸卿。张立宪跟何书光的悲剧是一样的，他们都是被自己人生当中最珍贵的部分背叛了。最喜欢的是派对皇后不辣姐。            
(5星)	 完美的中国战争电视剧            
(5星)	 反思的电视剧在中国一直不受欢迎，例如陆川的“南京！南京！”            
(5星)	 一个挺好的征兵片儿            
(4星)	 当今公缠裆的每个领导都是唐基的唐基 唐副师座活在当今肯定是大清官             
(5星)	 结局最后这60年后啊~ 真让我觉得太多余。不过我也想给5星            
(4星)	 不是我期待的感觉~和士兵相比的话~（班长，你一开始挺让我绝望的）小段同志真是委屈你了装疯卖傻~阿译长官，我不得不拜倒在他一甩刘海的风姿下~            
(5星)	 岂曰无衣？与子同袍扪心自问            
(3星)	 一个失败的群像剧，不过历史可能就是如此            
(5星)	 前三十集之前，我百无聊赖，后面13集，我泪流满面，原来生活看似平淡，但足以让自己感动。我知我无知。            
(4星)	 同上~结局恶心~！            
(5星)	 不错的电视，就是后面没拍，可惜了            
(4星)	 暗夜发光。            
(4星)	 我的团长我的团            
(3星)	 这些人最后都死在辽沈战役了。            
(NA)	 几年内只看了这一个国产电视剧，就是团长            
(4星)	 看得我灰常晕            
(NA)	 苦中作樂 精神崩潰的人  結束以後我精神崩潰              上海佬你絕了            
(3星)	 太拖沓            
(5星)	 我喜欢孟烦了喜欢迷龙喜欢他们脏脏的样子！            
(3星)	 看完了，能不能再压缩点，有些集实在是太冗长，后面几集着实很精彩，但应该拍得细腻一点            
(5星)	 哎呦我太喜欢段奕宏了。            
(5星)	 国军威武！！            
(2星)	 看第一集 像电影，而且很真实。越往后看，越有《赤壁》的感觉，貌似严肃，又很扯淡，天马行空，不合逻辑，不够真实。太多缺点，令人失望。旁白是最大败笔犹如《无极》。            
(5星)	 逃跑不积极 脑子有问题            
(5星)	 团长好帅啊~~~            
(5星)	 看过的人物个性塑造最为鲜活的电视剧，对白精彩！            
(NA)	 20后都不想看            
(3星)	 说实话，导演讲戏的水平真不咋地            
(NA)	 班长。。。            
(3星)	 等待很久了            
(5星)	 魂。            
(2星)	 作为一个249的粉丝，我对这片很失望。拖沓、矫情，难以忍受。不知为何好评如云？真令人费解。            
(5星)	 10+天看完一部疯子一样的电视剧。。。            
(4星)	
(4星)	 情怀不死但也拖沓得让我想死            
(5星)	 我想给10星。真是甩出某些云里雾里的小情小爱电视剧几条街了。            
(5星)	 删掉了小说中最拧巴的一段，却依然那么拧巴。。。            
(3星)	 没有主线、没有故事核、没有鲜明的人物性格、没有主题。拼凑故事，一盘散沙。            
(4星)	 弱弱的说 好像搞基片啊~~就爱看死啦死啦和虞啸卿对戏            
(4星)	 文艺战争片铁血真吐槽。            
(5星)	 初从文，三年不中；后习武，校场发一矢，中鼓吏，逐之出；遂学医，有所成。自撰一良方，服之，卒。            
(3星)	 太闹，太花哨。。            
(5星)	 感动人的片子            
(NA)	 经典 得买书            
(5星)	 除了《红楼梦》以为，唯一一部电视剧反复看反复看。看了整整一年，非常丰富的一部剧，因为每次看都会有新的感受。            
(5星)	 我就爱这老么长老么长的台词！            
(4星)	 还可以            
(NA)	 看了大半年也只看了十多集，没看完，就不做评分。个人觉得没士兵突击和生死线好看。            
(5星)	 对于军人来说，活着回家才是最大的幸福。马革裹尸，原来不是大豪情，而是大悲情            
(4星)	 小说更好看些            
(3星)	 最后几集很赞，可以改编成大片。            
(NA)	 段奕宏  哦HOHOHO            
(5星)	 太文艺            
(5星)	 向炮灰致敬 ！岂曰无袍 与子同衣！            
(5星)	 亲爱的 你还是那么老A     帅。   另，向所有远征军致敬。            
(5星)	 很多人对这部片子失望，但是我很喜欢，比士兵突击更喜欢。硬伤无数，但是亮点亮到让人觉得刺痛。            
(4星)	 要忘了之前的故事才能看得下去这个故事，就像它自己一样~~~~~空下来的那一星给249的剧本            
(5星)	 绝对的经典，这不是一部战争片，节奏把握的很好，时快时慢。人物很丰满，烦了，迷龙，不辣，兽医，虞啸卿，龙文章……唯一的一点，结尾太河蟹了。            
(1星)	 极度无聊            
(NA)	 3集            
(5星)	 终于看完了，到底是炮灰团，被人当了炮灰。            
(5星)	 好好好            
(NA)	 扯淡加搞笑            
(4星)	 有的时候有些拖沓...            
(3星)	 恩因为没看完= =评价不能当回事。            
(4星)	 鼓励            
(5星)	 买了碟陪他在家看。痞气，义气;真性情，真汉子。第一次认真的、连续的看这样的片子，以为会厌烦，却一发不可止的连续通宵的啃了下去……            
(5星)	 看完了以后心里空空的。。。之后应该看什么            
(4星)	 那些日子里，我终于把它看完了！还要谢谢它，写的作用似乎成绩不错！            
(3星)	 延续了士兵突击的情感，依然只喜欢小太爷和东北佬，山寨版的海盗一如既往的做作，不过比当老A时的州官形象要好很多了，村姑给的镜头都很唯美，虽然本人是个歪脸，歪就歪吧，上镜就行，你要让我来啊 谁tm不愿来啊 哪个犊子才不愿意来啊 你们家墙又高啊 四处搭炮台啊 就怕你爹用洋炮拍啊            
(4星)	 刚看了一点,很有血性.            
(5星)	 励志与幽默            
(5星)	 看完了            
(5星)	 牛逼            
(5星)	 团长告诉我们 信仰 这东西·            
(NA)	 孟烦了（萌翻了）~迷龙够爷们            
(2星)	 玩噱头，是在演话剧吗？            
(5星)	 不错不错 好看好看            
(2星)	 雷声大雨点小            
(5星)	 重看时趣味横生，妙不可言            
(5星)	 剧情不错，演员搞笑，手法新颖，至于五星是因为它帮我消磨了时间             
(5星)	 必须得看            
(3星)	 冗长缓慢的节奏，前戏太久了            
(4星)	 有艺术追求，舞台化，更像先锋戏剧            
(5星)	 如果我是导演感情会很精彩妖孽！！！！蔡康永来当个副导演就好了。。。腐女的无限遐想。。。            
(4星)	 说实话我觉得里面的很多人都演得太用力了，但是故事和台词真好，那真让人欲罢不能            
(4星)	 咋我看着好看？            
(NA)	 “我想让事情是它本来该有的样子。”            
(5星)	 然后我就天天以阿译的腔调哼唱“蝴蝶儿飞去，心亦不在。。。” 抓狂了。。。            
(2星)	 1-2集决定了我对它的印象很不友好            
(NA)	 忘记点看过了。            
(5星)	 刺激着我麻木的神经            
(NA)	 谁都有热血，讲述小兵的故事            
(3星)	 能看，里面东北的那个演员乡音很中，这是我看下去的很大原因。            
(3星)	 前两集还凑合，后面都胡编乱造了            
(5星)	 王八盖子的            
(4星)	 长了点            
(3星)	 目前我不是很喜欢。我可以再看看。            
(2星)	 没有达到期望值            
(3星)	 悟性低，不知道在说啥子妮。            
(3星)	 拖沓            
(3星)	 拖沓琐碎，方言搞笑，人物有个性，演员演绎出彩，内涵深厚            
(3星)	 有点故意了呗 不过这剧让我认识了张国强            
(5星)	 你知道生存就是活命，你知道活着却不只是活命而已！            
(4星)	 真你妈虐挖..249你吃什么长大的啊..            
(3星)	 20集能说完的事，非要搞个43集，里面的战争戏压缩一下能减掉10集：）华谊真是黑            
(5星)	 细评：剧终细说我的团长我的团            
(4星)	 另类            
(4星)	 战争让女人走开.            
(3星)	 只看到20集 期待太高失望了            
(5星)	 我常常看着看着就会掉眼泪 不止为何            
(NA)	 爷们是咋样的？            
(2星)	 我在最无聊的情况下都要强迫自己才能看的下去！            
(5星)	 看到后面有点墨迹，不过很喜欢内个湖北佬和烦了的“奏”是            
(5星)	 诗与哲学            
(NA)	 张国强挺MAN的            
(2星)	 中国大陆            
(3星)	 没想象中那么好            
(1星)	 整体表演相当做作，莫名其妙得臭贫、插科打诨，时不时得抽抽疯、作践自己；剧情胡编乱造得令人发指，不过单方面从豆瓣上良好的反映来看，炒作是很成功的。            
(5星)	 刚看完，还想再看一遍，除了战争场面.....            
(5星)	 妖孽。            
(5星)	 节奏依旧很慢，但有小说做基础，台词很过硬。            
(NA)	 我稀罕那个北京爷们，哈哈哈哈~            
(4星)	 勉勉强强            
(4星)	 打发时间的好剧            
(4星)	 演的很开            
(5星)	 不是那种死板的科教片了，喜欢~            
(5星)	 远征军，一段被遗忘，拾后又无比震撼的历史。            
(3星)	 狠过劲了…            
(4星)	 从20集往后还是好的，但也好不过士兵突击。不辣是我收获的最大的惊喜，其实后来觉得孟烦了也还成，适应了那不带感情的画外音之后，还是别有一番风味的。你看，战争就是这么残酷，俞啸卿你可以去死了。            
(5星)	 其实结局可以更浪漫一点的            
(5星)	 本来想给四颗星，还是给了五颗。感觉这戏就是旧瓶装新酒，不说如果中国再爆发一场大仗，这些事情在我们中国人身上是常发生的。拍得有点油，自然有点“腻”，中后半部应该精炼一点就完美了。            
(3星)	 故事是好故事可拍的不咋的。就凭这冷不丁拍上来的大巴掌，也值了            
(1星)	 有些做作            
(4星)	 结局剪得莫名其妙            
(3星)	 整部的亮点就在连长老婆出现那里~            
(4星)	 剧情太拖沓了~~很失望。。直到最有几集才有点高潮。看了两个月才看完            
(5星)	 等着看看            
(4星)	 余下的给结局            
(5星)	  我的团长我的团             
(4星)	 我极其喜欢一些对话   尽管很多看似乱七八糟            
(5星)	 哭了            
(5星)	 纵向来看电视剧史上最好的一部！            
(NA)	 世上再无龙文章            
(4星)	 袍泽弟兄            
(3星)	 没看完。            
(2星)	 节奏不对，废话太多，有些人的表演过头。迷龙（老七）和不辣（二和）几可爱！            
(2星)	 段奕宏啊~            
(4星)	 为结尾减掉一个星            
(5星)	 孟烦了说，很多年之后我才明白，他的伤心有多么伤心，他的孤独是多么孤独。            
(5星)	 无法释怀，无法忘却            
(5星)	 岂曰无衣，与子同袍。那十万远征军里有多少人客死异乡，甚至最后连名字都没有留下，让那些政治派别都见鬼去。这些人，他们都是和敌人英勇战斗献出生命的烈士。            
(4星)	 还是喜欢士兵突击多点儿            
(3星)	 那段历史是值得纪念的            
(5星)	 对军迷来说，导演和化妆师对得起我们，战争的细节不错，枪械和服装在国产的电视剧中是很考究的。但是故事和讲故事的方式还是差点意思。            
(3星)	 人物太多了吧            
(NA)	 原来《永不磨灭番号》完全是抄袭这部啊            
(5星)	 余生也晚，苟活而已-----我操，迷龙老婆被改的妖魅全无啊            
(5星)	 国产剧前10之一！人物。一过乱炖，却没有坏了一锅食材，各是各的味，色香味俱全，百看不厌。即便吃饭的环境，一起吃饭的人等等诸多不如意，也不要紧。            
(5星)	 打仗不是美好的，能活下来才是好的。地道战地理战都是假的。            
(5星)	 真的太想给六颗星了，我为我的国家能拍出这一部剧感到自豪            
(5星)	 总是在回味，有时泪沾襟。            
(5星)	 “或许只有你懂得我，所以你没逃脱” 这句歌词应该是孟烦了对龙文章感情的真实写照吧             
(5星)	 读高二那年每天晚上在教室里上自习都在想：我的团长我的团开始了啊￣▽￣&#34;  前天重新翻出来看 居然连续两天奋战到AM3:00咳 中华民国一百年了啊             
(4星)	 看过很久啦，当时为嘛没评价呀，奇怪了            
(3星)	 我没看完，先给个三星吧            
(5星)	 就冲着他讲的是国军抗日，就得给5星！~            
(NA)	 为了刻画人物而刻画人物的导演不是好导演            
(5星)	 这片子是真真的喜欢阿喜欢~~            
(5星)	 他日春燕归来 身何在            
(5星)	 我的团，小说更给力            
(5星)	 有血性            
(3星)	 我的娘啊，老子总算看完了，了我这档子事。太他妈矫情、扯淡、拖沓了            
(5星)	 虽然剧情乱乱的 不过有亮点~            
(5星)	 中国人自己的，我给的第一个五星！            
(NA)	 ……精神精神！            
(5星)	 反复看            
(NA)	 这批演员  好            
(4星)	 很久前看的，喜欢段奕宏，但是更喜欢士兵突击里的他            
(2星)	 没意思            
(5星)	 有些不一样的中国电视剧            
(5星)	 我喜欢。            
(4星)	 龙文章（死啦死啦）孟烦了（烦啦，北京）迷龙（东北）林译（上海）董刀（贵州）不辣（湖南）克俘伯、余治、陈小醉（四川）虞啸卿、张立宪（四川）何书光、唐基、上官戎蕊——豆饼要麻（四川）康丫（山西）蛇屁股（广东）兽医（陕西）崔永、李乌拉（辽宁）泥蛋、小赤化分子            
(5星)	 我想为着终于有人记录下远征军，终于有人开始在思考历史。史航说这部作品会在未来的岁月里被人们铭记和瞻仰。            
(NA)	 看了几集            
(2星)	 看了几集实在不觉得好看，没有士兵突击精彩            
(3星)	 如果没有虎头蛇尾就好了            
(5星)	 热泪盈眶，值得给五星。            
(5星)	 嗯 其實劇情的話 團團比士兵要好→_→            
(5星)	 看了不下十遍。            
(4星)	 要是没有段奕宏...就还是好的            
(5星)	 用利刃划过浮光略影            
(5星)	 能和康洪雷生活在同一个年代，真幸福。            
(5星)	 可惜不完整，完整更伤心            
(4星)	 回看，看到老麦师傅被耶稣那段，牙齿克制不住地颤栗，如柯林斯似地不断抱头，拯救不了的绝望。。。虞军座，唐基子，你们怎么不去死！            
(5星)	 信息量很大，是的，不只有共产党才是中国人~结尾有点仓促，向死者致敬，。            
(4星)	 终于把文艺青年过江记看完了……如果少10集的装X、贫嘴、神经质、诗朗诵，这戏就不朽了。            
(5星)	 刚才瘸子把小醉亲了一口 我都要哭了 真好看啊这两天指着这个活了            
(4星)	 中国鬼死于漫不经心和听天由命。。。            
(5星)	 士兵突击是关于理想和自欺欺人，我的团长我的团是关于真实和灰飞烟灭，我，是个喜欢后者的人，宁可在残酷中心竭，不愿在虚伪中矫情。宁肯在孟烦了的叛逃中审视自己的懦弱，不想在许三多的执拗中理解他们的单纯。             
(5星)	 团团&gt;柿饼&gt;生死线，但三部不得不说都是很好的作品，我爱兰妈我爱康爸我爱所有参演的演员            
(4星)	 可以精简几集，总体不错。            
(5星)	 大爱兰小龙            
(5星)	 残忍得很文艺啊。。本来想硬盘满了快看完删掉看到最后又舍不得了。。            
(4星)	 两个女人的戏最出彩            
(4星)	 每一个80后都应该了解，抗日战争史上曾经有过远征军这样的一群男人。            
(5星)	 赞            
(NA)	 李晨            
(4星)	 可惜充满了回忆、为了表现战争而表现的战争场面，但难得的整部都是国军为主题，几乎没提赤匪的一部电视剧！！！有些地方狠好玩，除去不好看的拖沓部分（也就是说只留有对白或旁白的部分），将会是挺好看，狠nb的一部电视剧。            
(4星)	 疯子才能成英雄            
(4星)	 多了点水要不就牛A/C了            
(2星)	 无聊的模仿            
(4星)	 熬了两个通宵连续看完了、其实给4.5分比较好，4分太少，5分太多。就这么着吧            
(5星)	 249这个妖孽！段奕宏这个妖孽！            
(4星)	 一言难尽，但我确实狠狠地哭过，笑过，骂过，伤心过，绝望过……            
(4星)	 不适合拍连续剧，当电影拍了吧            
(1星)	 人物绝壁做作剧情绝壁慢那哪是牛B团长，是SB团长吧            
(4星)	 除了顺溜其他都可以            
(4星)	 看到二十集，中断。电视剧因为种种原因没能拍完，而实际上，249在书里写到的那种感觉，康师傅也没能做全，实在是憾事一桩。            
(3星)	 从上海到北京，一年多，总算看完了。好的地方是真好，难看的地方也是真难看            
(5星)	 很多角色都不错~ 兰小龙想告诉人们一些深刻的东西             
(2星)	 好像自从父辈的旗帜后，子弹的路径开始流行鸟            
(5星)	 en 这是第五遍看这个剧了 我想它就像过去快乐的时光  偶尔翻出来回忆一下 也时刻提醒自己 前方的路是那么艰难 要一直努力 不能太安逸            
(5星)	 出乎意料的好，尤其演员的表演，不逊于大屏幕水准            
(5星)	 肿么会没有mark这个…            
(3星)	 还差12集,我实在没时间看完,也不打算看完了.就那么回事儿.            
(5星)	 一群妖孽的生死史。油腔滑调、嬉笑怒骂，谁说不男人呢。            
(5星)	 目前为止，我心目中最棒的中国电视剧，所以要记录            
(5星)	 孟烦了：那又关我什么事呢。            
(4星)	 我喜欢像乌日格那个人。            
(5星)	 各种非典型，各种颠覆，各种好看            
(NA)	 我终于花了半年的时间把这部电视剧看完了。。。。你要叫我来呀哪个犊子才不让你来~~~囧。。。            
(4星)	 兰小龙            
(3星)	 2011.02.05            
(5星)	 最好的电视剧。            
(3星)	 有点乱~            
(4星)	 没得士兵好看            
(4星)	 事情应该是它本来该有的那个样子。            
(5星)	 大爱            
(5星)	 在我国注定要使国军成为悲剧中的炮灰            
(4星)	 很喜欢开头几集，黑色幽默式的嘲讽了中国人的懦弱、散漫，同时揶揄了不同地方的人的性格。把战争拍得让人捧腹大笑，很绝。后面就一般了，英雄式的结局……另外片子有点拖沓。            
(5星)	 硬汉硬汉，我喜欢~            
(3星)	 果然还是后面比较精彩            
(4星)	 Only Paranoid can survive.            
(3星)	 感觉台词有点啰嗦。。。如果可以简洁点，应该可以很好看。            
(5星)	 重温            
(2星)	 矫情            
(5星)	 我已经看了两遍了，可是还想再看一遍。可以打六颗星么？            
(5星)	 20集的00:14:28时的迷龙的二人转不错            
(4星)	 有点虎头蛇尾。            
(3星)	 太拖了点。。。            
(5星)	 一部中国人的“兄弟连”，让我感动的泪往心里流            
(5星)	 龙文章是孤独的，如同《团长》的孤独一样......            
(4星)	 抛开有些过于冗长的部分，还是非常好的。龙文章是想象出来的，没有这样的中国人~~            
(4星)	 记得，永远记得            
(4星)	 我觉得是我看过最精彩的一部电视剧，一部男人戏            
(5星)	 我喜欢这些个略显癫狂的人~哈哈            
(5星)	 强烈推荐！            
(4星)	 拖沓了一点             
(5星)	 男人 特男人 看哭了多少次、            
(NA)	 头一次觉得有那么一部电视剧是不侮辱智商的！            
(1星)	 请做作。请求导演不要这么雷。            
(NA)	 看过连续剧，觉得缺少点什么，去看了原著，看后无限失落。            
(5星)	 前面好像很乱，整个剧也很显得冗长。但是这是一部描写国民党军在抗战中的纪实片啊，让我们知道，抗日战争，中共的功劳没他吹的那么多。此片贵在一个真实，贵在是描写国民党，描写边境战场，而不是一味的吹嘘敌后战场多么牛。。。            
(3星)	 不如士兵突击            
(3星)	 看了一半，不想看了。原因不想说            
(4星)	 开头和结尾那加起来10集很好看 前7集加最后3集很好看 中间的太拖沓 看的烦            
(5星)	 无条件的。            
(4星)	 其实吧，真挺好看的，就是那啥。。。啰嗦了点。。剧情太长啦、            
(5星)	 我看过的最好的国产战争剧（我认为）。性格刻画和历史哲学结合得如此完美。            
(4星)	 一部描写战争中国人真实心态的电视剧，实在是一部超水准之作。因为大家懒惰的观影习惯，而没能得到应得的好评            
(1星)	 让一个学军事的人看这个片子真是摧残            
(5星)	 破旧的服装，龌龊的人物，粗糙的演技，但却演出了一种与其他国产电视剧不同的精神，没被阉割的精神。            
(2星)	 拖沓的剧情让人崩溃            
(5星)	 我毫无征兆地、没有士兵突击做基础地被这个剧吸引。p.s.敲字的时候一不小心把孟烦了写成了“萌翻鸟”.......            
(5星)	 小太爷您安好，这只能最爱的剧，没有之一。            
(5星)	 249才是妖孽            
(5星)	 从来没有一只耳朵被嘴巴真正的说服。            
(4星)	 兰小龙是个妖孽            
(5星)	 这是第一个给五星的作品，虽然由于种种原因不免有很多缺点，比如场景比如最后的结尾....但我早已把它看做是自己的孩子，所有人都会无条件包容自己孩子的缺点~            
(4星)	 土就土吧，反正我覺得挺好看。            
(5星)	 总在不经意间震撼心灵，兰小龙软刀子杀人~            
(5星)	 某人说我品位差            
(3星)	 有点长。。。            
(NA)	 念念不忘            
(2星)	 感觉好文艺腔            
(5星)	 热血！！            
(5星)	 世间再无龙文章。            
(4星)	 苟活，或者死去？为死而战，为尊严而战——你给了我们这些本来已经绝望的人不该有的希望……            
(3星)	 喜欢里面的人,但是剧拍得太玄乎.            
(5星)	 我们要记住他们，记一辈子！            
(5星)	 深陷 着迷中            
(4星)	 剧情有点赶            
(4星)	 讨论国民性的篇幅比较多，值得一看。            
(5星)	 独特视角中的战争与人性            
(5星)	 你要让我来呀，谁TM不愿意来呀，哪个犊子才不愿意来呀啊嗨～            
(5星)	 大爱，大爱，爱死了~            
(4星)	 我什么也不了解 只知道感动~            
(5星)	 很多台词貌似无关电视情节，其实表达的是编剧的心理情节            
(4星)	 [2009.04.24～2009.04.28]战争场面拍得不错，看来投入不小，这其实只能作为噱头（之一）而存在，这部剧集更多的意义应该在于让人们了解那段历史和那么一群军人吧，对于国军的抗战功绩我们真的提得太少了，再这样下去实在愧对英烈们的在天之灵。不得不说这剧对我等俗人来说实在太过冗长了，中间二十集都在飚台词，真当话剧来拍了啊？但剧情推进和节奏都实在是太慢了啊，照顾一下大众吧。            
(5星)	 有很多人会看不懂 `            
(NA)	 绝望中寻找希望.            
(5星)	 神剧            
(3星)	 不为励志，只为感动；            
(2星)	 其实从结果上看应该三星的，但是导演真的很缺少诚意，拖沓得情节、夸张的人物塑造，看到最后我只想说一句：怎么还不结束啊……            
(2星)	 事实证明国产优秀剧真的很少希望将来多出潜伏那样的好片子            
(5星)	 这段历史又怎么是一部电视剧这么简单这部电视剧也不只是电视剧那么简单            
(NA)	 曾经沧海难为水            
(NA)	 我实在是太喜欢张译 和段奕宏了。。。            
(5星)	 命都不要，就要安逸。醒醒吧。            
(NA)	 人性的复杂！            
(1星)	 拖沓，这么多年看过最差的连续剧            
(NA)	 最可爱的人~            
(5星)	 就这样结束了！            
(4星)	 实在想给5颗星。。。但拍摄手法和各大电视台的剪切实在叫人受不了。。。            
(NA)	 我还是喜欢虞，还是喜欢虐。。。            
(NA)	 耐心            
(3星)	 不如《士兵突击》。节奏拖沓。历史背景更引人。            
(4星)	 这个电视剧估计让所有的段迷过足了瘾，死啦死啦在某些方面是袁朗的延伸，甚至有些方面更加深入！“命都不要，就要安逸！”是呀，因为舍弃不下现有的安逸，我们错失多少美丽的梦！            
(2星)	 没有主线，演技做作            
(2星)	 不觉得咋样导演为了卖弄特意那样拍其实不咋地            
(4星)	 该死的结局！            
(4星)	 看魔障了            
(5星)	 看完之后荡气回肠，因为迷恋龙文章而爱上虞啸卿，又因为深爱虞啸卿而更痴迷于龙文章——他们本就是两个选择了不同道路的同一个人。            
(1星)	 看不太懂啊 ~            
(5星)	 剪辑有些问题，结尾很遗憾，不过暇不掩瑜。            
(5星)	 是不是人生都是这么悲壮？痞子式的悲壮更让我们伤感，最后一集和33集哪个才是真正的结局？我不愿意说，说了，会留下英雄故去的遗憾。            
(3星)	 还没看完,看不下去了,,,节奏太慢,,我的团长我的妈呀,,,,,,            
(4星)	 是部吊片 中国人应看            
(5星)	 很喜欢这部电视剧，看得我神经紧张。            
(5星)	 真难得，是写小人物的战争片，虽说词儿贫了点，人物刻画挺成功的            
(5星)	 很多人不喜欢很多人说不如士兵突击我想说团长和士兵没有任何可比性无论是深度还是广度上没有贬低谁抬高谁的意思都给5颗星（豆瓣很吝啬的给了我们就这么多）不在一个空间说事儿            
(4星)	 看不太懂            
(5星)	 你要是让我来啊 谁还不愿意来啊  哪个犊子才不愿意来啊 你家墙又高啊 四处搭炮台啊....            
(3星)	 力求接近悲情史诗的荒诞            
(4星)	 哎呀我就是迷邢佳栋。            
(3星)	 有点拖。闹得有点过。其他还不错。            
(1星)	 导演和编剧开始糟蹋自己的名字了。没有主线，没有主角，没有节奏。糊弄二傻子啊？没有节奏还有存在的必要么？            
(4星)	 嘴皮子真溜爽            
(5星)	 中国版的兄弟连            
(4星)	 有点拖沓，缩减到20集，效果会好很多            
