http://movie.douban.com/subject/5350046/	全部我的爱 몽땅 내사랑
(5星)	 里面的人物都喜欢             
(5星)	 亚当！亚当！亚当！！金枝出国了不看了。。。。。。。。            
(3星)	 金枝玉叶 很可爱的说！            
(5星)	 搞笑呀 哈哈 ~~~~~            
(4星)	 为了看16集的nichkhun!!            
(3星)	 开始可以，后面越看越一般，再到后面没有佳仁就没看头了。= =总体来说就是极其无聊没剧看的时候看一看就行了。            
(4星)	 作为我心中的亚当的延续啊！真的很喜欢他们俩~除了最初的生菜夫妇真的是第二对让我觉得很美好的夫妇了，即使现在的维尼也没有让我有这样的感觉~赵权和佳仁一定要幸福啊！            
(NA)	 弃剧            
(4星)	 为了亚当而看！            
(3星)	 真是很可爱啊            
(5星)	 好笑····哈哈哈            
(4星)	 2011。1。19。到2011。9。19。整整9个月。每集20多分钟。唉。要泪奔乐。            
(5星)	 我发现韩国PD真是有脑袋呀~这剧一上档就把亚当拆散了！我这种从来不看日日剧的人也被迫追来抚慰亚当下车的伤痕！            
(4星)	 希望佳仁斗俊在一起            
(4星)	 早餐时必看            
(4星)	 轻松搞笑，累的时候看两集放松下心情，虽然说是因为亚当夫妇才看这剧，不过确实演得挺好的~加油~~~            
(NA)	 只看了十几集  虽然真喜欢亚当这对    家里一堆人 吵哄哄的吃饭的时候 电视上放的话我就看    连续五天把两百五十多集搞笑一家人看完的壮志豪情已经不在了            
(3星)	 少了佳仁的全爱。乏。            
(5星)	 http://movie.douban.com/review/5164042/ 看到70多集以后再也没看过，最近又重新捡起来了~~很有趣的剧，很值得看，就算是凌晨五点看完，也要用一个小时来写感想~~^^            
(3星)	 弃剧，从佳仁走了就没有看的必要了            
(NA)	 没追了 停了？还是夫妇吧            
(3星)	 亚当有爱~!! 冲着亚当去的.. 其实没有很好看.. - =             
(4星)	 佳仁下车后就断然弃啦            
(4星)	 朋友推荐的 的确很ci 蛮搞笑的 但是實在太長 看了几十集就不看了 现在好像已经两百多集了 以后有空再看看吧            
(3星)	 亚当夫妇 太喜剧了            
(4星)	 78集开始弃剧！斗枝恋有HE的时候再叫我！！            
(2星)	 虽然很幼稚，但是很好玩            
(3星)	 亚当夫妇真的越长越像了，日日剧里演双胞胎哈哈哈~全泰秀这个没长脑子的，不过当河智苑的弟弟辛苦了，现在转成彩虹路线，有新人加入也不错。冷都男执事居然是妇产科里演猥琐男的...135弃，动力没了            
(5星)	 爆笑。。。超喜欢全室长，好帅            
(3星)	 搞笑搞笑而已            
(4星)	 爆笑！            
(4星)	 轻松好看！            
(5星)	 这剧是冲着亚当夫妇看的，金枝走的一集，最后几分钟的戏斗俊的眼泪哟，姐姐真心心疼。这之后，完全是为了尹斗俊在看了。结局总算还好，不是星星跟斗俊            
(3星)	 赵权超搞笑···            
(NA)	 中途弃剧            
(NA)	 好像看了2集，挺好玩的。支持亚当，不过从夫妻转变为双胞胎还是有点不适应。里面还有成均馆里的那个相当于学生会长的那个，好像是河智苑的弟弟那个人。             
(NA)	 完全因为亚当=-= 好吧 剧没意思            
(4星)	 135 佳仁下车，弃            
(5星)	 从春天看到秋天.完结了.完结的时候很想飚泪,我是那么那么喜欢尹斗俊,虽然最后面几集他爱上尹胜雅惊得我措手不及,不过毕竟还是暖男阿.爱情转移了..希望所有看过全爱的人都能得到想要的幸福.            
(3星)	 还行吧，还是有点搞笑的啊~关键是人啊！            
(NA)	 原来越没意思了            
(3星)	 全市长不在少了好多萌点，也没以前搞笑了~看到新闻说要拍到九月份，追不下去了！            
(4星)	 挺好笑的，，可能是我笑点低            
(4星)	 终于完结了~~追了一年的剧            
(3星)	 第一集前几分钟很好笑。            
(5星)	 实在是太逗了。            
(3星)	 亚当很搞笑～            
(3星)	 就为了亚当            
(5星)	 210 完结 ，，一年光阴似箭~~ 开始于亚当夫妇金枝玉叶双胞胎姐弟之恋= = 结束于斗俊与弟妹佳仁之恋= = 这BEG到底跟了上午团2am好呢，，还是小野兽团BEAST呢，，idol团们越乱我越喜欢哈哈嘿嘿            
(5星)	 就快要出完了真是不舍得！            
(3星)	 我真是敬仰我自己竟然都看了84集了~但我实在接受不了全台风~我想即使有尹斗俊和亚当，也抵挡不了全泰秀的离开和越来越来没意思的剧情~我连全室长会不会回来都不期待了，我就想嘛时候大结局我再看一眼吧~~~            
(2星)	 好无聊- -..为了亚当才看了下            
(5星)	 追了这么久的剧还是看完了，超级不舍。每个人物都是可爱之人，每集有笑点也确实不容易。总之看的很欢娱。给个大大的五星。            
(3星)	 佳仁超犧牲啊～罐頭音效挺過時            
(1星)	 千万别看 这烂尾剧终于结束了 矮油            
