http://movie.douban.com/subject/5377708/	北京爱情故事
(1星)	 好久没看到这么傻逼的剧了~~可惜了李晨~            
(2星)	 看到第八集觉得好狗血不想看了……            
(5星)	 非常值得一看，青春与梦想，诚意之作。            
(3星)	 他们念台词的时候不慎得慌嘛！因为陈思成看的 小村样儿演个富二代过分了吧 谁让人是导演 不过现实是这货的的确确就是个富二代 偶滴个神 汪峰两首歌不错             
(2星)	 没办法欣赏。价值观严重混乱，说《奋斗》假的人，请告诉我这是什么？去你妈的勾二嫂！同样是导演拿剧本给自己耍帅，你和姜文的差距不是一般大！            
(2星)	 就一集直接让我PASS掉。敢再不现实庸俗点嘛。而且我最受不了的就是，大部分看这种所谓小文艺小情调的人都有一种对号入座，一副自怨自艾的苦逼心理。就如当年鄙视奋斗和裸婚时代一样，对这种片我是连瞟一眼的心情都没有！！！！            
(3星)	 演员都有点演的用力过度，包括林夏，但再使劲这姑娘还是属于讨人喜欢的范畴，看完之后只是觉得这三个男人都要不得，我反而中意大哥身旁的那个华勇，就是不知道，丫是不是跟着大哥搞基去了，总之，这片儿又做作又写实。            
(3星)	 刚开始还行~~~中后半部分开始拖~又臭又长！对编剧无语~某些桥段不接地气-_-|||            
(5星)	 主演里喜欢陈思成、张译、李晨、佟丽娅和张歆艺，尤其张歆艺，在《我们无处安放的青春》里很惊艳，从此喜欢她了。杨函数的脸真奇怪。台词不错，很多段子都挺经典的            
(1星)	 有一天我在CBD万达看电影，进影院后电影开始播放，接着看见一个戴帽子的青年男子不停的和身边的若干妞嬉笑打闹，还时不时的站起来往身后看，四处走动，深怕别人不认识他。没错了，这个傻逼就是陈思成。有这么一个深怕自己出不了名的傻逼，想让我认同他的作品，太他妈难了。            
(4星)	 没钱你浪漫个鸡巴！            
(NA)	 现在这些跟风骂杨幂、以鄙视杨幂为品味标榜的人潮，让我想到跟风骂范冰冰的那会儿，虽说杨幂的脑残粉实在有点儿多，傻逼剧也接了不少，但范冰冰何尝不也是这么走过来的？相信这个敞亮的处女座北京妞能毫不动摇自己的走出来，那些不动脑子的跟风们，长点儿心吧，挤兑杨幂一点儿都显示不出来你们高端。            
(3星)	 张歆艺真可爱w跟她在无处安放的青春里面很不同，但都不错^-^....各种烦杨幂...            
(1星)	 一集弃。我真是傻逼了才会点想看啊尼玛！！居然有40集...秀下限么亲             
(3星)	 我妈：“这电视剧的主题是——农村人就是不行。”            
(1星)	 1剧本烂。2演员装疯卖傻。对于电视剧来说，没别的好说的了。            
(5星)	 喜欢李晨，“夏姑娘”真心不错            
(5星)	 你在纽约，我在北京，漫长的离别里，我只做一件事，专职爱你。如果爱情能成为职业该有多好，我永远都不会早退，也永远不会转行，任期就是这一辈子，世界上最幸福的工作，就是做你的专职爱人。            
(3星)	 二十集之后开始狂点快进，但是到了39集却不怎么关心结局了。函数在这片里长得真像曾轶可。            
(1星)	 次牛逼！！！！次牛逼！！！！你以为在北京拍就叫北京爱情故事啊？？！！先反省一下自己的剧本好嘛好嘛好嘛！！！反省一下演员的演技好嘛！！！！            
(5星)	 昨天晚上看完了，记得林夏说的；谢谢你给我希望都让我那么绝望。            
(2星)	 这里头的人没一个脑子正常的，除了伍媚。            
(2星)	 高富帅还真是拥有道德豁免权。一句我爱上她了控制不了即使是哥们儿女喷油大家也都原谅了而且给人歌颂爱情了，那他哪天要是看再看上一姑娘，说我控制不了就是特么性冲动了，那强奸罪对高富帅也不成立了。高富帅万碎！真心一看到疯子内表演就想快进，话说石头演技真赞！            
(3星)	 永远不要低估一个姑娘与你同甘共苦的决心，只要你拿真心来换。             
(3星)	 北京爱情买卖故事            
(4星)	 佟丽娅很漂亮，杨幂很恶心。            
(NA)	 看3集，弃            
(5星)	 很真实的生活写照。没有谁对谁错谁好谁坏都是被生活逼出来的，只是有的人立场坚定一直坚持着自己的主见与梦想于是他们成为了被我们所认可的主流人群，每个坏人都有一段心酸的往事，每个金钱至上的唯物主义都是被现实所逼迫。谁都可以被原谅因为谁都不容易。每个人的青春都是美好而短暂的，享受过就够了            
(NA)	 李晨啊……啥也不说了……我其实很想吐槽你戏内戏外的男女关系的            
(4星)	 结局太牵强。整体还行，我现在是陈思成脑残粉！            
(2星)	None
(4星)	 一个人告诉我，她怕自己成为杨紫曦；也怕我成为石小猛。我笑了，我知道，以前的经历告诉我，我更像是吴狄，我可以和程峰与Andy成为好朋友同时坚持自我，而她可以使林夏、伍媚或者沈冰。我们都会越来越好的。            
(5星)	 人生得一疯子足矣。陈思成光芒万丈。            
(3星)	 39            
(4星)	 杨函数虽然本色出演了一枚贱人，还是有点接受不能。。。这杀伤力还真不小-。-            
(4星)	 &#34;石小猛：我一直不喜欢凤凰男。但这部剧让我对他们产生了更深的同情。其实这部剧最感动我的地方就是他三次去那个38平米的五环外住房：第一次，带着沈冰憧憬美好未来；第二次，把沈冰卖出去后到那里大哭；第三次：有钱以后去那里怀念逝去的美好。这三次都让我差点失声痛哭。 &#34;  人生只有选择 没有公平            
(4星)	 富二代灭穷二代夺爱成功记            
(NA)	 自导自编自演可真好哦，要钱有钱要女人有女人要道德豁免权有道德豁免权，最讨厌这种借着戏剧做春梦的人了，陈思成也不撒泡尿照照自己那张脸。。。丑得个一B哟，富二代应该是什么样，看看雷普利里的JUDE LAW吧！            
(2星)	 这就是一部三观不正的狗血剧。。果断看不下去了。。还什么《士兵突击》版的《奋斗》呢！就瞎扯吧！！            
(4星)	 前半段非常精彩，後半段相当狗血，但即使如此还是好看！这本片子告诉我们，每个人都终将孤独。            
(2星)	 又臭又长。= =            
(5星)	 挺好看的，推            
(5星)	 为沈冰打五星            
(4星)	 开头和结尾还可以中间太拖沓了==关键是里面没有一个人物的性格是喜欢的，爱也不好好爱，摇来摇去婆婆妈妈的看的累死了==            
(3星)	 我怎么觉得那么狗血呢。。陈思成侧脸还蛮好看的。            
(NA)	 这种看了最后一集就能猜到前面39集的电视，我应该可以标为看过了吧？！            
(NA)	 没人能全身而退，真的            
(NA)	 富二代经适男屌丝的故事，最后屌丝的逆袭失败，世界果然是富二代的T T...屌丝要反抗只有坐牢的份儿，编剧一定是D8的人...要不怎么能写出这么D8风格的作品            
(5星)	 让我哭的从来不是爱情。我打算写个影评&gt; &lt;但愿不要拖沓！            
(NA)	 你眼中有属于你的北爱，因为你有属于自己的青春，自己的生活。没什么谁对谁错，一切都是你的选择。            
(5星)	 这分数都是被黑幂给扯下来的吧..张歆艺真心很美.汪峰听着还是很感慨的..            
(4星)	 此片很有诚意,各演员演技也过关,是部不错的作品 ,函数演技可圈可点,不过,已被N多人说成萝莉党的本人相当淡定,原本对函数没意见..经黑子这么一黑,叛逆心理作祟变得挺同情喜欢她的(高滚冷艳了有木有!!)主要是黑函数层次太低,实在搞不懂有必要那么极端吗?函数抄过你们家还是上了你们的父母呀!            
(5星)	 客观的说,&lt;北爱&gt;还不错不是吗，批评《北爱》的人说符号化太强，如果都是路人感觉的角色，谁还会去看呢，没有过多的意思，只是觉着陈思成这样年轻的导演，导出了这样的戏，真的让人看到了希望，近年来的电视剧都太产业化了，一古代戏，满屏都是武则天，一军旅戏，满屏都是血肉模糊，一穿越戏，满屏美女            
(3星)	 因為楊冪被罵的很慘我才看的 發現她也不是主角 有一集沒一集的看吧：）            
(4星)	 不喜欢沈冰            
(3星)	 抢来的。。。嗯哼，和妈妈在家 看得，妈妈说我的想法不对。可是我只爱林夏这里面。            
(5星)	 我是丫丫脑残粉，而且看了几集还过的去……            
(4星)	 林大侠            
(3星)	 女人不是在同时地爱着两个男人，而是在同时地比较着两个男人            
(3星)	 结果做到了生活上的林夏，感情上的伍媚。 看前20集就好，后面太狗血。            
(3星)	 看热闹吧还成。八百年不看国产剧的主儿。适合边玩游戏边看。~            
(3星)	 停不下来，通宵看的，太冗长了。人物方面的话，看来看去也没觉得沈冰又什么特别，值得疯子那么爱。相比之下，林夏那姑娘有血有肉多了，有些桥段都挺好。唯独，结局我特别特别不喜欢，陈导演，不用非这样吧。             
(4星)	 还可以~ 里面的关系真是复杂啊！~            
(2星)	 跟着我妈看这玩意儿...喜欢林夏那姑娘！（别的好像没什么想说的            
(3星)	 室友很爱看，我也被迫扫了几眼，看得我很想睡觉，就放弃了。其实还是喜欢杨幂演的那角色，希望她跟李晨那角色在一起~虽然对杨幂无感。            
(3星)	 演員選得真心好  乍一看士兵們都轉業了哈            
(4星)	 永远不要低估一个姑娘与你同甘共苦的决心！            
(4星)	 我特别理解石小猛，他的人生才是被疯子和他爸给毁了呢            
(4星)	 陈思成真是越看越帅&gt;3&lt;            
(3星)	 杨幂的腰子脸越来越明显，没钱打胶原了么？说话真难听完全本色演出吧？程峰长得比较像以前的某位男士。呵呵            
(4星)	 人生永远只有一次青春 这一次要怎样才能无怨无悔            
(4星)	 只能说除了应景没有别的优点，虽然不能成为经典，消磨时间还可以            
(3星)	 二十五集之后、基本不能看了，前面拍的还凑合。。            
(4星)	 石小猛这不是人渣吗            
(3星)	 陈思成的意淫片。            
(5星)	 蛮好看的。            
(4星)	 挺好的 如果整片的调色都能像片头一样就更好了 结尾没说明白 给观众更多的遐想也挺好 期待《北京爱情故事2》 另外 感觉张译演的挺好的            
(3星)	 还不错            
(5星)	 可惜生活必须向现实妥协，生活必须向理想低头，青春一去不返了，最后的最后我失去了生命中最美好最温暖最真挚最纯粹的爱情，我甚至连自己也丢掉了，我终于失去了你。  一场青春的祭奠，成熟的祭奠，成长的代价。几度泪流满面。            
(5星)	 终于这部剧让我追完了，说实话，里面的感触很多，也让人看到人性中美好的东西。要明白你最应该珍惜的是什么，然后好好的守护，幸福其实很简单。            
(5星)	 总算看完了,为沈冰这样的好女孩哭啊,现实中再也找不到这麽好的女孩了。从剧情看疯子爱上沈冰就是一败笔,幼稚的疯子,这种男的确只能用垃圾来称呼!我们中国人的道德观在哪里?为吴魏这样的男人赞,            
(3星)	 北京脑残女传。编剧还有李晨哥哥呢。挺省钱的            
(5星)	 喜欢林夏唱那首嘀嗒，这部戏有点像青春致敬的意思，主创也是把它当做记录2010来演，我看到了张译那个糟烂的世界，看见了林夏得不到的爱情，看见了思成疯狂的青春，看见了杨幂春色撩人的虚荣……真实是场景 真实的人，仿佛就在北京爱过一次！！            
(4星)	 追到第九集了  挺好看的  分数低感觉是被黑了   太多人黑杨幂了  =。=            
(5星)	 就好这北京口音。。            
(2星)	 冲着陈导去的 =_= 第一集一股俗世的味道……（拿来和‘东爱’比太作孽了！囧）后面几集也……还要商战神马的我4看不下去了 -- 为什么小猛就非要黑化不可呢？囧 好无辜……反正没一个角色中意啊我去！（╯－＿－）╯╧╧ 李晨小乖乖估计也会遭黑手……            
(NA)	 囫囵吞枣看完，结束的时候一直反复的背景音乐是汪峰的《再见青春》，忽然觉得再没有比北方清冷的冬天更贴切“再见，青春”的情绪了，嘴里哈出的白气，冻僵的手指里夹着的一直点燃的烟，深感倦怠的同学聚会以及种种            
(3星)	 在被号称世界末日的2012年，遭遇一场与现实生活的爱情保卫战，导演陈思成没有给予一个最终的结局。他认为，故事的结局在每个人的心中，是继续爱情还是放弃爱情，这都是青春的代价。在陈思成这里，本片是他对青春的诠释，在我们这儿，本片是一则现实的寓言，抑或未来的预言。在现实里，你还相信爱情吗？            
(NA)	 点几下鼠标的事儿            
(4星)	 能明白些什么            
(4星)	 不错！            
(2星)	 实在没有功夫耽误在看你们叨逼叨上头了            
(4星)	 我们的爱 我们的青春 我们的种种 所有的梦想和希望 所有的激情和感动 都在这里 北京            
(3星)	 佟丽娅大美            
(4星)	 好的我看完了 无话可说            
(4星)	 屌丝斗不过高帅富  人人随时可能被绿 备胎无处不在 木耳没有好下场 中关村给不了国贸的爱 北京不相信爱情            
(4星)	 陈思成和李晨都还蛮喜欢的，泌泌演技好过佟佟。            
(3星)	 这个故事最终还是落入俗套一去不返。汪峰的《再见青春》帮大忙了，不然编导的生涩就会更加明显。有些台词和细节还是很不错的。            
(3星)	 看的虐心，可怜的小猛~！            
(4星)	 为神马我要追这么狗血的电视剧啊……是因为它还难得有点真情吧。            
(3星)	 富二代撬在广告公司工作的屌丝的村炮女朋友的故事            
(2星)	 张译那段故事相对于其他人还算真实，我是沈冰我也会死心。佟阿姨那俩酒窝好甜啊            
(4星)	 各种现实+各种狗血，很多台词很经典。            
(4星)	 虽然看着觉得各种不现实，可还是看完了。有人说林夏太不现实，其实有很多人都像林夏这样，不过她们默默的在坚持，没有林夏那么奔放外露而已。李晨啊李晨，我高中时期的梦想！！！            
(4星)	 N年没一气呵成看完一部国产剧了。也说不上哪儿好，可能因为别的同类热播剧多少都有点儿惨不忍睹。已经过了为任何人任何事要死要活借酒消愁的年纪，共勉。            
(3星)	 无关本剧，人生最大的遗憾可能就是没有谈过一场在北京的恋爱            
(4星)	 其实沈冰爱的是云南高中时的石小猛，所以在石小猛提出分手时，表现得并不非常伤心。其实，雌性动物潜意识里爱的都是圈子里的上位者。            
(4星)	 还不错，适合打发时间。            
(4星)	 来自@雨田凡：有一种成长叫程峰；有一种友谊叫吴狄；有一种现实叫石小猛；有一种悔悟叫杨紫曦；有一种执着叫林夏；有一种明智叫伍媚；有一种拼搏叫吴魏；有一种疼爱叫邵华阳；他们组成了一个故事叫@北京爱情故事。  ╭(╯^╰)╮很少看国内电视剧，却不小心看了个精光。是该现实的时候了么？            
(4星)	 很久没看过让人觉得这么“拧巴”的一部电视剧了。            
(3星)	 三星半            
(4星)	 所有的都对石小猛不公平            
(3星)	 最恶心前女/男友大集合。37集，吴狄真爱是疯子。            
(4星)	 没事瞄两眼，沈冰怎么那么好看呢？原来是佟丽娅。三个人的公司完全是KKR的翻版啊，不过属于放屁，中国哪有这样的牛逼公司。            
(5星)	 《再见青春》的旋律一直在我耳边响起，《那些年》过后再一部讴歌青春岁月终结的作品。富二代和凤凰男追逐爱情最后两败俱伤成了贯穿始终的主线。灿烂的理想再一次病倒在残酷的现实底下。有多久没有为爱动容我不知道，但是，疯子、吴狄、小猛还是”春夏秋冬“四女主，我们总能从他们当中找寻到自己的影子            
(4星)	    不管怎么说，熬了2个晚上还是看完了，前面拍的真不错，后面剧情有点墨迹，我还想呢怎么找这个人演富二代呢，就没那气质，结果发现人家是导演，我就释怀了~   后面的剧情太莫名其妙了！~~~~~            
(4星)	 看得我挺恍惚的            
(2星)	 狗血无比还是坚持看完(╯﹏╰）我实在是太闲了            
(3星)	 缺一集            
(3星)	 1,这戏到底多少集啊？我看到了39这里标着40。。2虽然都看完了不过基本上大部分时间是在听这剧，比不了奋斗，而且明显感觉拍着特作的感觉让我找不到共鸣，好比一个劲儿的烘托疯子的有钱，导演也忒幼稚了吧TT            
(4星)	 挺有时代教育意义            
(3星)	 莫小棋、张歆艺大亮。            
(5星)	 每个北漂人都有一个梦，不管最后变成了哪儿种，起码都是为了梦            
(2星)	 演员一颗星，主题曲插曲加一块儿一颗星。能把仨男主角都写得令人反感也怪不容易的。。。            
(5星)	 “尽管这成长之痛铭心刻骨，但我们却无法拒绝，只能正视。再见了，过去。再见了，曾经。再见了，青春。“成长必须要如此这般痛苦和悲伤么？如果可以选择，那么我宁愿选择永远做一个孩子。流了很多眼泪，为各种复杂纠结的情感和不舍。羡慕林大夏的爽朗率真和傻劲儿，我永远缺乏狠狠生活的勇气和热情。            
(4星)	 北爱是部好剧！            
(NA)	 当我妹跟我说石小猛因为报复而强奸了林夏后，恶心的决定不看了。陈思成是有多深的孽根性才能把戏拍成这样，啧啧啧            
(2星)	 完全是导演的自恋式出演吧。。自以为新意的开放式结局，和现实并不搭调。快进看完了……            
(1星)	 不晓得这种高帅富完败穷矮丑抢走女神，黑木耳玩转屌丝的电视剧有啥子看头。另外，陈思成硬是当导演啊，每个镜头都写满了我很帅的语言，但是还是摆脱不了那股受气。。。            
(3星)	 爱情买卖。。时代的悲哀，我们的悲哀。            
(3星)	 有意思。什么东西都表达的很明白。超喜欢北京。可惜我不是北京人哈哈哈。            
(4星)	 人生得一林夏死亦足以。嗯，还有疯子。            
(5星)	 这结局，太过悲伤。可我还是固执地愿意相信，林夏会幸福，沈冰会醒来。            
(2星)	 演员一个比一个矫情，一点儿真实感都没有，都知道您是在北京拍的，别老一集出现好几个镜头的CCTV那个大裤衩了。我怎么就那么不待见李晨呢。            
(4星)	 觉得挺不公平的，为什么浪子一回头就有江山与美女，还有朋友，虽然后来的石头变质了，但是看的挺难受的            
(3星)	 要不是为了李晨才懒得看呢。。。13集弃            
(NA)	 看后唏嘘，这里是天堂这里是地狱，爱情友情就是全部的青春~当一切蒙上金钱利益，青春再见了~            
(3星)	 我 。喜欢 。前面的两个字 。和 。后面的两个字 。一直听不到 。中间的两个字             
(4星)	 张歆艺太太太可爱！！！！！            
(3星)	 这片三观及其不端正。从头到尾就说了两件事：第一，金钱很重要，重要的可以抛弃一切，朋友、爱人、道德观在金钱面前都是狗屁。第二，回头草很好吃，吃素有益健康。喜欢大药瓶子邵华阳，心疼敢爱敢恨的林晨，其他角色都去死吧！            
(3星)	 杨幂好贱啊啊啊！！！毁了我们的士兵帮！！！            
(5星)	 不错不错，陈思成要火啊            
(5星)	 为了林夏和沈冰            
(4星)	 我就是内个因为士兵帮所以没有打一星的人。。。。成才你还是不要写剧本或者当导演了，你还是回红三连五班吧。            
(4星)	 我 喜欢 前面的两个字 和 后面的两个字  一直听不到 中间的两个字            
(NA)	 你这样爱来爱去我都老了。            
(5星)	  支持陈思成，力挺陈思成！真是个全才！！能演能唱能导！            
(5星)	 好看            
(4星)	 看了第一集 真的出乎我的预料 光看演员阵容还以为那种白痴疯癫的偶像剧呢 原来拍得还挺文艺挺内涵的             
(5星)	 林夏在疯子母亲墓前对疯子说:&#34;谁愿意长大啊,这种味道可不好受了.那是一种违背自然规律的成长,眼睁睁地看着自己血肉糢糊,支离破碎,被撕扯着,不得不成长的成长.&#34;&#34;我谢谢你给我的希望,都是那么地让人绝望.&#34;            
(2星)	 陈思成一脸乡土气 演高富帅没压力吗            
(3星)	 槽点太多~ 诶~ 谭凯怎么就演得那么用力!            
(4星)	 看这部戏这么火，所以也凑个热闹，看看现在的年轻人都爱看什么。。。            
(4星)	 对于在北京有过故事的人都会有一些共鸣。汪峰的北京北京好听又应景。            
(NA)	 用力过猛            
(4星)	 我们还能不能一尘不染的爱着对方            
(4星)	 爱情就像鬼，说的人多，见的人少。            
(4星)	 最后太虐心了。特别不喜欢沈冰，杨幂，无敌就是个傻子嘛，可是他最好了。我很喜欢石小猛啊，张译是演技派，哈有林夏，大家都爱你和大药瓶子~~~还有伍媚            
(1星)	 如我所料，这故事里的男男女女都是大贱人。            
(4星)	 三星半，上半部是垃圾，下半部是动容            
(3星)	 草草看过，觉得后半段狗血得没有技术含量。全片所有人物都在比着脑残么？莫小棋的伍媚最合我意，陈思成没有《春风沉醉的夜晚》里面帅。            
(NA)	 进入社会后，所有的价值观都会改变，可怕的是，你仍在坚持怎样的价值观？你把自己的价值观变更为什么了？什么是对？什么是错？            
(NA)	 和失恋33天一样同属于《北京装逼指南》            
(3星)	 究竟是谁改变了谁            
(4星)	 确实是现实到后来我都看不下去了！实在不知道为什么要把吴狄跟杨紫曦安排在一起，现实中还真有这样的男人，被对方这么伤过，还能像没事发生过的在一起吗？这个太费解了！            
(NA)	 行了，我带着一种奇怪的意图看了这片子，结果留下了一种不伦不类的感觉。            
(5星)	 作为导演、编辑、主演，无论是制作还是剧情还是演员的选用，陈思成真的很成功。            
(NA)	 长大是每个人都不可逃避的责任，懂得失去与收获，便长大了            
(5星)	 友情、爱情、岁月，青春，这是我迄今为止看过的最好的电视剧了；小孟，沈冰，林夏；邵华阳；疯子一个个个性鲜明，有血有肉！            
(5星)	 想说得有很多。            
(NA)	 天哪 这男人的分析力            
(3星)	 都还太年轻了。看到第三集就弃的人没有资格说什么。。生活需要沉淀。。反思和积累。            
(4星)	 林夏真懂事儿            
(4星)	 再见 青春 再见 美丽的疼痛            
(1星)	 我忍着恶心看完，看它有多恶心。最后还是多怅惘的，浪费了这么多时间看这玩意儿～            
(4星)	 屌丝复仇愤愤回忆录            
(NA)	 真心深深赞叹佟姑娘的美貌！            
(2星)	 可怕的仇富心理    可怕的金錢     可怕的愛情腦殘            
(3星)	 前面的很多就和片头曲一样好，结尾却和片尾曲一样矫揉造作矫情各种。。。但是北京，北京。。。            
(3星)	 来只狗，把我的心也吃了吧。            
(3星)	 一切只为林夏，每晚为她哭死，以为她能守来大药瓶子，结果却依旧是放弃。            
(3星)	 蛮虐的。吴蔚的死有点模仿《白色巨塔》，就是日记矫情了。都市剧最好看的还是《孽债》、《重案六组1》和《老爸快跑》。不过北爱里描绘了云南，还不错。            
(2星)	 好二啊……            
(4星)	 石小猛严重破坏了我对“史班长”的美好印象，太讨厌他了，看了二十几集直接看的结局，就喜欢张歆艺，乖。            
(3星)	 最看不起石小猛这种男人，最看不起那种为了一个女人放弃兄弟情谊的人，做男人失败，做人更失败。。。恶心。            
(4星)	 为什么这部剧北京一直就 只有冬天。其实我想说这个故事还挺 小四范的，居然活生生让我两天看完了- -。            
(3星)	 从程峰他爸去找石头做交易我就不想看了，所以给个3星吧            
(4星)	  从不喜欢疯子到喜欢他！ 最真实也最真诚。虽然结局不胜美好。             
(NA)	 够狗血的，but还是按着性子看完了            
(4星)	 看完，各位晚安。            
(2星)	 两个小弟建议我看,可就看了第一集二十分钟,怎么都那么做作啊,演的,拍的,还有台词.我看不下去了.半集弃.            
(3星)	 林夏是个好姑娘~~            
(4星)	 吴魏啊吴魏。。            
(4星)	 结局很仓促            
(NA)	 最后经典的不是结局，而是大哥吴魏生前的话：你在纽约，我在北京，漫长的岁月里，我只做一件事情，专职爱你。如果爱情能成为职业该有多好，我永远不会早退，也永远不会转行，任期就是这一辈子，世界上最幸福的工作，就是做你的专职爱人。            
(4星)	 杨幂扣一星 张歆艺 加一星= =            
(3星)	 OMG杨幂那张一亮相九充满了恐怖气息的脸啊。。。。大脉络还行，各种细节完全经不起推敲啊，太哄孩子了；然后，隐隐的山寨气息啊。。但是真让人有共情感啊，都想给打4了            
(3星)	 情节过于虚构和理想化，台词不错。该剧部分改变了我对陈思成的印象            
(3星)	 这部剧起了个讨巧的名儿。            
(4星)	 在城市里爱情被生存压榨得艰于呼吸，可这绝不是放弃爱情的理由。这是一部关于爱情青春以及成长拍给我们自己看的片子，面对这些难题，我们每个人都不会轻松。            
(4星)	 终于把这部堪比韩剧的虐情剧看完了。喜欢沈冰，吴狄，伍媚这几个人物。这部剧有很重的佛教因果报应色彩。            
(4星)	 过年陪我妈看的..            
(1星)	 脑残的编剧对生活的理解还不如一个20来岁的姑娘。或者说他假装以为所有观众对生活的理解都仅限于高中生水平            
(NA)	 再见 青春 再见灿烂的忧伤            
(4星)	 我可心疼林夏這樣的女孩兒了… 自始自終就她沒有變過 可愛漂亮單純快樂 也就她能讓早就攻於心計的石小猛仍然那麼坦誠的跟她喝酒了 看著林夏我好像還能看到以前他們沒心沒肺開開心心的在一起的日子 可是 唉 怎麼能這樣呢 這麼好的姑娘 ( &gt;﹏&lt;。)～             
(3星)	 全剧围着这个傻逼富二代转！抬头一看原来是导演！函数演得挺好。            
(4星)	 第一次看这么长的电视剧，再见，青春！            
(4星)	 林夏            
(4星)	 好久没看中国电视剧了，很精彩。            
(4星)	 故事的开端不成立,大学里北京的基本和北京的玩,外地的和外地的玩,就算混着地域玩基本上经济水平也差不多,不然不到四年早就混不下去了。受不了杨幂那脸和陈思成扮酷！唯一觉得正常的人就是伍媚            
(5星)	 北爱不仅仅是一个故事，更是一段对时光和岁月流逝的追忆以及成长的祭奠             
(4星)	 爱可以战胜一切 不应该被任何打败            
(1星)	 太扯了！为什么编剧的脑子可以这么天马行空！怎么也没人管管！我还这么可耻的把它看完了。。。。            
(3星)	 最大的亮点是20集的燕小六和21集的昆明警察~~            
(3星)	 喜欢林夏            
(4星)	 林夏对疯子，疯子对沈冰，沈冰的爸爸妈妈，吴魏对伍媚。每一个真性情的人，都显得那么与众不同。            
(3星)	 截至最后一集都没有好下场            
(3星)	 还能再脑残一点么            
(1星)	 真心说，演的最好的是杨幂啊！这么烂的剧是怎么给捧起来的我他妈的。。跪了。。内张歆艺演的是傻逼么做作到极致了好么            
