http://movie.douban.com/subject/2989755/	命中注定我爱你 命中注定我愛你
(4星)	还是同学推荐看的，前面实在太蠢了哈哈哈！结果中间竟然一反台剧常态来了一发大逆转！太出乎意料了！结果现在无聊就拿出来重温一下，真够寂寞！！
(3星)	无语了。。。
(2星)	男女主角蠢钝如猪，剧情更是各种脑残，女二男二长得还行
(NA)	就是觉得好看吖
(3星)	开始不错，到后面就越来越无语。读过小说之后更觉得失望。
(3星)	终于看完了。71集也太浪漫了吧 受不鸟~~阮的表情很有爱
(NA)	一边画稿子一边看挺好的……OTL
(1星)	==
(4星)	Dylan很帅啊；陈乔恩还不坏；配角都很好玩：很娘的anson，女主妈妈的“xxx儿”，女主胖胖的二姐好可爱。。。总的来说是除流星花园外最好的台剧了
(NA)	我讨厌陈乔恩
(NA)	不吃不睡看完了，爷太猛了
(1星)	不得不说的，除了阮经天，完全不知道在看什么，奇恶的编剧和女主，唉，可惜男一男二两大帅哥被女一毁掉了。
(NA)	湖南卫视看了很多遍。
(3星)	也就一般吧。。。。
(3星)	国庆放假陪妈妈看系列一
(4星)	两只我都蛮喜欢的。阮经天比明道好看多了……
(4星)	我这两天看了，觉得很不错。陈欣怡后来变得坚强又独立，非常好~~
(NA)	我觉得比 长征好看多了
(3星)	沒有想象中好。只哭了一次，就是孩子沒了那場。
(3星)	跟着老婆看偶像剧！
(4星)	前半部分比較好。男二總是比較可憐。。
(5星)	灰姑娘自有美丽去迷倒王子
(4星)	回想起来 简单的快乐最难得
(3星)	陪老妈看台剧
(NA)	我们家心仪也是枚好姑娘噢~（心）
(2星)	男主女主都太丑了。。。看不进去
(5星)	卧槽 我就是觉得这好看！！！
(4星)	三颗星给阮经天，演得的确好。剩下一颗星给小狗狗。
(3星)	训练脑残的绝佳剧集~
(NA)	拖拖拉拉了一年，最后还是给看了~~收视率高是有道理的，后半段比较有重量
(3星)	我只能说我太无聊了 居然看偶像剧 但是不得不说 男主角真的有点贱。。。
(3星)	前面好好笑。后面很拖。看的有点累。还有。我也一直在想如果我不能生小孩那他还会不会娶我呢？
(4星)	陈欣怡流产那段狂飙泪啊~~~~ANNA并不坏，实属碰见情敌后的正常反应。小天的演技真是8错，其他人....演到20几集就很OK了 非要拖到39集。哎。。。冲着小天给4星。
(5星)	看了5个月终于看完了，只是已经要坚定，坚定找到美好~
(3星)	太长太墨迹太内个啥了...可我竟然连跑带跳看完了...
(3星)	快速看過
(3星)	三星半，收视率那么高也不是没有理由的。不过女二完全被“杯具”了啊……
(3星)	打发时间嘛……
(3星)	上海那段取景不错，但是自圆其说的对白太雷。
(3星)	我果然还是不适合看偶像剧，这剧情也太唬烂太瞎了呱？要不是冲着阮经天，我早看不下去了！！！
(4星)	喜欢阮同学，是个有趣的人。
(4星)	个人觉得还可以 就是看的我智商低
(NA)	小天的哭戏，超级喜欢~~~
(4星)	狗血~
(4星)	雖然是灰姑娘的故事，劇情還是很搞笑
(3星)	偶像剧就是拿来消遣的。。
(NA)	请勿在吃饭时间观看。
(NA)	好看吗？
(4星)	1.编剧是要逼死我么？2.我哭得死去活来3.极光说他“嗷”得一声就哭了。4.我很想看极光“嗷”得一声就哭了。
(4星)	推荐原因不只是因为阮经天
(3星)	关于意外的好结局
(NA)	我装嫩~
(4星)	原来小说变成电视剧是这个样子的啊？
(NA)	经典爱情语录，励志灰姑娘变身记
(NA)	好洒狗血~~~
(NA)	鄙视我吧，我竟然迷恋般地看完了，一个月的下班时间~~
(4星)	快进，快进，快进。这只是偶像剧。不费脑细胞
(NA)	哈哈哈 我用了一个通宵迅速拉完了这部 当麦同学说小天帅的时候我赤裸裸地嘲讽了她 但是 后来我又倒戈了…… 我对小眼睛粗眉毛肌肉线条好到哈拉的男人没有抵御能力啊！
(4星)	看的我一直笑哦！就是演石安娜的演员嘴巴长的真的很怪，怎么看都不顺。
(5星)	因为小天  给个力荐
(4星)	我十分喜欢纪宝贝……囧
(3星)	实在是扯蛋的偶像剧 因为小天才3星
(3星)	“你是不是陷害我？！！！！！”有些情節真的蠻好笑的。
(5星)	第一集雷到我了，内心强大的女主角~
(4星)	芒果台看的。果然是台剧。剧情狗血。
(4星)	可爱、搞笑
(3星)	呃，偶像剧永远都是这么脸谱化~
(NA)	阮经天老好看了
(NA)	無聊的時候看還挺感動的。
(NA)	小三命中全套方案集。第一集的床戏，低俗的很艺术。
(4星)	哈哈,看偶像剧认真你就输了~
(4星)	小天啊~~~~~~你这个演技男。我到现在也不能承认郭绍南和纪存希是一个人演的这个强大的事实
(3星)	唉唉，到底还是偶像剧。
(4星)	偶像剧真的还蛮棒的。
(4星)	小天帅~可是我还是觉得男主角是用来讲故事的，男配角才是用来爱的…超爱温柔体贴成熟又深情的Dylan！顺便，真的超喜欢第九集~还有十六集两个人手牵手追着一张草图在小巷奔跑的感觉~只能说每个人有不同的活法，女主角就是喜欢自己笨笨的样子而不是女强人的感觉。超级心疼配角们。
(3星)	被妹妹逼着看完了 囧
(3星)	=v= 台湾剧里出现徐家汇天主教堂。。好穿越。。
(3星)	眉毛像毛毛虫的男人很可爱嘛。
(3星)	女人果然是要有自信的，自信的时候最美。
(3星)	太巧合了吧。。
(5星)	每看完一部偶像剧，总会空虚那么一阵子，就像他们进了我的生活或是我进入了他们的生活，故事结束时他们走了或者我走了。我是如此恶俗。
(3星)	偶爾看看偶像劇會青春喔
(5星)	最近看偶像剧…不动脑筋
(5星)	从第二集就开始哭。力挺陈乔恩。不那么讨厌阮经天。大大大爱陈楚河！！！以后我儿子起名就叫Dylan~
(4星)	故事的逻辑性比较强，现在想来，《下一站幸福》里却有很多漏洞和牵强。PS:乔恩很正，阮经天的演技比想象中要好。2010.03.23,OVER.
(NA)	还不错
(3星)	幸福不就是这样吗？让人感到很温暖，很安全，却又难免有种如履薄冰的恐慌。
(3星)	陈乔恩身材好= =
(4星)	虽然编剧很夸张 但演员都还不错
(3星)	08年刚开播时看了几集，09年别人说好看时看了几集，10年电视台上映又看了几集。前前后后看了三年，终于看完个大概。囧 其实还是挺好笑的。它还给马先生的必然与偶然的统一做了个感性的总结，叫命中注定。
(3星)	小女生一样的跟风看偶像剧。虽然桥段生硬，但是大冬天看起来也是温暖。觉得自己仍然停留在爱做梦的年纪，跟随“第一次偶然，第二次必然，第三次命中注定”，把所有的成熟稳重都甩得远远的了。
(4星)	阮经天真帅
(5星)	差不多一年半以前已经看过了，几乎从不看台剧的，很期待的又再次重看
(3星)	刚看完，我是out了，哈~！
(4星)	寒假的我实在够无聊。而且我现在是怎样，泪点有够低！看这个都会哭耶，o(╯□╰)o冲着它让我哭了，我打四星
(3星)	偶像剧好久没看了，这故事好就好在没有坏人，故事越做越有水平
(3星)	这是一盘小女生的菜，我好羞愧……
(4星)	看完之后，觉得阮经天也挺帅的~~就爱偶像剧
(4星)	噢我能重修改下评价么--又重看了遍觉得小天这孩子越看越他娘的顺眼喔|||||插曲还怪好听的||||||其实拍的真的不错 就是最后几集有点拖 还有中间某部分有点傻||||可以原谅
(4星)	小眼睛和粗眉毛，都很难忘。
(4星)	偶像剧里很不错的了。加油陈欣怡！
(4星)	定力不足的傻小孩和善良三的浪漫爱情 鬼扯又温馨
(5星)	大爱
(4星)	看偶像剧哭下笑下知道自己不是最傻的就好。。。还好。。。我还不算便利贴。。。嗯。。。学习下打扮啦家装啦。。。另外我也有点想学陶艺了。。。歌还不错。。
(3星)	啊，跟妈妈一起看偶像剧啊。。
(4星)	搞笑，而且台词不错，每个孩子都是上帝牵着手来到人间的。。等等，流星花园之后第一部感冒的台剧。。。
(5星)	老婆和我一齐看呀
(4星)	- -```
(4星)	阮经天还不错，难道台湾除了陈乔恩没有其他演员啦。。。每次都是她。。。
(2星)	你还可以再yy一点
(3星)	纪念品死的那刻哭了！
(3星)	给我的感悟就是 要嫁有钱人并且要能生= =
(2星)	真的看不下去
(4星)	这年头 男一号都不成熟，男二号都很悲情。我觉得这个电视剧是很好的恋爱教材，告诉我们，爱需要牺牲和付出。。。。
(5星)	看的我又哭又笑的（最近泪点有变低= =）年纪越大越爱看这种白烂没营养的偶像剧了
(4星)	最近常常看到凌晨4点半~白天打瞌睡上班~
(4星)	去年的这个时候 我还被迷得不行了 哈
(4星)	偶像剧就是，永远给灰姑娘一个超现实的纯美爱情，以安慰那些在生活中沉沉浮浮但孜孜不倦的可怜女孩们。
(5星)	太有爱了~
(3星)	fuck偶像剧
(NA)	我为什么要看呢。。。
(2星)	看了一半看不下去了
(4星)	结局拖沓。
(5星)	20091213-1216 用了四天時間日看夜看，終於追完了。心情不好看些超現實的愛情片子就會很不錯！阮經天好有型 :D。雖然是台灣的偶像劇公式差不多, 不過也有高低。這劇劇情緊湊，很攪笑，有時又很(太)浪漫。比「放羊的星星」還要好！不過女主角真的太太平凡了，討厭死這性格的人
(3星)	也算是最近几年最好看的台剧了吧，至少逻辑还经得起推敲，感情也还算写实，床戏也蛮逼真
(NA)	被逼着看的...
(NA)	我就喜欢这个
(3星)	求个完整
(4星)	台剧里不错的了。爱与坚强 女孩儿演技不赖
(3星)	愣是没看完。不过阮小天帅。
(3星)	这其实就是一个灰姑娘意外做了小三但本着良心主动退出却反倒被扶正的老套故事。果然小孩就是婚姻的基石么，不然男主那非你不可的气势从何而来。话说我是这种长一副便利贴的脸可内心迥然不同的人物……哦，于是我光棍了。
(3星)	轻松的电视剧，女一号女二号都很做作。没耐性看完。
(NA)	我怎么现在看起偶像剧来了
(4星)	脑残片
(5星)	為了我哭掉的那些眼淚...
(4星)	小天身材很好啦
(3星)	前面就还好，后面就跳着看了
(5星)	偶像剧中的典范
(3星)	便条贴女孩的命运就是早下班回家也只能看偶像剧而已你再说我就掐死你，o～～～ real man
(3星)	就在这里我认为陈楚河给我的感觉好像木村
(5星)	命中注定百分之百的可能~
(5星)	幸福到让人哭的幸福
(5星)	又翻出来看~~好看~！
(4星)	我喜欢阮经天不经意的可爱笑脸。要是有这样的儿子这辈子太满足了。无比羡慕小阮同学的妈妈。
(2星)	暑假这几天全靠它打发时间
(3星)	放松心情就看看吧。。阮经天是马教主转世么。咆哮咆哮的。不过骗了我很多眼泪。哎眼窝浅的人
(4星)	刚开始很不喜欢，因为小天所以选择不看。第一集就让我觉得很弱智。但是我却是因为这部剧成为Ethan的忠死粉。
(3星)	啧啧啧啧。。化妆师神奇的。
(NA)	我喜欢看是因为里面的人都又蠢又可爱
(NA)	想太多，奇异幻想剧
(4星)	少有的能给四星的台剧
(3星)	后半段真的蛮烂的。。。
(5星)	小天帅啊
(5星)	2009.7～8.翡翠台 早上10：30
(5星)	千万别看中国引进版，情节不一样！
(5星)	虽然依然对偶像剧的经典套路嗤之以鼻，但还是一把鼻涕一把泪地看完了。简直就是本年度疯狂催泪大片TAT
(4星)	嗯 还好  起码没有太让人不喜欢的地方 没有一些小制作的偶像剧那么恶心人  主角看着都还顺眼 我想 如果一部偶像剧可以让人看后真心的哭过也笑过那是不是就算成功了？我们对偶像剧还要求些什么呢？始终不太明白陈乔恩为什么会红，因为觉得她真的长得不好看。阮经天戴面具跳舞的表情性感死了
(4星)	唉，好久没看偶像剧，忽然觉得这个编剧很有趣，虽然很简单的故事，灰姑娘与王子，但是看下来却也有份莫名的感动，也许他好就好在单纯，没那么复杂的人物关系，也没有绝对的坏人吧。ps：这几个演员的眼泪真的好多
(4星)	偶尔看看看白痴搞笑剧打发时间也不错~~
(3星)	小小烂了...但阮经天怎么会这么帅啊....
(3星)	给3星是奖励把它看完的自己的
(4星)	看了很高兴就是王道
(4星)	唉。。两个可怜的女人。。男人果然都不是东西= =#
(5星)	爱死了~~~~~~~~~~小天！！！！！！！！！！！！！
(5星)	正太····统统去死吧！
(5星)	小天！！！
(5星)	真的不错，像我这种不看连续剧的人都说不错～那一定不错～灭哈哈～
(4星)	当时真是无聊透顶了看这种没营养的台湾偶像剧。还是很喜欢小天滴~
(5星)	非常愛。
(4星)	偶尔发下花痴，感觉还挺美好的。
(4星)	小天还是在败犬里比较真实+可爱～
(4星)	被偶像剧感动了
(4星)	陈欣怡傻得冒泡 纪存希是新好男人 娘娘腔也很有喜感 最中意的其实是陈林西施女士儿
(5星)	好看！
(4星)	加油，陈心怡！
(4星)	传说中的烂结局毁了一部原本的好剧……看在阮小天的份上还是打个四星
(3星)	在同事的推荐下看过，还可以，打发时间吧
(4星)	四颗星只是相对于台湾偶像剧，这个领域他们已经很棒了。。
(3星)	好喜欢阮经天啊，就是剧里脾气太烂啦
(3星)	我爱阮经天啊。。。
(3星)	看了一集就看不下去了
(3星)	陈乔恩
(4星)	让姐姐纯情一段时间吧~~~
(NA)	重拾亚洲价值观。
(4星)	命中注定。
(5星)	弱智儿童欢乐多啊
(NA)	命中注定个狗屁
(5星)	应该让你乘着飞机展翅飞上云端，然而过多的思念让我选择纪念你！
(4星)	很好看呃，虽然我很少看脑残剧的嘛，但是这个不脑残=。=
(2星)	好看个P……看一集就没耐心了。
(4星)	公主是张便利贴，王子是个死小孩。
(3星)	好红哦。。。可是没营养
(3星)	被逼着看的。。。
(4星)	安全感是自己给自己的！诚然如是。
(NA)	水痘阿水痘
(4星)	台湾偶像剧里我比较喜欢的。
(4星)	这世上，最可悲的是。你站在我面前，我却不知自己爱你。
(4星)	阮经天的邪笑儿太有feel儿了..
(5星)	男女主角，没有我不爱的
(3星)	反正就那么看完了
(5星)	很不喜欢看偶像剧的我居然别这部迷死了，怪怪
(3星)	爱情是什么东西？ 　　它最好笑和最荒谬的地方在哪里你知道吗？ 　　最好笑的就是它都没有什么预告。 　　最荒谬的是它也不知道在演什么。这是剧中陈欣怡的妈妈陈林西施女士对她女儿讲的一句话。在乐乐的强烈推荐下，认真的看了第一集和最后一集以及中间的若干集，挺有意思的一部台
(3星)	至少半情歌和前面部分还不错~
(NA)	又臭又长 
(5星)	对，爱情是坎坷的，是美好的。
(5星)	唯一喜欢的一部台剧，虽然也是很偶像
(4星)	算了 结尾不看了
(3星)	无聊。堕落了。
(4星)	算是剧情比较完整。不乏夸张的因素，小天的演技有待加强。
(4星)	很偶像剧。
(3星)	台版情非得以
(4星)	Anson、凤娇基本可以让人笑死，张miumiu更是可爱至极，除了若干时候比较拖沓，基本还是不错滴。至于纪存希那样的男人，因为这是电视剧嘛，所以不可能的。
(NA)	纪存希前半部分就是个混蛋，后半部分还是个混蛋。this is as a reminder what men looks like...
(3星)	我觉得我真是无聊透顶了
(4星)	小天啊！
(3星)	让我回归到久违的电视剧
(3星)	好像自己也是便利贴女孩，可就不知道是不是最后得到幸福的陈欣怡...
(4星)	阮经天的身材真叫人流口水。
(4星)	能娱乐我的就是好电影。这是我评价的标准。
(3星)	爱情真的是惹不起，特别是在上错床的情况下产生的爱情，更加是大家都惹不起。既然惹不起，那就躲吧~~可爱情能有几个人能躲得掉啊~~还是乖乖投降吧
(5星)	我又低俗了~爱死这部剧！还有我的快乐好好听 一直在做我的手机铃声~
(4星)	俗雅无谓
(5星)	你说去看，我却今天才拿起来看了大半天。
(3星)	偶像剧。。。。。。
(4星)	如果不那么长会更好
(3星)	偶像剧果然是不经看的= =越看越难看。
(4星)	是为数不多的坚持看到最后的偶像剧～
(NA)	乐此不疲
(3星)	不是他们太狗血 是这个时代就是一个需要狗血的时代。。。
(2星)	小天吼起来真可爱~神父的双眼皮真招人~乔恩和他两在一起显的好老......
(3星)	咋觉得有点类似『宫』的味道呢
(3星)	又抽又挫的一群人
(4星)	让我发了一次花痴
(4星)	命啊。
(3星)	为什么总是充满了背叛、欺骗与残忍的爱情故事让人怜惜？悲剧情结？
(NA)	结局实在不敢恭维
(4星)	终于大结局了 ····追了那么久·算是近期台湾偶像剧比较 ·好得很的了 ·
(4星)	xixi~~~~~不知道结局会怎样捏~~
(NA)	我们家的小天 我喜欢
(3星)	一般啦每次只看下集预告的
(5星)	很呆很可爱。陪我一个人的假期！
(3星)	后半段是狗尾续貂。
(4星)	哭得一塌糊涂，笑得一塌糊涂
(5星)	我不得不俗辣地喊一下我大愛它啊。
(4星)	最后狗尾续貂拖太久。
(5星)	原创偶像剧精品
(4星)	假神父好囧~
(5星)	我很喜欢便利贴女孩~
(NA)	没想到....命中注定
(3星)	一直很矛盾是不是该把这部放进豆列里去。偶像剧的特质在这里暴露无疑：灰姑娘、白马王子、脱离生活的夸张情节云云。每个平凡的女孩都希望自己成为灰姑娘，只是本剧的价值观到底是怎样的呢
(5星)	让人无可救药的偶像剧。好吧，我认了，我就是喜欢偶像剧~
(3星)	喜欢上海那段
(NA)	厄……打發時間來的！
(4星)	竟然觉得很好看 竟然觉得很不错 哈- -
(3星)	小天好可爱~
(3星)	适合快进看完的片子~~`急死人的男女主~
(3星)	终于结束了
