http://movie.douban.com/subject/4848096/	幸福最晴天
(3星)	这部电视的唯一萌点在于李易峰~不愧是咱天府之国的人，水灵的很~张钧甯真像堀北真希。
(1星)	一颗星只给张钧甯，推shooin的“张钧甯也拯救不了的一个烂剧”，都不知道怎么这么多人追着看，也不知道为什么张钧甯会接这种烂剧本
(2星)	张钧甯都救不回来的烂剧。
(3星)	雖然是一直想把女主角的臉戳爆可是爲了甯女神還是看完了哇！拜託下次還我一部純台灣電視劇好嗎TUT
(3星)	纯粹就看看人 贺军翔+ 张钧甯
(2星)	只是因为李易峰
(NA)	为了看甯女神竟然看完了..&gt;&lt;
(NA)	李易峰比贺军翔帅  哈哈哈
(2星)	两颗星给美嘉+腹黑的李易峰
(3星)	3.5  虽然这部剧看似东拼西凑有点山寨，一开始也是因为张钧甯小姐看的，不过后半部分有变好看让我感动
(5星)	小先生满满的帅！！
(3星)	我真的把它看完了···
(4星)	很少给偶像剧那么高的分数。很喜欢这次的男女主角，一直觉得贺军翔很帅，但以前的演技实在是不敢恭维，所以每次都看不下去，果然转战电影之后演技有所提升。。哈哈！
(NA)	剧情老套 烂！
(4星)	张钧甯你能再好看点儿么啊啊啊啊
(3星)	剧情太肉 不过演员够靓 演技也还不错 对于偶像剧来说已不能要求太多了 最后一集太烂 减一星
(4星)	这个是养眼剧，除了女二。剧情不会太狗血，均宁演技清新派嘛，立马整个剧柔和了起来。我觉的蛮适合她拍的。新角色呢。小清新当偶像剧女主角还蛮好看的。
(2星)	无聊
(3星)	欧！李易峰！！女主也满美的。。必须无视这剧情= =
(4星)	虽然剧情随便就能猜,但看到张钧甯看就舒爽啊~贺军翔跟邱泽实在是傻傻分不清楚..不过演技真的是好呢尤其是哭戏~李易峰果然是校草啊实在是一块嫩肉~不过估计不会有角色上不会有大突破诶…吐槽点的话..张钧甯好像一直都没画内眼线诶,有点怂~还有就是结局的大肚皮也装得太不像真的了吧~!
(3星)	劇情就是一般愛情劇，不過女生哭得讓我覺得眼睛也会痛，男主角也很帥就是，裏面的編劇先生好娃娃臉啊
(4星)	小美还是那么帅。 发觉李易峰其实也不错。  气质美女越看越好看。
(3星)	就李易峰还蛮帅的
(NA)	那个什么叔叔是李智楠啊啊啊啊啊 尼玛岁月真是把杀猪刀啊啊啊 李易峰的台湾腔真标准啊
(3星)	演汪岚那个怎么那么丑 尼玛
(3星)	明道您老可以不可以不要再出现在任何偶像剧了啊！！！！！！！即使是客串！
(NA)	前面还行，后面太拖沓啦...
(3星)	打发时间。看了一点点
(3星)	王子灰姑娘的故事
(2星)	算失望吧。大陆和台湾的合作格格不入的感觉。这个小妈是人妖么。我操。比泰国的变残掉的人妖还失败。。。
(2星)	星星给腹黑形象李易峰
(5星)	越看约好看。。特别是后面。。前面稍显冗长点。
(3星)	偶像剧么就是这种狗血的剧情。峰峰演技很有提高啊。一如既往的校草
(5星)	小翔小翔 爱你。
(3星)	只是为了看看李易峰的颜。
(5星)	贺小美。我是第一个给你留言的吗？贺太太们爱小美，也知道小美爱我们我们会永远支持小美的希望幸福最晴天收视红红火火 有更多人中了你贺小美的毒
(NA)	我会说我是为了李易峰才把那么难看的电视剧拉完的吗？
(NA)	陪老母= =
(4星)	还是王子和灰姑娘的故事，女二号的双下巴让我受不了，但是一口气看完故事情节还是不错的，主角都喜欢。当然因为在厦门拍摄好多眼熟的地方还有漳州电视台的出现加分了不少~
(3星)	男配不错，HE的台湾小言，果然是那几天神了。
(4星)	主要是男二号太养眼鸟~性格我又喜欢，声音我也喜欢，特别是后来喝醉酒在女主家门口抬头的一瞬间，秒杀我~~
(3星)	李易峰很好看。
(3星)	靠夭原來我看過。。。我怎麼會看過?我什麼時候看的?汗= =
(3星)	只要项允超就够了~
(4星)	开始喜欢上小美~~~
(3星)	看到第18集弃，女猪脚为啥不叫大S演，那种才是草根啊草根！
(2星)	看了第一集就有點看不下去的感覺...為神馬張鈞甯要接這樣的戲...
(3星)	nc剧- -
(3星)	男猪脚演的挺好来
(3星)	小美帅啊 张钧甯演这个感觉有点作了 李易峰是花瓶美男子啊
(4星)	张钧甯是很棒的演员，也许作品不是很多，但每一部都很好，用心的演，让人感动
(4星)	FF真是耀眼。
(3星)	男女主角一直不能正視彼此，虐。覺得撞擊的地方不夠激烈。不過演員演得還蠻討喜的。
(2星)	人无聊的时候是什么都可以看的。。
(3星)	张钧甯请你不要接这种烂剧！
(3星)	男二号帅
(5星)	因为在厦门拍摄
(3星)	我勒个去。女配角一定是靠潜规则上位的吧。演技真烂到不行啊。虽然猪脚们演技也就那样。但是和女配角一比整个天上地下啊！而且剧情还可以再狗血一点么,动不动就怀孕，动不动就退让。女猪脚那天真无邪的大眼睛哟。。。女猪脚长得不错╮(￣▽￣&#34;)╭ ~~跟女配角一比整个仙气外露啊!强烈谴责女配。
(3星)	扯~看人！
(4星)	看李易峰
(4星)	我系为女猪主角噶，意外发现男主角都好靓仔啊
(NA)	男二号也超级帅，哇咔咔
(2星)	贺军翔好老，张钧甯好傻，剧情好差
(2星)	算我无聊。
(3星)	戏份增多 演技看涨 FF最帅啦~~  佩服贺军翔对着那个美女主播没吐出来~~~
(NA)	和易老师在办公室无聊，啃完了。
(4星)	童话故事特别美好~
(3星)	纯粹因为见过李易峰后觉得他很帅 然后照找这个剧来看的~结果，贺军翔才是主角噢~~很一般的剧情，男主还是养眼滴，女主差一点了。。。看着玩吧
(NA)	因为一个人坚持看下来一整部剧也不是第一次了（扶额）
(3星)	我是看到李智楠才去的。只看了2集。。李智楠好久不见嘿~
(3星)	因为台版白色巨塔，超爱张钧甯这个女生，可惜，这本里面性格就是最普通的偶像剧女生性格，不适合她。小美的演技有进步了。 基本是跳着看看的。
(NA)	嗯，就是那种看第一集就能全部剧情推断出来的偶像剧。是的，我看了。
(NA)	在同事的荼毒下看了那么几集。。。接受无能。
(NA)	贺军翔在这部剧中的演技上升了好多好多。
(2星)	看不下去了 张小姐我很喜欢 只是这类脑残剧实在~~~  张小姐的长相气质可以配更好更适合她的剧的
(3星)	好吧~我承认这是一个很俗的剧情。。。李易峰很帅~~小美演技见长~张钧甯还是适合痞子英雄里的那类知性角色啦。。。
(NA)	越看張鈞甯越順眼
(4星)	作为偶像剧演员相当给力的。有我大爱的张钧甯。
(3星)	后半段的剧情有点弱，男主角既然对孩子那么重视，怎么当女一怀孕的时候，都没怎么激动呢？而且女一还是他最爱的呢？有点奇怪！
(NA)	幸福到恶心了……腻啊~
(3星)	为什么贺小美的前妻非要找个和他妈一样的人在那儿很烂很烂的演呀演啊
(3星)	打发时间。又一次希望女主角和男二号在一起。
(3星)	张钧甯啊~~~你还是适合&#34;雨不停&#34;
(3星)	这么幸福，谁受得了啊？
(4星)	养眼
(NA)	小腹黑在里面还瞒帅的。。
(3星)	灰姑娘的爱情童话故事。
(4星)	女仆装的张钧甯和腹黑李易峰还有我爱的小美！
(2星)	本来想坚持的，可实在看不下去了。张钧甯装傻装不来，跟《痞子英雄》里的蓝警官差太多了，还是把这样的电视剧让给王心凌她们吧。还有史上最丑女二号周子涵。唯一可看的就是贺军翔，演技越来越好了。
(3星)	凑合看吧 大团圆结局最喜欢了。
(NA)	就是为了张钧甯和小美才看的，情节没啥新鲜的。
(3星)	不是张钧甯根本看不下去……
(3星)	这三颗星都是给男人们的好吗！男二号！给我个拥抱吧！
(4星)	感想：男人有了新欢，曾经多么深爱的旧爱都是浮云。 不过总之很养眼~
(3星)	这个没有婆媳关系 没有勾心斗角 没有没有..怎么会有婆婆妈妈爱看呢.?然后..好有爱的后妈..我发现我身边也有几个朋友的后妈非常好.
(3星)	晚上IPTV上看的..
(3星)	十八岁天空里面的少年。。变成叔了。。= =囧
(4星)	前面很罗嗦～！后面还可以，超喜欢允超这个帅哥，笑起来好迷人，坏坏的模样好迷人，嘻嘻。灰姑娘的童话永远都不会让人不喜欢，有时候看的心会被触动，我熬夜看完了全部，觉得还不错，开始真有种不想看的冲动，可是看到后来，就想一次看完，也许只是想看帅哥，也许被剧情吸引。总之男的帅，女的美。
(5星)	好温馨好幸福的结局啊~
(3星)	难得又一部坚持看完的，主要是帅哥太帅了~
(4星)	这么幸福谁受的了啊~
(3星)	李易峰好帅 啊！！！！！！！！！！
(3星)	为几个主角打三分吧...差不多了.
(4星)	李哥戏份太少 不爽
(4星)	李易峰变帅了~~~
(3星)	贺军翔帅的呀！李易峰更帅！其实我更喜欢孔家大小姐、- -？
(2星)	一星给张峻宁 一星给李易峰 峰哥真帅~！！~！！~！！~！！~！！！！
(3星)	李易峰啊~~果然有颜的没演技！
(4星)	贺军翔哭起来好丑啊~~~
(4星)	最近看过的最不做作的偶像剧，主角们都挺美好的
(2星)	因為有 張鈞甯 啊……契約戀愛就那一段好玩……其他……最沒勁了
(3星)	不上不下
(3星)	以前最不待见李易峰，但这里面真是帅啊~~~
(3星)	李易峰很帅
(4星)	李易峰太帅了啦！&gt;&lt;..
(4星)	那几个内地演员演技太恶了吧！！！李易峰还不错！笑得好可爱！
(3星)	拖拖拉拉看完咯 冲着男人看的 故事很土哎
(3星)	张钧甯不错，可惜剧情太慢了，小美的戏也不是很适合他
(2星)	冲着钧甯去的，没想到、噗、编剧和演员的表演都不给力啊，好吧，那都是导演的问题。
(2星)	剧里男女主角演的痕迹太重了
(3星)	为什么假结婚最后都成了真的.... 结局的速度太快了些.... 李易峰真的越来越棒了，帅啊~~  
(4星)	贺军翔 李易峰 张钧甯 和美嘉一人一颗星吧~
(2星)	NND 什么烂东西 一集弃 我知道这剧恶俗 但是不知道那么恶俗 张美女  接片请谨慎！
(2星)	从一开头，陆续看到《秘密花园》《拜托小姐》《巴黎恋人》的影子。。。话说，明道黄个什么毛啊。。。其实我是来听李易峰的台湾腔的
(3星)	李易峰而已……
(4星)	张钧寗美的！李易峰怎么出落的这么帅了！
(4星)	800年没看湾湾剧了，冲着围观李易峰去的，好吧 还不错看。女主很可爱。
(3星)	李易峰最萌！！贺军翔不演年轻人看起来顺眼多了……剧情忽略……
(3星)	三星全部都给贺军翔。
(3星)	为了李易峰和美嘉看完了=-=
(4星)	李易峰帅惨了 张钧甯好漂亮 
(3星)	一天时间看完，张小姐真美，校草也很帅，小美还行，就冲着这三个人看吧。
(3星)	主要是……贺天翔真的很漂亮
(3星)	冲着李易峰去的，中后部分好看些，前面很俗套无聊。。。
(NA)	实在是觉得李易峰长的太给力了。
(5星)	三星给李易峰，二星给贺军翔。放到最后贺军翔的气势给李易峰比下去了。这片真的好期待方咏咏可以和项允超呀。
(4星)	冲这个卡司也要看啊！贺军翔比以前成熟了很多诶。张钧甯还是一样太招人喜欢了！竟然有李智楠啊太惊讶了这还是当年的star么。。李易峰啊我当年被包子迷住了没认真看你好遗憾
(3星)	因为在情非得已之生存之道中张钧甯的出彩表现才关注她，在这个偶像剧里面她却演得这么生涩，好像不是同一人的感觉，不是很喜欢⋯⋯
(2星)	各种狗血
(1星)	张钧甯蠻漂亮的,
(4星)	至少看这个可以短暂地忘了专八和论文~
(NA)	很喜欢机场告别那段。
(NA)	纯粹的为了帅哥而看
(3星)	国产偶像剧啊
(3星)	冲着张钧宁看的，李易峰长得不错，演孩子他妈的演员难道是随便抓来的，也太不挑了吧
(4星)	有点罗嗦可是我就爱这样的戏码
(3星)	看的是超级卡卡版。。。
(3星)	峰峰，我快进把你看完了，帅，哈哈哈
(NA)	是能有多焦躁了，明明碼著草稿，盡然還開著pps看這部，嗷~~~
(3星)	李易峰很帅嘛~以前肿么没发现呢。。。张均宁也蛮漂亮的
(3星)	李易峰，怎一个小帅哥了得。
(3星)	小美 张钧甯 李易峰 一人一颗心 剧情老套╮(╯▽╰)╭
(3星)	为了女神看一下好了，正在第二集
(NA)	演员总体都还不错（至少认真努力），特别是两大主角，演技提升又美型（第一次被小美刹到了，钧甯一直都是我的女神）；故事中各种邂逅设计得牵强，但男女主角的纯爱其实挺好的，反而是最平凡真实动人的部分；最让这部剧掉价的应该是制作了，但会好起来的。不过说真的，如果主角不是那两只我应该会弃之的
(2星)	女猪脚长得一个苗条高挑版的苍老师。什么都会做，谁娶了她的确幸福，每天都有美食糕点可以吃，太美丽。
(3星)	就冲着男女主角看了，不过那么老了还演偶像剧他们也真不脸红～
(3星)	國民校草不錯。李智楠也不錯。然後發現那個討厭的女的是美嘉一剛。。。= =|||
(2星)	越看越不好看，不过李易峰好帅啊，除了这点，剧情神马的都不给力....
(2星)	原来这么多帅锅我有眼无珠愣是没看出来呢
(4星)	第一眼不好看，多看几集才发现它是近些年两岸合拍剧里好看的，这两年贺军翔的偶像剧里好看的，还有让人惊喜的卡司
(4星)	張鈞甯小姐好美好漂亮
(3星)	一句话：编剧是啥逼！
(4星)	后面还蛮好看的，贺军翔实在是一个表情太假的人。受不了。
(3星)	两颗星给李易峰，一颗给张姑娘，李易峰演技进步真快呀！！  养眼。。
(2星)	李易峰特别适合演这个角色，小少爷~~
(2星)	女二丑的没天理，男女主配都是我喜欢的
(4星)	point是。我能看下去。恩恩~
(3星)	我相信，爱，一辈子的爱，必须是分离时候满脸泪水的那种……不然不是爱，不然就算可有可无，不然就单身一辈子得了。
(3星)	张钧甯你为什么要接这么脑残的剧啊！虽然还是满温馨的。张钧甯你实在是我的菜啊。所以你演的如此无脑我还是坚持看完了。。。
(2星)	纯粹来看张钧甯
(3星)	完全冲着张钧甯看的啊....
(NA)	哎哟~强烈要求女猪和男二在一起。
(4星)	张钧甯这个打扮挺有爱的啊。。
(NA)	完全冲着美嘉和国民校草去的~ 可是剧情烂爆了。。。看不下去了。。。
(3星)	只为李易峰！
(4星)	烂尾，编剧脑残，不过还是喜欢，女主很萌！
(2星)	模仿《命中》失败的产物啊。。。不过演员还不错。。大爱张均甯~！看着非常舒服。李易峰在好男儿的时候对他没多大印象，但是这部剧里很出彩，不输给小美
(3星)	为了张均甯
(3星)	昨晚在和爸爸的谈话里算是看完最后一集了，补上之前一口气看过的24集。论情节，没有任何创新，不过最近的偶像剧都将前女友大肆发扬做文章倒是真的。演员方面，小美依旧秉承他演什么都是这样的作风，张小姐继续给力做个好人，小白顶着国民校草的头衔终于迎来一个又重要又讨好的角色。
(5星)	不管别人喜不喜欢，总之，我觉得很好看，最最重要的是，从中感受到的，男女主角也很养眼，哈哈，支持支持，希望能大卖
(NA)	女主好像1.0恶啊
(3星)	天呐( ⊙ o ⊙ )！里面有美嘉！！！还有那个18碎天空里面的男猪！！！
(NA)	沒有下集預告了
(4星)	张钧甯
(4星)	汪岚太丑，在偶像剧里没法看；小美平时可以，哭戏太假；终于追完了，太累了。
(5星)	超爱某人。
(3星)	为了张钧甯小姐，忍耐了某些白目的剧情，还有大陆演员演台剧的怪怪混搭风，男女主角的感情线只能勉强看下去，其他的忽略忽略再忽略。
(3星)	李易峰这个国民校草 的确蛮帅 就是演技还需磨练
(NA)	有时候张钧凝的造型看起来像cheer啊~超好看的~ 这部剧主角还挺好看的·剧情就还好
(3星)	男二号那个帅啊~~~~~~~~~~~
(3星)	为毛李易峰老给湾湾男呕像打酱油啊！！！！
(3星)	魔羯男在某些方面会有魅力的。
(3星)	小美的演技，怎么说呢，有时候说话还是觉得做作
(1星)	一星为了李易峰
(3星)	打五星的都是忠实fans吧，拖完整部剧，老套，无聊……看了所有有李易峰的部分，这小子演技还有待提高，不过应该收了不少小龄粉丝
(3星)	唉~剧情真的很白烂...冲着张钧甯去的，大美女就是红不起来啊，少了点什么呢~
(4星)	甯妞好美好美~~~=3=
(5星)	安静的爱情最美；无视女二号 质量还是很高的。“这么幸福 谁受得了” 这句结束全局 好“残忍”啊
(3星)	张小姐陪我度过了整个清明假期 
(3星)	两只完全不来电 
(4星)	张小姐的演技真好，很好，非常好。
(NA)	无聊 就是来看张钧甯的
(NA)	超级期待峰峰的表演 李校草加油 
(5星)	李易峰加油
(5星)	李易峰你真心嗲，给5星，4颗给你，一颗给小美，我承认这都是我的私心啊，蜜蜂爱峰峰
(4星)	项二少、为神马受伤的总是你、、、、
(4星)	李易峰依然清新~~演技也进步了~腹黑的二少演得不错哦~~剧情虽然俗套不过还能看 除了小美跟前妻的戏份太过拖沓无聊 其他都还过得去~~
(5星)	哦耶！！！！！！！！！！！终于有更新了啦~~~~~~~~~~·
(3星)	我是为了李易峰看的~当然也看看那个英文名叫KIMI的李金铭除了爱情公寓里那个让人超抓狂的美嘉之外的角色怎么演~还不错~
(3星)	亲爱的甯小姐……哎，不评价了，反倒觉得李易峰好像还不错。勉勉强强2.5星吧。
(2星)	勉强看完…
(3星)	我是因为李易峰才看的。。
(3星)	灰姑娘的故事永远不退热...
(3星)	反正是偶像剧
(3星)	扯七扯八的东西过多……
(2星)	我是来看厦门的
(3星)	一路快进 看到贺军翔停一停~
(NA)	安徽卫视自制偶像剧幸福三部曲的第二部，第一部是幸福一定强，在安徽卫视看过一点~
(2星)	冲着2个男主角 但是看了几集就毫无兴致了 女2号笑起来好像刘亦菲啊 不笑就差远了。。。
(3星)	小美好帅哦
(4星)	男主角很帅嘛~
(NA)	哦，还是挺温馨的。
(NA)	张钧甯你还是别弄刘海了。。完了，居然觉得小美好帅，烂俗的偶像剧荼毒生灵。
(3星)	冲人去看的，小美和李易峰，哈哈～～小刘同学的蝴蝶结造型很有爱～～
(4星)	我对张钧甯这类型的美女真的是没有没有免疫力。。
(4星)	结局是什么忘记了……
(2星)	就是一传统偶像剧。对李易峰的感觉越来越讲不清楚。富家子的扮相还是蛮吸引眼球的。但是就是不喜欢。依旧喜欢好男儿初始的那种未经雕琢。
(4星)	贺小美，哈哈
(5星)	超好看！！！
(3星)	这种没有剧情讲的东西。男女主顺眼且有火花是最重要的
(3星)	看过分集介绍的算不算看过呀 噗
(5星)	很有奈~
(3星)	某次长假用网络电视的快进看的~~~
(3星)	张钧宁怎么辣么黑啊。。。。
(3星)	我纯属看小美的颜。
(3星)	平淡平淡的就完了，套路套路的就HP了，哭什么嘛~~
(3星)	演员还是不错，剧本有点。。。。。
(3星)	不狗血就不是偶像劇了麼~~但是麻煩好歹選一個適齡正常女性出演女二號行嗎？！長成那樣~連潛規則我都不相信了。。。
(3星)	对李智楠的印象还停留在 十八岁的天空 中
(2星)	有一星是给张钧甯的
(3星)	我真的怎么什么都看过了……
(3星)	女主挺好看的，可惜剧情不怎么样。。
(5星)	灰姑娘的故事百看不厌。
(2星)	快进着也算看完了
(3星)	剧情 很容易猜的咯
(4星)	有点弱智，情节老套、不过张钧宁很漂亮
(2星)	跳着看的 很幼稚好吧
(3星)	轻松愉快的片子
(3星)	真的很一般，而且不喜欢这种两岸三地拍摄的感觉~
(4星)	为了美嘉才来看的
(4星)	钧甯心中气质女神,没有之一.  三人组合是有多养眼
(3星)	哈哈，我最适合看这种白痴又养眼的童话啦~神啊！不过这结尾也太糙了~喜欢片尾曲~
(4星)	一如既往的看第一集就知道后面会演什么，感觉还是杨丞琳和贺军翔比较配。张钧甯和赵又廷配。嘿嘿嘿
(1星)	昔日内地偶像步入中年流了
(3星)	好土的剧情，纯粹为了贺军翔和张钧甯
(4星)	晴天。
(NA)	台湾偶像剧经典桥段：契约结婚，假扮夫妻，一夜中奖，绝症，车祸，女主回老家，兄弟爱上同一个女人，被推流产，由冤家转情人。最后我想说。。。张钧甯和堀北长得太像了。前妻丑的不行了！！！！
(4星)	为了小美才看的，剧情依旧是各种狗血啊~~~不过那个小美的前妻，也太那个了点吧，怎么说也应该要选个漂亮点的吧。。。
(3星)	还行 男女主角长得不错
(4星)	就是喜欢女主的气质！
(3星)	嘻，小张！~
(4星)	小美小美~~~~~· 
(3星)	老媽在看的時候 就跟著看了幾集 馬馬虎虎吧
(3星)	这剧太浪费了文艺气质派的张钧甯，傻傻派女主角显然不适合张钧甯呀~~哎~怀念垦丁的雨不停小姐。
(4星)	不喜欢女二号...她为什么会被选中啊？
(2星)	不喜欢女主角，平刘海想显现平民可爱气质可是出不来，有点土。演戏也很一般没什么灵气。虽然在无聊的时候连着看了很多集，可是放下了就再没想起要追看，可见很没欲望，可有可无，剧情也没什么特点，就是俗辣。
(5星)	感动
(4星)	老中青三代啊。
(2星)	两星全给女主
(3星)	好久没看台剧，台腔还是讲得一样的好耶！陪我麻麻一起看完咧。
(3星)	张小姐很美
(NA)	电视剧始终是电视剧吧。
(NA)	我看了一上午
(4星)	综合了所有台剧的狗血剧情 不过还不错～
(4星)	唉，就是不知怎的就在看了~其实还不错啊。就是看到峰峰还想问“你还记得当年的小米吗~”
(4星)	流口水
(2星)	张小姐不适合这种戏路的说。
(3星)	如果不是贺军翔我一定不会开始看这部剧，如果不是贺小美和李易峰的戏份我也不会看下去了。我想说编剧真的挺烂。不过姥姥也再跟我一起在看了，哈哈。其实我很希望汪岚和项允杰重新在一起，毕竟是互相思念了8年的人。但是，时间，和相处，有强大的力量。
(4星)	喜欢张钧甯！！！！
(3星)	哇，那個真的是小美的前妻么。。。怎麼各種大媽臉？
