http://movie.douban.com/subject/2157239/	将爱情进行到底
(5星)	 大学毕业前在宿舍里看的，那些青春的日子啊！            
(3星)	 现在想想真不好看            
(4星)	 这么多年，多少变化。我们都跳出了别人的故事，拥有了自己的故事。当初感动过吗？羡慕过吗？后来鄙视过自己的单纯吗？嘲笑过自己的幻想吗？我只知道，我又回到了最初的样子。羡慕９９朵，见过９９９９朵，无视９９９朵，珍惜唯１一朵⋯⋯ 无花，有爱便幸福。愿大家都能去品味爱情真正的意义。            
(4星)	 少了的那一颗星是这蛋疼的剧本- -演员们不能好好讲话么··            
(5星)	 当离别到来时，我们一起看的最后一遍            
(5星)	 很想回头再看一遍电视剧            
(3星)	 所有偶像劇都一樣狗血            
(5星)	 初三！！            
(3星)	 真清纯~            
(NA)	 再看一遍！            
(4星)	 那时候认识的谢雨欣。。            
(4星)	 ！            
(3星)	 备忘Mark。一个年代的青春合照。            
(4星)	 终于在电影上映前补完了 为什么那时候的李亚鹏会让我想起ss 喜欢若彤            
(4星)	 听说今天年拍了电影版，所以赶在电影上映前把电视剧重新看了一遍，还是挺好看哒！            
(NA)	 小时候的回忆            
(5星)	 真的很喜欢。尤其是当“等你爱我”那段旋律响起时，有几次甚至不知觉流下了眼泪。。。            
(4星)	 估计电影版不会太好看            
(5星)	 这部剧当年很红的样子..那个时候我也才七八岁...记得哪里都能听到谢雨欣唱的那首歌,名字忘了.剧情差不多也忘了...            
(5星)	 算是經典吧，至少表達出了很多人的情感和心聲，說是那個年代的代言不為過~~            
(3星)	 其实我不太记得了⋯⋯ 又不爱看电视剧&gt;&lt;            
(4星)	 还是很怀念那段青春的            
(3星)	 我倒是不怎么看好爱情白皮书            
(4星)	 有张楚哦~~~            
(5星)	 好怀念...好遥远...过了谈恋爱的年纪了~            
(5星)	 在我的青春岁月中无可替代！            
(NA)	 遥远的年代啊。我对大学最初的憧憬。            
(5星)	 从那开始喜欢老徐的            
(5星)	 好片子~！！！等你愛我~~            
(4星)	 可以算是最早的国产偶像剧么？            
(5星)	 今天重新开了一遍，我突然意识到，那个时候男人要成功也是要依靠女人上位啊，啧啧            
(4星)	 3.5吧。现在看来徐静蕾的表演做作了点儿。            
(4星)	 青涩的青春 爱情的启蒙            
(4星)	 我当年就暗下决心要做个像文慧那样的淑女，可惜好多年过去了事与愿违啊            
(5星)	 记忆记忆            
(3星)	 多清纯的当年            
(4星)	 还是老片实在。。现在的偶像剧。。真NC！~~            
(NA)	 再次怀旧, 感谢我们的小青春            
(3星)	 徐静蕾那时候还是 高圆圆的范儿，李亚鹏则是 道明寺的前身。。            
(4星)	 我的中学时代啊            
(5星)	 片没那么好，但是是先驱，还承载了一代记忆。喜欢乐言和小艾那一对的故事。            
(5星)	 娘啊，十好几年过去了……            
(3星)	 一部青春偶像电视剧演了一遍又一遍，以前的电视台就指着这一部青春剧活了，我也是看了一遍又一遍，都是被逼的！现在好了，一眼望去半水儿的偶像青春            
(5星)	 我的青春年少            
(4星)	 奔跑的青春            
(NA)	 补遗            
(4星)	 大陆早期难得的青春偶像剧··            
(4星)	 童年时期看的偶像剧            
(5星)	 当年的经典啊。            
(1星)	 一直讨厌剧中所有的男女演员做作 恶心。小柯的音乐 唯一的精彩~            
(NA)	 高一看的            
(3星)	 不怎么喜欢徐静蕾            
(4星)	 在当时还是蛮经典的            
(4星)	 杨峥啊杨峥~            
(NA)	 当老徐还是小徐            
(3星)	 爱情白皮书山寨版。            
(3星)	 童年。。啥也不记得 = =            
(5星)	 看的第一部真正意义上的偶像剧，现在的偶像剧太恶心了            
(NA)	 等你爱我！！            
(4星)	 那个年代是纯真的，不是功利的。几个年轻人没有现在这样市侩，简单的情感，在人生选择的对比下，苍白无力。感情在反复中升华，无奈在现实下屈服，奔跑是宣泄，是激情，是缅怀，是前进的希望。男主角的混乱感情，也印照了当今社会人的无助与彷徨，没有爱只有需要。            
(5星)	 what if...            
(3星)	 好像从那时起就不喜欢李亚鹏~            
(5星)	 上了班更觉得这片子牛了。唉...            
(3星)	 还是不错的，虽然那时我还小。            
(3星)	 在你我相爱的地方依然有人在唱，依然还是年少无知的感伤             
(3星)	 涛叔。            
(5星)	 曾经很牛逼的电视剧 怎么也要给五颗星。记录一个时代呢~            
(4星)	 還有張楚高旗客串什麽的。。。            
(5星)	 过往的记忆            
(NA)	 我想，十年过去了，没有一部剧超越它对我的影响吧            
(NA)	 纪念我最喜欢的国产电视剧            
(NA)	 那美好的青春，美好的爱情，美好的回忆和淡淡的忧伤。            
(4星)	 很青春，很朝气。            
(5星)	 最后才发现若彤才是最吸引人的            
(5星)	 我心中不可取代的 经典~！            
(3星)	 就差没看日版的了。与台湾版白皮书相比，各有各特色吧，略微逊色于台版。            
(4星)	 想念那时的老徐。。。            
(5星)	 这部电影充满回忆            
(5星)	 唯一很怀念的大陆剧            
(2星)	 我知道当年很轰动，被称为内地真正的偶像剧，可高中时期我就觉得这片很恶心，除了小柯的音乐是唯一亮点，剧中人都好tm装B,忍不住骂粗口            
(5星)	 很老了~            
(4星)	 所谓青春啊。            
(NA)	 就是这部片子在我初中的时候就让对大学充满了无限的幻想...结果...            
(NA)	 其实这就是《奋斗》的第一部。            
(NA)	 从年少时候就喜欢的，那种感觉依然还在。            
(4星)	 我的青春，我的中学时代……要不要tmd这么多回忆啊！            
(4星)	 当年很喜欢..里面的歌曲现在听也还是很喜欢            
(NA)	 太美好了 一定要重温下            
(NA)	 最早的偶像剧，也差不多是最好的偶像剧。            
(NA)	 大概只有我才会做这件事情。            
(5星)	 唯一优质内地偶像剧，剧情大量抄袭改编自日剧《壮志骄阳》。            
(5星)	 我就是喜欢就是喜欢            
(3星)	 那时候觉得徐静蕾真是很别扭的一个人。            
(NA)	 真是让人怀念~有些场景还是在我们中学拍的咧。            
(4星)	 爱情到底没能进行到底……            
(5星)	 那一代的爱情实录。            
(5星)	 这是对我影响非常大的一部连续剧。纯纯的青春，纯纯的爱情。            
(5星)	 号称是大陆第一部青春偶像剧。            
(3星)	 时在广州            
(5星)	 接触的最早的一部偶像剧挖..            
(3星)	 李亚鹏在里面特屎            
(5星)	 在我懵懂的时候，用它向往大学，爱情……多年后的今天，再回首，早已没有了原来的期待，一切都面目全非了。。。            
(5星)	 青春的最初，那些关乎理想，爱情，和友谊的白皮书            
(4星)	 那时侯 .多好啊            
(NA)	 嗯.其实有些跟风的心态吧.内时候内电视剧可火了.当然啦.这电视剧里貌似还有张楚和高旗.            
(3星)	 国产剧能拍成这样，算可以了，最大亮点还是装纯的徐静蕾            
(3星)	 当时也没特喜欢过             
(4星)	 据说是抄袭日剧            
(NA)	 #爱情启蒙片#            
(4星)	 #跳电影# 这也算是一代人的记忆，不过给我留下印象的却只有“看见你从门前经过，是有一些悲哀”这样的歌词而已。            
(4星)	 等你爱我。多年经典。            
(4星)	 很多很多年前还是初中生的时候看的，在心目中这部电视剧依旧是那么的美好。以上。            
(4星)	 小時候看的, 那誰誰還送過一張CD            
(4星)	 小时候看的没印象了...            
(4星)	 等你爱我            
(4星)	 青春如同奔流的江河，一去不回来不及道别。            
(5星)	 还是小学那时候看的=  =。            
(4星)	 大学时代憧憬过的爱情            
(NA)	 我居然这么无聊……但真的看不下去的说。半集弃。            
(3星)	 终于看完了这个似乎就我没看过的片，原来说的是一群成功女人为了一个没车没房没工作还蹲过牢的外地土帅哥团团转的故事——时代还真是尼玛的不一样了啊！            
(3星)	 因为电影又把电视剧找出来看，原以为是甜美童话的爱情剧，没想到结果比电影还现实，我们不是由单纯变得越来越现实，而是怀揣理想发现原来我们这么现实。。。            
(5星)	 继续读书，会不会是想有一天遇到带着书生气的你。            
(4星)	 看完糟烂的电影版再去看电视剧，真的是年轻什么的。青春啊你停一停T T            
(4星)	  在你我相遇的地方依然人来人往 依然有爱情在游荡             
(4星)	 青春就让它独自远去吧，爱就让它好好爱吧 　　感谢那些我在青春里遇到的姑娘们，谢谢你们 。                      
(5星)	 情窦初开时、曾经的女神            
(4星)	 当年年就喜欢谢雨欣和廖凡，过了那么多年，喜好一直没改....受不了那两傻B主演            
(3星)	 只为了电影而回顾一下，曾经热映的时候我在干嘛？竟然木有看过。。。            
(4星)	 今天开始回顾，听到片头曲前奏的那一刹那我好像回忆起了全部的剧情一样，激动的差点流眼泪。            
(4星)	 第一次看到张楚的那个暑假            
(3星)	 这个当年红极一时啊。            
(5星)	 1998，六年级生，每个傍晚的守候。            
(NA)	 12年前的同济129操场、南北教学楼、红楼、老图书馆。。。            
(5星)	 “在你我相遇的地方，依然人来人往，依然有歌声在游荡，在你我相爱的地方，依然有人在唱，依然年少无知的感伤。”            
(5星)	 陈奕迅王菲纵有千千阙歌都抵不过当年陈明、小柯、谢雨欣所唱：99年的冬天，漫天大雪，北京西三环厂洼小区，我一个人蜷缩在窄小却异常温暖的房间里看电视剧将爱情进行到底。杨峥在海边举起爱立信手机给文慧听海的声音，陈明的等你爱我突然响起，我泪雨滂沱，汗毛竖立、、、、、            
(5星)	 经典永远不会过时            
(3星)	 一帮纠结的人 结尾满屋子的金鱼太特么浪漫了            
(NA)	 不喜欢文慧，不喜欢贝贝，自私幼稚不顾及他人感受还有大小姐脾气，只有若彤无私无悔。杨峥是傻帽，分不出真心对他好的姑娘又自卑输不起，所有发生在他身上的悲剧都是他性格使然的必然结果，怨不得任何人。            
(4星)	 竟然我没标注过。再次拿出这段岁月来感叹。            
(4星)	 小时候看过的最好看的国内偶像剧，一直断断续续看的，有空了再重温一遍吧~            
(4星)	 恍惚記得當年號稱是內地第一部青春偶像劇。十幾年之後印象最深的是配樂，還能一字不差的唱出歌詞。真神奇！            
(NA)	 劇情中後段挺坑爹的，但是喜歡這結局啊。還有啊，電影版徹底忘掉若彤的存在是鬧哪樣啊？            
(5星)	 那些记忆，怎么拾回            
(4星)	 大陆偶像剧鼻祖，没有港台韩影响别有特色            
(4星)	 为什么我觉得最后文慧和杨峥没什么关系了呢= =最后走一起的不应该是杨峥和若彤么。。。            
(4星)	 06年考进同济时看了第一遍，这次为了《将爱》再看一遍~现在看来演的好做作。那时的同济真美，那时的天际线还是这么清晰，那时的人们都那么可爱。又被片子感动了一遍，果然我是个大俗之人~            
(3星)	 只喜欢看文慧和杨铮那部分。怀念啊！            
(3星)	 童年啊！！！！男主角拿手机对海边那幕我一直以为是手机广告！！！            
(NA)	 那场雨中的奔跑 这么多年后依旧记忆犹新            
(NA)	 恩。一直爱着。            
(5星)	 初一时候考试都不去了。            
(5星)	 徐静蕾年轻的时候蛮秀气的，这种爱情是90年代大学的特有产物吧，好朦胧好朦胧哦~廖凡那个时候怎么这么挫~~~~~现在帅啊            
(5星)	 当时没看完，好伤感啊~ 就是从那时起喜欢小柯的            
(4星)	 为了看电影版，重温了一遍。开头又白痴又浪漫，中间较现实、曲折，结尾蛮有希望和意味。算层次丰富，不错的作品。做人要有原则、多宽容、多努力。喜欢乐言和若彤。            
(5星)	 LOVE is waiting.WAITING for BREAK UP~            
(3星)	 唏嘘啊···            
(4星)	 = =.当年因为这两个娃娃分开了，我就没有看了，完全木有看的想法。            
(NA)	 重温是个体力活儿~            
(4星)	 當年邊看邊吐，如今邊看邊哭            
(4星)	 当年超喜欢的唉，电影一定要看～            
(NA)	 这个当初看的我啊.....(廖凡这么早就出道了...都没印象...)            
(4星)	 突然想要再看一遍。            
(3星)	 为电影版做个准备 边看边回忆真tmd累 真不知道那个时侯怎么会看得懂 = =            
(NA)	 小时候没看过，为等电影版先看看这个。。。- - 各种吐槽            
(5星)	 大爱啊~王菲是不是看了这个电视才要跟杨铮结婚的啊~            
(4星)	 小学看了这个电视连续剧，没有被启蒙，却一直都没忘。            
(5星)	 我更喜欢若彤。            
(4星)	 在你我相遇的地方 依然人来人往 依然有爱情在游荡            
(3星)	 时间过得太快。            
(3星)	 1999年，小学毕业，那时候看着热闹，觉得音乐很好听。如今的突发奇想，开始重新用心看，心开始跟着他们抽抽。岁月就这样流淌，土的掉渣的装扮，那时候的上海还比不上乌鲁木齐的郊区，但是情感却是真的。            
(5星)	 关于青春的一颗巨大催泪弹，等你爱我。            
(5星)	 当年太喜欢王渝文的角色了，可惜她演的片子太少了，现在是否都息影了啊。            
(3星)	 期待明年电影版            
(4星)	 青葱。            
(4星)	 当年太爱了。            
(NA)	 曾经最爱的电视剧。徐静蕾。            
(NA)	 当时最喜欢的其实是谢雨欣            
(4星)	 除了不喜欢男女主角也就没啥好批评的了~            
(4星)	 我决定放弃，虽然是那个年代的里程碑。两人的性格我都很嫌弃。            
(5星)	 在你我相遇的地方，依然人来人往，依然有爱情，在游荡~            
(4星)	 没事重新看这个得了⋯⋯⋯⋯真寂寞            
(NA)	 好 重看            
(3星)	 从来都不喜欢青春校园的标签            
(3星)	 当时我就看出了徐静蕾巨恶心的潜质            
(3星)	 实在讨厌李亚鹏            
(5星)	 重看，一鼓作气看到凌晨四点多哭的跟个傻逼似的。。。。。。给一万颗星让友情进行到底！！！            
(NA)	 《谁》很好听。《等你爱我》也很好听。            
(5星)	 妈的 小时候哦那点懵懂都是从那受启发的            
(4星)	 他们都那么年轻            
(4星)	 其实，当年我喜欢的是谢雨欣演的小艾= =            
(3星)	 我说10年前看小徐和小李的做作表演，已经可以了；没想到两人10年之后还要在做作一回，我是做好打一星的准备了！            
(5星)	 穿越10年仍然经典 谢雨欣很漂亮 唱的《谁》《遥望》至今听了仍然很感动 没记错得话是小柯的作品            
(5星)	 看这部剧的时候还没有来上海。最吸引我的是小艾和乐言的那段，觉得小艾很吸引人，觉得自己像乐言。很可笑。如今在上海，我过着和乐言相似却不一样的生活，小艾依然吸引我，但我知道我接受不了。            
(5星)	 记忆里的美 一切都是永恒的            
(4星)	 都看过此剧吧？要拍电影版了，还是挺期待的哎。            
(NA)	 很想再看看            
(5星)	 那时的记忆            
(2星)	 十多年前我看不了国产片，十多年后能看国产片了但自己已经老了，看一群所谓清纯少男少女磨磨唧唧的很闹心。            
(3星)	 哎哟，内地偶像剧咧            
(4星)	 好老啊，没我老。            
(5星)	 一个算数一场回忆            
(5星)	 那时候特喜欢徐静蕾梳着两条小辫 ~            
(2星)	 大概年幼的我无法理解徐静蕾怎么就从这剧里红了额……我在十多年前就不待见李亚鹏同志……            
(4星)	 主题曲我现在还会唱~            
(3星)	 尽管是大陆仿日本90年初的一部由铃木保奈美演的偶像剧，但在某个意义上开启了我的青春大门以及彼时对大学爱情的憧憬.......也是从那会开始喜欢上徐静蕾的...            
(NA)	 那时候逃课去看重播，然后回来给女同学们讲剧情。当一大堆女同学围坐在我身旁的时候，我心里也是暗爽！hia~~hia~~hia~~            
(5星)	 我们那个年代的经典。            
(4星)	 怀念的是王渝文……            
(3星)	 时光荏苒啊··            
(4星)	 最近搜出来看，发现很美好。            
(NA)	 依然有爱情 在游荡            
(4星)	 童年的回忆            
(NA)	 这是我看过最好的偶像剧。            
(1星)	 對不起。我討厭李亞鵬。並且我不喜歡徐老師。            
(3星)	 没看全。当年的经典啊，捧红了好多人！            
(5星)	 这才是我们偶像剧的启蒙好不好。印象最深是纠结于李和徐最后好象没有在一起。歌曲都好听，最喜欢《等你爱我》            
(4星)	 那时,他们年轻,我也年轻~总之,是个年轻泛滥的年代~            
(4星)	 小时候的感动吧。。。            
(4星)	 这才是第一部偶像剧            
(4星)	 很久以前的剧..            
(3星)	 歌曲还不错，剧情大量抄袭日剧            
(3星)	 真的是很小很小的时候看的了            
(4星)	 吖~ 和妈妈一起看的~~~            
(3星)	 当年，男男女女中，最喜欢的是若彤。男的类型没个顺眼的。            
(5星)	 那个时候的徐静蕾，那个时候的恋爱            
(5星)	 爱情启蒙剧            
(3星)	 当时老萌徐静蕾了            
(NA)	 多年后想起，还是觉得是部好剧            
(3星)	 当年还买过原声带= =            
(5星)	 想当年，很迷            
(5星)	 老徐当年那个纯阿~            
(4星)	 遇见你的我，碰到我的你，在同样的深夜里，写了同样的日记，望着你的我，望着我的你，在同样的时光里，问着同样的问题，谁来等你，你在等着谁，谁来等我，我在等着谁             
(5星)	 不能言语            
(5星)	 一听OST就激动            
(4星)	 我印象最深刻就是若彤的痴情 诶 王子终于是被她等到了，可是好辛苦，王子也是一个号疲倦的王子            
(3星)	 初中看的吧 可能是看的第一个文艺电视剧 那时候觉得里面的歌特好听 谢雨欣~~            
(4星)	 90年代初徐静蕾的装扮那叫一个潮~            
(4星)	 其实这部戏造成了我对大学生活的很大误解。            
(3星)	 都说好看 我怎么觉得特白。。             
(4星)	 那一年的暑假，以为爱情就是奋不顾身            
(4星)	 ★★★★☆            
(5星)	 也是很经典的偶像剧，《京港爱情线》后来的一部。原声带很好听，到现在还记得里面小柯做的曲            
(NA)	 我就是那个时候喜欢上徐静蕾的。很喜欢的一部剧。真的，年轻的时候真好            
(5星)	 陪伴            
(3星)	 从小就觉得徐静蕾笑的巨他妈假            
(3星)	 恶心的李亚鹏。。。。            
(5星)	 影响了我青春时代的片子            
(3星)	 小学的时候看的            
(5星)	 我就抹不掉            
(4星)	 小学时看过的经典电视剧~            
(3星)	 徐静蕾在里面都是穿匡威            
(3星)	 再烂也绕不开 前三集还挺心潮澎湃的 后面就烂掉了            
(3星)	 依旧不喜欢李亚鹏            
(NA)	 遥望            
(4星)	 其实我挺喜欢李亚鹏的哈哈。还有小柯的音乐很棒，特别是他们一跑步就出来的那首，还有李亚鹏家录音机里那首。            
(5星)	 感同身受            
(4星)	 同济啊同济！            
(5星)	 喜欢里面的徐静蕾和谢雨欣 算是很好看的国产偶像剧了            
(5星)	 我曾经最喜欢的电视剧之一            
(3星)	 年少的我曾经看过的印象之深的。            
(4星)	 很小的时候看~那时还不懂什么是爱~            
(5星)	 魂牵梦绕= =。到现在手机铃声依然是《遥望》            
(5星)	 在学校那段真好            
(5星)	 关于青春关于往事            
(5星)	 我很少看电视剧看的这么投入            
(4星)	 我记得我在播放那个电视剧的夏天去上海坐了某路公交车            
(3星)	 主题曲等你爱我听着挺顺，除了李亚鹏都挺喜欢，尤其老徐            
(4星)	 一代人的标志性电视剧            
(NA)	 离开校园就没看头了            
(3星)	 真纳闷儿，为什么小时电视重播什么烂片我都看            
(3星)	 不知为何觉得李亚鹏演得很废柴，或许是命运无常？            
(4星)	 阵容很强大，原声很好听！            
(4星)	 看过多久?忘了            
(NA)	 在你我相遇的地方，依然人来人往，依然有歌声在游荡。            
(4星)	 多少年前记得的为数不多的剧集之一            
(4星)	 N年前看的，但是一直没忘记，说明在我心中还是有地位，也说明我曾经纯情。            
(5星)	 以前没全看完，看过电影之后再翻出电视来看，第一部分的校园剧还真清纯，蛮不错的，可惜太长了            
(3星)	 歌很好听，尤其是片头，尤其是歌词，可惜人物看起来有点傻            
(NA)	 一直就不喜欢李亚鹏。。。            
(5星)	 拍得很质感啊             
(NA)	 零八年竟然标记过。。除了两个人物其他的真没印象= =江苏卫视播了 还有廖凡啊。。            
(4星)	 这是我们大陆的第一部偶像剧，捧红了一批人物。当时也让我们那些不谙世事的少年，一遍又一遍的看着，最值得一提的是里面的音乐都很好听~            
(4星)	 挺朴实的 一直就喜欢李亚鹏这型 长相声音和气质都很MAN的            
(NA)	 卡车            
(5星)	 很小时候看的,当时最喜欢徐静蕾那文静清纯的样儿,而今,她都自称  老徐            
(3星)	 我们已经远去~青涩的青春..            
(5星)	 那样的青春，那样的爱恋              
(4星)	 那时 那人 那事            
(4星)	 年轻的时候            
(4星)	 多年以后，在校园的操场上听到遥望，突然地那么感伤            
(5星)	 好怀念            
(NA)	 我喜欢像乐彤那样的女孩            
(5星)	 懵懂的青春 青涩的爱情             
(NA)	 看完就记得小柯那首《遥望》了~            
(5星)	 爱情，就该如此，尤其是我们年轻的时候            
(NA)	 我的青春啊。            
(4星)	 那个年代的青春            
(4星)	 同济大学            
(NA)	 曾那么喜欢乐言的角色.            
(4星)	 李亚鹏能不能不说话？            
(5星)	 美美的徐静蕾            
(4星)	 第一次见徐静蕾，第一次见李亚鹏            
(5星)	 我爱ai            
(NA)	 大陆第一部偶像剧            
(NA)	 都忘了咋回事了            
(NA)	 给幼小的我造成了大学就是那个样子的假象！当时的老徐真的很纯。。            
(5星)	 那个时代很好看的偶像剧。。            
(NA)	 当时很喜欢主题曲            
(4星)	 属于我们这代人的本土偶像剧吧，当时很轰动的哦。大家都喜欢徐静蕾，我却喜欢王渝文，这个不太红的女演员。MS现在嫁豪门了吧，前几天康熙来了看见她，双胞胎的妈了。            
(3星)	 我记得有还不错的音乐。            
(5星)	 他的价值不在于教育和意义，却必须添加。            
(4星)	 还是有些不错的地方的  至少音乐不错            
(3星)	 歌曲好听            
(4星)	 喜欢文慧。可是如今是老徐了。            
(3星)	 或许是看的大陆的第一部偶像剧            
(NA)	   我是我曾经向往的青春，可现实却不是。。。            
(4星)	 歌很好,感觉很好,拍的不是很好~~            
(NA)	 想当年啊~            
(4星)	 爱情？            
(4星)	 小学吧？当时好喜欢老徐和李。            
(5星)	 过瘾            
(4星)	 记得当时年纪小            
(4星)	 往死里讨厌徐静蕾。            
(3星)	 整一个翻拍《爱情白皮书》的路线，再加以和谐，加长…歌都不错啦            
(5星)	 大陆偶像剧代表作，青涩校园爱情典范，我一直傻傻相信初恋就该是这样子的。            
(NA)	 依然还是年少无知的感伤。            
(4星)	 喜欢看王学兵的那段            
(5星)	 一部令人难忘的青春剧，里面有我美好的青春            
(2星)	 早忘了            
(4星)	 读小学时看的 现在回想起来还觉得片子描述的青春让人怦然心动 挺经典的。            
(NA)	 徐静蕾             
(5星)	 最好的青春连续剧            
(5星)	 小柯 谢与新  那些主题曲都很好听            
(3星)	 现在看的话，感觉过时了            
(NA)	 不喜欢李亚鹏的表演，浪费了好本子            
(5星)	 中学阶段最爱的电视剧            
(NA)	 很喜欢，纯情，由于这部片子喜欢上了徐静蕾。            
(4星)	 青春片来说 对这部印象比较深刻            
(4星)	 将爱            
(4星)	 年轻的时候特别爱看，现在想想反而有点想不起来了，岁月不饶人            
(3星)	 唉~那是我对大学的全部幻想啊~上了华工彻底破灭            
(NA)	 我晓得内幕啊，烂制作            
(5星)	 初中时特爱看啊..昏            
(3星)	 音乐很好听哎~~            
(5星)	 我做梦都想要的青春            
(NA)	 跑道就是129前面的跑道。。。            
(3星)	 后来我又怎么能想到里面傻兮兮的李亚鹏拐走了我的周迅和王菲呢？            
(5星)	 555~            
(5星)	 一度非常喜欢的电视剧我的大学爱情梦的起点            
(5星)	 唉。都早早的过去了。            
(4星)	 80后基本都看过吧。。            
(5星)	 青春无限美好            
(3星)	 从那时候起就不喜欢徐静蕾，她说话的腔调怎么听怎么别扭...            
(4星)	 记得电视里放的时候，高三的学姐对我说，那个时候再忙都要追这剧，想着大学生活是多么精彩美好。等进了大学才知道，丫都是骗人的！！            
(4星)	 当年李亚鹏还是不错的            
(5星)	 哎哟青春啊。            
(4星)	 在我小时候的印象里 这个电视剧就是三个男的在大雨里接力跑去医院给一个姑娘送血~            
(4星)	 能说什么呢            
(5星)	 真心看得老泪纵横。。。看到现在浮躁的电视剧产业的空洞和无聊，深深怀念90年代的片里的人，城市，真诚的爱情，理想的追求与生活的简单            
(5星)	 童年            
(4星)	 我妈那天还跟我说，你小时候就喜欢徐静蕾。            
(4星)	 以前的经典，对主题曲倒是印象更深            
(4星)	 其实是看了电影专门回顾的 但没看完结局            
(5星)	 回忆。            
(4星)	 回忆             
(3星)	 我看的时候那是多年轻啊。。。。            
(4星)	 小学了吧~            
(2星)	 张楚高旗田震呵呵前            
(4星)	 当你爱我。            
(3星)	 我小时对老徐的记忆，五分之一是将爱，五分之四是老徐和莫少聪演的情书。            
