http://movie.douban.com/subject/1718150/	天龙八部
(5星)	 好看~            
(5星)	 因为这个所以喜欢上了段公子            
(3星)	 胡军给人的感觉的确还过得去            
(5星)	 想当年我都是很喜欢的……            
(5星)	None
(5星)	 木婉清啊            
(5星)	 倚天和天龙 是翻拍最成功的金庸小说  没有之一             
(4星)	 美女多啊~算是大胡子拍的不错的金庸剧了            
(4星)	 也就胡军和刘涛出彩..俩又是一对..不对..还有木婉清!!            
(1星)	 暴殄天物！！！！             
(5星)	 胡军演的很好啊            
(5星)	 我就是喜欢这一部怎么了。从乔峰阿朱阿紫开始就比港版好。            
(4星)	 还可以吧            
(4星)	 大胡子张拍的最好的金庸剧？            
(4星)	        胡军版的天龙八部！陈小春版的鹿鼎记！苏有朋版的倚天屠龙记！都是我的最爱·每年必看一遍哦！            
(2星)	 ★★☆            
(3星)	 对金庸武侠没啥兴趣，就看见帅哥美女了            
(NA)	 张大胡子的作品……我还是欣赏下王菲唱的片尾吧，《宽恕》天籁。            
(5星)	 张纪中的画面就是他的独特风格，最适合展示女子的美了！这老头。            
(3星)	 还是喜欢陈浩民版的···            
(3星)	 好本子都被央视毁了。            
(5星)	 刘涛一出，阿朱再无他人！            
(5星)	 人物之丰富，故事之紧密，实乃张纪中难得的佳作。            
(5星)	 喜欢胡军诶            
(4星)	 张纪中这部倒是看得            
(5星)	 尼玛~段公子真的是太美了！            
(3星)	 那一夜从桥上坠下的阿朱。            
(3星)	 平庸之作            
(5星)	 比港版的好，初中天天看啊~            
(4星)	 这是张纪中拍的最好的一部金庸戏。            
(3星)	 就喜欢涛姐的阿朱            
(3星)	 为什么老让刘亦菲这个没什么演技的演戏。。            
(4星)	 胡军真心霸气！            
(3星)	 当时只为看林志颖和刘亦菲            
(2星)	 烂片..            
(4星)	 胡军救了张纪中            
(5星)	None
(3星)	 喜歡這個段譽還有阿朱            
(4星)	 坦白说我真的很喜欢这一版，大气，拿得出手的大气才是原著的精神            
(5星)	 这一版本超赞的。            
(4星)	 刘涛的阿朱真是深得我心            
(3星)	None
(4星)	None
(3星)	 没有看过书，直接看的这部电视剧，听说还是比较忠于原著的。个人不喜欢这部小说，人物太多，情节很支离，最后又大杂烩一样的汇集在一起。看完后眇了原著几眼，文笔确实不错，但个人感觉这个故事不好。或许，我早已过了欣赏此类小说的年纪。所以，很失望。            
(4星)	 搞不明白为什么那么多人会喜欢港版的那一部。这一部的乔峰、段誉、虚竹的形象都在重读原著时，与书中人物重合了。            
(4星)	 寂寞的日子。。            
(5星)	 美女很养眼啊！男主说实话演的也不错~            
(4星)	 场面和音乐比香港版大和好一些，就是感觉还是黄日华好            
(3星)	 唯一超过经典版的地方，可能就是阿朱了- -#...三星半            
(4星)	 武侠经典            
(5星)	 胡军很有霸气。可惜林志颖傻乎乎的。剧中美妇比美少女更有韵味。汤镇宗演段正淳很有说服力。            
(4星)	 有些部分拍的很不错。            
(5星)	 这版和黄日华版都是经典的，都不错～            
(3星)	 小时候没事就抱着电视看啊看的。那时候觉得刘亦菲和林志颖可配了。            
(4星)	 省略了太多细节，人物表现不够啊            
(5星)	 说道这部剧,我觉得张大胡子其实蛮给力的,主要是有一些人老是先入为主,可能也是一种病态的情怀吧,就是怀旧,所以只有贬低此版抬高港版的.这一版我最喜欢的角色是阿朱,港版的一点印象也没有.原本给四星的,但是看到很多人胡乱贬低,就多了一星.说李亚鹏的笑傲和射雕不好,但是这一版天龙好            
(5星)	 我觉得很好看啊            
(5星)	 喜欢 第三遍~人物都精彩 节奏紧凑 符合原著            
(NA)	 好多美女            
(5星)	 有100分吗。我真想给。            
(NA)	 有的东西还是要mark一下的。。。            
(3星)	 刘亦菲！            
(3星)	 还有贴纸            
(5星)	None
(4星)	 我觉得是张纪中武侠系列里最棒的一部了            
(3星)	 再爱这个故事，还是没办法违心，撑死三星了。            
(NA)	 还是港版的好看..            
(4星)	 张纪中拍得最好的金庸剧？            
(5星)	 是部好劇，就是被放爛了            
(1星)	 就是两个字：做作！            
(4星)	 居然没评过……我爱乔峰！            
(NA)	 神仙姐姐。。。。。。。金庸哥哥，你没骗我。。世界上真的有神仙姐姐。。。。。。            
(3星)	 看完原著后...            
(3星)	 林志颖的段誉演的有点做作了，不如陈浩民。对神仙姐姐很满意，王语嫣估计也就是这个呆呆木木的样子，刘亦菲的颜也够了，我萌她这个时期的颜，木婉清的颜也够了，可惜激情戏份演过了。。阿紫阿朱略显老态，对阿碧的印象深刻。书上的阿碧就应该是这个样子。。萧峰很出彩。舒畅挺有演技的。            
(3星)	 胡军跟我小叔长的好像啊              
(5星)	 天龙八部就喜欢胡军刘亦菲的这个版本，场面震撼，加上背景音乐的感觉            
(4星)	 给剧情，胡军，高虎的分...........演员长得真不待见            
(3星)	 重温            
(4星)	 喜欢里面的歌曲            
(4星)	 除了刘亦菲都不错～虚竹挺惊艳的他就是个小和尚。            
(5星)	 这一部真心翻拍的不错，很用心，除了那个虚竹            
(5星)	 很少的好翻拍            
(4星)	 我爱萧峰~            
(3星)	 。。。风流。            
(5星)	 最近又重温一遍，只是少室山一战，武侠只看这本，最爱萧峰。            
(3星)	 那时候还是比较喜欢的            
(4星)	 张纪中翻拍金庸最好的作品。            
(5星)	 这是我看大胡子翻拍的最好看的金庸作品            
(2星)	 不予评价            
(1星)	 无法形容            
(5星)	 不错!!好看            
(5星)	 突然想起来这个电视剧，零零碎碎看了不下三遍，并且有再看一遍的冲动，很大气，            
(3星)	 这部还不错，比张大制片以前的好些。            
(3星)	 林志颖。。。            
(3星)	 张纪中拍了这么多金庸剧，就这个还能看            
(4星)	 喜欢这个版本的&lt;天龙八部&gt;,其实理由比较简单,也肤浅吧. 就因为自小学开始喜欢林志颖.因此这部戏里最喜欢的也就是段誉了,也老想着去大理看看(嘻嘻嘻,得攒钱了).当然,最让人佩服的自然是乔峰,胡军将这个人物演活了,也让我一直对山东,或是北方人吧有个朴实,豪爽大方的好印象.            
(5星)	None
(5星)	 赞阿朱和乔峰。乔峰，大英雄本色！！不过段誉和虚竹就像不劳而获的人呢……王姑凉最后转变的好快啊接受不了。            
(5星)	 就这般张纪中拍的不仅正常还深得我心，之后张纪中估计是失心疯了            
(4星)	 多年的愿望终于了了。。。。挺好的            
(3星)	 为了演员给三星~            
(5星)	 感觉这个是央视翻拍的最好的一部            
(5星)	 胡军演的太棒了，场面也十分逼真，漂亮，王菲的歌相当好听            
(4星)	 这是张大胡子出品的最好的一部了            
(4星)	 音乐大亮。            
(5星)	 舒畅演的童姥很出彩~            
(5星)	 我开始以为是张纪中导演的，一看不是，终于没被糟蹋            
(4星)	 2011-7-7            
(3星)	 哎。。。。。            
(4星)	 四颗星都给俺家小志~~~~            
(4星)	 这真的是童年的记忆了。            
(4星)	 如是，我闻            
(3星)	 受不了刘亦菲 啊啊啊            
(3星)	 这版的刘涛实在是很惊艳~~~便秘般的降龙十八掌印象也不错。            
(3星)	 乔峰啊乔峰            
(3星)	 胡子金庸系列拍的最好的一个么……            
(5星)	 一直觉得这部拍的最好了。喜欢虚竹。            
(5星)	 最爱的金庸武侠。那么多线还是不乱，厉害得很            
(2星)	 张纪中拍的东西一般都挺垃圾            
(5星)	 最喜欢的版本            
(2星)	 两颗星，一颗给风景，一颗给胡军，其他演员全部无视。            
(4星)	 张纪中最好的金庸剧            
(4星)	 胡军的萧峰，刘涛的阿朱，简直太得原著精髓。            
(4星)	 張紀中最拿得出手的金庸劇就是這一部了；王菲唱的寬恕很不錯，我現在還偶爾會哼… 你英雄好漢需要抱負 可你欠我幸福拿什麼來彌補 難道愛比恨更難寬恕 ；蔣欣演的婉妹超美，自這劇之後我就成了蔣欣姑涼的飯…            
(3星)	 跟其他烂武侠相比算很好的了，可惜哪及书之万一            
(2星)	 不喜欢这个版本，也不喜欢看，因为这动作，这说话的神态，刻意做作，人的神态又是这么的浮躁，真不好看，要是没有刘亦菲还好那么一点点，这下遭了，真烂。黄日华版天龙八部大爱            
(4星)	 张大胡子的翻拍偶然成功。            
(4星)	 这版还不错吧，和黄日华版比起来胡军更粗犷的样子，还挺喜欢的，不过段誉还是陈浩民比较像~~            
(4星)	 这个版本差不多完美了~除了很不爽灵鹫宫在个山洞里。。。人家是缥缈峰啊缥缈峰。。。哈哈，不过其他都很好~            
(4星)	 除了胡军大家都长得蛮好看的╮(╯_╰)╭            
(1星)	 实在是垃圾。            
(5星)	 演得很到位            
(1星)	 演员只有台词，太生硬，面部表情及一些表现人物性格的小动作都忽略了，而且画面少了对应的伴奏音，最不该的是把很体现金庸精神的结尾改掉了，哎，悲哀啊，为什么央视老自作多情不觉脸皮厚呢，改《笑傲江湖》已让人难以接受了反而不知耻            
(5星)	 其实这部很好啊，美女又多，帅哥也不错，虚竹本来书中就丑得让无崖子叹气的。唯一缺憾，童姥真的需要打扮那么幼齿嘛，而且李秋水就被划了一笔，至于这么狠毒嘛，有点假。我喜欢这部的段誉，段正淳，阿朱，阿紫。。。。。。            
(4星)	 小志！！！！超萌的段誉……看过n遍就为了看你……当然，也很喜欢刘涛的阿朱姐姐~~            
(NA)	 我是不是太闲了。。。            
(4星)	 刘亦菲演的王语嫣，很喜欢。这是部关于复仇正义的片子。复仇从来都是简单的，和权术（权衡）无甚关系。            
(4星)	 拍的还行， 不过还是书好看            
(4星)	 因为有林志颖嘛。            
(4星)	 不错。            
(NA)	 大爱这一版的大理段二            
(NA)	 一坨屎 除了林志颖            
(5星)	 这版的天龙让我记住两个角色。舒畅的天山童姥和高虎的虚竹！还有美丽的阿朱。只是可惜阿朱死的那段个人觉得渲染还不够！            
(4星)	 张纪中拍的唯一能看的            
(4星)	 这个版本挺好的…            
(4星)	 张纪中就这部没拍烂。。            
(3星)	 人物很漂亮，但是导演不行，实在看不下去。还是香港黄日华那版好看，看了好多遍还想看。            
(NA)	 啊啊            
