http://movie.douban.com/subject/2161882/	男亲女爱
(5星)	 哈哈，很欢乐的剧~            
(4星)	 舍不得结束来的            
(5星)	 一定得看粤语版~黄子华实在是栋笃王~            
(NA)	 哈哈            
(5星)	 哈哈哈，非常值得重温。            
(4星)	 我爱黄子华。            
(5星)	 领教了黄子华的深厚功力，拜服！            
(5星)	 我觉得我很像miss mo怎么办?????            
(4星)	 我竟然一集不落的看完了！几真实又几不真实，人人都是精彩的小人物，人人都好坏不分——除了CK那个混蛋            
(4星)	 好长哦,miss mo            
(3星)	 嗷 当年无知都没认真看            
(5星)	 呢套剧，真系超正！！！            
(5星)	 经典中的经典！！！！！！！            
(4星)	 细个T而且甘晚播的都没T几集，所以没咩点觉。不过妈整日讲最记得干柴烈火同小强            
(NA)	 黄子华够贱。            
(5星)	 黄子华随便说两句都能让人爆笑^_^            
(5星)	 经典到无得再经典            
(5星)	  经典就是经典。            
(4星)	 黄子华~            
(5星)	 值得反复翻看的电视剧，黄子华基本就是大神            
(5星)	 除了大时代，我的最爱            
(4星)	 小強再翻身            
(5星)	 我最爱的港剧，小时候中午躲在房间一集一集追着看。。我的回忆            
(5星)	 挚爱这部温暖的电视剧            
(4星)	 都没有人讨厌毛小惠这个角色吗？！！！！！！！！！为了DAYO死忍看下去... ...            
(NA)	 这部才是黄子华的经典！            
(5星)	 funny.            
(5星)	 长假必备            
(5星)	 黄子华！            
(4星)	None
(5星)	 TVB收视第一            
(3星)	 换成ADA，我真是不喜欢这个年纪稍大的            
(5星)	 ~~            
(5星)	 tvb超级经典。看多少次还是会笑。             
(4星)	 伴我度过那段艰难的时光            
(5星)	 笑死了，妙语连珠            
(5星)	 好看！            
(5星)	 算是我看得最快的剧了，特别最后几集，快速播放，又如何！！            
(4星)	 = =（以前看的，纯添加）            
(5星)	 好久未试过笑抽的感觉！            
(4星)	 Miss Mo 的穿衣taste真是很不错            
(5星)	 MISS MO和LOK TIM都是超级可爱的人            
(5星)	 每次黄子华出现都会创造高收视率！！            
(5星)	 超级好看.            
(5星)	 简直是经典中的经典            
(4星)	 两只都有够贱绝配！            
(5星)	 太经典了，每集都笑死             
(4星)	 原来老女人靠一张嘴也是这个迷人。            
(4星)	 真的太搞笑了~~~~~~~            
(4星)	 好搞笑~~            
(5星)	 喜欢黄子华            
(4星)	 子华子华子华子华            
(5星)	 华叔……余乐天            
(5星)	 心水，超爱子华            
(5星)	 正到唔識講！            
(5星)	 不可复制 无可超越            
(4星)	 自己在宿舍吃飯時經常看的  屬于小學記憶            
(5星)	 太ci 太好玩            
(4星)	 据说这是收视率最高的电视剧了            
(5星)	 喜欢Dodo姐的气场，加上子华的台词~笑到PK。“荷尔蒙失调，内分泌失败。”“你毁了容岂不是更好？你可以顺便整容了.”“你一生下来就是更年期了。”“你最本事的就是没说脏话都跟说了一样。”            
(3星)	 http://www.imdb.com/title/tt9895315/            
(5星)	 人强，不需要马壮，不需要包装~~            
(5星)	 没看全 很不错            
(5星)	 经典            
(5星)	 我喜欢黄子华,不是幽默这么简单.            
(5星)	 媲美F.R.I.E.N.D.S            
(5星)	 已不能用力荐来表达我的心情            
(3星)	 小强成名作！            
(NA)	 黄子华            
(5星)	 经典作品 也是靠的这个作品，黄子华红透半边天            
(3星)	 &#34;蓝蓝天空高挂我的梦~~~~`&#34;歌词不是很差呀            
(3星)	 从小看TVB长大，这部看了N遍，尤其记得那只小强。            
(4星)	
(NA)	 实在看不完。            
(NA)	 怀念每天提凳子串宿舍门的日子，美妙的411            
(NA)	 无可超越            
(5星)	 最好看的短剧。            
(5星)	 黄子华太有才，虽然是2000年的剧，十几年后看都还是爆笑。真的很经典，至今最高收视无被打破不是没有原因的，小强到最后都变得好可爱，有黄子华在这里，同多几只小强一起住又，如，何！！            
(5星)	 每集都好好笑，欢喜冤家又如何~~~            
(5星)	 当时看的时候笑死我了。            
(4星)	 哎呀 dodo姐在里边太气场了  好爱黄子华   不知道下一步这么经典的tvb现代喜剧能否再现啊            
(5星)	 从这部剧开始爱上黄子华。            
(5星)	 好看到死啊混蛋！            
(NA)	 嗯，白骨精么，其实真的很难的。。。            
(4星)	None
(NA)	 突然发现豆瓣连这都有啊…果然二逼青年欢乐多            
(5星)	 经典神作~~~dodo姐同子华大斗演技，精彩万分~~~经典台词很多啊，off啊你！又如何！强啊！小强是我兄弟~~~~            
(5星)	 点解可以甘搞笑吖~Dodo姐同黄子华拍挡真系正！            
(5星)	 真的非常非常非常超级经典@！！！！！！！！！！！！大爱DoDo和子华，不管开心与否都会找出来看，好吧，我现在又在看了~~            
(4星)	 欢乐剧！            
(4星)	 笑死了好么。dodo姐那个高傲，黄子华那个猥琐，真是笑死我了。            
(5星)	 笑死人了~            
(5星)	 很好笑啊~~~            
(5星)	 好噶经典哇，太好看了点吧            
(4星)	 印象最深刻的是dudu姐弄死了黄子华的小强那一集，笑死我了！！            
(5星)	 黄子华，但不单单是黄子华，还有宛琼丹子，APPLE等，超级无敌大欢乐。            
(5星)	 10年前看的片子了依旧爆好笑。            
(4星)	 意外发现小时候看过，哈哈            
(5星)	 我对tvb嘅要求就系 地道嘅粤语粤语粤语 .            
(3星)	 搞笑片，戈时好红~不过冇咩印象啦。            
(5星)	 我觉得只凭黄子华就够得上五星推荐了，原谅以前的我老是看女主不顺眼，主要是我感觉她长得不够美观。            
(5星)	 黄子华的喜剧，必看            
(5星)	 最后miss mo对小强真可爱，我想以后都不那么烦蟑螂了            
(5星)	 粤语经典            
(4星)	 笑死我了哎哟            
(5星)	 最经典的办公室斗阵            
(5星)	 TVB史上我唯一觉得可以称得上是神作的剧 看了很多次了 最近又在重温 真的看不厌啊 阿lok miss mo 你两真的超配 还有CK律师行的一班人 真是演的太到位了            
(5星)	None
(5星)	 改变传统笑剧模式，完全是一个人在改变所有，他就是黄子华            
(5星)	 黄子华有多抵死？看这部就知道了~塑造了超多经典人物，James，仙姑，CK，Alex鲍，每个都超鲜明~            
(5星)	 蓝蓝天空高挂我的梦            
(NA)	 小时候爱死了 神剧            
(5星)	 好喜欢这个搭配～            
(5星)	 强强联手啊，情景喜剧巅峰            
(5星)	 子华哥已经值满分～            
(5星)	 蓝蓝天空高挂我的梦！！！            
(5星)	 香港还有这样的电视剧……            
(5星)	 子华啊……            
(4星)	 第16集太经典咯，彻底笑倒。追看舞台剧。            
(5星)	 一遍一遍又一遍。。。            
(4星)	 还是喜欢栋笃神探多点            
(NA)	 哎呀，我还真看过，竟然那么长啊，这俩。。看似完全不搭，可真凑在一起，倒也不错，分数竟然那么高？            
(4星)	 黄子华~~~            
(5星)	 舅父同舅母拍完拖就翻嚟同我带我一齐睇~            
(4星)	 经典啊！里面有大量桥段到现在记忆犹新。虽然看起来没什么营养，但是笑料真的很足，而且笑完之后，也会有所反思。黄子华演贱男真是一绝，贱得很过瘾。            
(5星)	 学粤语的趣味教材 有黄子华 哪会不精彩~哈哈~            
(5星)	 搞笑            
(5星)	 人生怎能没有miss mao和余乐天！            
(5星)	 阿乐同MISS MO的故事，笑到焦咁。。            
(5星)	 tvb最棒的喜剧没有之一。            
(NA)	 因為考試無聊(哈哈)所以翻看，原來細個唔識野，套戲隱含住咁多咁多既性別議題。十一年啦，入面既性別議題仍然被討論，問題仍然未解決，翻看先發現原來男親女愛咁有前瞻性。好喜歡呢套劇，唔單因為好笑，仲鍾意演員之間既自由發揮，唔知點解硬系覺得同而家d演員講對白有點唔同。            
(4星)	 欢喜冤家            
(NA)	 我的大爱  小男人也有大智慧            
(5星)	 11年之后才看这部剧，相见恨晚！            
(5星)	 经典就是好看闹......            
(5星)	 小强            
(5星)	 不多说，百看不厌            
(5星)	 翻出来又想重新看一遍~            
(5星)	 真是绝配啊两个人！            
(5星)	 港式处境喜剧集大成之作。            
(5星)	 粤语看!            
(5星)	 余乐天，miss Mao, 仙姑            
(5星)	 经典港剧            
(NA)	 强啊~哈哈哈哈哈哈~！            
(4星)	 喜欢这个组合 ，都很搞笑.            
(4星)	 苑琼丹子- -            
(5星)	 TVB排名第一经典啊            
(5星)	 TVB再也拍不出这样的剧集╮(╯_╰)╭            
(4星)	 够贱够可爱            
(5星)	 必看的剧！！            
(5星)	 终于看完了…………很萌！我喜欢这种轻松又有趣的剧=w=除了Michelle（喂）每一个角色都不完美，但是都很可爱。我从现在开始买马的话什么时候能中大奖（你会吗）            
(4星)	 小强红了!!!            
(4星)	 看过两遍 结局真是没意思。。            
(5星)	 时隔多年 依旧搞笑            
(5星)	 好看~都喜欢~~~~            
(5星)	 黄子华很经典的电视剧，小时候很喜欢看！！            
(NA)	 这是我最喜欢的电视剧之一            
(5星)	 黄子华的神作，仅限于港产大饮维他奶的我们。            
(5星)	 小强啊小强 哈哈哈 超好看 小时候的我真的很走运            
(5星)	 Dayo Wong~~~!!!            
(5星)	 很好看啊。            
(5星)	 http://v.youku.com/v_show/id_XMjkxNDY3NDky.html            
(NA)	 Do姐威武，霸气各种漏            
(4星)	 50集吖~就在慧慧一巴掌抽在乐乐的脸上结束啦。。。俩人一对活宝啊。倒数第三集才勾搭上。- -这样的电视剧闻所未闻啊。话说有些桥段笑到抽筋啊。“给钱抽人”“再动我吐在你身上”……黄子华超级可爱啊，就算是演猥琐男也超级讨人喜欢。            
(5星)	 经典的笑剧啊            
(5星)	 和现在的港剧比起来真是一个天上一个地下，太棒了，爱死黄子华！            
(5星)	 绝配！最好！            
(5星)	 11年前拍的,现在看也不过时啊``            
(4星)	 剧情一般，最后几集太扯了，黄子华很有才，片中本事没多大，嘴太贫；蒋志光是个亮点，看得出他很努力的，演的角色我都很喜欢。三星给剧，一星给黄子华和蒋志光。            
(5星)	 看到后来中奖简直是都市童话剧嘛~ 好好玩啊~            
(5星)	 超爱子华，笑死我啦这部电视剧            
(NA)	 啊啊啊啊啊啊啊 啊为毛是郑裕玲！！！！！！！！！爱死黄子华了！！！！！！！！            
(5星)	None
(4星)	 以前很喜欢啊 貌似 演到一半停播了            
(5星)	 子华，我爱你            
(5星)	 人强，不需要马壮，不需要心慌，我有小小强            
(4星)	 有子华这个栋笃笑始祖在,虽然片子很TVB,依然很搞笑.            
(5星)	 难得几部值得我一睇再睇噶戏....            
(5星)	 每集都有笑点，很喜欢！黄子华真的太赞了！！            
(5星)	 没得说了，演技棒的演出真是火花四射。            
(4星)	 贱贱的黄子华            
(5星)	 好好看啊            
(5星)	 太好看了！            
(5星)	 从未被超越！            
(5星)	 10/10，剧本优质，角色经典，演绎到位，发展有趣，各point兼具。            
(5星)	 余乐天真是现代贱男的代表啊，太搞笑了。推荐。            
(3星)	 太长太托  都不知为什么给九分 不如绝代商骄好看啊            
(5星)	 这是我看的第一部TVB的情景喜剧            
(5星)	 黄子华 不解释            
(5星)	 黄生在里面超级贱格呀，好睇额~~~            
(5星)	 黄子华是最大亮点，dodo姐本色演出            
(5星)	 子华的神作            
(5星)	 最爱电视剧之一            
(4星)	 苑琼丹子印象最深了哈哈            
(5星)	 小强            
(4星)	 现在回头看还是很搞笑。好欢乐的男亲女爱~            
(5星)	 姜还是老的辣，功力深厚。原来单口相声还有个名字叫栋笃笑，应该是粤语。            
(5星)	 张牙舞爪下的少女情怀 10几年前的片子竟然一点都不落伍  太好笑了            
(4星)	 欢乐剧。原以为是50集。后来发现百度视频有100集。再后来。原来它还是50集。            
(NA)	 认识了黄子华            
(NA)	 又如何~            
(5星)	 舞台剧非常正~！电视都非常正！            
(4星)	 相比，更喜欢栋笃或绝代，甚至奸人坚。。。。什么道理            
(5星)	 爆笑经典 喜欢黄子华 太有喜感了            
(5星)	 记忆中很搞笑            
(5星)	 虽然miss mo有些市侩及坏脾气 但还是觉得dodo很有气质很高贵 余乐天感觉很贱 第一遍看的时候觉得贱得让人讨厌 后来再看就觉得还好了 苑琼丹子 最近才注意到这个“女优” 很有笑点 最后几集还有李丽珍 开始以为自己看错 后来发现真的是李丽珍 surprise            
(5星)	 我还记得你大叫着“小强”的样子            
(5星)	 小强~~~~~~~            
(5星)	 舞台剧好笑的更多            
(NA)	 绝对的经典~            
(5星)	 最搞笑时装剧，没有之一！            
(5星)	 这是一部没有帅哥靓女，全靠两位主角的个人魅力和经典台词以及各位配角的传神演出而取胜的剧作，大爱黄子华！            
(5星)	 绝对搞笑，绝对好看，五颗星不为过，哈哈，喜欢黄子华            
(5星)	 笑爆            
(5星)	 小时候看过，只觉得热闹，长大了再看，更明白其中的笑点和寓意… 黄子华，曾经因为《状王宋世杰2》里面的反派而怀有敌意，但是《绝代商骄》和这部，让我喜欢上他的风格！最后和MISS MO擦出火花那段…呵呵…！（PS：蒋志光的角色是个亮点）推荐看完之后再看看后来排的舞台剧，一样精彩！            
(4星)	 真长。。。每天吃晚饭的时候看，还是乐呵呵的，虽然中间有不少地方有点无聊            
(5星)	 跨世纪经典啊             
(5星)	 Off XDDDDD            
(4星)	 台词功力深厚，嘟嘟姐在我看来也是惟一同黄生搭戏而能平分秋色不被压场的旦角。无奈年代久远...看的时候始终有点兴趣乏乏。            
(5星)	 绝对珍藏，黄子华太有才啦，搞笑            
(5星)	 经典            
(4星)	 每一副张牙舞爪的皮囊下面都有一颗意料之外的玻璃心　史上最有爱的世纪大贱男和最善良的奸夫淫妇            
(5星)	 小学看的            
(5星)	 百看不厌的~隔段时间就心痒痒地再看。            
(5星)	 蓝蓝天空高挂我的梦……            
(5星)	 蓝蓝天空高挂我的梦~~~~            
(5星)	 轻松 愉快            
(5星)	 睇唑九万几次都依然咁好笑。miss mo和阿乐，你地好掂啊            
(NA)	 大爱！            
(NA)	 第三遍~~实在太爱~黄子华了！            
(NA)	   编剧很脱线，黄子华够贱，郑裕玲够大只够搞笑。一众配角也很出彩，尤其是那只通灵性的蟑螂小强。            
(5星)	 阮婉很搞！            
(5星)	 贱男：虽然我的偶像是苑琼丹子，但是其实我是很纯洁的啦~            
(4星)	 当年Do姐很美诶···            
(5星)	 这个电视剧再也回不来            
(5星)	 看完了。。。好失落。。。            
(5星)	 绝对是2000后最好看的处境喜剧！郑裕玲和黄子华，多么令人意想不到的组合，却擦出了爆笑又奇妙的喜剧火花。剧内经典语录无数，又有谁能忘得了阿Lok的好兄弟小强。。。苑琼丹是很亮的绿叶，久违的李丽珍让人惊艳。            
(5星)	 子华！猥琐并搞笑着...            
(5星)	 已經是11年前的事了 小強            
(5星)	 爆笑!!!            
(5星)	 虽然开篇一般 中间想放弃 不过真是难得的好剧 忘记了从第几集开始5星的            
(5星)	 想起子华在show上说苑琼丹比他小，再看这剧就更想笑了，女谐星之路啊            
(5星)	 小时候和姐姐一起看的...记得非常搞笑的片子。。。又开始想回顾了...            
(5星)	 最高50啊！！！这才是收视巅峰好不？！            
(3星)	 本来是力荐，郑裕玲老得太creepy了主要是            
(4星)	 就一个男人他可以恶心成这样但是你却喜欢            
(4星)	 小强就是在这部戏里知道了            
(5星)	 看了不下几十遍，还不厌。就知道这片的魅力。            
(4星)	 小时候不喜欢。重播看挺欢乐            
(5星)	 不知道为什么第二次看反而觉得更好看了。笑点变了？            
(4星)	 喜欢dodo多于子华。d姐的把一个争强好胜、人前风光人后脆弱的剩女演绎得完美无瑕。当然余乐天也很典型，戏份没飙过D姐输在角色的设计和性格特点上。            
(5星)	 看黄子华，学粤语~            
(4星)	 好看            
(3星)	 实在不喜欢最后几集            
(4星)	 很搞笑！！！            
(4星)	 我爱黄子华！！            
(4星)	 有黄子华就不怕没有好剧            
(5星)	 蓝蓝天空高挂我的梦~            
(5星)	 最爱大爱！！！            
(5星)	 这部不解释了经典            
(5星)	 当年的精典！            
(5星)	 43集看见李丽珍，太惊喜了。            
(4星)	 看黄子华，理由足够了。            
(5星)	 前无古人，后无骨盆~            
(5星)	 黄子华好欠揍咧            
(5星)	 大爱 子华。。。。。即使系TVB出品，又如何！！！            
(5星)	 很久没这样笑了，太好的剧了，主角配角都很好。不愧是TVB有收视数据以来的冠军，一定要看粤语的才有意思。50集太短了…最好的就是蒋志光扮朱咪咪。            
(4星)	 50集，冲着黄子华，我一定坚持看完！！！            
(5星)	 真的很搞笑。伶牙俐齿的人向来很爱。            
(5星)	 經典到無嘢好講            
(4星)	 小时候对那个小强很感兴趣、            
(5星)	 爱上黄子华~            
(5星)	 好笑！黃子華！經典！            
(5星)	 非常久远的记忆了``但是当时看的时候，真是乐的不行。里面每一个角色都是那么搞笑又生动。。。大爱这部            
(4星)	 黄子华 郑裕玲擦出愛的火花之作。            
(NA)	 子华的搞笑才能。            
(5星)	 爱老婆就要先爱男亲女爱            
(5星)	 记忆中超搞笑的个片            
(5星)	 又如何~~            
(4星)	 简直是治疗抑郁症的良方啊。。。强啊            
(5星)	 喜剧中的战斗机。港剧史上收视之冠。            
(5星)	 初中看的~~好像就是在这部戏认识黄子华的~            
(5星)	 那段时候断断续续的看了一点，后来一直不知道这部叫什么，有时间一定好好看一遍            
(5星)	 太经典            
(5星)	 滑稽是滑稽的来            
(5星)	 我爱小强            
(5星)	 。。。            
(5星)	 经典！            
(4星)	 不得不说黄子华很有喜感&amp;原来小强是源自此片            
(4星)	 搞~！            
(5星)	 大爱子华~~~~~~~~~            
(5星)	 终于看完了==47集是亮点呀~~~前半集黄子华学国语很可爱~~后半集他俩终于好上了~~~            
(4星)	 虽然很老了 但是真的好看 而且是越看越好看            
(5星)	 不在猥琐中灭亡，就在猥琐中得到升华……            
(5星)	 黄子华的神作！            
(5星)	 黄子华真的很贱很好笑，            
(5星)	 随便找一集当背景音放都超好笑！！！            
(5星)	 50集哈短呀~！笑得我肚子痛 华仔哈嘈 明年一定再看一遍~            
(5星)	 抵死搞笑!            
(5星)	 好看！            
(5星)	 你一出世就更年期            
(5星)	 封魔当年            
(4星)	 真的不得不说，经典的港剧，有的段子很有香港的喜气。开头前几集的笑点密集程度简直可以媲美星爷了。不过后面就平淡了（这就是给四星的原因），不过还是偶尔会有亮点的。黄子华，真的不得不说是现在几个少见的性格演员，这个角色也很可爱。很多人都说miss mo是唯一能和黄子华吵架的女主角，然也            
(3星)	 十年前看的，真的是非常搞笑的港剧！！小强居然能贯穿始终~~            
(5星)	 太太太太太太太太赞的喜剧了，实在是太搞笑了，初中的时候电视上就有放过~大学终于看完了，现在都看了三遍了。50集真不够啊啊啊~~~            
(5星)	 黄子华真系好搞笑~~            
(5星)	 天才与天才的合作，超爱子华！！            
(5星)	 真的很想一直看下去的            
(4星)	 四星无论如何都要给黄子华。            
(5星)	 kiang a            
(5星)	 2000年发生了好多事情...            
(5星)	 乐天派。            
(5星)	 好搞笑。            
(4星)	 为了dayo特地去挖出来的早期影片。小市民、小人物的小故事，笑过之余，还会留下些淡淡的忧伤。            
(3星)	 当时看就觉得丑男陪老女，现在觉得黄子华很有才            
(5星)	 虽然看过很过遍还是这么好玩，心情不好的时候随时拿出来看下。DoDo很正啊，《表姐》《赌霸》里都极好玩。女演员喜剧演的自然好笑的还真是不多了，赞。这里和子华都很衬，旗鼓相当。                
(5星)	 超搞笑!!            
(4星)	 小强就是这样来的~            
(5星)	 这是我看过TVB最好的小片，余乐天、miss mo、仙姐、alex 鲍，这些任务太过经典，还在剧中大玩穿越，从古代、民国年间青楼、6，70年代的香港，我已经重温N遍，每每晚上吃泡面必备，硬盘里唯一不舍得删的剧集。            
(5星)	 喜欢黄子华，喜欢黄子华的演技，也喜欢黄生的黑色幽默！            
(3星)	 喜欢后面几集~            
(5星)	 my favor...            
(5星)	 除了小强以外，都很好。。。            
(5星)	 不愧是黄子华的作品啊~真的很赞~            
(5星)	 子华神作。可是，第二次看，我再也没有耐心。我老了。            
(5星)	 神剧!刺激了我幼小的童年神经            
(NA)	 非常喜欢！郑裕玲太棒了，我爱她！和黄子华的搭配也火花四射！            
(5星)	 黄生，我爱上你了啊。            
(5星)	 黄子华式的幽默！            
(NA)	 曾经创造最高收视神话的情景喜剧，黄子华天才演绎            
(NA)	 嘟嘟姐好靓！比较遗憾的是，结尾好仓促            
(5星)	 经典啊经典啊~~~从这部剧开始认识黄子华            
(5星)	 黄子华终于成为电视剧男主角了！和dodo真的是天生一对的感觉。很好看！            
(4星)	 小强            
