http://movie.douban.com/subject/2295811/	机灵小不懂
(5星)	 经典张卫健搞笑剧~            
(3星)	 即使今天重新看，仍然觉得不错的一部剧。            
(5星)	 超喜欢看 嘿嘿             
(4星)	 神神气气神神气气不懂老师~            
(NA)	 开始比较好玩 后面就...            
(NA)	 为什么又名是韩文？            
(5星)	 小时候翻来覆去看的，现在电视台又在放了，好兴奋！这个时期的张卫健还是很好玩的，没整容的李冰冰还是蛮可爱的，薛佳凝的角色好像叫“凤姐”…            
(4星)	 初中时是极爱的，八牛的绰号因此而来。            
(3星)	 话说当年超级喜欢张卫健呢            
(4星)	 当年看很有意思 李冰冰不知不觉就这么红了            
(4星)	 哎呀 张卫健的电视剧倒是看了不少  = =             
(4星)	 還不錯啦!            
(4星)	 喜欢张卫健            
(2星)	 为嘛烂片我都不放过的看过，我也费解啊            
(NA)	 小时候每年暑期档怎么都有张卫健..            
(4星)	 谁没年轻过            
(NA)	 又四一个张卫健！            
(4星)	 其实这部剧很有民主主义色彩的呀！皇上跟大臣去种地呀！            
(1星)	 张卫健真的好呕。            
(3星)	 呦喂，当年的李冰冰嘛~你怎么能看上没毛色衰个矮年长的不懂？？？            
(4星)	 记得高中的暑假里特喜欢看~~还不错的            
(3星)	 。。。            
(4星)	 这个好            
(3星)	 有点烦张卫健            
(3星)	 给小傻子看的， 好吧 我以前是小傻子            
(4星)	 =)- =一直不知道想表达什么            
(NA)	 我怎么不记得有李冰冰聂远            
(4星)	 神神秘秘神神秘秘不懂老师             
(4星)	 神神气气神神气气不懂老师，辩驳最流利——结局很傻，但前面还是蛮搞笑的            
(3星)	 据说像一休哥，可是还是很一般。            
(3星)	 这时候张卫健开始装嫩了。            
(4星)	 不知道为什么当年就那么喜欢看~~凉风有性~秋月无边~亏我思娇的情绪好比度日如年~~咦~这句话是这样说的吗？？            
(3星)	 神神气气神神气气不懂老师~~~辩驳最流利~~            
(4星)	 小时候爱看啊，现在完全看不了，小时候觉得薛佳凝怎么那么美啊，然后粉红女郎她形象就颠覆了。看了剧情简介才知道，原来是这么个事儿            
(4星)	 正值张卫健最红那会儿            
(3星)	 张卫健演什么都是他自己……            
(3星)	 电视台播这部电视剧的时候，我还没能像现在这样以电脑为生，电视在我的生命中那地位还是不可动摇的。那时候觉得李冰冰长的挺不错的，只是打一开始就不怎么喜欢张卫健。            
(3星)	 张卫健永远这个样子 = =             
(5星)	 他那句口头禅。。神神气气。。机灵小不懂~            
(3星)	 何其诡异            
(1星)	 无知            
(4星)	 也是曾经幻想过自己是籽言的 无语            
(4星)	 曾经小时候暑假灰常迷            
(NA)	 张卫键曾经挺有意思的。            
(4星)	 内地古装版GTO...            
(2星)	 讨厌张卫健。。            
(5星)	 当时是谁那么爱张卫健。没错，就是我。看这部片看得眼泪哗哗。对老师油然尊敬了起来啊。            
(5星)	 P.S.看了好多遍了            
(4星)	 至今还爱看            
(5星)	 好看。            
(3星)	 很多年前的夏天看过  看得很开心的  哈哈            
(3星)	 貌似还可以。小时候好像很喜欢张卫健的样子。。            
(5星)	 神神气气神神气气不懂老师~这时候的李冰冰真有爱...里面还有我听喜欢的何美钿..            
(3星)	 我要撒野撒野潇潇洒洒活在这个疯狂世界            
(2星)	 开始依稀可见张的自恋。            
(3星)	 什么都不记得了……            
(NA)	 外婆带我一起看。            
(3星)	 我真的看过好多电视剧耶            
(4星)	 不错...            
(3星)	 至今记得“局部性阵雨”~~            
(4星)	 那时候真喜欢张卫健的喜剧            
(3星)	 张卫健同学部部都是这种风格            
(3星)	 小时候竟然全民都会看。            
(4星)	 一休+金田一..            
(4星)	 怎么可能存在这种老师。。太假了            
(5星)	 很可愛            
(5星)	 很好看~            
(4星)	 从这里开始喜欢李冰冰             
(4星)	 神神气气，神神气气，不懂老师，辩驳最流利            
(4星)	 My favourite..!            
(4星)	 很无聊            
(3星)	 反正是伤了冰冰心的家伙....            
(4星)	 就是.            
(3星)	 一小般~            
(3星)	 一般...不是很喜欢...            
(5星)	 有张卫健的就是赞~            
(4星)	 记忆中这部剧特别好。摄影很强悍，编剧也算滴水不漏了，非常圆熟。            
(3星)	 非常小的时候是张卫健迷就是发觉他鹿鼎记拍得一般不能跟小春比 那时真是春风得意啊            
(NA)	 最后一次老片回顾            
(3星)	 还是部蛮可爱的片子。。            
(3星)	 导演居然是马精武？            
(NA)	 神神气气 神神气气 不懂老师 辩驳最流利            
(5星)	 神神气气~神神气气~不懂老师~            
(NA)	 看过看过 不懂老师 哈哈……            
(3星)	 当年很喜欢，现在复播觉得没啥意思。。            
(3星)	 那年偶初三.....            
(4星)	 2001            
(NA)	 张卫健永远一个调调。            
(4星)	 哈哈，这个比较特别            
(5星)	 很久远的片子，最近有外地台在放            
(5星)	 为啥没什么人喜欢这部片呢我就百看不厌啊 又在重播又在看            
(4星)	 刚看到江西卫视在播，好怀念            
(4星)	 这个小经典            
(3星)	 这个貌似还挺好看的 忘记了            
(NA)	 喜欢张卫健这个男人            
(4星)	 神神气气神神气气不懂老师~辩驳最流利~！            
(4星)	 我是神神气气神神气气不懂老师。。。            
(3星)	 神神气气不懂老师，辩驳最流利            
(4星)	 我要三天三夜 我在这个~            
(3星)	 好久以前的片子~~            
(4星)	 看过            
(2星)	 张大妈你好            
(4星)	 唔错。。真系好聪明！            
(4星)	 哎~第一次一集不落的看完~            
(NA)	 其实这是爱情片。。。            
(NA)	 小不懂，这名字太恶心了            
(4星)	 神神气气神神气气不懂老师 辩驳最流利~            
(5星)	 这部还好            
(3星)	 神神气气神神气气不懂老师biang biang biang biang biang....            
(NA)	 其实当年同期泛滥的古装剧里，这部非常可爱            
(5星)	 好搞,好笑            
(4星)	 当时觉得天真妹超级漂亮！            
(2星)	 勉强能看。            
(5星)	 太滑            
(3星)	 主题歌蛮好玩的            
(3星)	 张卫健演来演去都这风格~            
(3星)	 这里的张卫健我还是能看得下去的            
(3星)	 XXX不懂老师，辩驳最流利！            
(NA)	 小时候好喜欢看的连续剧,喜欢那时候张卫健的搞怪,什么东西方式潮流，还是老的好啊，念旧哦            
(4星)	 初中的时候，ffz在大结局的时候出去旅游了。她回来后曾经给我打电话问结局。依然是我最爱的张卫建的剧集之一。            
(3星)	 机灵小不懂            
(3星)	 每年一部的经典!            
(4星)	 挺好玩的。            
(3星)	 剧情像一休．．．．李冰冰和薛佳凝在里面的扮相很不错～～            
(2星)	 早就不记得了            
(4星)	 这演员阵容还是颇为强大滴！            
(NA)	 有一段时间很喜欢            
(4星)	 籽言            
(4星)	 挺喜欢片中小不懂和李冰冰的。很合拍的一对儿~            
(1星)	 我觉得张卫健就是个弱智            
(2星)	 GTO港版            
(5星)	 神神气气神神气气不懂老师，bangbangbangbangbang~个人最喜欢张卫健这个扮相            
(3星)	 当时就爱看这些。。我也不懂            
(3星)	 补遗            
(4星)	 还是李冰冰呐，话说那时她演的几部古装都挺喜欢的。另，不懂很搞笑。            
(5星)	 回忆啊= =            
(5星)	 虽然有人说抄袭 但实在是一部很好的电视剧啊 小时候超喜欢 很多让人感动的故事 教育什么的 以人为本因材施教最重要吧            
(5星)	 每年放假湖南经视都播。。。。但是年年都看。。。            
(4星)	 童年觉得好看的可以啊            
(4星)	 小学四年级            
(4星)	 好看            
(NA)	 小学三年级时看的，很轻松的一部剧。那时也就张卫健知名呢。当年的新人们后来都成大牌了。            
(NA)	 小时候怎么就那么喜欢看张卫健演的电视剧呢？！            
(4星)	 神神气气神神气气不懂老师~~~回忆            
(5星)	 印象中张卫健的巅峰之作&amp;可爱的配角们~            
(NA)	 神神气气神神气气不懂老师！（哪里小了！）            
(3星)	 小时候爱看的不得了，现在觉得很一般了~            
(5星)	 至少看过4遍            
(NA)	 这个太老了  忘了            
(4星)	 也算是师生戏吧~亦师亦友~            
(NA)	 不懂老师哈哈哈            
(4星)	 小时候看的，有种麻辣鲜师的味道，教育每个孩子的方式是不同的，每个人的出路也不同，每个人的性格不同也会造就不一样的人生，这些都是片子想传达出来的东西~少有一部国产片能够传递出那么多东西，除了结局狗血了一点，有些情节夸张了一点，但事实是片子还是好片子~            
(4星)	 喜欢 张卫健            
(3星)	 李冰冰是整容了吧，，样子变的好多~            
(4星)	 张卫健真适合光头            
(5星)	 小时候好美好啊！各种片子            
(4星)	 童年回忆            
(5星)	 小时候觉得超好看。            
(5星)	 这个很好看滴 那时候 薛佳凝嘴角还有那个治            
(3星)	 搞笑喜剧            
(4星)	 哟            
(4星)	 高中欢乐剧            
(5星)	 凉风有兴，秋月无边，亏我思娇的情绪好比度日如年，虽然我不是玉树临风，潇洒倜傥，可是我有我广阔的胸襟，加强健的臂腕！            
(4星)	 可以啊            
(3星)	 到底演了点啥，不记得了。。            
(4星)	 神神气气神神气气不懂老师，辩驳最流利            
(4星)	 不懂老师是我童年美好的回忆。            
(4星)	 对此时期的李冰冰印象深刻~~还很青涩的时代==更喜欢这时候的他。。。张卫健么，一直那种感觉，抖段子还是让小时候的我很迷的===【虽然现在觉得很丢脸            
(5星)	 难得好看的古装片~            
(4星)	 童年回忆            
(NA)	 三星。            
(5星)	 神神气气神神气气不懂老师！            
(3星)	 张卫健演戏风格我真的不太喜欢            
(3星)	 那时候张卫健已经老了，罗家英这个酱油不错~            
(4星)	 那时候张卫健还是很可爱的            
(3星)	 老纸的童年            
(4星)	 没看完，感觉不错            
(3星)	 巨讨厌聂远。这部电视剧教会了我一个汉字：寜。            
(4星)	 不好笑吗？？？？            
(5星)	 当年最爱            
(3星)	 搞笑啊            
(4星)	 当年宁王帅的简直有一种你造反无罪的想法            
(5星)	 小时候看过好多张卫健的电视剧~            
(5星)	 不解释            
(3星)	 张卫健罗家英的角色好，很可爱            
(5星)	 当时看就觉得像一休！李冰冰当年的路线就是傻大姐啊...            
(5星)	None
(4星)	 张卫健 李冰冰 何美钿 薛佳凝 沈晓海 聂远！            
(4星)	 张卫健和李冰冰的合作            
(4星)	 哈哈還真被猜中了！當年還在上小學啊~~            
(3星)	 小时候不看剧情不看演技看的就是明星。            
(NA)	 当时青少年的偶像 多是张卫健            
(4星)	 暑假的青春            
(4星)	 聂远当时好青葱啊~~~            
(3星)	 薛佳凝刚出道，还记得聂远，貌似我那时很喜欢里头的一个演技很差的叫啥风的小角色。。。            
(4星)	 搞笑            
(4星)	None
(4星)	 为数不多的我居然喜欢的张卫健演的电视剧。可以看出是一位用心的编剧，以至于张卫健这么毁角色整个剧集还是可圈可点（尤其是最后一集不懂对那群要攻击百姓的大兵们慷慨陈词，我想是有隐喻的）。可见中国缺的，只是优秀的编剧。看张艺谋的活着和黄金甲，看陈凯歌的霸王和无极，就知道了。            
(5星)	 因为这个喜欢张的            
(5星)	 要得就是这种感觉，卫健的古装电视剧自成一家，别有风味关键是还有个古装打扮得头像个蚂蚱的李冰冰，好有爱哦，尤其是在少年张三丰中            
(4星)	 当时觉得好鸡巴好看！！！            
(4星)	 应紫颜最亮了~            
(4星)	 我看过的雷剧也未免太多了点吧。。。            
(4星)	 小时候觉得好看的要死...            
(NA)	 不懂不懂不懂不懂 不懂老师            
(5星)	 那时候觉得莲花姐好漂亮            
(NA)	 神神气气神神气气不懂老师 辩驳最流利            
(5星)	 我感觉张卫健演的我都爱啊。。。。            
(4星)	 张卫健就是我童年轻喜的记忆啊。李冰冰那时候也挺喜欢的            
(3星)	 喜欢            
(4星)	 童年。。这个我看了不下5遍            
(4星)	 童年            
(5星)	 当年最爱            
(5星)	 不懂老师。。            
(4星)	 应籽言同学，应籽言同学！            
(4星)	 神神气气神神气气不懂老师！！哈哈，童年真美好。            
(5星)	 童年            
(4星)	 当时很喜欢看张卫健演的搞笑剧....            
(2星)	 俄、、、            
(5星)	 儿时的最爱            
(3星)	 校園生活還是挺好笑的            
(4星)	 已经过去十年了~            
(3星)	 小时候看过的电视剧11            
(4星)	 当年看时可开心了            
(NA)	 嗯嗯，都是看过的            
(3星)	 张老师的谆谆教诲            
(NA)	 神神气气神神气气不懂老师            
(5星)	 那时绝逼看了不下20遍            
(3星)	 这个小时候可喜欢了            
(4星)	 还记得里面的薛佳凝非常惊艳！后来演哈妹去了- - 这个也看了两遍            
(NA)	 我很喜欢张卫健的眼神。他笑起来给人一种很真诚的感觉。小学的时候，阿姨他们还住在军分区的待拆房，暑假我去玩，如果调到放电视剧的频道，她一定会关电视。后来也只是断断续续看过一些，始终有遗憾。就像我对她的感情，又爱又恨。得不到的，未必最好，却总是最挂念的。            
(5星)	 那时候高中教室里 晚自习常放······            
(3星)	 那时少年各种剧~~~            
(4星)	 就是张卫健有点老。            
(4星)	 傻傻的，真可爱。            
(3星)	 古装GTO。            
(4星)	 我好爱张卫健什么的。            
(4星)	 不懂老师~~            
(3星)	 我靠我的青春啊            
(2星)	 张卫健演戏都一个套路的。。            
(3星)	 结尾弱到爆            
(4星)	 从这个剧就看出自己的品味了..╮(╯▽╰)╭            
(5星)	 因为这部剧爱死张卫健。            
(3星)	 观自在书院。            
(3星)	 三颗星留给那个年代的那些回忆……            
(4星)	 哈哈哈            
(3星)	 张卫健一直这个戏路·····            
(5星)	 那会假期天天追，很闹腾很欢乐，一点没觉得装，现在就....            
(3星)	 张卫健……OMG            
(3星)	 张卫健开始往内地发展了。。            
(3星)	 那时候看电视上的喜剧，但凡有张卫健出现的一般都是大家追着看的！还争相去学那些剧中他说的很快的台词！傻死了。。里面出来打酱油的苏有朋大好！            
(4星)	 我承认我每集都看。那时候已经觉得这个煽情的有点假了。还算心智比较成熟- -！            
(5星)	 那时的超爱，笑死。。。不懂和应籽言在一块太好玩了，哈哈。。            
(4星)	 曾经有一个暑假就是看它过去的，从此爱上张卫健，每个暑假都在期待。            
(NA)	 张卫健系列的 当时张卫健好火            
(NA)	 小时候最喜欢看张卫健演的电视剧了。            
(4星)	 以前某个暑假看的            
(4星)	 神神气气，神神气气，不懂老师，辩驳最流利！            
(4星)	None
(5星)	 喜欢沈晓海，每个人心中都有一个宁王            
(1星)	 李冰冰为神马头上总是带着耳罩啊啊啊啊啊            
(4星)	 我是看着你长大的。            
(4星)	 神神气气的不懂老师。            
(5星)	 记得从这部开始每年暑假看张卫健。。            
(4星)	 初中的时候看迷得不行了，嘀铃嘀铃嘀铃嘀铃，机灵小不懂            
(4星)	 神神气气，神神气气，不懂老师，辩驳最流利！            
(4星)	 记录了我的少年时光，呵呵~ 很励志，很喜欢~            
(3星)	 因为前边有了周星驰，所以对张卫健这种山寨式的搞笑很反感            
(4星)	 小时候觉得不错的~有几分感人呢~可以励志            
(3星)	 那时候还不讨厌张卫健，觉得薛佳凝很丑一马脸，何美钿超甜得诶。            
(3星)	 还过得去            
(3星)	 如果张卫健普通话说得好，就不会那么可爱了~            
(3星)	 有些意思。张卫健古灵精怪的顶峰之作            
(3星)	 好吧，张卫健            
(4星)	 part of childhood memory             
(4星)	 很好看。            
(NA)	 每个人的相处都很有爱，很有爱，很好的片子，人与人的相处充满了哲理，喜欢应梓言，真实            
(4星)	 童年的记忆，值得推荐            
(4星)	 真心好玩 小时候每天守着看！第一次看薛佳凝有点小惊艳            
(5星)	 神神气气，神神气气，不懂老师，辩驳最流利            
(4星)	 那时候看挺好玩的~            
(NA)	 爱死了啊那一年            
(3星)	 当年看了一坨张卫健这种类型的片子            
(3星)	 小学六年级的暑假，好喜欢看啊~            
(3星)	 那时的张卫健还不是那么讨人厌。            
(4星)	 又看了一遍，真的很美好            
(4星)	 哈哈 张卫健系列            
(3星)	 不懂不懂            
(3星)	 喜欢何美钿            
(3星)	 张卫健比较早的、也是比较成熟的电视剧。            
(3星)	 说教痕迹太重。。            
(5星)	 消遣时光~            
(3星)	 神神气气，神神气气，机灵小不懂，辩驳最流利！            
(NA)	 小时候好喜欢也~            
(4星)	 哈哈哈哈            
(NA)	 以前超级喜欢看啊 喜欢张卫健嘿嘿            
(5星)	 当时觉得很好看~            
(5星)	 当年 好像真的很喜欢张卫健 而且宁王第一次出场...简直帅呆了            
(4星)	 又是张卫健···            
(4星)	 当时可喜欢张卫健了            
(4星)	 集体彪戏~~            
(5星)	 看过最好的国产校园剧，励志的一塌糊涂            
(4星)	 那时候的红衣李冰冰            
(3星)	 不得不说，那几年，张卫健是电视荧屏里的周星驰。            
(5星)	 很不错。            
(3星)	 呃 李冰冰呢            
(NA)	 喜欢。。。            
(NA)	 这个我又看过了。            
(4星)	 当年喜欢的，连重播也不放过            
(NA)	 又是张卫健            
(NA)	 这样看来 我小时候看过很多很多连续剧啊..            
(5星)	 每次放假必看            
(4星)	 当时很喜欢张卫健            
(3星)	 神神气气神神气气不懂老师，辩驳最流利            
(2星)	 李冰冰。。。            
(4星)	 貌似从这部剧开始喜欢李冰冰的~            
(3星)	 的确没看完，也许忘记了……            
(5星)	 我对这个印象深刻。相当欢乐。            
(2星)	 其实是烂片，但很多明星。            
(4星)	 其实小时候认为宁王是个美男啊……            
(3星)	 感觉好多个暑假都在看，一遍又一遍            
(NA)	 记忆啊！            
(NA)	 那时，冰冰真好看            
(5星)	 张是个好演员啊            
(NA)	 张卫健那时候不要太红哦            
(4星)	 那时的李冰冰不错            
(3星)	 初中的记忆了            
(5星)	 多年前的依然喜欢～            
(5星)	 必须给5星，虽然剧情全忘了。            
(5星)	 童年的欢乐            
(4星)	 内时候看的时候觉得特好。。现在看也就这样了。。就是还挺搞笑的            
(4星)	 我多麼喜歡整容前的李冰冰啊~  我多麼喜歡寧王啊~            
(5星)	 小学三年级看的。            
(4星)	 小不懂的光头很有爱有木有            
(5星)	 小时候超级喜欢机灵小不懂            
(NA)	 阳春三月湖边光景啥子的（？）            
(3星)	 张卫健总是这么重复，不累吗？            
(5星)	 记忆中非常好的片子！            
(3星)	 小时候谁没看过            
(4星)	 张卫健那时候好红的啊。            
(3星)	 没什么印象~            
(NA)	 我记得在房里边走边看这个剧 把脑袋撞了大包 那年的元宵节是扣着帽子过的            
(4星)	 那时每天追着看啊~~            
(1星)	 这个我还研究过一集里面维亚是怎么看不见得.......            
(4星)	 张卫健占据我童年的很大一部分，古代的师生恋啊            
(4星)	 都忘了讲什么的了.....            
(4星)	 当时觉得张卫健很搞笑~            
(4星)	 神神气气神神气气的不懂老师~            
(4星)	 经典喜剧            
(2星)	 不好看，不喜欢这种类型，但何美钿真的很钟意她            
(3星)	 李冰冰占了两星            
(4星)	 非学院派的片子，却有很多寓意，插科打诨中明白很多道理。            
(4星)	 小时候看的，还行吧，神神气气神神气气不懂老师~            
(4星)	 儿时的回忆~            
(2星)	 就是不喜欢张卫健。。。。觉得他挺想搞笑，模仿周星驰？但出来就一装逼感。。。。。！真的！            
(5星)	 神神气气神神气气不懂老师，辩驳最流利、儿时最美好的回忆呢。            
(NA)	 没看全            
(5星)	 小时候大爱啊！！！重播一遍看一遍！！！倒背如流！！！            
(4星)	 哈哈 张卫健啊，以前他的戏很多的~            
(1星)	 冷冰冰            
(5星)	 我们的暑假是不是都被张卫健给占满了 啊？            
(4星)	 看完这个的时候立下了做老师的志愿。            
(3星)	 当时觉得薛佳凝真好看            
(3星)	 第一次看就觉得里面有些桥段太老了            
(4星)	 蛮早看的  还挺搞笑的            
(4星)	 李冰冰  张卫健            
(NA)	 罗家英李冰冰表现都不错            
(4星)	 好吧。又一个心动的男人。            
(3星)	 小时候看很好笑            
(4星)	 当年还是很喜欢的~~~            
(3星)	 厌倦了张卫健            
(4星)	 记忆里觉得这是搞笑片。            
(4星)	 冰~            
