http://movie.douban.com/subject/3330142/	富贵门
(4星)	 开头虽然雷但是比起结尾真的已经算还好了。我爱靓靓和马德钟。            
(NA)	 袁咏仪~竟然沒有袁咏仪小組!哼! TVB式肉麻大團圓看得我起雞皮了...            
(NA)	 烂尾            
(3星)	 我對那樣刻意做出的&#34;big&#34;ending一點興趣都沒有，香港現在已經沒有大時代劇了，但其實仍然可以有細水長流那種。於是劇情發展得太刻意。不過我喜歡撈家和靚靚的演出遠超過他們的好多其他作品。            
(2星)	 看了三集，实在没有再看下去的欲望了。。。            
(4星)	 其中一星半是给三嫂的......            
(5星)	 难得低调又好看            
(4星)	 冲着这阵容还是给四颗星吧！            
(4星)	 每次看到刻意帮恒生银行卖广告我就觉得好好笑~~真系辛苦晒D编剧~~！            
(NA)	 【2009-10-19】            
(3星)	 众多角色不讨喜            
(4星)	 老妈看的~            
(2星)	 差一刹我信地老天荒            
(3星)	 坏人还不够坏,所以一般般啦.但是演员都很有纪念意义...都是熟悉的面孔..            
(NA)	 我还是很爱港片的呀            
(NA)	 都是大牌啊~~~            
(NA)	 可怜你永远演坏人            
(3星)	 深圳卫视在播            
(3星)	 跳着看。。完。。滴            
(3星)	 靚靚還是美；馬國明的角色多好啊，可惜掛了……… 自從卓一鳴開始黑化了，整個劇情急轉直下弱智起來……根本不是卓一鳴有多聰明啊！根本就是其他所有人都零智商的啊…！雖然富貴門後十集邏輯混亂看的人腦子短路，但把宮心計和富貴門相互比較這是對富劇紅果果的侮辱！侮辱            
(NA)	 好狗血啊            
(2星)	 稀烂            
(3星)	 好拖沓的。。靓靓真的老了            
(2星)	 以前看着没看完，没想到再看完到结局，发现~~~好狗血~~~~            
(4星)	 开始逐渐发现香港电视剧的魅力：对文化，手段，感情的细微追求。。还有家长里短。。            
(3星)	 结局狗血死了            
(3星)	 大家都老了            
(3星)	 ……            
(3星)	 好像没有看完。            
(3星)	 黔驴技穷的TVB            
(NA)	 还是都老了            
(3星)	 可怜的美丽小三没结果            
(NA)	 很长            
(NA)	 总觉得很假～～双马是亮点            
(3星)	 不好看=  =            
(3星)	 兄弟基情            
(4星)	 好久沒在tvb的電視劇里見到羅嘉良和郭可盈了，想起了從前吶……            
(3星)	 TVB说到底还是剧本问题            
(NA)	 难道你们没有人喜欢里面的司徒丰么……阿丰。他叫做王浩信。            
(4星)	 家族剧结尾都少不了一个要潜入做卧底的女主要挖出坏人的犯罪资料，这次是袁咏仪            
(3星)	 罗嘉良演反派真的贼有赶脚~~            
(2星)	 一群奔晚年的超级大叔大妈出演狗血剧！            
(3星)	 晚上打發時間還不錯…香港這種戲太多了編劇都陷入了一種怪圈…嗯,馬德鐘不錯,王浩信不錯…            
(NA)	 剧情真的很狗血，不过罗嘉良还是蛮有腔调的嘛            
(3星)	 这两天下午陪妈妈和奶奶在家看，典型港剧，照俺妈的话说，坏银都似一步错步步错@@ 漏了前二十集丝毫不影响照看无误！            
(3星)	 小三不能活            
(2星)	 呃            
(3星)	 明明一开始就能简单解决的事情非得弄这么复杂            
(3星)	 看见可恶的卓一鸣，就想冲进电视里去揭穿他            
(4星)	 剧情蛮好的嘛嘛嘛            
(3星)	 过年追港剧            
(2星)	 沙富来就是我这辈子最觉得恶心的男人典范。快十集时里面的人物都还理性善良的要死，搞得我老想着谁要使心机都想得不好意思了，然后一下子就大反转了。马德钟&gt;&lt;抱歉，我一直把你当坏人，实在是你坏人形象深入我心，没想到这次塑造了个我喜欢的角色。此片还有心情继续就是为了看高拓民和一心终成眷属。            
(2星)	 一个缺心眼的任性老妈，一个感情不清不楚的老大，一个所谓的爱情至上的下贱小三，看一半就看不下去了            
(NA)	 袁咏仪皮肤真好。。。里面贵气无比啊            
(3星)	 内心依然认为此剧某些线索是我高一时写过的。            
(2星)	 马明好可爱嗷嗷 劈爱死：“这是一个关于两名男子生死与共的故事”（引用）             
(3星)	 主题曲好听。 我就是来看马明和捞家的兄弟戏的，            
(3星)	 虐心            
(2星)	 pass 9 16            
(5星)	 袁靓靓是看此剧的最大收获，也是支持我看下去的唯一动力。            
(1星)	 贱人们（门）或小三们            
(4星)	 第一集哭死，第一集真不错。            
(4星)	 吕良伟好帅~几乎让我忽略了罗嘉良~袁咏仪不那么难看了            
(3星)	 戚美珍滴表现比较亮眼            
(2星)	 唯一亮点罗嘉良。            
(NA)	 看得我没耐心啊没耐心~~            
(3星)	 那么喜欢的郭可盈 因为这部戏被大家骂的够呛            
(4星)	 好多老戏骨            
(3星)	 后劲不足            
(3星)	 没看完，简直把罗嘉良毁掉。            
(NA)	 Topman和Rene好配！！            
(3星)	 TVB商战片的辉煌基本灭亡了。            
(1星)	 简直垃圾            
(5星)	 为你，看完了，还不错。可惜我不是你的Connie？            
(3星)	 44            
(3星)	 凑合看，不过没有看完，看不下去了狗血啊。。。            
(NA)	 都是老一辈的人马罢了....            
(1星)	 为什么会有这样的婆婆?            
(2星)	 我一口血。。            
(4星)	 鸣心恋很刻骨铭心，可惜终究在金钱欲望里消失殆尽，正如主题曲唱的那样“差一刹，我信地老天荒；只差一步，欲望幻化星光 ”。            
(2星)	 这部之后到现在，看到TVB就头疼。            
(4星)	 郭可盈不是岑颖欣 罗嘉良不是叶荣添 大家都已经过了最好的年华 不要想着去找回往日的热情和回忆 只能当落幕前的狂欢和些许留念 　　 　　和港剧一样，我们的青春不再。             
(3星)	 善有善报            
(4星)	 罗嘉良的反串 不错             
(2星)	 烂            
(NA)	 看不下去了            
(3星)	 靓靓            
(3星)	 后头部分不灵~结局特和谐了~            
(3星)	 完全就是看在捞家的份上看的 然后终于在看到一半的时候受不了了 拖拖拉拉耐心都被磨光了 演员们也大都无爱            
(NA)	 超级无聊~            
(2星)	 [2010.02.02]罗嘉良好久不见，只是片子太烂            
(2星)	 囧得狠            
(3星)	 当了妈妈袁咏仪圆润了啊            
(3星)	 个人认为比《宫心计》好看一点点。            
(5星)	 我个人还是觉得挺好看的，虽然结尾有点那么不正常。            
(NA)	 郭可盈残了。。            
(3星)	 跳跳看，没什么感觉            
(3星)	 为什么平均年龄那么老……            
(3星)	 黄金时代的人在苟延残喘，终于让我意识到青春不再。谢安琪的片尾曲不错~兄妹时期的鸣心恋，欲拒还休想爱不能爱的痛苦让人看了心花怒放~            
(2星)	 看到了传说中的戚美珍 但片子情节却那么紧张吸引人 下完的没看完直接就删了 改看妙手仁心了             
(3星)	 太弱。。。演员阵容强大，只是不知道为什么会这么弱。。。            
(NA)	 戚美珍！！！袁咏仪同TOPMAN真系好衬！！！郭可盈好样衰，但这个小三不是太讨人厌            
(NA)	 失望……            
(4星)	 41集~~~            
(2星)	 这片太阴郁 而且罗嘉良在里面怎么就恶了 是不会再看下去了            
(3星)	 看3集就不看了 郭可盈也太瘦了。            
(3星)	 打发时间            
(NA)	 一般般，袁咏仪比较漂亮            
(NA)	 我是阿靓的粉啊，好可爱的靓姐，粉嫩圆润哈哈哈~~            
(4星)	 终于看完了。。。。            
(3星)	 结果很雷人            
(3星)	 看不下去了，受不了angie            
(2星)	 结尾真是烂到爆!!!当小三都没好下场!!!            
(3星)	 结局也。。            
(2星)	 因为期待和实际的反差，我给了2颗星。香港电影已经重现希望，希望能看到电视剧的明天            
(1星)	 。。。。。。。。。。。。            
(3星)	 so old...            
(3星)	 钟意靓靓            
(3星)	 终于看到罗嘉良回归            
(NA)	 不忍心做评论。。。            
(3星)	 纠结死我            
(3星)	 前半段十分无聊，后面还凑合            
(3星)	 结局不行            
(4星)	 第一次看罗嘉良出演一个这样矛盾的角色,感觉也挺矛盾的...总体来说是勉强对得起我对这部剧的期待. 只是很多剧情都设置得太生硬了... &#34;差一刹我信地老天荒&#34; ... 这首主题曲挺出彩的 ...            
(NA)	 罗嘉良真喺老咗。            
(5星)	 虽然剧情有些漏洞。但是罗嘉良演的真是太好了！为什么不让他死？！影帝怎么会是柴狗，卖米那片有啥好看，真是不知所谓            
(2星)	 TVB别在拍这类型的好么...            
(3星)	 编剧的思维不是一般的混乱            
(3星)	 结局我真的不能接受，爆炸竟然炸不死人。。哦买嘎。这也太好命了吧。剧本编的太不紧凑，很多地方明显说不通。但是也比宫心计好，将就着看吧。郭可盈现在瘦的太恐怖了，还是戚美珍和靓靓看得舒服。            
(4星)	 罗嘉良演技一流..结局让我囧了..为什么TVB的坏人都不用死..？            
(3星)	 结局人性得不真实            
(3星)	 到后来这个剧就崩了……            
(3星)	 强迫症迫使我看完了            
(4星)	 吕良伟            
(NA)	 什么世道，小三当道，无语！            
(3星)	 虎头蛇尾~~            
(3星)	 看前几集给打了四颗星，看完打回三颗星，还是怀念从前的TVB            
(NA)	 坏男人能演成这样 我佩服            
(2星)	 浪费时间精力            
(3星)	 剧情太老套了.阵容也好老.罗嘉良演的不错.嗯.            
(4星)	 郭可盈爷俩招谁惹谁了，最坏的都没咋地，他俩都死了。            
(3星)	 结局比较不错。中间那段太垃圾。            
(4星)	 结局有点过了            
(4星)	 剧情超豪华~演员依然豪华~第一集薛奶奶的爆发就超回味啦。。期待。。没看完~            
(3星)	 演技五星 剧情两星            
(3星)	 进出富贵门，不如穿越时空门            
(3星)	 不是洗具，不是杯具，是餐具吧，还是全套的。            
(3星)	 就是喜欢袁咏仪            
(4星)	 TVB 的电视是越来越不能看了.            
(NA)	 give up            
(3星)	 一见小马就倾心…            
(3星)	 最后有点模仿刑事IV，一个女人结婚前挂了，一个女人被泡到浴缸里差点死..            
(3星)	 里面的歌蛮好听~~            
(1星)	 我不能浪费时间在这个垃圾片上了            
(2星)	 看不下去~~~实在是~唉!!!            
(NA)	 浪费了捞家的表演            
(3星)	 好像就服装还不错，剧情实在……            
(1星)	 爛, 生硬演技            
(3星)	 卡司再强大，也难挽回TVB的颓势            
(3星)	 看不下去了             
(NA)	 放弃            
(4星)	 开头很温馨，过程很纠结，结局很狗血。            
(3星)	 最主要的是看  郭小姐 嘿嘿！            
(3星)	 片头曲不错，有老港片的感觉，可惜第一集是在没啥意思，人物出场太拖沓了，这人物关系怕是不知道哪集才能交好了。。。            
(4星)	 人老了，韵味不老，眼神不老。仅限于靓靓和捞家。郭可盈大概是本色出演，长了一张讨人厌的小三脸，鄙视之；吕叔叔那张木头脸我还是自动屏蔽吧~~杉树先生一如既往的帅，可惜本人是个花花公子~~            
(4星)	 一群戏精的较量~虽然老了点~哈哈            
(3星)	 岁月真的不饶人啊            
(3星)	 终于大结局= =            
(3星)	 狗血！狗血！三星纯粹是给对TVB的美好记忆。可惜了如此强大的cast！！            
(3星)	 感情世界大混战。比同期的宫心计好太多了。。。捞家的角色太讨打。但巨残的结局呀-= -            
(3星)	 剧情是硬伤！浪费了一大把好演员啊！！！            
(3星)	 剧情够狗血的...罗嘉良老了依然帅气~仰望演技~~            
(2星)	 一群我还挺喜欢的演员，演了一部这么不靠谱的戏……            
(2星)	 没看完全，结尾还算有个好结局            
(2星)	 纯属出于每天早上吃饭时想有点娱乐而已。            
(3星)	 结局让人很纠结！            
(3星)	 最后几集看得很马虎，越到后来越无趣，剧情全都猜得到。            
(4星)	 该死的也死了，该在一起的也在一起了，大团圆结局咯？看完整部剧挺喜欢袁咏仪，很久以前一直以为张智霖和郭可盈是一对来着。。。。            
(3星)	 久违的捞家和靓靓啊~~~            
(3星)	 冲着罗嘉良去看的。            
(4星)	 总体来说~~~不错            
(4星)	 编剧有点搞人，看的很郁闷，结局很圆满，但是圆满的有点假。哎~还是很怀念原来TVB的经典豪门剧~不过还是支持捞家~            
(3星)	 止步8集            
(3星)	 结局太离谱...太突然了            
(4星)	 魔鬼失忆了            
(2星)	 tvb你仲可以雷一点！靓靓5星 一块钱0星 其他人1星。。。结局-1星            
(3星)	 弃了            
(3星)	 好久没见郭可盈了。结尾很三八啊。。。            
(NA)	 期待啊            
(3星)	 编剧太多感情戏了看的我窝火            
(4星)	 比宫心计好            
(5星)	 去你丫的这么低分！去哪儿找那么多大卡来演好不！虽然长是长了点，但是好看啊，什么人摆在捞家面前都是浮云！于是马德钟是酱油。还有美小袁！于是郭可盈真是又老又瘦，一点范儿也没有！            
(5星)	 就这样爱上戚美珍了...            
(4星)	 我爱袁靓靓            
(3星)	 前面的重磅头太久了.            
(2星)	 他们都老了……            
(4星)	 罗嘉良不愧是视帝，抓狂的戏码演的的确好。袁咏仪真的很漂亮。戚美珍的确很大气。马德钟这个角色很适合他。郭可盈的表演收放自如。            
(4星)	 TVB式的大家族剧，只是结局不怎么喜欢~            
(3星)	 原来每幢楼里面的灯亮着，是因为有人在等着你回去吃饭~            
(5星)	 38集最感动我            
(3星)	 可怜的小马，每次豪门戏都如此杯具。～～小罗好狠毒，小戚好高贵。            
(3星)	 开头让我又爱了一回罗嘉良，但是毕竟没了当年的风采            
(3星)	 开场太霸气了，结局不好啊            
(3星)	 各种老气。郭可盈转身变小三            
(4星)	 靓靓风采不减            
(3星)	 结局实在是太烂了            
(4星)	 本来是没打算看的因为对这类豪门恩怨电视剧已经很腻了，但是室友在看的时候老听到电视剧传来的声音怎么玩乱伦这么猛于是看了。但其实看了开头两集就会知道其实这部剧没什么悬念            
(4星)	 with father&amp;mother。            
(3星)	 罗嘉良和kk都老了，看的我好伤心。。再加上剧本身好长就弃了            
(4星)	  我喜欢袁咏仪             
(3星)	 袁咏仪真靓！家族 商战 小三 私生子，oh no~            
(3星)	 SABAH能不能不要这么美啊~~有生之年一定要去~ ~ ~            
(3星)	 看到后面就毁了很正常            
(4星)	 虐死啦  结局太狗血 捞家居然没死            
(3星)	 兄弟爱啊、、            
(4星)	 罗嘉良总是让人又爱又恨~            
(3星)	 很吸引人的剧名,很引人怀念的演员班底,但是看下来就就好像吃了一个没什么馅的大烧饼,真正有价值的东西不多但是撑得慌,真的很不如十年前的老剧了.            
(3星)	 这部豪门争斗还是蛮好的，毕竟是台庆阵容啊。不过感觉里面的演员表演好程式化，性格也太过简单，显得不太真实。罗嘉良演的蛮好，太让人痛恨了！            
(4星)	 其实只看了结局。。貌似还不错。。            
(3星)	 罗嘉良的演技还是很好的            
(5星)	 耳目一新的编剧，出色的演员们            
(NA)	 跟着某人我也开始爱捞家了。            
(3星)	 跟《宫心计》一起出的台庆剧            
(3星)	 还行吧。            
(3星)	 锦衣华服，星光熠熠也阻挡不了傻逼的编剧！            
(4星)	 跳着看得，有些情节不是很合理~~            
(2星)	 TVB再也没有从前的风采了            
(NA)	 誤導我的一個聚集! 唉! 不過還是可看。╮(╯_╰)╭            
(2星)	 整部剧最待见的只有情深一片的topman和贤淑隐忍的爵年，剧情走向和某些角色设置实在让人无语，两段三角恋实在狗血，尤其是angie，最后撞车去世前，还要做梦梦到帆船婚礼，后来还要化作天使见一元，洗白也不是这样玩的……结局是为结束而结束，硬是来个大爆炸再来个大团圆，我是有多无聊才要快进看完啊            
(3星)	 我为了捞家，YY为了马明，我们俩从头吐槽到尾追了整一周。。。看了这部大小沙包搞基剧。555555  TVB   你还我创世纪的罗嘉良，你还我刑事侦缉档案的郭可盈。5555555555555            
(3星)	 还好。。就是有点扯……贺爵年真是贤妻良母啊。。。            
(4星)	 沙巴 沙巴            
(4星)	 其实还好啦  就是不刺激            
(2星)	 剧情冗长又平淡，不是说堆一帮明星就是好剧，比较失望            
(4星)	 有马国明，看之前不知道。好开心，他在里面好可爱！袁咏仪也演的很可爱。结局太扯淡了！            
(3星)	 类似的家庭剧太多了……            
(4星)	 前半段还可以，后半段有点扯            
(3星)	 这个世界的外国除了沙巴就木有别的地方了么...            
(3星)	 前面几集还比较激动，有老一辈的加入。在我心里，罗嘉良只能和宣萱配一对，其他都怪怪的。            
(3星)	 connie是有多好呀            
(NA)	 09年看的了            
(4星)	 四星不是因为好 而且因为现在能有个让我想看完的连续剧不容易 承认是为了罗嘉良看的 其实对他无大爱 可能是我太无聊了~我还是在网上连着看的 我太棒咧！            
(3星)	 百年不看电视剧 难般看看还不错 不过还是很老套            
(1星)	 全是为了看几个女演员~            
(4星)	 抛去剧情烂俗，人老珠黄之类的.....我好中意Topman啊!!!!!!            
(3星)	 打给马国明~太可爱了            
(4星)	 唉  贪念啊。。。。真可怕            
(3星)	 看了一半弃了....            
(NA)	 欲壑总是难填            
(3星)	 豪门恩怨好多            
(3星)	 只是没有很喜欢。郭可盈变丑了，这个小三角色看得我很讨厌。。。            
(3星)	 空有好演员，编剧太差了吧            
(3星)	 再多的牌也救不活了            
(NA)	 马明的沙煲仔很有爱。。。然后就木有然后了。。。没看多少就弃了            
(3星)	 差一刹的地老天荒 罗嘉良居然也可以是强奸犯 导演脑子给驴踢了            
(3星)	 虎头蛇尾。            
(3星)	 老戏骨们的魅力是很大的            
(3星)	 虽然演员阵容比较强大，不过情节真是一般            
(4星)	 只为罗嘉良。            
(3星)	 太冗长了。。            
(NA)	 再也没有小时候看这种剧的热情了....捞家每次出现都让我穿越 而且还是那种悲情的 最后仅仅是为了看看一心和TOPMAN的结局 哎~~            
(3星)	 故事还可以，但结局接受不了。            
(3星)	 期望越大失望越大            
(4星)	 富始一元，诚自一心。            
(4星)	 不想郭可盈死啊。            
(3星)	 这个一个老大为了成就自己的老好人形象牺牲了一家子的故事            
(5星)	 很爱罗嘉良，很爱袁咏仪，连郭可盈这个小三我都接受了。。。            
(3星)	 对于一出台庆剧来说，实在太过虎头蛇尾，            
(4星)	 支线多。            
(2星)	 还我当年的捞家来            
(5星)	 总算回到TVB港剧巅峰时代了的感觉  但是和笑看风云啊什么的比起来 还差点什么            
(2星)	 剧情太拖沓，本来十集就可以完全讲清楚，拍了四十一集，TVB越来越差劲了。            
(NA)	 ...勉强            
(3星)	 剧情太拖沓了 浪费了这票演员            
(3星)	 袁咏仪胖了，嘉良的演技很到位，但是整个剧没什么发挥，看点不多。            
(3星)	 狗血的要死，我居然還看完了。            
(3星)	 剧情不够紧凑            
(3星)	 台庆剧            
(3星)	 这不是商战片是两段狗血的三角恋！沙富来简直是下作到无下限的小人还丧心病狂。编剧后面成功让angie小三坐正让观众不反感她╭(╯^╰)╮替connie不值，这种结局还不如不要，一元不会忘记angie的。这电视男一男二让人喜欢不起来，正常的男三却打酱油，只负责做情痴= =             
(3星)	 都一把年纪了，还在装嫩！！！            
(NA)	 1集弃            
(3星)	 大家都在看宫心计的时候我看富贵门  靓靓还是好靓            
(3星)	 袁咏仪气质真好 结局悲中带喜            
