http://movie.douban.com/subject/2043283/	王子变青蛙 王子變靑蛙
(NA)	三年前 很傻很天真
(3星)	不可否认我鄙视偶像剧。可是我居然还是看了。
(3星)	这俩人很般配！虽然剧情有点俗套，不过这种偶像剧不就是看着一乐吗？还是有点意思的！
(5星)	曾经最爱的男人啊
(4星)	明道好可爱，嘻嘻……
(4星)	喜欢陈乔恩
(3星)	貌似没看完╮(╯_╰)╭
(2星)	粗眉毛好,粗眉毛可好了
(4星)	剧情还没有太俗，明道很帅啊~~~那个青蛙很卡哇伊~
(5星)	虽然看评价大家都不喜欢这部戏，可我却看了不下5遍。不知道为什么这部戏却给我感触很深。
(4星)	可爱又任性的陈乔恩啊~~
(5星)	我看的第一部韩剧。
(4星)	我喜欢陈乔恩
(4星)	那时还是好好地感动了一把。
(5星)	我很烂俗地喜欢这部烂俗的剧 没有任何理由！
(4星)	明道是我姐姐的偶像，。
(5星)	明道
(4星)	我和我妈一起追着看的。我妈很喜欢= =～
(4星)	灰姑娘的童话。。哎
(3星)	明道啊明道
(3星)	只要电视上别再放了，我就觉得还行还行
(1星)	烂俗烂俗烂俗。男的女的都丑。
(4星)	明道不愧是双鱼。。不错不错
(NA)	喜欢乔恩``
(3星)	茼蒿==
(5星)	明道 陈乔恩 
(3星)	其實很土，不過看畢了
(3星)	没觉得那么好，可是不知道为什么收视率那么高？
(4星)	当时很喜欢的
(3星)	赵虹乔真的很PL
(5星)	哪个是隋棠？
(3星)	嗯，蛮喜欢陈乔恩的。
(3星)	就记得“单均昊！”一声大叫
(5星)	当时真的很迷
(NA)	初识明道，陈乔恩
(2星)	明道好丑
(3星)	我喜欢乔恩，不喜欢183...为什么这年头猪头都能装大帅哥&gt;_&lt; 记得那首主题曲的前两句(￣▽￣)
(2星)	既不够偶像，故事又俗，怎么就破了台湾收视记录了？
(5星)	爱上明道。。。......
(5星)	越看越喜欢这是明道第一次当男主角的电视剧最近又看了一遍
(3星)	台剧里算不错的
(5星)	抱着看一部恶俗偶像剧的心态去看却被迷住的意外。。
(3星)	喜欢过明道，失忆时的造型
(4星)	就一般偶像剧的角度看，这部还可以了，主演形象不差，搞笑成分不少。
(3星)	男主、女主演得都不错
(5星)	经典,看过无数谝
(4星)	那个时侯，就是这个台湾弱智剧，也看得我眼泪哗哗~~
(2星)	狗血到无聊
(2星)	就是不怎么喜欢明道
(5星)	 台剧入门首选
(4星)	紧要关头不放弃 绝望就能变成希望
(4星)	这部台剧还不错啦~~~
(4星)	难得看进去的偶像剧
(3星)	无聊的很菜看这个
(3星)	明道哈帅丫...好看的...
(5星)	哈赞！！
(4星)	老妹妹说，她始终觉得这是她看过的最好的一部台剧。不过说真的，她看的没几部。
(3星)	喜欢陈乔恩^^
(NA)	很迷的偶像剧。。。
(3星)	片头曲还挺好听的。
(3星)	這個.. 去柳州找表弟玩的時候..陪姨啊看了N遍..想假裝我沒看過都不行...無語...
(4星)	还是偶像剧.....
(5星)	最喜欢的一部台湾偶像剧
(5星)	万能的男主角与坚强的女主角
(4星)	这个算是我看到过的比较好看的台剧了吧＝＝
(NA)	多莫有意思的童话故事。记得是某年的元旦特地跑到漳州去找NX玩，结果几天就一直窝在她宿舍看这个。。&gt;_&lt;明道真的长得很讨人喜欢诶。。
(4星)	明道童鞋在里面的感觉还是可以的
(3星)	当年是和寝室的外来寝室的通宵看完的
(3星)	咳咳、内时候还是挺抽的
(5星)	这里的陈乔恩很喜欢。但是剧情有点绕吧。
(4星)	喜欢陈乔恩
(4星)	2007
(3星)	大一看的 不错的台偶
(4星)	截止目前唯一喜欢的台湾电视剧，喜欢女主角
(NA)	範瑩曾經很喜歡
(4星)	偶像剧里最好看的
(3星)	又是。。。
(3星)	用来混点的
(NA)	被强烈推荐去看的，实在难以喜欢的上~
(4星)	高中毕业后的暑假`陪伴我度过
(3星)	那个女人真恶心
(4星)	本姑娘的第一部偶像剧。
(3星)	喜欢它的片尾曲——真爱
(4星)	很早看的 很好啊
(NA)	慢慢喜欢
(4星)	茼蒿^_^
(3星)	主人公有点帅...
(1星)	讨厌明道
(NA)	buhaokan ,
(NA)	喜欢乔恩。
(4星)	我喜欢这样没有什么边际的童话般的爱情。知道不现实，所以喜欢，因为永远也无法拥有，无法得到。
(4星)	这里开始喜欢明道~
(NA)	看到现在也没看出有多么好看，奇怪
(4星)	一部很好看的偶像剧~~~里面很多台词至今记忆犹新——紧要关头不要放弃，绝望就会转化成希望！
(5星)	明道～
(1星)	你真不知道我有多讨厌明道
(4星)	我就是喜欢明道 最喜欢明道这部片子
(5星)	偶爱死这部片子了。
(3星)	音效不错~
(3星)	妹妹超级喜欢，我竟被她拉着看完了。。。
(4星)	连我妈都爱看，帮妈给多一星^_^
(5星)	看了好多遍啊好多遍。。。其实是因为隔壁宿舍的几个同学都在反复看，于是我也顺便再看看了。。。ost我居然都有耶，多么fan可见。。。
(3星)	男主角拥有一颗怎么都撞不傻的脑袋~
(2星)	劇情很大程度抄襲了韓劇《再與我跳最後一支舞》~我真的不知道為什麽這部戲這么受歡迎~
(4星)	表姐夫说都是这类电视害的我们现在女生的要求越来越高，高到不切实际．好象也是的哦～～
(4星)	单均昊，叶天瑜——作为俗套至极的剧情，这部还真是多亏了两个主角的演出才这么出彩。
(4星)	true love
(3星)	王子变青蛙
(3星)	俗套电视
(4星)	爱，要有缘还要有份才会完美。
(4星)	慢慢有些喜欢明道了呢
(NA)	o(∩_∩)o...
(2星)	乱七八糟
(4星)	智商指数高一些啊
(4星)	明道演技好到不行了．
(4星)	真正的爱情是，王子沦落到青蛙后，公主还是依然爱着他~
(NA)	陈乔恩还是适合这样的，别演什么大小姐。。
(5星)	你，没有别的可以取代。
(5星)	怀念几个宿舍的人围在电脑前追这部剧的时光。
(NA)	当时在看的时候还很迷明道的说~
(5星)	好看好看~~~~~~
(NA)	我那无聊的年代啊
(3星)	男二实在是城乡结合部
(5星)	最爱的台偶！好看！还是发人深思的那一种。。。
(5星)	看着明恩 感觉很幸福 .沉浸在痛过而幸福着的感觉里,爱就是这样.
(4星)	胡编乱造，但是生动活泼，明道的粗眉毛乡土得如此喜感，让不动人的故事有趣许多。
(5星)	电视里每次放我都要看，看不厌呢怎么…
(3星)	女孩是要自己奋斗
(3星)	有个情节中插播的广告吓得我从床上摔了下去
(5星)	美丽的现代童话故事
(NA)	喜欢
(4星)	看多很多遍了呢
(2星)	說真的，不太好
(5星)	经典
(4星)	纪念当年还爱看偶像剧的我
(3星)	我竟然看过这么多明道的剧！
(NA)	二人成名作
(3星)	茼蒿。。。。每次都是唐殴。。。
(5星)	一直是我最喜欢的一部偶像剧！明道也一直是我最喜欢的一个演员！在明道的身上，我第一次看到那么干净的眼睛和灿烂的笑容！ 被那种最为纯净的东西所感动！ 他长得不王子，出身更不王子！谁说王子一定要出身高贵？谁说王子一定要举止优雅 ？谁说王子一定要俊美如花？能够给人安全感的人也可以是王子
(NA)	人生中的第一部呕像剧呐··曾经还好喜欢看~~╮(╯-╰)╭ 
(3星)	弱智剧
(4星)	时间那么早的一部偶像剧，拍成这样实属不易！！
(5星)	感人，温馨，演员不错。。就是有点长。。
(5星)	很让人激动的一部戏，当初真的很疯狂地追着，很感谢男女主角对这部戏的付出，给很多人一个幻想。
(3星)	当年看觉得还不错，拿现在的审美去看，估计接受无能了。。。
(3星)	某个暑假
(5星)	这部偶像剧，很童话，但是环环相扣，会不自觉地代入，明道和陈乔恩很配哦~
(5星)	经典偶像剧。曾经，百看不厌的偶像剧，明道的王子气质，陈乔恩的娇小可爱。两人的组合堪称完美。
(NA)	这辈子看过的维一韩剧…
(NA)	经典 收视率~~
(3星)	真的不是故意看的誰讓地方電視臺天天播一不小心看完了。
(4星)	算是不错的台剧了，在班里的电脑把屏幕亮度调到最暗偷偷的用QQLive看~还会想起一个同桌
(NA)	明道是一个时代的黑马王子的说
(4星)	我记得是我第一部台剧
(NA)	记得暑假的时候看的，还是半夜的一个剧场。
(3星)	现在想来真够不切实际的~
(2星)	傻啊~
(4星)	我的童年回来了啊哈哈~~
(3星)	那时我还没有电脑。
(4星)	话说这一部当年真是火啊，我们全家都守在电视机前等着看。
(5星)	 当时很迷
(4星)	看的第一部偶像剧~
(4星)	做刺猬总比做针包好吧————那时真爱单均昊
(5星)	那些年我也看过偶像剧……我们像迷路走失的小孩，紧紧抱着孤单……
(NA)	su
(5星)	其实可能真的不值5星…可是作为我第一个爱上的偶像剧，直到现在都喜欢的要命，就为了明道肤浅一次吧~
(4星)	初中最喜欢的电视剧
(2星)	剧情。。。。。。烂透。。。
(5星)	只有把手交给最爱的人 才能舞出最美的回旋 从此爱上明道~~~
(3星)	千篇一律
(2星)	= =
(3星)	那时很喜欢，后来内地出了  爱情睡醒了。觉得真是非常非常山寨
(3星)	儿时超爱。
(5星)	爱明道爱到不行！！爱陈乔恩
(4星)	丑小鸭的故事,可是我很感动啊
(4星)	明道帅啊&gt;_&lt;
(4星)	高一的时候很喜欢看，台湾偶像剧俺看的不多，这部是比较喜欢的。
(3星)	什么时候的片啊 我怎么看了好多遍
(5星)	突然发现我没添加这个 这怎么行 不管怎样 这是我非常美好的记忆
(3星)	那时候的183club。。。唉。。。。
(NA)	GOOD!
(2星)	明道真是醜爆了。
(5星)	如果把明道换成邱泽会怎么样 邱泽就会入戏了吗
(5星)	很怀恋...俗气的偶像剧给沉闷的青春带来的快乐..
(4星)	好像也看了好多遍阿。。。到最后一有介个剧爸爸就老喊我看。。郁闷。。。
(2星)	我居然看过这种……⊙﹏⊙
(1星)	扛不住这种剧。。。
(NA)	哎 开始了我高中通宵看偶像剧的路程啊
(1星)	很假 白痴偶像剧
(5星)	经典
(3星)	失忆那段比较好 蛮喜欢陈乔恩的
(3星)	挡O...
(5星)	跟着单均昊一直纠结
(4星)	哈哈其实还蛮好玩的。
(4星)	不错~
(3星)	额..怎么会那么火？其实也一般般...
(3星)	有人让我明白在乎一个人的感受，让我明白为在乎的人努力，是不求回报也会快乐的，我想为我在乎的人继续努力
(2星)	我真的~~~初中高中~~~看了好多………………
(4星)	那时候大家都还年轻。。。
(1星)	女主果然是乡村一系列。
(4星)	命中已注定 是我太任性 你的花言巧语 把我推如陷阱 我怎么有力气。。。推开你~~~~~~~爱上你！！！！也！
(4星)	(﹁&#34;﹁)当时我还年轻 =口= 年轻时候的我打的分！
(3星)	那个时候真是年轻啊，净是美梦。
(5星)	当初真是觉得百看不厌啊
(NA)	浪漫的爱情故事
(4星)	明道的经典作啊，其他剧中的西装表现都不如这部
(1星)	我去！！！烂片啊！！！台湾在用演员的脸报复社会啊！！！
(3星)	记得那时还挺喜欢明道的。
(2星)	这个虽然当年有看过，可是我实在是给不了三星，一般对于以前看过的NC剧我都会给个三星，可是原谅我现在真的对这部剧厌恶到无以复加的地步！不给一星就很好了= =
(4星)	嗷，我怎么会忘记标注这部电视剧，这可是我高三的时候，花了一个通宵在网吧看完的，那个时候的我怎么会如此勇敢呢，怀念。。
(2星)	不喜欢这种风格
(4星)	当时那个喜欢呀，
(1星)	毫無營養的偶像劇啊。。。
(3星)	突然想起来这部剧，顿时觉得自己也年轻过。
(3星)	小时候觉得还是不错的。
(NA)	跟最后之舞相比，确实比较欠缺。但是我都很喜欢。
(2星)	看它就是浪费时间。。。。小学看的。。好狗血的剧情哦
(5星)	曾经最爱的剧
(3星)	我都想给两星，想想算了
(3星)	虽然主角烂到不像话，可剧情真心蛮跌宕的。
(4星)	明道好帅！
(3星)	绝对是丑小鸭变天鹅
(5星)	因为这一部电视剧，那个假期很开心~ 当年特别感动，哭过好多次~ 要是现实生活中有明道这样的人，我肯定立马被电到！ 
(3星)	我看了好几遍！！
(3星)	哈哈！！
(3星)	刚出的那会喜欢的要死，初三的时候，一直追着看
(4星)	看的第一部偶像剧
(4星)	细腻的心理刻画、熨帖的台词，让人忽略掉了失忆再失忆、王子与灰姑娘、默默守候终得正果这些烂俗情节。曾经非常喜欢 PS：明道哥哥你是玩偶吗
(4星)	那一年，迷到不行
(3星)	那段被同学逼着说明道长得帅的日子啊……真心觉得这货长的很是奇怪。
(4星)	还是很好看的啊！虽然现在没有再看的欲望.
(3星)	自从这部电视之后我就再也不看明道的拍的其他片子了
(4星)	记得当年还很喜欢看，陈乔恩演得不错的
(3星)	还行，高三暑假看的
(3星)	偶像剧神马的只可远观。不过有一部分还是很励志的。
(5星)	管它名字怂不怂 反正是我最喜欢的一部肥皂剧。。 
(4星)	当时很迷明道，现在觉得很残
(3星)	翻版 最后之舞 
(NA)	貌似那段时间在恶补偶像剧······
(2星)	好村的陈乔恩
(4星)	so-so
(3星)	话说当时我一个朋友喜欢明道喜欢的快疯了 我是不知道为什么 不过估计现在她也会觉得自己当时的行为很傻叉吧。。嘻嘻
(3星)	初中竟然SB一样每天中午守着电视。。。。
(3星)	我妈说明道比阮经天要好看，于是我登时就颓了。
(1星)	我怎么会看这部片子的。。。
(NA)	= =
(4星)	喜欢陈乔恩，考试的时候还在看。
(3星)	我真的覺得不好看 主角不好看 2.5
(NA)	。。。
(2星)	翻拍的韩剧……
(2星)	明道当年挺帅的 陈乔恩也挺可爱 关键男二 怎么总有他 我日 让他死行吗 
(5星)	给人平凡的感动~虽然剧情老套，却依然能让人落泪
(NA)	初中时期最爱的偶像剧了，从那时候开始喜欢明道，一直到现在
(NA)	这个应该谁都晓得吧~
(4星)	还是挺好看的湾湾小言情。。
(3星)	初三的时候在老师家补习，记得是中午放的，在家看到广告，趁广告跑到老师家，打开电视再看完，真是一分都不落下啊
(4星)	台剧启蒙剧..
(4星)	明道 我爱的明道 我最喜欢看的 剧情好啊
(NA)	喜歡紹偉……結局狗血……
(3星)	真操蛋  在你这翻出来的
(NA)	觉得是最好看的台剧....超越不了的经典！
(3星)	抛弃不好看的男女主角的脸，剧情真的还ok。
(5星)	那个时候疯狂地迷恋明道和183啊
(5星)	很喜欢的一部台湾偶像剧，陈乔恩和明道演技都蛮不错的，看过两遍，真得蛮不错的，歌曲也很好听，不过之后的台剧很少有超越这部的。
(2星)	实在是受不鸟明道
(3星)	记得初中的时候很喜欢 &gt;&lt;
(4星)	当初躲避我妈的追赶，和我姐奋战到第二天清晨
(5星)	初中的时候超级无敌爱的...当年还是甚为青涩的明道和乔恩
(4星)	个人认为最好看的偶像剧
(3星)	哈哈哈哈哈哈
(4星)	很狗血的框架，不过喜欢啊，看过N遍了~
(1星)	明道真是世界第一的美男子啊
(1星)	JP看了明道这张脸就有一股吐意徐徐而来
(1星)	真心讨厌陈乔恩。唉，仗着年轻我真是什么都敢看。
(2星)	实在欣赏不了
(4星)	又重看了一遍突然喜欢了肿么办= =最近大爱狗血的剧情肿么办！！！！TAT突然觉得明道好帅啊自拍……
(5星)	当年多么喜欢啊
(2星)	矮油，那时候我有多傻逼啊
(5星)	好吧。。为什么评分那么低呢- -想当年姐也很喜欢的
(4星)	梦幻剧啊
(5星)	我是真爱明道的手！！！
(4星)	这部电视剧是我童年印象很深的一部偶像剧！~当时的明道简直帅呆了~ 
(4星)	噁心明道
(NA)	看过一点点
(5星)	我曾经很爱天瑜和茼蒿。
(1星)	当时挺喜欢，现在回想完全无感。
(4星)	第一部偶像剧...
(4星)	我想再看一遍。。。。。。。。
(4星)	现在大概看不下去了。但是像还珠一样的确是记忆中的经典
(4星)	最近重看了这部剧，还是觉得明道的眼神很有味儿
(4星)	这个真挺经典的 那阵安徽卫视总演啊 明恩配啊~
(2星)	明道 。。。
(3星)	好吧- -我看过
(3星)	真心不喜欢明道
(3星)	当时看这个片子喜欢上了明道。
(4星)	经典的失忆场景。。。。。。。。
(NA)	！！！
(3星)	只看过最后一集可以莫？哈哈
(NA)	以前我姐姐可喜欢可喜欢了。谢幕剧
(3星)	之前很喜欢
(1星)	看到明道这傻逼就恶心啊！！！
(3星)	中间的失忆桥段我直接跳过
(3星)	牛逼闪闪
(4星)	看过很多遍了，其实蛮经典的。
(2星)	哎呦 初三晚自修的日子为了引起某人的注意跑到外面小店心猿意马的踱步，放得正是此剧
(4星)	恩，前8集還蠻喜歡的。人家就看了這部台劇嘛~
(5星)	当年看了N遍的偶像剧！
(4星)	当年我尼玛觉得明道很帅|||||||
(NA)	以前没看命中注定我爱你 觉得明道和陈乔恩最配了… 但是阮经天的出现证明了明道 还是歇会儿吧- -
(5星)	j
(4星)	看多了其实觉得这部还挺好看的
(5星)	很喜欢陈乔恩的角色，什么都不想，阳光积极。。。
(4星)	高一看的吧，安徽卫视、现在想起来，亲切、、
(5星)	王子和灰姑娘的故事...让明道成功变王子的一部剧...
(5星)	爱上陈乔恩最初的理由
(5星)	评分怎么这么低。。。出了流星花园就是这部剧了啊、
(5星)	青春的回忆啊
(5星)	想当年迷得要死
(3星)	狗血偶像剧。
(NA)	歌还蛮好听
(2星)	唉。。。
(4星)	去年暑假翻来覆去看过的一部偶像剧。
(4星)	其实还不错 乔恩演技很棒
(3星)	看看那個王紹偉 我明白了原來還有比明道更鄉土的
(5星)	不是很喜欢明道 陈乔恩的实力是从这个时候开始展露的吧
(5星)	我的偶像剧启蒙
(4星)	好看
(4星)	还不错。。。。
(5星)	哈哈哈，从此迷上了明道啊。
(3星)	当初怎么会爱看呢？？？
(4星)	陈乔恩
(2星)	一直想不懂某人怎么就一直跟王子扯上关系……
(3星)	我觉得明道还是挺好啊的。。。
(3星)	明道的眼睛總是對不上
(4星)	我对这部片子情有独钟。
(5星)	初一的回忆阿~~
(3星)	莫名无感-0-
(4星)	台湾的肥皂剧能莫名有治愈点...
(3星)	想本人当年太单纯........
(2星)	尽管不像承认 但是我确实看过啊 啊啊啊 啊 
(NA)	这是明道最好的剧。
(2星)	这部起码看得下去
(4星)	大一的时候跟阿连一起看
(4星)	至今仍相信这货是我迄今看过的最好的偶像剧
(5星)	永远记得初三那年暑假，电视台不断地播放一个颠覆的童话故事，长到童话也能峰回路转，长到喜欢他们，一年又一年。那年的时光，怎么能重来。那年的热爱，怎么能重演。
(3星)	具有代表性的弯弯小成本山寨感偶像剧，当年还是看得很哈皮的~
(2星)	把青蛙捧成了王子
(3星)	看了一半又棄了
(NA)	meikanwan
(4星)	搞笑
(3星)	帅哥啊
(NA)	当年就不明白民工团是怎么火起来的。。。。。。。。。。。。。。
(5星)	当时很喜欢
(5星)	我心中台湾偶像剧无法超越的第一，大二的时候看的台词都能倒背了，还和宿舍女生一起模范，真是傻逼而十足开心啊
(NA)	我看了十二遍……
(4星)	又是一部想当年~~~
(3星)	其实这剧放到现在来看，绝不会是05-07的收视冠军。剧情制作都一般。 只是它上映的时候是05年。台剧之路尚在起步之时。 这是他得天独厚的优势。
(5星)	果断的，经典！
(3星)	安徽卫视是没东西放了吗 一直重复地放
(4星)	在发现这部剧是抄袭韩剧最后之舞之前，它在我心是偶像剧里面的五颗星~~~
(NA)	台湾都是垃圾偶像剧
(4星)	我也不记得当年为什么觉得很好看……
(3星)	我真的不懂以前的自己了 好囧迫。
(3星)	明道巨无爱。
(3星)	那时的男女主角都有点雷
(5星)	好看~
(3星)	变成童年的记忆了= =
