http://movie.douban.com/subject/3041493/	小宝与康熙
(NA)	 这个版本的7个女主角应该是所有鹿鼎记里面最漂亮的            
(4星)	 凉风有信，秋月无边，亏我思娇的情绪好比度日如年，虽然我不是玉树临风，风流倜傥，但我有我广阔的胸襟，加强健的臂腕~~~~~~            
(3星)	 我最喜欢的一个版本            
(4星)	 凉风有信秋月无边亏我思娇的情绪好比度日如年~哈哈~            
(4星)	 为什么我看这部剧的时候，总有一股特别悲的感觉，张卫健的电视电影都有股笑中带泪的意味            
(4星)	 美女多啊            
(5星)	 虽然你们说他烂，但是我就是喜欢看，美女多不行啊            
(4星)	 凉风有幸秋月无边亏我思娇的情绪好比度日如年虽然我不是玉树临风潇洒倜傥..............            
(4星)	 曾经很火            
(5星)	 凉风有幸，秋月无边。亏我私交的情绪好比度日如年，虽然我不是……哈哈            
(NA)	 凉风有信.秋月无边.亏我思娇的情绪好比度日如年.虽然我不是玉树临风.潇洒惕傥.但我有广阔的胸襟加强劲的臂挽 三星。            
(4星)	 很好看啊最后一集哗哗流泪！            
(5星)	 凉风有性秋月无边，亏我思娇的情绪好比度日如年。虽然我不是玉树临风，潇洒倜傥，但我有广阔的胸襟和强壮的臂弯。。。。。。            
(4星)	 嘿嘿~喜欢滴            
(4星)	 当时就是特别喜欢看张卫健演的戏，虽然好多人都喜欢陈小春版的            
(4星)	 老实说 一般般啦 不过建宁死的时候 我稀里哗啦了            
(4星)	 还不错            
(5星)	 小学六年级！            
(5星)	 我觉这是张卫健最好看的一部剧            
(2星)	 我不喜欢张卫健。            
(3星)	 其实很搞笑！            
(4星)	 不错~~美女很多哦~~            
(4星)	 7个老婆都不错！！凉风有幸，秋月无边，亏我思娇的情绪好比度日如年。。。             
(3星)	 ……林心如你哪里抖M了            
(4星)	 蛮喜欢这部也。            
(3星)	 谭耀文是演什么什么不像啊            
(4星)	 建明公主好可爱~            
(2星)	 不喜欢。            
(4星)	 凉风有兴，秋 月无边， 亏我思娇的情绪好比度日如年。虽然我不是玉 树临风，潇洒倜傥， 但我有广阔的胸襟，和强健的臂 腕。。。            
(3星)	 张卫健演什么都是演他自己            
(2星)	 张卫健……            
(4星)	 没看过《鹿鼎记》的原著 单纯看电视剧的话还是喜欢这个版本            
(3星)	 版本太多有点晕            
(NA)	 风靡全班啊            
(4星)	 凉风有兴秋月无边～            
(2星)	 最奇怪的一版            
(3星)	 好多美女            
(4星)	 虽然我身边只有我一个人喜欢这一版            
(4星)	 虽然现在看来是很不成熟，但是当年真的很爱看，尤其喜欢片头片尾曲            
(5星)	 拼着朱茵陈法蓉什么的我也喜欢看好么，凉风有幸秋月无边，亏我思娇的情绪好比度日如年！！！！！！            
(3星)	 胡编乱造的王晶导演，竟然能把建宁公主给弄死了，囧。。。但是美女真心多，张卫健的剧也算是从小看到大了            
(NA)	 这是我最喜欢的鹿鼎记版本！里面的姑娘个个如花似玉            
(3星)	 我靠 瞧瞧那些個老婆們 每一個好看的            
(3星)	 这个建宁。。。==            
(3星)	 这个剧就是看美女嘛。。囧            
(3星)	 汗！真的看过这个……记得那时郑伊健帅到不行！            
(5星)	 凉风有信，秋月无边，亏我思娇的情绪好比是度日如年，虽然我不是玉树临风，潇洒倜傥，但是我有广阔的胸襟和坚强的臂弯。。。            
(2星)	 我不会是张卫健的粉吧            
(NA)	 不好看            
(4星)	 韦小宝成为武林高手是在太囧，但张卫健相比陈小春还是太绅士了，不过这7个老婆要比陈小春版的好太多了，张卫健也把情圣演绎得十分到位            
(3星)	 好像没看完。            
(3星)	 有陈小春你必死了 不过女主也不错啊嘿嘿            
(4星)	 凉~风有幸~秋月无边亏~我思娇的情绪好比度日如年~虽然我不是玉~树临风风~流倜傥。。。。。。当年他就是这个调调            
(5星)	 最喜欢这个韦小宝，哈哈~            
(4星)	 虽然大多数人都喜欢陈小春版本的 但这是我最喜欢的版本 当时因为这部剧迷上了张卫健 喜欢他独创一格的演技。            
(5星)	 我爱张卫健。。！！！！！！！！！！！！！            
(NA)	 初中同桌每天都念：凉风有信，秋月无边            
(NA)	 凉风有幸，秋月无边，亏我思娇的情绪好比度日如年。虽然我不是玉树临风，潇洒倜傥，但我有广阔的胸襟加强健的背~~湾……  纯手打，可见印象之深刻            
(4星)	 凉风有信。张卫健的最后辉煌。            
(4星)	 美女如雲            
(2星)	 好看个锤子。            
(1星)	 烂            
(2星)	 这部除了建宁公主漂亮了，和陈小春版的简直没得比啊。            
(4星)	 小时候超级喜欢            
(NA)	 ╭(╯^╰)╮            
(5星)	 　　凉风有信，秋月无边， 　　亏我思娇的情绪好比度日如年， 　　虽然我不是玉树临风，潇洒倜傥， 　　可是我有我广阔的胸襟，加强健的臂腕！            
(5星)	 我是看着你长大的。            
(4星)	 当年真心觉得这版本比鹿鼎记好看，现在真心觉得鹿鼎记比这个好看~我是说陈小春那一版的~            
(3星)	 这个阵容也很有爱            
(4星)	 美女最多的一个版本，靓……            
(3星)	 美女们！            
(4星)	 当时觉得阿珂靓爆了~            
(2星)	 只是名字一样而已，想借金庸大名，以及金庸书中人物大名，然后弄出个奇怪的东西            
(4星)	 这部还是不错的，与陈小春版各有各的特色，但是陈版深入人心更经典            
(4星)	 其实我是喜欢小宝的，虽然他有7个老婆，虽然我不喜欢他两边游走。            
(4星)	 虽然没有陈小春版好笑，但是最后几集还是很有泪点！            
(NA)	 让我找到了吧            
(NA)	 凉风有信，秋月无边，亏我思娇的情绪好比度日如年，虽然我不是玉树临风，潇洒倜傥，但是我有广阔的胸襟，加强健的臂弯！！！！！            
(4星)	 为什么我还是喜欢这个版本……            
(4星)	 很是搞笑            
(5星)	 最爱 最爱 最爱 张卫健！            
(3星)	 哎 远低于我的期望            
(3星)	 凉风有性 秋月无边?            
(5星)	 喜欢            
(5星)	 bravo!!            
(4星)	 电视上也没瞄的很完整。凉风有信，秋月无边。            
(3星)	 凉风有幸秋月无边亏我思娇的情绪好比度日如年            
(3星)	 这里女的都好可爱            
(3星)	 没有陈小春的经典啊            
(NA)	 给分的话 会是四星吧 对记忆 总是宽容的            
(4星)	 鹿鼎记最喜欢这部，因为张卫健！            
(4星)	 凉风有兴，秋月无边，亏我思娇的情绪好比度日如年。虽然我不是玉树临风，潇洒倜傥，但我有广阔的臂弯。我特爱看这部改编的鹿鼎记，也很喜欢陈法蓉的角色。            
(5星)	 说这部电视剧不好看的人基本上都是只匆匆扫几眼的人，没有静下心来看完的，我之前瞅过几眼，觉得与原著改动很大，也觉得不如陈小春版得好看，但是机缘巧合完整看过，我不得不说，这部拍出了陈小春版没有的深层次的感情，陈版很经典但多为插科打诨，真正男女主角的感情却没有多做着墨！            
(4星)	 ·····················            
(3星)	 美女们。。。太多了            
(4星)	 这也是小时候巨迷的一部，呵呵，每天的期待，放学路上反复回味剧情，唉            
(NA)	 我永远想不通阿珂哪里美            
(4星)	 里面的美女真的都不错，比那谁谁那版强太多了，真心觉得林心如演的很好~~            
(4星)	 马浚伟一张康熙脸啊。            
(NA)	 P            
(NA)	 妈呀，我居然看过，我果然胆大            
(5星)	 当年也是看的很欢的~            
(4星)	 凉风有性秋月无边，亏我思娇的情绪好似度日如年            
(4星)	 靓女多到！            
(2星)	 垃圾剧。            
(5星)	 凉风有信，秋月无边，亏我思娇的情绪好比是度日如年，虽然我不是玉树临风，潇洒倜傥，但是我有广阔的胸襟和坚强的臂弯~ 经典死了 这段词儿必须背下来            
(4星)	 哟西哟西。            
(3星)	 凉风有性，秋月无边，任我思娇的情绪好比度日如年~~~            
(4星)	 经典。            
(4星)	 只看过这版的鹿鼎记            
(2星)	 你要那么多老婆干嘛，真贪心            
(NA)	 不好看，还是马浚伟的康熙好&gt; &lt;            
(NA)	 其实是基片吧            
(4星)	 演员阵容和剧情都不错 只是集数太少            
(4星)	 这个剧的核心就是两个男人打情骂俏爱恨纠葛            
(4星)	 里面建宁公主最让我心疼            
(5星)	 美好回忆！            
(5星)	 喜欢看。。。小时候看的。。现在想想。。我的童年竟坐在家里看电视了。。。从小就爱看电视啊！！            
(3星)	 美女们是最美的一部。不过论剧情，越往后越拖沓；论表演，个人认为比不上梁朝伟和陈小春            
(5星)	 凉风有信，秋月无边，亏我思娇的情绪好比度日如年，虽然我不是玉树临风，潇洒倜傥，但我有广阔的胸襟加强健的臂弯儿~             
(4星)	 凉风有性秋月无边，亏我思娇的情绪好比度日如年            
(4星)	 那时候就喜欢张卫健的片~            
(NA)	 比较不错的鹿鼎记啦。。            
(3星)	 这个阵容，让人发晕。最最神奇的是，我竟然爱死了林心如的建宁公主。            
(4星)	 经典版啊。。            
(2星)	 就记得那个“凉风有性”            
(2星)	 还是陈小春演的好啊            
(5星)	 我觉得蛮好看的。            
(5星)	 朱茵演阿珂，我还是服气的            
(3星)	 很早之前看过的了。            
(4星)	 凉风有信，秋月无边，亏我思娇噶情绪好比度日如年，虽则我唔系玉树临风，潇洒倜傥，但我有广阔噶胸襟，加坚强噶臂弯~~            
(4星)	 超喜欢这部！小时候好喜欢张卫健啊~~~            
(4星)	 美女如云版鹿鼎记..            
(3星)	 韦小宝。。。是男人都羡慕的            
(4星)	 凉风有信 秋月无边 亏我思娇的情绪好比度日如年 虽然我不是玉 但我又广阔的胸襟            
(2星)	 我没读过书，但是我可以玩转这个世界。。。。             
(3星)	 就记得林心如死的巨突兀            
(4星)	 看过几集            
(2星)	 跟陈小春比差远了            
(4星)	 我觉得是最好版本的鹿鼎记            
(4星)	 蛮有意思的凉风有性，秋月无边，亏我思娇的情绪好比度日如年，虽说我不是玉树临风、潇洒倜傥，但我有广大的胸襟加强劲的臂弯            
(3星)	 一般般            
(2星)	 对张卫健无感            
(5星)	 稀罕张卫健            
(3星)	 呵呵呵            
(4星)	 我不否认有点傻，不过比较喜欢林心如的建宁。。。            
(NA)	 当时在班上很红             
(4星)	 韦小宝的故事看几遍都不会腻            
(3星)	 这版远远比不上陈小春版            
(4星)	 张卫健还是比较适合            
(5星)	 最爱的小宝            
(1星)	 最烂的一版，名字听着就难受            
(3星)	 。            
(NA)	 还是喜欢鹿鼎记，不过这个主题曲和片尾曲到还不错            
(NA)	 小时候喜欢看            
(3星)	 冲着明星去的            
(3星)	 仍记得，小宝的打油诗。            
(4星)	 我心里的经典            
(3星)	 侯耀文那个时候真心年轻，就是鹿鼎记嘛。何必呢。@Home            
(3星)	 我记得高中的时候还超期待            
(5星)	 我初中时最喜欢了 有郑伊健客串 和很多漂亮姐姐             
(4星)	 少一星是因为建宁死掉了......我是鹿鼎记控啊~~凉风有信 秋月无边 亏我思娇的情好比度日如年 虽然我不是玉树临风 潇洒倜傥 可是我有我广阔的胸襟加强健的臂腕~~            
(4星)	 凉风有信，秋月无边，亏我思娇嘅情绪好比度日如年。。。哈哈，张卫健老是挂在口边的词。。。这个版本的鹿鼎记不错，比TVB陈小春的版本更具喜感，却也不会太胡闹或者乱来。            
(3星)	 中间还恶搞了一把方世玉            
(4星)	 凉风有信，秋月无边。 睇我思娇情绪好比度日如年。            
(5星)	 美好回忆啊啊啊啊啊啊啊阿            
(3星)	 娱乐性很强的一版，当年在TBB放收视好像还不错吧。张卫健继续走他的老套路，韦小宝竟然被塑造成了圣人……无语。原来这片跟王晶没关系？我没看错吧……            
(4星)	 凉风有信秋月无边亏我思娇的情绪好比度日如年虽则我唔系玉树临风潇洒倜傥但我有广阔的胸襟加强劲嘅臂弯。 昨天看《邪》也有前面两句，去查出处去。            
(4星)	 当时比较喜欢的一剧            
(5星)	 就是喜欢张卫健            
(3星)	 最后一集弄得还挺感人。            
(4星)	 建宁公主死的时候，我哭惨了！            
(3星)	 这一版美女比较多。            
(4星)	 典型的，王晶式的商业恶搞片，除了美女，一无是处，很讨厌这版的康熙以及小宝            
(4星)	 心如永远是我心目中最可爱的建宁公主~！            
(3星)	 不是我说啊，张卫健真是请得动人啊，饱眼福都够了，何况他还确实挺小宝的......            
(NA)	 我最喜歡這版韋小寶 真的            
(3星)	 凉风有信，秋月无边，亏我思娇的心情好似度日如年！            
(3星)	 三颗星给的都是一群美女            
(3星)	 张卫健如果不那么啰里八嗦就好了            
(5星)	 张卫健的都满分            
(4星)	 当年很爱的张卫健系列            
(2星)	 除了那一句话我屁都记不住了            
(4星)	 小时候是多么喜欢张卫健啊，逗死了            
(NA)	 买碟看的！！回味N遍 最爱的版本            
(5星)	 你妈逼，是我演的好么            
(4星)	 很记得他们是冬天拍的。。。            
(3星)	 当时脸上没有无数条折子的张卫健装傻充嫩还是能看的~            
(4星)	 林心如死的时候哭得稀里哗啦的            
(2星)	 不算最烂的韦小宝，却也着实很烂了。- -！            
(4星)	 张卫健啊 中了你古装的毒            
(3星)	 美女~~都是美女啊~~~经典独白            
(NA)	 张卫健已经快和苏有朋战平了。            
(NA)	 演的都是张卫健            
(4星)	 女人太多了当时觉得……            
(3星)	 一般般吧，反正不是最不好的一版。            
(3星)	 纯属为了cast            
(4星)	 看到忘记了~歌和那首凉风有信却还记得            
(5星)	 超爱~~~龙儿~~            
(4星)	 小金鱼死了。            
(5星)	 妈的我太喜欢这个了～            
(4星)	 建宁死了居然伤心            
(3星)	 张卫健角色定型鸟！            
(4星)	 那时候的林心如是真好看啊            
(5星)	 张卫健登峰造极之作！当年和妈妈看的！去影碟店租碟子！哈哈！            
(3星)	 ……实在改了太多= =且太闹腾            
(3星)	 送饭            
(3星)	 最烦张卫健的一点就是，不说还好，总觉得自己很搞笑，事实上不仅我，我周围的人都觉得他说的话一点都不搞笑，最后发现他自己一直在笑。这个人模仿周星驰的痕迹太重，演了这么久一点自己的风格也没有，演技也比较差。不过好像最近他的新作改观了很多。            
(1星)	 我妹妹很喜欢看……            
(3星)	 凉风有信，秋月无边，亏我思娇的情绪好比是度日如年，虽然我不是玉树临风，潇洒倜傥，但是我有广阔的胸襟和坚强的臂弯。            
(3星)	 感觉是...所有《鹿鼎记》的各种版本里，美女最多、最养眼的一部~ 但还是比较喜欢陈小春版            
(4星)	 好多大牌。张卫健版的韦小宝，也是很不错的。            
(2星)	 整部片子除了林心如的建宁和吴孟达的海公公，其他的就他妈的三个词，what da fuck             
(5星)	 翻拍得不错            
(3星)	 一星给众美女。结尾很KUSO            
(4星)	 凉风有幸，秋月无边。。。            
(4星)	 最喜欢这版的韦小宝。。。凉风有信，秋月无边， 　　亏我思娇的情绪好比度日如年， 　　虽然我不是玉树临风，潇洒倜傥， 　　可是我有我广阔的胸襟，加强健的臂腕！             
(3星)	 最喜欢这个版的小宝。            
(5星)	 经典。            
(5星)	 兒時回憶            
(5星)	 小学里看的最喜欢的电视剧，，，            
(4星)	 当时很喜欢            
(3星)	  好吧 我哥哥很喜欢看 我也跟着看             
(5星)	 我给5分！！！            
