http://movie.douban.com/subject/3032552/	魔幻手机
(1星)	 今年暑假的时候每天早上九点爬起来等着看ccav1上午暑期儿童节目三集联播……当时究竟被什么附身了而且连片头都会唱！            
(2星)	 真不晓得这片子是给谁看的——还是说我已经老到无法理解孩子们的世界的那个岁数了。。。            
(1星)	 这部国产大片让我懂得了两个道理！一：原来豆瓣不能打0星。二：原来冷嘲也是一种噱头。            
(3星)	 焦恩俊还是那么帅，这片还行吧没那么差            
(1星)	 太有想象力了！果然没让我失望。            
(1星)	 烂烂烂烂烂烂烂烂烂            
(3星)	 估计是《宝莲灯》一帮子演员想脱了道具服装而拍的拍子吧。道具都是一样的，真省成本呀！很囧很强大！！            
(5星)	 很不错。看了好几次。笑点多，内容也挺满了。演员表现得都不错。            
(1星)	 ……            
(3星)	 想法很强大。。。            
(1星)	 无语！！！！！！！！！！            
(1星)	  雷到了！！！！！            
(1星)	 穿越的后果很严重            
(2星)	 最近几年难得的雷到我的电视剧...            
(1星)	 绝对不可以相信宣传语！（崩            
(1星)	 11集……我已经到极限了……毫无疑问就是自残……主角是最龌龊超级无敌大纱布，没有之一。            
(NA)	 能雷成这样绝对是成就！那主题歌《穿越》更是锦上添花——爱让我死心眼儿            
(2星)	 总的来说属于比较扯的            
(1星)	 不是一般的缺心眼            
(3星)	 我觉得吧．．有点傻            
(1星)	 被主题曲给雷着了。            
(5星)	 看看放松放松            
(1星)	 囧的都低级            
(NA)	 雷            
(1星)	None
(1星)	 你们害苦青少年了。cctv1            
(1星)	 也是突然想起来当年看了这么一神物！            
(1星)	 你说CCTV老播，恶心不？            
(1星)	 这部真是烂到无极限，为啥还有电视台能忍痛播出。。。            
(NA)	 可惜焦恩俊 ···总感觉焦恩俊被卖身了，总能在央视的屏幕上看到他的身影 ···            
(1星)	 天雷滚滚啊！！            
(1星)	 咱能不能不这么弱智            
(1星)	 没有下限了。。。尼玛的神奇国度。。            
(1星)	 主题曲绝逼是起床铃最佳选择。剧情是想死必看的。            
(1星)	 本来都不想打星的。。。。            
(1星)	 这种片我一般会用无聊作为标签，但为此片无聊已不足以描述，这是第一部被我标签为垃圾的片子。此片我曾经在电视上反反复复看过多遍，今天CCAV又重放了，好像还是第一集。作为剧集，此片每个元素都是最差的。国内的制片人可不可以有点良心？这可是给小孩看的呀，这么脑残的片子肯定会延误智力            
(NA)	 这是一部挑战人类极限的片子            
(1星)	 你傻逼，你还当所有人都是傻逼……            
(1星)	 有负分选项就好了= =            
(1星)	 这个确实好囧…你说你土鳖土鳖吧  找点好看的主角也行啊。= =            
(3星)	 金馆长脸]我曾经认真的看过几集是什么情操...            
(NA)	 舒畅是烂剧的保障            
(2星)	 爱让我死心眼有去无回~冲这剧让我这么欢乐就给它两星            
(1星)	 问题是我居然在大学把这部雷片看完， 我承认我是边抽自己边看完的，我承认我手贱 眼贱！            
(1星)	 央视神剧啊！有木有零颗星？            
(3星)	 断断续续，整个大杂烩啊            
(NA)	 主角长得真特么像宋佳六            
(5星)	 我再也不相信豆瓣的评分了，这部片子明明非常好看，在我看了第一集发现是个大烂片，第二集发现依旧烂却坚持看下去，直到看完全作发现是神作！！貌似，豆瓣评分低的，往往是神作……另一个极端？            
(2星)	 我非常想知道这部电视剧的市场定位..            
(1星)	 觉得莫名其妙的唉            
(3星)	 我也想有内样一个会说话的水晶娃娃，吃饭了饿死了            
(1星)	 不解释。。。。            
(2星)	 有点 囧！            
(1星)	 囧的一逼的强大            
(2星)	 忒他妈有才了！            
(1星)	 我想打负星            
(1星)	 白痴            
(1星)	 傻逼啊~~~            
(1星)	 还他娘的在北方工大里拍的……            
(5星)	 竟然看上瘾求了，我日            
(1星)	 舒畅也只能演这种戏了            
(3星)	 男主角很像杜威啊            
(1星)	 爱让我死心眼~~~能去~不能返~~~也会去冒险~~~~            
(1星)	 有的人看的那个瘾啊  我…            
(5星)	 在里面不得不看的佳作。周日消遣的极品。            
(1星)	 看名字就够了            
(NA)	 为了李滨 坚持了一阵子            
(2星)	 立马换台，受不鸟            
(1星)	 看影评都会很开心，我只是扫过几眼而己            
(NA)	 sb            
(2星)	 故事编的还行，但是还是败给了中国的电视制作。            
(2星)	 我很无言。            
(1星)	None
(1星)	None
(1星)	 刚刚换台看见中央一台又在播放这部电视剧，无语啊！记得以前中央八台也经常播，完全搞不懂这个电视剧在演什么。。。。            
(1星)	 央视神剧。。            
(1星)	None
(1星)	 电视上看上十分钟,绝对10个月见到他就躲阿            
(1星)	 CCAV的镇台之宝            
(2星)	 小学的时候有播，我记得小朋友们都很爱看，原来我不是一个人。。。            
(1星)	 这部剧太扯了，一点都不好玩。            
(3星)	 不是吧，都对这部穿越剧差评啊，我当年怎么看的津津有味的呢…            
(NA)	 其实从重口味角度来看……还挺好看的……            
(1星)	 tmd傻逼脑残片！每次放假都要毒害我一次！            
(2星)	 电视上无数次看到，今天终于有幸在cctv看到第一集！！真是天雷滚滚啊！！！            
(2星)	 。。喜欢陈创            
(1星)	 神作2.            
(1星)	 瞎了。            
(1星)	 尼玛。。。。。我真的看懂了这个片子。            
(2星)	 这也叫魔幻？穿越来穿越去，穿越来穿越去，穿越来穿越去，穿越来穿越去，穿越来穿越去，穿越来穿越去，穿越来穿越去，穿越来穿越去，穿越来穿越去，穿越来穿越去            
(2星)	 意想不到的只有3.3分            
(1星)	 我居然笑了....            
(5星)	 国产剧中的经典            
(2星)	 太TM有才了吧            
(5星)	 非常好的科幻电视剧，反对烂片的评论            
(1星)	 超2b啊..完全看不懂啊..看完觉得演员傻逼导演更傻逼啊..            
(2星)	 烂的很好笑            
(1星)	 ......尼玛这么雷的剧当时电视天天不停的播   这是闹哪样啊!!!!!!!            
(1星)	 脑残无下限！            
(3星)	 大二采风的时候打发时间的= =++++            
(1星)	 我无力吐槽。            
(1星)	 史上最傻逼的电视剧，看到猪八戒在北京西站上空飞的时候我阵亡了            
(3星)	 雷就一个字！            
(1星)	 此剧整个就一扯淡，妈的到底是拍给谁看的？            
(1星)	 我的天哪是雷死我了            
(2星)	 哈哈哈，这个我当真看过。哮天犬            
(1星)	 是还有个续集叫傻妞归来吗？ 片尾曲太强了            
(1星)	 神……剧……            
(1星)	 又被糟蹋一次，哥，你选剧本的时候能不能慎重一点啊             
(1星)	 舒畅，我为你默哀三分钟            
(1星)	 在家珠江台看到的，我妈觉得很好看。            
(5星)	 还不错吧，我看的是精华版，电视台播的时候真是没看，就算有大侠也没看，虽然当时有点被大侠的现代装吸引到了            
(1星)	 太TM扯了            
(2星)	 话说这是一系列来着            
(1星)	 高级            
(1星)	 还有比这个还渣的么            
(5星)	 还可以吧我操，怎么这么低分            
(1星)	 烂片，，但还是被看            
(1星)	 囧剧            
(1星)	 我整个人都魔幻了            
(1星)	 焚化部白白地阅片无数了...            
(1星)	 好想吐槽……   好想吐槽……  好想吐槽……  CCTV投拍的收不回来成本 然后就年年都播            
(1星)	 片头曲和配乐都很有喜感有木有？？            
(NA)	 二逼的编剧，二逼的演员，二逼万岁！            
(1星)	 尼玛这妥妥的是在坑害祖国下一代啊！！            
(1星)	 真心觉得很恶心            
(1星)	None
(1星)	 ccxv能不能别播这个剧了！！！！！！！！！            
(1星)	 瞎了！！            
(NA)	 雷雷更健康，很有魔力的手机啊！！！！            
(1星)	 还有比这更傻的吗。            
(1星)	 已经晕了晕了            
(1星)	 。。。傻屌            
(3星)	 我居然看过几集。了不起啊。            
(1星)	 还能更脑残吗？！            
(2星)	 中央一套居然还在放 ，老天爷啊            
(2星)	 想到哪编到哪，没救了            
(1星)	 音乐垃圾 剧情垃圾             
(1星)	 噁心            
(1星)	 想当年整整看了两集，瞎了我的氪金狗眼            
(2星)	 看了点            
(1星)	 烂！            
(1星)	 都播了多少遍了 还瞎我眼            
(NA)	 反复的看烂片儿反复的看 这是很强大的一部 因为它是个剧集 我只想说 我终于练成了            
(1星)	 我也不知道怎么会瞎格八格 格到这个电视剧，，我都被雷焦掉了。。            
(1星)	 挫成这样了央8还卯足了劲儿滚动播出。人是要有多无聊才会去看这个啊！            
(1星)	 这个我看过看过啊啊！！            
(NA)	 神马破玩意儿            
(1星)	 拍这片子的人真是人才！            
(1星)	 焦恩俊你腫麼了……(┳＿┳)...             
(NA)	 Cult            
(1星)	 评分居然还能到3.8，高估他了吧……            
(1星)	 我艹  你弄死我吧 我真的没看过比这个更恶心的电视剧！！！！            
(1星)	 瞎鸡巴扯淡            
(1星)	 谁看谁sb            
(1星)	 听说这玩意儿收视很高，你们都瞎了吗！！！            
(1星)	 你妈逼你了吗？            
(1星)	 天雷滚滚            
(1星)	 内涵丰富，下次拍个党史版            
(2星)	 果然够傻妞。            
(NA)	 最近新闻是之前收视率很好，正在拍第二部……  舒畅啊……            
(1星)	 该有的都有了，西游记，水浒传，三国演义红楼梦，蝙蝠侠，钢铁侠，超侠蜘蛛侠，回到未来2046黑客帝国 超级战警 星球大战，孙悟空大战宇宙超人奥特曼，葫芦娃智斗外星生命变形金刚点点点点点点。            
(3星)	 ╮(╯▽╰)╭            
(1星)	 =皿=            
(2星)	 有意思么有意思么有意思么            
(1星)	 垃圾            
(1星)	 要多恶心有多恶心，CCTV1还那么坚挺的播放。            
(4星)	 毛？攻壳机动队？  评分意外的低啊            
(1星)	 我呸            
(1星)	 为什么我爸妈喜欢？            
(1星)	 这个剧……真的太恐怖了……绝对不是正常人能拍的出来的……            
(1星)	 我特别想知道投资人怎么想的？            
(1星)	 去死吧            
(1星)	 看烂片，享受被虐的快感！！            
(1星)	 SB剧            
(1星)	 其实从来不准备看这烂剧，无奈天朝太钟爱此剧了，放了又放了，偶然遇到就让我雷啊雷，这到底是个什么神奇的剧哦，害我极度怀疑天朝电视台人员的智商。只想说一句话，这玩意儿都能拍出来？            
(1星)	 我这是何苦为难自己。。            
(1星)	 ccav啊            
(1星)	 没有零分真可惜            
(1星)	 亲   我同学很爱看哦            
(3星)	 4分以下不能够吧？还是有亮点的呀            
(1星)	 什么玩意儿……            
(1星)	 烂出花了都。            
(2星)	 太缺了            
(1星)	 。。。            
(1星)	 我竟然看过！我竟然看过！娘的，瞎了我的狗眼了！            
(1星)	 烂，烂，烂……            
(1星)	None
(1星)	 我的妈啊            
(1星)	 囧到无以复加            
(1星)	 我也只是瞟到过罢了。。。            
(1星)	 这部戏完全找不到可以让我看下去的点            
(3星)	 那个暑假无聊还看了挺多集地哈            
(5星)	 烂的让你发笑就给五星吧            
(1星)	 我可不可以不打分！            
(1星)	 焦恩俊，你肿么了焦恩俊，为什么总结这种烂到家的片子啊。不要浪费你那张帅哥脸啊口胡！这种书生YY神马的片子最讨厌了！！            
(2星)	 卧槽完全是为了焦哥哥看的！            
(1星)	 高中断腿在家爱，闲的无聊之时竟然看完了。。。。垃圾啊垃圾。            
(NA)	 陪妹妹一遍一遍的看阿            
(1星)	 挫到不行，我弟就为了看这个一直抢我电视，极度无好感            
(1星)	 。。。            
(3星)	 ！            
(4星)	 少点政治因素就棒啦！！            
(1星)	 我没有再看过比它还要恶心还要想吐的电视剧了！！！            
(1星)	 真不想说我看过 同样我老姨很爱看TAT            
(2星)	 雷人电视剧。            
(1星)	 这个真的是极品么？这个真的是极品么？这个真的是极品么？这个真的是极品么？这个真的是极品么？这个真的是极品么？这个真的是极品么？这个真的是极品么？这个真的是极品么？这个真的是极品么？这个真的是极品么？这个真的是极品么？这个真的是极品么？这个真的是极品么？这个真的是极品么？            
(1星)	 就是我表妹天天在看的弱智剧？现在的电视剧和我们那个时候怎么比啊！            
(3星)	 这部片子对我的意义大于它本身，因为是看完这电视后才开始了我的大学生活。            
(2星)	 就觉得这男主角怎么这么眼熟            
(1星)	 一个字。雷。。            
(1星)	 超现实主义超级大傻逼片，我都不好意思跟别人说我还真的在电视上看过几次            
(3星)	 很傻            
(1星)	 想死必看+1.。。。吐槽点无限。。。            
(3星)	 本来应该给一星，国内首部魔幻作品，探索实验之作，加一星，里面很多小美女，加一星。            
(1星)	 我已经不想说什么了……            
(3星)	 我看完了，小千还是很可爱的~~            
(5星)	 我对这部剧有了新的认识。            
(2星)	 信邪！！！！！！！！！！！！！！！            
(1星)	 这么烂的电影，是怎样登陆央视一套的。            
(1星)	 有没有教教我怎么评零分？            
(2星)	 其实，本来蛮喜欢舒畅的，硬生生的被一部部雷剧磨掉了……那个片尾曲太销魂了            
(1星)	 很囧很强大            
(3星)	 ……我从未见过如此混的一部电视剧！！！！！！人形电脑天使心+西游记！！！！            
(4星)	 科幻片，还不错啊，这部剧让我觉得舒畅真的好漂亮啊！！            
(1星)	 我七岁的小侄女非常喜欢看            
(2星)	 跟所里看的电视剧，太搞了。            
(1星)	 不是一个雷和囧能理解的            
(1星)	 占着频道不放人看的            
(1星)	 我就是为了来点个一星。            
(1星)	 浓浓的北京胡同味            
(1星)	 有零星吗            
(1星)	 为什么这片能拍42集            
(2星)	 这个实在看不下去            
(NA)	 无聊            
(NA)	 Orz            
(1星)	 比宝莲灯还垃圾，垃圾到没有下限            
(1星)	 这是个错误，应该放少儿频道的~            
(3星)	 还不错 可以用来打发时间            
(4星)	 咳咳。。            
(1星)	 很囧很强大            
(1星)	 我不是强奸，也不是轮奸。而是鸡奸！!！！！！！！！！！！！！！！！！！1            
(1星)	 小千啊 你骗3岁孩子呢···            
(1星)	 我艹...............大脑残片！！！！！！！！！！！！！！！！！！！！！1            
(1星)	 2不可怕，你还2得这么一本正经            
(2星)	 雷。            
(1星)	 有零星吗？            
(1星)	 做人要有人格啊~            
(3星)	 还可以……            
(NA)	 囧片            
(NA)	 怎么没有负星            
(2星)	 我真的不想说我看过……            
(4星)	 挺搞的，有时剧情进行得很慢除此之外很好            
(4星)	 呵呵            
(1星)	 不知道为什么会拍出这样的电视剧，还在中央电视台播。            
(1星)	 不伦不类            
(NA)	 外焦里嫩            
(2星)	 无语了。。。。。。。。。。。。。。。。。。。            
(1星)	 不看就知道这部片子有多垃圾  连我邻居家上二年级的小妹妹都看不上的囧片            
(NA)	 内地剧的操你妈            
(NA)	 真他吗假            
(5星)	 看过第一部值得看的电视连续剧，不撒谎、不骂人、。。。很好的教育            
(5星)	 很好的一部电视剧，居然被人骂成这样。            
(3星)	 一般般啦            
(1星)	 =A=认识一个在里头跑龙套的演员（小学学长），没想到他竟然自我感觉良好            
(4星)	 我就是喜欢。            
(1星)	 脑残雷人电视剧            
(1星)	 牛逼闪闪向太阳==            
(1星)	 烂透了...            
(2星)	 乱七八糟的故事            
(5星)	 跟着女儿看儿童台看到的，开始觉得无聊，渐渐喜欢上了            
(1星)	 看了3分钟，发现我变傻了...            
(5星)	 就一个字：牛B            
(3星)	 可以说魔幻剧时代感很强，很会把脉当下，情节的粗制滥造我们也就可以容忍一二了。魔剧创作仅三个月，跟当年央视七八年磨一剑打造《西游记》确实在经典方面无法比，快餐式消费文化已经深入这个时代每个影视剧的骨子里，不能不说很悲哀。            
(1星)	 法律不管我早杀了他了！            
(1星)	 tag说明一切            
(1星)	 ……            
(1星)	 很囧很强大！想死必看！里面的特效是拍宝莲灯剩下的镜头接上的？？？？？？            
(1星)	 这剧很无聊，尤其是那破烂的特效和YY的神仙结合在一起就越发的没了谱，本来KUSO神话人物没什么（大话西游我最爱啊~），可是这玛丽苏到了极致完全抛弃逻辑的合理性的无语山寨剧本是啥玩意儿嗷嗷嗷，要玛丽苏乃主角能选个好看点的成不？情节能波澜起伏有点看头不？            
(1星)	 让豆瓣快出负星星吧            
(NA)	 是谁跟我说过好看来着= =好看个毛线!!!            
(1星)	 这个世界怎么能忍受这种电视剧的存在            
(2星)	 真傻！            
(5星)	 在幽默中让人沉思,人生到底应该做什么?是极有教育意义的一部片子            
(3星)	 逗死我了，搞笑            
(1星)	 无聊，弱智            
(1星)	 。。。。。。            
(1星)	 真是傻到了极点的电视剧。            
(1星)	 什么破玩意儿！            
(3星)	 想法不错，但是编剧实在太差，完全没体现出穿越的特点，太拖沓            
(4星)	 2008.10IPTV            
(NA)	 很傻比的一部剧，傻妞，你说是不？            
(4星)	 这是关于未来的畅想，以及舒畅的出色表演使这部电视剧异常好看            
(NA)	 魔幻手机 / 魔幻手机            
(5星)	 很囧很强大            
(NA)	 超级搞笑            
(NA)	 前半部分好玩~~            
(2星)	 看了一点，没劲。            
(5星)	  那些 二进制            
(NA)	 ````            
(NA)	 很好            
