http://movie.douban.com/subject/2912164/	爱情的条件 애정의 조건
(3星)	 咋觉得恁惨            
(NA)	 很早之前看的了            
(4星)	 初中的我已经成大妈了            
(5星)	 当爱已成往事＆让爱留在心底＆爱，让我们在一起            
(3星)	 云里雾里            
(5星)	 最喜欢的韩剧 ！！！            
(5星)	 池城啊！！一口小白牙~~~            
(4星)	 韓佳人 你要不要這麼美啊            
(3星)	 对韩佳人完全不感冒啊。。。。            
(5星)	 认识了宋一国，爱情没有什么条件。池城和韩佳人学生时代的爱情很美丽。            
(4星)	 韩佳人的银波真是太让人心疼了，只喜欢最初的两人，然而初恋怎敌得过坎坷的命运？她没受住诱惑，他亦是。            
(5星)	 经典            
(4星)	 喜欢韩佳人 池城...            
(4星)	 跟爸妈一起看了三部曲有没有。。            
(5星)	 第三部让我哭掉多少包纸巾呀T-T。。女神神作，不多说            
(NA)	 这部剧太虐心太苦情了            
(NA)	 这就是爱情吗            
(1星)	 用现在的眼光来看，韩剧太让人无法忍受了。            
(4星)	 看得很心疼            
(5星)	 爱情的条件是什么？每个人的回答和理解都不一样，对于真正相爱的人，爱情是没有任何条件的……            
(4星)	 喜欢这部剧里的韩佳人            
(NA)	 我是从这部电视剧以后开始喜欢韩佳人的！            
(4星)	 你给我翻译翻译什么叫纠结            
(3星)	 老妈很是迷恋的一部韩剧，池城老帅鸟，只是貌似有点胖，实在觉得韩佳人对待池城的态度让人想甩两巴掌给她，最后的男主难看的要死。姐姐那对配音很囧很囧，小三其实长得不错，另一个女儿的故事还蛮好笑。还记得用锅盖吃方便面。。            
(5星)	 最喜欢的一部韩剧            
(5星)	 极品男友—永泽啊~            
(5星)	 很感动很真实            
(5星)	 第一部没看，后两部看了，喜欢长秀，永泽是为爱牺牲了的，他始终都是为了银波            
(4星)	 我想说这部剧长是长的来看得我想死！            
(5星)	 青春的記憶全部在這裡了...            
(5星)	 so long!!!            
(4星)	 ok            
(4星)	 韩佳人真的漂亮啊            
(4星)	 剧情，演员，都很完美，看这个电视才喜欢上韩佳人的，最后一段，很感人，很唯美            
(4星)	 不错            
(5星)	 这是我最爱最爱的韩剧之一，因为这部爱上韩佳人，银波太美了。。。而且里面两个男主角都好好啊。。。但是我更喜欢她和池城在一起            
(NA)	 还行～～70分            
(5星)	 韩佳人在里面有够可怜的，很值得一看的电视剧            
(5星)	 韩佳人无法不爱            
(5星)	 小时候看的 感动的一塌糊涂            
(4星)	 结局有点仓促，不过还是美好的昂            
(4星)	 有点家庭的味道！韩佳人美丽！            
(5星)	 第一部看的韩剧，超喜欢            
(4星)	 就是这部剧，让我对这个叫韩佳人的女子，一见钟情再也不能离开视线。当时一边守着电视看一边一遍遍地问我妈，“这姑娘怎么能这么漂亮呢？”            
(4星)	 不太喜欢结尾            
(5星)	 唯一看過的喜歡的韓劇....            
(5星)	 很真实 很真实的感动            
(5星)	 让我眼泪不停流的苦情剧，苦命的银波~~            
(5星)	 大爱好真实的韩剧，完全能体会女主的内心。是缘分，是命运。爱一个人却没有在一起，宁愿选择一个陌生人共度此生            
(4星)	 就是从这里开始很喜欢韩佳人 和宋一国的            
(5星)	 虽然很长，但值得一看            
(NA)	 嗯，哭的稀里哗啦。。我是不是太爱哭了。。爱一个人，不一定要在一起。。爱，可以把你感动吧。。            
(5星)	 喜欢长秀，太爱他了            
(5星)	 韩剧中的家庭剧而言，真的是经典了……            
(NA)	 70终于看完了omg            
(5星)	 出差的时候在宾馆看的,一下就被剧情吸引了,涉及丈夫出轨,婚前同居啊等很多现实问题,回来后买的盘,是自己看过的最长剧集的韩剧.超喜欢长秀,            
(3星)	 看韩佳人的            
(5星)	 很遗憾最后的结局,但池城的好却因之更甚.爱情的条件, 就是无条件去爱.            
(3星)	 银波...            
(NA)	 好好哈哈哦！！            
(NA)	 韩佳人哎            
(NA)	 喜欢这个细腻的片子  那些年少的泪水            
(NA)	 韩佳人很美            
(3星)	 好长啊~~~            
(5星)	 记得读高一的时候，中央一台每天晚上都有播放这个，当时是第一次看韩佳人的电视剧，一下子就迷上了，被韩佳人的美貌所深深吸引了啊～当然，这部剧和以往的爱情剧不一样，感觉很现实，很多实实在在的感觉……大爱这部剧！！！            
(5星)	 真的真的很感动...。            
(5星)	 wuli佳人姐姐            
(5星)	 喜欢宋一国            
(NA)	 兜兜转转呵...最喜欢结尾时那个孩子            
(4星)	 陪伴我中考的每个夜晚            
(4星)	 09/11/28            
(NA)	 值得看......            
(5星)	 好看~            
(3星)	 为什么她不和他在一起呢。。。            
(NA)	 觉得很好看            
(5星)	 我最喜欢看的一部韩剧            
(5星)	 大爱~~~            
(4星)	 真的多好看的，不是悲剧都让我哭了好多次            
(5星)	 遥控器在姐姐的手中，所以我也跟着看。。后来觉得，是不错的。。。银波银波，谁是你的长秀。。。            
(5星)	 看的时候哭的稀里哗啦的            
(5星)	 最喜欢的韩剧，当爱已成往事，让爱留在心底，爱让我们在一起            
(4星)	 看这片..开始喜欢池城...             
(5星)	 可怜的银波            
(5星)	 经典之作            
(3星)	 好像也有好多部，很长            
(4星)	 偶的佳人姐姐啊。。哭的实在是…………你家里的严gg要心痛的            
(5星)	 韩佳人的演技很好，她饰演的人物太可怜了；其中大姐的扮演者——蔡时罗也很喜欢~！            
(3星)	 一般。。很一般。。。            
(NA)	 也是晚上偷偷看的，银波，发现偷偷看的总是会觉得特别好看~            
(3星)	 可以看看            
