http://movie.douban.com/subject/2222635/	塞外奇侠
(4星)	 哈玛雅。。。这不关你的事，纱巾还给你。。。 雪花飘。。。三代白发魔女，一生为情所困 。            
(5星)	 很小的时候，深刻的记忆。            
(4星)	 郭淑贤漂亮。            
(NA)	 黄嫊芳还是郭淑娴来着，长的很像米雪啊，是这个原因我才看这部剧的，主题歌是王菲的雪中莲            
(4星)	 杨云聪啊~~~~~            
(5星)	 凄美。            
(5星)	 幼年最爱的电视剧。            
(3星)	 看之前只知道白发魔女，看之后就知道也是3部曲了。            
(4星)	 三代白发魔女。哈玛雅！！！            
(4星)	 恩 小时候小时候            
(5星)	 我太爱这个电视剧了            
(NA)	 哇塞，这个都有            
(4星)	 好看的电视剧，改编很夸张，但是片尾曲好听            
(4星)	 小时侯看的很高兴            
(3星)	 那头白发印象深刻            
(5星)	 初中的时候，看得做梦。本来就向往新疆，让我更加热爱。            
(3星)	 白发魔女！            
(5星)	 白发魔女那个把。。            
(5星)	 让我知道了王菲的雪中莲。虽然现在想起来剧情有点雷。纳兰明慧美极了，偏偏杨云聪爱的是飞红巾。            
(5星)	 雪花飘，哈玛雅一夜白发~太悲了~            
(4星)	 唏嘘的情感戏。            
(4星)	 童年记忆啊            
(4星)	 回忆中的剧集总是最美的~            
(3星)	 啊哈哈 我想起来那个女的叫哈玛雅 当时我还想 怎么不叫雅马哈呢 然后有个女的说：我比你温柔 所以他喜欢我 什么的。。。哈哈哈哈哈            
(3星)	 杨云聪！            
(4星)	 小时候特喜欢            
(NA)	 旧社会把人变成鬼啊！            
(3星)	 看的第一部梁羽生剧，情节已经忘了。            
(NA)	 纳兰明慧出西塞去搜集民歌好浪漫            
(5星)	 这片子我是这辈子都不会忘记            
(4星)	 难得曾经有一部戏和老妈一起追过。            
(4星)	 都忘记了。            
(5星)	 有时间回顾！才21集啊！            
(5星)	 杨云聪，纱巾还给你            
(3星)	 = = 居然看过，又忘了，2流经典而已            
(4星)	 。。。我从小就喜欢比较烈的那个女子            
(4星)	 小时候的记忆。。。             
(4星)	 喜欢飞红巾            
(5星)	 哈玛雅真的好美，有点像周海媚，但是脸儿较为小，我小时候和妈妈天天都看的电视剧            
(NA)	 突然想起没想到PPS还真有。。。小时候好爱 现在看也看的下去 喜欢哈玛雅那样性情的人，敢爱敢恨 敢沧海桑田后相忘于江湖。            
(NA)	 是不是有个人练功变成了个人妖？小时候每次看到都吓得半死。。。            
(3星)	 哦，原来这个电视叫这名儿啊            
(5星)	 小时候好迷白发魔女哦            
(4星)	 我是有多爱纳兰啊！            
(NA)	 那时觉得杨云聪是最帅的男人了……            
(4星)	 我那一去不复返的童年啊~ 我是有多爱性格如此刚烈的女子~            
(5星)	 我记得“哈玛雅”            
(4星)	 红巾还给你。            
(4星)	      红颜白发，飞红巾始终是记忆里面最伤痛的一道风景。 　　如果你爱的人，深深的爱上了别人，那有什么法子？ 　　始终记得风吹过，飞红巾满头的白发，她说，我把纱巾还给你。              
(4星)	 有是一部经典，却从来没看到过重播            
(4星)	 我记得我喜欢第二对来着。女的都用情至深啊！一夜白头当时很SHOCK我。            
(4星)	 小学时候在被窝里被逼着睡觉听来的电视剧            
(5星)	 朝如青丝 暮白发            
(5星)	 好看 新加坡的            
(3星)	 三代白发人，红颜为谁老            
(4星)	 童年的回忆            
(5星)	 超迷哈玛雅            
(5星)	 小时候印象最为深刻的武侠剧，哈玛雅真的是很可怜，这部戏里的明慧真的是很小三，至于杨云聪这种前一天晚上和一女XXOO第二天就能理直气壮地和另一女订立鸳盟的男人，真的只能用渣之一字来形容。。。            
(5星)	 小时候的美好回忆。            
(NA)	 最是那一甩头的白发。。。            
(NA)	 最爱杨云聪和纳兰明慧在沙漠中的情景纳兰明慧，曾是我非常非常非常喜欢的一个网名            
(5星)	 杨云聪            
(5星)	 儿时看的的片子,很经典,记得不是很清楚.但最是那绝代佳人一夜白头让人痛彻心扉.转--------　　　　红颜白发，飞红巾始终是记忆里面最伤痛的一道风景。 　　如果你爱的人，深深的爱上了别人，那有什么法子？ 　　可兰经也无法解答出这样的问题。 　　始终记得风吹过，飞红巾满头            
(4星)	 虽然很粗糙，但是很经典            
(3星)	 本来飞红巾是我喜欢的扮相……但是今天试着重看了第一集，抖了抖关掉窗口了。力度太过            
(4星)	 印象最深的就是三代魔女一夕之间红颜变白发时的场景，以及那种宿命的感觉~~~回头找找重温下~~~            
(4星)	 那时候觉得纳兰明慧真好看啊。            
(4星)	 当时放学回家偷看的电视剧。            
(NA)	 都忘了是新加坡剧了。。            
(5星)	 三个女人一夜白了头。“天下男人没有一个好东西”。。。            
(4星)	 唉，令我心碎的哈玛雅            
(NA)	 弄得我每次听雪中莲都很出神            
(3星)	 喜欢纳兰明慧            
(4星)	 我爱明慧            
(NA)	 看过 但是内容一点印象也没有了            
(4星)	 倔强的姑娘            
(3星)	 三个白头的镜头，依然记得。童年的最爱            
(4星)	 哈玛雅。噢噢哈哈哈哈。            
(4星)	 我当年觉得纳兰明慧很惨呢！！            
(5星)	 小时候特爱看新加坡武侠。            
(4星)	 童年啊            
(5星)	   难忘哈玛雅            
(5星)	 那个男主角真不是东西            
(4星)	 童年时代啊            
(4星)	 三代白发魔女为情一夜白头～～当时电视里没演完呢 遗憾 喜欢那个纳兰明慧            
(NA)	 还想重新看            
(4星)	 心疼哈玛雅，年少时心底的一根刺            
(NA)	 当年那么喜欢纳兰明慧            
(4星)	 这个……居然是新加坡的？            
(NA)	 记忆中很好看的一部武侠片            
(5星)	 好看 好虐 男人都不是好东西            
(5星)	 念念不能忘            
(NA)	 那时的记忆现在把它放在电脑里，随时用来回忆怕事情太杂呀……            
(NA)	 想当年还为了飞红巾纳兰明慧跟爸爸吵架。到现在郁结还未平。最讨厌男主角杨云聪这样的男人。我到现在还记得。            
(4星)	 白发魔女，那是新加坡剧好流行            
(NA)	 应该是看过的,反正小时候看过白发魔女的片子啦            
(4星)	 飞红巾啊飞红巾~            
(4星)	 没全看完，但是小时候老觉得这片子挺忧伤的。。。女人为了爱的那个人一夜白头。。。这还不叫伤感么。。。。            
(4星)	 小时候的记忆，片尾曲是王菲的雪中莲            
(4星)	 那一头白发记忆最深            
(4星)	 白发魔女中比较喜欢的一个版本            
(NA)	 四星。            
(3星)	 爱死飞红巾了            
(5星)	 唉。。。            
(5星)	 因为这个电视剧懂得了遗憾和情伤            
(4星)	 小時候好迷這部劇!可惜劇情都忘記完了~            
(5星)	 童年挚爱的白发魔女~~~有时间一定要重温！！！            
(4星)	 这么多年，始终记得优昙花六十年开一次            
(NA)	 那个鞭子我印象深刻            
(4星)	 小时候总是把哈玛雅叫成雅马哈。。。。            
(4星)	 当年心疼死飞红巾了。            
(NA)	 终于知道小时候看的叫什么了~！            
(3星)	None
(5星)	 哈玛雅，霍青桐，厉胜男都是男人不敢爱的女人。            
(4星)	 印象比较好的新加坡剧            
(4星)	 &#39;你怎么可以这样对我！&#39;刷头发就白了            
(5星)	 我也看过的。            
(4星)	 飞红巾~            
(3星)	 情节还是挺恶俗的吧，都记不住了，新加坡人又长得奇奇怪怪。还记得小学时我问我的女同学杨云聪和某某谁好看，彼时10岁的她一脸HC的笑说“杨云聪好看”             
(4星)	 儿时的记忆，如今看得依然很心痛..             
(NA)	 念念不忘            
(3星)	 小时候看过的 印象还蛮深的 但是有一句台词很怨念：“我娘说过，男人都喜欢温柔的姑娘。”            
(5星)	 雪中莲真好听            
(3星)	 看来以往看的古装电视剧主要是香港、台湾和新加坡拍的。            
(5星)	 小时候  嗯 哈玛雅..            
(4星)	 白髮女人們            
(4星)	 剑不伤人 情伤人 对坏人千万不能仁慈            
(4星)	 念念不忘哈玛雅            
(4星)	 三代白发魔女，最怜惜的是哈玛雅。《雪中莲》好听。            
(4星)	 小学时候很喜欢看 哈玛雅！            
(3星)	 雪花飞 天籁啊天籁            
(4星)	 小时候的记忆。            
(4星)	 飞红巾在桥头惊现一头白发的场景至今难忘            
(4星)	 很久远的一部电视了，突然在豆瓣看到，三代白发魔女~            
(5星)	 小小时候~只是我喜欢的人没有在一起~            
(5星)	 我很喜欢。每一个女主角都很美，从外表到心灵。很少有这样一部感情纠葛的戏，却让我对谁都讨厌不起来。            
(4星)	 我喜欢第三对 好像当时也很爱杨云聪和明慧 感觉飞红巾不是很好看            
(4星)	 绝对是男爱纳兰明慧女迷阿诗玛啊~            
(3星)	 情节没什么印象了~            
(4星)	 男人没有一个是好东西！            
(4星)	 哈玛雅头巾飞落满头白发印象深刻            
(5星)	 最爱三个女人一夜白头的那一瞬间，敢爱敢恨，痛痛快快的练霓裳和飞红巾影响了我少年时候的爱情观。重温依旧吸引人。            
(4星)	 代表着回忆，代表着童年            
(4星)	 杨云聪让我到现在都恨！！            
(5星)	 小的时候魂牵梦萦的一部电视剧啊，最爱哈玛雅！            
(NA)	 小时候看的，印象很模糊了，但是《雪中莲》印象很深刻，一听到就想起这部有这么多白发魔女的剧。            
(4星)	 还记得王菲的雪中莲~~~            
(5星)	 喜欢明慧和哈玛雅，两个女孩都无比可爱，只恨杨云聪，哪一个女孩子的爱他都不配得到！            
(4星)	 说句实在话没有完整看过，似乎最后三个女的都是因为爱情白头发！            
(5星)	 谁能告诉我杨云聪为什么不喜欢飞红巾？            
(5星)	 新加坡经典的武侠剧之一，另外还有《莲花争霸》，这两部都是小时候的经典回忆，都有一些小片段勾起我的回忆，所以现在不禁搜出来看了。            
(4星)	 又看了几眼,果然还是从小到大一如既往地讨厌杨云骢。。。            
(5星)	 莫少聪太帅了 讨厌飞红巾哈马雅            
(NA)	 哈玛雅  到现在都记得            
(4星)	 我小時候真是看過N多新加坡的雜牌武俠劇啊，我記得我看這版的時候當時是喜歡飛紅巾的，但後來N年以後看徐克那版我就轉向喜歡李小冉的明慧了，哎… 對這劇裏那魔女的一頭白髮我到現在也印象深刻，雖然她的臉在我腦內已模糊，小時候看了這個一直覺得失戀了就會一夜白頭…            
(5星)	 我永远把它记成《白发魔女》。            
(NA)	 童年啊。            
(5星)	 我当年事多喜欢哈玛雅哇，那时的心愿就是留一头长发编一头她那样的小辫儿！            
(NA)	 很小的时候看过~            
(3星)	 小时候觉得这个很感动            
(5星)	 朝如青丝暮成雪，红颜未老情先衰！            
(4星)	 世人可以原谅男子的薄情，却无法接受女子的骄傲。            
(4星)	 雪中莲响起的时候 心里还是会很多感触            
(4星)	 看完以后很讨厌杨云骢。            
(5星)	 哈玛雅站住回头，头巾滑落露出一头白发的场景太震撼人了。。。杨云聪去死吧            
(NA)	 雪中莲            
(4星)	 对哈马雅的喜欢无以复加，怎么就有杨云聪这样的男人！            
(3星)	 卓一航，楚昭南            
(5星)	 全是回忆啊。。            
(5星)	 小时候看过。很喜欢。准备再看一遍。            
(4星)	 不喜欢哈玛雅，脸那么苦……            
(5星)	 在我的童年留下深刻的印记，直到现在还念念不忘~            
(5星)	 年少时，一直记得红头巾飘落后的那一头白发，为情所伤后的白发            
(3星)	 初中回忆罢了            
(2星)	 这个里面把杨拍的像个花心萝卜一样 没有左就找右 书里面杨始终只喜欢明慧一个的 拜托这个编剧在搞什么 乱七八糟的            
(4星)	 飞红巾  明慧  我还是喜欢明慧  这样的女子   女子嘛  惹人怜爱 最要紧            
(NA)	 小时候看的新加坡剧。看了电视剧之后看小说，看了小说之后以后，我决定梁羽生的小说，看看电视剧或者电影就可以了。            
(4星)	 那时候，我还分不清新加坡电视剧和台湾香港电视剧的区别。但是，我缺分得清，那个那人爱的是江南温柔如水的明慧，而不是飞红巾。            
(3星)	 你看你又背钢丝了            
(4星)	 男人没有一个是好东西！！我就记得这句台词！！            
(3星)	 剧情好弱啊，不如其它几部好看            
(3星)	 那个解药既是这一次的解药又是下一次的毒药这个桥段大概是这个片子里我第一次看到，当时觉得超级厉害。然后镜头里一个男人中毒以后手臂上的肉龟裂开来，一抖，露出森森的白骨。不过我不能确定是不是这个片子= =。但是现在我看到干旱的新闻里龟裂的土地我就觉得很不舒服。            
(4星)	 迷            
(NA)	 记忆中哈玛雅很漂亮~            
(3星)	 楚昭南。。。            
(4星)	 飞红巾一夜白发配上王菲的歌声，是我童年无法抹去的记忆。            
(5星)	 小时候很喜欢。很喜欢。            
(4星)	 小时候看的，记得明慧很漂亮~            
(4星)	 当年多么爱的电视剧啊。            
(4星)	 哈玛雅的红头巾啊            
(4星)	 小时候在姑姑家看的~            
(4星)	 我喜欢哈玛雅！            
(5星)	 最喜欢的飞红巾，和最喜欢的结尾画面了...            
(5星)	 经典得新剧  值得一看            
(4星)	 春风再美也比不过你的笑，没见过你的人不能明了。            
(5星)	 世人可以原谅男子的薄情，却无法接受女子的骄傲。那么骄傲那么坚强，一回首却已是满头白发。            
(NA)	 重新看了这部电影。喜欢其中的一句话，似乎是我一直寻求的答案。真正的感情是成全而不是占有，不属于自己的东西就不要留在身边。说的真好。这部电视剧让我感动的是爱情，现在看懂了。            
(NA)	 妈呀妈呀，总算找到了            
(4星)	 好久的时候看的。。。            
(5星)	 小时候的美好回忆             
(4星)	 红颜白发“爱情不是古董，越老越值钱”至今觉得残酷            
(5星)	 看的第一部新加坡剧，自此认识了明慧mm，一直到昆仑奴。            
(5星)	 小时候超爱的！！！            
(NA)	 哈玛雅的名字好亲切！~            
(5星)	 白发魔女呀 哈玛雅 我的童年老电视机            
(3星)	 呵呵，哈玛雅            
(4星)	 好喜欢哈玛雅~小时候看时，还以为杨云聪是爱哈玛雅的，还寻思着他怎么就和纳兰有女儿了呢，后来才明白，其实一切只不过是借口而已。            
(3星)	 这是多小的时候的？            
(5星)	 我的童年呀            
(4星)	 初中时最爱的片啊            
(4星)	 白发魔女哇            
(3星)	 但从白发来讲，这里的白发至少梳头了。            
(NA)	 儿时            
(NA)	 唔，要怎样的伤心才会一夜白头？我至今不懂            
(5星)	 超级喜欢  明慧真漂亮   还有阿菲的片尾曲 很空灵            
(5星)	 这剧也算所有白发中最好看的一部了...虽然改编也多,但人物性格还算接近原著...我喜欢这版的杨云聪......非常不错...            
(4星)	 当年觉得新加坡的古装也很好看。            
(5星)	 那时候很喜欢明慧.            
(5星)	 当年我妈让我先做作业在看，愤怒的我用铅笔将桌子捅了个坑..杨云聪是渣            
(5星)	 三代白发魔女的爱恨情仇，除了剧本很完美，演员的演绎也很完美，难得的一部好片子，如果没看过的人，就不懂什么是真正的爱情啦~~~            
(5星)	 那时候很迷            
(NA)	 七剑下天山梁羽生            
(5星)	 我印象中很好看            
(4星)	 按小时候的眼光，应该4颗星吧，可惜情节基本都不记得了。            
(4星)	 飞红巾 小时候超爱的            
(3星)	 男猪脚为什么不喜欢飞红巾呢            
(5星)	 朝如青丝暮成雪            
(5星)	 哈玛雅....飞红巾....            
(4星)	 小时候就觉得三代的设定很赞。            
(5星)	 杨云聪是混蛋 最爱哈玛雅            
(4星)	 儿时的记忆……白头的场景……难得的有好感的新加坡电视剧            
(5星)	 以前天天守电视前等着看！！            
(5星)	 这些我爱的已成骨灰的武侠剧啊。            
(5星)	 这部是我的大爱！收藏VCD版本，重看了无数次，，直到现在还是觉得不落伍，这就是真正的经典！音乐，演员，场景，剧本，都非常好！！纳兰明慧的明艳动人招人喜爱，当年觉得杨云聪真是俊美少年呐            
(5星)	 很多年前看过的，飞红巾一直在脑海里，呼呼，超美            
(4星)	 儿时的记忆啊~一度拿着粗的跳绳甩来甩去当是练霓裳的武器来着~            
(5星)	 小时候可崇拜了            
(5星)	 纳兰明慧爱            
(3星)	 年代久远，改太多，没看下去            
(4星)	 唯一看过的一版 白发魔女 很小的时候就知道是新加坡的 那时候对新加坡有钟爱 记得两个女主突然白发时候的样子 真是好看得不得了啊 诶 求种子～            
(5星)	 啊哈哈哈，我还记得！            
(4星)	 心疼哈玛雅            
(4星)	 新加坡有些电视剧拍得还是挺不错的！            
(3星)	 王菲唱的主题曲            
(5星)	 喜欢白发魔女的故事            
(NA)	 哈玛雅            
(NA)	 很小的时候看的。。没想到现在还记得 嘿嘿            
(4星)	 重温            
(4星)	 童年的大爱            
(4星)	 记忆犹新啊...小时候那么喜欢看...            
(4星)	 白发魔女就是从这儿知道的，主题歌是王菲的雪中莲好听死了。            
(2星)	 记忆中是不错，可惜我去年再看的时候，被雷飞了，幻灭啊~不过小时候还是很爱看的，很喜欢飞红巾            
(NA)	 梁羽生改编作品中算是挺好的            
(3星)	 喜欢纳兰明慧            
(5星)	 小时候熬夜看的            
(3星)	 梁羽生的小说。电视剧比书好一点……            
(5星)	 小时候 很喜欢的说 现在还记得呢~~~            
(4星)	 小时候还在白花花的墙壁上刻了杨云聪和明慧的名字，不知道现在还在不在            
(4星)	 三代白发女，哈哈            
(5星)	 很好看的一部武侠片，喜欢哈马雅，但更喜欢明慧。。。杨云聪在这里面不知是什么心思，感觉没怎么表现出来。。。总而言之，是部好片。。            
(4星)	 只得一个纳兰明慧。            
(3星)	 小时候兴过一阵新加坡的电视剧是不是？有个她和她妈妈都吃花的情节是这部剧？            
(3星)	 嗯 不太记得了            
(4星)	 哇，好怀念，白发魔女            
(3星)	 很久很久以前            
(3星)	 白发、白发、白发！！！            
(5星)	 很小的时候看的，之后再也无从寻找，经典啊~~            
(4星)	 童年时的经典！当年我有多喜欢杨云聪！！            
(5星)	 想起来一点点了，十几年了，名字第一次重复再脑海里。还可以继续感动            
(3星)	 看完后悲伤了很久。。。悲剧悲剧悲剧            
(4星)	 还记得小时候对这部戏的痴迷，剧情其实不太记得了，只是那红头巾挥之不去，美丽的哈玛雅仿佛就是那时的女神，只可惜她爱的人不爱她。现在又翻出来回顾一下，更多的是对于童年的怀念了。。。            
(NA)	 好久远的记忆            
(4星)	 销魂的片头~~            
(NA)	 永远记得那个一旋身就变得满头白发的镜头            
(5星)	 心中无法颠覆的经典。十多年后再看，依然很喜欢纳兰明慧。            
(5星)	 这是多小的时候看的了啊            
(4星)	 喜欢哈玛雅            
(NA)	 最近在回看  赤裸裸的感动  许多武侠电视剧中的经典对白一有尽有  拙劣的特技  真挚的演绎  加上秦伟去年又出家了  俗人我心里会有影响心情的怪虫            
(NA)	 对这个也有印象，大概是对眉毛白的，头发白的都有印象。            
(4星)	 这真的是一部言情剧而非武侠剧啊            
(5星)	 看到江布鲁的许愿瓶 哭了。。真心爱着哈玛雅最后一集最揪心。。正所谓 道是无情却有情。。            
(4星)	 啊~白发魔女~太经典了            
(4星)	 看了这个 怎么能少得了《莲花争霸》呢？杨云聪还有纳兰之类的 后来才知道是白发魔女传的故事            
(4星)	 三代白发魔女，想当年很喜欢看的            
(4星)	 记得当时很喜欢看啊，喜欢飞红巾的~            
(5星)	 郭淑贤！！！最美的明慧！！！            
(3星)	 小时候总是把哈玛雅叫成雅马哈。。。            
(5星)	 为情所困的三代人            
(4星)	 雪中莲响起的时候            
(5星)	 很多年前的回忆了，最近重温了，发现感觉还是和小时候一样，喜欢哈玛雅和霓裳，卓一航其实也很专情，惊喜的是发觉小王爷也很深入人心。。            
(NA)	 最近又在优酷上重温了一遍~~经典~当时超喜欢纳兰明慧~            
(4星)	 回忆经典！            
(5星)	 小时候最让我伤心的片子 那个谁在马上狂奔飙泪 头发瞬间全白  我也飙泪比她哭得还惨 干嘛总让女人伤心 讨厌男人            
(NA)	 小时候很经典的电视诶 印象最深就是开头总说“三代白发魔女 一生为情所困。。。”            
(4星)	 总是没看全            
(NA)	 哈玛雅。。。。被我叫成雅马哈。嘿嘿            
(5星)	 我当时是连重播都是一集不落的啊.            
(NA)	 哈玛雅最喜欢了            
(5星)	 最爱的一部武侠剧。            
(5星)	 太爱哈玛雅了            
(4星)	 哈玛雅与杨云骢            
(5星)	 钟爱新加坡这一版，因为是在适当的时候遇到的。三代白发魔女的爱恨情仇啊。            
(4星)	 这里我真的很喜欢明慧            
(5星)	 三代女人。一夜之间到白头。宿命。            
(3星)	 看得我很郁闷，为什么就不在一起！            
(4星)	 哈玛雅~经典            
