http://movie.douban.com/subject/2371837/	野蛮奶奶大战戈师奶 野蠻奶奶大戰戈師奶
(3星)	 小痞子帅哥黄宗泽~            
(3星)	 我喜欢胡杏儿。            
(3星)	 今天追完了电视呢= =，中等消磨时间品吧            
(NA)	 07            
(3星)	 安徽衛視週末大放送~~~額 =。=~~~純粹因為喜歡胡杏兒~~好久不觀摩港劇 汪阿姐咋變的那麼活潑~~~            
(NA)	 做人要圆滑啊            
(NA)	 不好看            
(3星)	 古装变现代            
(5星)	 大爱CC。            
(3星)	 胡杏儿好像有点味道了            
(5星)	 搞笑+感动+温馨+剧情=GOOD            
(3星)	 Kyle好nice啊~            
(4星)	 香港的喜剧路数，笑了很久。            
(4星)	 后半部看得唏嘘啊。。。。            
(NA)	 无聊            
(4星)	 感觉没1好看 但是还蛮好笑的说            
(5星)	 时尚圈子            
(5星)	 哈哈……这个超好玩了！无聊的时候看看打发时间愉悦下心情！也就是这部剧作认识了汪明荃！不错，不错……很入戏的感觉！！            
(2星)	 铃子同学没别的事儿了            
(4星)	 緊迫之后的美好.            
(3星)	 不管如何，总算有个好结果。            
(4星)	 搞笑是王道            
(3星)	 很适合无所事事，躺在床上，消磨时光。黄宗泽挺帅大，呵呵！            
(3星)	 你好，我是红宝石国的卷毛王子。。。难为你了，宗泽。。。 -_-|||            
(4星)	 刀子嘴豆腐心,汪明荃是有才的漂亮女人.            
(NA)	 衣服很漂亮 造型很漂亮 恩 很喜欢胡定欣 ..            
(5星)	 爆爱黄宗泽            
(NA)	 阿姐炉火纯青。演的是她自己吧            
(3星)	 不知所云            
(3星)	 胡杏儿虚张声势瞪眼睛大爱~太可爱了~觉得这部戏她发挥尤其好尤其适合~~~            
(3星)	 BOSCO.BOSCO.BOSCO.            
(NA)	 2008年5月1日一天的成果.看完了.            
(5星)	 不错~            
(4星)	 笑S我了……            
(3星)	 穿prada的恶魔香港版，前面还挺有意思的，后面太俗套。            
(5星)	 现代版的野蛮媳妇刁蛮婆婆，很是搞笑啊有点引进《穿PRADA的女魔头》            
(NA)	 好笑。            
(4星)	 逗趣搞笑。。一个不少。。。            
(4星)	 哇哈哈            
(5星)	 无聊地结束了~            
(5星)	 冬天在家的必备品啊。哈哈黄宗泽的头发好似花轮~~~            
(NA)	 好搞笑            
(3星)	 因为一直对,野蛮婆婆有兴趣.就看了最新版本的.到寒假么,所以就看看咯,还是很好玩的~            
(4星)	 还是冲着1去看的~服装很豪华~还是对胡杏儿没有爱。。。            
(4星)	 典型TVB式结局。            
(4星)	 古装还是现代，故事能保持了原汁原味，搞笑之余感动不少。胡杏儿和黄宗泽，希望早日修成正果。            
(3星)	 2004            
(5星)	 还是很喜欢他们俩啊~~~            
(3星)	 年轻版戈碧尊漂酿            
(NA)	 【2008-01-01】            
(3星)	 虽然比不上安   不过至少造型总比以前好看了             
(4星)	 结尾小出奇 加分            
(4星)	 总感觉bosco很懂得察言观色，一部剧讨好到汪明荃，俘获了胡杏儿，不是光靠一张脸就可以的。不是因此不喜欢他，反而觉得这样的人在娱乐圈才能混出头。剧里面觉得郭政鸿滕丽名这对couple很有爱。何秀惠角色很让人憎，但本人我觉得不错。            
(5星)	 比古裝版還好看～！古裝版自從靈珊這角色出現就整個劇情落入俗套不看都知道接下去會怎樣...  現代版至少沒有爛尾！            
(5星)	 O姐：O呢，代表outstanding，而不是OUT。            
(4星)	 最近的作业让人极度痛苦！只有欢乐小喜剧才能拯救我！            
(3星)	 其实这也是我的野蛮奶奶的续吧！            
(4星)	 泡面头啊，不给力~现在想想，真像穿PRADA的恶魔~~            
(4星)	 前半段真精彩。到后面就弱了。黄宗泽真是超级无敌帅啊            
(3星)	 胡杏儿和黄宗泽的表情也太像了吧~尤其嘟嘴            
(3星)	 灰姑娘的故事实在不是港剧一贯的风格……            
(3星)	 比古装版好看            
(5星)	 我觉得剧里滕丽名很可爱            
(5星)	 其实感情片呢 看两人怎么相爱也就差不多了            
(3星)	 消磨时间的泡沫剧，长处是 无论从哪一集插入都可以看明白。            
(4星)	 帅。。            
(3星)	 现代版有些杯具，男女主角未免走得太快，而且过于浮夸我是最讨厌的，没笑点……            
(NA)	 CP我就没有招架能力            
(NA)	 发型不错。            
(3星)	 汪明荃演的O姐倒是我想起梅姑演的米兰达，就是气场还差点...            
(4星)	 好欢型..            
(3星)	 哎，怎么到哪都有你，时至今日也就《鎏金》里的智障最适合你~~~            
(4星)	 近排同埋某人回味Bosco嘅旧作~有Bosco嘅剧想不好看都难啰！            
(3星)	 我觉得黄宗泽和在熙长得好像啊好像啊真的好像啊。。。总是穿着粉红色系的伪娘CC真有亮点 哎 这剧里的人一点气场都木有 不好看闹            
(NA)	 努力把胡杏儿看的美点 但还是无法从她身上看到美感             
(3星)	 汪明荃的发型真是……不过郭政鸿好woman            
(4星)	 调剂生活用            
(NA)	 电视播了好多次..我也跟着看了好多次            
(4星)	 多一颗星给bosco和胡小姐。            
(3星)	 现在现在还在演~~            
(3星)	 此剧的节奏甚是奇怪 过渡生硬            
(3星)	 挺好玩的            
(3星)	 虽然没有古装版的好看，不过亚Co还是很帅.... 滕丽名老了，偶然看到那个苏小妹里的魏大叔后，更加怀念当年陀枪师姐里的陈三元。            
(5星)	 非常喜欢            
(4星)	 古代穿越到了现代的感觉就如黄宗泽的范儿一样 妙不可言啊            
(3星)	 没劲,解闷吧            
(3星)	 我妈喜欢            
(4星)	 哦亲爱的阿Gil~~~~            
(4星)	 有我家pat，哈哈            
(3星)	 P.S. 黄宗泽            
(2星)	 弃            
(4星)	 以前看的，纯添加……            
(3星)	 那两位婆媳的演技依旧让我倒胃口            
(4星)	 汪明荃演得可真好！            
(3星)	 只爱CC。            
(4星)	 这俩人在一起还真挺好~ || 一天干掉一部TVB~            
(4星)	 很喜欢汪明荃里面的造型啊~~很可爱。有一种气质，到后来胡杏儿“上台”的时候，都觉得演不出她的那种气质。            
(3星)	 胡杏兒完全莫的時尚的感覺            
(4星)	 不错~~            
(3星)	 还是第一部好看 这部的周丽敏真是蠢过头了            
(5星)	 胡杏儿还比较能看的一部            
(5星)	 好看！哈            
(5星)	 O姐人蛮好的            
(4星)	 好好笑            
(5星)	 Kyle是我梦想中的男人TYPE~孩子气~好吧我知道这有点不切实际            
(3星)	 胡杏儿现代妆比古装好OTL...不过其他人还是好囧。我喜欢CICI，从名字到处事，何况他是GAY            
(3星)	 2008.            
(NA)	 还是老戏骨啊            
(4星)	 典型的灰姑娘的故事            
(4星)	 比第一部好看~~            
(3星)	 那天艳跟我说，我们割板要割死了我听成，我们是哥斯拉            
(NA)	 没看完，不想看了            
(4星)	   fashion 婆婆            
(3星)	 感觉比较像穿prda的恶魔            
(3星)	 我就是看不惯胡杏儿            
(4星)	 比古装的好看。。            
(4星)	 很喜欢汪明荃的造型 很8错！到最后婆婆其实是心向着那个本身很讨厌的媳妇了~结局也不错            
(4星)	 有点像港版的时尚女魔头            
(3星)	 讨厌这里面胡杏儿演的那个角色，瓜西西的，一天到晚被人利用还要不完咯。            
(2星)	 明明很无聊!老女人加上不会演戏的胡包子....            
(3星)	 汪明荃的发型敢不敢换一种            
(4星)	 搞笑~~            
(3星)	 搞笑外就没有了            
(4星)	 好看好看~有好衣服看~还有帅哥~还可以了解下这个行业~喜欢Cici            
(3星)	 只看了开头和结尾 开头很搞笑 结局很扯            
(3星)	 周丽敏这只没大脑的猪！婆婆很聪明~            
(5星)	 虽然有点婆婆妈妈，但还是一部淑女励志剧。            
(4星)	 时装剧一部。但阿敏的成长历程也是让人颇有收益的。            
(4星)	 好好笑~            
(3星)	 跟风不错缺点是野蛮奶奶看上去只是个从不保养的普通欧巴桑...            
(NA)	 宗泽&gt;&lt;            
(4星)	 有趣            
(3星)	 看的粤语版 看完后萌上了黄先生的声音 真温柔            
(3星)	 还是不喜欢胡杏儿啊，而且BOSCO的厚嘴唇我也仍然看不顺眼，剧情还算轻松搞笑。            
(3星)	 有这种媳妇还是……算了，只会对自己人凶            
(3星)	 看看热闹热闹            
(4星)	 安徽台一天9集连播的时候看的，蛮不错的~要不是听说黄宗泽小白脸的事迹，我还是很喜欢演这个角色时候的他的。这个剧给我的启示呢~就是谁都可以参与时尚，谁都有潜力成为时尚杂志主编，呵呵~因为我就很向往嘛            
(3星)	 很搞笑啊~~~            
(4星)	 原以为无趣。高于预期。            
(3星)	 不如古装版的有趣            
(3星)	 虽然不是很喜欢女主角，但我们家宗泽是要支持的。            
(4星)	 喜欢卷发的胡杏儿呀~~            
(NA)	 简直就是一场fashion show。            
(3星)	 有点学习devil wears prada？可是tvb的戏太小家子气了，一点都不够fashion不够in            
(4星)	 汪明荃 好有爱~~~~~            
(3星)	 撒宁推荐额....嘎刚额.....            
(NA)	 呵呵，想看真正的时装秀还是看《时尚女魔头》吧！            
(NA)	 哈哈。黄宗泽的卷毛。            
(4星)	 胡杏儿也还不错啦            
(5星)	 很囧很囧啊．．．            
(NA)	 好玩哈哈！不过后面有点墨迹            
(NA)	 看了1才看2～            
(4星)	 听说黄宗泽本人很花..            
(4星)	 特搞笑的婆媳大战！            
(4星)	 很可爱。黄宗泽很帅,就是打扮太纨绔。爱上Valentino的时装。            
(2星)	 一般。不喜欢黄宗泽。估计是因为看了丑女贝蒂后再看这本，觉得和贝蒂一比较，真没什么。            
(4星)	 搞~            
(3星)	 因为黄宗泽而看的。不过很佩服胡杏儿。            
(3星)	 在忙碌的考試中我還可以看港劇哈哈~            
(NA)	 还差个大结局。            
(4星)	 好笑..            
(4星)	 哈哈哈哈...            
(4星)	 很好笑阿            
(3星)	 还是很喜欢O姐这个人的；至于胡杏儿，不想说了            
(3星)	 节奏快，不过没什么情节说真的            
(5星)	 搞笑的有道理~            
(NA)	 劲搞笑~！            
(4星)	 黄宗泽……黄宗泽……            
(NA)	 kill time的片~            
(3星)	 这部剧可以充分证明，我的品味越来越丰富了。。。            
(2星)	 彪死了            
(NA)	 又係开头好好笑~~~觉得戏里面嘅o姐好劲！            
(2星)	 2、3集便放弃，受不了bo的造型。。            
(3星)	 一般咯            
(5星)	 真好看，还能学到好多东西            
(5星)	 很搞笑            
(3星)	 偶觉着,么的第一部好看...            
(5星)	 搞笑            
(4星)	 爱之深，责之切。人总是会长大的            
(3星)	 胡杏儿加上汪明荃，说实话这个搭配我不喜欢            
(4星)	 好看            
(3星)	 只是为了黄宗泽            
(4星)	 野蛮的对决            
(3星)	 还可以～～            
(NA)	 很有趣的婆媳戰爭。            
(4星)	 满搞笑额～            
(NA)	 很不错~~但是一直不喜欢胡杏儿~汪阿姐真是宝刀未老            
(5星)	 里面的ol的衣服非常好看，            
(NA)	 弱智的儿媳妇，情商很低。            
(5星)	 很有意思的            
(4星)	 黄宗泽和胡杏儿又演夫妻。            
(5星)	 帅            
(NA)	 黄宗泽里面的穿着不错            
(2星)	 电视播的。超级无聊～～            
(4星)	 很轻松，看人马觉得像是我的野蛮婆婆的延续，看背景又觉得像是穿PRADA的女王的翻版，不过，还是很好玩~            
(NA)	 幽默.!            
(NA)	 野蛮奶奶大战戈师奶             
(NA)	 搞笑，婆媳关系            
(4星)	 一家人就是一家人            
(4星)	 比古装版要好看，时装的魅力占先无疑，人要衣装真是至理名言！            
(5星)	 這個不錯,挺好看的~            
(5星)	 好好看啊~~~是谁说无聊的……除了主角，滕丽名和郭政鸿都很有趣啊……            
(5星)	 喜欢尼格o姐，又历又靓，仲有巨的两公婆超逗~            
(NA)	 还不错            
(NA)	 good            
(4星)	 不错的fashion show            
(NA)	 笑死了。            
(4星)	 不错,最近的TVB里最值得看的            
(4星)	 和以前那个同样的阵容，还不差            
(4星)	 结尾一般            
(4星)	 陷入僵局的时候总要有人先迈出和解的一步！            
(NA)	 亚co一直都挺你            
(5星)	 太搞了继全金属狂潮后第二个爆笑的片            
(3星)	 结局太狗血～            
(3星)	 仨人回现代来了……            
(2星)	 男的负心了就不如第一部好看了            
(4星)	 只记录看过并喜欢的TVB            
(4星)	 啊哈～不知道是不是因为黄宗泽和胡杏儿是真情侣，他们在戏里演小夫妇让人觉得格外温馨可爱啊，比《潜行》里和徐子珊在家穿着正装调情真实多了～笑料也挺足            
(3星)	 - - 我其实觉得无聊的我可以再看一下            
(NA)	 Bosco飞跃进步            
(3星)	 周丽敏很烦呐!            
(4星)	 胡杏儿在这部戏里很美！可惜太多模仿《穿prada女王》的剧情了。            
(3星)	 杏儿打扮的很漂亮，可是感觉没什么可发挥的地方，O姐的金句很多，喜欢郭政鸿演的那个            
(4星)	None
(3星)	 真的不中意胡小姐            
(3星)	 一只哥斯拉            
(4星)	 没有第一部那么惊艳，但也不错，娱乐嘛            
(4星)	 胡杏儿和王宗泽这对小夫妻挺搞笑的哈哈~            
(4星)	 喜歡！！            
(5星)	 经典好吗!!!超级喜欢哈哈!!!            
(3星)	 黄宗泽各种毁            
(NA)	 胡杏儿瞬时变成美女级别的了。            
(3星)	 不伦不类的感脚            
(4星)	 抄女魔头桥段，但拍得很地道，阿姐难得搞笑了一下，她的佣人是整部戏精华            
(5星)	 蛮搞笑的            
(4星)	 一天一夜看完两部，这个累啊            
(5星)	 这一对真是太有爱了            
(4星)	 真是对让人羡慕的情侣！虽然这部剧有几处莫名。比如黄宗泽我突然喜欢athena~之后又突然觉得胡才是唯一。。不过不过还是很温馨啊！特别是俩人恋爱打kiss的时候黄弯腰的弧度！我瞬间沦陷了！！！            
(3星)	 时尚编辑要是这样就该死了~            
(5星)	None
(4星)	 经典三角档            
(4星)	 喜欢黄宗泽            
(5星)	 除了胡杏儿,我都很喜欢            
(3星)	 胡杏儿和黄宗泽            
(4星)	 还蛮搞的，            
(NA)	 胡杏儿就算穿上所谓时尚杂志ceo的搭配，还是显得那么土            
(5星)	 高中的时候在教室偷偷用投影仪看！            
(5星)	 为了黄宗泽看 可以么            
(3星)	 去看黄宗泽的~~            
(3星)	 第二部里面的胡杏儿 真是很让人嫌啊！！！要我也不会要这样一个儿媳妇！又蠢又不懂什么是家庭！            
(4星)	 越看越爱O姐。            
(3星)	 老早就看了。。。剧情弱了些但是当时觉得挺好看的。。。好吧，承认还是因为bosco。。。            
(4星)	 还蛮有意思的，汪明荃好有气场的，胡杏儿不算好看，但看着挺舒服的。            
(3星)	 换掉胡杏儿应该更好            
(1星)	 要不是因为黄宗泽，估计也不会去看！            
(4星)	 啊哈哈 当时觉得这个超好看啊  只是胡杏儿祸害了黄宗泽 又祸害郑嘉颖 现在变徐子珊 TVB行不行了  尽找些这些女的！            
(3星)	 和1很相似的故事情節。覺得這個媳婦有點狠的，這麼跟婆婆說話。倒覺得婆婆其實還不怎麼刁蠻的。覺得1是野蠻婆婆，2反而是刁蠻媳婦了。胡杏兒看久了好像不算很美倒也没有非常醜。            
(4星)	 里面每个人都狠时尚的说。            
(3星)	 打发时间的港剧一部.. 情节算是紧扣 黄宗泽和胡杏儿的搭配尤戳中萌点不知道为什么 唯一抱怨是结局真他毛线的仓促啊。            
(3星)	 有爱            
(4星)	 Boscolie要感谢此剧。。            
(3星)	 聽同學講完古裝版的劇情，還有部份現代版的，然後在電視上看完了。混時間用不錯。            
(4星)	 哈哈，很欢乐啊，跟老妈每天饭后看得不亦乐乎。汪明荃真是戏骨，把婆婆嘴脸演绎得分毫不差，黄宗泽演的小老公，恩，虽然有点窝囊，但还是很可爱。            
(3星)	 貌似不是我的菜            
(3星)	   不好看            
(2星)	 看到胡杏仁的大饼脸就烦            
(3星)	 纯粹打发时间            
(4星)	 再后来 我也还是喜欢 纪念我的青春 呵呵            
(NA)	 真，的，很，讨，厌，胡，杏，儿。            
(3星)	 Bosco            
(2星)	 和第一部超级类似 恶俗啊            
(3星)	 还好还好...            
(4星)	 我爱上黄宗泽的片子            
(3星)	 好吧 我承认我不是很喜欢胡杏儿            
(3星)	 黄宗泽被逼在两个女人中间            
(4星)	 我的泪点奇低呀！！！            
(3星)	 噗。这发型            
(3星)	 扯皮            
(4星)	 比古装那部有意思！！            
(4星)	 很欢乐啊            
(5星)	 结局蛮好的。汪明荃搞笑~            
(3星)	 冲着情侣档去的~            
(3星)	 挺可爱的嘛，有这样的婆婆可以学好多，我觉得很好啊。            
(5星)	 其实胡杏儿不是很难看。。黄宗泽路线其实挺多的。。汪明荃我一直觉得。。有点。。烦。。            
(3星)	 还是比较喜欢古装版的            
(4星)	 剧情有点老套，虽然有点《穿普拉达的女王》的感觉，不过阿姐还是很气场的。            
(3星)	 挺闹心的 还是小泽+1            
(4星)	 因为电视上总播就跟着看了下来，后来还特意看了一遍，剧情还蛮搞笑，有点不知所谓，我娘蛮爱看的，我觉得也还不错，过了前几集的瓶颈期都能看下去            
(2星)	 不待见胡杏儿            
(3星)	 古装好看多了            
(3星)	 家有一老如有一宝，但是不是什么话都能拿到台面上来说的，也不至于所有恩怨情仇都是聊一聊就能解了的吧。演得最好的...郭政鸿吧，小双胞胎女儿蛮可爱的            
(3星)	 能看吧，不好看。            
(NA)	 好像吧，想弄的有点穿PRADA女魔头的意思，但可惜实在有点小作坊难以成气候的感觉，不过重点也不在这里啦。有些动画什么的很可爱的，杨秀惠作为小三出现，也是很漂亮的。            
(1星)	 胡杏儿是型女，但不是美女。            
(3星)	 时尚的元素还满多的~            
(3星)	 真的真的不喜欢胡杏儿。            
(3星)	 胡杏儿成为TVB台柱啊，多么没有人道的事情啊！黄宗泽力捧下也就算了，汪明荃人家是老戏骨，没得奖！@Home            
(3星)	 最烦三角恋。            
(4星)	 黄宗泽啊，帅啊帅啊。杏儿这一次，有够美丽。            
(4星)	 时装版也不错。            
(3星)	 还是不喜欢胡杏儿啊~            
(4星)	 喜欢第二部胜于第一部            
(4星)	 比古代版的好看            
(4星)	 哥斯拉            
(3星)	 没古装版好看            
(3星)	 胡杏儿是败笔，绝对的！！            
(4星)	 還是這個好看！！！            
(3星)	 搞笑的            
(3星)	 有黄宗泽的我都爱看哈哈~            
(5星)	 喜欢时装版            
(3星)	 看见胡杏儿就烦了。            
(3星)	 一般            
(5星)	 ~            
(4星)	 感情戏没那么精彩            
(3星)	 再看就不稀奇了。            
(2星)	 真有失TVB水准            
(NA)	 为黄宗泽看的……            
(4星)	 许绍雄。。。            
(4星)	 这一部比第一部实在是好看很多，O姐实在太帅了，那范儿那智商。BTW实在讨厌圣母模样的角色。            
(NA)	 好搞笑，觉得里面的O姐特有范，如果当时装剧看也不错，我挺喜欢的。            
(3星)	 没古装的好看            
(5星)	 我喜欢的黄生黄太！            
(4星)	 胡杏儿和黄宗泽这一对还是不错的            
(2星)	 TVB你够了！            
(4星)	 喜欢黄宗泽            
(NA)	 哈哈哈哈            
(NA)	 胡杏儿再次的精彩演出            
(5星)	 大赞黄宗泽。            
(3星)	 搞笑            
(4星)	 不错。            
(4星)	 恩，没第一部古装那么精彩，不过多了时装剧的时尚，出轨什么的太狗血            
(3星)	 欢乐 欢乐就好管他抄袭不抄袭··            
(3星)	 黄宗泽!            
(3星)	 将就            
(3星)	 前面看着不错，挺好玩一剧，后面估计是看烦了，觉得有点无趣，落入俗套。不过，那里面女的真的都很强势，让我再次感受了何为事业型女强人。剧中也让我看到了一个自己，做事都做一半，无果而终的我。希望也能有点成长。            
(3星)	 胡杏儿。。我的噩梦            
(4星)	 电视上播的，还不错。            
(4星)	 黄宗泽真是帅到爆炸~~            
(3星)	 看。            
(3星)	 只看了几集就扔了~            
(3星)	 情节类似穿普拉达的女王            
(4星)	 陪我度过了3天没有电视节目的日子            
(4星)	 我要是有这么个婆婆就好了            
(5星)	 野蛮婆婆第二部，其实我比较喜欢古装的啦            
(4星)	 广东话版很不错，有点《时尚女魔头》的影子，里面的衣服很FASHION            
(5星)	 超爱的~            
(4星)	 蛮搞笑的～～哈哈            
(4星)	 喜欢胡杏儿            
(4星)	 好吧.还是蛮能打发时间的            
(3星)	 比古装的好看一点 ...            
(5星)	 好看            
(3星)	 无聊的时候看看还不错。。            
(4星)	 麻麻            
(4星)	 好讨厌后面的阿敏            
(5星)	 这部比第一部剧情要丰满的多。            
(3星)	 同前作~不过那个演小三的长的不错~            
(4星)	 职场励志，还不错            
(5星)	 唸起黄宗泽同胡杏儿喺办公室唱歌撑船就想笑            
(NA)	 没古装版好看            
(3星)	 只觉得胡杏儿漂亮了许多。            
(5星)	 嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿嘿            
(4星)	 黄宗泽＆杏儿绝佳。            
(3星)	 为什么黄宗泽总要跟胡杏儿搞到一块~            
(4星)	 时装版~~ 阿姐cosplay《传Prada的女王》            
(4星)	 值得一看，推荐~~            
(4星)	 又是奶奶？            
(5星)	 疯狂抢拍，超低价，拍完即止，活动时间：每天早上10：00开始，拍完库存后结束抢拍活动，商品自动下架，然后恢复正常淘宝销售价http://naimeihzp.mall.taobao.com/            
(4星)	 黄宗泽 黄宗泽 黄宗泽             
(3星)	 每天饭堂都播这个真是……岂有此理！然则前教主的确十分英俊！            
(5星)	 忘记了是哪一年春节。和DD、MM在家一起看的。笑死了。很不错的一部港剧。            
(3星)	 我喜欢滕丽名和郭政鸿            
(3星)	 瞎 居然比通天干探分还高- -            
(3星)	 阿姐还是阿姐，值得一看，年轻人们还是要多学着点            
(5星)	 喜感!!!!!!!!!!!!!!            
(3星)	 什么年代婆媳关系都是一个问题啊            
(5星)	 對戈德蠻失望的，竟然會拋棄妻子，去和另一個女人歡樂。不過還好最後還是回到了阿敏的身邊..             
(3星)	 趁着放假 又重温了~ 结局不过瘾咯。很经典的一句话：此刻，你 top of the word；可能下一秒，你就 down of the world            
(5星)	 很有爱            
(NA)	 再次山寨            
(3星)	 没第一部好看。所以说干嘛拍第二部。            
(5星)	 也很喜感！不过更爱第一部            
(3星)	 笑笑算了。            
(NA)	 喜剧   胡杏儿            
(3星)	 我只记得黄宗泽傻傻的纯情样子了。            
(3星)	 冲着帅哥去看的，虽然剧情一度让我忍受不了……            
(4星)	 野蛮奶奶            
(3星)	 这个现代版不如古代版，结论胡包子还是比较适合古装，古装比较容易让人接受            
(4星)	 我觉得比第一部好看，开始情节紧凑也搞笑，中间嘛。。。那个第三者完全是剧情需要嘛~~            
(3星)	 胡杏儿可塑性挺强            
(3星)	 一般性            
(4星)	 很搞笑很开心，只是后来没有那么好看啦            
(4星)	 哦这一家人太有爱了。            
(3星)	 婆婆不野蛮，媳妇儿真的是很傻，又没用，结尾到是很浮夸            
(3星)	 還算是不錯的戲哈，很喜歡胡杏兒和黃宗澤唱的那首《感激遇到你》！            
(4星)	 我觉得还是蛮搞笑的，            
(3星)	 山寨版  穿prada的女魔头  挺囧的            
(4星)	 能搞笑就够了            
(4星)	 没有古装版好看，不过人物造型很时髦            
(4星)	 胡杏儿就是个传奇~导演让她丑就丑~让她美就美~            
(NA)	 真的很喜欢tvb剧，喜欢老套的大团圆结局，更喜欢黄宗泽~            
(4星)	 还蛮喜欢的一部。。            
(4星)	 现代版野蛮奶奶，同样的精彩~~            
(3星)	 港版穿PRADA的女魔頭。            
(3星)	 后面有点勉强            
(3星)	 不喜欢胡杏儿~            
(3星)	 汪明荃气场不是一点强            
(4星)	 个人更喜欢第一部，不过这部里头的郭政鸿挺逗的，哈哈～            
(3星)	 港剧一定要看白话版的，这里的人的穿衣都不错，只是黄宗泽和滕丽名的头发很雷            
(4星)	 第一次觉得胡杏儿变漂亮了就是在此剧中。Bosco的发型很难忘，胡杏儿那身黑衣野猫造型印象最深。现在想来依然雷人，浑身鸡皮疙瘩。不过相对来说，我觉得还是古装版好看。宁茂春够深情。            
(5星)	 好好看~~~            
(4星)	 不错             
(5星)	 这部俺真的大爱啊，戈师奶呀靓呀靓的妙~~            
(4星)	 为了黄宗泽，我就给个高分吧，其实也不算太垃圾，至少没有看到让我想打人            
(3星)	 O姐不fashion吖            
(3星)	 没第一部好看            
(3星)	 我怎么觉的O姐的发型好怪。。。胡包子真是够了。。。黄GG很有Gay的气质(主要是发型的功劳)...浪费了两女配(杨秀惠+徐淑敏)            
(3星)	 不怕狼一样的对手就怕猪一样的队友            
(4星)	 汪明荃不愧是老戏骨~            
(3星)	 比起古装那部，这部故事就略显一般，但夸张的喜酒效果往往能够博来眼球。凑合看吧！            
(3星)	 有点像穿PRADA的女王呃。对胡杏儿很缺好感可是因为黄宗泽所以三星。            
(3星)	 这片子感觉有点傻            
(4星)	 因为喜欢这两个情侣档喽。。。阿蚊几可爱。。。            
(3星)	 结局太假了。。            
(4星)	 我实在很喜欢黄宗泽。。。 =。=...            
(4星)	 TVB 变化真大 coco~~            
(5星)	 爆好看!!!            
(3星)	 娱乐一下还是不错的            
(4星)	 带点教导职场伦理的意味，感觉比古装版的有内容            
(3星)	 安徽台不断的重复...            
(3星)	 剧情来讲只值两星其实，看在阿拉杏儿和bosco的份上            
