http://movie.douban.com/subject/2154774/	云海玉弓缘
(4星)	 梁羽生笔下的妖女向来是没有好结局的。我欣赏厉胜男的付出，更欣赏她的心机。她用生命换来了想得到的一切。我不喜欢谷之华，但她不也是在用生命来等待金世遗吗？注定的悲剧是谁的错？谁爱谁重要吗？20年之后金世遗不还是选择牵手谷之华？还是在一起比较实在吧。            
(NA)	 胜男，你跟绾绾一样啊。男人的心中总有一个圣女情节，而你们这些妖女，得不到他们的心，却得到了天下人的心。+1            
(NA)	 起初是谁先动的心并不重要，重要的是最后是否在一起。不是孤身远引，就是独赴黄泉的，都不是主角。主角儿都命好~            
(4星)	 厉胜男            
(3星)	 厉胜男确实够水瓶~ 那种冷酷的表情 只有看见金世遗眼里才会显现的温柔很到位 如果爱上一个人 连自己也忘记保护 宁愿用死来做到让金世遗后悔一辈子的诅咒 最后的最后 我选择相信金世遗是爱你的 只是如果你不死 他又是否能明白            
(NA)	 大半夜的看完结局我容易吗。。。这看得我这个心痛噢。。。            
(5星)	 此生不换。            
(3星)	 叶璇很悲剧··            
(NA)	 聪明的女生总是爱上傻乎乎的男主角            
(4星)	 只喜欢厉胜男这样的女子            
(1星)	 好，喷血啊！            
(4星)	 海马的厉胜男是本剧唯一的亮点。            
(4星)	 第一次看见林峰，第一次看见李彩桦，第一次看见叶璇。            
(4星)	 不知道看过几遍 萌上林峰后 又好好地拿出来看一遍 不能否认 云海的故事性薄弱道具不华丽 真正吸引人的恐怕就只有厉胜男和金世遗的那段此情可待成追忆 只是当时已惘然 重新完整看完后 心里长时间的不舒服 很难受 说不上的委屈 这个女子 怕也只有她才能如此            
(3星)	 林峰和叶旋的经典合作啊= =那会不知道多少人喜欢这一对。            
(3星)	 20            
(2星)	 有着港片(TVB)典型的风格,特效幼稚,取景小气,演技浮夸.不过叶璇确实是光艳照人,完全忠实于梁羽生原著－原著中厉胜男就是一个凌厉的女人,金世遗这种烂人能得到她的爱情,不知道是几辈子修来的福气.            
(NA)	 老片翻出看看，历胜男死的那段依旧很感人。             
(4星)	 重要的不是爱谁而是跟谁在一起            
(3星)	 欠踹的金世遗~~            
(4星)	 虽然只认真看过最后一集 但是真的打动了我            
(4星)	 多年以后我内牛满面，因为当年的金世遗与厉胜男都已不再。            
(4星)	 做过的梦像一场漩涡，没了你，才有出口。            
(NA)	 喜歡葉璿的開端！谷之華你知道我有多討厭你咩！            
(5星)	 我喜欢林峰和叶璇。            
(4星)	 大爱厉胜男~            
(4星)	 没有这个纠结的剧情就好了。不过至少比原著好点            
(3星)	 （以前看的，纯添加）            
(4星)	 璇峰的经典            
(4星)	 叶璇的经典形象啊，李彩桦天天像让人揍了似的。            
(5星)	 所有都是因为喜爱厉胜男，喜爱叶璇            
(5星)	 爱林峰从这里开始            
(3星)	 很爱叶璇            
(4星)	 当年的峰璇啊~可怜的胜男，让人心疼的女子。喜欢她的每一个神情，每一句话语。            
(3星)	 第一次知道李彩桦和林峰            
(3星)	 厉胜男。只是当时已惘然。            
(4星)	 金童玉女            
(3星)	 ...话说电视剧确实弄得太牵强了些            
(5星)	 结尾哭得我……联系上再生缘，就此爱上林峰。            
(5星)	 很喜欢这部片子            
(3星)	 如果我死去能够让你永远记得我，那么我愿意。            
(4星)	  里面的插曲印象很深 至今Nano里还存有  正如从《鹿鼎记》里听到的《故乡之原风景》    是一个道理            
(3星)	 FLASH做得比原来那么长的好看多了!            
(4星)	 更喜欢原著            
(NA)	 若不死，何来深情。            
(5星)	 我的厉胜男！后来把原著给看了！喜欢！            
(5星)	 历胜男好漂漂哦~            
(4星)	 不是因为叶璇可以打一颗星……            
(2星)	 看过一点点            
(NA)	 死后方觉悟的爱，笨蛋金世遗。厉胜男耍得金世遗团团转之时，便是最过瘾而开心之时            
(2星)	 为什么我就是不喜欢林峰呢            
(4星)	 欣赏叶璇既牺牲，型啊！            
(5星)	 记得哭了很久...            
(NA)	 喜欢结局的美感，整个剧很没劲，可怜了峰璇配！            
(NA)	 叶璇和林峰，喜欢            
(5星)	 基调8错，叶璇8错，林峰8错            
(5星)	 即便不是被爱的，也会无所保留的付出。            
(3星)	 我家谢宝喜欢少爷            
(3星)	 那个拖啊……            
(3星)	 叶璇 李彩桦好漂亮            
(4星)	 又是一部看的郁闷的。。。            
(4星)	 厉胜男。            
(3星)	 叶璇演的厉胜男还不错            
(5星)	 叶璇演的真好            
(4星)	 永远忘不了厉胜男。            
(5星)	 喜欢林峰！            
(4星)	 喜欢厉胜男            
(NA)	 .........            
(4星)	 如果可以把李彩桦的戏份再减多点就好了 那无神的眼哪哪哪 这样的谷之华对胜男完全构不成威胁嘛~~            
(3星)	 剧情很烂，胜男很好            
(4星)	 靠....李菜花...            
(4星)	 璇峰是情结了。就算造型不好结局不妙还有第三者插足这样烂透了的注脚，反正，就是喜欢你们俩在一起时眉清目秀的爱情样子。            
(3星)	 6.2            
(3星)	 喜欢叶璇。            
(4星)	 当年觉得虐到家的武侠剧 后来才发现原来梁羽生原著更虐 世上再无厉胜男。            
(5星)	 【好無聊的開始馬克看過的TBB】爲了當年差點哭瞎了眼睛打個五星神馬的吧。            
(4星)	 世遗哥哥，你别哭，你一哭我的心就碎了。。（厉胜男临死前如是说）            
(5星)	 从这部戏开始喜欢林峰的啊，还有叶璇            
(3星)	 愿得一荒岛，相伴到终老            
(3星)	 看了小说，电视改编太大，胜男塑造不错，遗憾的是金世遗不得人心，没有体现出小说中那种亦正亦邪的感觉，结尾也没有明确表示感情。            
(4星)	 我是从这部剧爱上峰少的            
(5星)	 太经典了！！ 叶璇的最后一集 ~            
(2星)	 这两颗星给最后一集的叶璇牺牲片段，前面都可以不用看            
(5星)	 寻寻觅觅逐爱而走，辗转半生，换来一生悔咎！结尾世遗带着胜男的尸体离开了中原，并承诺此生永远的陪在她身边。他说自己永远也不会寂寞……忽然想起了这剧，那年竟然看的哭了！            
(5星)	 峰璇的终结之作，永远的遗憾            
(3星)	 当初这个还买碟来着。。。。。。= =。            
(4星)	 叶璇的厉胜男最为经典。看一次哭一次。            
(5星)	 厉胜男！！！每次都很心疼这个妖女。。。因此讨厌金世遗。。。最爱的梁羽生的小说            
(4星)	 喜欢他俩搭档！            
(5星)	 我只爱胜男。            
(NA)	 喜欢历胜南那样的女子            
(4星)	 还不错            
(4星)	 最爱结局~            
(3星)	 改的太粗糙了，远不如原著，很仓促就结尾了。幸亏主角演技都还不错，唯一的萌点就是晓风和锦儿这对CP，只是把一个老太婆改成如花美眷还和神偷搞上，编剧你也太。。。。            
(3星)	 高中时，哪家馆子放的电视好看，就到哪家吃饭。            
(3星)	 兩個女豬腳都蠻喜歡的            
(4星)	 -。-结局不算美好 金世遗 你丫敢聪明点吗-！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！            
(NA)	 林峰&amp;叶璇 +1            
(3星)	 林峰和叶璇            
(4星)	 很多人不喜欢这部，我反而觉得剧情还不错，除了男主性格不知所谓之外，厉胜男是众口一致的很不错。导致我现在看到叶璇还是会恍惚将厉胜男套在她身上。            
(4星)	 厉胜男！~            
(4星)	 讨厌的结局            
(NA)	 这里面有人推荐了一对最遗憾情侣            
(4星)	 我最爱的叶璇啊！！那时候的林峰也比现在惹人爱            
(4星)	 峰璇寥寥可数的合作。爱死了厉胜男，不喜欢金世遗。            
(5星)	 大爱大爱这部古装剧，每次看都会哭的稀里哗啦，这是难得的一部会让我如此伤心的电视剧。可能是因为和厉胜男一样，那么努力的去爱一个人，但却被另外一个女人这么轻易的抢走男人的心。曾经就算有再多的欢乐时光，难道都不及那个女人的一个回眸么？男人真是犯贱，对他越好就越得寸进尺。超爱厉胜男啊！！            
(5星)	 大爱小璇子~~~            
(4星)	 厉胜男这个角色看得我心伤啊            
(4星)	 觉得峰少演得不到位。。            
(NA)	 坚决不承认这货是金世遗！把厉胜男美化成这个样子。。。。。。。            
(4星)	 厉胜男啊~TvT            
(4星)	 林峰，叶璇，哎！            
(4星)	 当年和老妈一起看的哈哈~~~            
(5星)	 可怜的厉胜男， 悲剧讨厌的金世遗            
(5星)	 看过几遍，好看            
(5星)	 好多年前的電視劇，依稀記得當年我是小學6年紀的時候看的。以前只是抱怨導演為什麼要拍成悲劇，如今重頭再看一遍，發現自己在年歲的蹉跎中學會了為勝男不值、為勝男恨。久違了，勝男；久違了，眼淚。            
(3星)	 是怎么想起来要看云海的呢 一切都是机缘吧            
(2星)	 虽然我喜欢林峰和叶璇但是我看到扮相都看不下去了            
(NA)	 世遗哥。。。苦逼的世遗哥。。。            
(5星)	 小时候看疯了。巨怀念。            
(4星)	 此情可待成追忆 只是当时已惘然            
(3星)	 叶璇的角色居然死了...            
(5星)	 心疼胜男~            
(4星)	 永远的峰旋~厉胜男和金世遗            
(4星)	 这部高中时节寥寥几眼，认真时候应该是刚上大学那是，只是“你真的懂我的心，你真的有喜欢过我，你真的知道自己的心吗”那种悲哀~错过~就真的错过了~            
(4星)	 大年初一看哭过。            
(4星)	 喜欢叶璇！            
(NA)	 我的峰旋            
(5星)	 直接看结局胜男死，依然哭的稀里哗啦~~~叶璇，也许你就是我的最爱。。。            
(3星)	 造型不好看            
(4星)	 T-T 当初虐的类。            
(5星)	 胜男~~~            
(5星)	 厉胜男你不该爱上金世遗的。            
(4星)	 最近刚补完，太纠结了这个剧，不过觉得世遗还是爱李彩桦演的那女的，不记得名字了。。。            
(4星)	 喜欢厉胜男！真、狠、痴！            
(NA)	 一个可以付出全部乃至生命的爱···第一次看到叶璇···便爱上了她···            
(2星)	 TVB的老一套~~            
(NA)	 难忘厉胜男            
(5星)	 叶璇啊            
(5星)	 愿得一荒岛，有人陪终老            
(5星)	 虽然装扮美术有不足 但是给我印象太深了 厉胜男            
(4星)	 從頭至尾每次勝男和穀之華有矛盾時，不論勝男有理或沒理，金世遺永遠維護穀之華而指責勝男，一直到最後都還是這樣，沒一次例外的。其實金世遺，你哪裡配得上勝男！            
(4星)	 结尾哭死了好吗            
(4星)	 重要的不是你愛誰，而是你最後和誰在一起。            
(3星)	 改变得有点多  看过原著  有点不同 原著太感动了            
(5星)	 给五颗星是因为我哭了            
(NA)	 阳光下，厉胜男华丽地死去。。。。            
(4星)	 小时候看的            
(5星)	 我的心啊！！~~~心疼死胜男了！~~~~开始喜欢叶璇咧~            
(4星)	 大爱厉胜男啊。            
(5星)	 叶璇把厉胜男演绝了！            
(NA)	 挺好看的            
(5星)	 为了结局，为了情，为了胜男，为了眼泪和血迹。【2011.06.17】            
(1星)	 不喜欢            
(5星)	 这部电视剧最亮点在于谷与厉感情之争。那当然，与原著不同。            
(4星)	 有点cheap但最后都能看哭惨了            
(4星)	 看的我很生气。。。            
(5星)	 林峰和叶璇！经典            
(5星)	 偶尔善良也只为了你。            
(5星)	 那个时候林峰和叶璇多么相衬啊！            
(NA)	 曾经。。我多么的爱林峰和叶璇。。但是，是我老了还是他们让我失望了？我也不知道~~~但是还是很爱这剧和孟丽君            
(5星)	 重温，忍不住泪水哗哗。            
(4星)	 为什么每次都要到失去了才会懂得珍惜呢？            
(3星)	 服装场景太粗糙。跳着看的，喜欢厉胜男这个角色。            
(NA)	 当时好喜欢里面的叶胜男            
(3星)	 李彩桦当年的演技..不对，她当年有演技吗？！一副小媳妇受委屈的模样有点欠...当年还是往圣母边上靠，现在动辄演些小三的角色，世事无常啊。            
(3星)	 李彩桦啊……你太丑了……            
(4星)	 原著也看完了。你知道那个演谷之华的演员就是现在《回家的诱惑》里的那个超坏的女人，想不到吧。            
(4星)	 叶璇很漂亮。            
(3星)	 结局我那个纠结啊~~到最后才知道自己喜欢的是谁。我那个郁闷哦！！            
(3星)	 民工剧啊！！！！！！！            
(4星)	 可惜不是你，陪我到最后。            
(NA)	 喜欢李彩桦            
(3星)	 还是喜欢厉胜男            
(1星)	 不知所云啊这剧。。            
(4星)	 今生今世徒留遗恨              
(3星)	 厉胜男最后死了挺伤感的。            
(4星)	 厉胜男            
(3星)	 虽然很不想承认，可我还是觉得金爱的是谷            
(4星)	 我从来不会做伤害你的事，世遗哥哥，可惜你一直都不知道。好喜欢厉胜男！好喜欢峰璇配！            
(4星)	 李彩桦太TM烦！            
(3星)	 峯璇很经典嘛 可惜结尾不圆满            
(5星)	 我爱你，至死不渝。我只要你也一样爱我。            
(4星)	 可怜的结局 不过比原著好多了            
(5星)	 看了多少遍欧。。又想看了= =+            
(3星)	 林峰那造型 太无法接受了            
(4星)	 金世遗和厉胜男，也是林峰和叶璇的不可能回归。            
(5星)	 厉胜男死了。。。。她死了。。。。            
(5星)	 血滴子的苦谁知道。            
(4星)	 峰璇经典代表作！虐死了！            
(4星)	 改编的比较合理，主要角色的气质也很到位            
(5星)	 最喜欢的武侠剧。            
(3星)	 恩 我看过的            
(5星)	 人设=。。。=            
(3星)	 对叶璇印象很深            
(4星)	 没有厉胜男，金世遗还算什么            
(5星)	 厉胜男            
(4星)	 一个女人的传奇            
(5星)	 胜男啊胜男~            
(3星)	 叶璇好久不见            
(5星)	 金世遗~最后好心疼~在的时候迷惘，一定要死了之后才能看清自己的心吗            
(5星)	 如遊離塵埃，仍飄於四海。            
(4星)	 這部劇集最後結局悲傷啊，那時候覺得女生都會喜歡裡面的厲勝男那種性格的，好招人心疼的            
(4星)	 太悲了。            
(5星)	 其实回想起来也还好，看的时候怎么就把我哭成那样子了呢……            
(3星)	 峰璇....            
(4星)	 为什么金世遗和厉胜男不能再一起啊啊啊啊啊            
(4星)	 为什么厉胜男要死···~~~~(&gt;_&lt;)~~~~             
(5星)	 我爱的厉胜男！            
(4星)	 官配，依然經典            
(3星)	 虽然改编得很多抄袭痕迹，可是有了叶璇诠释的厉胜男，让我感到很满意。            
(3星)	 具体的问题在于梁羽生的这个故事情节太过于老套了或者是TVB的编剧总是喜欢按照同样的思路，我没有办法评价作品的好坏，不过挺喜欢叶璇饰演的角色，不失自己的个性，选择自己爱的人而付出一切不被理解。            
(NA)	 不喜欢李彩桦 叶璇也不是很爱            
(5星)	 我的胜男            
(3星)	 这是要纠结死。            
(5星)	 因为这部剧，对叶璇怎么也讨厌不起来。最爱厉胜男            
(5星)	 感觉很好！！            
(4星)	 最后一集的时候，我哭了。。。            
(4星)	 大结局那时候还看哭了好似。。胜男的世遗哥哥哎，虽然和谷之华细水长流的爱情很动人，但是有时候轰轰烈烈的更加印象深刻吧~            
(4星)	 喜欢厉胜男！            
(5星)	 经典。            
(4星)	 重新看了一遍，叶璇很好，林峰也很好            
(4星)	 此情可待成追忆，只是当时已惘然。造化弄人，感慨。            
(3星)	 烂书烂片谢谢            
(3星)	 不是很喜欢李彩桦，太装了。叶璇的造型没有做好，林峰显老。@Home            
(4星)	 补齐峯少的早期作品~~//那个年代的古装，质朴却经典。原来大家都替厉胜男惋惜，确实不是没有道理的。            
(4星)	 大爱林峰和叶璇，心疼            
(3星)	 恨结局啊……            
(NA)	 很喜欢，因为有峰少，因为厉胜男！            
(3星)	 那时的林峰好悲催&gt;&lt;。。。叶璇好赞！            
(4星)	 难道真的只有厉胜男的死才能让金世遗真的醒来。。            
(3星)	 当时迷林峰啊，不懂事            
(5星)	 感动~            
(3星)	 不喜欢里面的武打动作，推测剧情与小说也有不少差距。。。不过三颗星的评分还是苛刻了。。。怎么说这也是最经典的峰璇恋~~我喜欢厉胜男的服装~~嗯，其实李彩桦也挺不错的~~            
(4星)	 厉胜男            
(4星)	 印象超深刻当时小学和表妹一起看大结局我哭得好惨            
(4星)	 很经典的武侠片，很纠结的三角恋！~            
(NA)	 白飞飞与厉胜男，古装剧让我太感动的两个人。            
(4星)	 实在是小成本，不过很喜欢的。            
(5星)	 哇哇，世遗哥哥、真帅。            
(NA)	 虐死个人TVT            
(4星)	 胜男的世遗哥哥啊，要是早点领悟就不凄迷刻骨了            
(3星)	 太讨厌这样的结局了。金世遗在两个女人都在身边时爱谷之华而防范远离犯过错的厉胜男，当厉胜男死了就抛弃原来爱的谷之华，跟一个死了的女人漂走了。无语。。但是厉胜男确实是一个很悲情的角色，明明一心对他好，他却到她死的时候才肯相信她。            
(5星)	 厉胜男。。呜呜呜            
(4星)	 只是当时已惘然            
(5星)	 小璇子和峰峰太配了！            
(4星)	 到最后哭死了。            
(4星)	 最近喜欢很老很老的古装剧，是开始变老了吗            
(4星)	 我赤子之心            
(3星)	 厉胜男            
(4星)	 最后叶璇挂的时候偶哭了。            
(3星)	 据说原著最后金世遗和谷之华在一起。我就不再相信爱情了。            
(4星)	 哎，一龙双凤的悲剧。三角恋什么的最无奈了。不过如今再来看TVB的这些个武侠剧，发现气场太弱了点，群众演员这么少，怎么看怎么不豪迈么。            
(3星)	 厉胜男什么的只看个过瘾，决计不能自己当。            
(4星)	 不错，虽然男主角的性格太懦弱，但很喜欢女主角的深情！！            
(2星)	 21世纪竟然还能制作这么差的武侠名著，剧情改编得实在太俗套，什么帮派、掌门、武林大会都是无比寒酸。也就是最后一集能看，全剧唯一的亮点就是叶璇的厉胜男了，一跃成为我心中第一妖女~            
(NA)	 只因这是梁羽生的作品            
(3星)	 有点小囧- -            
(5星)	 厉胜男，好教人心疼。            
(4星)	 不错了不错了  居家必备~~~~~~~~~哈哈            
(NA)	 绝对是配音才好看~太灵动的冯友薇            
(4星)	 因为林峰和叶璇才去看的            
(4星)	 因为厉胜男。果断高分。            
(4星)	 厉胜男，“开在绝壁上的凌霄花 ”            
(4星)	 失去才知道失去的是什么            
(4星)	 扣掉一颗因为不可忍空洞女            
(5星)	 胜男胜男厉胜男            
(4星)	 我从来都不会做害你的事情，可惜你从来都不明白，现在我要走了，你明白了没有？             
(4星)	 每次看结局都会哭，呜呜，很喜欢林峰跟叶璇这对银幕情侣！            
(5星)	 林某人的戏我竟然最喜欢这部，真是匪夷所思            
(4星)	 喜欢叶璇的厉胜男            
(3星)	 唏嘘扼腕的感情            
(5星)	 还是小说出彩            
(4星)	 看过            
(5星)	 又一次在大半夜涕泪纵横……我找虐地又看了一次结局……            
(5星)	 不知道为甚么。最后厉胜男死的时候我哭了            
(3星)	 结局不错 叶璇演的挺好             
(5星)	 好多好多感动的场面。            
(4星)	 厉胜男！！！            
(2星)	 我从来不会做伤害你的事。。。。            
(4星)	 我最爱的厉胜男，看，多漂亮啊            
(NA)	 当年的爱呀，纠结的三角恋            
(4星)	 或许总是要等到失去才会珍惜            
(4星)	 女二号很丑，林峰造型很囧。。。。            
(5星)	 好喜欢叶璇。            
(NA)	 因此不喜歡李彩樺……一直……            
(3星)	 从这一部开始喜欢他们两个的。            
(3星)	 不记得类~~~            
(5星)	 如果你喜欢TVB，喜欢林峰叶璇，就一定要看，太灵了            
(4星)	 哈哈，雖然有點老了。。那個時候少爺還很青澀啊            
(4星)	 就因为那倒数两集给四星，前面的加起来全部连两星都不值。世遗给胜男的耳光还历历在目。胜男的怨和让你后悔的气话。最后都幻化成白纱上的血滴，那么清丽和凄美。他到最后都没有说出我爱你，一句又下雪了，如同初见之夜，“不如我们……”始终是观众心中的悬案。“世遗哥，我说话我不会做对不起你的事”            
(5星)	 巨好看……            
(3星)	 只有爱与被爱            
(5星)	 今天有一次重温这部片子，真的很喜欢当年的林峰和叶璇，可惜两人最终还是……有些人有些事，当我们时隔多年，再次蓦然回首时，会发现其实早已物是人……            
(5星)	 厉胜男，我爱她            
(NA)	 喜欢上了叶璇。            
(4星)	 叶璇想当年也是很喜欢的            
(3星)	 金世遗，厉胜男...一双可怜人....            
(3星)	 结局太虐了，总让人心有戚戚。但我客观地讲，其实金世遗没有深爱她吧，因一个人的死而催生出的感情总是很复杂的。人长大了，总算懂得分辨，只能说李彩桦演得太木了。            
(5星)	 那，你好好记住了，我叫厉胜男            
(4星)	 峰璇迷心中永远的经典。小成本的制作，粗糙的剧情，却成全了一代人心中的峰璇。            
(5星)	 经典            
(3星)	 就是不喜欢叶璇 。。。李彩桦也没多待见。。。林峰也不太有感觉。。。（那你看个P）            
(3星)	 李彩桦的表情好单一            
(5星)	 结局看了四五遍。只恨，已惘然            
(3星)	 喜欢叶璇            
(4星)	 记得厉胜男死的那段。。。            
(5星)	 重温强迫症            
(5星)	 这是我心目中林峰最好的剧！林峰+叶璇=perfect couple            
(5星)	 很喜欢里面的主题曲，好听。喜欢叶璇的扮相，虽然林峰的五官不是很精致，不过似乎很适合演这类角色            
(3星)	 中规中矩！            
(3星)	 叶璇的厉胜男赞啊，演温青青也很不错的。            
(5星)	 为什么不能在一起            
(4星)	 虽然不是一直很精彩，   但是结局很好。。            
(3星)	 有点粗制滥造，剧情都错了            
(4星)	 其实我过了很久才反应过来那个是林峰……小时候看的时候完全不觉得……说来这算是林峰和叶璇的另一个合作吧，……可惜结局又是悲的……            
(4星)	 揪心。            
(4星)	 最爱厉胜男。            
(5星)	 不能在一起太可惜了。            
(5星)	 林峰、叶璇，大爱啊~~很讨厌李彩桦，也不知道为什么            
(5星)	 觉得叶璇一角，很让人记忆深刻            
(5星)	 因为没人可以伤害金世遗。。。——厉胜男（很欣赏胜男，也为她不值）            
(3星)	 虽然极力撇清，但是还是受书的影响，有些实在太离谱了，比如曹锦儿和姬晓风这对，太雷人了~~电视剧中的厉胜男少了一份烈性与决绝，多了一份执着和小儿女情态~~人就是这样，失去之后才知道对自己有多么重要，不懂得珍惜……            
(4星)	 一直在想，如果当初他们就一直待在岛上，不要再回中原了，是否结局会改变。。也许会也许不会，不过那已经不重要了。起码最后金世遗知道了自己是爱她的，以她的生命为代价。            
(4星)	 最爱峰璇.            
(3星)	 只有一个看点，那就是厉胜男对金世遗的一往情深，其表情和语言比较到位。其他人的表演都很一般。            
(5星)	 結局有點悲~            
(4星)	 林峰~            
(5星)	 又看了一遍，还是为结局掉泪。            
(4星)	 悲剧人物往往以凄美的方式让人难忘！喜欢厉胜男的爱憎分明，但又发自内心地心疼这样的女子！可叹金世遗的糊涂，他始终选择的是辜负！            
(4星)	 现在看到结局仍会哭            
(4星)	 为了一个不爱你的人，牺牲这么多，值得么？            
(4星)	 即使是为了最后的白纱红唇。。。            
(4星)	 一直都忘不了叶璇死时的场景，唉            
(5星)	 好遥远的回忆，这好像是第一部租了带子来看的电视剧，那时候跟哥哥一起看，然后饭都是端上去吃的，然后哥哥就被妈妈骂了顿，hoho 不过那时候还不知道林峰，只是觉得男主角很帅，女主角很漂亮~            
(5星)	 厉胜男太让我心疼了            
(4星)	 冲厉胜男给的分            
(3星)	 当年为了林峰叶璇看的。李彩桦的烂演技铭记于心。还记得结尾是叶璇逼林峰结婚，然后死在她怀里，想起他们认识的场景。那时候哭惨了            
(NA)	 我的最爱：赵敏&amp;厉胜男            
(5星)	 今世遗，再生缘。绝对是看一次哭一次啊！！！金世遗你个扑街! T-T 妖女我们爱你!!!              
(5星)	 因着叶璇的胜男，便唤之为经典吧            
(5星)	 胜男死的好掺            
(3星)	 叶璇 叶璇 厉胜男 厉胜男结局 结局            
(5星)	 失去的是以为不爱的至爱             
(5星)	 厉胜男让这部戏有了看头~ 结局很有美感 女主角这样死去，对得起这个角色。            
(4星)	 不懂得珍惜的男人不是好男人             
(5星)	 可惜有情人没能终成眷属……            
(4星)	 我看过的为数不多的古装片。小学看的，看到厉胜男死了、我哭了TOT            
(NA)	 我还记得很多年前一个年三十的夜晚~~~··全家人一起在庆祝，我刚好看到结局，一个人躲在一边眼泪刷刷滴流啊            
(4星)	 结局很纠结啊··            
(4星)	 就喜欢那个结局。。美的凄惨。爱死了            
(4星)	 其实 也不知道这部电视剧到底好不好 只是和她们一样 喜欢那个如飞飞般的厉胜男 同情者她的结局 她只是想有个家 和金世遗一起            
(5星)	 还是喜欢叶璇+林峰的搭配，绝配！至于李彩桦，忽略不计就行。            
(5星)	 此情可待成追忆，只是当时已惘然。            
(4星)	 喜欢林峰的最后一部戏。爱厉胜男。            
(NA)	 情太深，像小时候的电视剧《仙侣奇缘》。遇上这样的女的，男的走不开。            
(3星)	 多喜欢李彩桦的。            
(3星)	 比小说好一些，总体还是一般            
(4星)	 林峰和叶璇真配啊！            
(4星)	 太讨厌谷之华了            
(3星)	 衣服太笨重            
(4星)	 结局不错            
(3星)	 超级不喜欢谷之华，不过蛮喜欢她师姐的，叶璇最后居然死了，伤心            
(3星)	 那阵子，朋友很喜欢林峰。。。            
(NA)	 灰常灰常期待能有时间看，早点下完~~~峰璇不灭~~~~~~~~其实李彩桦也不错啦~~ 恩，哭死了。。            
(NA)	 峰璇绝配的绝唱，还是悲剧。            
(NA)	 看的时候心疼胜男的要死。            
(3星)	 为了林峰和叶璇这一对而看的...            
(4星)	 最近在重看            
