http://movie.douban.com/subject/2246583/	苍天有泪
(3星)	 蒋勤勤。            
(3星)	 女主角超美~            
(NA)	 小学哈哈            
(3星)	 在我妈占着遥控器的情况下被迫看的            
(4星)	 那时候就是琼瑶女主角儿            
(NA)	 蒋勤勤好美啊~            
(4星)	 水灵灵的蒋勤勤 书卷气的庹宗华            
(3星)	 邓婕其实和刘德凯蛮般配的，哈哈            
(NA)	 水灵灵的大眼睛            
(4星)	 小时候特别喜欢，觉得这就是男才女貌啊！！            
(NA)	 当时觉得庹宗华长得像王学兵----苦情戏帅哥系列。            
(4星)	 还蛮好看的……陈昭荣            
(NA)	 曾经看了无数遍。            
(5星)	 8错。            
(3星)	 水灵真的很惊艳！            
(NA)	 那是很小很小的时候了。            
(4星)	 第一次见到蒋勤勤，那时她在演员列表里是“水灵”，当时就想，人如其名呐。            
(NA)	 真的看过啊。。。            
(4星)	 还记得之后电视台就播了《还珠格格》。我妈让我看还珠时我还问：“有《苍天有泪》好看吗？”            
(3星)	 幻想中的两个姐妹，姐姐跟个仙女儿似的，妹妹就是泼辣漂亮            
(5星)	 蒋勤勤在里边太漂亮了!!!!!            
(5星)	 美丽的回忆。            
(3星)	 当时觉得蒋勤勤好漂亮！~            
(4星)	 我好喜欢朱茵和阿超的组合。可爱的很            
(4星)	 彼时蒋勤勤美啊，朱茵烈啊，庹宗华的“苏慕白”都不那么矫情啊，焦恩俊演坏人都这么帅啊！            
(4星)	 小时候跟爸妈一块看的呢。喜欢。            
(3星)	 只因有蒋勤勤            
(4星)	 云翔本质不坏            
(3星)	 那时觉得蒋勤勤太好看了~ 恩，我喜欢庹宗华。            
(3星)	 小时候爱看，和老妈一起看            
(4星)	 好像很爱过。。            
(5星)	  蒋勤勤 漂亮哦~            
(3星)	 从这部剧认识蒋勤勤            
(5星)	 记得暑假和发小在她家看的。。一天播好几集            
(NA)	 曾经言情            
(4星)	 一样的爱恨情仇，更靓丽的阵容。            
(4星)	 这里面蒋勤勤很美啊~ 片头曲很好听 “你抱着记忆不肯放 从不理会别人笑你的傻”            
(5星)	 当时觉得蒋勤勤惊为天人            
(5星)	 惊艳的蒋勤勤和朱茵            
(5星)	 她们的歌曲实在太美了            
(NA)	 蒋勤勤呀么蒋勤勤！            
(5星)	 最最最好看。比《还珠》还好看...            
(4星)	 只看美人也值4星星            
(5星)	 演员都很专业 很到位            
(NA)	 雨凤 雨娟            
(3星)	 啊。。。。我还是蛮喜欢这个的呀~            
(4星)	 在我家乡拍的，水灵真水灵            
(5星)	 当时很喜欢朱茵的角色呀            
(NA)	 我喜欢 女猪脚真是美啊            
(5星)	 这多好的片呀~            
(3星)	 喜欢的...蒋勤勤美到极致...            
(4星)	 小时候看的,那时电台经常有放,觉得还不错,其实那会儿一点也不喜欢庹宗华演得云飞.            
(3星)	 1998            
(NA)	 蒋勤勤太能哭了，难怪琼瑶称她作水灵，含水丰富呀            
(4星)	 三俗下。。小学毕业那年看的~~~喜欢里面所有的主题曲            
(4星)	 我一向喜欢文雅的蒋勤勤。            
(3星)	 我小时候看的了 其实吧 挺好看的 蒋勤勤真的挺水灵的 那时候还总爱问人 你喜欢姐姐还是妹妹-  -            
(3星)	 光看女孩就够了            
(5星)	 不记得第几次温故了 每次都是有泪水有欢笑 有爱的地方就是天堂 幻想天堂的样子也会是种幸福吧            
(5星)	 就是很喜欢！！            
(4星)	 蒋勤勤那时还叫水灵呢。            
(4星)	 小时候觉得 朱茵 蒋晴晴 很漂亮啊~~哈哈            
(4星)	 因为蒋勤勤所以给4颗            
(5星)	 那时觉得蒋勤勤真漂亮            
(4星)	 出于对朱茵的喜爱 所以我给四星            
(NA)	 蒋勤勤很美            
(5星)	 当初看到蒋勤勤真是惊艳~~            
(3星)	 好过同期的其他琼瑶片            
(4星)	 美女            
(3星)	 蒋勤勤挺漂亮。            
(2星)	 典型的琼瑶剧            
(NA)	 那时的蒋勤勤惊为天人！            
(NA)	 困砂            
(5星)	 美女赏心悦目            
(4星)	 读书那会儿看得那个则劲啊~~            
(4星)	 少年时候的记忆            
(4星)	 I embarrassed to say that I actually really liked this show, which unfortunately is a typical QiongYao show.            
(4星)	 苍天有泪            
(4星)	 这部剧让我认识了蒋勤勤。她在里面实在太美了。朱茵我也喜歡，但扮相太丫鬟了。。。            
(NA)	 还是很小时候看过，没什么印象了，不过当还蛮深刻的。。。            
(3星)	 水灵真漂亮            
(2星)	 看到琼瑶两个字了吧 囧            
(4星)	 应该是当年的经典电视剧            
(NA)	 我承认我有时候也很无聊系列            
(3星)	 有点忘了剧情了～～            
(4星)	 痛也要痛得刻骨，爱胜在付出            
(3星)	 当时比较纳闷的是原来比较英俊的也会是反派啊？            
(5星)	 当年的心肝肉~~            
(5星)	 这部片子看了3遍以上            
(3星)	 当年的琼瑶剧啊～好爱蒋勤勤！            
(4星)	 焦恩俊的演技真是神乎其神啊            
(4星)	 当时喜欢朱茵多过勤勤，都很漂亮啦~            
(2星)	 舞台腔。蒋勤勤怎么看怎么别扭。弃。            
(3星)	 这部琼瑶剧可以看看            
(4星)	 琼瑶以前眼光真的不错的             
(4星)	 第一次看见蒋勤勤，惊艳的感觉            
(3星)	 云翔~~            
(NA)	 哇~~跟我妈看的。。            
(4星)	 焦恩俊第一次扮演反派吧 真是坏啊 但是整部剧就他最帅 没办法……            
(3星)	 不找不知道自己也受过琼瑶如此多的荼毒。            
(4星)	 不喜欢焦恩俊，为看朱茵。            
(4星)	 童年回忆啊。            
(3星)	 天哪，高中看的莫名剧            
(3星)	 忘了内容，记得朱茵的笑颜。小学琼瑶的启蒙            
(4星)	 我表示有点狗血            
(4星)	 那时候超级喜欢朱茵啊            
(5星)	 当年觉得好好看            
(5星)	 焦恩俊很俊啊            
(3星)	 那时候，朱茵还不是紫霞仙子，像个假小子一样跟在蒋勤勤身后；而蒋勤勤，真的是出水芙蓉一般清新的存在。焦恩俊还没有被小李飞刀里的泡面头糟蹋，是帅到一塌糊涂的风流公子，只有庹宗华，万年不变一张沧桑的脸...            
(3星)	None
(5星)	 那个叫水灵的蒋勤勤，美的让人惊艳            
(NA)	 那时候的电视剧真好看~            
(3星)	 我当时觉得朱茵比较美现在还是觉得朱茵比较惊艳那种，至少这戏里是这样。而且我三观不正的觉得她和焦恩俊演的坏人在一起才是最和谐的。            
(3星)	 喜欢展云翔……            
(4星)	 养眼！！！蒋勤勤啊            
(NA)	 焦恩俊和朱茵挺配的~改邪归正吧啊啊啊啊啊~~            
(4星)	 那个时候的朱茵就很美丽~可是蒋勤勤在她面前完全是仙女~~~~            
(3星)	 那时候经验的蒋勤勤，连朱茵都被比下去了            
(4星)	None
(4星)	 感觉就芒果台播过一遍啊            
(5星)	 两姐妹真的是好看到爆。。但是男主角就不咋的了            
(4星)	 貌似没有看完，但是所有的卡司都好貌美.....我是在是太外贸协会了            
(4星)	 柔情似水            
(4星)	 应该没几个人看过 真不错的片子            
(4星)	 蒋勤勤 和 朱茵那会太美了。。            
(5星)	 朱茵怎么那么美！！！蒋勤勤怎么那么美！！！娘的。。。现在什么乱七八糟杨幂啊什么的。。。哪里比得上这两个老牌美人！！！后来那个苏慕白哪里去了。。。            
(NA)	 蒋勤勤惊为天人的            
(3星)	 蒋勤勤和朱茵这对姐妹花美死了美死了美死了。。。            
(3星)	 朱茵那个美            
(3星)	 这个是后来才看的，虽然没有看完。            
(4星)	 超级喜欢他们唱戏的那段            
(3星)	 不用这么苦吧            
(3星)	 初识蒋勤勤的美...            
(4星)	 好久没看蒋勤勤演的东西了            
(5星)	 童年回忆            
(NA)	 这个封面真坑爹。当年焦恩俊演展枭雄很帅有木有。不过最佳配角意思是那个小厮，不过最后能跟朱茵大美女在一起也算是备受宠爱的配角了            
(4星)	None
(4星)	 那个时候的蒋勤勤真是漂亮啊~ 男主丑。。。            
(4星)	 那时候看挺感动，穷摇阿姨一向煽情。噗！            
(3星)	 还是读小学时看的..            
(3星)	 小学时候偶尔跑到同学家看的~~~            
(4星)	 那个时候的蒋勤勤多么仙啊，那个时候的焦恩俊多么俊啊。            
(5星)	 当年看的时候沉迷不可自拔啊~            
(5星)	 矮油豆娘帮我推荐了我当年最痴迷的剧            
(5星)	 跟着哭啊有木有！！！            
(4星)	 后来买的电视原声大碟中有它的主题曲。            
(4星)	 真的还能唱那首歌呢。。～            
(5星)	 “那时候，朱茵还不是紫霞仙子，像个假小子一样跟在蒋勤勤身后；而蒋勤勤，真的是出水芙蓉一般清新的存在。焦恩俊还没有被小李飞刀里的泡面头糟蹋，是帅到一塌糊涂的风流公子，只有庹宗华，万年不变一张沧桑的脸...”引用 @夏木 的评语            
(5星)	 这个真的是，太好看了！            
(NA)	 朱茵超美美美美            
(3星)	 没怎么看内容，就看美女了            
(3星)	 蒋勤勤那时候真的是水灵！            
(4星)	 原来我从小就喜欢雨娟那种烈一点的……            
(4星)	 琼瑶的经典阿            
(4星)	 朱茵真漂亮            
(5星)	 那时的勤勤美得就像从画里走出来的            
(4星)	 两大美女呀～～            
(3星)	 當年確實覺得蔣勤勤很天人。            
(NA)	 比较虐的吧 貌似            
(4星)	 小时候觉得很好看，人美环境美，简直是五颜六色，青山绿水中红男绿女，小时候就喜欢鲜艳            
(5星)	 蒋勤勤惊为天人！            
(4星)	 那时候的焦恩俊多帅多讨厌啊            
(4星)	 焦恩俊你太帅了太坏了……朱茵你太美了，ms有一集你没穿bra就凸点上阵啊————对此印象深刻的要命，真的不是我ws            
(4星)	 焦恩俊，和我马哥一样神一般的存在            
(4星)	 那时候的剧作，现在看了好有回到小时候的感觉~            
(3星)	 惊艳的蒋勤勤            
(4星)	 为了紫霞仙子 多加一颗星吧~说我仍记得那首诗 一花一世界            
(5星)	 “民国八年，桐城溪口”还是很经典啊            
(3星)	 老片了，挺经典的，让我记住了蒋勤勤~             
(3星)	 焦恩俊太坏了。。。            
(4星)	 小时候觉得好好看啊，豆瓣居然连这部剧都有。            
(NA)	 蒋勤勤真是水灵啊~~~~超级喜欢的。展云翔真是坏的我都恨！！            
(4星)	 琼瑶那时候选的妹子都太灵了啊！            
(5星)	 琼瑶剧的主题曲都很好听啊            
(3星)	 见识了焦恩俊的剑眉星目和蒋勤勤的楚楚动人。            
(4星)	 焦恩俊现代装很不像好人啊            
(3星)	 不喜欢里面蒋勤勤和庹宗华的那段 假。。。焦GG演坏人效果很好啊            
(4星)	 主题曲片尾曲都好好哦。            
(4星)	 里面有个熟人哦，哈哈哈            
(4星)	 朱茵好清秀。蒋勤勤好端庄。。。            
(3星)	 年代久远            
(3星)	 你看当年的焦恩俊=。=果然，岁月不饶人             
(NA)	 姐妹花好美，喜欢朱茵            
(4星)	 小时候的片子了，展云翔~            
(5星)	 蒋勤勤最美            
(5星)	 当年我还是个小学生唉。无所谓感觉，但是想想抛下作业去看的行为。窃笑。            
(4星)	 虽然，焦恩俊你是大奸角。。。            
(NA)	 两大美女            
(5星)	 经典！！！！庹宗华！~~~~            
(4星)	None
(4星)	 我很爱这部剧啊！为毛电视台不放了？？还找不到源？？            
(NA)	 蒋勤勤那会儿映衬的朱茵跟村妞一样            
(3星)	 当时是为了朱茵看的，那时琼瑶剧的歌曲都还是不错地！            
(3星)	 小时候总觉得正义的一方才是值得喜欢的，但现在却喜欢一些坏角色了，只要够charming            
(4星)	 那会儿蒋勤勤叫水灵，真tm水灵好看！朱茵也清纯美丽。琼瑶阿姨喜欢扬州，好多场景在瘦西湖个园何园拍的。亲切            
(4星)	 片头曲1星朱茵1星蒋勤勤1星琼瑶1星。            
(4星)	 小时候喜欢死了            
(5星)	 那时候的人儿真美。            
(3星)	 蒋勤勤 美到不可言喻            
(4星)	 蒋勤勤美死了啊。。。            
(4星)	 蒋勤勤真是美            
(4星)	 经典琼瑶剧，好看，80后的回忆            
(4星)	 小时候每集必看的电视剧~~虽然弟弟坏得要命却又很喜欢~~~对蒋勤勤和朱茵也很是喜欢~            
(NA)	 木有信号只能看一个台的日子            
(4星)	 蔣勤勤美的巔峰！但還是比朱茵稍遜一籌！朱茵年輕時簡直就是小妖精啊~啊啊啊！我看此劇的時候一直希望展雲翔&amp;蕭雨娟能在一起！我太壞了有木有！            
(NA)	 年少的回忆            
(5星)	 小时候最喜欢看的            
(5星)	 经典经典！            
(NA)	 当年婴儿肥很美的 现在这是什么审美标准呐~            
(4星)	 真的好喜欢好喜欢这部剧            
(4星)	 焦恩俊好急吼吼的感觉，演出了个坏少爷的感觉            
(4星)	 我喜欢坏蛋老二~~            
(4星)	 焦恩俊那时要多红有多红啊。我那时有多么爱朱茵啊。            
(NA)	None
(4星)	 蒋勤勤太美了啊太美了啊            
(2星)	 为什么不是焦恩俊演大少爷呢            
(4星)	 老大的死人脸啊~~受不了~~            
(4星)	 老片子 不错            
(5星)	 绝对经典。            
(4星)	 美女帅哥多啊～～～不过就是不喜欢琼瑶剧。。。            
(5星)	 勤勤在里面真是太美了！            
(NA)	 小时候当黄片看来着            
(3星)	 音乐很好听内，小时候很喜欢            
(3星)	 小时候和奶奶的记忆            
(4星)	 小时候的印象很好 那时候觉得朱茵和蒋勤勤是仙女来着            
(NA)	 记得有两姐妹            
(4星)	 当年就那么喜欢坏男人哦。一直希望朱茵演的雨娟能够和焦恩俊演的坏人在一起。羞愧。。。。            
(3星)	 早忘了讲什么。。大概很悲情吧。。            
(3星)	 那时候一直觉得蒋勤勤比朱茵好看 喜欢哥哥烦极了弟弟 那时阿姐还跟我说 其实朱茵卸了妆比蒋勤勤好看多了神马的            
(3星)	 坏人总是那么坏，好人总是那么好。            
(3星)	 童年            
(5星)	 1.焦恩俊演坏男人更有味道；2.第一部认识勤勤的戏，相当喜欢；3.很喜欢老二的个性；4.里头几个角色各有各的特色，很经典耐看的琼瑶剧；            
(3星)	 让我妈强迫着看的            
(5星)	 好漂亮的两个美女~            
(4星)	 焦恩俊那时颠覆了我心中的反派，被他调戏的那位姐姐好福气~            
(5星)	 稀饭。            
(5星)	 其实还是蛮经典的            
(4星)	 很小的时候看的 印象很深 有朱茵和蒋勤勤            
(3星)	 只记得片尾曲、片头曲很不错啊            
(NA)	 实在久远了。            
(NA)	 主角全是帅哥美女啊，绝对是小时候看过的剧里最养眼的了~            
(4星)	 怀念            
(3星)	 小学记忆。开始觉得蒋勤勤长得真端正            
(4星)	 俊男美女很赏心悦目的电视剧            
(NA)	 困砂            
(4星)	 才发现是焦恩俊。。。。小时候超爱初中还特地买过最后一卷感觉从小在姐姐们的环境下柔弱的我很喜欢琼瑶大婶以前的风格现在觉得做作了            
(5星)	 蒋勤勤年轻时可真美。            
(3星)	 男主坏啊            
(4星)	 焦恩俊当时演的坏人很可恶，但是也很帅啊。朱茵当年真是年轻貌美            
(4星)	 剧情都健忘了……但是仍有印象~漂亮的蒋勤勤            
(4星)	 前两天 还陪 妈妈看过= =            
(NA)	 老妈喜欢的 上学时期 经常被拉着一起看            
(4星)	 当年看的时候觉得蒋勤勤好漂亮的说            
(3星)	 蒋勤勤，惊艳啊            
(5星)	 蒋勤勤 朱茵 都是美女啊            
(4星)	 小时候可欢喜看辣！            
(NA)	 小时候看的。。            
(4星)	 絕對的煽情 當時很喜歡阿超和雨娟~~            
(4星)	 朱茵可美了。            
(4星)	 那时候念小学            
(NA)	 琼瑶剧啊！！记忆中童年看过的有尺度的剧啊！！今天突然看到青海卫视在放啊！！-w-            
(3星)	 很多年前看的, 看到蒋勤勤简直惊为天人, 美啊!            
(5星)	 经典！演员阵容尼玛太强大了~~~            
(4星)	 第一次看到蒋勤勤，当时觉得她好漂亮啊            
(NA)	 好看！            
(4星)	 强暴戏太多……结尾大圣母            
(3星)	 当年的水灵可真是水灵，我见尤怜。小李飞刀演坏人也这么帅啊，还是喜欢后来云飞演特战先锋的军人样            
(4星)	 过了很久才想起来那里面当初我最爱的女二原来是朱茵。。。不过当时蒋勤勤真的很惊艳啊。。。            
(4星)	 当年维也纳演出回来倒时差时候看的。。。            
(3星)	 貌似焦恩俊演的坏人~            
(4星)	 里面两位大美女着实让我惊艳            
(4星)	 剧情很虐啊，火烧房子那段快哭了~~苦情戏啊。。            
(3星)	 朱茵漂亮~~            
(5星)	 蒋勤勤真是倾国倾城            
(4星)	 焦恩俊当年演的展夜枭啊，朱茵那是时候叫一个美            
(4星)	 剧情不错呢...            
(4星)	 片尾曲很好听            
(NA)	 琼瑶剧都是一个德性主人公爱的死去话来蒋勤勤年轻时候很漂亮的            
(5星)	 哇哦~·            
(4星)	 我爱的是庹宗华的随从            
(4星)	 我说对焦恩俊没啥好印象呢……            
(4星)	 哎为毛毛我那么喜欢展云飞啊。。。            
(5星)	 為著我的童年 那一眼的驚艷阿! 水靈實在太美            
(4星)	 庹宗华真嗲呀            
(NA)	 原来…………琼瑶阿姨是我儿时的偶像………………            
(4星)	 当时的蒋勤勤还婴儿肥说~            
(4星)	 娇滴滴的美人儿            
(3星)	 姥姥很喜欢看……            
(4星)	 觉得男主看着就有书卷气...            
(4星)	 我觉得朱茵更美。            
(4星)	 我几岁的时候看的来着0-0            
(4星)	 从此部片认识朱茵。。。            
(5星)	 蒋勤勤真是老漂亮了！朱茵也很美 两个人不同类型的 都没有影响到对方的美 焦恩俊太坏了太坏了 小时候真是看到他就恨得牙痒痒            
(NA)	 噗            
(2星)	 继续用生命在演戏！！            
(4星)	 小时候和老妈边看边哭            
(4星)	 我是来看女猪脚的 +1 = =             
(4星)	 哇，只记得朱茵，小四小五!还有男主角进医院很多人一起点蜡烛祈祷            
(3星)	 忘了结局了，琼瑶戏            
(4星)	 N年前看了的，从头到尾基本就一悲字了得，琼瑶笔下的内容呐，不惹出点儿泪水才怪。剧终也算是苦尽甘来啦。            
(3星)	 那时候蒋勤勤还蛮漂亮的            
(4星)	 还好 琼瑶式影响了我们这一代哦            
(3星)	 蒋勤勤，那可是小时候的女神。只是，其实不是很喜欢琼瑶阿姨的年代戏，实在狗血！！            
(5星)	 还记得有一幕雨凤和云飞吻成360度 并且我一直觉得阿超很帅            
(4星)	 重温一下~            
(2星)	 可怜的弟弟啊。            
(3星)	 前两天在电视上重看了一遍。蒋勤勤在这里真好看            
(4星)	 圣母+小辣椒模式的两姐妹，琼瑶奶奶真是鼻祖= =男一实在卖相不好            
(4星)	 我多希望雨鹃和云翔是一对儿。。。            
(4星)	 记得好像小时候挺喜欢看来着，那个展云翔特别坏来是吧？还有那个女的叫什么来着怀孕孩子没了成疯子了。            
(3星)	 蒋勤勤那个时候太水灵了～            
(3星)	 当时还不知道焦恩俊这么个帅 还不知道朱茵这么个假小子             
(3星)	 琼瑶奶奶。。。            
