http://movie.douban.com/subject/2287866/	庙街妈兄弟
(4星)	 李克勤如厕时候唱的那几句歌，超级搞鬼`            
(3星)	 那时年少各种剧~            
(4星)	 李克勤+梁汉文            
(4星)	 我一直以为李克勤是男主角诶            
(3星)	 李克勤。。。- -.            
(3星)	 就记得李克勤和梁文            
(3星)	 回忆啊。。N多年前的片子了            
(3星)	 这片子我也被迫重看了好几次。            
(3星)	 不好看,很闷.            
(3星)	 一般            
(NA)	 那时觉得梁汉文好帅（¯﹃¯）            
(3星)	 真的看了好多港剧啊            
(3星)	 虎头蛇尾            
(4星)	 李克勤X梁汉文            
(5星)	 梁汉文不是专门唱TVB歌的嘛 李克勤 在里面太赞了            
(3星)	 想吃蛋挞            
(3星)	 此剧认识了叶璇            
(4星)	 梁汉文的角色很真实            
(4星)	 其实我不记得ending了，不过我记得李克勤其实演得不错。。            
(4星)	 记得大结局的时候家里停电了，和姐，佳丽讨论最后会怎样。但最终结局仍旧没有补上            
(3星)	 叶璇。            
(3星)	 好像没看完。            
(4星)	 这又是因为李克勤。            
(3星)	 喜欢李克勤。            
(4星)	 好看好看~！            
(4星)	 温情感人！            
(4星)	 懂不懂粤语啊！是“庙街孖兄弟”！            
(NA)	 因为小时候的走散张大了就有不同的命运，不知道为什么，看了这部剧有点感动。            
(4星)	 当时十几岁看梁汉文 觉得他真帅 但是李克勤也很出彩            
(5星)	 经典            
(4星)	 再一次想你            
(3星)	 梁汉文。            
(3星)	 不算什么经典片子            
(3星)	 小时候大爱过的片子，看是因为叶璇，然后梁汉文很帅，最囧的是自此才认识的李克勤。。            
(3星)	 好老的剧了 两兄弟共爱一女来着??            
(4星)	 就是这部片子认识了叶璇，片子情节很老套。            
(5星)	 李克勤很难得拍电视剧啊。。。。            
(NA)	 只记得李克勤和叶璇            
(4星)	 当年很喜欢看港剧，当年追着看。这部看的是国语版的。            
(3星)	 小作品里还算好看。            
(2星)	 慢腾腾啊慢腾腾            
(4星)	 唔多锺意叶璇，反而好锺意钟丽淇…… 克勤真系TVB契仔啊。不过套剧都唔错            
(NA)	 就因为这个喜欢叶小姐            
(4星)	 就系依出戲鍾意葉旋的。。好看~            
(3星)	 我总觉得李克勤太老了。。。            
(NA)	 果阵为咗叶璇同梁汉文仲係度喊，仲闹埋人地李克勤啊！傻~            
(3星)	 居然十年了            
(5星)	 年代好久远……            
(NA)	 初中中午的时候翡翠有重播呢。            
(4星)	 李克勤很可爱            
(3星)	 有幸认识了，总是为TVB警匪片献唱的梁汉文，马相伐错。叶璇，海马们的嘉年华。只是现在她变味变得很彻底。            
(3星)	 追忆            
(5星)	 第一次看叶璇的戏，后来看了封神榜，觉得庙街里面的叶璇有点莲花的感觉。都是有些傻傻的。觉得这里面的梁汉文很帅。            
(4星)	 哥前哥后三分险            
(5星)	 喜欢叶璇啊            
(4星)	 没能坚持看完，剧情一般，叶璇在里面超级漂亮。现在没有了当年的秀气啊。。。为了李克勤最近重看了，还是挺好看的，里面的感情扑朔迷离啊～～　            
(5星)	 这部片子是我在许多年前看到的，那时的我好像在念小学吧！感觉那里有一个很清纯的女主角，后来才知道那个事叶璇，而且他也不清纯，在看过他的很多条花边新闻之后，觉得，可是她和林峰的搭配那个就是两个字，一个感觉，经典啊……            
(3星)	 印象不深。记住了庙街            
(3星)	 幾舒服嘅輕喜劇            
(3星)	 不懂事儿时候看的，电视放了就看了，当时挺喜欢梁汉文的。            
(3星)	 那时候觉得李克勤好难看，哈哈            
(4星)	 梁汉文和李克勤经常出现在TVB主题歌的片头曲和片尾名单，这次终于男猪脚了            
(3星)	 意想不到的结局            
(5星)	 嗯 这个很喜欢            
(4星)	 阿璇啊            
(4星)	 第一次看到叶璇的片子就是这个 很清纯            
(3星)	 李克人演的廟街爛佬造型很得人驚呀…            
(NA)	 我的命運、再一次想你            
(3星)	 我妈印象最深的港剧之一，每年来香港看我都还要顺道去旺角            
(4星)	 很好听的主题曲，《再一次想你》            
(5星)	 Jacky仔好可爱呢。            
(3星)	 忘記哂            
(NA)	 嗯。。还是喜欢文迪和海马一起            
(3星)	 当时看叶璇就很顺眼            
(3星)	 据说是叶璇刚出道时的作品 形象很清纯啊            
(4星)	 i like  that  when  i was a kid            
(4星)	 哦哟~记得当时看的时候~好同情李克勤的~            
(NA)	 头次知道那就是李克勤            
