http://movie.douban.com/subject/2295809/	醉打金枝
(4星)	 这两个人不知合作了多少次，还算不错了。            
(3星)	 皇帝女不忧嫁！            
(NA)	 你看这部笑剧哭过吗？我哭过，因为一句话。            
(4星)	 欧阳震华和关咏荷的银幕时代。            
(3星)	 怀念            
(4星)	 不錯的輕喜劇啊            
(3星)	 老版但温馨的爱情~            
(4星)	 喜欢他两            
(3星)	 哎，关女角都抱娃娃了            
(4星)	 2002            
(3星)	 女人不可能永远占上风            
(3星)	 对关咏荷和欧阳震华的搭配已经腻了            
(3星)	 以前很喜欢关咏荷            
(3星)	 搞笑的长乐坊            
(4星)	 初中啊初中            
(5星)	 喜欢苏小妹那段。。。。            
(3星)	 关咏荷X欧阳震华的黄金搭档            
(4星)	 记忆中就系哩部开始关咏荷同欧阳震华开始合作无间，好钟意距地搭档啊！            
(5星)	 看到荷姐和欧阳胖胖在一起就觉得乐呵，温馨            
(3星)	 当时可喜欢关咏荷了。觉得可逗了。            
(3星)	 这对欢喜冤家创作了经典组合啊            
(3星)	 补遗            
(4星)	 很有趣啊，小时候看的很来劲的，力挺郭暧            
(3星)	 第一部完整的tvb 舅舅把vcd拿回来给我看的            
(5星)	 小时候多么爱看 现在看都有欲望再去看 魏俊杰那时候真年轻啊            
(4星)	 童年回忆，从这之后TVB慢慢没落            
(NA)	 喜欢这个小胖子 ~            
(4星)	 小时候超爱看的电视剧，周末守在电视剧前看的            
(3星)	 也是记忆中经典的港剧 经典到甚至想不起来了            
(4星)	 我比较喜欢看这种温馨、带点小清新的港式宫廷剧，太虐心的承受不了。            
(NA)	 我真的记得这玩意很好看。。            
(NA)	 这...            
(NA)	 啧 被TVB包了的童年啊            
(NA)	 很经典的一部剧，最喜欢公主逃婚流落民间那段戏。            
(4星)	 中午吃饭必看湖南台~            
(4星)	 欢乐剧            
(4星)	 那时候最喜欢装着自己会唱粤语歌。            
(3星)	 儿时记忆            
(3星)	 奶奶以前很喜欢            
(5星)	 当年特别喜欢看这个  和爸妈一起            
(3星)	 2002年            
(4星)	 像余周周的那样cos过            
(4星)	 当年很爱看~            
(4星)	 每每四大才子的戏，石榴姐总是亮点~            
(NA)	 欢乐。            
(4星)	 曾经的欧阳震华&amp;关咏荷黄金组合             
(3星)	 马吊            
(NA)	 还是小时候            
(NA)	 小時候的記憶啊。。             
(4星)	 。。。。。。。            
(4星)	 可喜欢欧阳震华了            
(5星)	 欧阳震华和关咏荷，经典            
(4星)	  觉得欧阳震华和关咏荷好配~~嘿嘿            
(NA)	 小时候可喜欢看了            
(4星)	 欧阳震华和关咏荷是完美搭档。            
(3星)	 前面还行，后面没得看了            
(4星)	 我有多喜欢bobby和关咏荷的搭配呢            
(3星)	 魏俊杰。。。李白。。。            
(4星)	 不太记得剧情了            
(4星)	 关咏荷的扮相一直挺讨喜的。            
(4星)	 小学的大爱~欧阳加菲和我老认不清她和周慧敏的关咏荷当年真是我心中的绝配。依稀记得这部剧里面的太子很帅~            
(5星)	 很喜欢~            
(4星)	 欧阳震华陪伴我度过了那个难熬的夏天。            
(4星)	 我真的很喜欢关咏荷XXXXD            
(4星)	 胖胖和荷姐            
(4星)	 好看            
(4星)	 小方说：“挺好看的，演的跟不是真的似的。”            
(5星)	 当年看得如痴如醉。我是有多中意关咏荷啊~傅明宪的花雕也不错。            
(4星)	 我爱关咏荷！我爱欧阳震华！            
(4星)	 这部很经典啊~又喜庆~有几件过年都看到这部~            
(3星)	 我是真老了。            
(5星)	 外婆的最爱            
(4星)	 经典剧集，童年的回忆。            
(3星)	 小时候            
(4星)	 前半段十分的精彩，欧阳震华和关咏荷绝对默契十足，非常喜感，加上长乐镇一众可爱的配角            
(4星)	 喜欢关咏荷啊            
(4星)	 爱胖子！            
(3星)	 小时候看滴TVB            
(3星)	 关咏荷很喜欢            
(4星)	 我爱关咏荷            
(4星)	 老片  可爱             
(5星)	  - -            
(5星)	 我跟老妈的最爱之一啊！搞笑又具有回忆。            
(4星)	 小时候看了两遍吧  香港的古装电视剧印象都很深             
(NA)	 这个我挺喜欢的，小学看的吧，貌似是，一直蛮喜欢TVB的古装剧的。            
(4星)	 看过，喜欢，经典。            
(4星)	 看了陀枪师姐来看这个，不为别的喜欢演员和自己很无聊            
(3星)	 那时年少各种剧~            
(3星)	 还好~            
(5星)	 关咏荷 欧阳震华 金牌组合啦~~~            
(3星)	 当年看的很认真的说。            
(4星)	 欧阳震华 关咏荷夫妻档。。            
(5星)	 经典的港剧，关咏荷和欧阳震华的经典搭配高产时期。。真是港剧的巅峰时段啊            
(5星)	 小时候觉得很好看            
(4星)	 看過這些港劇都是拜小的時候喜歡看電視所賜。            
(5星)	 小的时候看的很喜欢            
(3星)	 当年关咏荷和欧阳震华很火的 其实傅明宪才真正漂亮啊            
(5星)	 那时候觉得很好看            
(4星)	 看很多年了啊，很欢乐的一部剧。感觉剧中好多演员好眼熟==            
(4星)	 喜欢关咏荷与欧阳震华这一对。            
(4星)	 欧阳震华镇得住全场！            
(4星)	 也算经典了            
(5星)	 关咏荷和欧阳震华就是经典呀            
(3星)	 神奇的一对儿。            
(5星)	 细节都忘了，但记得很好看。            
(4星)	 我们的小白 和花花的由来 = =            
(3星)	 小时候很爱            
(5星)	 不消说 经典啊            
(5星)	 百看不腻。            
(4星)	 小白和花花 有点抢戏 呢 嘿嘿            
(5星)	 为啥分数 那么低，经典的TVB剧啊，当年笑死我了            
(5星)	 当年觉得这个名字好霸气。。            
(5星)	 很欢乐，很好看。            
(NA)	 我10岁就见过关咏荷 然后我觉得她是克夫脸            
(3星)	 小时候看的            
(NA)	 还是以前的比较好看            
(3星)	 没什么印象            
(5星)	 大爱            
(4星)	 哈哈经典            
(4星)	 很喜欢欧阳正华~~~            
(NA)	 有矛盾也有真情            
(3星)	 我都还记得主题曲。哈哈哈哈。            
(4星)	 很深的记得快活林那一段，小时候总是觉得电视里面一定有好人和坏人之分的，小时候感觉那个什么什么王爷是坏人，又觉得他是好人，哈哈，小时候就好纠结的。            
(4星)	 一直吃瘪的欧阳震华，在那次醉酒后勇猛了一把            
(NA)	 哎呦当年的欧阳震华关咏荷等人，多火啊            
(3星)	 儿时的回忆。            
(4星)	 关咏荷+欧阳震华 荧屏绝配了。            
(3星)	 TVB...小时候看了好多啊            
(5星)	 小时候当连续喜剧看。            
(3星)	 皇帝女唔忧嫁            
(5星)	 不用说又是一对经久不衰的CP组合            
(NA)	 有点忘了            
(5星)	 欧阳胖胖            
(4星)	 欧阳震华和关咏荷真的就是绝配来的            
(5星)	 红极一时的欧阳震华 关咏荷            
(4星)	 郭暧和升平还是很配的。从这时候开始 知道有个可爱的胖子叫欧阳震华。            
(4星)	 当年感动的咧~~            
(NA)	 怀念。            
(3星)	 当年习惯性观赏关咏荷。            
(4星)	 看看人家老版的，线从几集之前就开始铺。新版的真是……还有人家的人物，不雷啊。合理啊。（我没敢说人家港剧……）            
(3星)	 皇帝女木忧嫁。。。            
(4星)	 超级经典，关咏荷估唔到做恶妻都惟妙惟肖吖            
(3星)	 欧阳同学搞笑剧之一。            
(4星)	 欧阳加菲真可爱。            
(NA)	 我就是看着关咏荷和欧阳震华长大的            
(5星)	 典型的吃饱了饭全家一起看的笑哈哈的港剧。欧阳震华你要不要这么贱啊！！！？？            
(4星)	 小时候最爱看了！！当时最喜欢升平公主他们了~~~还有小白那一对~~            
(4星)	 皇上女要出嫁~            
(4星)	 记得那时狂吃辣片儿            
(5星)	 很喜欢啊            
(4星)	 特别早期看过的TVB剧 我欧阳震华就是好            
(NA)	 欧阳震华   早起经典            
(5星)	 气氛很好啊 李白当年好帅啊、、、            
(3星)	 港剧看太多了            
(4星)	 雖然小時候看過不少關詠荷的劇，但我對她其實，真心無感。。= = 以前看這劇的時候喜歡李白花雕那對多點~            
(NA)	 片头曲是神曲好么            
(4星)	 =  = 正值萌关咏荷时            
(4星)	 除了主演的名字记得，剧情一丁点儿也想不起来了。            
(5星)	 这些都是港剧的初级班哦~~            
(5星)	 也是经典了            
(3星)	 小时候 我真是什么都看啊······            
(3星)	 虽然那时布景很假，但是港剧好美好            
(5星)	 很萌这对CP 啊~~~~            
(NA)	 总是看着看着就睡着了            
(5星)	 啥都不说啦。。。全是回忆啊。。            
(3星)	 皇帝女唔忧嫁~~            
(5星)	 经典的TVB，不用说            
(4星)	 欧阳胖胖和荷姐果然是最佳拍档啊，非常有爱搞笑的一对～～　            
(4星)	 还是挺经典的~            
(3星)	 关咏荷和欧阳震华拍的剧不少。            
(5星)	 经典！！！            
(5星)	 爱这两人            
(4星)	 从此认识长乐坊。            
(4星)	 李白!小白!            
(4星)	 儿时记忆啊            
(3星)	 这个好像是我开始明白什么是TVB后看的第一部TVB剧。。。            
(5星)	 升平啊！TVB的剧情太对小时候我的口味了。。            
(4星)	 当时多喜欢看啊，在电视上一集一集追着看，也没间断过            
(3星)	 应该看过吧?            
(4星)	 我还记得他们操练准备夺回公主是唱的歌“身手敏捷似只鹰，打到对手眼kiekie”            
(4星)	 又是欧阳震华和关咏荷            
(NA)	 小学呀，好远了            
(4星)	 就是喜欢欧阳震华            
(NA)	 当年很喜欢他们俩~没想到现实中也是他们俩~            
(3星)	 如果不是因为关咏荷和欧阳震华…………这戏得成什么样呀……            
(4星)	 有趣            
(5星)	 小白小白            
(4星)	 很好            
(4星)	 很好玩啊            
(NA)	 欧阳震华。            
(5星)	 喜欢            
(NA)	 欧阳震华就是让人觉得很亲切            
(3星)	 他俩的经典之作，当时来看还行啦。            
(4星)	 男女主角，他俩绝配，剧情稍微有点胡来吧……            
(3星)	  嗯，典型的TVB劇情，歡喜冤家            
(5星)	 bobby啊~~~~~~稀饭死了。。。            
(NA)	 关咏荷和欧阳搭配很有夫妻相。            
(5星)	 欧阳震华 关咏荷 这对黄金搭档            
(5星)	 小时候很喜欢的···            
(5星)	 不可复制的经典            
(5星)	 剧情不错嘛，我就喜欢看小两口。。。            
(3星)	 回忆过去······            
(NA)	 好早了，那时欧阳震华还很匀称。说不上好看不好看，就那样吧。最后那个场景太搞了，关咏荷傻傻的。            
(3星)	 欧阳震华            
(4星)	 這部戲是97年的..貌似從這裡..迷上歐陽胖胖與荷姐            
(NA)	 记得里面打马吊的事情            
(4星)	 一代经典            
(4星)	 我奶奶爱得不得了            
(4星)	 比后来蔡琳那版强过四条街，都不止！            
(4星)	 非常喜欢的一部剧。            
(4星)	 港剧就没怎么看过。不过欧阳震华不错。            
(4星)	 4个主演我都很喜欢            
(3星)	 儿时心目中的完美爱情~            
(4星)	 TVB的古装喜剧，还是以前的最好看。那么多对荧幕情侣中，其实最喜欢欧阳Bobby和关咏荷 -- 碰在一起必四溅欢乐火花的一对活宝。说起公主，虽然三公主很可爱，但升平公主在我心里大概是略胜一筹。            
(4星)	 小时候我一直觉得关咏荷好好看的。。。            
(4星)	 怎么后来tvb就不见欧阳震华了？            
(4星)	 欧阳震华+关咏荷！嘻            
(4星)	 中意中意~！刁蛮公主~            
(4星)	 记得好好笑。            
(4星)	 喜欢看  挺好玩的            
(3星)	 小时候无敌喜欢··            
(5星)	 欧阳震华             
(4星)	 儿时回忆。。。            
(5星)	 太久了，都快不记得剧情了。。            
(5星)	 升平公主哈哈！            
(4星)	 港剧经典！            
(4星)	 欧阳震华和关咏荷的小吵小闹            
(3星)	 只记得跟金装四大才子的阵容差不多 内容大不如四大才子            
(NA)	 茹果～            
(4星)	 bobby就是质量保证            
(3星)	 持续TVB剧，冲震华叔给个3星。            
(1星)	 看过            
(4星)	 经典啊啊啊            
(4星)	 最爱欧阳和咏荷的黄金搭配了            
(5星)	 看了好几遍……            
(3星)	 喜欢欧阳震华的说            
(3星)	 忘了具体内容了            
(4星)	 欧阳胖子萌。            
(4星)	 我特喜欢欧阳震华            
(4星)	 小白～            
(4星)	 经典组合            
(4星)	 好久以前了            
(3星)	 小時候真的很喜歡這對的好嗎，也算TVB的經典CP了            
(2星)	 有欧阳震华的我都不记得剧情，为什么？            
(3星)	 大团圆结局。            
(4星)	 关咏荷+欧阳震华=我的菜            
(5星)	 你们两个多么般配。            
(4星)	 过年时候看的，挺应景，感觉就是TVB群星贺岁            
(NA)	 因该是受了陀枪师姐的影响，总觉得关咏荷和欧阳震华很配，他们很有情侣范。            
(4星)	 两个活宝啊            
(4星)	 我就喜欢            
(5星)	 为了这对最佳拍档给五星！            
(4星)	 以前很喜欢哈哈            
(3星)	 他们俩简直绝配            
(NA)	 她就是关咏荷啊            
(5星)	 喔，原來花雕酒是李白老婆釀的，哈哈            
(4星)	 好看            
(4星)	 关咏荷与欧阳震华的搭档非常好看            
(3星)	 小时候喜欢关咏荷，欧阳震华这一对～             
(5星)	 好看。            
(4星)	 一度以为刘青云就是欧阳震华            
(3星)	 金牌搭檔。            
(3星)	 只有广东麻将才能搞出无限番啊混蛋！            
(5星)	 某个暑假的最爱            
(NA)	 当初非常喜欢！            
(3星)	 胖子            
(4星)	 特别喜欢关咏荷和欧阳震华这对@Home            
(4星)	 黄金组合            
(3星)	 当年看的很认真的说。            
(3星)	 TVB爱好者必看，尚算搞笑。。            
(4星)	 欧阳震华，关咏荷的配对一定能创经典的。            
(NA)	 欧阳震华的经典作，跟那驸马一打出名一样。。            
(NA)	 关咏荷也~~~还有她的陀枪师姐。。            
(3星)	 凑合！            
(4星)	 很久以前看的啦            
(3星)	 总觉得太长了点……            
(3星)	 一般般            
(NA)	 小时候跟爸妈一起看的            
(3星)	 童年记忆，关泳荷只适合古装            
(4星)	 这个片子小时候蛮喜欢            
(3星)	 以前关咏荷还是演了挺多脍炙人口的电视剧            
(5星)	 那时看的如痴如醉··            
(NA)	 胖胖系列~            
(3星)	 又是一部小时候追着看的片子，大爱欧阳震华和关咏荷的配对~~            
(3星)	 你说这个胖子怎么那么可爱捏捏~~            
(NA)	 我爱他们。            
(3星)	 现在看可能会觉得挺傻的！~当时觉得很好看！~            
(NA)	 回忆。            
(3星)	 三星半            
(NA)	 片头曲真有爱             
(4星)	 欧阳震华关咏荷 有爱的组合。            
(4星)	 当时的关咏荷真不是非一般的红。            
(NA)	 最爱荷姐，哈哈            
(5星)	 搞笑 、开心~~~最喜欢欧阳震华和关咏荷的搭配~~~配到绝啊~~~            
(5星)	 美好的记忆 关咏荷和欧阳震华   欧阳大叔现在残了。。            
(4星)	 这才是我的港剧启蒙            
(4星)	 官配 死胖子and荷姐 俗套 小市民and公主             
(3星)	 结局太狗血了            
(5星)	 太黄金的组合le            
(3星)	 黄金搭档~            
(5星)	 演员都很喜欢啊~            
(4星)	 好老的片子。反正是很欢乐            
(5星)	 bobby × 张太！            
(4星)	 吃龙肉也没有味道，龙肉是神马味道            
(2星)	 不喜欢这种桥段。            
(5星)	 长乐坊经典中的经典。            
(5星)	 我的爱~~~            
(4星)	 小白和花花             
(3星)	 老片的质量总是有保证~            
(4星)	 最近看《公主嫁到》，突然就特别想念这个剧，曾经的我可是看了一遍又一遍都觉得不过瘾的TVB经典。            
(5星)	 很欢喜。            
(3星)	 关咏荷的时代~~~淘气            
(NA)	 好看            
(3星)	 某寒假过年时看的            
(4星)	 欧阳的剧我都蛮喜欢的。尤其是这部剧还有关咏荷~不明白豆瓣为什么给三星的比较多。            
(4星)	 不禁想说那些年岁受TVB的熏陶是有多马多马深啊            
(5星)	 是陀枪师姐后看的又一部很乐的片啊那个时候 关咏荷真是好红啊            
(4星)	 有段时间一直重播来的  我觉得是没办法超越的东西  关咏荷真的不错    整部剧看过去几乎都是一个感觉 爽  不过呢 后面有点狗血就是            
(3星)	 某个年龄段内的经典港剧            
(3星)	 沒啥印象了            
(2星)	 剧情记不得..            
(4星)	 喜欢欧阳震华和关咏荷            
(3星)	 没印象了。。            
(4星)	 按当时的想法来评            
(2星)	 又是经典的小生和娥姐的喜剧片。男女都不是我的菜。            
(4星)	 很欢乐~            
(4星)	 关咏荷 欧阳震华  超搭的！            
(5星)	 片头曲超爱!            
(3星)	 内地重拍的实在没兴趣看            
(4星)	 Bobby同关咏荷噶情侣档其实早于《陀枪师姐》开始。睇过旧版噶就知道张家辉噶新版实在系╮(╯▽╰)╭（虽然我都好锺意家辉哥你）。不过我记得最深刻噶，反而系郭暖父母噶一段感情令我唏嘘            
(NA)	 好看！            
(3星)	 公主与草根的故事。            
(4星)	 喜欢关咏菏            
(4星)	 看过好多遍。            
(4星)	 以前的比較經典！喜欢欧阳震华和关咏荷搭配。。            
(5星)	 我怎么发现  我小时候看的 电视 ，我都那么推崇呢~ 对那个李白还是文征明抛弃妻子的印象还挺深.哎            
(4星)	 反正是以前TVB 的经典            
(4星)	 关咏荷+欧阳震华=经典            
(3星)	 回忆            
(4星)	 最经典的一版            
(3星)	 小胖和荷姐是最佳拍档            
(4星)	 升平公主，郭暧            
(4星)	 很喜欢欧阳            
(4星)	 虽然普遍不太喜欢看古装片，但是这部算比较经典吧，而且很喜欢欧阳震华···            
(3星)	 老片子不过还凑合            
(3星)	 欧阳震华啊。。。。            
(4星)	 荷姐姐的老片还是很好看的            
(3星)	 婚后的戏果然都是沉闷。。。            
(NA)	 还是在电视上看的呢            
(2星)	 就是个喜剧            
(3星)	 那时候多喜欢欧阳震华，对港剧还是充满热血。            
(4星)	 喜欢他们的搭配。            
(4星)	 有一段时间都是欧阳震华和关咏荷搭档的，逢此荧幕情侣搭档的电视剧我貌似都有看            
(4星)	 古装中搞笑经典            
(5星)	 经典！！            
(5星)	 超爱欧阳震华            
(5星)	 喜欢~~关咏荷~~            
(4星)	 小时候那个乐呵啊。            
