http://movie.douban.com/subject/3933008/	美人心计
(4星)	 刘盈这男人太好了。小张嫣是萌点。            
(2星)	 窦同学不知道是总受还是总攻了……另外实在无法忍受bug！！！！            
(NA)	 后宫争斗是我的菜…            
(4星)	 我的四星是为雪鸢和青宁而评            
(4星)	 今天看到雪鸢去了。她比灵犀更坚韧。            
(4星)	 庞大的演员阵容，华丽的汉服，配音也是近年古装偶像剧中比较出彩的了。剧情和台词虽有不少的bug，但剧情也够迷惑人，皇帝们个个是情种，再加上这么些个聪明又善良的女人，谁会不喜欢呢。P.S.最遗憾和心疼的是雪鸢和周亚夫，最佩服的是刘盈，最羡慕的是刘章和吕鱼！千万别和正史比对，惨不忍睹            
(4星)	 看啊看的也看出感情了…雪鳶…最大的問題還是溝通不暢…情有獨鐘之在獨…雷萌共長天一色…            
(4星)	 惊闻我们家茅学长在这部剧里演刘彻，额，就40集末几分钟露脸了下，小弱版的黄晓明，没前途啊，额，貌似他毕业后才成了我们学校的校草，悲剧啊。狠狠地被第一集末少康君的出场惊艳了，叫我想起小太平初次看到薛邵，当然，少康浑身散发的是张易之的妖异神采。            
(4星)	 这空荡荡的椒房殿，我什么都没有，只有你。            
(5星)	 刘章和小鱼儿大萌！！！！            
(3星)	 编剧欠缺火候。刚开始还行。汉服很好看。            
(4星)	 1，历史胡扯了些，但剧情跌宕有些看头 2，男众们竟几乎都是我定义帅的标准内实属罕见，女众们个个是古装美女很养眼 3，从网络的深渊拉回电视机的剧 4，久未看有坏人的剧了，好几段真的非常想砸电视机            
(4星)	 美女如云，观众看的不是勾心斗角而是华丽的汉服和大牌明星跑龙套……规律就是越出名死得越快……比如严宽            
(3星)	 日暮漢宮傳蠟燭 輕煙散入五侯家  竇長君昰最失敗的感情家 主宰天下卻無法主宰心愛人的心 得到天下又怎樣 他和漪房的關係從來不會因為他的努力而把彼此的世界聯通起來            
(5星)	 好多华丽丽的酱油啊            
(5星)	 年岁渐长，我已愿意宽容自己的任性，不眠不休地追完美人心计，也能够坦然面对内心的柔软感觉。从半路看起，被带着面具舞蹈的刘盈秒杀，再从头追来，大爱刘恒，不深情不足以知爱之醇厚，不担当不足以与你携手前行。            
(4星)	 又一部伴我度过无聊时光的电视剧。。硬伤什么的就不说啦，没太高要求。。倒是那个刘盈，差点没让我哭死。。            
(NA)	 宽哥第一集千娇百媚的出场 第二集就挂了...为了宽哥 我忍了前两集所有完全经不住逻辑考验的戏份哦也 只看了两集 不看了 拜托有点技术含量吧...            
(4星)	 愿得一人心，白首不相离。            
(5星)	 超级超级超级喜欢刘盈，他说，因为爱，所以在不能保护你之前绝不伤害~~            
(3星)	 为酱油筒子严宽而来 可惜你出现的时间太短太短啦 剧情真白痴真白痴真白痴 最喜欢雪鸢和亚夫这一对            
(4星)	 两个通宵看着，一开始是奔着美人们去的，想不到后来还是动了心哭起来。一看其他评论，才意识到原作竟是我看过的。整个大学的女生都拿着古装穿越书的时候，我死在电脑前看KK。不过说起来，这本书也是一个通宵看完，稀里哗啦哭过。女主何等福分，一生一世一双人。“此生永不相问”光一句话，就是一辈子            
(5星)	 不打满分，枉我等它半年。我拿江山换她。我图你一生不蹙眉。            
(5星)	 看完了看完了~ 笑，美女很养眼呢            
(4星)	 芳心向春尽，所得是沾衣。            
(NA)	 美女如云，死人无数。            
(4星)	 愿得一心人 白首不相离            
(NA)	 蹲在医院打针无聊的时候……看的……            
(4星)	 最初的那一眼，最缠绵。擦肩而过的，岂止誓言。温柔体贴等着，我的脸，忘记了左右的时间。            
(4星)	 最心痛的就是雪鸢的死 一个可怜的女子 爱上固执的他 服侍于忠诚的她 她为了不让自己重要的人为难 香消玉殒            
(4星)	 由爱故生忧，由爱故生怖，若离于爱者，无忧亦无怖。            
(4星)	 刘盈和雪鸢都死了 崩溃 揪心那！            
(4星)	 把人心看得透透的 或许会觉得太绝望。因果终有报 心计得来的 最后都会物归原主。林心如真的很娃娃脸 到老年了 还是觉得好年轻啊 和孙子谈恋爱样子都看着差不多。            
(4星)	 待千帆尽过，万般滋味从何说。。。            
(4星)	 刘盈啊刘盈，雪鸢啊雪鸢……太让人揪心了！            
(5星)	 身处劣势 如何不攻心计。            
(4星)	 配角阵容很好很强大。。。严宽为什么出现这么短就88了？？？            
(5星)	 为了幂幂。            
(5星)	 喜欢张嫣，幼年版的也很喜欢，好可爱啊。            
(4星)	 任凭弱水三千，我只等你。。            
(4星)	 啊，严宽筒子乃实在是太妖孽了！！            
(4星)	 史上最销魂的嫖客-严宽，可惜只是打了个酱油。            
(4星)	 前26集很好看，雪鸢死了我就心碎了。。。            
(4星)	 男主角的角色 总是让编剧编的完美            
(4星)	 长君你真是气场十足。严宽你个大妖孽，邪魅一笑，倾倒众生！            
(4星)	 落花很好听.            
(5星)	 终于看完了。给五星吧，不为别的，就为了刘恒和窦漪房，周亚夫和莫雪鸢的爱情。大结局时，窦漪房和周亚夫的那句话犹在耳畔---情有独钟就在一个“独”字，其他的再好也比不上了。虽然情节中有很多不足之处，但是整个故事还是完整流畅的。再加上美女帅哥汉宫汉服足够养眼，确实比《宫心计》值得一看            
(4星)	 妈呀，绝对被严宽秒杀！            
(5星)	 雪鸢啊雪鸢            
(NA)	 我的雪鸢            
(4星)	 看到某一段，我忍不住哭了。全部看完再返回去看，还是忍不住。雪鸢。            
(3星)	 首尾皆平平，中段甚好，刘恒和雪鸢。            
(3星)	 这里面，每个男人都是由女人扶持起来的。            
(4星)	 看到刘盈没死的时候我囧了……这样一个完美备胎真是满足了女人的一切YY。            
(NA)	 被人设场景吸引了，剧情追下来也很感兴趣又及……漪房X雪鸢是我心中的王道CP！【被拖走】            
(5星)	 情有独钟            
(5星)	 史上最华丽酱油党~我哈刘盈！为啥我总是爱上男二号。。。。。            
(4星)	 强推刘章和吕鱼那一段，可惜戏份太少了。看完他们后，剩下的20集，我是死撑下来的            
(5星)	 当我看到皇后娘娘牵着紫薇的小手出现的时候我就笑了。。。紫薇格格这部剧演的深得心意。。。啊            
(5星)	 相夫教子，一生足矣。            
(4星)	 比宫心计好            
(4星)	 相较于小说，改动还是蛮大的。最爱的居然是胡杏儿和冯绍峰那一对，虽然有短暂的误会，最终却能远离是是非非，有情人终成眷属。            
(4星)	 基本结论  女人不狠 江山不稳            
(4星)	 为什么母亲跟女儿能长一模一样啊，豆豆和她娘一样，聂慎儿一门三代竟然是同一张脸（不知道长平是不是也是哎）            
(4星)	 窦太后：“下个月选秀就要开始了……”刘启：“不要了，再也不要了，太恐怖了……”            
(4星)	 窦涟房真厉害咩~我看完前面爱上了严宽~哈哈哈哈哈~~~            
(4星)	 我不会把你让给任何人，包括上天。再多陪我走一段路，好吗？哪怕只是一小段，至少留给我一段可以忘记你的时间。椒房殿这么大，我什么都没有，我只有你            
(NA)	 只看了刘章和吕鱼的那段，喜欢。            
(4星)	 刘恒刘盈刘璋怎么都这么痴情。。你看 看到最后情有独钟四个字最重要这个独字时我还是哭了。。            
(5星)	 美人心计，经典之作啊！            
(4星)	 大愛劉盈。            
(4星)	 演员是亮点，剧情很弱，罗晋很萌            
(5星)	 这么大的椒房殿，我什么都没有，我只有你。            
(NA)	 《美人心计》就是为了表现在女人的小手段面前，男人有多愚笨，只看表面么。不过我还是认同，玩手段不是留住男人的方法。。不见得那些女人就特别聪明，有的事情，不过是有人做，有人不屑做。。那些靠玩手段留住男人的女人，最后一定会有报应的。。人在做，天在看。林心如演技进步很大呀。。杨幂真漂亮。            
(4星)	 里面的几对恋人的爱情都挺感人的。。特别特别是雪鸢和周亚夫。。太让人伤心了。。林心如演的不错。。不过我还是最喜欢杨幂。。真漂亮。。            
(4星)	 新生代们 非常之养眼            
(4星)	 鼓励一下国产，给四星~罗晋啊，你不红没天理啊，快点红吧！林心如也不错，可惜没有和小志在一起，遗憾……            
(4星)	 雪鸢真美。。            
(3星)	 演张嫣的从小到大都是美人（¯﹃¯）            
(5星)	 所有人中 我觉得最伟大的是窦长君刘盈啊            
(4星)	 刘盈 大爱            
(5星)	 “去吧，去永巷，那儿的花都开了。”            
(3星)	 我是来看雪冤的            
(2星)	 妈的，也太长了吧            
(5星)	 哎妈呀 可爱看了            
(NA)	 罗晋美死了            
(4星)	 一颗星为了陈键锋            
(5星)	 蛮好看的嘛~~~哥还看哭了呢！大家不要这么严肃嘛~也不是正剧~重大的历史事件没有错就已经很好了~            
(4星)	 28集之后完全有理由不再看下去了            
(3星)	 40集那么长，看到32集，姐终于看不下去了。这容易嘛我TT^TT            
(3星)	 看了两年还是没看完，始终停在二十几集，终于决定弃了~~~            
(4星)	 皇上，我只想平平淡淡的度过一生，不想成为众矢之的。于是，皇上A沦陷；皇上，我只想平平淡淡的度过一生，不想成为众矢之的。于是，皇上B沦陷。             
(4星)	 衣服很好看            
(3星)	 喜欢张嫣喜欢张嫣喜欢张嫣            
(5星)	 最美窦漪房。演技有提升。很爱何昇铭。            
(4星)	 omg..越看越虐....我太讨厌妙人了................!!!!!!!            
(NA)	 我了个擦！聂慎儿你快死吧            
(3星)	 林心如就这点胸当奶娘！雪鸢的睫毛涂的太重了；严宽真帅的一塌糊涂            
(3星)	 冲着杨幂去看的，但发现林心如还行/观后感——虎头蛇尾！            
(4星)	 杨幂一死就不想继续往下看了。陈键锋好，林心如也很好。恩恩怨怨，百转机心，都真是让人心里安稳。谢谢陪我度过艰难的时期。虽不比大明宫词，但给了我同样的勇气和安宁。            
(4星)	 美人無間道。。。青宁说：最強大的武器就是愛情！            
(3星)	 好言……            
(3星)	 强大的配角阵容，华丽的流星群集体盖过了主角们的风头，噢耶~史上最成功的分段故事情节肥皂剧，在基本不篡改史实的基础上，平均每两集干掉一个比主角还有名儿的大牌配角~            
(4星)	 汉服是真的美得令人叹服，林心如后半部演技令人刮目。            
(3星)	 狗血。看到第十集就撑不了了            
(4星)	 总有那么一个人，会落单，会等待，会守候... ...直到死... ...            
(5星)	 之前四星变五星，是发现除了阵容以外这电视拍的确实耐看。林心如的大改观。杨幂好看的。周亚夫最后太灵了。加油优雅也可以噶凶额。苗苗也赞~不过为撒林心如生出来的两个子女都不争气呢，基因突变了额。。            
(5星)	 已經看完好一陣子了，感覺林心如脫胎換骨，難得的是竟然比十年前更美，實在厲害！            
(4星)	 子女皆祸害！            
(4星)	 其实觉得最美是那个年幼的小皇后，鹅蛋脸，眼睛也很漂亮呢            
(2星)	 不如《宫》好玩！肥皂剧计谋一个接一个，很刻意，于正永远那么想当然，杨幂被奸污自杀，很扯！林心如有突破，她比现在多数女演员还是强的            
(NA)	 皇帝们 私奔吧            
(4星)	 不错的一部电视剧，虽然有一些硬伤，但总体来说情节设置比较合理，在内地电视剧里算是上乘的作品了，比起那些翻版射雕、鹿鼎记之流不知好了多少倍。林心如演的确实不错，比起赵薇的单纯、范冰冰的妖媚，她的演技更显深厚，形象塑造能力很强。前半部分确实精彩，缺点是后半部分有些拖沓了。            
(NA)	 人太完美了　就是虚伪。林心如还不错.            
(4星)	 算是比較出彩的。林心如有進步。            
(3星)	 看到第17集不想看了……张嫣长大后真仙呀，但搜这个女演员的照片，现代装又感觉很平淡。林心如真旺身边人，演她丫鬟的都红了，范冰冰、杨幂，哈哈。            
(2星)	 编剧可以再扯一点吗 这就是一穿汉服的现代三角爱情剧            
(5星)	 老人家在珠海的时候喜欢看，虽然看到用盐水引羊车的时候我笑喷了，不过作为八卦剧，算是难得认真的一部戏了。看完你可以去对一下历史书，编剧整合了上下五百年的各种狗血桥段……            
(1星)	 花了前前后后3个月陆续看完了，一个字，雷！            
(4星)	 宫廷剧，谍战片，偶像剧，爱情剧。            
(3星)	 还没看完。感觉还行            
(NA)	 四十集啊，我居然基本看完。近期布光用景服饰古代礼仪都比较考究的古装剧，剧情一看就是男人写的，那些心计、机关和小花巧女性作者还真写不出来，有些情节貌似离奇，查过史实后发现，确实有据可考，编剧是用了心的。唯一缺憾的地方是化妆，眼影和假睫毛不适合历史剧，真的。            
(2星)	 无聊死了……食之无味……跟什么港剧的那些宫廷戏比差远了……            
(1星)	 难看得上吐下泻……无数yy、装逼、圣母以及弱智。还分那么高……真是低龄化的时代……            
(2星)	 这个太SB了。编剧是谁啊？什么玩意儿            
(2星)	 我想要不是编剧烂到无可救药的地步，要不是为凑集数前后不一的硬伤，要不是漏洞百出的剧情实在侮辱智慧，也许为了一群帅哥美女我会给3星。这是一出为了体现主角而彻底神话的片子。让我不得不承认除了天时地利人和之外还要和编剧搞好关系。否则那些华丽丽的路人甲就是下场。。。。。。            
(3星)	 上馬克思時候打發時間的= =            
(1星)	 我没看过，我身边人都在看。我只有一个感觉，林心如被潜了吧？            
(4星)	 我喜欢美人+心计 就记住那句“情有独钟”了            
(2星)	 剧情狗血，台词天雷，矫情，粗制滥造，浪费银子。编剧你能学点文化吗。            
(3星)	 看完21集，把刘章和吕鱼的“狗血”剧情看完就不看啦。            
(2星)	 好假 好假~看不下去了            
(4星)	 还不错            
(3星)	 剧情漏洞百出，但感情戏真也催泪，吕雉和刘盈两角色很出彩            
(4星)	 终于看完了..累死            
(5星)	 为太多人流泪            
(4星)	 偶居然看完哒也~            
(3星)	 看完13集，感觉就还好。这个女人很聪明，太长了，先放放吧            
(4星)	 陈建峰那个帅阿，哈哈             
(5星)	 慎儿真不要脸，贱人一个！            
(3星)	 我又习惯性的挑刺了.....            
(4星)	 娘娘們都沒了...            
(4星)	 为了两个男人我打四星吧。。。其实真的很拖拉，还是胡杏儿这对好            
(5星)	 可惜死了那么多人...            
(5星)	 林心如演技狂飙！阿苗太帅了！！！            
(NA)	 不管在任何环境之下，都不要忘记你最原来的样子，要学会忍耐，学会收敛，不要呈一时之快，而忘了后果，是金子总会发光，黄沙掩不住珍珠的光华，等到有一天，你回过头来看的时候，你发现留下的，不止是快乐和痛苦，还有其他的东西。            
(3星)	 哎。。。            
(4星)	 好看。            
(4星)	 还算能看，都是娘们儿。。。冯绍峰和严宽好帅啊。。。严宽少爷真的是“史上最销魂嫖客”XD            
(NA)	 汉服真美啊……美女也真美啊……            
(3星)	 就胡杏儿那段我认真看了，其他都变成了背景声音            
(2星)	 过气的美女就如过时的时装，时间告诉，林心如是个没有质感的女人            
(5星)	 哈哈，好喜欢，各种跌破眼镜            
(3星)	 雪鸢死了26集  果断弃啊！            
(NA)	 （评级不能...）百合剧            
(4星)	 看了21集 不看了  刘章和吕鱼这一对萌            
(2星)	 编剧烂            
(5星)	 实在是喜欢那个皇帝啊~笑起来好萌!!!            
(5星)	 给五颗星不足为过，国产剧精品中的精品，非港台那边可比的。节奏把握适度，情感动人，虽然有些历史错误和剧情上的少许不周详，不过一切汉的感觉都在，实在难得啊。            
(NA)	 靠，我竟然看完了，有够无聊的            
(2星)	 于正编的烂剧情。。。心如真棒~            
(4星)	 就这么结束了啊？            
(4星)	 很跟风的去看了。还不错。不过中国的电视剧就是有些东西太长了。有时真的很没有耐心。这次又三天看完了。睡得好少。果然还是要有一样东西沉迷才是。            
(4星)	 和那个宫神马的比，强很多……至少皇宫不像晒谷场，除了那几只偌大空间找不到什么活的。            
(3星)	 人家说《金枝欲孽》聪明人太多，我看《美人心计》是蠢人太多            
(3星)	 不怕神一样的敌人，就怕猪一样的儿女            
(3星)	 N久木有看古装了            
(3星)	 不喜欢林心如。            
(4星)	 制片说他观察了林心如很多年 说她是个情商很高的女人 窦皇后就是生活中的林心如            
(4星)	 还珠后第一次追古装剧，虽然都是一个公司出品的，但比神马宫好看多了，林心如应该是从01年的情深深雨蒙蒙后最热播的一部剧了            
(4星)	 感觉还是窦漪房这一代的历史比较好看，她儿子这代就逊色了。            
(4星)	 后十集砍掉了一颗星            
(4星)	 我必须说这部电视剧必须要耐着性子才能看得进去，属于越看越好看的，刘恒死的那一集，还真把我感动了！汉朝的女人都不简单啊            
(4星)	 林心如的演技真不错            
(NA)	 能跟大汉天子连着看了吧。。。            
(3星)	 林心如姐姐尊漂亮但是根本就木有看见严宽啊！……另虽然有情有独钟但是刘盈放弃帝位没有至高无上的权利就等于放弃追求美人的资格啊            
(3星)	 要江山还是要美人。 要美人。            
(4星)	 陈键锋好帅啊            
(NA)	 后宫娘娘们闲着无聊打打麻将多好            
(4星)	 一个人能爱另一个人多久呢？有些秘密真到死了，也不重要了。爱一个人，也不需要知道他的全部，因为他就是你的。            
(4星)	 陈键锋好帅啊啊啊我好喜欢啊啊             
(3星)	 只是窦太后在历史上却是更加的有机心            
(NA)	 第33集 圆脸真的比不过瓜子脸啊  甩了不止8条街啊            
(3星)	 美人是有的 心计就算不上了            
(4星)	 挺好的，搞得我想再读读那段正史了。            
(NA)	 该剧本狗血至极，可惜了那些演员们。             
(5星)	 能算林心如的代表作了             
(4星)	 我就喜欢宫廷勾心斗角戏啊。。。。。。            
(5星)	 刘盈啊啊啊啊啊啊            
(3星)	 電視看多會不對勁的            
(NA)	 陪老妈看的咩。            
(4星)	 比宫心计好看那么点儿。冲着大把的美女，多给半颗星            
(4星)	 剧本3颗星，给窦后的智慧＋上一颗星            
(4星)	 以为自己绝对不会看的一部剧。。。结果发现还真好看。。。汗            
(5星)	 刘盈，，，大大大爱            
(4星)	 其实前面都挺好看的，越到后面越疲倦...            
(5星)	 难得看见这样的电视剧。多谢罗婶婶推荐啊！看得哭死我了T-T            
(4星)	 好华丽的配角阵容            
(NA)	 三天看完四十集。哎。            
(4星)	 林心如的演技既然进步神速 还是我太久未关注此人 所有的人 都是衬托她演技的呀            
(4星)	 比宫心计好看N倍.林心如的演技不错.陈键锋很一般.            
(4星)	 噢噢 看完了 不错            
(NA)	 难以避免bug。。。 为了突出窦 历史上的汉文帝变成了中庸的爱美人胜过江山靠LP起家的皇帝 ╮(￣▽￣&#34;)╭            
(4星)	 看的纠结死我了，好看的都死了，丑的却留到了最后。            
(NA)	 古代皇宫的女人活得太累了。现在虽然没有一夫多妻制，但却有了性自由。人，怎么活都是累的。            
(4星)	 因为某些不得已的原因，我不想解释，只想请你相信我。            
(3星)	 五一三天假看完，编剧十分狗血，想的这都什么乱七八糟的，尤其你要是架空剧还好，偏偏有这么段历史活生生在这，真是看的不顺眼。我心中的历史剧最好还是不要凡事强调爱情的好。不过这剧有一点好，就是体现了我中华上国俊男靓女还是大把的嘛，以后不要总是从外面找人了都，尤其花刘盈童鞋，真好看！            
(3星)	 配角还挺出彩的            
(4星)	 很久不看古装了，还不错。            
(4星)	 勾心斗角的 还有点意思~            
(5星)	 主角都是选美出来的，不是第一也能算第二。配角都是选丑出来的，不是第一就一定是第二...            
(4星)	 這劇又雷又狗血..哎.可是我還是在看- -其中一星是給陳鍵鋒的= =沖著他臺詞都用普通話說這一點哈哈哈            
(NA)	 刘恒 刘盈            
(5星)	 “人的一生生最难得，就是遇上一个自己爱、又爱自己的人，好比哀家跟先帝，你跟雪鸢一样，这情有独钟，就在于一个独字。。。”            
(4星)	 目前为止，看过的最好的宫廷剧。            
(4星)	 终于看完 了            
(3星)	 1、林心如的演技好多了。2、女主角当中自然是喜欢雪鸢，其实王娡也挺不错的，不过总觉得王丽坤的脸有点怪。张嫣蛮有气质。3、男人当中最喜欢刘盈，罗晋的演技很好，有前途。苗长胖了啊~4、编剧相当有问题，所以只能给三星半，剧的节奏有问题，该慢的地方快，改快的地方慢，不合理的地方太多太假。            
(3星)	 严重喜欢杨幂。。 刘盈后期很有型~ 稀饭~~            
(3星)	 最爱的人，不在身边。            
(3星)	 萧慎儿是宇宙无敌JP←这个女人坏死了！窦漪房圣母混交腹黑，莫雪鸢太虐了好么←杨幂一死就不想看了。汉服裙裾翩跹，大大大大美。可是众女的发髻头饰都不太好看，也没谁走路的样子特别婉约，对了OST还不错……果然在我心里，只有《大明宫词》最完美❤❤❤            
(4星)	 终于奋斗完了            
(4星)	 太爱刘盈了。            
(4星)	 林心如还是那么漂亮            
(4星)	 剧情还不错，就是有的地方逻辑性太差。看着看着，就说这里那里不合理，好在也就是看个古装偶像言情剧，养养眼的，就不计较了。集数长了点，不知道我能否撑过半。。。陈建锋长得是让我喜欢啊~~ 严宽居然演一嫖客。。。            
(5星)	 好养眼！妆很好看！！冯绍峰！！！！！古装王子！！！！！！！！！！为了那个武王加多一星！！！！！！            
(4星)	 CAO，女人真可怕。不过编剧是男的，所以说到底还是男人最可怕。            
(3星)	 和宿舍人一起当搞笑片看的，林心如君表演台一般。喜欢雪鸢            
(4星)	 跑龙套里···脸熟的不少啊            
(4星)	 我居然还很感动。。。            
(3星)	 国产片？。。。害我在港台里找了很久。。。            
(4星)	 2010年度最好看的电视剧。            
(4星)	 慎儿长得像我们寝室的一个妞...            
(3星)	 后宫戏必然有俩姐妹，必然一个善良得像圣女事事顺心，一个小恶魔嫉妒之火燃烧万事不如意。小圣女必然天生聪明伶俐火眼金睛无论什么事一眼看到本质，小恶魔必然傻不拉叽吃亏遭殃然后变的毒辣，然而无论何时小恶魔爱的男人必然爱小圣女，姐妹反目。爱着小圣女的男人中必然不缺专情炮灰…不过，汉服真的很            
(4星)	 不错不错~            
(NA)	 只看了两三集。。            
(4星)	 女人的成长，是艰难而美丽的。            
(2星)	 死了N多配角。。。最后只剩她自己            
(5星)	 刚开始看这部剧纯粹是因为帅哥美女多,制作也比较精良,是难得的精致的古装剧,但是故事过半后,发现深深的被罗晋扮演的汉惠帝刘盈吸引,虽然是一个新演员,但是他却将 懦弱,渴望自由,专情的刘盈这个角色发挥到了及至,以至于在片子的后10集我已经是纯粹户了等待刘盈--长君的出场而观看            
(4星)	 一部電視劇，N 多打醬油的~= =            
(4星)	 这可比宫心计好看多了，但是不想看完            
(3星)	 所有的勾心斗角都来去自如 仿佛所有人都能在傻子和聪明人之间自由地转换 前二十集很好看 在刘恒卧薪尝胆终于入主未央宫之后这部戏就不好看了 戏中的三代故事还是第一代最好看 另外，记住了杨幂，苏青和戚薇            
(4星)	 還算津津有味....            
(2星)	 情节有些牵强            
(4星)	 好多美女帅哥啊~~~            
(4星)	 林心如成长了，            
(4星)	 所有关于历史的剧集都是悲剧 只是现代人用不同的角度诠释这种悲剧而已             
(NA)	 这是我第1次看到电视剧里面出那么多有人气的人林心如,演的非常好 又让我记住她了            
(4星)	 细节处精致，连酱油党都大有来头英俊帅气。（虽然剧情确实洒狗血我也忍了）            
(4星)	 剧情太多硬伤，不过美女多很养眼            
(3星)	 雪鸢看得我太纠结了！            
(NA)	 为了苗，我不停的跳啊跳。            
(5星)	 所有人都像一个人，林心如的打扮有些丑，把她扮丑了            
(4星)	 小kk推薦～總體比宮心記好看～不過都是想告誡我們做人還是要說好話、做好事、存好心，這樣人生的路才能走得長久～所以，好姑娘們壓力大只是暫時的，未來還是很美好得～ps。林心如在里面的表現真的狠不錯～感覺她還是適合演古裝～            
(3星)	 借了一批歷史人物的殼，詭謀和言情都太過了，網路言情宮斗的集錦之作            
(4星)	 我觉得比宫心计好看            
(4星)	 Ruby的演技越来越好。为她高兴。            
(NA)	 越看到后面越开始开嘀咕。。。哪个编剧写的。。越写越烂。。。            
(1星)	 看完以后特别讨厌林心如。            
(NA)	 终于在2012到来之前看完了，自虐啊            
(4星)	 比想象中好看点。            
(3星)	 无聊看着玩玩还行，逻辑有硬伤啊。这里最好看就是孙菲菲了。            
(NA)	 都是有心计的主。好好跟人家学            
