http://movie.douban.com/subject/5501693/	野鸭子
(5星)	 挺喜欢女主角的            
(NA)	 春节回家陪老妈看的            
(3星)	 跟着老妈一起看的。一直不知道曹曦文原来是这样的~~有点不是想象之中啊            
(4星)	 两天看完了。确实挺 不错。            
(NA)	 我觉得婷婷好像晚点名的 豆豆。寒假跟伯母一起看的电视剧之一。记录一下哈。我喜欢杨顺。            
(4星)	 暑假陪爸妈~            
(4星)	 曹曦文真可爱            
(4星)	 不是因为剧情推荐，而是因为小曹推荐，觉得演得很放得开，蛮好的，剧情反而一般般啊一般般，没看结局都懒得去理了。            
(3星)	 有情有义            
(3星)	 剧情太狗血了，但是喜欢女主，曹曦文演技很好～            
(5星)	 挺有意思的！            
(NA)	 金华外孙女...            
(5星)	 宁做野鸭子，不做白天鹅            
(4星)	 中央八台不停的在重播，这很能说明问题            
(4星)	 就喜欢曹曦文这型的            
(4星)	 我妈说：真荒唐  这就是你以后的职业。。我想说 不荒唐 怎么吸引你们这些家庭妇女看 怎么会有收视率  其实个人感觉还不错 喜欢女主 野鸭子 喜欢那个气质 喜欢杨顺            
(NA)	 为什么看电视就是喜欢哭呢？？            
(5星)	 太好看，喜欢杨顺和娜娜！            
(4星)	 不白痴不做作不装cute不苦情不矫情，在电视上不容易找到的用了心的剧。几个演员表现都还不错~            
(5星)	 李颖、曹曦文塑造的人物都很成功            
(3星)	 陪爹妈一起看的            
(3星)	 和《野丫头》的剧情几乎一模一样。。。。            
(1星)	 演员太装，剧情tmd太狗血。我就纳闷我妈怎么还天天追着看捏？            
(3星)	 同意一句话：每个人都用自己的自私去要求别人不要那么自私。            
(3星)	 大过年的陪我妈看了好多诡异的剧....=  =             
(4星)	 都是没电脑惹的祸……其实这部国产剧还不错            
(3星)	 和家人一起看的春节剧....            
(3星)	 虎妞是怎样炼成的            
(2星)	 陪妈妈看的，和老爹一致同意，女主是精神病= =            
(NA)	 杨顺看着蛮好的~            
(4星)	 不错的剧。可以看下去。            
(5星)	 很有趣的野鸭子。喜欢杨顺，真是个纯良的人啊            
(4星)	 巨逗啊，那丫头我真爱            
(4星)	 我……陪我爷爷看的···=。=我爷爷很喜欢····所以四星····            
(4星)	 今年还想着完整跟家里人看春晚，老妈已经果断放弃鸟，现在都陪着老妈看电视剧……            
(3星)	 还行。有些笑料。            
(4星)	 很有感觉……            
(3星)	 陪爸妈看电视！！！！            
(3星)	 春节回家陪妈妈看的，还行。            
(4星)	 这姑娘很招人喜欢            
(3星)	 一代又一代···唉···            
(5星)	 给力 强力推荐            
(3星)	 开头还不错 越往后越烂            
(3星)	 老爹很喜欢看，陪老爹看的            
(4星)	 还真是只野鸭子            
(NA)	 跟mummy看的，还行            
(3星)	 纯跟着老妈一起看的。。。            
(NA)	 野鸭子的每一句话都很犀利！            
(4星)	 结局好看，开头不太好看，中间有两集很好看，总之好看，真好看。结局真的很好看。小时候有一次在厂门口就看见一新郎骑自行车带着穿红衣服红裙子的新娘，特别漂亮，新娘特别好，我没拦他们，她还扔糖给我吃了，羡慕死了。  连续剧不连续着看更好看。 圆圆满满的筒楼，想起厂里的女儿国了。 好看！            
(4星)	 后面不好看，很讨厌知道身世后的NANA和婷婷。            
(2星)	 乱七八糟的            
(2星)	 曦文出品必看，但是实在难看……            
(3星)	 以心照不宣结尾            
(4星)	 做为国产电视剧，可以的。            
(2星)	 我是被逼无奈陪爸妈看的            
(NA)	 和家人一起            
(3星)	 野鸭子真是让人又爱又恨，清官难断家务事，只有杨大夫作为旁观者能比较理智的处理问题。            
(1星)	 简直是侮辱人的智商的垃圾片            
(2星)	 越看越没意思，女猪身上那点可爱的韧性一点点消失殆尽，转变成了无聊的泡沫剧            
(5星)	 倒数第二集值5颗星            
(4星)	 不错看~            
(5星)	 野鸭子，超有爱的哈！            
(3星)	 一个疯丫头和一个胆小自我女的故事            
(3星)	 这个。。。。陪着我娘亲看完了！！！居然看完了一部大陆的这么老套的电视剧！！！！咆！哮！摔！            
(3星)	 演员还好情节有头重脚轻嫌疑简单说就是现代版《还珠格格》，缺乏新意消遣娱乐绰绰有余            
(1星)	 央视放的电视剧越来越脑残了。。一群做作的演员。。俗套的剧本。。            
(3星)	 全家一起看电视神马的最温馨了了了了            
(5星)	 很那个方婷婷            
(4星)	 片子教会我们什么是坚强，勇敢            
(4星)	 电视剧就喜欢折腾人            
