http://movie.douban.com/subject/3292384/	宫心计
(4星)	 觉得杨表演的有点过，坏人也应该是有不同层面的表达，不是嚣张就是坏人的。总算大团圆结局。            
(3星)	 乱囧的。。            
(3星)	 后宫斗争永远那么有爱，女人们的勾心斗角比不上金枝欲孽那么出彩了。不过大浓妆其实看着也算雍容。三圣母真是假得可以。            
(3星)	 烂结局..            
(3星)	 3+概括一句话：不幸三好的幸福生活,前段好看，后半部分越来越离谱            
(4星)	 縱使有太多的詬病。縱使楊怡是多麽的臉譜化。縱使有太多的縱使。不可否認。它好紅。瘦死的駱駝比馬大。            
(4星)	 TVB台庆大剧。&lt;金枝欲孽&gt;与&lt;大长今&gt;的混合版。            
(4星)	 如題            
(4星)	 嗯……拨乱反正            
(3星)	 斗斗斗 斗到何時            
(3星)	 圣母是如何产生的            
(4星)	 要挑毛病的確很多 說劇情的確也有問題 不過就目前TVB的形勢 給個四星吧            
(3星)	 跟金枝还是不能比的~             
(2星)	 看了18集。看不下去。            
(3星)	 编剧so NC。眼影皇帝再见咯。杨怡演这么个角色好可怜。圣母是一类人，对路人比好姐妹好得多。            
(4星)	 港版大长今？            
(2星)	 挺多人不喜欢佘诗曼都说是因为她生活作风三别人之类 我不喜欢她完全是因为觉得在TVB里只有她这长相可以和胡杏儿相提并论了 居然还总有人拿她和黎姿比。一个姐姐一个大妈这尼玛怎么比？【严重跑题 看到佘大妈就忍不住吐槽。。            
(5星)	 港剧无原则多打两星=3=            
(2星)	 为这个电视剧争论的人儿们都是用生命在看宫心计啊！话说这皇上也太寒碜了，才俩妃子。            
(3星)	 山寨版大长今            
(2星)	 两星给了郑嘉颖            
(NA)	 谁要看后宫掐架,我要看朝中的明争暗斗= =片子拍的好蛋疼...            
(3星)	  = =            
(NA)	 还行            
(3星)	 浪费时间的垃圾剧我居然看了一个通宵册那。。。电视剧害人啊！！！            
(2星)	 波谲云诡。心细如尘。规行矩步。仲有蠢钝如猪。            
(NA)	 “啊~ 果然是TVB~”这样的感觉 跟小时候看港剧的感觉一样            
(4星)	 10年暑假，零零星星看了点儿。            
(3星)	 服装背景华丽丽，女猪脚刘三好，真是好到让人想一脚踹死她！！！            
(1星)	 矫揉造作            
(4星)	 这戏不仅仅是描写古代的宫廷之争，其实更影射现代人的尔虞我诈            
(3星)	 三好的人物设计太极端，倒是杨怡和米雪的角色可圈可点            
(3星)	 看得累死了...勾心斗角都微白痴...            
(4星)	 主题鲜明，情节紧凑，不时珠玑，布景、服装和化妆也非常赞，为啥评分这么不堪呢...            
(2星)	 说实话这剧情忒二            
(3星)	 剧情就还是那样  衣服真是华丽丽到晕            
(NA)	 连看三天连画带玩，基本上是听完的。。。            
(3星)	 勾心斗角就如打怪 打完这个 还有那个 层出不穷 而且还有终极boss 边绣十字绣边看着解闷的            
(4星)	 结尾收的太是仓促            
(3星)	 啊            
(4星)	 从29集开始每天和俺娘一起看。结局满意。郑嘉颖好看。杨怡演的最好。            
(5星)	 很厉害            
(3星)	 马元贽和姚金铃怎么那么烦啊 空虚死了 做坏事看的我心累 每一集不死人不行啊             
(3星)	 超多内心戏，每一集都是故事高潮 = =            
(NA)	 也是看了头和尾巴            
(2星)	 没有帅哥就算了吧，至少不吉利还能有点笑点；没有美女就算了吧，反正TVB没有美女好多年了；没有剧情就算了吧，多少年没从TVB里看到剧情了；最关键的是，为毛NC的误会一个接着一个，为毛连坏人都快成为圣母玛利亚了？不过杨怡和李诗韵可能快要浮出来了，也算是一点看头吧……            
(3星)	 TVB的每一部女人戏好像都少不了佘诗曼。            
(4星)	 跟着电视机看            
(3星)	 皇帝就两个妃子么？脑袋整那么大不掉么？            
(NA)	 美瞳 美瞳  思密达            
(3星)	 真打發時間。            
(3星)	 贤妃好靓            
(5星)	 还不错~~~比不上金枝欲孽            
(4星)	 果然是接近全灭的HE。跟哈利波特似的= =+难得我又看完一部电视剧。太神奇了。            
(3星)	 我是真没耐心看完那麽多集..--            
(1星)	 女人只要装蠢装善良就可以活的很好            
(5星)	 女人心，海底针            
(3星)	 好比坏让人更难以置信。几个人改变得太彻底，不合逻辑。            
(3星)	 kill time            
(5星)	 哈哈哈哈哈哈哈            
(1星)	 不带这么低估观众智商的            
(3星)	 什么东东呀            
(3星)	 真够刻薄地。。            
(3星)	 还真是一个心计。。不过三好也完美的忒不真实了。吧。。诶。没有金枝欲孽好看。副线少了很多，感情线也不够细腻。            
(3星)	 寒假家中无聊产物。。。竟然看完了            
(3星)	 后面太拖沓。            
(3星)	 有些台词还是不错的，但是也有雷人的。。。部分演员很出彩啦。结局真晕乎。。。=。=            
(NA)	 最近发飙了。。。            
(NA)	 做人真的要以善为本呢。。。            
(4星)	 TVB大戏，一年看一场TVB的大戏，可以一见港剧的风采，背景变狭窄了，服饰和化妆更精致了，对白也不错，演技增减不一，仍有些部分是给看不懂的人解释的，有点多余了。只是在优酷看的，看得不够清晰，看不见米雪是否有些老态……            
(3星)	 2010.01.05竟然把这个给看掉鸟~            
(3星)	 编剧干脆在刘三好头上刻上两个字：圣母，囧，不过也不是没有收获的，我喜欢上了扮演姚金玲的杨怡，里面陈豪和米雪的角色，我都喜欢            
(3星)	 关菊英演好人实在差点儿意思。。。。。            
(3星)	 一般啦            
(2星)	 剧情编得也太没水准了，差《金枝欲孽》和《大长今》远矣！TVB的大制作每况愈下，倒是郑嘉颖也保养得太好了，我记得我小学时期他就长这样，熬到今年才算跻身TVB一线，大叔年龄还能扮小生！实在受不了佘大妈装无辜跟圣母似的，这是党的宣传片吗？            
(2星)	 剧情牵强 漏洞百出 何奈太后喜欢看            
(NA)	 这个是真TMD堕落了.            
(3星)	 我都觉得杨怡不错 可惜老是没有红            
(3星)	 091200            
(4星)	 陈豪好可怜啊            
(2星)	 失望~            
(4星)	 匆匆忙忙的结尾            
(4星)	 结尾狗血            
(3星)	 此剧就说明一件事，作为编剧，不要老想着颠覆之前已经塑造成功的价值观，比如《金枝欲孽》搞出的“只有尔虞我诈血肉横飞才能救中国”，这次就不要搞出“只有做圣母才能救中国”，不过作为不情愿而不自觉的圣母余党，我确实没发现佘诗曼的角色有啥不对的地方啊orz，豆瓣啊！天涯啊！最毒妇人心啊！            
(3星)	 (⊙o⊙)…第一次尝试看港剧            
(3星)	 坏人不够坏 好人也不吸引我  一直不喜欢佘诗曼             
(4星)	 先让我狗血着吧- -时过境迁回望当时往事如风啊。。。            
(2星)	 无语            
(3星)	 真囧            
(3星)	 哎。。            
(3星)	 一般般的电视剧。            
(4星)	 “胆敢跟本宫斗，下场只有一个。不 得 善 终 ！”            
(NA)	 点解你的妆那么浓。            
(4星)	 宫心计告诉我们，阮翠云比较旺夫，姚金0最后浪子回头比死了还悲剧。三好圣母的心态值得大家学习！女人走在风口浪尖太危险了，做弄潮儿不适合。            
(NA)	 with u。            
(NA)	 既然看了就看完...剧情与名字有些差异~前半段剧情缓慢，后半段剧情过于赶~无法跟金枝欲孽比~            
(NA)	 剧情很狗血，所谓计谋都是祸从口出，论精彩程度只要看最后两集就可以。对于演员只能说配角远远好于主角，刘三好太“观音”也太不真实，姚金玲只会玩小聪明，遇上高人歇菜；皇帝无才连后宫也管理不好，杞王怎么就不取而代之；谢雪心给人印象太深刻，不愧是郭子仪的孙女！TVB江郎才尽了            
(3星)	 台庆剧。宣传力度还挺大。俺爱那红风车小曲            
(3星)	 越到后来越没意思            
(1星)	 好狗血的结局。。果然不能看港剧。。。            
(3星)	 狗血啊~继承溏心风格             
(2星)	 好嘛 我终于开始开了第一集 从第一集来说 剧情很紧凑 演员很眼熟 可是看佘诗曼演圣母女真不习惯==            
(3星)	 忽然一周已經爆曬全部人嘅結局喇。。不過都想追落去。睇司珍房嘅頭飾哈。            
(3星)	 28            
(4星)	 其实后面部分是快进看完的...            
(3星)	 三好是谁都弄不死她，丽妃是谁都能弄死             
(4星)	 太华丽了吧，有点假            
(2星)	 有人还看过倒叙倒了31集，而总长为33集的电视剧吗？            
(3星)	 一个菩萨下凡的故事～            
(3星)	 看了一半不想看了，编剧无语到极点            
(4星)	 结局太没创意了~            
(3星)	 看了24集，剧本越写越乱，严重怀疑是边写边拍的，前后不统一，很过分啊，不看了。            
(4星)	 好几集了解了大概情节，就没去看了╮(╯▽╰)╭            
(2星)	 结局烂烂烂！！！编剧脑子进大姨妈了。。。            
(4星)	 结局之美好            
(2星)	 你是对所有人好，我只对三好你一个人好！            
(3星)	 看完没留下任何东西 纯粹是浪费时间             
(4星)	 说实话，有点失望，不过还好有再看下去的欲望~~~            
(4星)	 自金枝玉叶后，TVB沉迷勾心斗角尔虞我诈咯..我希望杨怡摞视后~            
(3星)	 嘛，要我陪看的人弃了，我没理由继续呀。            
(3星)	 后劲不足，越来越无聊。杨怡演技太表面，佘诗曼的角色太装B，可圈可点的还是几个老前辈……            
(2星)	 没看完，看得很无奈，觉得该少看港剧了            
(NA)	 哎呀 丽妃真的精神分裂啦            
(3星)	 刘三好，好的太夸张了！！太over了~~陈豪胖了加那个妆，整个人狂减分。显得郑嘉颖整个帅到不行，连几个小太监就显得比较帅。囧。结局那段用粤语整个超有fu。。            
(4星)	 最可惜的是布公公犧牲了              
(5星)	 化妆和服装 华丽丽滴            
(1星)	 偶又在看洒狗血的后宫剧啦啦啦！！            
(3星)	 怎么那么讨厌佘诗曼。            
(3星)	 看了五集后，我弃了            
(3星)	 靠，又是佘阿嗲。。。            
(3星)	 女主角太圣母了，受不了!            
(3星)	 还是很梅小青，都说这部剧像金枝欲孽，我却渐渐觉得越来越像洛神，狗血和煽情的桥段太多，主题渐渐偏移在男争而非女斗，所有主角都流于脸谱化，三十多集里最出彩的只有蔡尚宫和徐妈妈那两集，其他都松弛温软，不及金枝欲孽三分之一惊心，四分之一动魄，五分之一可歌可泣。            
(1星)	 狗血中的极品剧            
(2星)	 还是喜欢佘佘坏坏的样子~            
(3星)	 最终的两宫对决只在最后一集草草出现又草草收场，前面只靠米雪和关菊英为了吵而吵来吵去。按预告片拍不好么？三圣母真是今年最可怕的角色……全剧最好的对白当属最后一集杨怡那句“我呸”，大快人心。            
(3星)	 刘三好刘观音当永载史册。。。天雷滚滚篇            
(3星)	 狗血的结局            
(3星)	 我看不下去            
(2星)	 从巡礼片开始，越演越烂            
(3星)	 江苏卫视，边玩游戏边听完了            
(4星)	 扮猪吃老虎             
(3星)	 暂时弃了。tvb的剧看不下去            
(3星)	 也就米雪比较顺眼。。            
(3星)	 出狗血剧终于不用追了..= =            
(3星)	 快点完结啦。真没意思            
(3星)	 说好话，做好事，赚大钱。            
(4星)	 -。-            
(NA)	 还没出，但是很期待，不知道和金枝余孽有什么样的异同之处，满期待的            
(2星)	 狗血剧情。。。。。。            
(3星)	 台词有可取之处的。            
(5星)	 我还蛮喜欢贤妃的就..            
(NA)	 陳豪真的有夠胖~~            
(4星)	 中意好努力突破的杨怡，演奸角演得好好；同时又中意演咩风格都不错的阿舍，仲有郑嘉颖和陈豪，关菊英和米雪。太多中意的演员，无办法5中意呢个剧集，虽然故事有点大路，但是从服饰和拍摄手法上都有一定的可观赏价值的~~不愧为台庆剧。            
(3星)	 好期待！            
(2星)	 傻X编剧!! 结局是要干嘛..?? 高显扬是失忆了还是怎样?!            
(3星)	 越看越雷            
(4星)	 編劇主打真善美牌。            
(3星)	 覺得對不起未開播時的假模假式的期待            
(3星)	 哇，斗来斗去的女人戏最好看了。。。斗来斗去但是一点水平都没有的女人戏，真不好看...为了姚金玲，多给一颗星！！！！！！！刘三好，绝世贱妇！！！！！！！！！！！！！！！！！！            
(3星)	 眼神~~~~~~~~~~            
(3星)	 无法超越《金枝欲孽》            
(NA)	 不精彩，但混时间也不错            
(3星)	 我终于看完宫心计啦            
(3星)	 结局太草率            
(4星)	 好看啊好看啊好看啊，正太十三王爷怎么可以这么帅啊~~~            
(5星)	 091108 。追到15集091115            20            
(NA)	 终于开播了            
(4星)	 &lt;31 完结&gt;期待了一年的戏就这样落幕了……前面太拖，后面太赶！不算完美的剧情浪费了好卡司；四大主演都算喜欢，最喜欢阿佘和KC。2009.11.30 纪念看完《宫心计》。            
(NA)	 好吧，不过是一群死八婆            
(3星)	 我愛金鈴……么么噠！親！            
(3星)	 女人戏啊..阿妈睇跟住追咯            
(4星)	 金枝欲孽顶峰了╮(￣▽￣&#34;)╭             
(NA)	 = =标题是什么意思 曾经这部剧叫“刘三好”吗 orz            
(2星)	 翻来覆去害死你搞死你就是为了争宠无不无聊.........            
(NA)	 居然終於看完了呢╮(￣▽￣&#34;)╭            
(4星)	 搂SAM猴            
(NA)	 难看。            
(5星)	 我爱姚金玲~~~~~~~~            
(3星)	 已经厌倦完美型女猪脚了            
(NA)	 最亮的就是钟雪霞和布公公！！有没有！！            
(2星)	 要多二缺有多二缺！            
(3星)	 原来也有尚宫局这种部门呀            
(3星)	 没有金枝欲孽好看。            
(3星)	 1 这不是宫斗。是三好圣母普度后宫。2 几个老女人都像尔康一样成为鼻孔君。3 马大将军化妆像门神。4 皇帝和如来公用的一个发型师。5 好太监都得死！            
(3星)	 金铃的剧情急转直下的也太厉害了 起初觉得她坏得至少有原则 后来变成了没有原则的坏 一头雾水啊            
(3星)	 看多了就不好看了            
(3星)	 其实吧，我都不知道我为啥会看并且居然看完了！恩，可能是佘诗曼和李诗韵比较好看吧            
(4星)	 做好事 说好话 存好心            
(3星)	 妆太浓了。            
(NA)	 很TVB            
(4星)	 那么多年 你看他的眼神始终如一。            
(2星)	 没什么看点，人物脸谱化这是公认的了。另外“证据确凿（zao）”出现率好高，听不惯所以很突兀            
(3星)	 学粤语            
(5星)	 做好事，说好话，存好心，当婊子！            
(NA)	 最后一集太搞笑了，没见过演技这么差的，可以当喜剧看            
(4星)	 善恶到头终有报            
(3星)	 香港的宫廷片很欢乐&amp;很爱老女人的友谊与心计～            
(3星)	 多有意思 哈哈哈            
(2星)	 唉放假这都是看的什么片啊            
(3星)	 太脸谱化了            
(3星)	 宫中小字典~            
(4星)	 杨怡、我是支持演技派的。            
(3星)	 最近是不是泪腺太发达了 看这个都哭得            
(3星)	 看了一半- - 受不了三圣母            
(3星)	 国庆唯一一点点的成就感来源于此。            
(3星)	 太勾心斗角，看的都累…            
(NA)	 因病守在电视机前循环观看~~其实看到那些勾心斗角的场面，心里还挺舒畅的。            
(4星)	 演得挺好 认识了不少tvb的演员            
(3星)	 三好实在太好了，所以反倒觉得主角个性很不饱满...            
(4星)	 勾心斗角什么的最喜欢了            
(4星)	 喜欢看有气场的女人            
(3星)	 额。。。没想到是佘演好人。。。            
(3星)	 这么狗血的电视剧竟然也让我不能放手的看完了啊啊啊~~~~~打着学粤语的招牌啊~~~~没有其他形容词…………            
(5星)	 いい人って言われて、ドンでもいい人みたい            
(3星)	 无法超越金枝欲孽哇。            
(3星)	 终于看完了！            
(5星)	 太好看了，又莔又囧的片子。。。太欢乐了            
(4星)	 做好事、說好話、存好心。            
(4星)	 剧情节奏很快，看着很爽，小有雷点。。            
(4星)	 我恶俗的躲在家看后宫剧            
(4星)	 看的我不想睡觉            
(1星)	 满眼的阿妈阿婆，还有那些服饰头饰是要走华丽风麽？看得我都好想把妇女们的脸撕下来喔。            
(4星)	 港姐个个是美女！真美！            
(4星)	 对圣母接受无能，快进看杨怡            
(3星)	 鸠摩智对慕容复好坏了啦            
(3星)	 又见圣母            
(4星)	 佘诗曼真TM太做作了。。            
(NA)	 做家务的好帮手……            
(4星)	 皇宫之中，生死存亡            
(3星)	 看了《金枝欲孽》后再看这些剧，根本都是浮云啊！            
(NA)	 讲的是一个手工达人如何从工薪阶级混到贵族的故事。。。作为手工业从事者，我感到很大鼓舞。。。            
(3星)	 我又陪我妈看戆片子了……妆太浓，剧情太蠢……            
(2星)	 人物性格太失敗了變壞變好都是瞬間觸動,太難得了。。除開太腦殘還是很好看的。。。。            
(4星)	 看到好多眼线，哈哈哈。            
(3星)	 断断续续看了一个礼拜 跌宕起伏的终于看完了            
(3星)	 要是宫里心计是这样，我也会啊...好幼稚            
(1星)	 我真他妈不待见佘诗曼。玛丽苏纯情货大骚逼            
(2星)	 看到佘詩曼就想吐。            
(4星)	 光怪陆离的女人们。            
(3星)	 哎，承认tvb港剧确实有迷人之处，但三好实在太模式化，看多了有点烦，还是杨怡的腹黑比较有看头~            
(4星)	 明显老一辈斗不过新人啊            
(3星)	 名副其实的大牌烂剧            
(3星)	 我觉得挺好看的,连老爸老妈都惊呼怎么这么多勾心斗角啊!            
(4星)	 女人戏            
(4星)	 关菊英，米雪，杨怡╮(╯▽╰)╭            
(1星)	 完整看完的第一部港剧，简直是艹泥马的难看啊，斗你妹斗斗斗，一群恶人看得劳资凭空生出两个蛋来疼。想我阅烂片无数也没阅过这么烂的啊，我再看这种烂得波谲云诡的剧我就是蠢钝如猪啊！！！            
(3星)	 卧床好伴侣            
(4星)	 勾心斗角的极品之作，人这玩意儿太深沉...            
(3星)	 屋前种琼花树，树下纳凉。还想多种一棵银杏，春夏之际盛放琼花，到了秋天花瓣凋零，就换上满目黄金，杏果还可以食用。记得在屋前挂盏灯，每到日落西山，暮色四合，屋前的灯就会指引显扬归家的路途。            
(3星)	 昨天一个晚上看完了。            
(3星)	 陈豪皇上的眼线真幽默            
(NA)	 好久没看这么长的剧了 前面还行 后面就没耐性了 刘三好太圣母了 还是金玲比较真实            
(3星)	 瞥过几眼...比较难看..不爱争斗戏。            
(3星)	 这都什么呀……            
(3星)	 每次坏女人的眼睛闪呀闪，就要有人死了。真规范呢。            
(3星)	 传达的理念很好，但剧情实在太烂            
(NA)	 佘大妈跳雷人舞~吕珊出来跑龙套~大家都在唱大戏~剧情还不够狗血~陈豪只好画眼线~            
(4星)	 TVB的老戏骨们你们让我欲罢不能啊~~ 顿时觉得关菊英和米雪好配。戏看完了我也从长相上分出来谁是杨怡谁是佘诗曼。。            
(4星)	 很一般很一般 但我还是要打上四颗星 谁让我爱TVB~            
(4星)	 那么多女人啊.....            
(NA)	 圣母好才是真的好            
(4星)	 其实不长，但是总是不忍心看，感觉看起来好累。人真是难防。            
(3星)	 造型不错~            
(3星)	 乱七八糟不是为了杨怡就不看了。。。            
(3星)	 英文字幕很寒...            
(3星)	 佘诗曼怎么看怎么是奸角，郑嘉颖老演这种失忆的大傻子。这是一个腐剧……            
(3星)	 华丽            
(2星)	 凭什么金铃要比三好惨，不是编剧蠢钝如猪就是编剧以为全世界都蠢钝如猪            
(2星)	 好傻……            
(3星)	 11 有点无聊            
(4星)	 我是冲着华丽的装束和忽闪忽闪的睫毛去的~            
(3星)	 妈呀综算看完了！！！            
(4星)	 其实还好啦。不至于三星            
(4星)	 虽然一看就是编的....            
(3星)	 最后集看的我们俩狂笑.......- -            
(4星)	 就看了最后两局，杨怡原来也可以演BITCH!!!!!!!            
(NA)	 我就记住了个“XXX你蠢钝如猪”  哈哈哈哈哈            
(3星)	 看得我堵得慌/            
(3星)	 结局好假            
(3星)	 虽然不习惯佘姐姐扮好人。            
(4星)	 TVB的编剧还是很有文采的一股            
(1星)	 TVB最烂的年度大戏。。。。。。        亏我第一集哭的要死，那个激动，等到陈豪当皇帝时。。。。原来当皇上那么容易            
(3星)	 说到反映后宫的波诡云谲和人心叵测，我还是觉得《金枝欲孽》是经典之作，后面出现的就有些炒冷饭的意思了。以前看到杨怡多是一张好人脸的扮相，现下也可以如此狠毒，不得不对TVB演员戏路之广表示佩服，也难怪当年TVB台庆最佳女演员给了杨怡，让阿诗很是沮丧。三星。            
(5星)	 看金铃整贤妃特痛快             
(3星)	 除了两个大奸角其他人都很SB，皇上是终极SB.            
(4星)	 妆容配饰服装真牛B            
(1星)	 我看不下去了……实在太作太傻了……我不行了，还有我讨厌佘诗曼            
(3星)	 2010.6.8-6.20 alone@SH            
(NA)	 膜拜三圣母的囧脸            
(3星)	 跳着看的...里头的正面角色倒都是大丈夫, 真男儿.             
(4星)	 好久没认真看过TVB剧，我老是在观察她们的妆容。。。。李怡得不到所爱，实在有叫我痛心。。。唉            
(4星)	 男人女人争啊争            
(4星)	 我爱刘三好            
(3星)	 比金枝欲孽差远了            
(3星)	  不敢相信自己居然看完这么囧的一部电视剧= =            
(5星)	 佘诗曼演三好真的很恶很做作  整部戏最大的亮点就是杨怡的角色突破            
(4星)	 人心即江湖...            
(1星)	 它终结了我看TVB剧的时代            
(NA)	 我看过            
