http://movie.douban.com/subject/2214122/	还珠格格第三部天上人间 还珠格格3
(4星)	 看的时候每天都想这觉得很好看很丢脸么(⊙o⊙)…            
(2星)	 不好看 爛片            
(3星)	 不叫还珠就好了            
(1星)	 SHIT            
(1星)	 各种去死。            
(3星)	 童年            
(2星)	 反正看着特别别扭，剧情也走向诡异            
(1星)	 一群傻逼！            
(NA)	 这个真心看不下去- -            
(NA)	 小学看的还挺带劲儿呢！            
(1星)	 糟蹋了还珠！！！            
(3星)	 第三部没有赵薇和林心如，没有苏有朋和张铁林，没意思。。            
(1星)	 琼瑶阿姨摧毁了多少无辜孩子的童年呀            
(2星)	 原来我看过这么多弱智的电视剧            
(3星)	 就觉得马伊琍还行            
(3星)	 尔康吸毒记。            
(NA)	 这部放的时候我已经不再有当年的激情了 - -            
(2星)	 第三部不好看            
(3星)	 真的对她没有爱            
(2星)	 还能让我说神马            
(1星)	 不是一般的shit            
(1星)	 简直就是糟蹋了这个名儿了....            
(2星)	 人不在.感觉便不再.            
(1星)	 越发莫名其妙的情节跟演员            
(3星)	 完全不能和前两部比。。。            
(2星)	 反正我没看，只是知道，而已            
(3星)	 om lady gaga 此剧一出，谁与争锋？            
(1星)	 纯粹为了评分而收藏            
(1星)	 砸招牌之作            
(1星)	 看不下去的烂剧            
(1星)	 惨不忍睹！！！！！！！！！！我完全不承认它是《还珠格格》。            
(2星)	 芒果又要拍，oh，no~~~            
(1星)	 可不可以打0.1星啊~            
(1星)	 烂就一个字            
(2星)	 不是还珠格格了已经。不认识的剧。看过了之后都不记得。            
(2星)	 还珠格格我看到第3部才觉醒~            
(1星)	 垃圾中的极品。            
(2星)	 跟1 2简直无法比            
(2星)	 一部不如一部，到最后貌似在拍聊斋了~            
(1星)	 看不下去            
(2星)	 嚇到我，嚇到我，真的嚇到我            
(1星)	 少了赵薇，《还珠格格》不再是《还珠格格》。            
(2星)	 囧到家了            
(2星)	 我老娘必看的剧目啊。我能不陪看么？            
(1星)	 恶心死了。。。。。            
(1星)	 我快被雷疯了!               
(1星)	 恶心死人了！！！            
(2星)	 不要叫“还珠格格”了！            
(1星)	 如果豆瓣有0星，这个将成为我第一个0星。            
(2星)	 第三部么，其实还是有亮点的。知画小姐GJ！！！可惜太宣传迷信思想了-_-还有尔康变成吸毒犯那段实在是惨不忍睹，囧囧囧。            
(1星)	 拉鸡中的战斗鸡            
(2星)	 超烦拖俗！            
(3星)	 记忆...记忆...            
(NA)	 不得不说败笔            
(2星)	 多看一秒都想吐            
(3星)	 就看过这一部......            
(2星)	 烂死了            
(2星)	 年少回忆。            
(2星)	 味道都变了。            
(1星)	 绝望啦！对这个世界绝望啦！            
(2星)	 非常不好看。            
(2星)	 古巨基的古装可真难看 嘴更难看            
(2星)	 实在受不了古巨基            
(1星)	 三部里最绝的一部,里边紫薇的孩子最会演了,好可爱            
(4星)	 皆大欢喜——俗也喜欢            
(2星)	 鉴于它仍然是这个名字讲这个故事，给它两颗心。            
(1星)	 囧囧有神!            
(2星)	 ……            
(3星)	 ………………还珠三部曲就是我的三层省略号            
(2星)	 哎            
(3星)	 一般            
(1星)	 远远不如第一部，甚至赶不上第二部，尤其是换角之后，完全不对，黄奕弄得这是什么乱七八糟的            
(2星)	 这部剧给我最大的贡献是发现了美女姜黎黎。。。美啊美。。。比前任皇后美多了。            
(3星)	 黄奕演的...            
(NA)	 ......            
(1星)	 烂片中的烂片！！！            
(2星)	 卡司各种不喜欢，雷死我了~~~~= =！！！！            
(2星)	 琼瑶奶奶越编越失控。而且这种经典系列主创全部大换血简直就是自砸招牌。            
(1星)	 谁投资的？洗钱来的吧            
(NA)	 【2003】            
(1星)	 零零散散看了几眼。真的非常像是盗版改编的，故事一坨屎，演员一大坨，第一集就看尽了黄奕那舌苔极厚的舌头，舌苔黄厚，小燕子身体是有多上火？五阿哥的事后配音，紫薇的眯眯眼，我去你大爷的吧。            
(2星)	 尔康何书桓附身啊。马伊琍的紫薇也很合适。            
(3星)	 实在看不下去……那个诗画，我要吐了好嘛！            
(3星)	 当年居然把首播给看完了，可是居然忘记自己曾经看过            
(3星)	 新版出来之后觉得这个也没有那么难看了            
(2星)	 这一部记忆最深的就是吻戏太多了。。。哄她的时候吻，生气的时候吻，不可理喻的时候吻，傲娇的时候吻，激情的时候吻，甜蜜的时候你也要吻！！到底是要闹哪样！！            
(1星)	   给你面子，一颗星。            
(1星)	 屎            
(3星)	 如果不是为了古巨基，我不会看。            
(3星)	 烂            
(2星)	 这个真的真的不太好看。            
(NA)	 只喜欢知画~            
(1星)	 sb不解释            
(3星)	 真的该骂的，应该是这一部，而不是《新还珠》            
(3星)	 那句“小燕子生我生，小燕子死我死”真的有感动到我            
(1星)	 新版不知道到后半部分的剧情是否像之前那样狗血            
(1星)	 = =llll            
(2星)	 看了一眼新还珠才知道还珠三也没有那么烂啊QAQ            
(2星)	 当时觉得超难看，不过比起新还珠我觉得还是不错的。。            
(2星)	 第三部完全变味了。怎么着也比新还珠好= =            
(3星)	 三颗星全部给古巨基            
(2星)	 第二部的结局不好吗？如果必须要拍，也别换演员啊~            
(1星)	 呕吐            
(3星)	 和新版还珠比起来，还3简直太好了，而且黄教主的萧剑真的很养眼捏            
(NA)	 。。            
(2星)	 恩 当年迷过古巨基！！！！            
(1星)	 看了几集果断弃之。            
(NA)	 尔康你是否还记得当年对你说： 山无棱天地合才敢与君绝 的夏紫薇            
(NA)	 我现在还能很不要脸的添加电视剧么。。。。老实说。。。真滴觉滴好丢人~~~捂脸~~~~~            
(2星)	 演员太丑            
(3星)	 这明明还是何书桓那里是五阿哥啊．．．　．．．这部情节太憋屈了看得我很恼怒啊！！！            
(NA)	 我靠            
(2星)	 物是人非、只有尔康还是那个尔康            
(1星)	 简直是乱搞            
(2星)	 人员一换，就像shi一样            
(2星)	 这部是败笔中的败笔，，            
(1星)	 绝对噩梦            
(4星)	 知画抱着绵亿追在马车后面哭喊着：“我抱得是绵绵不断的思念，是亿亿万万的决心。。。。。”            
(1星)	 换人是败笔，不然的话，估计还是有一拨人会继续保持忠诚度的…            
(1星)	 主要是非常讨厌古巨基。剧情乱七八糟和演员咋咋呼呼倒是其次。            
(NA)	 容嬷嬷呢！！！！！去哪了！！！！尔康你怎么还不死！！！！            
(1星)	 比起这一部，前两部简直是神作            
(1星)	 难看！！！！！            
(1星)	 无与伦比的——            
(NA)	 无法评价            
(3星)	 置装如此华丽，都像淋了芡汁要上宴席的菜。情深深雨蒙蒙里古巨基演得太棒，可到了这儿怎么还是在演何书桓。            
(1星)	 这是什么东西！！只有歌儿还过得去            
(2星)	 就蒋勤勤惊艳            
(1星)	 为嘛要拍第三部，太败笔了。            
(2星)	 我不喜欢三。。。。。。。            
(NA)	 很无奈的说，看过这个。            
(NA)	 要不要也凑热闹打一星啊？？？还是算了，都不好意思让人知道看过这部剧            
(1星)	 去死吧            
(1星)	 其余都能忍，这皇阿玛太恶心了。            
(3星)	 我讨厌古巨基            
(2星)	 山寨啊·            
(2星)	 新班子玩转狗血            
(2星)	 。。。。。            
(1星)	 杯具            
(5星)	 黄奕是生得很娇美不错，可是人都换完了还看啥？且剧情不讨喜。只能关注一下晴儿……            
(2星)	 这个我真看过。。。。皇上演的那叫一个毁！！            
(1星)	 小燕子无法生育，五阿哥被迫纳妾……            
(3星)	 比起一二来差远了。            
(1星)	 靠，这一部像屎一样，主要问题是黄奕不适合演小燕子，还有琼瑶阿姨这部太多余了            
(1星)	 狗血剧情雷到外焦里嫩，偏偏各个电视台一次接着一次播放，各个时间段不停地看，实在让人郁闷。            
(1星)	 惨不忍睹            
(1星)	 别恶心我了            
(1星)	 一颗星都没有办法表达我的愤怒撒。。。前人的努力，就毁在这里了            
(2星)	 那年的暑假第一次知道了什么叫做雷。。。            
(1星)	 很无聊黄奕很做作，想念赵薇            
(2星)	 我认识了马伊琍，挺漂亮的。            
(1星)	 这部扯到让人发指            
(1星)	 恶不恶心            
(2星)	 补：一星给王艳一星给刘涛TAT            
(NA)	 还是第一部好看= =            
(1星)	 看也不哭！            
(1星)	 实在是破坏经典            
(1星)	 实在都看不下去了             
(2星)	 神马玩意            
(4星)	 相比之下比较喜欢前两部            
(NA)	 如果不是还珠3。            
(NA)	 = =大囧片            
(5星)	 首先喜欢琼瑶，其实黄奕的演技很不错，前面有赵薇居然还能演下去，很不错，再者配乐也很经典            
(2星)	 太多亲密镜头让当初和老妈一起看的俺情何以堪！！！只能默默地东张西望嗑瓜子喝水上厕所。。。后来在缅甸那会忒假了。。。            
(2星)	 好难看            
(3星)	 一二是经典！三是没事找事~            
(1星)	 不解释            
(1星)	 囧雷无比            
(2星)	 狗尾续貂！            
(1星)	 看一眼就吐了！！！            
(2星)	 换了人看着就不爽            
(1星)	 你还有完没完啊            
(1星)	 很难看..            
(1星)	 换我童年之三。            
(1星)	 什么叫一蟹不如一蟹，这个就是……            
(1星)	 因人而异,所以到了第三部变得很垃圾            
(2星)	 绝对是狗尾续貂            
(1星)	 好吧，我承认我看了几集，恶心到死。真是手贱。            
(1星)	 吐血。 我从不承认它是《还珠格格》。            
(1星)	 看了几分钟。完全看不下去的烂片！            
(NA)	 哈哈哈哈哈哈！            
(2星)	 这部超难看…… 我的容嬷嬷            
(1星)	 我就是这样给了一星            
(2星)	 次！次！次！            
(1星)	 换人了还演啥~            
(3星)	 有点小无语            
(3星)	 小时候爱看 很讨厌知画            
(1星)	 黄格格真诡异            
(2星)	 难看死了。            
(3星)	 三星全给酱油蒋勤勤            
(NA)	 ………………………………重复            
(1星)	 第三部是败笔,人换的不像样,剧情很傻            
(1星)	 简直是山寨恶搞！            
(1星)	 纯属杯具。连狗尾都不算。            
(2星)	 喜欢原班人马,一二部是我童年的经典,还珠三最爱慕沙,喜欢她爱得霸道无理,喜欢她的坦率直接,喜欢她眼神中的坚毅与不舍,好可爱的女人啊!            
(2星)	 因为前两部电视剧对我的重大影响，不得已看完第三部，用08年流行起来的话说，那是一个雷啊！！            
(1星)	 难看的不容易啊。。。            
(2星)	 还能有多烂？？？            
(2星)	 怎么拍得出来哦。。。            
(NA)	 没毛病吧？            
(2星)	 唯一的安慰就是萧剑长帅了…            
(4星)	 只看基。            
(5星)	 小学时的电视剧，总有很好的印象            
(2星)	 不是原班再好的剧本也不好看            
(2星)	 印象很差            
(3星)	 一般。            
(4星)	 湖南卫视****年春节期间放。。。            
(3星)	 晴儿和萧剑是最浪漫诗情的一对，紫薇与尔康是最受考验的一对。            
(1星)	 没有半星            
(NA)	 滚！            
(3星)	 现在要翻拍的肯定比这部还囧。            
(2星)	 第三部就无聊了            
(1星)	 简直是造孽……从此后戏有黄奕，必转台            
(4星)	 服装太土，演员选择不太搭调！儿女情长的东西太多！但是细细观赏还是可以的！说实话，这一部挺多余…            
(1星)	 雷的我天上人间了            
(3星)	 其实没有那么不好啊~先入为主了而已..但身为续集,剧情有点扯了..毒品都出来了= =            
(2星)	 在豆瓣的唯一一个两星献给了这部烂片            
(1星)	 哈无聊~~            
(4星)	 完全胡闹！～            
(1星)	 走死了~            
(1星)	 其实我没怎么看过 纯属为了anti而anti...            
(2星)	 古巨基好丑 = =            
(2星)	 。。煎熬着看完的。。~            
(2星)	 2003            
(3星)	 对这部没什么感觉            
(1星)	 看着从演员到剧情都想骂娘的东西= =……            
(3星)	 谁还没看过还珠格格呢？            
(3星)	 如果换掉书桓同学的配音，也许会更好麽            
(2星)	 越看越没意思            
(NA)	 这部没啥意思啦            
(NA)	 哎~看过只喜欢上知画和穆沙的演员~~            
(3星)	 冲晴儿戏份多才看的。。。            
(3星)	 ~~~~            
(3星)	 唉。。。现在真是不堪回首。。            
(NA)	 我哪怕没电视看我还是看了～            
(5星)	 喜欢黄奕！            
(2星)	 简直就是……唉，没办法，要陪奶奶看啊            
(5星)	 多好看！            
(NA)	 垃圾剧            
(3星)	 比第二部好看！尤其喜欢马伊琍的表演完全颠覆了我不喜欢紫薇的印象。黄奕很可爱，不比赵薇版差。古巨基还是很帅，书桓啊～黄晓明开始看着有点怪，后来还是觉得他挺帅的。            
(1星)	 disgusting            
(3星)	 看了黄奕我就疯了...            
(1星)	 小燕子无法生育，五阿哥被迫纳妾 .            
(2星)	 怎！么！可！以！换！人！            
(1星)	 不喜欢黄奕，赵薇的位子没人能代替。            
(2星)	 当年五阿哥一出来，我就差点被闪瞎了钛合金狗眼            
(2星)	 换人了就不好看了，经典就此断了。            
(3星)	 只觉得小燕子演的欠火候            
(4星)	 我真是一部一部看着小燕子变成老燕子了啊= =            
(2星)	 不喜欢鼓巨鸡            
(NA)	 唉。。。。            
(NA)	 为了看第三部这如今想来不伦不类的玩意儿 我每天都在乌鲁木齐晨报找预告并每晚和我姥姥抢电视 在她批评我“尽看这些没有教育意义的电视剧”的声音里坚持看完它 并结束了某些热情            
(2星)	 跟一二没得比。。而且剧情太烂了            
(1星)	 滚！！！            
(1星)	 傻燕子跟港阿哥苦B恋情......            
(1星)	 当时看觉得吻戏拍的真咸湿            
(2星)	 木有前两部还好点。            
(3星)	 哈哈哈            
(3星)	 不该换人的            
(3星)	 感觉马伊琍演当妈的紫薇还不错，林心如永远都是少女。。。            
(NA)	 特别认真地学过OP还是ED来的！            
(2星)	 演员不给力~肿么都不给力~            
(1星)	 傻。            
(1星)	 烂            
(1星)	 雷剧闪闪            
(3星)	 哈哈哈            
(2星)	 东儿生水痘那段很感人            
(3星)	 本来以为会原班人马，结果……本来黄奕因为《上错花轿嫁对郎》、《新女驸马》蛮喜欢的，结果……刘涛不错。            
(2星)	 古巨基的鼻孔很大            
(2星)	 毁童年巨制= =            
(1星)	 吐槽无力……            
(NA)	 已经不知道说什么了这部。。。            
(2星)	 这部就要差很多了。观众其实蛮难伺候的，渴望演员有所突破又不希望太大改变...难啊！            
(3星)	 一星给马伊琍            
(5星)	 尔康～尔康～～尔康～～～～            
(NA)	 晓明哥从那时就满脸的“我难道不帅吗不帅吗”，不过那时候确实还不错            
(3星)	 好            
(2星)	 狗尾续貂            
(1星)	 垃圾。。。。。。。            
(3星)	 小燕子成啥样了            
(1星)	 肿么木有0星喃？            
(NA)	 = =不是原班人马我看的好怪            
(2星)	 人都不认识了，没看全            
(2星)	 呸！            
(3星)	 兩星半吧，當時看了一點。            
(2星)	 还珠幻灭吧！            
(2星)	 当年看过，当年去灵山写生小别墅里大家都看过            
(4星)	 这部印象不深，换人了，不过那时候觉得古巨基好帅哈哈。            
(1星)	 丑死了！            
(3星)	 特不喜欢黄奕版小燕子            
(3星)	 不想说什么!            
(3星)	 已经不是印象中的还珠格格了！不过，音乐都蛮好听的            
(2星)	 换演员后不堪入目            
(NA)	 很期待第三部，可惜拍的很难看。。。            
(2星)	 我忒不喜欢黄奕这小燕子，古巨基演的五阿哥也让我忒别扭。可我还是把全剧看完了，真佩服我自己。            
(2星)	 唯一看着顺眼的就是马伊琍。            
(NA)	 不好看 就替尔康着急了            
(2星)	 这部当时只断断续续看了一些，决定弃了，2星是给几个喜欢的女演员的，例如蒋勤勤，马伊俐。。            
(1星)	 演员都去吃屎吧            
(3星)	 不喜欢  主要看过前两部才会去看第三部            
(1星)	 黄奕演的没有半点感觉，马伊琍当时双目无神，古巨基那样难看死了。            
(2星)	 这个太难看了            
(2星)	 小燕子假 紫薇做作 看了2集直接弃剧            
(4星)	 最后你们还真是风风火火走天涯了            
(2星)	 如果說這部和之前的差別，不僅僅是演員的演技，更是兒女情長遭遇現實的問題。可能如果一直持續前兩部的單純一對一式王子公主情愛戲碼會好很多吧。但是還是喜歡紫薇和爾康的深情。            
(2星)	 换了人 感觉就不一样了  不过还好是换了人演的  不过尔康和紫薇的故事还挺有意思的！！皇上没有一点慈父的感觉！！！            
(3星)	 演员换血。。。皇帝不霸气~还是1和2经典。            
(3星)	 琼瑶阿姨的作品啊~            
(5星)	 还记得那年班会唱天上人间，尼玛真是疯狂啊！            
(2星)	 没一个感觉对。。。            
(1星)	 yamedie            
(1星)	 前两部看完了，2星。那时年幼。这部不能忍。            
(1星)	 快乐燕变成苦逼燕！            
(4星)	 小时候看的了，当时很喜欢马伊琍柔柔弱弱的感觉，怀旧中            
(1星)	 还不是最烂的一部？？            
(2星)	 对部分演员不满意。            
(1星)	 什么乱七八糟的，完全毁了。            
(3星)	 还是喜欢之前的。。。。。            
(2星)	 演员换过就不怎么样了。感觉有点假。            
(3星)	 这个真心不好看。            
(2星)	 糟粕的小三。那时候的教主还不错哦。            
(1星)	 。。。。。。。咕~~(╯﹏╰)b            
(3星)	 换角是硬伤啊。就大鼻孔还看得过去。林心如啊！            
(3星)	 婚后的紫薇多了一点成熟稳重            
(2星)	 卧槽！            
(2星)	 幻灭            
(2星)	 没有那么差劲吧也。            
(2星)	 为我的还珠落泪。。。不过稀罕蒋勤勤、秦岚。。            
(2星)	 完全不能与一二部相提而论            
(1星)	 不说了            
(3星)	 我是小燕子的脑残粉嘛，所以看不惯            
(2星)	 這是什麼鬼東西....            
(3星)	 十分十分厌恶新版《还珠格格》老拿老《还珠》当挡箭牌！！只要一有人说它烂，就会被说成是与老板的相比了。。。其实，这一部才真正算是不跟老版比，还不错的琼瑶剧！            
(2星)	 勉强算看过吧。。。巨傻狗尾续貂。。            
(NA)	 这一部基本就没法看了            
(4星)	 童年回忆啊            
(3星)	 还是觉得结局不给力 但是要是但是赵薇他们继续拍的话 就更加好啦。。            
(1星)	 各种去死。            
(NA)	 只看过一点点 不喜欢古巨基            
(2星)	 我去···            
(1星)	 这就雷的不行不行了。。。。。。。。太差            
(1星)	 哎~~~怎么以前喜欢的还珠格格后来就成这样了~~            
(1星)	 鸡肋、狗血、苦逼。。。啊，苦逼这个词，就是为这老太太的裹脚布造的！演员那就更别说了。。。            
(2星)	 讨厌黄奕！！！！！！！！恶心死了！！演员不符合原本性格啊！！！            
(2星)	 哎哟，无力吐槽了。。。            
(NA)	 狗尾续貂之作            
(3星)	 换了人就各种不习惯了=。=            
(3星)	 真的不来感。。。            
(NA)	 这一的  除了婚后第一天和揭开之画真面目之外  真心挺难看的            
(3星)	 吻戏太多            
(1星)	 这个雷剧我竟然现在才标注！            
(3星)	 。。。。。那个磁带            
(2星)	 OMG！神马玩意            
(2星)	 我已经无语了            
(3星)	 小时候看的了            
(1星)	 啥东西            
(3星)	 啧啧~            
(1星)	 真是看不下去啊            
(3星)	 这部不能当做前两部的续集来看，感觉已经不同了~            
(3星)	 明显秦岚的知画，还有刘涛出挑了嘛，没有了赵薇、林心如、范冰冰，谈什么还珠格格            
(1星)	 完全没法看，尔康都吸上毒了            
(1星)	 太烂了.....请让我遗忘            
(2星)	 哎呦我艸            
(NA)	 美美            
(2星)	 看过两眼            
(3星)	 原来电视剧也算啊=。=            
(3星)	 么什么好说的。            
(NA)	 黄奕格格古巨基阿哥……真的是让我开始怀念以前的还珠了            
(NA)	 这个就水了            
(1星)	 浪费时间            
(2星)	 主角弱爆了阿，完全没有琼瑶剧的味道了。            
(1星)	 把还珠格格系列给毁了 个破第三部            
(2星)	 除了周杰和王艳，主演们几乎都换了，不喜欢不喜欢，当时看“情深深雨濛濛”时就蛮不喜欢娘娘的古巨基的，现在又来演五阿哥了，晕啊，还有黄奕，这女人反正蛮讨厌的，在里面粉底涂的也超级厚，恶心死了，不过还有几个演员也因为此剧而红了，比如黄晓明和秦岚。。而且还有马伊俐和刘涛参演。            
(2星)	 貌似还看了蛮多集的，比新还珠多。            
(1星)	 第三部的存在就是个多余            
(1星)	 其实应该让编剧来演……            
(2星)	 当时完全是冲着王艳去看的，她的演技果然没让我失望            
(NA)	 沒有最垃圾只有更垃圾之一            
(NA)	 都变样了。。。恶寒            
(3星)	 江山代有才人出，一浪更比一浪浪！有了新还珠，还珠3终于被拍死在沙滩上了            
(2星)	 什么都是靠比较阿。当年这第三部有多屎，比起最近这一步，这第三部简直可以看了阿有木有。海绵宝宝紫薇格格坑爹阿。            
(1星)	 假            
(3星)	 现在想想 这个结局不错            
(3星)	 对于新还珠来说，我觉得这片子值三颗星了。            
(2星)	 从新还珠的剧本看，琼瑶自己就已经把这部给否决了，新剧本里第三部的内容基本就没有。。。。            
(3星)	 已经忘了当时看这个的心情了，只是和新的比起来，这个起码有很多可批判的看点加上人精知画，还是可以连拉带跳的看两眼的            
(1星)	 真心看不下去了            
(2星)	 笑死人的第三部。。。。。。。。            
(1星)	 还是不喜欢黄奕，李晟比她好。。。            
(2星)	None
(5星)	 爱很纠结的一本~~~            
(1星)	 尼玛怎么这么乱呀......那个紫薇分明从格格变回了嬷嬷有木有......            
(1星)	 毁灭了我的童年            
(1星)	 原谅我看到尔康风骚的地方就hold不住了……            
(4星)	 不喜欢黄奕是真的            
(3星)	 三星半。            
(2星)	 就是对这燕子无爱            
(1星)	 好恶心的片= =恶心的演员恶心的剧情            
(2星)	 难看的1B            
(1星)	 天上人间            
(2星)	 每当小阉子念成语等，我都望漫漫电视，难以抑制往上豁屎的冲动！            
(2星)	 垃圾 完全和前面的不搭            
(1星)	 绝对bug...            
(3星)	 不想说了            
(3星)	 那时趁热打铁拍得第三部 已经是恶评如潮  现在再来个翻拍 简直恶心死了!            
(2星)	 狄龙接受无能            
(2星)	 换人了没劲            
(3星)	 第三部的演员啧啧啧……            
(2星)	 不知为什么我喜欢乾隆和夏盈盈那段            
(3星)	 看了新还珠后，你会对这部包容很多的            
(2星)	 无情无耻无理取闹。            
(1星)	 。。。。。。。。。。。            
(1星)	 当年我看的那个伤心啊……就看了三分之一……断断续续……这怎么能叫还珠格格怎么能！！！！            
(3星)	 想吐            
(2星)	 我受不了那小燕子那紫薇那皇阿玛那变成好心肠的贱人二人组!!!            
(2星)	 很无语很无语。            
(1星)	 超级狗尾续貂 真没看下去 黄奕演过头了 紫薇总觉得鼻子不通            
(1星)	 断断续续陪妈妈看的，实在看不下去= =            
(NA)	 哭你妹            
(2星)	 为了蒋勤勤和秦岚，最近重温了一下这部剧。结局有些压抑            
(1星)	 还有比这更恶心的？            
(2星)	 初中。            
(3星)	 咦我居然没加这个。最讨厌尔康失忆那块了……蒋勤勤的那个歌不错！不过这个皇帝我不喜欢=。=            
(2星)	 真的没有拍这部的必要了            
(2星)	 不喜欢。乱七八糟的。            
(3星)	 原来觉得这部最难看，结果是《燕儿翩翩飞》            
(3星)	 比起新还珠，你还是可以的            
(2星)	 一部比一部烂= =            
(1星)	 同样的劳民伤财            
(3星)	 最多只能算还行...            
(2星)	 不好看不好看，都没赵薇演的好看            
(3星)	 为什么要换演员....            
(3星)	 平心而论 不考虑演员因素 还是不错的 虽然各别情节比较雷~            
(NA)	 这部大概是我最不欣赏的了。。。            
(NA)	 古巨基演这片完全自毁名声~            
(5星)	 虽然自己也未必都看全了，但是还是推荐，只因为它是《还珠格格》~            
(1星)	 不好看            
(3星)	 音乐不错            
(2星)	 还是赵薇好。。。            
(3星)	 本来都不屑于给评，看了新版之后，忽然觉得老版真的不错了………………            
(2星)	 只有赵薇才是小燕子，只有林心如才是紫薇。            
(2星)	 我是来看紫薇跳崖和尔康耍疯的。            
(3星)	 剧本很好，演员给糟蹋啦            
(3星)	 无力吐槽            
(2星)	 可惜了黄奕 古巨基啊~            
(3星)	 看看新版的，觉得这个还行吧。            
(2星)	 因为要对比新还珠。我不得不给2棵星啊！！只是因为美女多一点点！            
(3星)	None
(1星)	 垃圾            
(1星)	 尼玛这东西我居然是看过的……每每手贱调到了播这个的台，不顾狗眼的安危看了那么一下下，就可以胸闷一个半天不能平复……            
(3星)	 有诚意的第三部 可以一看            
(2星)	 除了知画别的都不喜欢= =            
(2星)	 真的 还是别换人 人家不想再演了就别再拍了……            
(NA)	 本来以为三够烂了……后来……我就被雷焦了。            
(2星)	 没神韵了啊换了人马 不过知画我喜欢....            
(2星)	 确实好烂            
(3星)	 比新还珠多俩星把！            
(3星)	 狗尾续貂            
(2星)	 我只能接受前两部。            
(3星)	 曾经因为爱情的折磨而让人心碎，让人哭泣，或许这就是琼式情感的经典之处。 没想到03－11年竟然都没有新作品的琼瑶竟然会选择马桶台来作为新式还珠格格的推介平台，希望她不会后悔自己的选择！            
(3星)	 换人了。            
(1星)	 渣            
(1星)	 黄奕是烂片的质量保证            
(NA)	 我不想打分，一星也不想给，黄奕长得像傻逼，剧情没劲            
(1星)	 去你妈的，什么狗屎剧情            
