http://movie.douban.com/subject/4812751/	成均馆绯闻 성균관스캔들
(5星)	 韩版的《梁祝》，古装《花样少男少女》，又是美男打包放松的超级福利，正经男风骚男叛逆男腹黑男，男一男二男N各个独当一面，尤其喜欢宋钟基的风骚花花公子，表情太多变太有爱了O(∩_∩)O~            
(5星)	 男主的各种挣扎才是看点啊，虐心神马的，而且朝着直男变弯之路义无反顾的走下去了？骗你的~            
(4星)	 我是为什么总是爱不上男主，佳郎很好吗?桀骜不更适合大物?最最让人怜的女林。            
(4星)	 女林好诱人啊，皮肤好，笑起来俏，真想亲一口！！！可是看到桀骜，我又想那胡子扎。。。。。            
(5星)	 看得我荡漾~~~            
(5星)	 桀骜是女林的！女林是万年好受！            
(4星)	 当作腐片来看了。。。            
(4星)	 桀骜是女林的！            
(4星)	 女林真是……真是人见人爱，花见花开~~~~~~~~~~~这片子三个男人简直是极品，极品了，哎哟~~~~~~连博士都╮(╯▽╰)╭~~~~~实在是太逗了~~~            
(4星)	 韩国版梁山伯祝英台，男二发现女主是女的之后就一直处于上树喝酒状态。            
(NA)	 女豬腳要是變成男滴，這部劇就完美啦~            
(NA)	 为什么你们可以忍受这么挑战智商的编剧！！我最讨厌的女主就是一个劲扮坚强扮聪明但是动不动就泪眼汪汪从头哭到尾还蠢的令人发指，没有男12345…护航就没法干成一件事。偏偏这个剧还没播完推荐我看的同学你的居心何在！！还有！！女林你敢不敢更美一点！！！！！            
(3星)	 编剧谈谈情还成，耍阴谋树理想就自爆其短给白掉了，果然编剧你还是写写谈情说爱的就行了。            
(5星)	 为了米子从日剧堆里爬过来~果然没有失望的说！~~！太有看头的一部剧啦            
(4星)	 喜欢有天~            
(3星)	 虽然很爱朴有天，剧情也还不错，宋钟基也很可爱，但是实在他妈太拖拉了..看到13集..忍不住还是弃了........不过放在硬盘一直没删，哪天说不定会补完吧            
(3星)	 基情四射 女主挺漂亮的~            
(4星)	 钟基你个小王八蛋！钟基你个小妖孽！！            
(4星)	 “这分明是中国梁祝、日本花君、韩国咖啡王子一号店的综合朝鲜版！”            
(4星)	 情节不紧凑，东拼西凑小故事。好在美男美女多，演员对角色把握的不错。            
(4星)	 我是为了朴有钱啊。。但是基本上忍不下去了。。16 17大粉红！！！！大米！！！！  面瘫瞬间痊愈了哇～～            
(NA)	 好、扯、淡！            
(2星)	 你们都在看这个神马恶心的            
(5星)	 不动脑子看，男主角们简直是帅死了。。            
(3星)	 第二集，弃。啦里好看了！            
(5星)	 喜欢这种纯纯的感觉 。。。            
(4星)	 这个韩剧真是还不错            
(4星)	 出乎意料地好看！            
(5星)	 2天一口气的追了10集~~~剧情很好哦~~比大陆拍的女扮男装剧只出现尴尬场面来展开的类型，内容编排好多了~~~            
(5星)	 有很多评说，因为东方神起、因为有天才给此剧打5星。而且打5星者都是东方神起或有天的饭。真是冤枉啊。至少我不是。刚开始看，对有天的男一很无感，觉得脸有点胖胖的，其实一开始以为女林是男一的说。现在一集集追下来，到11-12集的时候，突然觉得有天好帅，侧脸超好看。难道我也被秒了？            
(5星)	 男主角虽然长的不是很帅，却很耐看，并且非常适合这个角色！            
(4星)	 竟然觉得很好看，虽然后面仓促疲软了            
(5星)	 成均馆不错不只是小情小爱的青春偶像剧它是励志的，是感人的，有梦想，有担当，是一部青春成长史不单是过去的那种杂草女主的灰姑娘成长史，其实更是一部男主逐渐感化他人，自己也得到成长的青春奋斗史，相信他们会走出一片精彩震撼的人生，有爱情有友情，有梦想            
(NA)	 我已經完全被迷倒了，真是一部好劇。            
(5星)	 从来没有指望过一个唱歌的能演戏 没想到朴有天演的还不赖...... 没想到真的没想到 是部还不错的片子            
(4星)	 NND，俺们国家的科举绝对比棒子们有故事得多了~！            
(4星)	 总算看完了。MICKY真的是一反常态，做了次冷酷男；国民弟弟怪不得就这样红了，太萌了吧也~话说，桀骜和女林最后到底在一起咩？貂蝉是很经典的女人。            
(4星)	 大米演员之路~~~通通通~~~~            
(4星)	 韩国人是如此热爱“孔子”啊。看得为数不多的古装韩剧里面最好看的一部了，还是喜欢刚开始搞笑成分居多的轻松剧情，越往后就越冗长而啰嗦了，韩剧的通病。总之，是一部好看的古装校园剧。            
(4星)	 古装造型不错            
(3星)	 ……没看懂            
(2星)	 不知道为什么看到有人说故事新颖。这片明明就是翻版梁祝~ 看了1集就不想再看了 没什么意思            
(4星)	 男二萌晕了...（*@ο@*）             
(NA)	 怎么都看不进去 不喜欢那个年代            
(2星)	 好啦 把老子的少女心都拖沓没了            
(5星)	 6集时5星，现在有想给6星心情。2010年秋天......最好的礼物。            
(4星)	 这结局还能再雷点吗= =！羁绊父子情+粉红CP腐+一本正经的淫荡书生夫妇= =？桀骜啊TT~爷的心都给了两个男配TVT桀骜是女林的！            
(5星)	 看美剧可以让人增长知识，看韩剧可以让你热爱生活。这部剧狠狠地吸引住了我。很爱看有天和小宋，这里的女主也不是那种装傻充愣没脑子的，已经向好多朋友强烈推荐了。            
(3星)	 莫名的不待见女主            
(3星)	 我看过的韩剧不多 但是女扮男装的频率也太高了吧…  这部韩剧还是没打破传统，仍是一女多男的状况让一个十分渴望男色的我很是羡慕嫉妒恨呐。。            
(5星)	 看第一二集的时候真的不想看下去，主要是不待见女一。看到后来那是越看越想看了~不错的剧，有天的表演很精彩！对于一个表演新人来说真的很棒~            
(5星)	 闷骚、腹黑、妖孽、傲娇……集种种美男于一体……n男一女……果然很给力……宋钟基你是最最最风骚的！！！            
(3星)	 中断以后就槑得没边了，女猪各种面瘫脸，以前演《自鸣鼓》的存在感全飞了            
(4星)	 在看，目前好看。            
(3星)	 前面好看..后面有点不知所云            
(5星)	 古装青春校园励志剧，看得俺心潮澎湃，热血之魂与腐魂熊熊燃烧。作为表演处女作，有天的演技好得超乎想象。看过最好的韩剧之一！            
(4星)	 其实和梁祝一开始剧情很像好吗- -            
(NA)	 对朴有天特别特别特别无感！！想不出可以喜欢的理由！！            
(4星)	 令人心情愉悦的片子啊            
(5星)	 偶像剧            
(4星)	 竟然很好看！ 晋江，女频，后宫，群P，资深腐的灵魂在咆哮            
(4星)	 还行吧，韩剧的通病都有，还算清爽的.左相的眼睛的颜色好特别啊！！！灰色的！！！好喜欢！！！            
(4星)	 画面质感极佳剧情有点瓜的但依然很有萌点的剧。男女猪脚看着都很别扭，但是在一起就很有观赏性  骚包女林萌死了 貂蝉姐姐有气场 眼镜男很可爱 但是 非要加上什么家仇国恨的很别扭            
(5星)	 姑娘不错。。            
(4星)	 这部剧就是男三是亮点。。。。宋钟基演的女林实在是风骚的男女通吃各种可爱风骚 我爱死他了 男二也不错 男主实在是不给力！！！            
(3星)	 为了宋钟基 勉强看过            
(4星)	 女林你对桀骜的爱实在是赤果果的呀:D            
(5星)	 女主角是一个从不来大姨妈的女人            
(NA)	 还不错，但老觉得这些情节颠来倒去的都看过。。。有点老套。。。囧。。。            
(5星)	 第一集要耐心看下去~  目前看过的最好看的古装偶像剧！各种不舍啊！            
(4星)	 完全被女林迷倒~            
(3星)	 micky的演技有点差～            
(4星)	 男女主很可爱，花美男具容夏&amp;掌议 ;-) 结局唯一的遗憾在于对掌议与貂蝉交待不足。            
(3星)	 果然只有男2和男3是用来爱的。。。。            
(5星)	 我大爱的桀骜啊！            
(5星)	 喜欢女林.            
(3星)	 看在小骚货的面上才看下去的，纠结死姐了。。。            
(5星)	 冰山男主+妖孽男配，古代校园言情有木有啊！            
(4星)	 结束了真是莫名的空虚啊！！朴佳狼乃的动手能力有待加强，结尾真是给力！            
(3星)	 不知道为什么，看着看着就索然无味了。            
(4星)	 好看！泡菜古代版的花样少年少女~            
(1星)	 我没看过！我只是被剧照恶心了！顺便说句，浪漫满屋我都看得想吐。操你们爹的傻逼棒子。            
(4星)	 奸情那奸情            
(5星)	 渐入佳境的片子，会一直追下去的            
(5星)	 很好很好的一部剧~~难得不拖沓的情节~·天哥表现NICE！！            
(NA)	 传说很好看            
(5星)	 目前为止很好看！期待后续！男主很有型！            
(4星)	 服了棒子，同是梁祝，人家拍的真是萌啊            
(5星)	 这部剧不只看男一男二，还有男三男四。。。。男N！！            
(5星)	 轻松活泼的，挺好看            
(4星)	 没坚持看完            
(5星)	 秘奇有天！！！！！我高中时期的情人之一喔！            
(5星)	 佳郎，大物，桀骜，女林，垂涎四人帮，永远。            
(5星)	 男人的一定支持啊！            
(5星)	 我只知道朴某人的大妈饭越来越多了            
(4星)	 基本上比鄭允浩那會好TT            
(4星)	 桀~骜~            
(3星)	 就像沈佳怡说的，爱情在暧昧不明的时候最美丽。佳郎知道大物是女纸之后就没的什么看点了！三星给女林，妈的，太妖了            
(4星)	 很轻松            
(3星)	 没有朴敏英姑娘我真看不下去。绝大部分韩剧到后半部分就可以快进看了。            
(4星)	 有天很好 宋钟基真可爱 演技不错的             
(4星)	 还不错的片子，朴敏儿长得就是待人稀罕的样子，人说相由心生，所以肯定也是可爱甜蜜的性子喜欢女林，可能因为他是最轻松的，总是笑眼旁观，没有爱情的负累朴有天，刚看的时候真算不得好看，不过看看发现还行吧，不烦人，特别是眼睫毛好翘啊，不过真心说像是烫的，哈哈其实桀骜虽然是大叔样，不过            
(3星)	 拖沓死了 不就是翻版梁祝么.... 冲着帅哥给三颗星吧 朴有天和宋钟基~擦狼黑哟~            
(5星)	 基本不看韩剧的我 这次也沦陷 孽缘哪！            
(NA)	 追日剧的无聊空挡拿来消遣的《成均馆绯闻》~喜欢女林跟桀骜~            
(3星)	 里面的男人都是瞎子。不对，瞎子都看出来那个是女人了好么。            
(3星)	 不喜欢这种。。。            
(4星)	 结尾的时候就开始各种拧巴了。。。。前面和中间非常好看啊            
(4星)	  其实女林才是最默默付出最寂寞最悲催的角色。            
(3星)	 对时代背景无语的来 拖沓            
(3星)	 宋钟基是亮点            
(5星)	 比起阳子，更喜欢她。 （刚开始） 第一次这么讨厌的主角情侣啊，麻烦你们谈恋爱，关起门来，不要让观众看到，两人都很嫌弃啦。男一一副色狼相，色狼之神，色狼之举无处遁形啊。唯一舒心的是桀骜和女林啦。女林有80%copy水果篮子绫女的角色，有没有，名字颠倒，职业也相同，来，给爷笑一个两位            
(5星)	 无论是看故事，还是看人物，这都是部好看的剧。            
(4星)	 真是钟意女林啊            
(4星)	 就是入戏慢 不过宋钟基嫩帅小伙真是养眼 已视他为二爷的接班人鸟            
(3星)	 没有很多想法~~韩国版的梁祝么            
(2星)	 在朋友的推荐之下看的同时也为了满足最近的花痴少女心。失望啊失望啊，以男扮女装为卖点，故事情节松散，连两位主角的爱情都被女林的风头抢尽了~~哎~~   原谅我，整部剧我都快进看女林去了。            
(4星)	 耶~            
(5星)	 大爱宋钟基            
(4星)	 泡菜国古代校园梁祝版爱情故事:)            
(4星)	 啊~~真的是被宋钟基萌死了啊~~            
(4星)	 完全不能抵挡同学爱的故事啊哈哈哈哈~~~~            
(3星)	 宋钟基太可爱了~~~有天~不是我说~你这从头到尾就一个表情。。。打了肉毒了？？？？            
(NA)	 一口气看完~！让人不禁犯花痴的电视剧最有爱了~~            
(4星)	 讲故事的模式值得学习~~            
(5星)	 超爱~~            
(3星)	 淡淡的爱情 不现实却吸引人            
(3星)	 韩国版的梁山伯与祝英台            
(4星)	 大爱宋钟基。剧本还行。            
(NA)	 今年韩剧里制作精良的一部。朴大米的初次表现让人有惊喜。            
(4星)	 因为有天哇！后来发现宋钟基怎么看怎么帅！让人花痴的片~            
(5星)	 幸亏是古装，要是时装戏就要翻了天了。。。            
(3星)	 有点拖沓            
(4星)	 女扮男装很有爱！            
(4星)	 傻逼男女不分，搞了那么久暧昧。            
(4星)	 开始还挺搞笑的。。结局真的不怎么滴~~            
(4星)	 看个乐呵，中日韩类似剧集情节各种混搭            
(3星)	 翻版梁祝+F4再战江湖宋钟基真是长得粉嫩~            
(NA)	 01            
(5星)	 唉，这么多集，我只是在看某个人而已T T            
(2星)	 女主角一直在卖萌，卖什么啊，好想揍她，不是我的菜！剧情节奏慢死人不偿命的！据说结局也是中规中矩，看了一半不想看了            
(4星)	 求十分给力的结局的那本书！            
(3星)	 没看完 除了宋钟基其他都无感            
(4星)	 两星给两个男二号，两星给女主和服装。            
(3星)	 花了一个多月才看完。怎一累字了得！！            
(5星)	 结局好雷人啊哈哈哈哈红色的小黄书            
(3星)	 我还是觉得很无聊。。            
(3星)	 如今也只有这种伪基剧才能升高我的肾上腺素了..            
(3星)	 剧情太拖沓啊！            
(5星)	 虽然有很多无奈什么的 但是结局还是很温馨            
(3星)	 概设尚可，细节无稽。几集弃。            
(4星)	 此片儿 通            
(3星)	 养眼……而已            
(5星)	 超级好看啊~~朋友推荐了几次才去看，结果就沦陷了~~女主好漂亮~几位主角都很喜欢！是一部值得看的片子！            
(5星)	 像我这样一般都不看韩剧的也被这个剧深深吸引啊，剧情比较有内容，而且不管主角还是配角都很有特色，该剧宋钟基最最最养眼了！            
(4星)	 比起MICKEY的男一，宋钟基这个男三还是更趣乐啊            
(2星)	 出来就是像是群P的戏，让人没了坚挺。不过赞个桀骜和女林            
(5星)	 很好很好很好~！同期的几部剧里算是王者了~！KBS的电视剧还是有保证的~！！超级爱佳郎啊~！太有爱了~！结局一定要是和啊~！            
(5星)	 爱上单眼皮男生            
(5星)	 有天真的演得不错            
(5星)	 看完《成均馆绯闻》第15集，我内心忽然就有分情绪难以抑制汹涌而出。       15集中，李善俊对赵家小姐说：“对不起，我再也不能如平凡的大丈夫那样给女子情分了，我们退婚吧”而后，他追到金允植面前，对他说：“我喜欢你，这是我无法把你当成朋友、同房生的理由，但我不会让你受伤，不会让你被人            
(4星)	 我又狗血了            
(4星)	 是为了朴爷看的，演技什么还有上升空间，但是这部剧里的表现已经是超出对大米的期望了，呵呵。还有女林桀骜都让人爱到不行，尤其是萌翻了的宋钟基。至于女主，观感一般，既不排斥也谈不上喜欢。总的来说，这演员选的都还比较养眼啊~~4颗星，剧情无甚新意。            
(5星)	 每个人都很喜欢，太好看了！            
(5星)	 故事情节吸引人，朴有天更吸引人            
(5星)	 看见好多亲说差点弃剧~~我何尝不是~~我当初看到好多人推荐说很好看~但是我在看第1集的时候好苦恼- -不知道好看在哪里~~于是弃剧了~~过了一小段时间~我实在没有连续剧看的时候才继续接住第2集看的~~~~~~~结果~~~第3 4集开始~~~我疯狂了            
(5星)	 太有爱了。            
(3星)	 好吧 我觉得我勉为其难应该看一部韩剧了 结果受不了节奏果断快进看完            
(5星)	 剧情好，演员阵容也很好，选的角色都还很不错，特别是大米，第一部电视剧就有如此精彩的表现，女主演技也好，连配角演技都很华丽。强大的剧集，强大的阵容            
(5星)	 每一个角色都那么讨人喜欢，爱死这部电视剧了！！！！            
(4星)	 别的就不说了，都追到第13集了。就那个～～～～～宋钟基呐！原来就是【圣诞节会下雪吗】里面那个早夭的哥哥过。。。2010-10-06 好了两个人kiss过了（话说17集的吻戏非常没必要！），接下去没意思的很，over            
(3星)	 其实没那么好看            
(5星)	 男len~            
(5星)	 很不错的一部韩剧！！演员选得好，演技都不错，尽管有天还是新人，但表现真的很出色！支持啊~~~~            
(3星)	 虽然不错，但太拖泥带水            
(5星)	 必须五颗星~为了迷死人的佳郎  为了可爱的大物 为了男人到死的桀骜 为了满足我所有腐心理的女林            
(5星)	 看到这片在这儿评价这么高 真不错 片子确实制作精良注意细节 剧情也不落俗套 赞 所谓的古装F4个个有魅力 不过还是女林最可爱 啊哈哈            
(4星)	 哈哈，好看            
(4星)	 一看韩剧转眼就是凌晨5 6点            
(5星)	 难得的有剧情韩剧            
(4星)	 比九尾狐好看哟            
(4星)	 后宫剧～            
(5星)	 好 看 的 ！！            
(5星)	 女拎啊女拎！！！！你是男人身躯的女人啊！！            
(4星)	 挺有趣的~！            
(4星)	 囤着，看女林            
(4星)	 宋钟基那一个粉嫩啊 偶尔贱兮兮的样子真是可爱 有天演技还是很有的             
(5星)	 他的成长我看得到            
(4星)	 不错啊，很有爱            
(5星)	 不得不说里面的所有都喜欢，很久没找到想要一下子看完的韩剧啦。            
(NA)	 看到第6集，实在受不了了，太矫情了            
(3星)	 还是疯马比较帅啊            
(3星)	 说这部剧出乎意料好的人，不过是期望太低了            
(5星)	 那个男三号骚死了！！！            
(4星)	 韩国的梁山伯与祝英台            
(5星)	 较期望更甚，心平气和时慢慢看的佳片。            
(4星)	 韩国版梁祝。            
(5星)	 大爱········            
(4星)	 最开始是因为有天看的 默默看下来 却渐渐被其他几个男生萌到 加之剧本也确实不错 唯一可惜的就是 结尾部分太拖沓了            
(4星)	 萌男1234号            
(4星)	 更新实在慢的            
(5星)	 纯支持有天。还行，看得下去。比某人的疯癫路线好多了...            
(5星)	 只能说有天饰演的角色就是个面无表情的人吧, 不如女林不是放电就是撅嘴, 桀骜其实很正太哟, 最爱的还是大眼睛, 一脸无辜的金&#34;允植&#34;, 让我想起了偷偷爱着你时的崌北真希~有天,还是很爱你啊\(^o^)/~            
(NA)	 弃            
(4星)	 太慢了。有些搞笑的角色。            
(4星)	 挺励志但也稍稍创意欠奉，但看到教学方面的理念还是有让人惊喜的成分的（我知道这属于极偏的部分），所以大家搬张板凳看感情戏就好。終於ending，就13、16寫過影評，19BJRP爆發，給了我們家鐘基突然好多內容（雖然知道有故事但這麼一來確實拖沓），無字幕看完20果然大好結局，可睡去            
(5星)	 朴有天你终于光芒万丈了            
(5星)	 我喜欢的类型哈哈~~~            
(4星)	 异装癖泛滥            
(4星)	 女主眼睛好大。具容夏有妖孽气质。对大米无爱。只爱配角。结尾太不给力了。服装好看好看好好看。            
(4星)	 有天啊。            
(3星)	 不会梁山伯和祝英台也成了他们韩国的吧，赶紧申请专利。还有貂蝉，我晕！            
(2星)	 剧情不是一般的拖沓            
(4星)	 为女林和桀骜 啊噗！            
(5星)	 哈哈哈 结尾是大大大大大大大大亮点啊！！！！！！            
(5星)	 (*/ω＼*)女林你说你对桀骜没有二心我还就真的不相信了，好吧，你从来没有否认你对他有不纯洁的心思            
(4星)	 一部韩剧让我坚持看下去很重要一点就是主配角都要喜欢，有2个或以上讨厌的话就会弃剧~~好喜欢男三(四?)啊~~~            
(3星)	 虎头蛇尾。            
(5星)	 “我是具龙河”！！！我全是为了看你而来！！我爱死你了！！！            
(2星)	 要不要把搞基拍这么唯美啊            
(NA)	 大爱有天~            
(3星)	   朴有天好丑，宋钟基最帅。            
(4星)	 多年不看粉红粉红的偶像剧，勾起少女的心啊……但是片尾真是一口血喷出来            
(4星)	 女林好可爱            
(NA)	 除了女林还让人有兴趣看下去,其他已经索然无味了,尤其是结尾            
(NA)	 =。=            
(3星)	 三颗星给女林。            
(NA)	 有时候也会恶俗一下的我，hiahia。从小就喜欢女主女扮男装，后来阴差阳错被男主发现真身，并深爱上的戏码。。。ps：对于这样的剧，我基本只看主线剧情，对于期间的阴谋诡计个中插曲都是快进快进，我的这种行为，就相当于看言情只喜欢看H部分。。。            
(5星)	 男1男3~~~我觉得朴有天和加濑亮挺像的。。。尤其是和spec一比较~            
(5星)	 在韩剧里看见精彩的舌战群儒，让中国的偶像剧编剧们情何以堪！            
(4星)	 本来挺好的剧一自我升华到理想啊大同啊啥的就倒胃。。╮（﹀＿﹀）╭ 配角真出彩导致男一像个面瘫...再也不看韩剧了真tm长T.T  最后我喜欢的怎么都是桀骜型的真让人忧愁            
(3星)	 韩版罗密欧与朱丽叶，结局太雷人，要不是冲着宋钟基。。。。。            
(5星)	 宋钟基，原来你才是我的真爱！！！为了女林，怎么也得沉迷啊。还有桀骜，你也很好哦，可惜。。。女一注定只能和男一在一起。貌似感觉现在的韩剧，男二男三都很给力啊！！！            
(5星)	None
(5星)	 满分啊满分！！！            
(NA)	 果然大龄女了...宋钟基你个妖孽男            
(5星)	 私心            
(5星)	 太好看了               
(5星)	 本来是想打四星，因为为什么最后女林和桀骜没有在一起！？后来还是愿意打五星，因为最爱你旋转出场的样子~            
(4星)	 集华服爱炫卖萌于一身的女林啊。。。啊。。。            
(5星)	 5颗星 不解释 阵容华丽丽 认识了帅帅的宋钟基！            
(3星)	 烂剧情跟那个国产的《宫》有的一比（当然总的来说比&lt;宫&gt;要好多了）不过有一个宋钟基就够啦，三星都给男三号啦~            
(4星)	 韩国版的238和祝英台，还好是happy ending :) 宋钟基和有天都很赞:)             
(3星)	 追不下去~            
(3星)	 好的头，烂的尾。            
(5星)	 朴敏英            
(4星)	 女林丫~有天丫~肿么那么可爱的啦~~~~~~            
(3星)	 某些地方还是快进了，不过算近期好看的韩剧了吧            
(4星)	 我被宋钟基彻底的迷住了            
(3星)	 基片！            
(3星)	 曾经睡在我下铺的那个妹子是个忠实的韩剧迷。所以我也看了这部韩剧。。。。。            
(5星)	 桀骜怎么看怎么像苏志燮~            
(5星)	 桀骜女林，各有深情，宋钟基和刘亚仁都绝顶帅气，真是一对璧人。看完之后，像做梦一样，此剧非但不脑残，而且立意很高很励志，强烈推荐。            
(5星)	 我对今时今刻，会久久记住不忘。即使我们不能再在一起了，但是也会记住的，现在我们经历的烦恼，现在我们感受到的恐惧，让我们欢喜的每个瞬间。            
(4星)	 女扮男装，人见人爱~大俗的剧情，就是百看不厌啊~~~            
(5星)	 有天的古装扮相跟李晨特别像。看着佳郎就跟当年看着简宁是一样的感觉。这感觉就是此男只应天上有的梦中情人的感觉。            
(2星)	 有点侮辱智商，伏笔都不会埋，编剧以为一个线索讲一半就算是埋了几条主线了，稍微看过点古装戏就知道后面情节发展了，看过前五集就没心思看了，我虽然是外貌协会但这个给不了三星啊            
(3星)	 当年爆红的一部戏，今天我才翻出来看。明白为什么会有第一对男男cp获奖。女林和桀骜太配了。宋钟基完全是亮点，当初看他主持音乐节目mc时，并没多惊艳。但在剧中第一次的出场就让人惊艳，太适合古装风流公子扮相。刘亚仁，正如其外号“桀骜”所示，像匹野马，还有打嗝症，害羞守护，男二果然惹人疼            
(NA)	 比想象中好很多 （以后不要说什么韩版梁祝 谁会要看）            
(NA)	 比很多韩剧好            
(5星)	 挺好的青春剧            
(5星)	 萌啊~~            
(3星)	 5.14-6.1 就是每集有点长~慢慢地就没耐心了~我喜欢女林啊！！            
(4星)	 整体还算不错 但有一点虎头蛇尾 大题小作 但俊男美女很养眼~            
(5星)	 强烈赞扬男主，把恋爱那点儿羞涩、深情、焦虑。。表达的太出神入化了！感觉要被他的眼睛吸进去了……好吧我果然很色很花心。。。            
(4星)	 看看看了一眼。            
(5星)	 朴有天帅哦~            
(3星)	 服装美型背景很美            
(NA)	   还不错  朴有天很出彩            
(4星)	 那时候的妓女不容易啊，每天顶着台灯罩子上街，鸭梨不大咩？            
(4星)	 面瘫兄一旦有了表情就出戏了……            
(4星)	 后10集明显比前10集好看多了~               
(3星)	 1）当mv很好看，但是当电视剧就呜呜。2）我发现我真的喜欢宋钟基，与女林无关。            
(NA)	 哈尼家男人主演             
(5星)	 剧情还比较流畅，台词也不至于脑残，偶像演员演技都有够。所以作为一个JYJ黑我以后可以只黑俩人了            
(3星)	 樸有天太正經了啦。宋鐘基太搶鏡啦。朴敏英太像朴信惠啦。劉亞仁太能耍酷啦。女林和桀驁很般配！            
