http://movie.douban.com/subject/2328512/	一网情深
(3星)	 造型真难看。。。那个年代。女主角还不如海马好看啊混蛋。            
(NA)	 当时觉得 《我们的故事》好听极了            
(1星)	 女主角告诉你啥叫没演技            
(2星)	 当年也看过国产偶像剧啊，娃哈哈            
(NA)	 这里真的有郑嘉颖么？？            
(NA)	 神剧，神剧！            
(3星)	 啊哈哈女猪脚的造型有点小雷            
(5星)	 我小时候看的时候好喜欢看这个！！！居然里面有郑嘉颖 完全没印象            
(2星)	 以前的暑假总是反复播放，其实剧情一般，女主角也不甚好看，但就那么看着。            
(4星)	 长风大虾。。。小时候很爱看，果然还是年少过            
(3星)	 我究竟是为什么还记得这片子呢？            
(3星)	 很古老的事了            
(4星)	 高中时曾追着看            
(3星)	 郑嘉颖在里面是猥琐男            
(3星)	 女主太恶心，现在才发现居然有郑嘉颖            
(NA)	 中央八播的时候很爱看            
(3星)	 那会陆毅和佟大为多青涩啊。。。            
(4星)	 对陈浩民送的那个石头吊坠念念不忘            
(1星)	 cctv8雷剧            
(3星)	 叶璇和郑嘉颖都在？            
(3星)	 最近听到TENSION的歌想起来的            
(4星)	 看了很多遍的说...            
(NA)	 那个时候，陆毅未娶，一到暑假电视漫天盖地都是他的男才女貌一网情深之类，而年轻的我们也不知厌倦的一直追            
(2星)	 电视台那年放的            
(4星)	 片尾曲很好听            
(2星)	 女主特雷 从头假到尾 里面的叶MM角色不错            
(3星)	 原来这部剧是合拍的 当时觉得蛮好看的 哈哈            
(4星)	 好久，好久远的片子            
(2星)	 女主真丑啊            
(NA)	 因为有陈浩民。。。。            
(2星)	 不大好看...            
(NA)	  初三的五一在庐山某宾馆看过 未知她是否记得  我那时说过要上山找她的  毕竟已过去6年多了            
(2星)	 傻X片子            
(3星)	 陆乃圣不是郑嘉颖吧...            
(3星)	 标准的大陆剧            
(3星)	 娘啊T-T居然有他和他和他他他...完全无印象T-T            
(4星)	 当时觉得好看。            
(4星)	 让我认识了tension的好歌~BTW有嘉颖同佟大为啊~~            
(5星)	 喜欢佟大为家的门。            
(3星)	 就是女主角不是很好看~            
(3星)	 璇民配也红了一阵            
(3星)	 陶喆的歌。。。。            
(NA)	 女主角不好看            
(NA)	 早期的合拍片是何等的格格不入！            
(5星)	 我小时候很喜欢的一部讲网恋的电视剧            
(5星)	 小时候没看完，现在重新完整看了，相当喜欢这种都市味道的电视剧，在电视剧层出不穷的现在，反而是这部老电视剧吸引我的注意。尤其喜欢里面叶璇演的角色，如果也有这么个理解自己的伙伴和伴侣，死而无憾！            
(3星)	 原来......原来......原来......我介么早就看过郑嘉颖的电视剧啦？？？？？            
(NA)	 那时相当喜欢陈浩民。            
(5星)	 童年回忆吧            
(NA)	 这里面有《情深深雨蒙蒙》里的九姨太！            
(3星)	  偶然看到别人的评论才知道还有郑嘉颖啊 当年看这个片子的时候的时候完全不认识他             
(3星)	 当时挺喜欢看的。            
(4星)	 当时除了陆毅我哪个都不认识。。。后来才知道哇原来陈浩民叶璇郑嘉颖都演了，竟然还有佟大为。。。！            
(2星)	 这部剧里面还有KC?我果然年少啊            
(4星)	 当时觉得很好看            
(2星)	 定门发现演员表里有郑嘉颖！            
(3星)	 對上面佟大為的房子念念不忘            
(2星)	None
(3星)	 眼都瞎了。。这剧情，还能再小言一点么？            
(3星)	 尼玛。。。我突然发现我那时候觉得唯一一个能看的人。。。是郑嘉颖= =！            
(3星)	 当时觉得女主角很像yuna            
(3星)	 女主角好丑，我一直记得            
(4星)	 这部剧好久以前看的了，今天才发现还有郑嘉颖？？？            
(3星)	 哦真的是叶璇...            
(3星)	 我居然看过这部，，，神了。。。好老的qq            
(NA)	 小学时候看的             
(2星)	 小时候寒暑假在家里偷看了多少电视！            
(4星)	 那会刚有网络吧，让我觉得很fashion的一部电视剧。            
(3星)	 毛啊。。原来这里面有郑嘉颖？！            
(5星)	 给5颗星是因为记忆深刻。这应该是最早一部讲网络时代的电视剧了，剧情和角色都不错。            
(NA)	   那个女主角哪儿去了？            
(3星)	 哦，陆毅。没什么好看的。            
(2星)	 这么雷的片子我也看过。。。            
(5星)	 佟大为果然才出道 这部演技烂得可以            
(NA)	 豆豆  长风大侠 看看人家的网恋成功率。。。            
(4星)	 我觉得还错啊~佟大为和陈芳大美女            
(3星)	 陆毅最正统帅气的造型            
(NA)	 这个我也记得。那时候陆毅刚红，跟他搭档的女主角很丑，我都记着。            
(4星)	 很喜欢很喜欢女主的生活态度。            
(4星)	 十年前的暑假看的，当时觉得挺好看的            
(NA)	 喜欢叶璇那个角色，居然还有郑嘉颖？            
(NA)	 第一次认识网聊 哈哈             
(NA)	 一网情深 里有嘉穎？！！？？！            
(3星)	 冲陈浩民去的，结果他是配角，唉            
(2星)	 第一次看佟大为的剧            
(3星)	 当年看时还是一部很不错的偶像剧            
(NA)	  那个豆豆去了哪里            
(3星)	 单在这部剧里待见叶璇            
(3星)	 女猪脚太丑了 ~            
(2星)	 十分钟弃，不好看            
(4星)	 其他没什么印象了，就是觉得当时的柳翠芸蛮好看的。            
(NA)	 周威 胆瞥狗            
(4星)	 也算是年少记忆的一段~            
(3星)	 佟大为，有印象            
(4星)	 阵容还不错，女主不给力，难看。            
(3星)	 我还记得大明湖畔的叶璇和陈浩民呢~~            
(5星)	 不管他们怎么说，反正我喜欢。            
(3星)	 暑期档囧囧的片子            
(2星)	 剧情有点白烂。演员没有选好！@Home            
(3星)	 当时是冲着陈浩民和叶璇而看，看的是粤语版，还可以吧。            
(4星)	 全部男演员我都待见。。            
(3星)	 我其实不太想给三星。。。。。。。郑嘉颖居然混在里面。。。。。。。。。。。。。。            
(4星)	 小时候看的 挺好看的 佟大为那时候年轻的！            
(2星)	 哦 那时候特喜欢陈浩民所以看了这片子 女主那销魂的发型。。。            
(2星)	 女主超做作            
(NA)	 操女猪脚真是丑的无法无天了            
(4星)	 郑嘉颖帅            
(4星)	 当时对网络聊天很好奇 觉得很有趣 长风大侠和豆豆            
(3星)	 话是话，我不知道多喜欢慧敏= =            
(3星)	 我什么时候看的这么恶俗的电视剧哦= =            
(4星)	 喜欢佟大为与芳姐的恋情。            
(4星)	 哎哎。。那个时候很喜欢的            
(3星)	 那时，大为好年轻。            
(4星)	 当年觉得很不错，还追看来的。            
(5星)	 给过我爱未来爱自己的感觉 无论是八年前还是现在             
(4星)	 哈哈~ 这片子            
(5星)	 童年回忆            
(4星)	 从此以后我就一直管佟大为叫&#34;酸狐狸&#34;了......-_,-            
(3星)	 我记得郑嘉颖很帅！！            
(4星)	 也算经典了            
(3星)	 这个有点囧            
(3星)	 虽然当年觉得有点恶俗            
(3星)	 当年看的            
(NA)	 哈哈哈，这种小学就看过的电视剧，好亲切啊~虽然女主角丑得让我刻骨铭心。。。            
(4星)	 小学初中那会 豆豆和长风大侠            
(3星)	 算是第一部我追着看的电视剧，然后发现其中好多现在都红嘞。            
(4星)	 还不错            
(3星)	 小时候迷过一段，现在发现居然有郑嘉颖。= =            
(4星)	 我怎么不记得有叶璇也郑嘉颖呐            
(4星)	 男女主角都很喜欢，陈浩明和叶璇，还有陆毅，以前看的时候有心动的感觉，一看到电视放下一集就激动的要死~\(≧▽≦)/~啦拉            
(3星)	 我好像看过            
(1星)	 囧片- -            
(3星)	 呵呵 其实我觉得里面叶璇和陆毅比较配。            
(3星)	 哈哈还找好久咧！            
(NA)	 很久前看过忘了剧情了            
(3星)	 那时还是很挺海马的。璇民配不错。可惜，哎，变了。。。            
(3星)	 高一的五一 看着玩  呵呵            
(3星)	 好久以前看过，关于网恋的故事~~            
(3星)	 我也看过诶。。。。不过几百年前啦            
(NA)	 当年的大爱！^^            
(3星)	 那时好爱陈浩明和叶璇这一对。            
(2星)	 里面还有佟大为呢，不过这部剧没啥大意思，也是小时候看的            
(4星)	 童年啊，tension那首超级经典的歌，佟大为的超级爆炸头，又帅又青春的陆毅，惊艳的郑嘉颖!舒服的叶璇！except 那个眼睛和发型都很很畸形的女主            
(3星)	 网恋最普及的时候 我们的心智啊 真地是            
(3星)	 女猪脚咋长这样。。。            
(3星)	 陆毅的脸很大，和他对手戏的女演员脸也很大。第一次见到叶璇，觉得很一般的女孩子，甚至觉得有点丑，后来发现有气质这回事，她是杭州人吧            
(3星)	 女猪长得好古怪            
(3星)	 内地偶像剧            
(3星)	 第一次听陶喆的歌就是在这啊到现在都没想通这女主是哪找来的……            
(3星)	 不喜欢女主角，但是很喜欢张恒那个角色，其他分数是给那些明星的，女主角的话，完全扣分            
(2星)	 这女主好像就这么一部戏吧。。。            
(3星)	 那是觉得蛮好看的。            
(3星)	 网恋是吧 这样的结局还不错            
(3星)	 我想我应该是看过的就是印象很浅了。            
(3星)	 都说叶璇和我有点像            
(2星)	 原来短暂的生命里浪费了这么多时间            
(3星)	 那时看来蛮啧劲额            
(4星)	 很老了~很小的时候看的~不过女主角..忘了当时的KC是怎样的角色了。            
(3星)	 呃……怎么这么多里面都有佟大为我都没印象！当时觉得叶璇真是丑的没天理怎么可以出来演电视！            
(4星)	 超喜欢里面的佟大为！！！            
(5星)	 题材新颖~演员青春亮丽~情节什么的也都不错            
(3星)	 那时我们太小 容易被 不用脑子的爱情故事 骗好吧 其实我想给2.5            
(2星)	 早期的合作剧.            
(3星)	 某年五一黄金周，因为回老家耽搁两集还难受好久~            
(NA)	 垃圾            
(3星)	 ……为什么我看过这个囧RZ            
(5星)	 “在你左右”的配乐为这部戏增色不少            
(4星)	 当年很喜欢。。。。            
(2星)	 内容也不记得了，晕            
(5星)	 没有看过结局。            
(NA)	 那是还不认识叶璇            
(NA)	 好久以前的            
(3星)	 光记得第一女主角的妆超级厚            
(3星)	 最后陈浩民穿黑风衣的那个风情呀。            
(NA)	 慧敏            
(4星)	 好多年前看的了……主要是看帅哥……嘿嘿            
(3星)	 第一次知道叶璇就是在这部剧中。。。            
(2星)	 傻            
(2星)	 居然有叶璇？            
(1星)	 没意思。            
(4星)	 情节忘记了，反正都是型男靓女的，另外叶璇帮陈浩民又是演对手戏，结果又是那种不了了之的结局- -帮封神榜一样的            
(NA)	 看不多啦其实            
(3星)	 看完了，没有感觉，只能够说看完了。            
(3星)	 我看过这片，不过到今天才知道里面居然有郑嘉颖。大震撼撒~            
(4星)	 除了两个主角，其他演员都喜欢！            
