http://movie.douban.com/subject/2762041/	莲花童子哪吒
(4星)	 小时候很喜欢的。            
(4星)	 新加坡那些年从哪吒到神雕侠侣东游记啥的，质量都很高的片子呢。            
(3星)	 回忆啊。连当时哪吒的配音都还记得。曹骏的剧也算是陪着我长大了。            
(3星)	 认识罗海琼的时候！            
(3星)	 童年 新加坡 国产电视剧             
(3星)	 罗海琼            
(3星)	 小时候觉得妲己实在是美翻了!            
(3星)	 小时候真的很喜欢曹俊来着            
(3星)	 罗海琼真妖艳~            
(3星)	 貌似看这剧的时候哥还是小学生一枚...            
(NA)	 妈哟。。。            
(3星)	 好吧... 其实 这个 也看过一些  哪吒 好像还挺可爱的            
(3星)	 原来又是新加坡剧？好吧配音好像是。。罗海琼的妲己美的一逼            
(4星)	 哎哟。。。小时候的暑假电视剧诶            
(3星)	 第一次看觉得罗海琼好美            
(5星)	 每逢重播必看            
(2星)	 只觉得搞笑。            
(NA)	 里面月下独酌那首歌是童年里深刻的记忆啊~            
(3星)	 曹俊小时候很可爱……            
(3星)	 我记得它生出来是个肉球- -+++            
(3星)	 新加坡人长得真畸形啊            
(4星)	 记忆啊记忆            
(4星)	 好看的!!            
(NA)	 真没想过罗海琼也挺媚的            
(5星)	 童年里十分美好的回忆。            
(3星)	 罗海琼是我见过最难看的妲己            
(4星)	 曹俊很可爱，小时候的电视剧            
(3星)	 在夏老师家学画的某个假期看过少许            
(5星)	 初一看的 曹骏长大了            
(5星)	 娘恩很好听，哪吒和他娘也很感人            
(1星)	 曹俊小时候一点都不可爱。            
(NA)	 这个好看 恩恩 新加坡的片子还是很不错滴            
(5星)	 还是新加坡剧            
(5星)	 整部剧一直在说一件事：哪吒母亲对孩子的爱            
(4星)	 这个好像是小时候和哥哥在过年的时候看的哪吒连续剧 挺好的            
(4星)	 我的小时候和曹俊的小时候。。。            
(NA)	 快忘清了            
(5星)	 当时的曹骏那个萌啊              
(2星)	 新加坡的配音都很畸形            
(NA)	 居然是新加坡的啊- -            
(3星)	 哪吒好看…            
(4星)	 就觉得妲己坏得很有层次            
(4星)	 很喜欢~            
(NA)	 那时候的罗海琼多骚啊，好像隔着电视都能闻见那种狐狸的骚味。            
(3星)	 那个曹骏和我同岁。            
(3星)	 80末出生的人是这样成长的～            
(3星)	 小时候老喜欢看这种的，不过其实演妲己那人还是蛮好看的、、、、            
(4星)	 至今害怕罗海琼。。。            
(4星)	 这真的是我的童年啊啊            
(5星)	 削骨还父，削肉还母。。            
(4星)	 前几年还会唱主题曲 现在居然彻底忘了            
(4星)	 这是我看过的神话改变最好的电视剧之一了，比现在的什么宝莲灯魔幻手机好叉叉倍~            
(4星)	 天知道，当看到他削骨还父，削肉还母时，我哭得有多厉害。            
(2星)	 无感。            
(2星)	 呃，童年回忆，哈哈！            
(3星)	 罗海琼的九尾狐妖...扮相真是惊悚又好笑            
(4星)	 哦，原来那个坏女人是罗海琼啊~~~            
(3星)	 罗海琼演的妲己印象实在深刻            
(3星)	 曹骏这孩子长得不错            
(3星)	 妲己那笑声太恐怖了，人也寒碜了点！            
(4星)	 当时对曹骏和罗海琼印象很深刻啊~就是通过这部剧知道罗海琼的~            
(NA)	 嘿嘿            
(3星)	 还是小时候招人喜欢            
(3星)	 当时觉得这剧好淫乱啊！            
(3星)	 如果这部剧里女旦己和雷阵子或二郎神相爱的话那么小时候我就看过它，我还记得很感人的一个场景，她就要灰飞烟灭之时的场景。            
(3星)	 曹骏小时候还是很萌滴            
(3星)	 那时年少各种剧~            
(5星)	 小时候的最爱            
(2星)	 印象啊。。。。不深。。。            
(3星)	 曹俊家喻户晓的作品。倒是罗海琼的狐狸精让人印象深刻。            
(3星)	 你们都说是新加坡的，怎么我记起来的两演员都是大陆的            
(4星)	 看过好几遍            
(4星)	 小时候真的超喜欢啊！！！            
(3星)	 苏妲己            
(3星)	 小时候的恐怖            
(5星)	 合拍剧吧，蛮好看的……            
(5星)	 曹俊演的哪吒真的可爱。            
(3星)	 其实蛮好看的嘛            
(4星)	 原来这部戏叫这个名字 = =             
(4星)	 记得很喜欢哪吒的麻麻！            
(4星)	None
(4星)	 那时候觉得罗海琼那叫一个美啊！！！            
(3星)	 只记得吐得血是绿色的            
(NA)	 那时觉得很好看，现在想起来觉得很囧的一部剧。            
(3星)	 小时候很喜欢看啊！！对哪吒的妈妈印象很深。            
(2星)	 对错过狐狸精印象很深，现在都记得……然后就是乱七八糟的了            
(4星)	 小时候好喜欢看的！！！            
(NA)	 后来用莲藕拼成了            
(5星)	 我一直觉得很好看啊。            
(4星)	 好看！            
(3星)	 阿耶..我一直以为是台湾出的叻.原来是新加坡的啊....挺好看的.以前天天追啊            
(3星)	 小时候的第一个偶像因为这部剧在我心中诞生——曹俊。可惜可惜，长大后戏路窄了，表演也没有大突破，遗憾            
(3星)	 小时候看的            
(4星)	 小时候就特爱看这！哪吒妈妈被附身的时候好可怕            
(3星)	 印象最深的就是殷夫人用藕拼出了哪吒的身体            
(4星)	 萌            
(NA)	 里面妲己的发型让我无语             
(4星)	 还记得一下子都在放曹骏演的电视，每一部都是必看。            
(3星)	 羅海瓊這姑娘看著不舒服 怪怪的            
(4星)	 干，其实这部电视剧还是不错的            
(3星)	 居然是新加坡剧！            
(4星)	 那时候的曹骏好可爱。 这小哪吒演的很调皮 很有个性 又很会打。            
(3星)	 我少年时期看过不少电视剧哦            
(5星)	 那个殷夫人的肚子里好脏啊            
(3星)	 三颗星星给曹骏。            
(5星)	 我感动的昏天黑地的。爱！！！！！            
(5星)	 经典永远存在上世纪！            
(3星)	 当时只觉得这个哪吒会不会年纪偏大了点            
(5星)	 哇！！！小时候超爱啊！有一集我还哭了！为了看它上学都迟到过哈哈！！            
(4星)	 弱弱的吼一句，小时候真喜欢看！            
(4星)	 罗海琼很漂亮哦亲~            
(4星)	 = =            
(5星)	 小时候的回忆            
(4星)	 关于哪吒的我都爱            
(3星)	 只看过一点点            
(NA)	 小时候想嫁曹骏。后来他肿么长残了，特别是看到他在宝莲灯里，伤神啊摔！            
(NA)	 这是新加坡剧？？？            
(4星)	 曹俊小时候真j8可爱啊！！！！            
(NA)	 原来老演这个~~            
(3星)	 小时候还是蛮喜欢看来着= =            
(3星)	 小孩子            
(NA)	 这个也是新加坡拍的？？？不会吧……记得好像有个雷震子的，吃了个桃子就变异了，囧得很啊～还有真妲己被狐狸精害死了？好可怜啊            
(4星)	 小学半夜写作业的时候看的            
(4星)	 最喜欢的版本            
(3星)	 小时候好喜欢，，            
(4星)	 哪吒和母亲的戏都超级感人⋯⋯            
(3星)	 角色其实很影响演员的，我看完罗海琼的妲己，就觉得她演绎什么都不正经啦~~~~~~            
(2星)	 现在想起里面那个女妖还会害怕啊            
(3星)	 小时候好喜欢的，他一口气就喝光了那么多头奶牛的奶，真是记忆犹新啊            
(5星)	 超级好看的好吗！！！            
(4星)	 我看过哎 这个特技超炫的            
(4星)	 小时候看的哭了很多次            
(3星)	 罗海琼真漂亮。印象里她演的妲己最有感觉，还有温碧霞。            
(3星)	 。            
(4星)	 这是新加坡的?            
(5星)	 一遍又一遍            
(3星)	 。。。。。。            
(5星)	 我小学时候可喜欢看这个了现在想想也还是觉得好喜欢啊！！！            
(4星)	 小时候很喜欢看= =            
(4星)	 这部也不错啦，小时候至少是这么觉得~~            
(3星)	 还记得哪吒被抽筋剥骨的时候很伤心            
(3星)	 这剧归新加坡？            
(3星)	 那时候看罗海琼的妲己怎么看怎么别扭···            
(1星)	  下流无耻小哪吒            
(3星)	 童年的回忆~            
(3星)	 永远好看的妲己            
(3星)	 每次演都看不到结尾的我很郁闷的飘过            
(2星)	 我了个去的。            
(1星)	 小时候的寂寞~            
(4星)	 这个也是新加坡的，汗……            
(3星)	 这个...罗海琼也挺漂亮~            
(NA)	 曹骏真的萌~            
(4星)	 “你拍一我拍一”            
(2星)	 童年            
(NA)	 话说小时候曹骏就是我偶像啊            
(4星)	 曹骏在里面太可爱了            
(3星)	 很老的电视剧了...            
(4星)	 不算太小的时候也超爱。。。            
(5星)	 曾经的经典啊            
(NA)	 我记得这部电视剧超淫荡……            
(5星)	 曹骏很可爱。            
(4星)	 小曹骏很可爱            
(2星)	 我曾经多想是一个强大男孩……            
(5星)	 还行的~~            
(3星)	 小时候竟然很喜欢看这个。。。。            
(NA)	 那时候我觉得罗海琼好漂亮~!            
(3星)	 讨厌狐狸精            
(NA)	 最喜欢这个妲己            
(5星)	 小时候很喜欢看的，那个时代的经典            
(NA)	 惊见罗海琼！            
(NA)	 妲己美的来            
(2星)	 小时候看的，我心中的哪吒只有文字版和哪吒闹海版啊~！            
(4星)	 小时候看哪吒和他妈妈那段哭的很惨了...            
(2星)	 拍得有点烂，曹骏这个时候就长残了。给我童年留下的阴影不是一点点...            
(3星)	 一般般，小学时候的审美品位，囧。@Home            
(5星)	 哪吒他妈给哪吒和泥 修庙的那段想当初感动蒙了…看那个是第一次在别人面前因为看电视剧感动流眼泪。。             
(4星)	 儿时记忆            
(NA)	 曹俊那个时候多么萌。            
(4星)	 哪咤的妈总是很伟大            
(NA)	 罗海琼的泡面头…………里面最漂亮的就丁岚了            
(5星)	 原来真是啊            
(4星)	 回忆总是美好的            
(NA)	 陪家人看            
(3星)	 原来这片这么早了...难怪小哪吒都要变沉香了= =当年觉得很不错的说~特别关注可爱的曹骏啊，可惜现在残了            
(3星)	 记得排起长队的奶妈和奶牛~            
(4星)	 小时候对着哪吒的成长速度之快真是印象深刻，其他就记不太清了呀            
(3星)	 这东西当时就因为曹俊同学坚持看了一些- -不过现在还记得那主题曲来着。花间有一壶酒，独酌怕愁更愁-w-貌似还有一首神仙哪里好- -            
(3星)	 以前最喜欢儿童剧            
(4星)	 妲己真漂亮。            
(4星)	   后来才知道罗海琼是内地的演员，在里面觉得蛮妖啊~~新加坡电视剧印象蛮深刻            
(5星)	 最早看到的哪吒            
(4星)	 小时候的了            
(4星)	 哇~曹骏，儿时的 偶像啊            
(5星)	 小时候就爱看这种电视剧 我的最爱。。。            
(3星)	 小时候太要看了。还要跟爸爸讨论嘞。            
(3星)	 还记得……            
(3星)	 没多大印象。            
(3星)	 哪吒你好cute！            
(3星)	 华丽丽的童年啊～～            
(3星)	 罗海琼版的妲己妖啊妖，皇上年纪这么大怎么受得了~            
(3星)	 额。。这原来是新加坡的啊 哎            
(2星)	 羊头狗肉。片名叫哪吒。主要演的却是妲己和杨戬雷震子的三角恋。            
(4星)	 我小时候可喜欢看了            
(3星)	 曹骏小时候蛮可爱，现在大了也还过得去。            
(3星)	 对曹骏稍喜爱。            
(3星)	 貌似还有一段哭过            
(5星)	 喜欢曹骏，超可爱            
(2星)	 还是喜欢小和尚，摊手            
(3星)	 也是没有看全，不过我想我应该也不会再回去看了，姑且就算我看过吧~还不错，至少比王宝强的哪吒好……            
(3星)	 曹骏啊~            
(3星)	 呦，我的童年啊            
(4星)	 曹骏太可爱~~~~~~~~~·            
(2星)	 怎么看着曹骏那么不爽呢，演技很差，情节拖泥带水。            
(4星)	 歌到现在还会唱            
(4星)	 这部当年也很不错，为什么那么久的片子，现在的记忆依然是那么清晰啊！            
(3星)	 小时候看的~~            
(2星)	 又是部年少无知时看的片子。            
(3星)	 曹骏，我大学同班同学的初中同桌，⊙﹏⊙b汗            
(2星)	 哎，本来很期待的，真的失望了，曹骏还是很可爱的～～　            
(2星)	 雷雷的。            
(2星)	 鹅。。。。。才知道使新加坡拍的。。。。            
(4星)	 记忆不太深刻鸟……            
(4星)	 小时候太喜欢看了。            
(4星)	 真的很好，因为在当年。            
(4星)	 妲己很美~~~            
(3星)	 喜欢罗海琼演的妲己            
(5星)	 小时候很喜欢此片            
(2星)	 这个也是很雷人的，新加坡拍中国神话片总是给人以牛逼闪闪的感觉。            
(4星)	 罗海琼 最清纯的妲己 如今嫁入高层            
(NA)	 吃晚饭每天一集，就觉得罗海琼的妲己很漂亮            
(4星)	 好多知识都是从电视剧上知道的= =            
(3星)	 应该也看过。            
(3星)	 那段母子情还是蛮感动的            
(4星)	 原来是新加坡拍的···            
(3星)	 有时候显得有点乱，但总体上还不错。            
(3星)	 假啊假            
(4星)	 看的时候，小Loli一枚，感觉不错。哪吒的妈妈超级伟大。            
(4星)	 可愛的小哪吒            
(4星)	 国歌家看的            
(3星)	 电视有在放，我就有在看耶。哪吒很可爱，妲姬也还蛮美的~            
(4星)	 原来是新加坡的，怪不得里面的人怎么感觉都是新加坡人。除了罗什么的那个女的和曹俊等人是内地的，算是合拍剧吧，以前很迷这个的，因为一直没看到结局，后来某个外地台重放，终于看到结局了，但是已经没什么印象了，应该还是算不错的            
(3星)	 童年回忆            
